SafetyPermitEmployeeKey,SafetyPermitTypeKey,EmployeeKey,AuthorizationStartDate,AuthorizationEndDate,SourceSystemKey,BatchId,LoadedAtUtc
354,314,201,2020-12-20,2021-12-20,1,1,2026-08-24T00:00:00.000
355,313,397,2020-12-21,2021-12-21,1,1,2026-08-24T00:00:00.000
356,201,460,2020-12-22,2021-12-22,1,1,2026-08-24T00:00:00.000
357,121,131,2020-12-23,2021-12-23,1,1,2026-08-24T00:00:00.000
358,221,475,2020-12-24,2021-12-24,1,1,2026-08-24T00:00:00.000
359,145,99,2020-12-25,2021-12-25,1,1,2026-08-24T00:00:00.000
360,104,389,2020-12-26,2021-12-26,1,1,2026-08-24T00:00:00.000
361,50,61,2020-12-27,2021-12-27,1,1,2026-08-24T00:00:00.000
362,252,159,2020-12-28,2021-12-28,1,1,2026-08-24T00:00:00.000
363,48,328,2020-12-29,2021-12-29,1,1,2026-08-24T00:00:00.000
364,46,45,2020-12-30,2021-12-30,1,1,2026-08-24T00:00:00.000
365,160,185,2020-12-31,2021-12-31,1,1,2026-08-24T00:00:00.000
366,271,20,2021-01-01,2022-01-01,1,1,2026-08-24T00:00:00.000
367,55,124,2021-01-02,2022-01-02,1,1,2026-08-24T00:00:00.000
368,167,369,2021-01-03,2022-01-03,1,1,2026-08-24T00:00:00.000
369,284,463,2021-01-04,2022-01-04,1,1,2026-08-24T00:00:00.000
370,239,412,2021-01-05,2022-01-05,1,1,2026-08-24T00:00:00.000
371,246,20,2021-01-06,2022-01-06,1,1,2026-08-24T00:00:00.000
372,212,270,2021-01-07,2022-01-07,1,1,2026-08-24T00:00:00.000
373,232,385,2021-01-08,2022-01-08,1,1,2026-08-24T00:00:00.000
374,212,363,2021-01-09,2022-01-09,1,1,2026-08-24T00:00:00.000
375,180,204,2021-01-10,2022-01-10,1,1,2026-08-24T00:00:00.000
376,285,166,2021-01-11,2022-01-11,1,1,2026-08-24T00:00:00.000
377,227,372,2021-01-12,2022-01-12,1,1,2026-08-24T00:00:00.000
378,168,161,2021-01-13,2022-01-13,1,1,2026-08-24T00:00:00.000
379,212,288,2021-01-14,2022-01-14,1,1,2026-08-24T00:00:00.000
380,58,271,2021-01-15,2022-01-15,1,1,2026-08-24T00:00:00.000
381,112,408,2021-01-16,2022-01-16,1,1,2026-08-24T00:00:00.000
382,230,37,2021-01-17,2022-01-17,1,1,2026-08-24T00:00:00.000
383,73,2,2021-01-18,2022-01-18,1,1,2026-08-24T00:00:00.000
384,18,66,2021-01-19,2022-01-19,1,1,2026-08-24T00:00:00.000
385,146,192,2021-01-20,2022-01-20,1,1,2026-08-24T00:00:00.000
386,30,444,2021-01-21,2022-01-21,1,1,2026-08-24T00:00:00.000
387,293,320,2021-01-22,2022-01-22,1,1,2026-08-24T00:00:00.000
388,126,379,2021-01-23,2022-01-23,1,1,2026-08-24T00:00:00.000
389,206,111,2021-01-24,2022-01-24,1,1,2026-08-24T00:00:00.000
390,210,278,2021-01-25,2022-01-25,1,1,2026-08-24T00:00:00.000
391,67,64,2021-01-26,2022-01-26,1,1,2026-08-24T00:00:00.000
392,121,287,2021-01-27,2022-01-27,1,1,2026-08-24T00:00:00.000
393,67,66,2021-01-28,2022-01-28,1,1,2026-08-24T00:00:00.000
394,125,112,2021-01-29,2022-01-29,1,1,2026-08-24T00:00:00.000
395,68,20,2021-01-30,2022-01-30,1,1,2026-08-24T00:00:00.000
396,186,411,2021-01-31,2022-01-31,1,1,2026-08-24T00:00:00.000
397,241,135,2021-02-01,2022-02-01,1,1,2026-08-24T00:00:00.000
398,173,140,2021-02-02,2022-02-02,1,1,2026-08-24T00:00:00.000
399,193,176,2021-02-03,2022-02-03,1,1,2026-08-24T00:00:00.000
400,46,442,2021-02-04,2022-02-04,1,1,2026-08-24T00:00:00.000
401,187,329,2021-02-05,2022-02-05,1,1,2026-08-24T00:00:00.000
402,14,377,2021-02-06,2022-02-06,1,1,2026-08-24T00:00:00.000
403,25,499,2021-02-07,2022-02-07,1,1,2026-08-24T00:00:00.000
404,180,307,2021-02-08,2022-02-08,1,1,2026-08-24T00:00:00.000
405,227,269,2021-02-09,2022-02-09,1,1,2026-08-24T00:00:00.000
406,18,438,2021-02-10,2022-02-10,1,1,2026-08-24T00:00:00.000
407,305,178,2021-02-11,2022-02-11,1,1,2026-08-24T00:00:00.000
408,2,417,2021-02-12,2022-02-12,1,1,2026-08-24T00:00:00.000
409,21,343,2021-02-13,2022-02-13,1,1,2026-08-24T00:00:00.000
410,83,265,2021-02-14,2022-02-14,1,1,2026-08-24T00:00:00.000
411,264,437,2021-02-15,2022-02-15,1,1,2026-08-24T00:00:00.000
412,86,265,2021-02-16,2022-02-16,1,1,2026-08-24T00:00:00.000
413,64,280,2021-02-17,2022-02-17,1,1,2026-08-24T00:00:00.000
414,303,458,2021-02-18,2022-02-18,1,1,2026-08-24T00:00:00.000
415,297,267,2021-02-19,2022-02-19,1,1,2026-08-24T00:00:00.000
416,304,148,2021-02-20,2022-02-20,1,1,2026-08-24T00:00:00.000
417,11,105,2021-02-21,2022-02-21,1,1,2026-08-24T00:00:00.000
418,164,349,2021-02-22,2022-02-22,1,1,2026-08-24T00:00:00.000
419,86,69,2021-02-23,2022-02-23,1,1,2026-08-24T00:00:00.000
420,196,30,2021-02-24,2022-02-24,1,1,2026-08-24T00:00:00.000
421,117,375,2021-02-25,2022-02-25,1,1,2026-08-24T00:00:00.000
422,5,244,2021-02-26,2022-02-26,1,1,2026-08-24T00:00:00.000
423,286,423,2021-02-27,2022-02-27,1,1,2026-08-24T00:00:00.000
424,210,109,2021-02-28,2022-02-28,1,1,2026-08-24T00:00:00.000
425,105,357,2021-03-01,2022-03-01,1,1,2026-08-24T00:00:00.000
426,72,258,2021-03-02,2022-03-02,1,1,2026-08-24T00:00:00.000
427,308,359,2021-03-03,2022-03-03,1,1,2026-08-24T00:00:00.000
428,114,412,2021-03-04,2022-03-04,1,1,2026-08-24T00:00:00.000
429,143,229,2021-03-05,2022-03-05,1,1,2026-08-24T00:00:00.000
430,245,263,2021-03-06,2022-03-06,1,1,2026-08-24T00:00:00.000
431,3,307,2021-03-07,2022-03-07,1,1,2026-08-24T00:00:00.000
432,265,336,2021-03-08,2022-03-08,1,1,2026-08-24T00:00:00.000
433,314,117,2021-03-09,2022-03-09,1,1,2026-08-24T00:00:00.000
434,201,289,2021-03-10,2022-03-10,1,1,2026-08-24T00:00:00.000
435,286,263,2021-03-11,2022-03-11,1,1,2026-08-24T00:00:00.000
436,226,409,2021-03-12,2022-03-12,1,1,2026-08-24T00:00:00.000
437,305,442,2021-03-13,2022-03-13,1,1,2026-08-24T00:00:00.000
438,258,111,2021-03-14,2022-03-14,1,1,2026-08-24T00:00:00.000
439,112,477,2021-03-15,2022-03-15,1,1,2026-08-24T00:00:00.000
440,287,455,2021-03-16,2022-03-16,1,1,2026-08-24T00:00:00.000
441,148,167,2021-03-17,2022-03-17,1,1,2026-08-24T00:00:00.000
442,292,209,2021-03-18,2022-03-18,1,1,2026-08-24T00:00:00.000
443,136,422,2021-03-19,2022-03-19,1,1,2026-08-24T00:00:00.000
444,92,269,2021-03-20,2022-03-20,1,1,2026-08-24T00:00:00.000
445,98,459,2021-03-21,2022-03-21,1,1,2026-08-24T00:00:00.000
446,277,113,2021-03-22,2022-03-22,1,1,2026-08-24T00:00:00.000
447,266,376,2021-03-23,2022-03-23,1,1,2026-08-24T00:00:00.000
448,97,331,2021-03-24,2022-03-24,1,1,2026-08-24T00:00:00.000
449,129,46,2021-03-25,2022-03-25,1,1,2026-08-24T00:00:00.000
450,118,212,2021-03-26,2022-03-26,1,1,2026-08-24T00:00:00.000
451,132,215,2021-03-27,2022-03-27,1,1,2026-08-24T00:00:00.000
452,18,50,2021-03-28,2022-03-28,1,1,2026-08-24T00:00:00.000
453,319,65,2021-03-29,2022-03-29,1,1,2026-08-24T00:00:00.000
454,97,435,2021-03-30,2022-03-30,1,1,2026-08-24T00:00:00.000
455,82,343,2021-03-31,2022-03-31,1,1,2026-08-24T00:00:00.000
456,9,35,2021-04-01,2022-04-01,1,1,2026-08-24T00:00:00.000
457,245,428,2021-04-02,2022-04-02,1,1,2026-08-24T00:00:00.000
458,273,483,2021-04-03,2022-04-03,1,1,2026-08-24T00:00:00.000
459,263,249,2021-04-04,2022-04-04,1,1,2026-08-24T00:00:00.000
460,115,313,2021-04-05,2022-04-05,1,1,2026-08-24T00:00:00.000
461,212,73,2021-04-06,2022-04-06,1,1,2026-08-24T00:00:00.000
462,265,330,2021-04-07,2022-04-07,1,1,2026-08-24T00:00:00.000
463,150,197,2021-04-08,2022-04-08,1,1,2026-08-24T00:00:00.000
464,136,315,2021-04-09,2022-04-09,1,1,2026-08-24T00:00:00.000
465,243,475,2021-04-10,2022-04-10,1,1,2026-08-24T00:00:00.000
466,183,85,2021-04-11,2022-04-11,1,1,2026-08-24T00:00:00.000
467,18,230,2021-04-12,2022-04-12,1,1,2026-08-24T00:00:00.000
468,68,221,2021-04-13,2022-04-13,1,1,2026-08-24T00:00:00.000
469,292,85,2021-04-14,2022-04-14,1,1,2026-08-24T00:00:00.000
470,264,438,2021-04-15,2022-04-15,1,1,2026-08-24T00:00:00.000
471,156,326,2021-04-16,2022-04-16,1,1,2026-08-24T00:00:00.000
472,208,8,2021-04-17,2022-04-17,1,1,2026-08-24T00:00:00.000
473,176,387,2021-04-18,2022-04-18,1,1,2026-08-24T00:00:00.000
474,32,14,2021-04-19,2022-04-19,1,1,2026-08-24T00:00:00.000
475,170,88,2021-04-20,2022-04-20,1,1,2026-08-24T00:00:00.000
476,68,272,2021-04-21,2022-04-21,1,1,2026-08-24T00:00:00.000
477,76,50,2021-04-22,2022-04-22,1,1,2026-08-24T00:00:00.000
478,233,156,2021-04-23,2022-04-23,1,1,2026-08-24T00:00:00.000
479,93,453,2021-04-24,2022-04-24,1,1,2026-08-24T00:00:00.000
480,280,375,2021-04-25,2022-04-25,1,1,2026-08-24T00:00:00.000
481,291,375,2021-04-26,2022-04-26,1,1,2026-08-24T00:00:00.000
482,114,31,2021-04-27,2022-04-27,1,1,2026-08-24T00:00:00.000
483,149,227,2021-04-28,2022-04-28,1,1,2026-08-24T00:00:00.000
484,36,307,2021-04-29,2022-04-29,1,1,2026-08-24T00:00:00.000
485,232,110,2021-04-30,2022-04-30,1,1,2026-08-24T00:00:00.000
486,103,264,2021-05-01,2022-05-01,1,1,2026-08-24T00:00:00.000
487,267,188,2021-05-02,2022-05-02,1,1,2026-08-24T00:00:00.000
488,113,281,2021-05-03,2022-05-03,1,1,2026-08-24T00:00:00.000
489,282,369,2021-05-04,2022-05-04,1,1,2026-08-24T00:00:00.000
490,254,376,2021-05-05,2022-05-05,1,1,2026-08-24T00:00:00.000
491,38,311,2021-05-06,2022-05-06,1,1,2026-08-24T00:00:00.000
492,268,49,2021-05-07,2022-05-07,1,1,2026-08-24T00:00:00.000
493,235,115,2021-05-08,2022-05-08,1,1,2026-08-24T00:00:00.000
494,32,177,2021-05-09,2022-05-09,1,1,2026-08-24T00:00:00.000
495,271,58,2021-05-10,2022-05-10,1,1,2026-08-24T00:00:00.000
496,317,489,2021-05-11,2022-05-11,1,1,2026-08-24T00:00:00.000
497,74,160,2021-05-12,2022-05-12,1,1,2026-08-24T00:00:00.000
498,290,467,2021-05-13,2022-05-13,1,1,2026-08-24T00:00:00.000
499,299,416,2021-05-14,2022-05-14,1,1,2026-08-24T00:00:00.000
500,240,104,2021-05-15,2022-05-15,1,1,2026-08-24T00:00:00.000
