ServiceContractProductKey,ServiceContractKey,ProductKey,CoverageStartDate,CoverageEndDate,SourceSystemKey,BatchId,LoadedAtUtc
355,352,268,2020-12-21,2021-12-21,1,1,2026-08-24T00:00:00.000
356,25,477,2020-12-22,2021-12-22,1,1,2026-08-24T00:00:00.000
357,429,419,2020-12-23,2021-12-23,1,1,2026-08-24T00:00:00.000
358,8,241,2020-12-24,2021-12-24,1,1,2026-08-24T00:00:00.000
359,133,117,2020-12-25,2021-12-25,1,1,2026-08-24T00:00:00.000
360,495,242,2020-12-26,2021-12-26,1,1,2026-08-24T00:00:00.000
361,497,314,2020-12-27,2021-12-27,1,1,2026-08-24T00:00:00.000
362,386,203,2020-12-28,2021-12-28,1,1,2026-08-24T00:00:00.000
363,109,61,2020-12-29,2021-12-29,1,1,2026-08-24T00:00:00.000
364,360,498,2020-12-30,2021-12-30,1,1,2026-08-24T00:00:00.000
365,279,255,2020-12-31,2021-12-31,1,1,2026-08-24T00:00:00.000
366,280,172,2021-01-01,2022-01-01,1,1,2026-08-24T00:00:00.000
367,227,52,2021-01-02,2022-01-02,1,1,2026-08-24T00:00:00.000
368,194,453,2021-01-03,2022-01-03,1,1,2026-08-24T00:00:00.000
369,345,295,2021-01-04,2022-01-04,1,1,2026-08-24T00:00:00.000
370,395,132,2021-01-05,2022-01-05,1,1,2026-08-24T00:00:00.000
371,264,217,2021-01-06,2022-01-06,1,1,2026-08-24T00:00:00.000
372,293,374,2021-01-07,2022-01-07,1,1,2026-08-24T00:00:00.000
373,336,183,2021-01-08,2022-01-08,1,1,2026-08-24T00:00:00.000
374,360,52,2021-01-09,2022-01-09,1,1,2026-08-24T00:00:00.000
375,355,251,2021-01-10,2022-01-10,1,1,2026-08-24T00:00:00.000
376,474,89,2021-01-11,2022-01-11,1,1,2026-08-24T00:00:00.000
377,385,8,2021-01-12,2022-01-12,1,1,2026-08-24T00:00:00.000
378,52,82,2021-01-13,2022-01-13,1,1,2026-08-24T00:00:00.000
379,207,55,2021-01-14,2022-01-14,1,1,2026-08-24T00:00:00.000
380,26,119,2021-01-15,2022-01-15,1,1,2026-08-24T00:00:00.000
381,170,225,2021-01-16,2022-01-16,1,1,2026-08-24T00:00:00.000
382,405,38,2021-01-17,2022-01-17,1,1,2026-08-24T00:00:00.000
383,142,463,2021-01-18,2022-01-18,1,1,2026-08-24T00:00:00.000
384,486,390,2021-01-19,2022-01-19,1,1,2026-08-24T00:00:00.000
385,373,219,2021-01-20,2022-01-20,1,1,2026-08-24T00:00:00.000
386,315,377,2021-01-21,2022-01-21,1,1,2026-08-24T00:00:00.000
387,262,176,2021-01-22,2022-01-22,1,1,2026-08-24T00:00:00.000
388,105,294,2021-01-23,2022-01-23,1,1,2026-08-24T00:00:00.000
389,498,301,2021-01-24,2022-01-24,1,1,2026-08-24T00:00:00.000
390,425,129,2021-01-25,2022-01-25,1,1,2026-08-24T00:00:00.000
391,471,328,2021-01-26,2022-01-26,1,1,2026-08-24T00:00:00.000
392,487,426,2021-01-27,2022-01-27,1,1,2026-08-24T00:00:00.000
393,59,128,2021-01-28,2022-01-28,1,1,2026-08-24T00:00:00.000
394,389,208,2021-01-29,2022-01-29,1,1,2026-08-24T00:00:00.000
395,64,38,2021-01-30,2022-01-30,1,1,2026-08-24T00:00:00.000
396,160,481,2021-01-31,2022-01-31,1,1,2026-08-24T00:00:00.000
397,115,308,2021-02-01,2022-02-01,1,1,2026-08-24T00:00:00.000
398,244,176,2021-02-02,2022-02-02,1,1,2026-08-24T00:00:00.000
399,433,401,2021-02-03,2022-02-03,1,1,2026-08-24T00:00:00.000
400,448,308,2021-02-04,2022-02-04,1,1,2026-08-24T00:00:00.000
401,221,444,2021-02-05,2022-02-05,1,1,2026-08-24T00:00:00.000
402,442,383,2021-02-06,2022-02-06,1,1,2026-08-24T00:00:00.000
403,254,280,2021-02-07,2022-02-07,1,1,2026-08-24T00:00:00.000
404,467,230,2021-02-08,2022-02-08,1,1,2026-08-24T00:00:00.000
405,499,307,2021-02-09,2022-02-09,1,1,2026-08-24T00:00:00.000
406,153,164,2021-02-10,2022-02-10,1,1,2026-08-24T00:00:00.000
407,369,444,2021-02-11,2022-02-11,1,1,2026-08-24T00:00:00.000
408,186,150,2021-02-12,2022-02-12,1,1,2026-08-24T00:00:00.000
409,472,150,2021-02-13,2022-02-13,1,1,2026-08-24T00:00:00.000
410,245,141,2021-02-14,2022-02-14,1,1,2026-08-24T00:00:00.000
411,221,479,2021-02-15,2022-02-15,1,1,2026-08-24T00:00:00.000
412,388,21,2021-02-16,2022-02-16,1,1,2026-08-24T00:00:00.000
413,77,6,2021-02-17,2022-02-17,1,1,2026-08-24T00:00:00.000
414,262,336,2021-02-18,2022-02-18,1,1,2026-08-24T00:00:00.000
415,294,211,2021-02-19,2022-02-19,1,1,2026-08-24T00:00:00.000
416,284,401,2021-02-20,2022-02-20,1,1,2026-08-24T00:00:00.000
417,129,93,2021-02-21,2022-02-21,1,1,2026-08-24T00:00:00.000
418,490,250,2021-02-22,2022-02-22,1,1,2026-08-24T00:00:00.000
419,109,290,2021-02-23,2022-02-23,1,1,2026-08-24T00:00:00.000
420,247,307,2021-02-24,2022-02-24,1,1,2026-08-24T00:00:00.000
421,104,182,2021-02-25,2022-02-25,1,1,2026-08-24T00:00:00.000
422,449,244,2021-02-26,2022-02-26,1,1,2026-08-24T00:00:00.000
423,18,315,2021-02-27,2022-02-27,1,1,2026-08-24T00:00:00.000
424,48,186,2021-02-28,2022-02-28,1,1,2026-08-24T00:00:00.000
425,231,212,2021-03-01,2022-03-01,1,1,2026-08-24T00:00:00.000
426,486,280,2021-03-02,2022-03-02,1,1,2026-08-24T00:00:00.000
427,321,104,2021-03-03,2022-03-03,1,1,2026-08-24T00:00:00.000
428,183,365,2021-03-04,2022-03-04,1,1,2026-08-24T00:00:00.000
429,483,439,2021-03-05,2022-03-05,1,1,2026-08-24T00:00:00.000
430,462,128,2021-03-06,2022-03-06,1,1,2026-08-24T00:00:00.000
431,256,59,2021-03-07,2022-03-07,1,1,2026-08-24T00:00:00.000
432,300,243,2021-03-08,2022-03-08,1,1,2026-08-24T00:00:00.000
433,318,312,2021-03-09,2022-03-09,1,1,2026-08-24T00:00:00.000
434,35,196,2021-03-10,2022-03-10,1,1,2026-08-24T00:00:00.000
435,467,216,2021-03-11,2022-03-11,1,1,2026-08-24T00:00:00.000
436,50,1,2021-03-12,2022-03-12,1,1,2026-08-24T00:00:00.000
437,484,399,2021-03-13,2022-03-13,1,1,2026-08-24T00:00:00.000
438,133,360,2021-03-14,2022-03-14,1,1,2026-08-24T00:00:00.000
439,104,120,2021-03-15,2022-03-15,1,1,2026-08-24T00:00:00.000
440,455,268,2021-03-16,2022-03-16,1,1,2026-08-24T00:00:00.000
441,393,157,2021-03-17,2022-03-17,1,1,2026-08-24T00:00:00.000
442,17,433,2021-03-18,2022-03-18,1,1,2026-08-24T00:00:00.000
443,99,468,2021-03-19,2022-03-19,1,1,2026-08-24T00:00:00.000
444,239,143,2021-03-20,2022-03-20,1,1,2026-08-24T00:00:00.000
445,101,138,2021-03-21,2022-03-21,1,1,2026-08-24T00:00:00.000
446,65,212,2021-03-22,2022-03-22,1,1,2026-08-24T00:00:00.000
447,336,83,2021-03-23,2022-03-23,1,1,2026-08-24T00:00:00.000
448,94,16,2021-03-24,2022-03-24,1,1,2026-08-24T00:00:00.000
449,334,236,2021-03-25,2022-03-25,1,1,2026-08-24T00:00:00.000
450,202,334,2021-03-26,2022-03-26,1,1,2026-08-24T00:00:00.000
451,458,98,2021-03-27,2022-03-27,1,1,2026-08-24T00:00:00.000
452,215,66,2021-03-28,2022-03-28,1,1,2026-08-24T00:00:00.000
453,183,333,2021-03-29,2022-03-29,1,1,2026-08-24T00:00:00.000
454,441,320,2021-03-30,2022-03-30,1,1,2026-08-24T00:00:00.000
455,375,391,2021-03-31,2022-03-31,1,1,2026-08-24T00:00:00.000
456,128,289,2021-04-01,2022-04-01,1,1,2026-08-24T00:00:00.000
457,240,230,2021-04-02,2022-04-02,1,1,2026-08-24T00:00:00.000
458,202,229,2021-04-03,2022-04-03,1,1,2026-08-24T00:00:00.000
459,207,428,2021-04-04,2022-04-04,1,1,2026-08-24T00:00:00.000
460,209,485,2021-04-05,2022-04-05,1,1,2026-08-24T00:00:00.000
461,444,469,2021-04-06,2022-04-06,1,1,2026-08-24T00:00:00.000
462,366,208,2021-04-07,2022-04-07,1,1,2026-08-24T00:00:00.000
463,50,388,2021-04-08,2022-04-08,1,1,2026-08-24T00:00:00.000
464,300,131,2021-04-09,2022-04-09,1,1,2026-08-24T00:00:00.000
465,263,63,2021-04-10,2022-04-10,1,1,2026-08-24T00:00:00.000
466,150,463,2021-04-11,2022-04-11,1,1,2026-08-24T00:00:00.000
467,139,124,2021-04-12,2022-04-12,1,1,2026-08-24T00:00:00.000
468,121,430,2021-04-13,2022-04-13,1,1,2026-08-24T00:00:00.000
469,281,165,2021-04-14,2022-04-14,1,1,2026-08-24T00:00:00.000
470,98,44,2021-04-15,2022-04-15,1,1,2026-08-24T00:00:00.000
471,84,200,2021-04-16,2022-04-16,1,1,2026-08-24T00:00:00.000
472,167,422,2021-04-17,2022-04-17,1,1,2026-08-24T00:00:00.000
473,333,213,2021-04-18,2022-04-18,1,1,2026-08-24T00:00:00.000
474,431,411,2021-04-19,2022-04-19,1,1,2026-08-24T00:00:00.000
475,158,410,2021-04-20,2022-04-20,1,1,2026-08-24T00:00:00.000
476,226,63,2021-04-21,2022-04-21,1,1,2026-08-24T00:00:00.000
477,382,313,2021-04-22,2022-04-22,1,1,2026-08-24T00:00:00.000
478,111,56,2021-04-23,2022-04-23,1,1,2026-08-24T00:00:00.000
479,2,3,2021-04-24,2022-04-24,1,1,2026-08-24T00:00:00.000
480,103,210,2021-04-25,2022-04-25,1,1,2026-08-24T00:00:00.000
481,491,311,2021-04-26,2022-04-26,1,1,2026-08-24T00:00:00.000
482,369,471,2021-04-27,2022-04-27,1,1,2026-08-24T00:00:00.000
483,417,67,2021-04-28,2022-04-28,1,1,2026-08-24T00:00:00.000
484,384,445,2021-04-29,2022-04-29,1,1,2026-08-24T00:00:00.000
485,88,281,2021-04-30,2022-04-30,1,1,2026-08-24T00:00:00.000
486,53,293,2021-05-01,2022-05-01,1,1,2026-08-24T00:00:00.000
487,481,120,2021-05-02,2022-05-02,1,1,2026-08-24T00:00:00.000
488,336,196,2021-05-03,2022-05-03,1,1,2026-08-24T00:00:00.000
489,63,413,2021-05-04,2022-05-04,1,1,2026-08-24T00:00:00.000
490,118,255,2021-05-05,2022-05-05,1,1,2026-08-24T00:00:00.000
491,316,477,2021-05-06,2022-05-06,1,1,2026-08-24T00:00:00.000
492,303,119,2021-05-07,2022-05-07,1,1,2026-08-24T00:00:00.000
493,482,354,2021-05-08,2022-05-08,1,1,2026-08-24T00:00:00.000
494,469,285,2021-05-09,2022-05-09,1,1,2026-08-24T00:00:00.000
495,499,365,2021-05-10,2022-05-10,1,1,2026-08-24T00:00:00.000
496,339,21,2021-05-11,2022-05-11,1,1,2026-08-24T00:00:00.000
497,203,200,2021-05-12,2022-05-12,1,1,2026-08-24T00:00:00.000
498,180,27,2021-05-13,2022-05-13,1,1,2026-08-24T00:00:00.000
499,153,126,2021-05-14,2022-05-14,1,1,2026-08-24T00:00:00.000
500,3,411,2021-05-15,2022-05-15,1,1,2026-08-24T00:00:00.000
