PurchaseRfqSupplierInvitationKey,PurchaseRequestForQuoteKey,SupplierKey,ApprovalStatusKey,QuotedAmount,SourceSystemKey,BatchId,LoadedAtUtc
432,262,334,4,601.8400,1,1,2026-08-24T00:00:00.000
433,263,124,5,603.2100,1,1,2026-08-24T00:00:00.000
434,365,348,4,604.5800,1,1,2026-08-24T00:00:00.000
435,164,376,1,605.9500,1,1,2026-08-24T00:00:00.000
436,97,138,2,607.3200,1,1,2026-08-24T00:00:00.000
437,466,247,4,608.6900,1,1,2026-08-24T00:00:00.000
438,378,429,5,610.0600,1,1,2026-08-24T00:00:00.000
439,366,219,5,611.4300,1,1,2026-08-24T00:00:00.000
440,388,246,5,612.8000,1,1,2026-08-24T00:00:00.000
441,257,274,2,614.1700,1,1,2026-08-24T00:00:00.000
442,293,123,3,615.5400,1,1,2026-08-24T00:00:00.000
443,414,476,2,616.9100,1,1,2026-08-24T00:00:00.000
444,163,132,4,618.2800,1,1,2026-08-24T00:00:00.000
445,408,220,2,619.6500,1,1,2026-08-24T00:00:00.000
446,410,356,1,621.0200,1,1,2026-08-24T00:00:00.000
447,419,170,3,622.3900,1,1,2026-08-24T00:00:00.000
448,207,164,4,623.7600,1,1,2026-08-24T00:00:00.000
449,139,261,5,625.1300,1,1,2026-08-24T00:00:00.000
450,266,58,3,626.5000,1,1,2026-08-24T00:00:00.000
451,144,420,4,627.8700,1,1,2026-08-24T00:00:00.000
452,74,245,5,629.2400,1,1,2026-08-24T00:00:00.000
453,439,245,5,630.6100,1,1,2026-08-24T00:00:00.000
454,71,44,2,631.9800,1,1,2026-08-24T00:00:00.000
455,47,267,5,633.3500,1,1,2026-08-24T00:00:00.000
456,334,47,5,634.7200,1,1,2026-08-24T00:00:00.000
457,15,26,1,636.0900,1,1,2026-08-24T00:00:00.000
458,242,69,4,637.4600,1,1,2026-08-24T00:00:00.000
459,96,438,5,638.8300,1,1,2026-08-24T00:00:00.000
460,207,324,4,640.2000,1,1,2026-08-24T00:00:00.000
461,52,343,2,641.5700,1,1,2026-08-24T00:00:00.000
462,111,198,3,642.9400,1,1,2026-08-24T00:00:00.000
463,318,323,2,644.3100,1,1,2026-08-24T00:00:00.000
464,194,451,5,645.6800,1,1,2026-08-24T00:00:00.000
465,93,469,1,647.0500,1,1,2026-08-24T00:00:00.000
466,289,264,1,648.4200,1,1,2026-08-24T00:00:00.000
467,27,274,2,649.7900,1,1,2026-08-24T00:00:00.000
468,51,276,5,651.1600,1,1,2026-08-24T00:00:00.000
469,296,248,5,652.5300,1,1,2026-08-24T00:00:00.000
470,88,44,5,653.9000,1,1,2026-08-24T00:00:00.000
471,335,97,4,655.2700,1,1,2026-08-24T00:00:00.000
472,287,95,4,656.6400,1,1,2026-08-24T00:00:00.000
473,161,272,5,658.0100,1,1,2026-08-24T00:00:00.000
474,56,112,1,659.3800,1,1,2026-08-24T00:00:00.000
475,261,376,3,660.7500,1,1,2026-08-24T00:00:00.000
476,478,18,5,662.1200,1,1,2026-08-24T00:00:00.000
477,3,118,2,663.4900,1,1,2026-08-24T00:00:00.000
478,406,331,3,664.8600,1,1,2026-08-24T00:00:00.000
479,252,118,3,666.2300,1,1,2026-08-24T00:00:00.000
480,318,435,3,667.6000,1,1,2026-08-24T00:00:00.000
481,7,300,4,668.9700,1,1,2026-08-24T00:00:00.000
482,271,115,5,670.3400,1,1,2026-08-24T00:00:00.000
483,132,348,3,671.7100,1,1,2026-08-24T00:00:00.000
484,374,38,4,673.0800,1,1,2026-08-24T00:00:00.000
485,25,60,4,674.4500,1,1,2026-08-24T00:00:00.000
486,485,385,3,675.8200,1,1,2026-08-24T00:00:00.000
487,493,265,3,677.1900,1,1,2026-08-24T00:00:00.000
488,188,212,3,678.5600,1,1,2026-08-24T00:00:00.000
489,380,484,3,679.9300,1,1,2026-08-24T00:00:00.000
490,172,415,1,681.3000,1,1,2026-08-24T00:00:00.000
491,238,386,3,682.6700,1,1,2026-08-24T00:00:00.000
492,284,310,1,684.0400,1,1,2026-08-24T00:00:00.000
493,319,364,3,685.4100,1,1,2026-08-24T00:00:00.000
494,313,62,4,686.7800,1,1,2026-08-24T00:00:00.000
495,389,179,4,688.1500,1,1,2026-08-24T00:00:00.000
496,230,310,4,689.5200,1,1,2026-08-24T00:00:00.000
497,56,349,1,690.8900,1,1,2026-08-24T00:00:00.000
498,168,310,2,692.2600,1,1,2026-08-24T00:00:00.000
499,477,35,5,693.6300,1,1,2026-08-24T00:00:00.000
500,371,30,5,695.0000,1,1,2026-08-24T00:00:00.000
