BomComponentResolutionKey,BomHeaderKey,ComponentEngineeringPartRevisionKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
353,202,204,4,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,129,392,1,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,1,464,5,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,247,221,3,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,261,288,6,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,16,364,2,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,70,98,5,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,38,407,1,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,182,255,7,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,188,498,4,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,123,240,6,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,466,262,5,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,101,23,3,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,366,458,4,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,290,181,4,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,82,307,6,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,258,82,4,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,110,410,7,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,431,173,4,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,356,257,5,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
373,350,104,2,373,521.010000,0.0373,1,1,2026-08-24T00:00:00.000
374,300,435,7,374,522.380000,0.0374,1,1,2026-08-24T00:00:00.000
375,155,17,3,375,523.750000,0.0375,1,1,2026-08-24T00:00:00.000
376,244,200,4,376,525.120000,0.0376,1,1,2026-08-24T00:00:00.000
377,72,389,3,377,526.490000,0.0377,1,1,2026-08-24T00:00:00.000
378,338,128,5,378,527.860000,0.0378,1,1,2026-08-24T00:00:00.000
379,310,357,1,379,529.230000,0.0379,1,1,2026-08-24T00:00:00.000
380,135,181,6,380,530.600000,0.0380,1,1,2026-08-24T00:00:00.000
381,101,156,2,381,531.970000,0.0381,1,1,2026-08-24T00:00:00.000
382,447,244,1,382,533.340000,0.0382,1,1,2026-08-24T00:00:00.000
383,140,56,5,383,534.710000,0.0383,1,1,2026-08-24T00:00:00.000
384,291,465,5,384,536.080000,0.0384,1,1,2026-08-24T00:00:00.000
385,467,355,4,385,537.450000,0.0385,1,1,2026-08-24T00:00:00.000
386,43,81,3,386,538.820000,0.0386,1,1,2026-08-24T00:00:00.000
387,360,157,2,387,540.190000,0.0387,1,1,2026-08-24T00:00:00.000
388,498,268,5,388,541.560000,0.0388,1,1,2026-08-24T00:00:00.000
389,370,346,5,389,542.930000,0.0389,1,1,2026-08-24T00:00:00.000
390,365,282,4,390,544.300000,0.0390,1,1,2026-08-24T00:00:00.000
391,5,270,5,391,545.670000,0.0391,1,1,2026-08-24T00:00:00.000
392,237,329,2,392,547.040000,0.0392,1,1,2026-08-24T00:00:00.000
393,261,477,2,393,548.410000,0.0393,1,1,2026-08-24T00:00:00.000
394,268,281,2,394,549.780000,0.0394,1,1,2026-08-24T00:00:00.000
395,488,277,6,395,551.150000,0.0395,1,1,2026-08-24T00:00:00.000
396,251,122,6,396,552.520000,0.0396,1,1,2026-08-24T00:00:00.000
397,366,135,6,397,553.890000,0.0397,1,1,2026-08-24T00:00:00.000
398,200,128,3,398,555.260000,0.0398,1,1,2026-08-24T00:00:00.000
399,330,70,4,399,556.630000,0.0399,1,1,2026-08-24T00:00:00.000
400,159,130,2,400,558.000000,0.0400,1,1,2026-08-24T00:00:00.000
401,390,405,3,401,559.370000,0.0401,1,1,2026-08-24T00:00:00.000
402,284,304,4,402,560.740000,0.0402,1,1,2026-08-24T00:00:00.000
403,19,192,5,403,562.110000,0.0403,1,1,2026-08-24T00:00:00.000
404,200,37,7,404,563.480000,0.0404,1,1,2026-08-24T00:00:00.000
405,57,171,4,405,564.850000,0.0405,1,1,2026-08-24T00:00:00.000
406,307,270,3,406,566.220000,0.0406,1,1,2026-08-24T00:00:00.000
407,211,255,1,407,567.590000,0.0407,1,1,2026-08-24T00:00:00.000
408,468,446,4,408,568.960000,0.0408,1,1,2026-08-24T00:00:00.000
409,368,229,6,409,570.330000,0.0409,1,1,2026-08-24T00:00:00.000
410,266,136,2,410,571.700000,0.0410,1,1,2026-08-24T00:00:00.000
411,459,25,1,411,573.070000,0.0411,1,1,2026-08-24T00:00:00.000
412,236,313,7,412,574.440000,0.0412,1,1,2026-08-24T00:00:00.000
413,373,286,5,413,575.810000,0.0413,1,1,2026-08-24T00:00:00.000
414,34,181,4,414,577.180000,0.0414,1,1,2026-08-24T00:00:00.000
415,431,103,2,415,578.550000,0.0415,1,1,2026-08-24T00:00:00.000
416,117,126,1,416,579.920000,0.0416,1,1,2026-08-24T00:00:00.000
417,114,215,4,417,581.290000,0.0417,1,1,2026-08-24T00:00:00.000
418,437,225,3,418,582.660000,0.0418,1,1,2026-08-24T00:00:00.000
419,244,215,4,419,584.030000,0.0419,1,1,2026-08-24T00:00:00.000
420,174,220,1,420,585.400000,0.0420,1,1,2026-08-24T00:00:00.000
421,40,330,1,421,586.770000,0.0421,1,1,2026-08-24T00:00:00.000
422,323,328,1,422,588.140000,0.0422,1,1,2026-08-24T00:00:00.000
423,221,246,5,423,589.510000,0.0423,1,1,2026-08-24T00:00:00.000
424,330,210,3,424,590.880000,0.0424,1,1,2026-08-24T00:00:00.000
425,485,358,7,425,592.250000,0.0425,1,1,2026-08-24T00:00:00.000
426,196,234,2,426,593.620000,0.0426,1,1,2026-08-24T00:00:00.000
427,203,288,2,427,594.990000,0.0427,1,1,2026-08-24T00:00:00.000
428,71,241,2,428,596.360000,0.0428,1,1,2026-08-24T00:00:00.000
429,47,326,1,429,597.730000,0.0429,1,1,2026-08-24T00:00:00.000
430,267,447,4,430,599.100000,0.0430,1,1,2026-08-24T00:00:00.000
431,306,162,2,431,600.470000,0.0431,1,1,2026-08-24T00:00:00.000
432,212,29,7,432,601.840000,0.0432,1,1,2026-08-24T00:00:00.000
433,432,196,5,433,603.210000,0.0433,1,1,2026-08-24T00:00:00.000
434,167,124,1,434,604.580000,0.0434,1,1,2026-08-24T00:00:00.000
435,264,60,4,435,605.950000,0.0435,1,1,2026-08-24T00:00:00.000
436,17,475,4,436,607.320000,0.0436,1,1,2026-08-24T00:00:00.000
437,500,82,4,437,608.690000,0.0437,1,1,2026-08-24T00:00:00.000
438,153,162,1,438,610.060000,0.0438,1,1,2026-08-24T00:00:00.000
439,220,395,3,439,611.430000,0.0439,1,1,2026-08-24T00:00:00.000
440,422,265,6,440,612.800000,0.0440,1,1,2026-08-24T00:00:00.000
441,200,154,2,441,614.170000,0.0441,1,1,2026-08-24T00:00:00.000
442,360,438,4,442,615.540000,0.0442,1,1,2026-08-24T00:00:00.000
443,173,46,5,443,616.910000,0.0443,1,1,2026-08-24T00:00:00.000
444,24,441,7,444,618.280000,0.0444,1,1,2026-08-24T00:00:00.000
445,78,447,4,445,619.650000,0.0445,1,1,2026-08-24T00:00:00.000
446,114,488,1,446,621.020000,0.0446,1,1,2026-08-24T00:00:00.000
447,269,365,1,447,622.390000,0.0447,1,1,2026-08-24T00:00:00.000
448,303,236,5,448,623.760000,0.0448,1,1,2026-08-24T00:00:00.000
449,124,451,5,449,625.130000,0.0449,1,1,2026-08-24T00:00:00.000
450,368,454,4,450,626.500000,0.0450,1,1,2026-08-24T00:00:00.000
451,405,294,7,451,627.870000,0.0451,1,1,2026-08-24T00:00:00.000
452,311,296,4,452,629.240000,0.0452,1,1,2026-08-24T00:00:00.000
453,224,142,2,453,630.610000,0.0453,1,1,2026-08-24T00:00:00.000
454,213,336,7,454,631.980000,0.0454,1,1,2026-08-24T00:00:00.000
455,321,207,3,455,633.350000,0.0455,1,1,2026-08-24T00:00:00.000
456,171,483,1,456,634.720000,0.0456,1,1,2026-08-24T00:00:00.000
457,388,31,5,457,636.090000,0.0457,1,1,2026-08-24T00:00:00.000
458,298,62,7,458,637.460000,0.0458,1,1,2026-08-24T00:00:00.000
459,262,221,4,459,638.830000,0.0459,1,1,2026-08-24T00:00:00.000
460,231,411,2,460,640.200000,0.0460,1,1,2026-08-24T00:00:00.000
461,152,478,7,461,641.570000,0.0461,1,1,2026-08-24T00:00:00.000
462,34,431,4,462,642.940000,0.0462,1,1,2026-08-24T00:00:00.000
463,16,344,3,463,644.310000,0.0463,1,1,2026-08-24T00:00:00.000
464,324,286,3,464,645.680000,0.0464,1,1,2026-08-24T00:00:00.000
465,49,75,2,465,647.050000,0.0465,1,1,2026-08-24T00:00:00.000
466,136,283,7,466,648.420000,0.0466,1,1,2026-08-24T00:00:00.000
467,281,152,1,467,649.790000,0.0467,1,1,2026-08-24T00:00:00.000
468,270,224,5,468,651.160000,0.0468,1,1,2026-08-24T00:00:00.000
469,52,436,3,469,652.530000,0.0469,1,1,2026-08-24T00:00:00.000
470,254,360,2,470,653.900000,0.0470,1,1,2026-08-24T00:00:00.000
471,436,178,7,471,655.270000,0.0471,1,1,2026-08-24T00:00:00.000
472,164,107,5,472,656.640000,0.0472,1,1,2026-08-24T00:00:00.000
473,184,176,7,473,658.010000,0.0473,1,1,2026-08-24T00:00:00.000
474,15,483,6,474,659.380000,0.0474,1,1,2026-08-24T00:00:00.000
475,462,61,7,475,660.750000,0.0475,1,1,2026-08-24T00:00:00.000
476,407,17,7,476,662.120000,0.0476,1,1,2026-08-24T00:00:00.000
477,464,428,6,477,663.490000,0.0477,1,1,2026-08-24T00:00:00.000
478,441,499,4,478,664.860000,0.0478,1,1,2026-08-24T00:00:00.000
479,40,497,7,479,666.230000,0.0479,1,1,2026-08-24T00:00:00.000
480,276,203,4,480,667.600000,0.0480,1,1,2026-08-24T00:00:00.000
481,432,215,5,481,668.970000,0.0481,1,1,2026-08-24T00:00:00.000
482,52,109,3,482,670.340000,0.0482,1,1,2026-08-24T00:00:00.000
483,26,11,1,483,671.710000,0.0483,1,1,2026-08-24T00:00:00.000
484,333,185,3,484,673.080000,0.0484,1,1,2026-08-24T00:00:00.000
485,499,497,5,485,674.450000,0.0485,1,1,2026-08-24T00:00:00.000
486,4,312,7,486,675.820000,0.0486,1,1,2026-08-24T00:00:00.000
487,57,440,2,487,677.190000,0.0487,1,1,2026-08-24T00:00:00.000
488,196,249,2,488,678.560000,0.0488,1,1,2026-08-24T00:00:00.000
489,170,200,2,489,679.930000,0.0489,1,1,2026-08-24T00:00:00.000
490,132,488,4,490,681.300000,0.0490,1,1,2026-08-24T00:00:00.000
491,71,359,4,491,682.670000,0.0491,1,1,2026-08-24T00:00:00.000
492,268,376,3,492,684.040000,0.0492,1,1,2026-08-24T00:00:00.000
493,186,334,7,493,685.410000,0.0493,1,1,2026-08-24T00:00:00.000
494,443,177,5,494,686.780000,0.0494,1,1,2026-08-24T00:00:00.000
495,413,271,7,495,688.150000,0.0495,1,1,2026-08-24T00:00:00.000
496,241,491,1,496,689.520000,0.0496,1,1,2026-08-24T00:00:00.000
497,171,54,6,497,690.890000,0.0497,1,1,2026-08-24T00:00:00.000
498,229,75,3,498,692.260000,0.0498,1,1,2026-08-24T00:00:00.000
499,392,75,1,499,693.630000,0.0499,1,1,2026-08-24T00:00:00.000
500,188,352,6,500,695.000000,0.0500,1,1,2026-08-24T00:00:00.000
