PurchaseRequisitionToOrderLineKey,PurchaseRequisitionKey,PurchaseOrderLineKey,LinkedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
461,21,112,322.8000,1,1,2026-08-24T00:00:00.000
462,423,492,323.5000,1,1,2026-08-24T00:00:00.000
463,25,32,324.2000,1,1,2026-08-24T00:00:00.000
464,117,254,324.9000,1,1,2026-08-24T00:00:00.000
465,95,389,325.6000,1,1,2026-08-24T00:00:00.000
466,362,351,326.3000,1,1,2026-08-24T00:00:00.000
467,115,10,327.0000,1,1,2026-08-24T00:00:00.000
468,498,216,327.7000,1,1,2026-08-24T00:00:00.000
469,385,405,328.4000,1,1,2026-08-24T00:00:00.000
470,166,378,329.1000,1,1,2026-08-24T00:00:00.000
471,199,382,329.8000,1,1,2026-08-24T00:00:00.000
472,425,271,330.5000,1,1,2026-08-24T00:00:00.000
473,14,53,331.2000,1,1,2026-08-24T00:00:00.000
474,45,435,331.9000,1,1,2026-08-24T00:00:00.000
475,458,448,332.6000,1,1,2026-08-24T00:00:00.000
476,351,93,333.3000,1,1,2026-08-24T00:00:00.000
477,270,136,334.0000,1,1,2026-08-24T00:00:00.000
478,407,57,334.7000,1,1,2026-08-24T00:00:00.000
479,473,315,335.4000,1,1,2026-08-24T00:00:00.000
480,203,168,336.1000,1,1,2026-08-24T00:00:00.000
481,398,301,336.8000,1,1,2026-08-24T00:00:00.000
482,331,430,337.5000,1,1,2026-08-24T00:00:00.000
483,422,343,338.2000,1,1,2026-08-24T00:00:00.000
484,470,357,338.9000,1,1,2026-08-24T00:00:00.000
485,399,53,339.6000,1,1,2026-08-24T00:00:00.000
486,399,366,340.3000,1,1,2026-08-24T00:00:00.000
487,95,467,341.0000,1,1,2026-08-24T00:00:00.000
488,177,400,341.7000,1,1,2026-08-24T00:00:00.000
489,315,173,342.4000,1,1,2026-08-24T00:00:00.000
490,198,39,343.1000,1,1,2026-08-24T00:00:00.000
491,168,163,343.8000,1,1,2026-08-24T00:00:00.000
492,323,316,344.5000,1,1,2026-08-24T00:00:00.000
493,320,395,345.2000,1,1,2026-08-24T00:00:00.000
494,388,163,345.9000,1,1,2026-08-24T00:00:00.000
495,284,272,346.6000,1,1,2026-08-24T00:00:00.000
496,468,366,347.3000,1,1,2026-08-24T00:00:00.000
497,7,175,348.0000,1,1,2026-08-24T00:00:00.000
498,171,430,348.7000,1,1,2026-08-24T00:00:00.000
499,425,229,349.4000,1,1,2026-08-24T00:00:00.000
500,209,103,350.1000,1,1,2026-08-24T00:00:00.000
