ProductionOperationWorkCenterKey,ProductionOperationKey,WorkCenterKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
373,128,185,373,521.010000,0.0373,1,1,2026-08-24T00:00:00.000
374,401,243,374,522.380000,0.0374,1,1,2026-08-24T00:00:00.000
375,317,477,375,523.750000,0.0375,1,1,2026-08-24T00:00:00.000
376,189,458,376,525.120000,0.0376,1,1,2026-08-24T00:00:00.000
377,494,226,377,526.490000,0.0377,1,1,2026-08-24T00:00:00.000
378,66,425,378,527.860000,0.0378,1,1,2026-08-24T00:00:00.000
379,434,483,379,529.230000,0.0379,1,1,2026-08-24T00:00:00.000
380,455,114,380,530.600000,0.0380,1,1,2026-08-24T00:00:00.000
381,440,215,381,531.970000,0.0381,1,1,2026-08-24T00:00:00.000
382,150,130,382,533.340000,0.0382,1,1,2026-08-24T00:00:00.000
383,44,390,383,534.710000,0.0383,1,1,2026-08-24T00:00:00.000
384,427,43,384,536.080000,0.0384,1,1,2026-08-24T00:00:00.000
385,220,202,385,537.450000,0.0385,1,1,2026-08-24T00:00:00.000
386,3,333,386,538.820000,0.0386,1,1,2026-08-24T00:00:00.000
387,178,462,387,540.190000,0.0387,1,1,2026-08-24T00:00:00.000
388,455,153,388,541.560000,0.0388,1,1,2026-08-24T00:00:00.000
389,490,159,389,542.930000,0.0389,1,1,2026-08-24T00:00:00.000
390,499,427,390,544.300000,0.0390,1,1,2026-08-24T00:00:00.000
391,294,222,391,545.670000,0.0391,1,1,2026-08-24T00:00:00.000
392,233,260,392,547.040000,0.0392,1,1,2026-08-24T00:00:00.000
393,335,156,393,548.410000,0.0393,1,1,2026-08-24T00:00:00.000
394,211,199,394,549.780000,0.0394,1,1,2026-08-24T00:00:00.000
395,163,498,395,551.150000,0.0395,1,1,2026-08-24T00:00:00.000
396,75,456,396,552.520000,0.0396,1,1,2026-08-24T00:00:00.000
397,418,260,397,553.890000,0.0397,1,1,2026-08-24T00:00:00.000
398,133,390,398,555.260000,0.0398,1,1,2026-08-24T00:00:00.000
399,64,266,399,556.630000,0.0399,1,1,2026-08-24T00:00:00.000
400,232,481,400,558.000000,0.0400,1,1,2026-08-24T00:00:00.000
401,162,345,401,559.370000,0.0401,1,1,2026-08-24T00:00:00.000
402,279,396,402,560.740000,0.0402,1,1,2026-08-24T00:00:00.000
403,144,428,403,562.110000,0.0403,1,1,2026-08-24T00:00:00.000
404,216,286,404,563.480000,0.0404,1,1,2026-08-24T00:00:00.000
405,316,258,405,564.850000,0.0405,1,1,2026-08-24T00:00:00.000
406,105,39,406,566.220000,0.0406,1,1,2026-08-24T00:00:00.000
407,291,499,407,567.590000,0.0407,1,1,2026-08-24T00:00:00.000
408,407,282,408,568.960000,0.0408,1,1,2026-08-24T00:00:00.000
409,467,127,409,570.330000,0.0409,1,1,2026-08-24T00:00:00.000
410,453,239,410,571.700000,0.0410,1,1,2026-08-24T00:00:00.000
411,138,425,411,573.070000,0.0411,1,1,2026-08-24T00:00:00.000
412,171,135,412,574.440000,0.0412,1,1,2026-08-24T00:00:00.000
413,129,120,413,575.810000,0.0413,1,1,2026-08-24T00:00:00.000
414,191,52,414,577.180000,0.0414,1,1,2026-08-24T00:00:00.000
415,471,8,415,578.550000,0.0415,1,1,2026-08-24T00:00:00.000
416,333,438,416,579.920000,0.0416,1,1,2026-08-24T00:00:00.000
417,438,291,417,581.290000,0.0417,1,1,2026-08-24T00:00:00.000
418,212,330,418,582.660000,0.0418,1,1,2026-08-24T00:00:00.000
419,453,103,419,584.030000,0.0419,1,1,2026-08-24T00:00:00.000
420,128,483,420,585.400000,0.0420,1,1,2026-08-24T00:00:00.000
421,69,327,421,586.770000,0.0421,1,1,2026-08-24T00:00:00.000
422,12,432,422,588.140000,0.0422,1,1,2026-08-24T00:00:00.000
423,105,241,423,589.510000,0.0423,1,1,2026-08-24T00:00:00.000
424,268,360,424,590.880000,0.0424,1,1,2026-08-24T00:00:00.000
425,345,206,425,592.250000,0.0425,1,1,2026-08-24T00:00:00.000
426,121,296,426,593.620000,0.0426,1,1,2026-08-24T00:00:00.000
427,63,455,427,594.990000,0.0427,1,1,2026-08-24T00:00:00.000
428,35,59,428,596.360000,0.0428,1,1,2026-08-24T00:00:00.000
429,75,400,429,597.730000,0.0429,1,1,2026-08-24T00:00:00.000
430,467,350,430,599.100000,0.0430,1,1,2026-08-24T00:00:00.000
431,395,382,431,600.470000,0.0431,1,1,2026-08-24T00:00:00.000
432,248,195,432,601.840000,0.0432,1,1,2026-08-24T00:00:00.000
433,496,390,433,603.210000,0.0433,1,1,2026-08-24T00:00:00.000
434,325,479,434,604.580000,0.0434,1,1,2026-08-24T00:00:00.000
435,443,166,435,605.950000,0.0435,1,1,2026-08-24T00:00:00.000
436,318,299,436,607.320000,0.0436,1,1,2026-08-24T00:00:00.000
437,338,124,437,608.690000,0.0437,1,1,2026-08-24T00:00:00.000
438,302,500,438,610.060000,0.0438,1,1,2026-08-24T00:00:00.000
439,32,49,439,611.430000,0.0439,1,1,2026-08-24T00:00:00.000
440,362,148,440,612.800000,0.0440,1,1,2026-08-24T00:00:00.000
441,491,410,441,614.170000,0.0441,1,1,2026-08-24T00:00:00.000
442,27,101,442,615.540000,0.0442,1,1,2026-08-24T00:00:00.000
443,76,287,443,616.910000,0.0443,1,1,2026-08-24T00:00:00.000
444,78,162,444,618.280000,0.0444,1,1,2026-08-24T00:00:00.000
445,409,223,445,619.650000,0.0445,1,1,2026-08-24T00:00:00.000
446,378,390,446,621.020000,0.0446,1,1,2026-08-24T00:00:00.000
447,8,25,447,622.390000,0.0447,1,1,2026-08-24T00:00:00.000
448,291,205,448,623.760000,0.0448,1,1,2026-08-24T00:00:00.000
449,398,76,449,625.130000,0.0449,1,1,2026-08-24T00:00:00.000
450,128,409,450,626.500000,0.0450,1,1,2026-08-24T00:00:00.000
451,489,203,451,627.870000,0.0451,1,1,2026-08-24T00:00:00.000
452,5,107,452,629.240000,0.0452,1,1,2026-08-24T00:00:00.000
453,206,240,453,630.610000,0.0453,1,1,2026-08-24T00:00:00.000
454,110,432,454,631.980000,0.0454,1,1,2026-08-24T00:00:00.000
455,172,374,455,633.350000,0.0455,1,1,2026-08-24T00:00:00.000
456,99,246,456,634.720000,0.0456,1,1,2026-08-24T00:00:00.000
457,195,371,457,636.090000,0.0457,1,1,2026-08-24T00:00:00.000
458,120,389,458,637.460000,0.0458,1,1,2026-08-24T00:00:00.000
459,70,33,459,638.830000,0.0459,1,1,2026-08-24T00:00:00.000
460,187,492,460,640.200000,0.0460,1,1,2026-08-24T00:00:00.000
461,300,153,461,641.570000,0.0461,1,1,2026-08-24T00:00:00.000
462,97,176,462,642.940000,0.0462,1,1,2026-08-24T00:00:00.000
463,59,332,463,644.310000,0.0463,1,1,2026-08-24T00:00:00.000
464,438,207,464,645.680000,0.0464,1,1,2026-08-24T00:00:00.000
465,63,149,465,647.050000,0.0465,1,1,2026-08-24T00:00:00.000
466,163,209,466,648.420000,0.0466,1,1,2026-08-24T00:00:00.000
467,14,3,467,649.790000,0.0467,1,1,2026-08-24T00:00:00.000
468,40,6,468,651.160000,0.0468,1,1,2026-08-24T00:00:00.000
469,31,478,469,652.530000,0.0469,1,1,2026-08-24T00:00:00.000
470,102,14,470,653.900000,0.0470,1,1,2026-08-24T00:00:00.000
471,209,294,471,655.270000,0.0471,1,1,2026-08-24T00:00:00.000
472,288,403,472,656.640000,0.0472,1,1,2026-08-24T00:00:00.000
473,286,159,473,658.010000,0.0473,1,1,2026-08-24T00:00:00.000
474,311,77,474,659.380000,0.0474,1,1,2026-08-24T00:00:00.000
475,98,275,475,660.750000,0.0475,1,1,2026-08-24T00:00:00.000
476,391,167,476,662.120000,0.0476,1,1,2026-08-24T00:00:00.000
477,186,136,477,663.490000,0.0477,1,1,2026-08-24T00:00:00.000
478,445,472,478,664.860000,0.0478,1,1,2026-08-24T00:00:00.000
479,333,156,479,666.230000,0.0479,1,1,2026-08-24T00:00:00.000
480,62,276,480,667.600000,0.0480,1,1,2026-08-24T00:00:00.000
481,421,352,481,668.970000,0.0481,1,1,2026-08-24T00:00:00.000
482,26,468,482,670.340000,0.0482,1,1,2026-08-24T00:00:00.000
483,127,488,483,671.710000,0.0483,1,1,2026-08-24T00:00:00.000
484,168,356,484,673.080000,0.0484,1,1,2026-08-24T00:00:00.000
485,10,182,485,674.450000,0.0485,1,1,2026-08-24T00:00:00.000
486,143,108,486,675.820000,0.0486,1,1,2026-08-24T00:00:00.000
487,182,272,487,677.190000,0.0487,1,1,2026-08-24T00:00:00.000
488,224,400,488,678.560000,0.0488,1,1,2026-08-24T00:00:00.000
489,48,490,489,679.930000,0.0489,1,1,2026-08-24T00:00:00.000
490,438,236,490,681.300000,0.0490,1,1,2026-08-24T00:00:00.000
491,1,459,491,682.670000,0.0491,1,1,2026-08-24T00:00:00.000
492,411,425,492,684.040000,0.0492,1,1,2026-08-24T00:00:00.000
493,254,342,493,685.410000,0.0493,1,1,2026-08-24T00:00:00.000
494,167,397,494,686.780000,0.0494,1,1,2026-08-24T00:00:00.000
495,131,130,495,688.150000,0.0495,1,1,2026-08-24T00:00:00.000
496,53,236,496,689.520000,0.0496,1,1,2026-08-24T00:00:00.000
497,336,147,497,690.890000,0.0497,1,1,2026-08-24T00:00:00.000
498,129,159,498,692.260000,0.0498,1,1,2026-08-24T00:00:00.000
499,201,124,499,693.630000,0.0499,1,1,2026-08-24T00:00:00.000
500,249,427,500,695.000000,0.0500,1,1,2026-08-24T00:00:00.000
