RoutingWorkCenterAssignmentKey,RoutingHeaderKey,WorkCenterKey,RoutingOperationTypeKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
353,161,318,390,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,66,137,29,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,36,73,42,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,455,419,423,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,280,348,352,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,172,301,134,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,434,248,351,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,6,54,168,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,356,436,168,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,260,366,114,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,234,14,461,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,84,314,440,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,141,416,481,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,327,481,215,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,290,16,158,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,303,428,392,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,442,291,276,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,306,28,359,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,96,297,143,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,192,343,190,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
373,425,29,422,373,521.010000,0.0373,1,1,2026-08-24T00:00:00.000
374,48,318,364,374,522.380000,0.0374,1,1,2026-08-24T00:00:00.000
375,63,397,85,375,523.750000,0.0375,1,1,2026-08-24T00:00:00.000
376,434,215,99,376,525.120000,0.0376,1,1,2026-08-24T00:00:00.000
377,100,117,415,377,526.490000,0.0377,1,1,2026-08-24T00:00:00.000
378,196,463,171,378,527.860000,0.0378,1,1,2026-08-24T00:00:00.000
379,6,245,385,379,529.230000,0.0379,1,1,2026-08-24T00:00:00.000
380,95,473,121,380,530.600000,0.0380,1,1,2026-08-24T00:00:00.000
381,474,9,295,381,531.970000,0.0381,1,1,2026-08-24T00:00:00.000
382,2,84,217,382,533.340000,0.0382,1,1,2026-08-24T00:00:00.000
383,105,436,283,383,534.710000,0.0383,1,1,2026-08-24T00:00:00.000
384,492,278,302,384,536.080000,0.0384,1,1,2026-08-24T00:00:00.000
385,422,436,156,385,537.450000,0.0385,1,1,2026-08-24T00:00:00.000
386,277,108,120,386,538.820000,0.0386,1,1,2026-08-24T00:00:00.000
387,206,364,395,387,540.190000,0.0387,1,1,2026-08-24T00:00:00.000
388,481,241,484,388,541.560000,0.0388,1,1,2026-08-24T00:00:00.000
389,19,500,76,389,542.930000,0.0389,1,1,2026-08-24T00:00:00.000
390,107,224,365,390,544.300000,0.0390,1,1,2026-08-24T00:00:00.000
391,247,59,251,391,545.670000,0.0391,1,1,2026-08-24T00:00:00.000
392,103,379,123,392,547.040000,0.0392,1,1,2026-08-24T00:00:00.000
393,500,394,396,393,548.410000,0.0393,1,1,2026-08-24T00:00:00.000
394,398,111,86,394,549.780000,0.0394,1,1,2026-08-24T00:00:00.000
395,214,38,497,395,551.150000,0.0395,1,1,2026-08-24T00:00:00.000
396,282,377,77,396,552.520000,0.0396,1,1,2026-08-24T00:00:00.000
397,397,204,82,397,553.890000,0.0397,1,1,2026-08-24T00:00:00.000
398,304,326,233,398,555.260000,0.0398,1,1,2026-08-24T00:00:00.000
399,141,495,228,399,556.630000,0.0399,1,1,2026-08-24T00:00:00.000
400,131,351,206,400,558.000000,0.0400,1,1,2026-08-24T00:00:00.000
401,16,457,418,401,559.370000,0.0401,1,1,2026-08-24T00:00:00.000
402,307,51,406,402,560.740000,0.0402,1,1,2026-08-24T00:00:00.000
403,377,415,371,403,562.110000,0.0403,1,1,2026-08-24T00:00:00.000
404,166,380,435,404,563.480000,0.0404,1,1,2026-08-24T00:00:00.000
405,411,331,495,405,564.850000,0.0405,1,1,2026-08-24T00:00:00.000
406,180,419,256,406,566.220000,0.0406,1,1,2026-08-24T00:00:00.000
407,181,222,181,407,567.590000,0.0407,1,1,2026-08-24T00:00:00.000
408,290,123,250,408,568.960000,0.0408,1,1,2026-08-24T00:00:00.000
409,50,131,160,409,570.330000,0.0409,1,1,2026-08-24T00:00:00.000
410,399,222,328,410,571.700000,0.0410,1,1,2026-08-24T00:00:00.000
411,167,18,83,411,573.070000,0.0411,1,1,2026-08-24T00:00:00.000
412,130,270,168,412,574.440000,0.0412,1,1,2026-08-24T00:00:00.000
413,109,325,213,413,575.810000,0.0413,1,1,2026-08-24T00:00:00.000
414,264,235,120,414,577.180000,0.0414,1,1,2026-08-24T00:00:00.000
415,326,159,333,415,578.550000,0.0415,1,1,2026-08-24T00:00:00.000
416,229,189,425,416,579.920000,0.0416,1,1,2026-08-24T00:00:00.000
417,19,317,492,417,581.290000,0.0417,1,1,2026-08-24T00:00:00.000
418,359,63,115,418,582.660000,0.0418,1,1,2026-08-24T00:00:00.000
419,323,11,475,419,584.030000,0.0419,1,1,2026-08-24T00:00:00.000
420,95,60,359,420,585.400000,0.0420,1,1,2026-08-24T00:00:00.000
421,84,388,8,421,586.770000,0.0421,1,1,2026-08-24T00:00:00.000
422,102,31,228,422,588.140000,0.0422,1,1,2026-08-24T00:00:00.000
423,337,171,55,423,589.510000,0.0423,1,1,2026-08-24T00:00:00.000
424,33,21,349,424,590.880000,0.0424,1,1,2026-08-24T00:00:00.000
425,33,389,60,425,592.250000,0.0425,1,1,2026-08-24T00:00:00.000
426,116,241,254,426,593.620000,0.0426,1,1,2026-08-24T00:00:00.000
427,265,237,201,427,594.990000,0.0427,1,1,2026-08-24T00:00:00.000
428,83,492,372,428,596.360000,0.0428,1,1,2026-08-24T00:00:00.000
429,254,207,67,429,597.730000,0.0429,1,1,2026-08-24T00:00:00.000
430,443,38,115,430,599.100000,0.0430,1,1,2026-08-24T00:00:00.000
431,137,435,334,431,600.470000,0.0431,1,1,2026-08-24T00:00:00.000
432,106,237,301,432,601.840000,0.0432,1,1,2026-08-24T00:00:00.000
433,247,4,359,433,603.210000,0.0433,1,1,2026-08-24T00:00:00.000
434,404,380,109,434,604.580000,0.0434,1,1,2026-08-24T00:00:00.000
435,353,73,134,435,605.950000,0.0435,1,1,2026-08-24T00:00:00.000
436,177,402,427,436,607.320000,0.0436,1,1,2026-08-24T00:00:00.000
437,158,67,274,437,608.690000,0.0437,1,1,2026-08-24T00:00:00.000
438,60,6,83,438,610.060000,0.0438,1,1,2026-08-24T00:00:00.000
439,428,399,488,439,611.430000,0.0439,1,1,2026-08-24T00:00:00.000
440,415,445,242,440,612.800000,0.0440,1,1,2026-08-24T00:00:00.000
441,43,20,275,441,614.170000,0.0441,1,1,2026-08-24T00:00:00.000
442,395,355,455,442,615.540000,0.0442,1,1,2026-08-24T00:00:00.000
443,43,342,259,443,616.910000,0.0443,1,1,2026-08-24T00:00:00.000
444,170,432,283,444,618.280000,0.0444,1,1,2026-08-24T00:00:00.000
445,471,266,459,445,619.650000,0.0445,1,1,2026-08-24T00:00:00.000
446,222,457,339,446,621.020000,0.0446,1,1,2026-08-24T00:00:00.000
447,356,36,115,447,622.390000,0.0447,1,1,2026-08-24T00:00:00.000
448,275,453,7,448,623.760000,0.0448,1,1,2026-08-24T00:00:00.000
449,132,176,335,449,625.130000,0.0449,1,1,2026-08-24T00:00:00.000
450,56,255,470,450,626.500000,0.0450,1,1,2026-08-24T00:00:00.000
451,180,305,334,451,627.870000,0.0451,1,1,2026-08-24T00:00:00.000
452,482,9,322,452,629.240000,0.0452,1,1,2026-08-24T00:00:00.000
453,480,89,70,453,630.610000,0.0453,1,1,2026-08-24T00:00:00.000
454,348,198,71,454,631.980000,0.0454,1,1,2026-08-24T00:00:00.000
455,242,153,490,455,633.350000,0.0455,1,1,2026-08-24T00:00:00.000
456,210,365,71,456,634.720000,0.0456,1,1,2026-08-24T00:00:00.000
457,419,37,270,457,636.090000,0.0457,1,1,2026-08-24T00:00:00.000
458,434,238,56,458,637.460000,0.0458,1,1,2026-08-24T00:00:00.000
459,340,388,454,459,638.830000,0.0459,1,1,2026-08-24T00:00:00.000
460,28,264,430,460,640.200000,0.0460,1,1,2026-08-24T00:00:00.000
461,333,397,413,461,641.570000,0.0461,1,1,2026-08-24T00:00:00.000
462,9,260,155,462,642.940000,0.0462,1,1,2026-08-24T00:00:00.000
463,392,353,131,463,644.310000,0.0463,1,1,2026-08-24T00:00:00.000
464,354,40,425,464,645.680000,0.0464,1,1,2026-08-24T00:00:00.000
465,379,236,77,465,647.050000,0.0465,1,1,2026-08-24T00:00:00.000
466,73,350,208,466,648.420000,0.0466,1,1,2026-08-24T00:00:00.000
467,11,477,8,467,649.790000,0.0467,1,1,2026-08-24T00:00:00.000
468,496,469,424,468,651.160000,0.0468,1,1,2026-08-24T00:00:00.000
469,189,384,306,469,652.530000,0.0469,1,1,2026-08-24T00:00:00.000
470,430,492,335,470,653.900000,0.0470,1,1,2026-08-24T00:00:00.000
471,149,67,199,471,655.270000,0.0471,1,1,2026-08-24T00:00:00.000
472,313,196,373,472,656.640000,0.0472,1,1,2026-08-24T00:00:00.000
473,268,359,450,473,658.010000,0.0473,1,1,2026-08-24T00:00:00.000
474,365,355,110,474,659.380000,0.0474,1,1,2026-08-24T00:00:00.000
475,98,224,54,475,660.750000,0.0475,1,1,2026-08-24T00:00:00.000
476,439,448,73,476,662.120000,0.0476,1,1,2026-08-24T00:00:00.000
477,25,33,290,477,663.490000,0.0477,1,1,2026-08-24T00:00:00.000
478,274,66,324,478,664.860000,0.0478,1,1,2026-08-24T00:00:00.000
479,455,420,486,479,666.230000,0.0479,1,1,2026-08-24T00:00:00.000
480,246,369,16,480,667.600000,0.0480,1,1,2026-08-24T00:00:00.000
481,74,133,458,481,668.970000,0.0481,1,1,2026-08-24T00:00:00.000
482,476,484,467,482,670.340000,0.0482,1,1,2026-08-24T00:00:00.000
483,257,431,258,483,671.710000,0.0483,1,1,2026-08-24T00:00:00.000
484,171,481,349,484,673.080000,0.0484,1,1,2026-08-24T00:00:00.000
485,323,482,90,485,674.450000,0.0485,1,1,2026-08-24T00:00:00.000
486,151,94,293,486,675.820000,0.0486,1,1,2026-08-24T00:00:00.000
487,335,82,228,487,677.190000,0.0487,1,1,2026-08-24T00:00:00.000
488,33,227,94,488,678.560000,0.0488,1,1,2026-08-24T00:00:00.000
489,498,62,387,489,679.930000,0.0489,1,1,2026-08-24T00:00:00.000
490,112,71,142,490,681.300000,0.0490,1,1,2026-08-24T00:00:00.000
491,312,481,296,491,682.670000,0.0491,1,1,2026-08-24T00:00:00.000
492,446,126,251,492,684.040000,0.0492,1,1,2026-08-24T00:00:00.000
493,245,392,360,493,685.410000,0.0493,1,1,2026-08-24T00:00:00.000
494,412,458,261,494,686.780000,0.0494,1,1,2026-08-24T00:00:00.000
495,100,122,107,495,688.150000,0.0495,1,1,2026-08-24T00:00:00.000
496,230,332,76,496,689.520000,0.0496,1,1,2026-08-24T00:00:00.000
497,380,207,320,497,690.890000,0.0497,1,1,2026-08-24T00:00:00.000
498,296,316,198,498,692.260000,0.0498,1,1,2026-08-24T00:00:00.000
499,380,120,448,499,693.630000,0.0499,1,1,2026-08-24T00:00:00.000
500,324,436,289,500,695.000000,0.0500,1,1,2026-08-24T00:00:00.000
