LogisticsShipmentTariffAssignmentKey,LogisticsShipmentLineKey,LogisticsTariffItemKey,LogisticsCustomsStatusKey,DeclaredQuantity,SourceSystemKey,BatchId,LoadedAtUtc
431,276,468,6,301.8000,1,1,2026-08-24T00:00:00.000
432,280,439,2,302.5000,1,1,2026-08-24T00:00:00.000
433,201,480,3,303.2000,1,1,2026-08-24T00:00:00.000
434,106,453,7,303.9000,1,1,2026-08-24T00:00:00.000
435,321,104,8,304.6000,1,1,2026-08-24T00:00:00.000
436,222,146,10,305.3000,1,1,2026-08-24T00:00:00.000
437,124,130,9,306.0000,1,1,2026-08-24T00:00:00.000
438,408,220,4,306.7000,1,1,2026-08-24T00:00:00.000
439,49,38,7,307.4000,1,1,2026-08-24T00:00:00.000
440,188,94,5,308.1000,1,1,2026-08-24T00:00:00.000
441,362,493,10,308.8000,1,1,2026-08-24T00:00:00.000
442,174,231,10,309.5000,1,1,2026-08-24T00:00:00.000
443,40,160,7,310.2000,1,1,2026-08-24T00:00:00.000
444,317,232,4,310.9000,1,1,2026-08-24T00:00:00.000
445,252,208,8,311.6000,1,1,2026-08-24T00:00:00.000
446,258,105,10,312.3000,1,1,2026-08-24T00:00:00.000
447,310,135,10,313.0000,1,1,2026-08-24T00:00:00.000
448,211,93,7,313.7000,1,1,2026-08-24T00:00:00.000
449,56,170,4,314.4000,1,1,2026-08-24T00:00:00.000
450,255,466,4,315.1000,1,1,2026-08-24T00:00:00.000
451,395,239,10,315.8000,1,1,2026-08-24T00:00:00.000
452,225,96,9,316.5000,1,1,2026-08-24T00:00:00.000
453,99,87,8,317.2000,1,1,2026-08-24T00:00:00.000
454,374,381,2,317.9000,1,1,2026-08-24T00:00:00.000
455,5,340,5,318.6000,1,1,2026-08-24T00:00:00.000
456,42,233,1,319.3000,1,1,2026-08-24T00:00:00.000
457,483,485,6,320.0000,1,1,2026-08-24T00:00:00.000
458,112,174,6,320.7000,1,1,2026-08-24T00:00:00.000
459,293,473,4,321.4000,1,1,2026-08-24T00:00:00.000
460,412,355,8,322.1000,1,1,2026-08-24T00:00:00.000
461,237,22,9,322.8000,1,1,2026-08-24T00:00:00.000
462,119,21,8,323.5000,1,1,2026-08-24T00:00:00.000
463,261,328,5,324.2000,1,1,2026-08-24T00:00:00.000
464,144,380,5,324.9000,1,1,2026-08-24T00:00:00.000
465,136,68,1,325.6000,1,1,2026-08-24T00:00:00.000
466,81,75,7,326.3000,1,1,2026-08-24T00:00:00.000
467,157,310,6,327.0000,1,1,2026-08-24T00:00:00.000
468,1,417,10,327.7000,1,1,2026-08-24T00:00:00.000
469,400,433,2,328.4000,1,1,2026-08-24T00:00:00.000
470,111,103,2,329.1000,1,1,2026-08-24T00:00:00.000
471,337,262,9,329.8000,1,1,2026-08-24T00:00:00.000
472,152,449,5,330.5000,1,1,2026-08-24T00:00:00.000
473,442,11,2,331.2000,1,1,2026-08-24T00:00:00.000
474,131,11,10,331.9000,1,1,2026-08-24T00:00:00.000
475,426,41,3,332.6000,1,1,2026-08-24T00:00:00.000
476,362,108,4,333.3000,1,1,2026-08-24T00:00:00.000
477,452,47,10,334.0000,1,1,2026-08-24T00:00:00.000
478,333,201,2,334.7000,1,1,2026-08-24T00:00:00.000
479,190,395,5,335.4000,1,1,2026-08-24T00:00:00.000
480,270,277,3,336.1000,1,1,2026-08-24T00:00:00.000
481,447,212,8,336.8000,1,1,2026-08-24T00:00:00.000
482,454,284,3,337.5000,1,1,2026-08-24T00:00:00.000
483,284,326,6,338.2000,1,1,2026-08-24T00:00:00.000
484,344,486,5,338.9000,1,1,2026-08-24T00:00:00.000
485,194,253,8,339.6000,1,1,2026-08-24T00:00:00.000
486,157,225,2,340.3000,1,1,2026-08-24T00:00:00.000
487,113,62,2,341.0000,1,1,2026-08-24T00:00:00.000
488,313,335,5,341.7000,1,1,2026-08-24T00:00:00.000
489,413,492,3,342.4000,1,1,2026-08-24T00:00:00.000
490,279,40,8,343.1000,1,1,2026-08-24T00:00:00.000
491,392,478,4,343.8000,1,1,2026-08-24T00:00:00.000
492,345,70,9,344.5000,1,1,2026-08-24T00:00:00.000
493,106,43,9,345.2000,1,1,2026-08-24T00:00:00.000
494,52,119,5,345.9000,1,1,2026-08-24T00:00:00.000
495,21,63,6,346.6000,1,1,2026-08-24T00:00:00.000
496,243,263,3,347.3000,1,1,2026-08-24T00:00:00.000
497,475,444,1,348.0000,1,1,2026-08-24T00:00:00.000
498,67,130,1,348.7000,1,1,2026-08-24T00:00:00.000
499,443,257,6,349.4000,1,1,2026-08-24T00:00:00.000
500,114,336,3,350.1000,1,1,2026-08-24T00:00:00.000
