LaborEmployeeSkillKey,EmployeeKey,LaborSkillKey,ProficiencyRating,VerifiedDate,SourceSystemKey,BatchId,LoadedAtUtc
384,327,476,385.00,2021-01-19,1,1,2026-08-24T00:00:00.000
385,199,85,386.00,2021-01-20,1,1,2026-08-24T00:00:00.000
386,41,185,387.00,2021-01-21,1,1,2026-08-24T00:00:00.000
387,271,207,388.00,2021-01-22,1,1,2026-08-24T00:00:00.000
388,62,345,389.00,2021-01-23,1,1,2026-08-24T00:00:00.000
389,126,310,390.00,2021-01-24,1,1,2026-08-24T00:00:00.000
390,86,258,391.00,2021-01-25,1,1,2026-08-24T00:00:00.000
391,451,214,392.00,2021-01-26,1,1,2026-08-24T00:00:00.000
392,261,164,393.00,2021-01-27,1,1,2026-08-24T00:00:00.000
393,138,390,394.00,2021-01-28,1,1,2026-08-24T00:00:00.000
394,67,464,395.00,2021-01-29,1,1,2026-08-24T00:00:00.000
395,470,107,396.00,2021-01-30,1,1,2026-08-24T00:00:00.000
396,23,299,397.00,2021-01-31,1,1,2026-08-24T00:00:00.000
397,274,111,398.00,2021-02-01,1,1,2026-08-24T00:00:00.000
398,320,9,399.00,2021-02-02,1,1,2026-08-24T00:00:00.000
399,282,213,400.00,2021-02-03,1,1,2026-08-24T00:00:00.000
400,82,401,401.00,2021-02-04,1,1,2026-08-24T00:00:00.000
401,33,310,402.00,2021-02-05,1,1,2026-08-24T00:00:00.000
402,332,123,403.00,2021-02-06,1,1,2026-08-24T00:00:00.000
403,197,469,404.00,2021-02-07,1,1,2026-08-24T00:00:00.000
404,455,265,405.00,2021-02-08,1,1,2026-08-24T00:00:00.000
405,23,130,406.00,2021-02-09,1,1,2026-08-24T00:00:00.000
406,189,203,407.00,2021-02-10,1,1,2026-08-24T00:00:00.000
407,236,454,408.00,2021-02-11,1,1,2026-08-24T00:00:00.000
408,3,146,409.00,2021-02-12,1,1,2026-08-24T00:00:00.000
409,236,10,410.00,2021-02-13,1,1,2026-08-24T00:00:00.000
410,90,257,411.00,2021-02-14,1,1,2026-08-24T00:00:00.000
411,24,292,412.00,2021-02-15,1,1,2026-08-24T00:00:00.000
412,51,239,413.00,2021-02-16,1,1,2026-08-24T00:00:00.000
413,302,29,414.00,2021-02-17,1,1,2026-08-24T00:00:00.000
414,81,105,415.00,2021-02-18,1,1,2026-08-24T00:00:00.000
415,10,291,416.00,2021-02-19,1,1,2026-08-24T00:00:00.000
416,450,95,417.00,2021-02-20,1,1,2026-08-24T00:00:00.000
417,124,167,418.00,2021-02-21,1,1,2026-08-24T00:00:00.000
418,125,303,419.00,2021-02-22,1,1,2026-08-24T00:00:00.000
419,279,462,420.00,2021-02-23,1,1,2026-08-24T00:00:00.000
420,161,452,421.00,2021-02-24,1,1,2026-08-24T00:00:00.000
421,308,27,422.00,2021-02-25,1,1,2026-08-24T00:00:00.000
422,312,4,423.00,2021-02-26,1,1,2026-08-24T00:00:00.000
423,67,36,424.00,2021-02-27,1,1,2026-08-24T00:00:00.000
424,320,161,425.00,2021-02-28,1,1,2026-08-24T00:00:00.000
425,14,86,426.00,2021-03-01,1,1,2026-08-24T00:00:00.000
426,182,370,427.00,2021-03-02,1,1,2026-08-24T00:00:00.000
427,147,7,428.00,2021-03-03,1,1,2026-08-24T00:00:00.000
428,369,349,429.00,2021-03-04,1,1,2026-08-24T00:00:00.000
429,233,42,430.00,2021-03-05,1,1,2026-08-24T00:00:00.000
430,232,401,431.00,2021-03-06,1,1,2026-08-24T00:00:00.000
431,370,426,432.00,2021-03-07,1,1,2026-08-24T00:00:00.000
432,323,369,433.00,2021-03-08,1,1,2026-08-24T00:00:00.000
433,478,354,434.00,2021-03-09,1,1,2026-08-24T00:00:00.000
434,283,36,435.00,2021-03-10,1,1,2026-08-24T00:00:00.000
435,301,422,436.00,2021-03-11,1,1,2026-08-24T00:00:00.000
436,201,193,437.00,2021-03-12,1,1,2026-08-24T00:00:00.000
437,3,407,438.00,2021-03-13,1,1,2026-08-24T00:00:00.000
438,188,85,439.00,2021-03-14,1,1,2026-08-24T00:00:00.000
439,96,116,440.00,2021-03-15,1,1,2026-08-24T00:00:00.000
440,226,366,441.00,2021-03-16,1,1,2026-08-24T00:00:00.000
441,95,477,442.00,2021-03-17,1,1,2026-08-24T00:00:00.000
442,325,236,443.00,2021-03-18,1,1,2026-08-24T00:00:00.000
443,132,393,444.00,2021-03-19,1,1,2026-08-24T00:00:00.000
444,469,423,445.00,2021-03-20,1,1,2026-08-24T00:00:00.000
445,401,219,446.00,2021-03-21,1,1,2026-08-24T00:00:00.000
446,471,136,447.00,2021-03-22,1,1,2026-08-24T00:00:00.000
447,242,191,448.00,2021-03-23,1,1,2026-08-24T00:00:00.000
448,291,432,449.00,2021-03-24,1,1,2026-08-24T00:00:00.000
449,357,19,450.00,2021-03-25,1,1,2026-08-24T00:00:00.000
450,249,112,451.00,2021-03-26,1,1,2026-08-24T00:00:00.000
451,309,461,452.00,2021-03-27,1,1,2026-08-24T00:00:00.000
452,79,109,453.00,2021-03-28,1,1,2026-08-24T00:00:00.000
453,406,392,454.00,2021-03-29,1,1,2026-08-24T00:00:00.000
454,223,358,455.00,2021-03-30,1,1,2026-08-24T00:00:00.000
455,479,276,456.00,2021-03-31,1,1,2026-08-24T00:00:00.000
456,111,488,457.00,2021-04-01,1,1,2026-08-24T00:00:00.000
457,201,316,458.00,2021-04-02,1,1,2026-08-24T00:00:00.000
458,189,339,459.00,2021-04-03,1,1,2026-08-24T00:00:00.000
459,322,30,460.00,2021-04-04,1,1,2026-08-24T00:00:00.000
460,102,147,461.00,2021-04-05,1,1,2026-08-24T00:00:00.000
461,419,85,462.00,2021-04-06,1,1,2026-08-24T00:00:00.000
462,32,84,463.00,2021-04-07,1,1,2026-08-24T00:00:00.000
463,280,254,464.00,2021-04-08,1,1,2026-08-24T00:00:00.000
464,434,450,465.00,2021-04-09,1,1,2026-08-24T00:00:00.000
465,108,125,466.00,2021-04-10,1,1,2026-08-24T00:00:00.000
466,148,103,467.00,2021-04-11,1,1,2026-08-24T00:00:00.000
467,290,141,468.00,2021-04-12,1,1,2026-08-24T00:00:00.000
468,38,477,469.00,2021-04-13,1,1,2026-08-24T00:00:00.000
469,466,368,470.00,2021-04-14,1,1,2026-08-24T00:00:00.000
470,495,428,471.00,2021-04-15,1,1,2026-08-24T00:00:00.000
471,341,261,472.00,2021-04-16,1,1,2026-08-24T00:00:00.000
472,103,301,473.00,2021-04-17,1,1,2026-08-24T00:00:00.000
473,340,364,474.00,2021-04-18,1,1,2026-08-24T00:00:00.000
474,402,79,475.00,2021-04-19,1,1,2026-08-24T00:00:00.000
475,487,383,476.00,2021-04-20,1,1,2026-08-24T00:00:00.000
476,225,464,477.00,2021-04-21,1,1,2026-08-24T00:00:00.000
477,389,200,478.00,2021-04-22,1,1,2026-08-24T00:00:00.000
478,28,241,479.00,2021-04-23,1,1,2026-08-24T00:00:00.000
479,460,440,480.00,2021-04-24,1,1,2026-08-24T00:00:00.000
480,72,186,481.00,2021-04-25,1,1,2026-08-24T00:00:00.000
481,471,139,482.00,2021-04-26,1,1,2026-08-24T00:00:00.000
482,129,165,483.00,2021-04-27,1,1,2026-08-24T00:00:00.000
483,338,81,484.00,2021-04-28,1,1,2026-08-24T00:00:00.000
484,353,331,485.00,2021-04-29,1,1,2026-08-24T00:00:00.000
485,298,360,486.00,2021-04-30,1,1,2026-08-24T00:00:00.000
486,110,409,487.00,2021-05-01,1,1,2026-08-24T00:00:00.000
487,219,445,488.00,2021-05-02,1,1,2026-08-24T00:00:00.000
488,435,70,489.00,2021-05-03,1,1,2026-08-24T00:00:00.000
489,345,101,490.00,2021-05-04,1,1,2026-08-24T00:00:00.000
490,475,417,491.00,2021-05-05,1,1,2026-08-24T00:00:00.000
491,21,8,492.00,2021-05-06,1,1,2026-08-24T00:00:00.000
492,490,180,493.00,2021-05-07,1,1,2026-08-24T00:00:00.000
493,220,494,494.00,2021-05-08,1,1,2026-08-24T00:00:00.000
494,286,119,495.00,2021-05-09,1,1,2026-08-24T00:00:00.000
495,4,224,496.00,2021-05-10,1,1,2026-08-24T00:00:00.000
496,167,62,497.00,2021-05-11,1,1,2026-08-24T00:00:00.000
497,465,443,498.00,2021-05-12,1,1,2026-08-24T00:00:00.000
498,215,273,499.00,2021-05-13,1,1,2026-08-24T00:00:00.000
499,5,179,500.00,2021-05-14,1,1,2026-08-24T00:00:00.000
500,191,231,501.00,2021-05-15,1,1,2026-08-24T00:00:00.000
