QualityInspectionPlanCharacteristicKey,QualityInspectionPlanKey,QualityInspectionCharacteristicKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
373,446,300,373,521.010000,0.0373,1,1,2026-08-24T00:00:00.000
374,50,243,374,522.380000,0.0374,1,1,2026-08-24T00:00:00.000
375,253,229,375,523.750000,0.0375,1,1,2026-08-24T00:00:00.000
376,327,360,376,525.120000,0.0376,1,1,2026-08-24T00:00:00.000
377,187,121,377,526.490000,0.0377,1,1,2026-08-24T00:00:00.000
378,377,166,378,527.860000,0.0378,1,1,2026-08-24T00:00:00.000
379,263,103,379,529.230000,0.0379,1,1,2026-08-24T00:00:00.000
380,470,491,380,530.600000,0.0380,1,1,2026-08-24T00:00:00.000
381,78,278,381,531.970000,0.0381,1,1,2026-08-24T00:00:00.000
382,35,71,382,533.340000,0.0382,1,1,2026-08-24T00:00:00.000
383,194,259,383,534.710000,0.0383,1,1,2026-08-24T00:00:00.000
384,301,366,384,536.080000,0.0384,1,1,2026-08-24T00:00:00.000
385,17,283,385,537.450000,0.0385,1,1,2026-08-24T00:00:00.000
386,94,177,386,538.820000,0.0386,1,1,2026-08-24T00:00:00.000
387,313,131,387,540.190000,0.0387,1,1,2026-08-24T00:00:00.000
388,62,292,388,541.560000,0.0388,1,1,2026-08-24T00:00:00.000
389,337,2,389,542.930000,0.0389,1,1,2026-08-24T00:00:00.000
390,389,311,390,544.300000,0.0390,1,1,2026-08-24T00:00:00.000
391,64,237,391,545.670000,0.0391,1,1,2026-08-24T00:00:00.000
392,49,201,392,547.040000,0.0392,1,1,2026-08-24T00:00:00.000
393,184,349,393,548.410000,0.0393,1,1,2026-08-24T00:00:00.000
394,249,448,394,549.780000,0.0394,1,1,2026-08-24T00:00:00.000
395,448,190,395,551.150000,0.0395,1,1,2026-08-24T00:00:00.000
396,327,498,396,552.520000,0.0396,1,1,2026-08-24T00:00:00.000
397,346,52,397,553.890000,0.0397,1,1,2026-08-24T00:00:00.000
398,429,337,398,555.260000,0.0398,1,1,2026-08-24T00:00:00.000
399,475,139,399,556.630000,0.0399,1,1,2026-08-24T00:00:00.000
400,434,177,400,558.000000,0.0400,1,1,2026-08-24T00:00:00.000
401,449,2,401,559.370000,0.0401,1,1,2026-08-24T00:00:00.000
402,360,444,402,560.740000,0.0402,1,1,2026-08-24T00:00:00.000
403,418,311,403,562.110000,0.0403,1,1,2026-08-24T00:00:00.000
404,217,264,404,563.480000,0.0404,1,1,2026-08-24T00:00:00.000
405,375,401,405,564.850000,0.0405,1,1,2026-08-24T00:00:00.000
406,462,419,406,566.220000,0.0406,1,1,2026-08-24T00:00:00.000
407,90,111,407,567.590000,0.0407,1,1,2026-08-24T00:00:00.000
408,500,78,408,568.960000,0.0408,1,1,2026-08-24T00:00:00.000
409,3,230,409,570.330000,0.0409,1,1,2026-08-24T00:00:00.000
410,270,224,410,571.700000,0.0410,1,1,2026-08-24T00:00:00.000
411,293,419,411,573.070000,0.0411,1,1,2026-08-24T00:00:00.000
412,382,350,412,574.440000,0.0412,1,1,2026-08-24T00:00:00.000
413,75,339,413,575.810000,0.0413,1,1,2026-08-24T00:00:00.000
414,158,91,414,577.180000,0.0414,1,1,2026-08-24T00:00:00.000
415,6,484,415,578.550000,0.0415,1,1,2026-08-24T00:00:00.000
416,176,448,416,579.920000,0.0416,1,1,2026-08-24T00:00:00.000
417,23,450,417,581.290000,0.0417,1,1,2026-08-24T00:00:00.000
418,401,14,418,582.660000,0.0418,1,1,2026-08-24T00:00:00.000
419,440,281,419,584.030000,0.0419,1,1,2026-08-24T00:00:00.000
420,266,49,420,585.400000,0.0420,1,1,2026-08-24T00:00:00.000
421,336,423,421,586.770000,0.0421,1,1,2026-08-24T00:00:00.000
422,239,447,422,588.140000,0.0422,1,1,2026-08-24T00:00:00.000
423,244,418,423,589.510000,0.0423,1,1,2026-08-24T00:00:00.000
424,57,234,424,590.880000,0.0424,1,1,2026-08-24T00:00:00.000
425,342,463,425,592.250000,0.0425,1,1,2026-08-24T00:00:00.000
426,340,431,426,593.620000,0.0426,1,1,2026-08-24T00:00:00.000
427,119,474,427,594.990000,0.0427,1,1,2026-08-24T00:00:00.000
428,290,464,428,596.360000,0.0428,1,1,2026-08-24T00:00:00.000
429,295,293,429,597.730000,0.0429,1,1,2026-08-24T00:00:00.000
430,290,291,430,599.100000,0.0430,1,1,2026-08-24T00:00:00.000
431,36,153,431,600.470000,0.0431,1,1,2026-08-24T00:00:00.000
432,482,356,432,601.840000,0.0432,1,1,2026-08-24T00:00:00.000
433,406,433,433,603.210000,0.0433,1,1,2026-08-24T00:00:00.000
434,283,438,434,604.580000,0.0434,1,1,2026-08-24T00:00:00.000
435,309,193,435,605.950000,0.0435,1,1,2026-08-24T00:00:00.000
436,445,458,436,607.320000,0.0436,1,1,2026-08-24T00:00:00.000
437,168,427,437,608.690000,0.0437,1,1,2026-08-24T00:00:00.000
438,173,253,438,610.060000,0.0438,1,1,2026-08-24T00:00:00.000
439,309,293,439,611.430000,0.0439,1,1,2026-08-24T00:00:00.000
440,48,335,440,612.800000,0.0440,1,1,2026-08-24T00:00:00.000
441,91,98,441,614.170000,0.0441,1,1,2026-08-24T00:00:00.000
442,309,302,442,615.540000,0.0442,1,1,2026-08-24T00:00:00.000
443,276,460,443,616.910000,0.0443,1,1,2026-08-24T00:00:00.000
444,49,430,444,618.280000,0.0444,1,1,2026-08-24T00:00:00.000
445,314,117,445,619.650000,0.0445,1,1,2026-08-24T00:00:00.000
446,270,148,446,621.020000,0.0446,1,1,2026-08-24T00:00:00.000
447,354,357,447,622.390000,0.0447,1,1,2026-08-24T00:00:00.000
448,339,73,448,623.760000,0.0448,1,1,2026-08-24T00:00:00.000
449,337,397,449,625.130000,0.0449,1,1,2026-08-24T00:00:00.000
450,351,81,450,626.500000,0.0450,1,1,2026-08-24T00:00:00.000
451,246,208,451,627.870000,0.0451,1,1,2026-08-24T00:00:00.000
452,126,335,452,629.240000,0.0452,1,1,2026-08-24T00:00:00.000
453,350,189,453,630.610000,0.0453,1,1,2026-08-24T00:00:00.000
454,112,239,454,631.980000,0.0454,1,1,2026-08-24T00:00:00.000
455,42,180,455,633.350000,0.0455,1,1,2026-08-24T00:00:00.000
456,223,326,456,634.720000,0.0456,1,1,2026-08-24T00:00:00.000
457,49,174,457,636.090000,0.0457,1,1,2026-08-24T00:00:00.000
458,211,448,458,637.460000,0.0458,1,1,2026-08-24T00:00:00.000
459,78,302,459,638.830000,0.0459,1,1,2026-08-24T00:00:00.000
460,51,309,460,640.200000,0.0460,1,1,2026-08-24T00:00:00.000
461,311,260,461,641.570000,0.0461,1,1,2026-08-24T00:00:00.000
462,423,107,462,642.940000,0.0462,1,1,2026-08-24T00:00:00.000
463,175,330,463,644.310000,0.0463,1,1,2026-08-24T00:00:00.000
464,9,109,464,645.680000,0.0464,1,1,2026-08-24T00:00:00.000
465,265,382,465,647.050000,0.0465,1,1,2026-08-24T00:00:00.000
466,294,151,466,648.420000,0.0466,1,1,2026-08-24T00:00:00.000
467,471,438,467,649.790000,0.0467,1,1,2026-08-24T00:00:00.000
468,244,224,468,651.160000,0.0468,1,1,2026-08-24T00:00:00.000
469,321,91,469,652.530000,0.0469,1,1,2026-08-24T00:00:00.000
470,486,248,470,653.900000,0.0470,1,1,2026-08-24T00:00:00.000
471,369,91,471,655.270000,0.0471,1,1,2026-08-24T00:00:00.000
472,129,97,472,656.640000,0.0472,1,1,2026-08-24T00:00:00.000
473,205,155,473,658.010000,0.0473,1,1,2026-08-24T00:00:00.000
474,447,141,474,659.380000,0.0474,1,1,2026-08-24T00:00:00.000
475,373,438,475,660.750000,0.0475,1,1,2026-08-24T00:00:00.000
476,53,221,476,662.120000,0.0476,1,1,2026-08-24T00:00:00.000
477,174,201,477,663.490000,0.0477,1,1,2026-08-24T00:00:00.000
478,68,139,478,664.860000,0.0478,1,1,2026-08-24T00:00:00.000
479,171,80,479,666.230000,0.0479,1,1,2026-08-24T00:00:00.000
480,422,235,480,667.600000,0.0480,1,1,2026-08-24T00:00:00.000
481,51,30,481,668.970000,0.0481,1,1,2026-08-24T00:00:00.000
482,336,410,482,670.340000,0.0482,1,1,2026-08-24T00:00:00.000
483,327,368,483,671.710000,0.0483,1,1,2026-08-24T00:00:00.000
484,436,496,484,673.080000,0.0484,1,1,2026-08-24T00:00:00.000
485,177,40,485,674.450000,0.0485,1,1,2026-08-24T00:00:00.000
486,32,202,486,675.820000,0.0486,1,1,2026-08-24T00:00:00.000
487,284,39,487,677.190000,0.0487,1,1,2026-08-24T00:00:00.000
488,224,120,488,678.560000,0.0488,1,1,2026-08-24T00:00:00.000
489,132,205,489,679.930000,0.0489,1,1,2026-08-24T00:00:00.000
490,172,299,490,681.300000,0.0490,1,1,2026-08-24T00:00:00.000
491,41,3,491,682.670000,0.0491,1,1,2026-08-24T00:00:00.000
492,415,150,492,684.040000,0.0492,1,1,2026-08-24T00:00:00.000
493,313,250,493,685.410000,0.0493,1,1,2026-08-24T00:00:00.000
494,84,246,494,686.780000,0.0494,1,1,2026-08-24T00:00:00.000
495,352,417,495,688.150000,0.0495,1,1,2026-08-24T00:00:00.000
496,463,439,496,689.520000,0.0496,1,1,2026-08-24T00:00:00.000
497,231,407,497,690.890000,0.0497,1,1,2026-08-24T00:00:00.000
498,37,310,498,692.260000,0.0498,1,1,2026-08-24T00:00:00.000
499,484,401,499,693.630000,0.0499,1,1,2026-08-24T00:00:00.000
500,219,455,500,695.000000,0.0500,1,1,2026-08-24T00:00:00.000
