ProductionLotGenealogyKey,ParentProductionLotKey,ChildProductionLotKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
353,144,291,2,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,273,36,4,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,139,149,3,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,407,122,2,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,389,412,7,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,338,422,3,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,159,139,4,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,454,397,4,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,305,195,1,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,122,255,5,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,369,19,1,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,139,220,7,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,203,447,4,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,41,312,4,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,218,497,3,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,42,166,7,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,473,319,2,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,210,144,3,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,457,253,6,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,341,423,2,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
373,415,6,2,373,521.010000,0.0373,1,1,2026-08-24T00:00:00.000
374,363,49,1,374,522.380000,0.0374,1,1,2026-08-24T00:00:00.000
375,112,457,5,375,523.750000,0.0375,1,1,2026-08-24T00:00:00.000
376,420,141,3,376,525.120000,0.0376,1,1,2026-08-24T00:00:00.000
377,93,491,5,377,526.490000,0.0377,1,1,2026-08-24T00:00:00.000
378,63,144,2,378,527.860000,0.0378,1,1,2026-08-24T00:00:00.000
379,193,323,3,379,529.230000,0.0379,1,1,2026-08-24T00:00:00.000
380,425,381,6,380,530.600000,0.0380,1,1,2026-08-24T00:00:00.000
381,212,366,4,381,531.970000,0.0381,1,1,2026-08-24T00:00:00.000
382,377,155,6,382,533.340000,0.0382,1,1,2026-08-24T00:00:00.000
383,82,247,4,383,534.710000,0.0383,1,1,2026-08-24T00:00:00.000
384,324,496,7,384,536.080000,0.0384,1,1,2026-08-24T00:00:00.000
385,69,20,6,385,537.450000,0.0385,1,1,2026-08-24T00:00:00.000
386,85,9,6,386,538.820000,0.0386,1,1,2026-08-24T00:00:00.000
387,227,352,7,387,540.190000,0.0387,1,1,2026-08-24T00:00:00.000
388,162,38,7,388,541.560000,0.0388,1,1,2026-08-24T00:00:00.000
389,69,419,6,389,542.930000,0.0389,1,1,2026-08-24T00:00:00.000
390,35,29,2,390,544.300000,0.0390,1,1,2026-08-24T00:00:00.000
391,82,44,3,391,545.670000,0.0391,1,1,2026-08-24T00:00:00.000
392,407,41,2,392,547.040000,0.0392,1,1,2026-08-24T00:00:00.000
393,324,184,1,393,548.410000,0.0393,1,1,2026-08-24T00:00:00.000
394,113,317,1,394,549.780000,0.0394,1,1,2026-08-24T00:00:00.000
395,351,434,4,395,551.150000,0.0395,1,1,2026-08-24T00:00:00.000
396,172,265,1,396,552.520000,0.0396,1,1,2026-08-24T00:00:00.000
397,317,113,4,397,553.890000,0.0397,1,1,2026-08-24T00:00:00.000
398,374,374,7,398,555.260000,0.0398,1,1,2026-08-24T00:00:00.000
399,321,259,7,399,556.630000,0.0399,1,1,2026-08-24T00:00:00.000
400,27,276,4,400,558.000000,0.0400,1,1,2026-08-24T00:00:00.000
401,301,259,3,401,559.370000,0.0401,1,1,2026-08-24T00:00:00.000
402,343,325,5,402,560.740000,0.0402,1,1,2026-08-24T00:00:00.000
403,42,119,1,403,562.110000,0.0403,1,1,2026-08-24T00:00:00.000
404,482,89,7,404,563.480000,0.0404,1,1,2026-08-24T00:00:00.000
405,5,404,3,405,564.850000,0.0405,1,1,2026-08-24T00:00:00.000
406,480,452,1,406,566.220000,0.0406,1,1,2026-08-24T00:00:00.000
407,215,276,5,407,567.590000,0.0407,1,1,2026-08-24T00:00:00.000
408,273,387,6,408,568.960000,0.0408,1,1,2026-08-24T00:00:00.000
409,186,235,5,409,570.330000,0.0409,1,1,2026-08-24T00:00:00.000
410,135,367,7,410,571.700000,0.0410,1,1,2026-08-24T00:00:00.000
411,178,459,1,411,573.070000,0.0411,1,1,2026-08-24T00:00:00.000
412,160,101,6,412,574.440000,0.0412,1,1,2026-08-24T00:00:00.000
413,11,289,3,413,575.810000,0.0413,1,1,2026-08-24T00:00:00.000
414,158,100,2,414,577.180000,0.0414,1,1,2026-08-24T00:00:00.000
415,435,495,7,415,578.550000,0.0415,1,1,2026-08-24T00:00:00.000
416,475,69,3,416,579.920000,0.0416,1,1,2026-08-24T00:00:00.000
417,288,247,7,417,581.290000,0.0417,1,1,2026-08-24T00:00:00.000
418,119,127,4,418,582.660000,0.0418,1,1,2026-08-24T00:00:00.000
419,82,476,6,419,584.030000,0.0419,1,1,2026-08-24T00:00:00.000
420,30,473,6,420,585.400000,0.0420,1,1,2026-08-24T00:00:00.000
421,287,487,3,421,586.770000,0.0421,1,1,2026-08-24T00:00:00.000
422,475,427,7,422,588.140000,0.0422,1,1,2026-08-24T00:00:00.000
423,94,180,6,423,589.510000,0.0423,1,1,2026-08-24T00:00:00.000
424,354,413,4,424,590.880000,0.0424,1,1,2026-08-24T00:00:00.000
425,17,391,1,425,592.250000,0.0425,1,1,2026-08-24T00:00:00.000
426,87,452,3,426,593.620000,0.0426,1,1,2026-08-24T00:00:00.000
427,430,473,5,427,594.990000,0.0427,1,1,2026-08-24T00:00:00.000
428,403,190,1,428,596.360000,0.0428,1,1,2026-08-24T00:00:00.000
429,354,405,7,429,597.730000,0.0429,1,1,2026-08-24T00:00:00.000
430,142,353,2,430,599.100000,0.0430,1,1,2026-08-24T00:00:00.000
431,237,126,4,431,600.470000,0.0431,1,1,2026-08-24T00:00:00.000
432,238,36,1,432,601.840000,0.0432,1,1,2026-08-24T00:00:00.000
433,123,190,4,433,603.210000,0.0433,1,1,2026-08-24T00:00:00.000
434,427,384,1,434,604.580000,0.0434,1,1,2026-08-24T00:00:00.000
435,262,380,3,435,605.950000,0.0435,1,1,2026-08-24T00:00:00.000
436,219,488,2,436,607.320000,0.0436,1,1,2026-08-24T00:00:00.000
437,291,321,6,437,608.690000,0.0437,1,1,2026-08-24T00:00:00.000
438,10,466,3,438,610.060000,0.0438,1,1,2026-08-24T00:00:00.000
439,312,218,7,439,611.430000,0.0439,1,1,2026-08-24T00:00:00.000
440,297,341,1,440,612.800000,0.0440,1,1,2026-08-24T00:00:00.000
441,450,248,1,441,614.170000,0.0441,1,1,2026-08-24T00:00:00.000
442,487,200,2,442,615.540000,0.0442,1,1,2026-08-24T00:00:00.000
443,66,414,2,443,616.910000,0.0443,1,1,2026-08-24T00:00:00.000
444,275,45,1,444,618.280000,0.0444,1,1,2026-08-24T00:00:00.000
445,452,254,3,445,619.650000,0.0445,1,1,2026-08-24T00:00:00.000
446,386,12,2,446,621.020000,0.0446,1,1,2026-08-24T00:00:00.000
447,196,133,2,447,622.390000,0.0447,1,1,2026-08-24T00:00:00.000
448,237,219,5,448,623.760000,0.0448,1,1,2026-08-24T00:00:00.000
449,276,315,4,449,625.130000,0.0449,1,1,2026-08-24T00:00:00.000
450,363,425,2,450,626.500000,0.0450,1,1,2026-08-24T00:00:00.000
451,318,381,5,451,627.870000,0.0451,1,1,2026-08-24T00:00:00.000
452,90,180,2,452,629.240000,0.0452,1,1,2026-08-24T00:00:00.000
453,196,205,4,453,630.610000,0.0453,1,1,2026-08-24T00:00:00.000
454,152,91,1,454,631.980000,0.0454,1,1,2026-08-24T00:00:00.000
455,62,204,4,455,633.350000,0.0455,1,1,2026-08-24T00:00:00.000
456,361,221,7,456,634.720000,0.0456,1,1,2026-08-24T00:00:00.000
457,163,247,7,457,636.090000,0.0457,1,1,2026-08-24T00:00:00.000
458,343,404,6,458,637.460000,0.0458,1,1,2026-08-24T00:00:00.000
459,133,411,6,459,638.830000,0.0459,1,1,2026-08-24T00:00:00.000
460,130,452,2,460,640.200000,0.0460,1,1,2026-08-24T00:00:00.000
461,452,449,1,461,641.570000,0.0461,1,1,2026-08-24T00:00:00.000
462,483,53,5,462,642.940000,0.0462,1,1,2026-08-24T00:00:00.000
463,159,46,5,463,644.310000,0.0463,1,1,2026-08-24T00:00:00.000
464,327,419,1,464,645.680000,0.0464,1,1,2026-08-24T00:00:00.000
465,377,172,2,465,647.050000,0.0465,1,1,2026-08-24T00:00:00.000
466,429,199,7,466,648.420000,0.0466,1,1,2026-08-24T00:00:00.000
467,61,118,7,467,649.790000,0.0467,1,1,2026-08-24T00:00:00.000
468,128,9,2,468,651.160000,0.0468,1,1,2026-08-24T00:00:00.000
469,23,493,7,469,652.530000,0.0469,1,1,2026-08-24T00:00:00.000
470,496,42,2,470,653.900000,0.0470,1,1,2026-08-24T00:00:00.000
471,182,228,1,471,655.270000,0.0471,1,1,2026-08-24T00:00:00.000
472,491,315,2,472,656.640000,0.0472,1,1,2026-08-24T00:00:00.000
473,144,14,1,473,658.010000,0.0473,1,1,2026-08-24T00:00:00.000
474,81,149,2,474,659.380000,0.0474,1,1,2026-08-24T00:00:00.000
475,94,84,7,475,660.750000,0.0475,1,1,2026-08-24T00:00:00.000
476,205,465,7,476,662.120000,0.0476,1,1,2026-08-24T00:00:00.000
477,471,168,4,477,663.490000,0.0477,1,1,2026-08-24T00:00:00.000
478,477,152,1,478,664.860000,0.0478,1,1,2026-08-24T00:00:00.000
479,2,34,5,479,666.230000,0.0479,1,1,2026-08-24T00:00:00.000
480,134,168,2,480,667.600000,0.0480,1,1,2026-08-24T00:00:00.000
481,176,461,4,481,668.970000,0.0481,1,1,2026-08-24T00:00:00.000
482,376,254,1,482,670.340000,0.0482,1,1,2026-08-24T00:00:00.000
483,347,27,7,483,671.710000,0.0483,1,1,2026-08-24T00:00:00.000
484,449,496,1,484,673.080000,0.0484,1,1,2026-08-24T00:00:00.000
485,45,324,7,485,674.450000,0.0485,1,1,2026-08-24T00:00:00.000
486,312,418,1,486,675.820000,0.0486,1,1,2026-08-24T00:00:00.000
487,157,334,1,487,677.190000,0.0487,1,1,2026-08-24T00:00:00.000
488,8,9,2,488,678.560000,0.0488,1,1,2026-08-24T00:00:00.000
489,459,332,2,489,679.930000,0.0489,1,1,2026-08-24T00:00:00.000
490,34,466,6,490,681.300000,0.0490,1,1,2026-08-24T00:00:00.000
491,322,457,2,491,682.670000,0.0491,1,1,2026-08-24T00:00:00.000
492,59,21,2,492,684.040000,0.0492,1,1,2026-08-24T00:00:00.000
493,114,430,1,493,685.410000,0.0493,1,1,2026-08-24T00:00:00.000
494,489,70,5,494,686.780000,0.0494,1,1,2026-08-24T00:00:00.000
495,183,479,4,495,688.150000,0.0495,1,1,2026-08-24T00:00:00.000
496,76,227,3,496,689.520000,0.0496,1,1,2026-08-24T00:00:00.000
497,411,170,5,497,690.890000,0.0497,1,1,2026-08-24T00:00:00.000
498,301,434,4,498,692.260000,0.0498,1,1,2026-08-24T00:00:00.000
499,82,306,5,499,693.630000,0.0499,1,1,2026-08-24T00:00:00.000
500,461,394,6,500,695.000000,0.0500,1,1,2026-08-24T00:00:00.000
