EngineeringChangeAffectedItemKey,EngineeringChangeOrderKey,EngineeringPartRevisionKey,EngineeringCadDocumentKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
353,500,137,88,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,27,245,276,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,10,313,322,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,99,302,48,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,373,347,194,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,419,457,65,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,102,212,186,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,345,8,56,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,475,227,41,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,189,351,113,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,369,435,171,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,460,475,482,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,405,309,199,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,413,295,473,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,496,264,239,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,192,207,413,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,247,147,46,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,61,234,42,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,295,422,39,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,329,32,349,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
373,5,158,493,373,521.010000,0.0373,1,1,2026-08-24T00:00:00.000
374,22,206,93,374,522.380000,0.0374,1,1,2026-08-24T00:00:00.000
375,66,248,257,375,523.750000,0.0375,1,1,2026-08-24T00:00:00.000
376,328,456,320,376,525.120000,0.0376,1,1,2026-08-24T00:00:00.000
377,403,1,44,377,526.490000,0.0377,1,1,2026-08-24T00:00:00.000
378,11,112,314,378,527.860000,0.0378,1,1,2026-08-24T00:00:00.000
379,500,411,185,379,529.230000,0.0379,1,1,2026-08-24T00:00:00.000
380,410,173,341,380,530.600000,0.0380,1,1,2026-08-24T00:00:00.000
381,86,467,348,381,531.970000,0.0381,1,1,2026-08-24T00:00:00.000
382,77,97,308,382,533.340000,0.0382,1,1,2026-08-24T00:00:00.000
383,227,15,242,383,534.710000,0.0383,1,1,2026-08-24T00:00:00.000
384,209,435,267,384,536.080000,0.0384,1,1,2026-08-24T00:00:00.000
385,29,25,398,385,537.450000,0.0385,1,1,2026-08-24T00:00:00.000
386,101,223,398,386,538.820000,0.0386,1,1,2026-08-24T00:00:00.000
387,342,66,222,387,540.190000,0.0387,1,1,2026-08-24T00:00:00.000
388,351,136,420,388,541.560000,0.0388,1,1,2026-08-24T00:00:00.000
389,318,52,237,389,542.930000,0.0389,1,1,2026-08-24T00:00:00.000
390,55,6,174,390,544.300000,0.0390,1,1,2026-08-24T00:00:00.000
391,14,51,160,391,545.670000,0.0391,1,1,2026-08-24T00:00:00.000
392,496,341,465,392,547.040000,0.0392,1,1,2026-08-24T00:00:00.000
393,81,166,232,393,548.410000,0.0393,1,1,2026-08-24T00:00:00.000
394,314,344,182,394,549.780000,0.0394,1,1,2026-08-24T00:00:00.000
395,361,439,387,395,551.150000,0.0395,1,1,2026-08-24T00:00:00.000
396,146,497,418,396,552.520000,0.0396,1,1,2026-08-24T00:00:00.000
397,403,292,451,397,553.890000,0.0397,1,1,2026-08-24T00:00:00.000
398,71,291,313,398,555.260000,0.0398,1,1,2026-08-24T00:00:00.000
399,298,73,11,399,556.630000,0.0399,1,1,2026-08-24T00:00:00.000
400,199,144,385,400,558.000000,0.0400,1,1,2026-08-24T00:00:00.000
401,66,216,309,401,559.370000,0.0401,1,1,2026-08-24T00:00:00.000
402,355,121,27,402,560.740000,0.0402,1,1,2026-08-24T00:00:00.000
403,47,389,112,403,562.110000,0.0403,1,1,2026-08-24T00:00:00.000
404,161,319,47,404,563.480000,0.0404,1,1,2026-08-24T00:00:00.000
405,236,76,483,405,564.850000,0.0405,1,1,2026-08-24T00:00:00.000
406,337,110,386,406,566.220000,0.0406,1,1,2026-08-24T00:00:00.000
407,465,100,315,407,567.590000,0.0407,1,1,2026-08-24T00:00:00.000
408,73,316,53,408,568.960000,0.0408,1,1,2026-08-24T00:00:00.000
409,381,151,449,409,570.330000,0.0409,1,1,2026-08-24T00:00:00.000
410,73,362,54,410,571.700000,0.0410,1,1,2026-08-24T00:00:00.000
411,130,391,233,411,573.070000,0.0411,1,1,2026-08-24T00:00:00.000
412,19,183,211,412,574.440000,0.0412,1,1,2026-08-24T00:00:00.000
413,284,489,96,413,575.810000,0.0413,1,1,2026-08-24T00:00:00.000
414,287,441,354,414,577.180000,0.0414,1,1,2026-08-24T00:00:00.000
415,403,37,108,415,578.550000,0.0415,1,1,2026-08-24T00:00:00.000
416,416,430,230,416,579.920000,0.0416,1,1,2026-08-24T00:00:00.000
417,61,225,483,417,581.290000,0.0417,1,1,2026-08-24T00:00:00.000
418,266,27,271,418,582.660000,0.0418,1,1,2026-08-24T00:00:00.000
419,54,27,42,419,584.030000,0.0419,1,1,2026-08-24T00:00:00.000
420,164,109,110,420,585.400000,0.0420,1,1,2026-08-24T00:00:00.000
421,264,120,177,421,586.770000,0.0421,1,1,2026-08-24T00:00:00.000
422,205,41,121,422,588.140000,0.0422,1,1,2026-08-24T00:00:00.000
423,366,118,31,423,589.510000,0.0423,1,1,2026-08-24T00:00:00.000
424,391,178,118,424,590.880000,0.0424,1,1,2026-08-24T00:00:00.000
425,44,485,366,425,592.250000,0.0425,1,1,2026-08-24T00:00:00.000
426,111,389,302,426,593.620000,0.0426,1,1,2026-08-24T00:00:00.000
427,123,424,421,427,594.990000,0.0427,1,1,2026-08-24T00:00:00.000
428,171,187,136,428,596.360000,0.0428,1,1,2026-08-24T00:00:00.000
429,251,415,20,429,597.730000,0.0429,1,1,2026-08-24T00:00:00.000
430,81,195,231,430,599.100000,0.0430,1,1,2026-08-24T00:00:00.000
431,132,464,290,431,600.470000,0.0431,1,1,2026-08-24T00:00:00.000
432,437,153,416,432,601.840000,0.0432,1,1,2026-08-24T00:00:00.000
433,47,481,1,433,603.210000,0.0433,1,1,2026-08-24T00:00:00.000
434,279,83,14,434,604.580000,0.0434,1,1,2026-08-24T00:00:00.000
435,325,111,13,435,605.950000,0.0435,1,1,2026-08-24T00:00:00.000
436,268,202,433,436,607.320000,0.0436,1,1,2026-08-24T00:00:00.000
437,315,79,426,437,608.690000,0.0437,1,1,2026-08-24T00:00:00.000
438,3,101,72,438,610.060000,0.0438,1,1,2026-08-24T00:00:00.000
439,381,141,223,439,611.430000,0.0439,1,1,2026-08-24T00:00:00.000
440,198,71,78,440,612.800000,0.0440,1,1,2026-08-24T00:00:00.000
441,446,406,122,441,614.170000,0.0441,1,1,2026-08-24T00:00:00.000
442,360,256,34,442,615.540000,0.0442,1,1,2026-08-24T00:00:00.000
443,236,312,244,443,616.910000,0.0443,1,1,2026-08-24T00:00:00.000
444,13,224,108,444,618.280000,0.0444,1,1,2026-08-24T00:00:00.000
445,202,19,49,445,619.650000,0.0445,1,1,2026-08-24T00:00:00.000
446,105,92,156,446,621.020000,0.0446,1,1,2026-08-24T00:00:00.000
447,391,491,140,447,622.390000,0.0447,1,1,2026-08-24T00:00:00.000
448,156,126,191,448,623.760000,0.0448,1,1,2026-08-24T00:00:00.000
449,351,269,351,449,625.130000,0.0449,1,1,2026-08-24T00:00:00.000
450,249,282,368,450,626.500000,0.0450,1,1,2026-08-24T00:00:00.000
451,200,29,212,451,627.870000,0.0451,1,1,2026-08-24T00:00:00.000
452,109,373,2,452,629.240000,0.0452,1,1,2026-08-24T00:00:00.000
453,176,323,335,453,630.610000,0.0453,1,1,2026-08-24T00:00:00.000
454,286,195,48,454,631.980000,0.0454,1,1,2026-08-24T00:00:00.000
455,492,99,363,455,633.350000,0.0455,1,1,2026-08-24T00:00:00.000
456,357,109,375,456,634.720000,0.0456,1,1,2026-08-24T00:00:00.000
457,212,447,247,457,636.090000,0.0457,1,1,2026-08-24T00:00:00.000
458,243,372,32,458,637.460000,0.0458,1,1,2026-08-24T00:00:00.000
459,317,192,499,459,638.830000,0.0459,1,1,2026-08-24T00:00:00.000
460,89,99,331,460,640.200000,0.0460,1,1,2026-08-24T00:00:00.000
461,348,185,150,461,641.570000,0.0461,1,1,2026-08-24T00:00:00.000
462,346,374,32,462,642.940000,0.0462,1,1,2026-08-24T00:00:00.000
463,363,338,304,463,644.310000,0.0463,1,1,2026-08-24T00:00:00.000
464,281,303,233,464,645.680000,0.0464,1,1,2026-08-24T00:00:00.000
465,371,3,294,465,647.050000,0.0465,1,1,2026-08-24T00:00:00.000
466,472,36,231,466,648.420000,0.0466,1,1,2026-08-24T00:00:00.000
467,369,296,109,467,649.790000,0.0467,1,1,2026-08-24T00:00:00.000
468,397,467,63,468,651.160000,0.0468,1,1,2026-08-24T00:00:00.000
469,431,75,435,469,652.530000,0.0469,1,1,2026-08-24T00:00:00.000
470,103,196,451,470,653.900000,0.0470,1,1,2026-08-24T00:00:00.000
471,496,284,367,471,655.270000,0.0471,1,1,2026-08-24T00:00:00.000
472,368,3,10,472,656.640000,0.0472,1,1,2026-08-24T00:00:00.000
473,434,348,145,473,658.010000,0.0473,1,1,2026-08-24T00:00:00.000
474,374,298,110,474,659.380000,0.0474,1,1,2026-08-24T00:00:00.000
475,186,465,447,475,660.750000,0.0475,1,1,2026-08-24T00:00:00.000
476,277,180,84,476,662.120000,0.0476,1,1,2026-08-24T00:00:00.000
477,253,85,353,477,663.490000,0.0477,1,1,2026-08-24T00:00:00.000
478,340,428,131,478,664.860000,0.0478,1,1,2026-08-24T00:00:00.000
479,142,250,164,479,666.230000,0.0479,1,1,2026-08-24T00:00:00.000
480,30,15,290,480,667.600000,0.0480,1,1,2026-08-24T00:00:00.000
481,459,452,124,481,668.970000,0.0481,1,1,2026-08-24T00:00:00.000
482,332,90,382,482,670.340000,0.0482,1,1,2026-08-24T00:00:00.000
483,233,303,90,483,671.710000,0.0483,1,1,2026-08-24T00:00:00.000
484,157,411,349,484,673.080000,0.0484,1,1,2026-08-24T00:00:00.000
485,188,60,231,485,674.450000,0.0485,1,1,2026-08-24T00:00:00.000
486,430,353,435,486,675.820000,0.0486,1,1,2026-08-24T00:00:00.000
487,24,463,286,487,677.190000,0.0487,1,1,2026-08-24T00:00:00.000
488,90,459,88,488,678.560000,0.0488,1,1,2026-08-24T00:00:00.000
489,58,264,428,489,679.930000,0.0489,1,1,2026-08-24T00:00:00.000
490,420,372,285,490,681.300000,0.0490,1,1,2026-08-24T00:00:00.000
491,235,395,229,491,682.670000,0.0491,1,1,2026-08-24T00:00:00.000
492,415,292,167,492,684.040000,0.0492,1,1,2026-08-24T00:00:00.000
493,206,226,423,493,685.410000,0.0493,1,1,2026-08-24T00:00:00.000
494,213,24,30,494,686.780000,0.0494,1,1,2026-08-24T00:00:00.000
495,107,193,320,495,688.150000,0.0495,1,1,2026-08-24T00:00:00.000
496,480,81,131,496,689.520000,0.0496,1,1,2026-08-24T00:00:00.000
497,83,318,3,497,690.890000,0.0497,1,1,2026-08-24T00:00:00.000
498,55,65,182,498,692.260000,0.0498,1,1,2026-08-24T00:00:00.000
499,438,417,250,499,693.630000,0.0499,1,1,2026-08-24T00:00:00.000
500,383,204,155,500,695.000000,0.0500,1,1,2026-08-24T00:00:00.000
