ProductionWorkOrderEmployeeKey,ProductionWorkOrderKey,EmployeeKey,ProductionCrewRoleKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
353,50,182,155,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,370,498,272,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,485,393,245,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,120,7,35,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,280,403,430,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,77,319,320,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,394,442,78,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,400,193,290,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,331,139,51,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,104,191,207,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,144,273,491,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,183,414,316,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,493,102,94,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,459,62,257,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,30,294,103,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,150,75,453,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,265,233,133,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,94,332,421,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,388,127,193,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,98,260,135,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
373,415,431,152,373,521.010000,0.0373,1,1,2026-08-24T00:00:00.000
374,483,472,94,374,522.380000,0.0374,1,1,2026-08-24T00:00:00.000
375,105,445,440,375,523.750000,0.0375,1,1,2026-08-24T00:00:00.000
376,40,412,393,376,525.120000,0.0376,1,1,2026-08-24T00:00:00.000
377,75,152,27,377,526.490000,0.0377,1,1,2026-08-24T00:00:00.000
378,201,358,327,378,527.860000,0.0378,1,1,2026-08-24T00:00:00.000
379,375,192,128,379,529.230000,0.0379,1,1,2026-08-24T00:00:00.000
380,499,448,27,380,530.600000,0.0380,1,1,2026-08-24T00:00:00.000
381,27,327,382,381,531.970000,0.0381,1,1,2026-08-24T00:00:00.000
382,111,388,333,382,533.340000,0.0382,1,1,2026-08-24T00:00:00.000
383,313,195,280,383,534.710000,0.0383,1,1,2026-08-24T00:00:00.000
384,257,395,101,384,536.080000,0.0384,1,1,2026-08-24T00:00:00.000
385,156,87,152,385,537.450000,0.0385,1,1,2026-08-24T00:00:00.000
386,326,444,13,386,538.820000,0.0386,1,1,2026-08-24T00:00:00.000
387,419,14,355,387,540.190000,0.0387,1,1,2026-08-24T00:00:00.000
388,56,198,243,388,541.560000,0.0388,1,1,2026-08-24T00:00:00.000
389,196,314,199,389,542.930000,0.0389,1,1,2026-08-24T00:00:00.000
390,367,467,267,390,544.300000,0.0390,1,1,2026-08-24T00:00:00.000
391,468,8,270,391,545.670000,0.0391,1,1,2026-08-24T00:00:00.000
392,226,159,61,392,547.040000,0.0392,1,1,2026-08-24T00:00:00.000
393,381,131,407,393,548.410000,0.0393,1,1,2026-08-24T00:00:00.000
394,42,4,51,394,549.780000,0.0394,1,1,2026-08-24T00:00:00.000
395,211,297,294,395,551.150000,0.0395,1,1,2026-08-24T00:00:00.000
396,150,476,440,396,552.520000,0.0396,1,1,2026-08-24T00:00:00.000
397,477,182,271,397,553.890000,0.0397,1,1,2026-08-24T00:00:00.000
398,234,445,468,398,555.260000,0.0398,1,1,2026-08-24T00:00:00.000
399,270,415,50,399,556.630000,0.0399,1,1,2026-08-24T00:00:00.000
400,196,206,472,400,558.000000,0.0400,1,1,2026-08-24T00:00:00.000
401,66,351,344,401,559.370000,0.0401,1,1,2026-08-24T00:00:00.000
402,105,256,434,402,560.740000,0.0402,1,1,2026-08-24T00:00:00.000
403,301,395,419,403,562.110000,0.0403,1,1,2026-08-24T00:00:00.000
404,343,156,392,404,563.480000,0.0404,1,1,2026-08-24T00:00:00.000
405,65,211,398,405,564.850000,0.0405,1,1,2026-08-24T00:00:00.000
406,480,2,373,406,566.220000,0.0406,1,1,2026-08-24T00:00:00.000
407,378,390,321,407,567.590000,0.0407,1,1,2026-08-24T00:00:00.000
408,455,418,145,408,568.960000,0.0408,1,1,2026-08-24T00:00:00.000
409,319,279,302,409,570.330000,0.0409,1,1,2026-08-24T00:00:00.000
410,218,409,175,410,571.700000,0.0410,1,1,2026-08-24T00:00:00.000
411,134,220,229,411,573.070000,0.0411,1,1,2026-08-24T00:00:00.000
412,494,268,104,412,574.440000,0.0412,1,1,2026-08-24T00:00:00.000
413,277,21,230,413,575.810000,0.0413,1,1,2026-08-24T00:00:00.000
414,221,284,432,414,577.180000,0.0414,1,1,2026-08-24T00:00:00.000
415,17,205,167,415,578.550000,0.0415,1,1,2026-08-24T00:00:00.000
416,22,261,342,416,579.920000,0.0416,1,1,2026-08-24T00:00:00.000
417,341,411,215,417,581.290000,0.0417,1,1,2026-08-24T00:00:00.000
418,15,475,28,418,582.660000,0.0418,1,1,2026-08-24T00:00:00.000
419,81,324,112,419,584.030000,0.0419,1,1,2026-08-24T00:00:00.000
420,274,193,216,420,585.400000,0.0420,1,1,2026-08-24T00:00:00.000
421,49,233,186,421,586.770000,0.0421,1,1,2026-08-24T00:00:00.000
422,121,445,396,422,588.140000,0.0422,1,1,2026-08-24T00:00:00.000
423,442,146,218,423,589.510000,0.0423,1,1,2026-08-24T00:00:00.000
424,87,327,284,424,590.880000,0.0424,1,1,2026-08-24T00:00:00.000
425,418,70,300,425,592.250000,0.0425,1,1,2026-08-24T00:00:00.000
426,182,330,157,426,593.620000,0.0426,1,1,2026-08-24T00:00:00.000
427,261,260,490,427,594.990000,0.0427,1,1,2026-08-24T00:00:00.000
428,308,105,129,428,596.360000,0.0428,1,1,2026-08-24T00:00:00.000
429,284,374,457,429,597.730000,0.0429,1,1,2026-08-24T00:00:00.000
430,60,6,255,430,599.100000,0.0430,1,1,2026-08-24T00:00:00.000
431,255,260,150,431,600.470000,0.0431,1,1,2026-08-24T00:00:00.000
432,92,303,147,432,601.840000,0.0432,1,1,2026-08-24T00:00:00.000
433,120,478,159,433,603.210000,0.0433,1,1,2026-08-24T00:00:00.000
434,290,219,356,434,604.580000,0.0434,1,1,2026-08-24T00:00:00.000
435,293,365,105,435,605.950000,0.0435,1,1,2026-08-24T00:00:00.000
436,393,167,51,436,607.320000,0.0436,1,1,2026-08-24T00:00:00.000
437,4,431,106,437,608.690000,0.0437,1,1,2026-08-24T00:00:00.000
438,2,367,18,438,610.060000,0.0438,1,1,2026-08-24T00:00:00.000
439,173,285,443,439,611.430000,0.0439,1,1,2026-08-24T00:00:00.000
440,146,78,39,440,612.800000,0.0440,1,1,2026-08-24T00:00:00.000
441,489,253,250,441,614.170000,0.0441,1,1,2026-08-24T00:00:00.000
442,148,445,222,442,615.540000,0.0442,1,1,2026-08-24T00:00:00.000
443,25,70,389,443,616.910000,0.0443,1,1,2026-08-24T00:00:00.000
444,393,405,228,444,618.280000,0.0444,1,1,2026-08-24T00:00:00.000
445,466,261,207,445,619.650000,0.0445,1,1,2026-08-24T00:00:00.000
446,332,177,50,446,621.020000,0.0446,1,1,2026-08-24T00:00:00.000
447,124,165,207,447,622.390000,0.0447,1,1,2026-08-24T00:00:00.000
448,278,430,109,448,623.760000,0.0448,1,1,2026-08-24T00:00:00.000
449,246,33,477,449,625.130000,0.0449,1,1,2026-08-24T00:00:00.000
450,434,279,435,450,626.500000,0.0450,1,1,2026-08-24T00:00:00.000
451,365,407,473,451,627.870000,0.0451,1,1,2026-08-24T00:00:00.000
452,421,288,212,452,629.240000,0.0452,1,1,2026-08-24T00:00:00.000
453,254,221,249,453,630.610000,0.0453,1,1,2026-08-24T00:00:00.000
454,457,442,281,454,631.980000,0.0454,1,1,2026-08-24T00:00:00.000
455,243,491,282,455,633.350000,0.0455,1,1,2026-08-24T00:00:00.000
456,246,485,497,456,634.720000,0.0456,1,1,2026-08-24T00:00:00.000
457,347,387,308,457,636.090000,0.0457,1,1,2026-08-24T00:00:00.000
458,188,497,39,458,637.460000,0.0458,1,1,2026-08-24T00:00:00.000
459,95,152,495,459,638.830000,0.0459,1,1,2026-08-24T00:00:00.000
460,111,491,421,460,640.200000,0.0460,1,1,2026-08-24T00:00:00.000
461,55,295,116,461,641.570000,0.0461,1,1,2026-08-24T00:00:00.000
462,438,478,211,462,642.940000,0.0462,1,1,2026-08-24T00:00:00.000
463,286,284,424,463,644.310000,0.0463,1,1,2026-08-24T00:00:00.000
464,237,8,118,464,645.680000,0.0464,1,1,2026-08-24T00:00:00.000
465,186,331,224,465,647.050000,0.0465,1,1,2026-08-24T00:00:00.000
466,251,447,489,466,648.420000,0.0466,1,1,2026-08-24T00:00:00.000
467,342,44,38,467,649.790000,0.0467,1,1,2026-08-24T00:00:00.000
468,442,449,368,468,651.160000,0.0468,1,1,2026-08-24T00:00:00.000
469,166,200,468,469,652.530000,0.0469,1,1,2026-08-24T00:00:00.000
470,143,217,356,470,653.900000,0.0470,1,1,2026-08-24T00:00:00.000
471,430,102,73,471,655.270000,0.0471,1,1,2026-08-24T00:00:00.000
472,257,351,316,472,656.640000,0.0472,1,1,2026-08-24T00:00:00.000
473,54,216,97,473,658.010000,0.0473,1,1,2026-08-24T00:00:00.000
474,142,354,228,474,659.380000,0.0474,1,1,2026-08-24T00:00:00.000
475,201,479,82,475,660.750000,0.0475,1,1,2026-08-24T00:00:00.000
476,370,110,402,476,662.120000,0.0476,1,1,2026-08-24T00:00:00.000
477,277,381,408,477,663.490000,0.0477,1,1,2026-08-24T00:00:00.000
478,52,263,1,478,664.860000,0.0478,1,1,2026-08-24T00:00:00.000
479,395,124,74,479,666.230000,0.0479,1,1,2026-08-24T00:00:00.000
480,484,75,225,480,667.600000,0.0480,1,1,2026-08-24T00:00:00.000
481,277,437,56,481,668.970000,0.0481,1,1,2026-08-24T00:00:00.000
482,269,40,53,482,670.340000,0.0482,1,1,2026-08-24T00:00:00.000
483,442,312,453,483,671.710000,0.0483,1,1,2026-08-24T00:00:00.000
484,189,413,24,484,673.080000,0.0484,1,1,2026-08-24T00:00:00.000
485,360,395,462,485,674.450000,0.0485,1,1,2026-08-24T00:00:00.000
486,376,219,86,486,675.820000,0.0486,1,1,2026-08-24T00:00:00.000
487,301,126,160,487,677.190000,0.0487,1,1,2026-08-24T00:00:00.000
488,111,320,255,488,678.560000,0.0488,1,1,2026-08-24T00:00:00.000
489,175,308,472,489,679.930000,0.0489,1,1,2026-08-24T00:00:00.000
490,162,298,81,490,681.300000,0.0490,1,1,2026-08-24T00:00:00.000
491,329,474,366,491,682.670000,0.0491,1,1,2026-08-24T00:00:00.000
492,305,178,33,492,684.040000,0.0492,1,1,2026-08-24T00:00:00.000
493,3,70,150,493,685.410000,0.0493,1,1,2026-08-24T00:00:00.000
494,38,74,3,494,686.780000,0.0494,1,1,2026-08-24T00:00:00.000
495,150,76,337,495,688.150000,0.0495,1,1,2026-08-24T00:00:00.000
496,325,440,203,496,689.520000,0.0496,1,1,2026-08-24T00:00:00.000
497,170,177,104,497,690.890000,0.0497,1,1,2026-08-24T00:00:00.000
498,500,206,321,498,692.260000,0.0498,1,1,2026-08-24T00:00:00.000
499,200,484,15,499,693.630000,0.0499,1,1,2026-08-24T00:00:00.000
500,184,148,421,500,695.000000,0.0500,1,1,2026-08-24T00:00:00.000
