QualityInspectionResultKey,InspectionDateKey,InspectionTimeOfDayKey,QualityInspectionLotKey,QualityInspectionPlanKey,QualityInspectionCharacteristicKey,QualityGaugeKey,ProductKey,PlantKey,SupplierKey,InspectorEmployeeKey,QualityInspectionTypeKey,QualityResultStatusKey,UnitOfMeasureKey,SampleNumber,ResultSequenceNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
181,20260530,40080,206,207,134,204,127,280,197,252,6,5,1,QIR000181,181,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260605,24360,361,253,457,130,294,19,214,479,3,12,5,QIR000182,182,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260810,7680,359,305,437,47,368,277,88,479,3,8,3,QIR000183,183,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260816,61980,3,110,365,178,6,263,480,312,8,10,4,QIR000184,184,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260713,85560,213,151,451,78,113,45,182,229,7,12,2,QIR000185,185,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260702,16080,70,211,335,467,252,39,132,27,11,10,1,QIR000186,186,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260805,83580,269,57,103,-1,384,280,-1,-1,3,4,6,QIR000187,187,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260803,30720,77,232,9,486,271,151,219,165,3,7,4,QIR000188,188,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260611,28500,105,442,255,424,338,242,204,433,4,5,3,QIR000189,189,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260609,40320,432,465,440,446,373,18,123,28,5,4,4,QIR000190,190,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260628,62640,402,434,373,258,163,328,136,118,10,12,7,QIR000191,191,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260822,9180,178,469,434,446,85,66,186,444,7,5,4,QIR000192,192,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260823,36720,466,339,265,498,157,317,243,58,9,5,3,QIR000193,193,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260606,16200,284,348,22,326,208,346,171,40,8,1,5,QIR000194,194,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260530,48360,435,459,247,426,36,183,104,398,2,7,5,QIR000195,195,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260803,65580,269,246,45,5,349,47,54,85,3,4,6,QIR000196,196,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260603,18840,212,236,416,22,267,219,309,467,9,11,6,QIR000197,197,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260606,81720,333,474,154,304,174,54,351,451,7,7,5,QIR000198,198,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260717,9120,165,230,359,453,429,78,470,453,9,8,4,QIR000199,199,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260627,22260,261,345,297,456,145,279,158,301,3,6,6,QIR000200,200,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260708,60300,451,75,56,272,357,255,110,76,1,6,3,QIR000201,201,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260813,85860,362,66,344,485,334,224,13,295,10,8,6,QIR000202,202,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260604,56160,111,231,42,197,382,3,468,231,5,8,4,QIR000203,203,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260821,5700,21,16,18,-1,438,263,-1,-1,9,4,4,QIR000204,204,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260814,11160,146,346,232,39,269,102,309,288,9,2,7,QIR000205,205,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260818,13560,393,122,246,6,421,300,471,55,3,7,4,QIR000206,206,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260705,79980,365,371,308,495,446,187,213,386,1,4,5,QIR000207,207,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260802,46020,472,491,224,97,178,233,358,55,10,1,7,QIR000208,208,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260818,60180,116,333,313,26,461,144,235,463,4,9,2,QIR000209,209,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260721,75120,343,104,335,266,457,170,420,432,11,11,1,QIR000210,210,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260708,75120,35,172,328,161,206,201,168,363,8,6,7,QIR000211,211,212,299.0700,216.0000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260819,64620,367,75,431,380,234,238,62,187,8,8,4,QIR000212,212,213,300.4400,217.0000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260712,15960,69,356,193,294,145,115,62,428,8,9,6,QIR000213,213,214,301.8100,218.0000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260714,16020,409,126,380,27,120,347,333,290,3,1,5,QIR000214,214,215,303.1800,219.0000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260725,1860,142,379,223,186,259,149,428,18,9,4,4,QIR000215,215,216,304.5500,220.0000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260713,64020,80,447,33,396,49,320,257,47,6,8,4,QIR000216,216,217,305.9200,221.0000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260707,24600,472,132,330,295,435,222,200,115,6,1,6,QIR000217,217,218,307.2900,222.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260706,16380,301,245,268,296,203,54,310,110,12,4,7,QIR000218,218,219,308.6600,223.0000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260717,59580,380,364,493,43,110,318,391,105,5,5,6,QIR000219,219,220,310.0300,224.0000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260802,42960,100,24,319,187,216,259,322,82,12,8,4,QIR000220,220,221,311.4000,225.0000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260531,18780,376,466,467,-1,397,39,-1,-1,1,2,2,QIR000221,221,222,312.7700,226.0000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260711,17820,281,210,92,221,260,241,99,231,3,8,4,QIR000222,222,223,314.1400,227.0000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260705,60960,346,217,35,392,118,192,1,479,9,9,3,QIR000223,223,224,315.5100,228.0000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260721,79260,161,423,496,415,107,52,69,279,3,4,5,QIR000224,224,225,316.8800,229.0000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260618,69600,494,80,466,235,449,137,236,192,5,5,1,QIR000225,225,226,318.2500,230.0000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260624,62700,346,450,244,336,379,248,71,206,5,2,4,QIR000226,226,227,319.6200,231.0000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260729,19920,55,435,90,216,429,149,12,258,6,10,1,QIR000227,227,228,320.9900,232.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260815,77340,364,54,231,86,30,55,475,136,11,12,6,QIR000228,228,229,322.3600,233.0000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260604,50040,490,257,344,133,234,22,81,82,5,11,2,QIR000229,229,230,323.7300,234.0000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260823,36240,446,347,163,238,5,284,247,5,1,7,4,QIR000230,230,231,325.1000,235.0000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260529,74220,443,472,99,322,174,9,390,351,6,6,5,QIR000231,231,232,326.4700,236.0000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260821,53400,440,60,322,105,102,76,398,369,9,8,5,QIR000232,232,233,327.8400,237.0000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260612,54000,438,492,181,72,196,175,319,455,5,2,4,QIR000233,233,234,329.2100,238.0000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260528,20880,346,403,17,196,324,244,329,111,9,3,7,QIR000234,234,235,330.5800,239.0000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260714,83520,168,62,115,334,115,248,196,58,10,3,2,QIR000235,235,236,331.9500,240.0000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260618,35160,3,399,145,226,27,146,485,31,8,6,6,QIR000236,236,237,333.3200,241.0000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260724,11460,412,98,180,139,404,229,409,234,2,6,3,QIR000237,237,238,334.6900,242.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260531,78660,71,373,16,-1,237,21,-1,-1,4,6,3,QIR000238,238,239,336.0600,243.0000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260615,64740,416,60,431,350,474,138,97,304,1,7,2,QIR000239,239,240,337.4300,244.0000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260803,2220,333,81,454,376,27,350,118,66,1,9,3,QIR000240,240,241,338.8000,245.0000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260818,62460,425,189,377,467,378,165,123,442,12,1,1,QIR000241,241,242,340.1700,246.0000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260820,80640,304,149,146,270,123,328,216,1,1,2,7,QIR000242,242,243,341.5400,247.0000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260803,62040,100,227,387,267,254,61,144,205,2,5,5,QIR000243,243,244,342.9100,248.0000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260726,84780,224,48,400,16,441,253,9,221,8,7,2,QIR000244,244,245,344.2800,249.0000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260820,70320,341,412,37,17,432,20,287,210,4,11,1,QIR000245,245,246,345.6500,250.0000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260614,55200,328,238,234,151,276,326,37,246,5,5,1,QIR000246,246,247,347.0200,251.0000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260701,69180,271,39,416,308,402,123,350,25,3,3,2,QIR000247,247,248,348.3900,252.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260813,51600,159,158,191,20,79,145,206,371,5,1,2,QIR000248,248,249,349.7600,253.0000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260709,3480,406,288,442,11,269,248,152,286,9,10,5,QIR000249,249,250,351.1300,254.0000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260729,75840,246,56,311,75,294,155,413,467,3,8,1,QIR000250,250,251,352.5000,255.0000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260817,20640,10,27,465,240,222,59,113,38,11,10,3,QIR000251,251,252,353.8700,256.0000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260611,72600,28,297,339,378,99,95,33,171,5,8,7,QIR000252,252,253,355.2400,257.0000,355.2400,1,1,2026-08-24T00:00:00.000
253,20260630,42480,396,109,301,255,44,249,160,417,9,3,4,QIR000253,253,254,356.6100,258.0000,356.6100,1,1,2026-08-24T00:00:00.000
254,20260618,10920,383,164,242,182,472,334,268,91,3,5,7,QIR000254,254,255,357.9800,259.0000,357.9800,1,1,2026-08-24T00:00:00.000
255,20260814,900,71,176,361,-1,181,155,-1,-1,1,1,3,QIR000255,255,256,359.3500,260.0000,359.3500,1,1,2026-08-24T00:00:00.000
256,20260813,76560,425,105,396,307,371,55,199,269,12,2,4,QIR000256,256,257,360.7200,261.0000,360.7200,1,1,2026-08-24T00:00:00.000
257,20260810,49020,446,321,43,301,132,305,293,43,7,3,6,QIR000257,257,258,362.0900,262.0000,362.0900,1,1,2026-08-24T00:00:00.000
258,20260616,64500,175,337,339,387,35,346,164,308,11,5,4,QIR000258,258,259,363.4600,263.0000,363.4600,1,1,2026-08-24T00:00:00.000
259,20260611,22800,212,2,373,103,271,266,209,2,12,10,4,QIR000259,259,260,364.8300,264.0000,364.8300,1,1,2026-08-24T00:00:00.000
260,20260717,42420,500,162,387,360,134,152,479,425,6,11,7,QIR000260,260,261,366.2000,265.0000,366.2000,1,1,2026-08-24T00:00:00.000
261,20260628,67860,91,246,381,8,351,190,460,158,9,1,5,QIR000261,261,262,367.5700,266.0000,367.5700,1,1,2026-08-24T00:00:00.000
262,20260605,30120,132,440,80,312,240,319,105,305,9,4,7,QIR000262,262,263,368.9400,267.0000,368.9400,1,1,2026-08-24T00:00:00.000
263,20260721,66420,391,226,258,263,438,82,341,28,4,12,7,QIR000263,263,264,370.3100,268.0000,370.3100,1,1,2026-08-24T00:00:00.000
264,20260819,71280,108,186,181,176,76,45,465,270,1,10,5,QIR000264,264,265,371.6800,269.0000,371.6800,1,1,2026-08-24T00:00:00.000
265,20260809,68340,66,108,158,492,379,110,129,481,11,7,7,QIR000265,265,266,373.0500,270.0000,373.0500,1,1,2026-08-24T00:00:00.000
266,20260821,77580,326,418,142,85,410,302,117,244,12,12,7,QIR000266,266,267,374.4200,271.0000,374.4200,1,1,2026-08-24T00:00:00.000
267,20260624,61860,254,416,251,63,190,325,197,30,2,9,6,QIR000267,267,268,375.7900,272.0000,375.7900,1,1,2026-08-24T00:00:00.000
268,20260810,32400,157,97,21,114,50,164,319,158,11,10,7,QIR000268,268,269,377.1600,273.0000,377.1600,1,1,2026-08-24T00:00:00.000
269,20260704,69060,102,378,355,306,295,43,443,111,12,2,1,QIR000269,269,270,378.5300,274.0000,378.5300,1,1,2026-08-24T00:00:00.000
270,20260623,65160,203,246,483,493,392,308,346,305,9,9,3,QIR000270,270,271,379.9000,275.0000,379.9000,1,1,2026-08-24T00:00:00.000
271,20260802,28800,303,241,76,91,373,77,234,278,11,2,7,QIR000271,271,272,381.2700,276.0000,381.2700,1,1,2026-08-24T00:00:00.000
272,20260619,77040,285,350,22,-1,58,186,-1,-1,7,2,1,QIR000272,272,273,382.6400,277.0000,382.6400,1,1,2026-08-24T00:00:00.000
273,20260702,10260,157,387,382,190,403,1,500,424,3,9,2,QIR000273,273,274,384.0100,278.0000,384.0100,1,1,2026-08-24T00:00:00.000
274,20260714,68880,83,61,346,241,29,282,268,49,3,2,6,QIR000274,274,275,385.3800,279.0000,385.3800,1,1,2026-08-24T00:00:00.000
275,20260805,3780,494,437,126,230,82,129,3,118,5,10,4,QIR000275,275,276,386.7500,280.0000,386.7500,1,1,2026-08-24T00:00:00.000
276,20260606,51600,273,128,77,169,126,167,49,316,6,10,4,QIR000276,276,277,388.1200,281.0000,388.1200,1,1,2026-08-24T00:00:00.000
277,20260622,83160,294,214,314,31,315,240,220,343,10,12,1,QIR000277,277,278,389.4900,282.0000,389.4900,1,1,2026-08-24T00:00:00.000
278,20260802,85080,232,244,65,235,273,286,282,213,4,5,6,QIR000278,278,279,390.8600,283.0000,390.8600,1,1,2026-08-24T00:00:00.000
279,20260809,79680,223,27,17,90,209,131,190,339,4,8,4,QIR000279,279,280,392.2300,284.0000,392.2300,1,1,2026-08-24T00:00:00.000
280,20260720,16320,125,434,407,140,156,320,442,374,5,9,2,QIR000280,280,281,393.6000,285.0000,393.6000,1,1,2026-08-24T00:00:00.000
281,20260804,84840,237,15,373,16,53,177,293,142,11,2,6,QIR000281,281,282,394.9700,286.0000,394.9700,1,1,2026-08-24T00:00:00.000
282,20260606,120,322,104,121,327,156,337,310,254,10,3,2,QIR000282,282,283,396.3400,287.0000,396.3400,1,1,2026-08-24T00:00:00.000
283,20260807,62640,141,397,193,462,331,194,166,480,2,6,4,QIR000283,283,284,397.7100,288.0000,397.7100,1,1,2026-08-24T00:00:00.000
284,20260601,50100,345,391,261,244,155,338,79,154,9,2,2,QIR000284,284,285,399.0800,289.0000,399.0800,1,1,2026-08-24T00:00:00.000
285,20260817,5280,450,145,308,366,163,218,416,434,6,1,6,QIR000285,285,286,400.4500,290.0000,400.4500,1,1,2026-08-24T00:00:00.000
286,20260702,31740,394,411,43,44,422,265,357,444,6,9,4,QIR000286,286,287,401.8200,291.0000,401.8200,1,1,2026-08-24T00:00:00.000
287,20260814,59340,193,17,323,262,174,121,11,284,11,2,3,QIR000287,287,288,403.1900,292.0000,403.1900,1,1,2026-08-24T00:00:00.000
288,20260618,77820,202,418,276,109,29,261,111,249,3,2,1,QIR000288,288,289,404.5600,293.0000,404.5600,1,1,2026-08-24T00:00:00.000
289,20260617,7140,98,425,257,-1,316,316,-1,-1,4,11,7,QIR000289,289,290,405.9300,294.0000,405.9300,1,1,2026-08-24T00:00:00.000
290,20260706,10320,93,42,32,220,464,179,58,128,9,12,3,QIR000290,290,291,407.3000,295.0000,407.3000,1,1,2026-08-24T00:00:00.000
291,20260704,10740,327,169,125,16,439,293,105,138,5,1,7,QIR000291,291,292,408.6700,296.0000,408.6700,1,1,2026-08-24T00:00:00.000
292,20260610,35400,181,416,11,487,158,22,417,157,5,10,4,QIR000292,292,293,410.0400,297.0000,410.0400,1,1,2026-08-24T00:00:00.000
293,20260726,23040,101,360,151,52,380,246,438,326,11,11,2,QIR000293,293,294,411.4100,298.0000,411.4100,1,1,2026-08-24T00:00:00.000
294,20260531,42480,349,91,29,20,422,209,127,368,9,10,5,QIR000294,294,295,412.7800,299.0000,412.7800,1,1,2026-08-24T00:00:00.000
295,20260716,19860,320,61,175,60,261,238,494,153,4,5,6,QIR000295,295,296,414.1500,300.0000,414.1500,1,1,2026-08-24T00:00:00.000
296,20260708,18300,7,399,493,117,238,345,33,292,5,8,6,QIR000296,296,297,415.5200,301.0000,415.5200,1,1,2026-08-24T00:00:00.000
297,20260623,78420,266,118,80,379,412,241,374,488,6,9,6,QIR000297,297,298,416.8900,302.0000,416.8900,1,1,2026-08-24T00:00:00.000
298,20260626,10920,172,172,180,309,251,67,71,328,8,3,2,QIR000298,298,299,418.2600,303.0000,418.2600,1,1,2026-08-24T00:00:00.000
299,20260716,66360,486,49,56,37,139,235,100,147,12,6,3,QIR000299,299,300,419.6300,304.0000,419.6300,1,1,2026-08-24T00:00:00.000
300,20260703,67260,81,131,284,258,201,321,264,175,11,12,3,QIR000300,300,301,421.0000,305.0000,421.0000,1,1,2026-08-24T00:00:00.000
301,20260531,64860,481,384,377,287,86,37,285,308,7,11,5,QIR000301,301,302,422.3700,306.0000,422.3700,1,1,2026-08-24T00:00:00.000
302,20260629,35280,140,70,447,483,425,173,492,397,9,7,6,QIR000302,302,303,423.7400,307.0000,423.7400,1,1,2026-08-24T00:00:00.000
303,20260712,49500,100,319,196,410,434,33,488,200,12,2,7,QIR000303,303,304,425.1100,308.0000,425.1100,1,1,2026-08-24T00:00:00.000
304,20260710,79080,98,285,312,176,445,147,386,403,4,9,3,QIR000304,304,305,426.4800,309.0000,426.4800,1,1,2026-08-24T00:00:00.000
305,20260729,6180,464,290,431,492,456,149,180,217,2,1,3,QIR000305,305,306,427.8500,310.0000,427.8500,1,1,2026-08-24T00:00:00.000
306,20260813,27900,19,450,362,-1,34,150,-1,-1,9,2,5,QIR000306,306,307,429.2200,311.0000,429.2200,1,1,2026-08-24T00:00:00.000
307,20260803,67620,59,382,173,144,37,143,267,71,12,8,2,QIR000307,307,308,430.5900,312.0000,430.5900,1,1,2026-08-24T00:00:00.000
308,20260528,29940,33,209,217,304,65,263,394,216,9,9,4,QIR000308,308,309,431.9600,313.0000,431.9600,1,1,2026-08-24T00:00:00.000
309,20260730,74280,240,58,395,248,59,139,224,32,10,8,1,QIR000309,309,310,433.3300,314.0000,433.3300,1,1,2026-08-24T00:00:00.000
310,20260805,83040,453,471,383,251,1,273,1,36,7,2,3,QIR000310,310,311,434.7000,315.0000,434.7000,1,1,2026-08-24T00:00:00.000
311,20260812,40200,259,303,197,251,451,280,373,153,6,10,1,QIR000311,311,312,436.0700,316.0000,436.0700,1,1,2026-08-24T00:00:00.000
312,20260818,79320,258,301,261,427,123,7,215,81,6,3,1,QIR000312,312,313,437.4400,317.0000,437.4400,1,1,2026-08-24T00:00:00.000
313,20260701,300,169,58,189,239,300,285,82,352,2,8,5,QIR000313,313,314,438.8100,318.0000,438.8100,1,1,2026-08-24T00:00:00.000
314,20260703,53220,458,323,410,139,89,217,164,485,5,3,6,QIR000314,314,315,440.1800,319.0000,440.1800,1,1,2026-08-24T00:00:00.000
315,20260702,4980,158,65,137,464,93,230,213,390,6,7,6,QIR000315,315,316,441.5500,320.0000,441.5500,1,1,2026-08-24T00:00:00.000
316,20260628,3420,428,63,446,208,316,305,35,131,12,4,7,QIR000316,316,317,442.9200,321.0000,442.9200,1,1,2026-08-24T00:00:00.000
317,20260709,31320,395,194,139,333,368,147,214,233,9,5,5,QIR000317,317,318,444.2900,322.0000,444.2900,1,1,2026-08-24T00:00:00.000
318,20260624,60000,21,185,204,234,251,230,176,489,12,7,3,QIR000318,318,319,445.6600,323.0000,445.6600,1,1,2026-08-24T00:00:00.000
319,20260629,57540,320,70,448,123,428,78,302,468,5,7,1,QIR000319,319,320,447.0300,324.0000,447.0300,1,1,2026-08-24T00:00:00.000
320,20260528,1620,421,307,368,337,40,4,196,410,10,10,6,QIR000320,320,321,448.4000,325.0000,448.4000,1,1,2026-08-24T00:00:00.000
321,20260708,81780,285,487,35,322,203,68,291,174,3,10,4,QIR000321,321,322,449.7700,326.0000,449.7700,1,1,2026-08-24T00:00:00.000
322,20260731,4920,295,349,321,7,311,264,252,89,6,6,1,QIR000322,322,323,451.1400,327.0000,451.1400,1,1,2026-08-24T00:00:00.000
323,20260808,27060,138,192,145,-1,32,277,-1,-1,2,5,7,QIR000323,323,324,452.5100,328.0000,452.5100,1,1,2026-08-24T00:00:00.000
324,20260814,62400,318,99,452,227,142,266,487,51,2,3,3,QIR000324,324,325,453.8800,329.0000,453.8800,1,1,2026-08-24T00:00:00.000
325,20260810,29640,474,323,312,379,73,165,465,45,11,11,4,QIR000325,325,326,455.2500,330.0000,455.2500,1,1,2026-08-24T00:00:00.000
326,20260715,64200,247,91,233,58,276,265,368,472,7,8,2,QIR000326,326,327,456.6200,331.0000,456.6200,1,1,2026-08-24T00:00:00.000
327,20260707,9060,9,344,42,90,208,350,417,171,10,2,4,QIR000327,327,328,457.9900,332.0000,457.9900,1,1,2026-08-24T00:00:00.000
328,20260529,49980,218,323,12,221,64,145,5,465,7,9,5,QIR000328,328,329,459.3600,333.0000,459.3600,1,1,2026-08-24T00:00:00.000
329,20260709,69360,421,495,455,142,71,235,344,425,7,7,2,QIR000329,329,330,460.7300,334.0000,460.7300,1,1,2026-08-24T00:00:00.000
330,20260621,80940,200,69,368,317,70,47,342,319,11,2,2,QIR000330,330,331,462.1000,335.0000,462.1000,1,1,2026-08-24T00:00:00.000
331,20260804,180,238,335,226,443,119,292,331,448,1,10,6,QIR000331,331,332,463.4700,336.0000,463.4700,1,1,2026-08-24T00:00:00.000
332,20260714,82320,246,203,432,431,232,299,103,11,12,4,5,QIR000332,332,333,464.8400,337.0000,464.8400,1,1,2026-08-24T00:00:00.000
333,20260824,15300,357,214,362,197,392,316,12,185,6,4,4,QIR000333,333,334,466.2100,338.0000,466.2100,1,1,2026-08-24T00:00:00.000
334,20260808,76440,11,11,339,182,140,206,59,5,3,4,3,QIR000334,334,335,467.5800,339.0000,467.5800,1,1,2026-08-24T00:00:00.000
335,20260709,50160,270,9,368,290,237,131,204,119,10,10,1,QIR000335,335,336,468.9500,340.0000,468.9500,1,1,2026-08-24T00:00:00.000
336,20260629,49380,336,438,217,282,461,143,78,444,5,6,5,QIR000336,336,337,470.3200,341.0000,470.3200,1,1,2026-08-24T00:00:00.000
337,20260704,24360,414,81,118,104,113,36,125,208,8,9,1,QIR000337,337,338,471.6900,342.0000,471.6900,1,1,2026-08-24T00:00:00.000
338,20260710,83520,312,294,459,425,91,90,354,301,1,6,2,QIR000338,338,339,473.0600,343.0000,473.0600,1,1,2026-08-24T00:00:00.000
339,20260724,39000,314,432,374,173,116,96,140,138,2,4,4,QIR000339,339,340,474.4300,344.0000,474.4300,1,1,2026-08-24T00:00:00.000
340,20260803,72840,161,31,77,-1,19,133,-1,-1,8,11,5,QIR000340,340,341,475.8000,345.0000,475.8000,1,1,2026-08-24T00:00:00.000
341,20260730,48600,275,413,235,26,35,58,13,27,8,1,2,QIR000341,341,342,477.1700,346.0000,477.1700,1,1,2026-08-24T00:00:00.000
342,20260617,51360,410,247,213,35,164,211,280,51,12,3,2,QIR000342,342,343,478.5400,347.0000,478.5400,1,1,2026-08-24T00:00:00.000
343,20260612,47220,363,323,366,230,8,33,354,346,3,6,6,QIR000343,343,344,479.9100,348.0000,479.9100,1,1,2026-08-24T00:00:00.000
344,20260818,52080,211,214,321,119,146,340,274,329,5,5,4,QIR000344,344,345,481.2800,349.0000,481.2800,1,1,2026-08-24T00:00:00.000
345,20260801,6720,196,432,235,62,298,342,392,26,7,11,7,QIR000345,345,346,482.6500,350.0000,482.6500,1,1,2026-08-24T00:00:00.000
346,20260622,7860,218,366,51,371,123,64,468,86,11,7,3,QIR000346,346,347,484.0200,351.0000,484.0200,1,1,2026-08-24T00:00:00.000
347,20260704,81240,477,274,185,95,27,287,366,326,5,8,5,QIR000347,347,348,485.3900,352.0000,485.3900,1,1,2026-08-24T00:00:00.000
348,20260725,27840,95,175,128,479,82,245,493,47,4,11,6,QIR000348,348,349,486.7600,353.0000,486.7600,1,1,2026-08-24T00:00:00.000
349,20260624,42540,399,148,208,457,351,278,174,110,10,7,4,QIR000349,349,350,488.1300,354.0000,488.1300,1,1,2026-08-24T00:00:00.000
350,20260814,57900,330,122,39,299,376,77,322,110,3,11,3,QIR000350,350,351,489.5000,355.0000,489.5000,1,1,2026-08-24T00:00:00.000
351,20260718,18060,141,102,167,177,250,198,428,384,3,12,2,QIR000351,351,352,490.8700,356.0000,490.8700,1,1,2026-08-24T00:00:00.000
352,20260807,82380,81,430,110,4,220,205,258,243,3,3,7,QIR000352,352,353,492.2400,357.0000,492.2400,1,1,2026-08-24T00:00:00.000
353,20260730,1500,278,295,228,460,297,63,176,281,7,8,7,QIR000353,353,354,493.6100,358.0000,493.6100,1,1,2026-08-24T00:00:00.000
354,20260626,57780,489,276,181,136,308,321,489,104,9,1,2,QIR000354,354,355,494.9800,359.0000,494.9800,1,1,2026-08-24T00:00:00.000
355,20260711,80940,336,93,200,386,230,196,46,275,2,2,7,QIR000355,355,356,496.3500,360.0000,496.3500,1,1,2026-08-24T00:00:00.000
356,20260527,50640,471,250,298,332,10,261,56,67,11,11,1,QIR000356,356,357,497.7200,361.0000,497.7200,1,1,2026-08-24T00:00:00.000
357,20260608,61500,115,422,369,-1,406,219,-1,-1,7,5,6,QIR000357,357,358,499.0900,362.0000,499.0900,1,1,2026-08-24T00:00:00.000
358,20260821,32520,449,119,45,183,95,117,437,256,6,11,1,QIR000358,358,359,500.4600,363.0000,500.4600,1,1,2026-08-24T00:00:00.000
359,20260602,60300,56,226,226,316,467,295,437,27,6,3,1,QIR000359,359,360,501.8300,364.0000,501.8300,1,1,2026-08-24T00:00:00.000
360,20260724,82800,326,354,113,323,103,91,72,195,9,12,2,QIR000360,360,361,503.2000,365.0000,503.2000,1,1,2026-08-24T00:00:00.000
361,20260615,14820,341,205,202,77,2,20,294,349,3,7,1,QIR000361,361,362,504.5700,366.0000,504.5700,1,1,2026-08-24T00:00:00.000
362,20260617,36900,185,193,271,9,137,329,497,129,5,10,4,QIR000362,362,363,505.9400,367.0000,505.9400,1,1,2026-08-24T00:00:00.000
363,20260705,18960,310,388,492,416,238,137,19,138,5,7,6,QIR000363,363,364,507.3100,368.0000,507.3100,1,1,2026-08-24T00:00:00.000
