FinanceBudgetForecastKey,SnapshotDateKey,FiscalPeriodDateKey,FinancePlanningVersionKey,GlAccountKey,CostCenterKey,BusinessUnitKey,ProductKey,FinanceProfitObjectKey,FinanceScenarioTypeKey,CurrencyKey,BudgetAmount,ForecastAmount,BudgetQuantity,ForecastQuantity,SourceSystemKey,BatchId,LoadedAtUtc
419,20260805,20260823,93,44,496,390,499,480,3,4,584.0300,584.0300,293.4000,293.4000,1,1,2026-08-24T00:00:00.000
420,20260824,20260807,480,124,455,106,446,179,1,3,585.4000,585.4000,294.1000,294.1000,1,1,2026-08-24T00:00:00.000
421,20260729,20260731,27,110,26,462,159,495,4,2,586.7700,586.7700,294.8000,294.8000,1,1,2026-08-24T00:00:00.000
422,20260706,20260711,232,146,146,110,485,271,7,5,588.1400,588.1400,295.5000,295.5000,1,1,2026-08-24T00:00:00.000
423,20260810,20260821,362,232,474,78,340,343,10,5,589.5100,589.5100,296.2000,296.2000,1,1,2026-08-24T00:00:00.000
424,20260628,20260714,212,402,223,265,226,21,3,2,590.8800,590.8800,296.9000,296.9000,1,1,2026-08-24T00:00:00.000
425,20260807,20260615,242,39,-1,358,-1,-1,6,5,592.2500,592.2500,297.6000,297.6000,1,1,2026-08-24T00:00:00.000
426,20260819,20260612,305,211,212,184,76,262,10,2,593.6200,593.6200,298.3000,298.3000,1,1,2026-08-24T00:00:00.000
427,20260705,20260801,354,424,162,403,301,375,7,5,594.9900,594.9900,299.0000,299.0000,1,1,2026-08-24T00:00:00.000
428,20260704,20260819,325,79,440,487,359,381,2,4,596.3600,596.3600,299.7000,299.7000,1,1,2026-08-24T00:00:00.000
429,20260627,20260621,173,402,487,391,129,90,1,5,597.7300,597.7300,300.4000,300.4000,1,1,2026-08-24T00:00:00.000
430,20260624,20260615,40,183,344,483,440,406,1,5,599.1000,599.1000,301.1000,301.1000,1,1,2026-08-24T00:00:00.000
431,20260704,20260814,35,99,37,491,409,338,7,3,600.4700,600.4700,301.8000,301.8000,1,1,2026-08-24T00:00:00.000
432,20260724,20260620,247,447,245,90,432,351,8,3,601.8400,601.8400,302.5000,302.5000,1,1,2026-08-24T00:00:00.000
433,20260605,20260603,388,486,27,433,476,87,1,3,603.2100,603.2100,303.2000,303.2000,1,1,2026-08-24T00:00:00.000
434,20260720,20260625,19,176,38,196,147,171,6,5,604.5800,604.5800,303.9000,303.9000,1,1,2026-08-24T00:00:00.000
435,20260723,20260714,108,369,336,348,343,388,9,3,605.9500,605.9500,304.6000,304.6000,1,1,2026-08-24T00:00:00.000
436,20260703,20260717,456,239,49,363,180,54,5,4,607.3200,607.3200,305.3000,305.3000,1,1,2026-08-24T00:00:00.000
437,20260530,20260807,248,281,283,317,184,14,6,4,608.6900,608.6900,306.0000,306.0000,1,1,2026-08-24T00:00:00.000
438,20260604,20260821,267,418,135,251,408,38,9,5,610.0600,610.0600,306.7000,306.7000,1,1,2026-08-24T00:00:00.000
439,20260528,20260730,31,463,125,305,263,231,3,4,611.4300,611.4300,307.4000,307.4000,1,1,2026-08-24T00:00:00.000
440,20260628,20260803,146,234,23,79,7,199,7,4,612.8000,612.8000,308.1000,308.1000,1,1,2026-08-24T00:00:00.000
441,20260622,20260722,133,13,465,147,262,317,1,1,614.1700,614.1700,308.8000,308.8000,1,1,2026-08-24T00:00:00.000
442,20260808,20260807,328,387,-1,408,-1,-1,9,1,615.5400,615.5400,309.5000,309.5000,1,1,2026-08-24T00:00:00.000
443,20260717,20260706,466,200,111,220,407,177,8,2,616.9100,616.9100,310.2000,310.2000,1,1,2026-08-24T00:00:00.000
444,20260730,20260715,194,43,372,438,151,162,7,4,618.2800,618.2800,310.9000,310.9000,1,1,2026-08-24T00:00:00.000
445,20260731,20260609,190,403,196,48,265,11,8,1,619.6500,619.6500,311.6000,311.6000,1,1,2026-08-24T00:00:00.000
446,20260807,20260717,299,380,381,187,304,221,1,1,621.0200,621.0200,312.3000,312.3000,1,1,2026-08-24T00:00:00.000
447,20260714,20260722,439,231,282,58,124,11,2,2,622.3900,622.3900,313.0000,313.0000,1,1,2026-08-24T00:00:00.000
448,20260801,20260618,290,22,76,216,62,151,1,4,623.7600,623.7600,313.7000,313.7000,1,1,2026-08-24T00:00:00.000
449,20260730,20260706,149,7,486,36,453,355,8,2,625.1300,625.1300,314.4000,314.4000,1,1,2026-08-24T00:00:00.000
450,20260616,20260621,374,62,99,382,35,498,5,1,626.5000,626.5000,315.1000,315.1000,1,1,2026-08-24T00:00:00.000
451,20260819,20260529,246,241,436,21,73,212,7,4,627.8700,627.8700,315.8000,315.8000,1,1,2026-08-24T00:00:00.000
452,20260802,20260822,251,360,153,38,77,135,3,4,629.2400,629.2400,316.5000,316.5000,1,1,2026-08-24T00:00:00.000
453,20260712,20260603,148,68,341,410,453,460,5,2,630.6100,630.6100,317.2000,317.2000,1,1,2026-08-24T00:00:00.000
454,20260611,20260821,294,396,233,65,39,219,2,1,631.9800,631.9800,317.9000,317.9000,1,1,2026-08-24T00:00:00.000
455,20260610,20260807,56,354,87,361,469,367,10,4,633.3500,633.3500,318.6000,318.6000,1,1,2026-08-24T00:00:00.000
456,20260713,20260813,58,424,408,145,265,253,4,2,634.7200,634.7200,319.3000,319.3000,1,1,2026-08-24T00:00:00.000
457,20260819,20260725,32,241,278,424,331,302,10,2,636.0900,636.0900,320.0000,320.0000,1,1,2026-08-24T00:00:00.000
458,20260802,20260609,284,488,290,37,329,70,3,3,637.4600,637.4600,320.7000,320.7000,1,1,2026-08-24T00:00:00.000
459,20260728,20260531,479,32,-1,424,-1,-1,5,3,638.8300,638.8300,321.4000,321.4000,1,1,2026-08-24T00:00:00.000
460,20260603,20260628,115,297,403,296,83,267,6,2,640.2000,640.2000,322.1000,322.1000,1,1,2026-08-24T00:00:00.000
461,20260603,20260730,243,458,471,29,337,209,7,1,641.5700,641.5700,322.8000,322.8000,1,1,2026-08-24T00:00:00.000
462,20260711,20260816,64,111,140,355,39,368,1,3,642.9400,642.9400,323.5000,323.5000,1,1,2026-08-24T00:00:00.000
463,20260609,20260801,383,126,259,288,203,257,4,2,644.3100,644.3100,324.2000,324.2000,1,1,2026-08-24T00:00:00.000
464,20260622,20260531,44,232,480,289,361,450,3,2,645.6800,645.6800,324.9000,324.9000,1,1,2026-08-24T00:00:00.000
465,20260703,20260626,398,137,470,44,296,495,9,3,647.0500,647.0500,325.6000,325.6000,1,1,2026-08-24T00:00:00.000
466,20260608,20260628,281,112,234,159,28,370,7,5,648.4200,648.4200,326.3000,326.3000,1,1,2026-08-24T00:00:00.000
467,20260719,20260708,364,292,95,213,311,381,5,4,649.7900,649.7900,327.0000,327.0000,1,1,2026-08-24T00:00:00.000
468,20260717,20260615,49,356,449,419,327,484,1,5,651.1600,651.1600,327.7000,327.7000,1,1,2026-08-24T00:00:00.000
469,20260620,20260704,186,167,338,462,225,386,7,4,652.5300,652.5300,328.4000,328.4000,1,1,2026-08-24T00:00:00.000
470,20260705,20260620,211,195,226,72,305,35,8,2,653.9000,653.9000,329.1000,329.1000,1,1,2026-08-24T00:00:00.000
471,20260715,20260731,365,345,10,63,60,251,10,3,655.2700,655.2700,329.8000,329.8000,1,1,2026-08-24T00:00:00.000
472,20260528,20260725,145,238,15,314,171,287,3,4,656.6400,656.6400,330.5000,330.5000,1,1,2026-08-24T00:00:00.000
473,20260623,20260628,449,90,88,381,285,32,3,5,658.0100,658.0100,331.2000,331.2000,1,1,2026-08-24T00:00:00.000
474,20260709,20260716,429,364,295,297,16,47,9,4,659.3800,659.3800,331.9000,331.9000,1,1,2026-08-24T00:00:00.000
475,20260812,20260808,156,363,496,33,217,149,2,2,660.7500,660.7500,332.6000,332.6000,1,1,2026-08-24T00:00:00.000
476,20260802,20260608,238,11,-1,182,-1,-1,9,1,662.1200,662.1200,333.3000,333.3000,1,1,2026-08-24T00:00:00.000
477,20260528,20260625,426,231,251,246,271,292,9,3,663.4900,663.4900,334.0000,334.0000,1,1,2026-08-24T00:00:00.000
478,20260805,20260611,195,443,344,233,182,217,2,5,664.8600,664.8600,334.7000,334.7000,1,1,2026-08-24T00:00:00.000
479,20260621,20260706,234,234,110,55,385,24,5,3,666.2300,666.2300,335.4000,335.4000,1,1,2026-08-24T00:00:00.000
480,20260725,20260817,366,160,313,177,445,426,7,5,667.6000,667.6000,336.1000,336.1000,1,1,2026-08-24T00:00:00.000
481,20260820,20260630,10,122,358,484,149,325,3,5,668.9700,668.9700,336.8000,336.8000,1,1,2026-08-24T00:00:00.000
482,20260704,20260809,437,419,358,86,64,218,9,3,670.3400,670.3400,337.5000,337.5000,1,1,2026-08-24T00:00:00.000
483,20260817,20260803,190,377,456,20,292,77,10,5,671.7100,671.7100,338.2000,338.2000,1,1,2026-08-24T00:00:00.000
484,20260622,20260728,241,422,193,359,392,107,10,4,673.0800,673.0800,338.9000,338.9000,1,1,2026-08-24T00:00:00.000
485,20260621,20260602,228,464,432,82,445,473,1,3,674.4500,674.4500,339.6000,339.6000,1,1,2026-08-24T00:00:00.000
486,20260814,20260626,399,498,62,444,483,262,6,1,675.8200,675.8200,340.3000,340.3000,1,1,2026-08-24T00:00:00.000
487,20260817,20260808,189,95,431,390,174,122,1,5,677.1900,677.1900,341.0000,341.0000,1,1,2026-08-24T00:00:00.000
488,20260811,20260804,277,74,401,389,421,333,4,4,678.5600,678.5600,341.7000,341.7000,1,1,2026-08-24T00:00:00.000
489,20260724,20260802,394,46,491,151,240,261,9,1,679.9300,679.9300,342.4000,342.4000,1,1,2026-08-24T00:00:00.000
490,20260819,20260726,95,23,135,187,237,64,8,2,681.3000,681.3000,343.1000,343.1000,1,1,2026-08-24T00:00:00.000
491,20260623,20260628,205,28,389,195,295,467,4,1,682.6700,682.6700,343.8000,343.8000,1,1,2026-08-24T00:00:00.000
492,20260616,20260609,184,92,455,414,172,141,2,1,684.0400,684.0400,344.5000,344.5000,1,1,2026-08-24T00:00:00.000
493,20260702,20260807,114,242,-1,320,-1,-1,10,4,685.4100,685.4100,345.2000,345.2000,1,1,2026-08-24T00:00:00.000
494,20260710,20260610,99,375,236,453,42,410,4,2,686.7800,686.7800,345.9000,345.9000,1,1,2026-08-24T00:00:00.000
495,20260613,20260622,348,215,141,96,66,420,2,3,688.1500,688.1500,346.6000,346.6000,1,1,2026-08-24T00:00:00.000
496,20260731,20260610,36,481,227,484,430,357,4,5,689.5200,689.5200,347.3000,347.3000,1,1,2026-08-24T00:00:00.000
497,20260531,20260615,304,433,472,413,90,247,10,1,690.8900,690.8900,348.0000,348.0000,1,1,2026-08-24T00:00:00.000
498,20260620,20260809,264,283,339,215,42,381,2,1,692.2600,692.2600,348.7000,348.7000,1,1,2026-08-24T00:00:00.000
499,20260623,20260712,238,317,140,115,151,61,4,3,693.6300,693.6300,349.4000,349.4000,1,1,2026-08-24T00:00:00.000
500,20260605,20260721,338,167,39,407,9,34,8,2,695.0000,695.0000,350.1000,350.1000,1,1,2026-08-24T00:00:00.000
501,20260601,20260624,128,219,152,208,69,206,8,3,696.3700,696.3700,350.8000,350.8000,1,1,2026-08-24T00:00:00.000
502,20260621,20260813,472,330,218,208,218,47,3,3,697.7400,697.7400,351.5000,351.5000,1,1,2026-08-24T00:00:00.000
503,20260807,20260731,59,480,444,13,429,349,7,2,699.1100,699.1100,352.2000,352.2000,1,1,2026-08-24T00:00:00.000
504,20260810,20260717,246,478,245,264,110,31,5,4,700.4800,700.4800,352.9000,352.9000,1,1,2026-08-24T00:00:00.000
505,20260711,20260721,469,465,462,416,109,172,3,5,701.8500,701.8500,353.6000,353.6000,1,1,2026-08-24T00:00:00.000
506,20260730,20260720,450,326,407,85,387,86,2,3,703.2200,703.2200,354.3000,354.3000,1,1,2026-08-24T00:00:00.000
507,20260804,20260816,150,467,225,71,399,9,5,5,704.5900,704.5900,355.0000,355.0000,1,1,2026-08-24T00:00:00.000
508,20260719,20260805,148,351,210,60,185,18,10,2,705.9600,705.9600,355.7000,355.7000,1,1,2026-08-24T00:00:00.000
509,20260823,20260708,318,5,333,328,211,437,10,2,707.3300,707.3300,356.4000,356.4000,1,1,2026-08-24T00:00:00.000
510,20260814,20260710,495,140,-1,397,-1,-1,5,5,708.7000,708.7000,357.1000,357.1000,1,1,2026-08-24T00:00:00.000
511,20260604,20260824,499,290,175,282,42,313,3,1,710.0700,710.0700,357.8000,357.8000,1,1,2026-08-24T00:00:00.000
512,20260716,20260816,128,104,228,433,14,319,8,5,711.4400,711.4400,358.5000,358.5000,1,1,2026-08-24T00:00:00.000
513,20260613,20260725,391,71,198,238,213,90,9,1,712.8100,712.8100,359.2000,359.2000,1,1,2026-08-24T00:00:00.000
514,20260608,20260819,332,333,179,241,152,421,4,4,714.1800,714.1800,359.9000,359.9000,1,1,2026-08-24T00:00:00.000
515,20260808,20260712,321,37,407,252,412,200,5,1,715.5500,715.5500,360.6000,360.6000,1,1,2026-08-24T00:00:00.000
516,20260802,20260531,216,270,234,49,254,483,3,2,716.9200,716.9200,361.3000,361.3000,1,1,2026-08-24T00:00:00.000
517,20260823,20260804,213,300,66,262,5,284,1,4,718.2900,718.2900,362.0000,362.0000,1,1,2026-08-24T00:00:00.000
518,20260702,20260721,96,145,33,398,424,368,8,4,719.6600,719.6600,362.7000,362.7000,1,1,2026-08-24T00:00:00.000
519,20260623,20260722,374,232,6,461,336,354,6,2,721.0300,721.0300,363.4000,363.4000,1,1,2026-08-24T00:00:00.000
520,20260807,20260726,71,209,74,465,476,423,7,2,722.4000,722.4000,364.1000,364.1000,1,1,2026-08-24T00:00:00.000
521,20260702,20260615,129,486,341,156,175,361,1,5,723.7700,723.7700,364.8000,364.8000,1,1,2026-08-24T00:00:00.000
522,20260806,20260530,251,238,360,341,266,240,10,1,725.1400,725.1400,365.5000,365.5000,1,1,2026-08-24T00:00:00.000
523,20260605,20260527,205,252,324,200,444,484,9,5,726.5100,726.5100,366.2000,366.2000,1,1,2026-08-24T00:00:00.000
524,20260816,20260603,264,40,165,31,365,306,4,4,727.8800,727.8800,366.9000,366.9000,1,1,2026-08-24T00:00:00.000
525,20260618,20260606,90,194,169,130,384,355,3,4,729.2500,729.2500,367.6000,367.6000,1,1,2026-08-24T00:00:00.000
526,20260531,20260818,60,312,200,432,401,95,5,1,730.6200,730.6200,368.3000,368.3000,1,1,2026-08-24T00:00:00.000
527,20260824,20260817,240,330,-1,203,-1,-1,2,3,731.9900,731.9900,369.0000,369.0000,1,1,2026-08-24T00:00:00.000
528,20260803,20260620,471,215,336,21,228,336,10,5,733.3600,733.3600,369.7000,369.7000,1,1,2026-08-24T00:00:00.000
529,20260805,20260616,447,212,205,33,156,214,10,4,734.7300,734.7300,370.4000,370.4000,1,1,2026-08-24T00:00:00.000
530,20260527,20260808,67,373,484,21,101,461,6,4,736.1000,736.1000,371.1000,371.1000,1,1,2026-08-24T00:00:00.000
531,20260820,20260813,16,138,296,300,447,487,3,5,737.4700,737.4700,371.8000,371.8000,1,1,2026-08-24T00:00:00.000
532,20260818,20260811,219,139,70,243,292,221,6,5,738.8400,738.8400,372.5000,372.5000,1,1,2026-08-24T00:00:00.000
533,20260720,20260702,446,231,282,10,241,434,5,1,740.2100,740.2100,373.2000,373.2000,1,1,2026-08-24T00:00:00.000
534,20260531,20260629,345,84,363,25,411,393,2,1,741.5800,741.5800,373.9000,373.9000,1,1,2026-08-24T00:00:00.000
535,20260816,20260528,394,258,110,181,169,154,1,4,742.9500,742.9500,374.6000,374.6000,1,1,2026-08-24T00:00:00.000
536,20260602,20260621,432,333,478,352,162,89,8,4,744.3200,744.3200,375.3000,375.3000,1,1,2026-08-24T00:00:00.000
537,20260816,20260622,192,334,226,185,129,165,8,3,745.6900,745.6900,376.0000,376.0000,1,1,2026-08-24T00:00:00.000
538,20260715,20260731,188,490,348,176,20,24,6,3,747.0600,747.0600,376.7000,376.7000,1,1,2026-08-24T00:00:00.000
539,20260615,20260707,500,62,135,487,178,496,5,3,748.4300,748.4300,377.4000,377.4000,1,1,2026-08-24T00:00:00.000
540,20260605,20260606,370,371,317,287,359,160,2,5,749.8000,749.8000,378.1000,378.1000,1,1,2026-08-24T00:00:00.000
541,20260623,20260607,279,220,422,103,465,218,10,5,751.1700,751.1700,378.8000,378.8000,1,1,2026-08-24T00:00:00.000
542,20260813,20260817,482,343,395,477,189,165,1,1,752.5400,752.5400,379.5000,379.5000,1,1,2026-08-24T00:00:00.000
543,20260710,20260720,389,353,376,22,229,222,4,2,753.9100,753.9100,380.2000,380.2000,1,1,2026-08-24T00:00:00.000
544,20260527,20260614,286,259,-1,136,-1,-1,3,2,755.2800,755.2800,380.9000,380.9000,1,1,2026-08-24T00:00:00.000
545,20260605,20260720,465,408,122,58,224,469,2,1,756.6500,756.6500,381.6000,381.6000,1,1,2026-08-24T00:00:00.000
546,20260629,20260617,427,59,427,254,388,136,8,1,758.0200,758.0200,382.3000,382.3000,1,1,2026-08-24T00:00:00.000
547,20260807,20260530,363,259,444,81,358,418,1,4,759.3900,759.3900,383.0000,383.0000,1,1,2026-08-24T00:00:00.000
548,20260623,20260716,431,169,95,448,469,434,3,2,760.7600,760.7600,383.7000,383.7000,1,1,2026-08-24T00:00:00.000
549,20260820,20260715,33,91,344,278,406,468,6,3,762.1300,762.1300,384.4000,384.4000,1,1,2026-08-24T00:00:00.000
550,20260820,20260721,353,110,392,10,203,167,6,2,763.5000,763.5000,385.1000,385.1000,1,1,2026-08-24T00:00:00.000
551,20260717,20260606,123,342,149,22,488,104,1,5,764.8700,764.8700,385.8000,385.8000,1,1,2026-08-24T00:00:00.000
552,20260613,20260820,296,377,427,451,3,478,10,2,766.2400,766.2400,386.5000,386.5000,1,1,2026-08-24T00:00:00.000
553,20260718,20260811,353,424,380,344,212,445,4,3,767.6100,767.6100,387.2000,387.2000,1,1,2026-08-24T00:00:00.000
554,20260616,20260529,470,403,439,16,143,351,7,2,768.9800,768.9800,387.9000,387.9000,1,1,2026-08-24T00:00:00.000
555,20260811,20260530,69,441,13,123,241,138,4,2,770.3500,770.3500,388.6000,388.6000,1,1,2026-08-24T00:00:00.000
556,20260811,20260721,326,51,109,104,17,117,4,5,771.7200,771.7200,389.3000,389.3000,1,1,2026-08-24T00:00:00.000
557,20260608,20260628,232,140,433,270,107,126,10,1,773.0900,773.0900,390.0000,390.0000,1,1,2026-08-24T00:00:00.000
558,20260729,20260727,410,164,500,417,363,443,9,2,774.4600,774.4600,390.7000,390.7000,1,1,2026-08-24T00:00:00.000
559,20260528,20260610,500,254,266,41,350,15,7,3,775.8300,775.8300,391.4000,391.4000,1,1,2026-08-24T00:00:00.000
560,20260815,20260705,326,423,1,82,387,346,7,2,777.2000,777.2000,392.1000,392.1000,1,1,2026-08-24T00:00:00.000
561,20260614,20260630,366,33,-1,215,-1,-1,6,3,778.5700,778.5700,392.8000,392.8000,1,1,2026-08-24T00:00:00.000
562,20260610,20260722,324,245,404,201,142,127,1,4,779.9400,779.9400,393.5000,393.5000,1,1,2026-08-24T00:00:00.000
563,20260709,20260617,457,255,414,230,483,235,9,2,781.3100,781.3100,394.2000,394.2000,1,1,2026-08-24T00:00:00.000
564,20260726,20260807,154,245,117,29,94,250,1,1,782.6800,782.6800,394.9000,394.9000,1,1,2026-08-24T00:00:00.000
565,20260727,20260711,219,7,20,60,441,292,2,4,784.0500,784.0500,395.6000,395.6000,1,1,2026-08-24T00:00:00.000
566,20260611,20260823,128,123,181,411,13,141,8,2,785.4200,785.4200,396.3000,396.3000,1,1,2026-08-24T00:00:00.000
567,20260612,20260706,266,23,394,295,40,407,6,2,786.7900,786.7900,397.0000,397.0000,1,1,2026-08-24T00:00:00.000
568,20260811,20260715,79,89,435,367,28,454,7,1,788.1600,788.1600,397.7000,397.7000,1,1,2026-08-24T00:00:00.000
569,20260809,20260714,346,347,57,162,314,152,5,2,789.5300,789.5300,398.4000,398.4000,1,1,2026-08-24T00:00:00.000
570,20260622,20260607,107,405,167,264,406,485,8,1,790.9000,790.9000,399.1000,399.1000,1,1,2026-08-24T00:00:00.000
571,20260812,20260621,129,143,76,414,84,177,8,1,792.2700,792.2700,399.8000,399.8000,1,1,2026-08-24T00:00:00.000
572,20260529,20260806,438,380,214,417,350,323,8,2,793.6400,793.6400,400.5000,400.5000,1,1,2026-08-24T00:00:00.000
573,20260727,20260616,116,402,111,138,423,20,10,4,795.0100,795.0100,401.2000,401.2000,1,1,2026-08-24T00:00:00.000
574,20260803,20260617,242,145,81,14,191,482,3,5,796.3800,796.3800,401.9000,401.9000,1,1,2026-08-24T00:00:00.000
575,20260812,20260627,63,59,129,165,286,166,8,1,797.7500,797.7500,402.6000,402.6000,1,1,2026-08-24T00:00:00.000
576,20260710,20260624,265,146,328,391,33,312,4,1,799.1200,799.1200,403.3000,403.3000,1,1,2026-08-24T00:00:00.000
577,20260630,20260824,498,159,60,422,232,195,9,2,800.4900,800.4900,404.0000,404.0000,1,1,2026-08-24T00:00:00.000
578,20260821,20260619,182,125,-1,167,-1,-1,9,1,801.8600,801.8600,404.7000,404.7000,1,1,2026-08-24T00:00:00.000
579,20260620,20260625,117,181,451,99,333,141,3,5,803.2300,803.2300,405.4000,405.4000,1,1,2026-08-24T00:00:00.000
580,20260706,20260623,441,277,188,443,50,363,5,4,804.6000,804.6000,406.1000,406.1000,1,1,2026-08-24T00:00:00.000
581,20260616,20260624,217,399,327,145,306,427,4,1,805.9700,805.9700,406.8000,406.8000,1,1,2026-08-24T00:00:00.000
582,20260821,20260816,453,339,390,1,49,152,4,5,807.3400,807.3400,407.5000,407.5000,1,1,2026-08-24T00:00:00.000
583,20260614,20260627,144,26,89,238,354,244,2,3,808.7100,808.7100,408.2000,408.2000,1,1,2026-08-24T00:00:00.000
584,20260529,20260702,148,415,130,243,219,489,2,5,810.0800,810.0800,408.9000,408.9000,1,1,2026-08-24T00:00:00.000
585,20260617,20260701,463,389,321,249,169,479,2,2,811.4500,811.4500,409.6000,409.6000,1,1,2026-08-24T00:00:00.000
586,20260528,20260616,219,414,234,450,343,367,1,1,812.8200,812.8200,410.3000,410.3000,1,1,2026-08-24T00:00:00.000
587,20260604,20260606,455,134,297,247,142,182,1,4,814.1900,814.1900,411.0000,411.0000,1,1,2026-08-24T00:00:00.000
588,20260801,20260621,116,325,165,495,193,255,2,3,815.5600,815.5600,411.7000,411.7000,1,1,2026-08-24T00:00:00.000
589,20260820,20260801,26,169,300,285,7,5,9,5,816.9300,816.9300,412.4000,412.4000,1,1,2026-08-24T00:00:00.000
590,20260722,20260702,231,200,462,188,469,75,4,2,818.3000,818.3000,413.1000,413.1000,1,1,2026-08-24T00:00:00.000
591,20260603,20260714,441,395,286,287,433,111,3,3,819.6700,819.6700,413.8000,413.8000,1,1,2026-08-24T00:00:00.000
592,20260818,20260623,473,96,109,4,326,39,6,5,821.0400,821.0400,414.5000,414.5000,1,1,2026-08-24T00:00:00.000
593,20260626,20260816,427,166,422,9,82,160,5,4,822.4100,822.4100,415.2000,415.2000,1,1,2026-08-24T00:00:00.000
594,20260820,20260714,424,303,296,415,485,298,7,2,823.7800,823.7800,415.9000,415.9000,1,1,2026-08-24T00:00:00.000
595,20260715,20260710,95,369,-1,216,-1,-1,5,4,825.1500,825.1500,416.6000,416.6000,1,1,2026-08-24T00:00:00.000
596,20260702,20260603,492,317,160,75,124,298,5,4,826.5200,826.5200,417.3000,417.3000,1,1,2026-08-24T00:00:00.000
597,20260623,20260713,6,42,61,98,488,467,5,3,827.8900,827.8900,418.0000,418.0000,1,1,2026-08-24T00:00:00.000
598,20260527,20260811,249,177,203,141,26,240,9,3,829.2600,829.2600,418.7000,418.7000,1,1,2026-08-24T00:00:00.000
599,20260816,20260613,295,279,98,300,385,193,7,1,830.6300,830.6300,419.4000,419.4000,1,1,2026-08-24T00:00:00.000
600,20260610,20260814,338,358,193,150,300,313,4,1,832.0000,832.0000,420.1000,420.1000,1,1,2026-08-24T00:00:00.000
601,20260707,20260626,31,84,156,130,238,466,3,2,833.3700,833.3700,420.8000,420.8000,1,1,2026-08-24T00:00:00.000
602,20260624,20260807,98,374,7,85,266,247,2,4,834.7400,834.7400,421.5000,421.5000,1,1,2026-08-24T00:00:00.000
603,20260715,20260727,304,69,317,277,464,355,1,2,836.1100,836.1100,422.2000,422.2000,1,1,2026-08-24T00:00:00.000
604,20260803,20260611,376,164,3,9,241,11,4,1,837.4800,837.4800,422.9000,422.9000,1,1,2026-08-24T00:00:00.000
605,20260625,20260727,122,404,156,132,96,171,5,2,838.8500,838.8500,423.6000,423.6000,1,1,2026-08-24T00:00:00.000
606,20260816,20260528,97,6,48,421,172,56,7,3,840.2200,840.2200,424.3000,424.3000,1,1,2026-08-24T00:00:00.000
607,20260724,20260817,202,107,57,390,430,126,8,2,841.5900,841.5900,425.0000,425.0000,1,1,2026-08-24T00:00:00.000
608,20260713,20260720,104,265,306,164,166,355,8,2,842.9600,842.9600,425.7000,425.7000,1,1,2026-08-24T00:00:00.000
609,20260820,20260823,213,37,310,234,267,157,2,2,844.3300,844.3300,426.4000,426.4000,1,1,2026-08-24T00:00:00.000
610,20260605,20260618,415,111,359,362,182,9,5,5,845.7000,845.7000,427.1000,427.1000,1,1,2026-08-24T00:00:00.000
611,20260813,20260621,72,47,276,237,491,269,9,5,847.0700,847.0700,427.8000,427.8000,1,1,2026-08-24T00:00:00.000
612,20260722,20260610,355,249,-1,379,-1,-1,10,1,848.4400,848.4400,428.5000,428.5000,1,1,2026-08-24T00:00:00.000
613,20260817,20260610,19,359,453,65,315,482,8,1,849.8100,849.8100,429.2000,429.2000,1,1,2026-08-24T00:00:00.000
614,20260709,20260530,57,237,185,65,326,122,1,4,851.1800,851.1800,429.9000,429.9000,1,1,2026-08-24T00:00:00.000
615,20260609,20260601,225,106,96,404,57,471,3,1,852.5500,852.5500,430.6000,430.6000,1,1,2026-08-24T00:00:00.000
616,20260717,20260703,288,87,425,246,383,160,9,3,853.9200,853.9200,431.3000,431.3000,1,1,2026-08-24T00:00:00.000
617,20260616,20260805,126,260,484,182,1,300,1,2,855.2900,855.2900,432.0000,432.0000,1,1,2026-08-24T00:00:00.000
618,20260719,20260804,152,270,47,9,116,190,9,5,856.6600,856.6600,432.7000,432.7000,1,1,2026-08-24T00:00:00.000
619,20260716,20260801,120,213,124,372,389,341,9,3,858.0300,858.0300,433.4000,433.4000,1,1,2026-08-24T00:00:00.000
620,20260621,20260630,399,62,151,152,106,456,6,3,859.4000,859.4000,434.1000,434.1000,1,1,2026-08-24T00:00:00.000
621,20260824,20260701,372,24,408,128,187,229,1,3,860.7700,860.7700,434.8000,434.8000,1,1,2026-08-24T00:00:00.000
622,20260714,20260612,78,446,187,201,23,480,1,5,862.1400,862.1400,435.5000,435.5000,1,1,2026-08-24T00:00:00.000
623,20260801,20260618,158,150,456,353,30,411,1,1,863.5100,863.5100,436.2000,436.2000,1,1,2026-08-24T00:00:00.000
624,20260723,20260613,344,419,70,474,250,189,5,4,864.8800,864.8800,436.9000,436.9000,1,1,2026-08-24T00:00:00.000
625,20260731,20260819,297,41,29,270,178,336,7,1,866.2500,866.2500,437.6000,437.6000,1,1,2026-08-24T00:00:00.000
626,20260728,20260730,58,210,49,371,242,430,3,1,867.6200,867.6200,438.3000,438.3000,1,1,2026-08-24T00:00:00.000
627,20260608,20260619,97,117,332,249,424,131,10,4,868.9900,868.9900,439.0000,439.0000,1,1,2026-08-24T00:00:00.000
628,20260618,20260621,412,229,294,429,385,238,5,4,870.3600,870.3600,439.7000,439.7000,1,1,2026-08-24T00:00:00.000
629,20260612,20260823,362,369,-1,234,-1,-1,4,5,871.7300,871.7300,440.4000,440.4000,1,1,2026-08-24T00:00:00.000
630,20260618,20260716,366,169,253,3,117,406,7,2,873.1000,873.1000,441.1000,441.1000,1,1,2026-08-24T00:00:00.000
