InventoryBalanceSnapshotKey,SnapshotDateKey,ProductKey,PlantKey,InventoryBinKey,InventoryLotKey,InventorySerialNumberKey,InventoryConsignmentOwnerKey,InventoryStockStatusKey,UnitOfMeasureKey,OnHandQuantity,AvailableQuantity,ReservedQuantity,InventoryValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
2783,20260810,405,213,366,130,394,141,9,3,948.2000,948.2000,948.2000,3822.7100,1,1,2026-08-24T00:00:00.000
2784,20260722,191,152,91,355,38,430,8,7,948.9000,948.9000,948.9000,3824.0800,1,1,2026-08-24T00:00:00.000
2785,20260628,24,94,5,30,25,328,8,2,949.6000,949.6000,949.6000,3825.4500,1,1,2026-08-24T00:00:00.000
2786,20260612,124,42,246,446,416,451,4,7,950.3000,950.3000,950.3000,3826.8200,1,1,2026-08-24T00:00:00.000
2787,20260705,410,217,40,307,357,376,1,3,951.0000,951.0000,951.0000,3828.1900,1,1,2026-08-24T00:00:00.000
2788,20260619,152,314,63,-1,-1,-1,6,7,951.7000,951.7000,951.7000,3829.5600,1,1,2026-08-24T00:00:00.000
2789,20260717,48,110,229,301,242,345,5,3,952.4000,952.4000,952.4000,3830.9300,1,1,2026-08-24T00:00:00.000
2790,20260709,399,86,71,291,94,80,3,7,953.1000,953.1000,953.1000,3832.3000,1,1,2026-08-24T00:00:00.000
2791,20260530,23,249,253,80,152,139,8,2,953.8000,953.8000,953.8000,3833.6700,1,1,2026-08-24T00:00:00.000
2792,20260812,242,160,338,41,402,321,2,2,954.5000,954.5000,954.5000,3835.0400,1,1,2026-08-24T00:00:00.000
2793,20260804,256,15,50,420,463,228,9,6,955.2000,955.2000,955.2000,3836.4100,1,1,2026-08-24T00:00:00.000
2794,20260530,267,278,426,165,225,125,3,6,955.9000,955.9000,955.9000,3837.7800,1,1,2026-08-24T00:00:00.000
2795,20260613,124,23,212,204,173,107,1,7,956.6000,956.6000,956.6000,3839.1500,1,1,2026-08-24T00:00:00.000
2796,20260702,300,175,87,247,342,440,10,5,957.3000,957.3000,957.3000,3840.5200,1,1,2026-08-24T00:00:00.000
2797,20260528,340,126,19,347,351,88,7,7,958.0000,958.0000,958.0000,3841.8900,1,1,2026-08-24T00:00:00.000
2798,20260625,72,255,56,170,34,411,1,6,958.7000,958.7000,958.7000,3843.2600,1,1,2026-08-24T00:00:00.000
2799,20260624,471,146,479,179,451,315,7,5,959.4000,959.4000,959.4000,3844.6300,1,1,2026-08-24T00:00:00.000
2800,20260707,233,269,148,290,269,387,6,4,960.1000,960.1000,960.1000,3846.0000,1,1,2026-08-24T00:00:00.000
2801,20260625,286,268,385,204,27,161,8,5,960.8000,960.8000,960.8000,3847.3700,1,1,2026-08-24T00:00:00.000
2802,20260823,332,163,499,9,462,324,8,6,961.5000,961.5000,961.5000,3848.7400,1,1,2026-08-24T00:00:00.000
2803,20260701,500,306,314,225,429,108,8,4,962.2000,962.2000,962.2000,3850.1100,1,1,2026-08-24T00:00:00.000
2804,20260807,41,164,460,483,479,334,9,4,962.9000,962.9000,962.9000,3851.4800,1,1,2026-08-24T00:00:00.000
2805,20260824,433,281,259,-1,-1,-1,9,1,963.6000,963.6000,963.6000,3852.8500,1,1,2026-08-24T00:00:00.000
2806,20260725,45,241,422,176,115,411,4,1,964.3000,964.3000,964.3000,3854.2200,1,1,2026-08-24T00:00:00.000
2807,20260528,325,202,142,287,168,331,5,7,965.0000,965.0000,965.0000,3855.5900,1,1,2026-08-24T00:00:00.000
2808,20260619,485,61,275,35,53,307,6,5,965.7000,965.7000,965.7000,3856.9600,1,1,2026-08-24T00:00:00.000
2809,20260818,435,108,185,175,313,136,6,2,966.4000,966.4000,966.4000,3858.3300,1,1,2026-08-24T00:00:00.000
2810,20260608,241,138,443,208,75,366,6,7,967.1000,967.1000,967.1000,3859.7000,1,1,2026-08-24T00:00:00.000
2811,20260609,92,5,27,296,186,173,9,1,967.8000,967.8000,967.8000,3861.0700,1,1,2026-08-24T00:00:00.000
2812,20260621,242,18,143,332,1,234,4,2,968.5000,968.5000,968.5000,3862.4400,1,1,2026-08-24T00:00:00.000
2813,20260810,42,196,1,386,235,437,6,3,969.2000,969.2000,969.2000,3863.8100,1,1,2026-08-24T00:00:00.000
2814,20260816,134,64,264,65,67,442,1,7,969.9000,969.9000,969.9000,3865.1800,1,1,2026-08-24T00:00:00.000
2815,20260714,36,63,294,71,158,393,10,1,970.6000,970.6000,970.6000,3866.5500,1,1,2026-08-24T00:00:00.000
2816,20260615,110,25,394,288,387,48,3,2,971.3000,971.3000,971.3000,3867.9200,1,1,2026-08-24T00:00:00.000
2817,20260624,261,16,237,391,112,287,6,3,972.0000,972.0000,972.0000,3869.2900,1,1,2026-08-24T00:00:00.000
2818,20260715,120,233,387,228,494,235,5,6,972.7000,972.7000,972.7000,3870.6600,1,1,2026-08-24T00:00:00.000
2819,20260814,320,52,154,366,320,13,7,2,973.4000,973.4000,973.4000,3872.0300,1,1,2026-08-24T00:00:00.000
2820,20260819,267,34,87,234,224,117,3,6,974.1000,974.1000,974.1000,3873.4000,1,1,2026-08-24T00:00:00.000
2821,20260717,183,142,244,34,97,367,1,4,974.8000,974.8000,974.8000,3874.7700,1,1,2026-08-24T00:00:00.000
2822,20260708,356,202,475,-1,-1,-1,8,7,975.5000,975.5000,975.5000,3876.1400,1,1,2026-08-24T00:00:00.000
2823,20260804,113,8,250,342,425,279,1,1,976.2000,976.2000,976.2000,3877.5100,1,1,2026-08-24T00:00:00.000
2824,20260609,259,38,62,426,448,484,3,5,976.9000,976.9000,976.9000,3878.8800,1,1,2026-08-24T00:00:00.000
2825,20260605,72,332,495,479,350,60,2,6,977.6000,977.6000,977.6000,3880.2500,1,1,2026-08-24T00:00:00.000
2826,20260712,492,330,356,73,443,335,1,6,978.3000,978.3000,978.3000,3881.6200,1,1,2026-08-24T00:00:00.000
2827,20260613,403,183,173,374,221,411,7,1,979.0000,979.0000,979.0000,3882.9900,1,1,2026-08-24T00:00:00.000
2828,20260812,432,47,67,169,350,25,5,7,979.7000,979.7000,979.7000,3884.3600,1,1,2026-08-24T00:00:00.000
2829,20260603,274,27,130,500,56,182,1,2,980.4000,980.4000,980.4000,3885.7300,1,1,2026-08-24T00:00:00.000
2830,20260625,160,269,53,12,220,415,4,3,981.1000,981.1000,981.1000,3887.1000,1,1,2026-08-24T00:00:00.000
2831,20260615,201,297,481,1,204,185,8,2,981.8000,981.8000,981.8000,3888.4700,1,1,2026-08-24T00:00:00.000
2832,20260527,207,24,277,119,70,186,1,3,982.5000,982.5000,982.5000,3889.8400,1,1,2026-08-24T00:00:00.000
2833,20260601,307,117,310,179,158,95,4,2,983.2000,983.2000,983.2000,3891.2100,1,1,2026-08-24T00:00:00.000
2834,20260809,287,223,373,94,407,4,2,2,983.9000,983.9000,983.9000,3892.5800,1,1,2026-08-24T00:00:00.000
2835,20260711,293,160,483,201,277,207,3,7,984.6000,984.6000,984.6000,3893.9500,1,1,2026-08-24T00:00:00.000
2836,20260805,357,213,279,218,335,47,5,4,985.3000,985.3000,985.3000,3895.3200,1,1,2026-08-24T00:00:00.000
2837,20260622,112,221,35,427,332,483,5,2,986.0000,986.0000,986.0000,3896.6900,1,1,2026-08-24T00:00:00.000
2838,20260714,455,271,142,311,85,150,9,3,986.7000,986.7000,986.7000,3898.0600,1,1,2026-08-24T00:00:00.000
2839,20260803,141,157,415,-1,-1,-1,3,7,987.4000,987.4000,987.4000,3899.4300,1,1,2026-08-24T00:00:00.000
2840,20260618,397,66,96,472,454,245,10,2,988.1000,988.1000,988.1000,3900.8000,1,1,2026-08-24T00:00:00.000
2841,20260606,470,308,312,211,377,34,9,4,988.8000,988.8000,988.8000,3902.1700,1,1,2026-08-24T00:00:00.000
2842,20260722,189,115,397,445,327,169,8,5,989.5000,989.5000,989.5000,3903.5400,1,1,2026-08-24T00:00:00.000
2843,20260527,270,79,62,345,382,274,10,2,990.2000,990.2000,990.2000,3904.9100,1,1,2026-08-24T00:00:00.000
2844,20260605,381,34,145,58,147,264,9,1,990.9000,990.9000,990.9000,3906.2800,1,1,2026-08-24T00:00:00.000
2845,20260609,8,327,261,163,174,129,5,7,991.6000,991.6000,991.6000,3907.6500,1,1,2026-08-24T00:00:00.000
2846,20260730,107,189,206,473,83,210,10,4,992.3000,992.3000,992.3000,3909.0200,1,1,2026-08-24T00:00:00.000
2847,20260814,162,147,53,344,429,174,6,2,993.0000,993.0000,993.0000,3910.3900,1,1,2026-08-24T00:00:00.000
2848,20260808,480,119,206,168,82,84,9,7,993.7000,993.7000,993.7000,3911.7600,1,1,2026-08-24T00:00:00.000
2849,20260618,155,325,387,423,262,381,1,4,994.4000,994.4000,994.4000,3913.1300,1,1,2026-08-24T00:00:00.000
2850,20260706,123,163,362,406,464,156,10,7,995.1000,995.1000,995.1000,3914.5000,1,1,2026-08-24T00:00:00.000
2851,20260604,21,136,129,90,74,158,6,4,995.8000,995.8000,995.8000,3915.8700,1,1,2026-08-24T00:00:00.000
2852,20260817,375,85,124,392,444,146,7,1,996.5000,996.5000,996.5000,3917.2400,1,1,2026-08-24T00:00:00.000
2853,20260615,484,119,90,421,26,267,6,5,997.2000,997.2000,997.2000,3918.6100,1,1,2026-08-24T00:00:00.000
2854,20260602,475,72,450,456,246,328,7,3,997.9000,997.9000,997.9000,3919.9800,1,1,2026-08-24T00:00:00.000
2855,20260707,276,81,133,384,363,95,6,1,998.6000,998.6000,998.6000,3921.3500,1,1,2026-08-24T00:00:00.000
2856,20260802,417,212,235,-1,-1,-1,2,4,999.3000,999.3000,999.3000,3922.7200,1,1,2026-08-24T00:00:00.000
2857,20260604,23,56,431,256,411,341,10,1,1000.0000,1000.0000,1000.0000,3924.0900,1,1,2026-08-24T00:00:00.000
2858,20260808,257,135,266,356,131,488,3,7,0.7000,0.7000,0.7000,3925.4600,1,1,2026-08-24T00:00:00.000
2859,20260722,393,50,408,461,214,112,8,7,1.4000,1.4000,1.4000,3926.8300,1,1,2026-08-24T00:00:00.000
2860,20260528,485,214,315,274,372,398,6,7,2.1000,2.1000,2.1000,3928.2000,1,1,2026-08-24T00:00:00.000
2861,20260630,212,318,388,9,206,107,6,2,2.8000,2.8000,2.8000,3929.5700,1,1,2026-08-24T00:00:00.000
2862,20260810,107,228,233,445,498,307,7,6,3.5000,3.5000,3.5000,3930.9400,1,1,2026-08-24T00:00:00.000
2863,20260713,360,308,303,184,166,208,10,7,4.2000,4.2000,4.2000,3932.3100,1,1,2026-08-24T00:00:00.000
2864,20260620,146,277,352,202,316,354,4,2,4.9000,4.9000,4.9000,3933.6800,1,1,2026-08-24T00:00:00.000
2865,20260727,114,317,250,46,368,331,10,3,5.6000,5.6000,5.6000,3935.0500,1,1,2026-08-24T00:00:00.000
2866,20260728,350,46,265,159,321,403,4,1,6.3000,6.3000,6.3000,3936.4200,1,1,2026-08-24T00:00:00.000
2867,20260713,14,160,129,172,274,12,9,3,7.0000,7.0000,7.0000,3937.7900,1,1,2026-08-24T00:00:00.000
2868,20260625,250,251,27,73,152,440,9,3,7.7000,7.7000,7.7000,3939.1600,1,1,2026-08-24T00:00:00.000
2869,20260709,23,321,296,241,60,417,6,5,8.4000,8.4000,8.4000,3940.5300,1,1,2026-08-24T00:00:00.000
2870,20260717,344,35,266,70,371,498,2,6,9.1000,9.1000,9.1000,3941.9000,1,1,2026-08-24T00:00:00.000
2871,20260613,47,141,329,498,189,286,1,7,9.8000,9.8000,9.8000,3943.2700,1,1,2026-08-24T00:00:00.000
2872,20260711,384,184,376,273,105,461,1,5,10.5000,10.5000,10.5000,3944.6400,1,1,2026-08-24T00:00:00.000
2873,20260707,374,234,355,-1,-1,-1,10,4,11.2000,11.2000,11.2000,3946.0100,1,1,2026-08-24T00:00:00.000
2874,20260630,404,17,395,217,294,253,8,5,11.9000,11.9000,11.9000,3947.3800,1,1,2026-08-24T00:00:00.000
2875,20260606,288,295,360,369,102,71,10,3,12.6000,12.6000,12.6000,3948.7500,1,1,2026-08-24T00:00:00.000
2876,20260723,144,65,6,231,353,240,4,2,13.3000,13.3000,13.3000,3950.1200,1,1,2026-08-24T00:00:00.000
2877,20260707,16,163,472,218,61,332,9,7,14.0000,14.0000,14.0000,3951.4900,1,1,2026-08-24T00:00:00.000
2878,20260705,21,188,114,389,205,320,5,4,14.7000,14.7000,14.7000,3952.8600,1,1,2026-08-24T00:00:00.000
2879,20260724,314,209,401,221,21,130,4,1,15.4000,15.4000,15.4000,3954.2300,1,1,2026-08-24T00:00:00.000
2880,20260810,296,76,53,238,328,289,8,7,16.1000,16.1000,16.1000,3955.6000,1,1,2026-08-24T00:00:00.000
2881,20260710,473,33,103,420,162,263,1,2,16.8000,16.8000,16.8000,3956.9700,1,1,2026-08-24T00:00:00.000
2882,20260625,340,275,492,222,243,11,10,5,17.5000,17.5000,17.5000,3958.3400,1,1,2026-08-24T00:00:00.000
2883,20260606,497,73,420,326,9,264,1,7,18.2000,18.2000,18.2000,3959.7100,1,1,2026-08-24T00:00:00.000
2884,20260711,402,217,54,48,483,369,10,7,18.9000,18.9000,18.9000,3961.0800,1,1,2026-08-24T00:00:00.000
2885,20260702,313,18,347,361,67,389,10,6,19.6000,19.6000,19.6000,3962.4500,1,1,2026-08-24T00:00:00.000
2886,20260803,483,182,128,285,105,392,4,2,20.3000,20.3000,20.3000,3963.8200,1,1,2026-08-24T00:00:00.000
2887,20260611,207,35,282,334,484,452,3,3,21.0000,21.0000,21.0000,3965.1900,1,1,2026-08-24T00:00:00.000
2888,20260820,238,245,20,244,482,139,5,2,21.7000,21.7000,21.7000,3966.5600,1,1,2026-08-24T00:00:00.000
2889,20260815,483,299,35,52,153,61,3,7,22.4000,22.4000,22.4000,3967.9300,1,1,2026-08-24T00:00:00.000
2890,20260629,262,220,148,-1,-1,-1,4,7,23.1000,23.1000,23.1000,3969.3000,1,1,2026-08-24T00:00:00.000
2891,20260627,387,77,153,382,186,86,6,5,23.8000,23.8000,23.8000,3970.6700,1,1,2026-08-24T00:00:00.000
2892,20260608,419,213,8,148,158,441,4,3,24.5000,24.5000,24.5000,3972.0400,1,1,2026-08-24T00:00:00.000
2893,20260603,206,151,168,307,357,492,1,6,25.2000,25.2000,25.2000,3973.4100,1,1,2026-08-24T00:00:00.000
2894,20260803,164,350,313,469,86,385,3,5,25.9000,25.9000,25.9000,3974.7800,1,1,2026-08-24T00:00:00.000
2895,20260622,145,275,239,231,467,358,4,1,26.6000,26.6000,26.6000,3976.1500,1,1,2026-08-24T00:00:00.000
2896,20260715,105,192,382,299,411,463,8,5,27.3000,27.3000,27.3000,3977.5200,1,1,2026-08-24T00:00:00.000
2897,20260822,413,7,471,204,336,169,6,1,28.0000,28.0000,28.0000,3978.8900,1,1,2026-08-24T00:00:00.000
2898,20260611,317,51,33,40,315,500,10,4,28.7000,28.7000,28.7000,3980.2600,1,1,2026-08-24T00:00:00.000
2899,20260627,13,233,350,472,244,375,2,5,29.4000,29.4000,29.4000,3981.6300,1,1,2026-08-24T00:00:00.000
2900,20260806,342,65,293,284,54,72,9,2,30.1000,30.1000,30.1000,3983.0000,1,1,2026-08-24T00:00:00.000
2901,20260815,156,267,461,30,61,332,7,1,30.8000,30.8000,30.8000,3984.3700,1,1,2026-08-24T00:00:00.000
2902,20260805,4,174,89,397,295,225,9,4,31.5000,31.5000,31.5000,3985.7400,1,1,2026-08-24T00:00:00.000
2903,20260529,452,209,408,395,438,142,10,6,32.2000,32.2000,32.2000,3987.1100,1,1,2026-08-24T00:00:00.000
2904,20260602,232,289,46,106,419,359,10,3,32.9000,32.9000,32.9000,3988.4800,1,1,2026-08-24T00:00:00.000
2905,20260801,114,197,345,350,136,233,8,7,33.6000,33.6000,33.6000,3989.8500,1,1,2026-08-24T00:00:00.000
2906,20260702,79,252,124,444,428,21,5,4,34.3000,34.3000,34.3000,3991.2200,1,1,2026-08-24T00:00:00.000
2907,20260630,427,6,124,-1,-1,-1,8,7,35.0000,35.0000,35.0000,3992.5900,1,1,2026-08-24T00:00:00.000
2908,20260818,2,274,25,287,245,5,4,6,35.7000,35.7000,35.7000,3993.9600,1,1,2026-08-24T00:00:00.000
2909,20260630,118,303,72,315,384,175,5,3,36.4000,36.4000,36.4000,3995.3300,1,1,2026-08-24T00:00:00.000
2910,20260822,284,10,207,385,405,463,1,1,37.1000,37.1000,37.1000,3996.7000,1,1,2026-08-24T00:00:00.000
2911,20260722,19,61,176,444,470,159,8,2,37.8000,37.8000,37.8000,3998.0700,1,1,2026-08-24T00:00:00.000
2912,20260618,458,187,449,166,126,428,7,2,38.5000,38.5000,38.5000,3999.4400,1,1,2026-08-24T00:00:00.000
2913,20260626,412,160,102,127,347,350,10,1,39.2000,39.2000,39.2000,4000.8100,1,1,2026-08-24T00:00:00.000
2914,20260530,193,9,263,283,358,273,3,3,39.9000,39.9000,39.9000,4002.1800,1,1,2026-08-24T00:00:00.000
2915,20260610,52,343,388,32,433,285,9,3,40.6000,40.6000,40.6000,4003.5500,1,1,2026-08-24T00:00:00.000
2916,20260717,452,16,427,355,467,74,4,5,41.3000,41.3000,41.3000,4004.9200,1,1,2026-08-24T00:00:00.000
2917,20260606,417,350,93,122,479,312,10,2,42.0000,42.0000,42.0000,4006.2900,1,1,2026-08-24T00:00:00.000
2918,20260729,137,162,242,412,392,144,5,1,42.7000,42.7000,42.7000,4007.6600,1,1,2026-08-24T00:00:00.000
2919,20260609,456,201,111,310,153,157,2,4,43.4000,43.4000,43.4000,4009.0300,1,1,2026-08-24T00:00:00.000
2920,20260812,299,319,269,472,262,305,4,1,44.1000,44.1000,44.1000,4010.4000,1,1,2026-08-24T00:00:00.000
2921,20260615,293,314,117,126,202,56,8,3,44.8000,44.8000,44.8000,4011.7700,1,1,2026-08-24T00:00:00.000
2922,20260730,150,317,37,119,352,78,8,6,45.5000,45.5000,45.5000,4013.1400,1,1,2026-08-24T00:00:00.000
2923,20260621,264,219,289,463,178,119,3,3,46.2000,46.2000,46.2000,4014.5100,1,1,2026-08-24T00:00:00.000
2924,20260710,291,251,53,-1,-1,-1,1,3,46.9000,46.9000,46.9000,4015.8800,1,1,2026-08-24T00:00:00.000
2925,20260601,199,178,259,41,387,189,7,1,47.6000,47.6000,47.6000,4017.2500,1,1,2026-08-24T00:00:00.000
2926,20260821,122,23,499,83,443,9,6,2,48.3000,48.3000,48.3000,4018.6200,1,1,2026-08-24T00:00:00.000
2927,20260610,150,309,376,293,101,485,1,6,49.0000,49.0000,49.0000,4019.9900,1,1,2026-08-24T00:00:00.000
2928,20260707,370,309,259,497,228,140,5,6,49.7000,49.7000,49.7000,4021.3600,1,1,2026-08-24T00:00:00.000
2929,20260817,242,256,71,80,133,11,1,2,50.4000,50.4000,50.4000,4022.7300,1,1,2026-08-24T00:00:00.000
2930,20260702,308,235,296,239,330,109,3,1,51.1000,51.1000,51.1000,4024.1000,1,1,2026-08-24T00:00:00.000
2931,20260702,97,339,29,415,374,431,1,7,51.8000,51.8000,51.8000,4025.4700,1,1,2026-08-24T00:00:00.000
2932,20260813,53,218,477,369,346,30,9,1,52.5000,52.5000,52.5000,4026.8400,1,1,2026-08-24T00:00:00.000
2933,20260715,435,33,408,113,144,289,2,3,53.2000,53.2000,53.2000,4028.2100,1,1,2026-08-24T00:00:00.000
2934,20260820,202,87,258,391,214,125,6,5,53.9000,53.9000,53.9000,4029.5800,1,1,2026-08-24T00:00:00.000
2935,20260625,207,239,100,318,107,454,2,5,54.6000,54.6000,54.6000,4030.9500,1,1,2026-08-24T00:00:00.000
2936,20260726,210,224,99,216,500,135,1,7,55.3000,55.3000,55.3000,4032.3200,1,1,2026-08-24T00:00:00.000
2937,20260621,444,136,455,39,135,251,8,1,56.0000,56.0000,56.0000,4033.6900,1,1,2026-08-24T00:00:00.000
2938,20260730,451,144,133,341,251,58,8,2,56.7000,56.7000,56.7000,4035.0600,1,1,2026-08-24T00:00:00.000
2939,20260802,341,34,17,164,25,348,7,6,57.4000,57.4000,57.4000,4036.4300,1,1,2026-08-24T00:00:00.000
2940,20260625,497,152,196,311,431,384,7,7,58.1000,58.1000,58.1000,4037.8000,1,1,2026-08-24T00:00:00.000
2941,20260615,122,305,401,-1,-1,-1,4,1,58.8000,58.8000,58.8000,4039.1700,1,1,2026-08-24T00:00:00.000
2942,20260619,367,179,58,265,224,135,10,1,59.5000,59.5000,59.5000,4040.5400,1,1,2026-08-24T00:00:00.000
2943,20260816,38,204,351,33,434,295,1,5,60.2000,60.2000,60.2000,4041.9100,1,1,2026-08-24T00:00:00.000
2944,20260815,169,250,299,23,337,352,4,6,60.9000,60.9000,60.9000,4043.2800,1,1,2026-08-24T00:00:00.000
2945,20260807,24,264,371,222,52,284,5,5,61.6000,61.6000,61.6000,4044.6500,1,1,2026-08-24T00:00:00.000
2946,20260628,204,103,144,432,359,171,9,2,62.3000,62.3000,62.3000,4046.0200,1,1,2026-08-24T00:00:00.000
2947,20260711,258,6,423,130,237,418,3,2,63.0000,63.0000,63.0000,4047.3900,1,1,2026-08-24T00:00:00.000
2948,20260714,282,342,217,242,9,448,8,4,63.7000,63.7000,63.7000,4048.7600,1,1,2026-08-24T00:00:00.000
2949,20260530,453,177,388,15,205,170,6,4,64.4000,64.4000,64.4000,4050.1300,1,1,2026-08-24T00:00:00.000
2950,20260529,262,320,48,65,250,178,8,1,65.1000,65.1000,65.1000,4051.5000,1,1,2026-08-24T00:00:00.000
2951,20260814,151,160,359,132,254,449,9,7,65.8000,65.8000,65.8000,4052.8700,1,1,2026-08-24T00:00:00.000
2952,20260701,427,180,79,332,28,259,5,5,66.5000,66.5000,66.5000,4054.2400,1,1,2026-08-24T00:00:00.000
2953,20260615,403,11,434,441,160,322,6,6,67.2000,67.2000,67.2000,4055.6100,1,1,2026-08-24T00:00:00.000
2954,20260608,458,279,289,143,179,442,7,2,67.9000,67.9000,67.9000,4056.9800,1,1,2026-08-24T00:00:00.000
2955,20260615,151,58,253,381,312,236,3,7,68.6000,68.6000,68.6000,4058.3500,1,1,2026-08-24T00:00:00.000
2956,20260603,142,112,362,124,130,382,1,3,69.3000,69.3000,69.3000,4059.7200,1,1,2026-08-24T00:00:00.000
2957,20260719,476,96,62,374,6,183,10,2,70.0000,70.0000,70.0000,4061.0900,1,1,2026-08-24T00:00:00.000
2958,20260601,284,210,71,-1,-1,-1,7,3,70.7000,70.7000,70.7000,4062.4600,1,1,2026-08-24T00:00:00.000
2959,20260812,347,125,167,206,79,500,7,7,71.4000,71.4000,71.4000,4063.8300,1,1,2026-08-24T00:00:00.000
2960,20260702,210,303,493,447,227,343,5,7,72.1000,72.1000,72.1000,4065.2000,1,1,2026-08-24T00:00:00.000
2961,20260528,447,159,80,382,133,473,8,1,72.8000,72.8000,72.8000,4066.5700,1,1,2026-08-24T00:00:00.000
2962,20260708,320,31,161,410,291,170,5,3,73.5000,73.5000,73.5000,4067.9400,1,1,2026-08-24T00:00:00.000
2963,20260707,250,188,363,106,133,384,1,2,74.2000,74.2000,74.2000,4069.3100,1,1,2026-08-24T00:00:00.000
2964,20260806,311,93,348,471,242,125,6,1,74.9000,74.9000,74.9000,4070.6800,1,1,2026-08-24T00:00:00.000
2965,20260629,201,38,105,190,388,252,7,3,75.6000,75.6000,75.6000,4072.0500,1,1,2026-08-24T00:00:00.000
2966,20260728,431,96,241,327,176,376,10,1,76.3000,76.3000,76.3000,4073.4200,1,1,2026-08-24T00:00:00.000
2967,20260621,224,305,52,343,340,66,1,1,77.0000,77.0000,77.0000,4074.7900,1,1,2026-08-24T00:00:00.000
2968,20260620,85,39,314,491,46,126,10,1,77.7000,77.7000,77.7000,4076.1600,1,1,2026-08-24T00:00:00.000
2969,20260613,94,127,2,388,142,213,1,2,78.4000,78.4000,78.4000,4077.5300,1,1,2026-08-24T00:00:00.000
2970,20260712,372,121,15,374,2,94,3,1,79.1000,79.1000,79.1000,4078.9000,1,1,2026-08-24T00:00:00.000
2971,20260824,312,73,140,260,166,487,7,1,79.8000,79.8000,79.8000,4080.2700,1,1,2026-08-24T00:00:00.000
2972,20260621,9,251,57,384,180,52,5,7,80.5000,80.5000,80.5000,4081.6400,1,1,2026-08-24T00:00:00.000
2973,20260618,333,28,487,497,343,277,9,2,81.2000,81.2000,81.2000,4083.0100,1,1,2026-08-24T00:00:00.000
2974,20260530,435,120,88,468,156,451,9,7,81.9000,81.9000,81.9000,4084.3800,1,1,2026-08-24T00:00:00.000
2975,20260621,57,253,159,-1,-1,-1,2,4,82.6000,82.6000,82.6000,4085.7500,1,1,2026-08-24T00:00:00.000
2976,20260609,391,168,30,348,67,180,7,6,83.3000,83.3000,83.3000,4087.1200,1,1,2026-08-24T00:00:00.000
2977,20260626,57,227,115,228,377,360,6,7,84.0000,84.0000,84.0000,4088.4900,1,1,2026-08-24T00:00:00.000
2978,20260717,304,54,378,190,51,473,2,6,84.7000,84.7000,84.7000,4089.8600,1,1,2026-08-24T00:00:00.000
2979,20260812,447,52,281,140,71,386,6,5,85.4000,85.4000,85.4000,4091.2300,1,1,2026-08-24T00:00:00.000
2980,20260611,459,279,405,247,243,240,9,3,86.1000,86.1000,86.1000,4092.6000,1,1,2026-08-24T00:00:00.000
2981,20260714,316,104,454,166,153,80,3,7,86.8000,86.8000,86.8000,4093.9700,1,1,2026-08-24T00:00:00.000
2982,20260611,180,86,369,65,461,410,8,7,87.5000,87.5000,87.5000,4095.3400,1,1,2026-08-24T00:00:00.000
2983,20260824,174,279,61,386,475,489,5,4,88.2000,88.2000,88.2000,4096.7100,1,1,2026-08-24T00:00:00.000
2984,20260816,273,200,204,180,25,338,3,2,88.9000,88.9000,88.9000,4098.0800,1,1,2026-08-24T00:00:00.000
2985,20260803,426,268,402,14,73,494,10,4,89.6000,89.6000,89.6000,4099.4500,1,1,2026-08-24T00:00:00.000
2986,20260605,402,288,468,48,61,496,2,3,90.3000,90.3000,90.3000,4100.8200,1,1,2026-08-24T00:00:00.000
2987,20260708,423,75,451,426,399,451,9,6,91.0000,91.0000,91.0000,4102.1900,1,1,2026-08-24T00:00:00.000
2988,20260819,77,271,399,201,174,170,3,4,91.7000,91.7000,91.7000,4103.5600,1,1,2026-08-24T00:00:00.000
2989,20260816,67,204,33,48,190,239,6,1,92.4000,92.4000,92.4000,4104.9300,1,1,2026-08-24T00:00:00.000
2990,20260716,185,107,257,286,52,47,5,1,93.1000,93.1000,93.1000,4106.3000,1,1,2026-08-24T00:00:00.000
2991,20260806,460,33,305,170,316,28,8,5,93.8000,93.8000,93.8000,4107.6700,1,1,2026-08-24T00:00:00.000
2992,20260820,296,323,332,-1,-1,-1,6,6,94.5000,94.5000,94.5000,4109.0400,1,1,2026-08-24T00:00:00.000
2993,20260716,349,171,397,321,64,439,9,7,95.2000,95.2000,95.2000,4110.4100,1,1,2026-08-24T00:00:00.000
2994,20260619,347,321,166,160,346,185,4,7,95.9000,95.9000,95.9000,4111.7800,1,1,2026-08-24T00:00:00.000
2995,20260715,122,179,166,229,349,168,4,3,96.6000,96.6000,96.6000,4113.1500,1,1,2026-08-24T00:00:00.000
2996,20260630,287,312,35,32,176,98,5,7,97.3000,97.3000,97.3000,4114.5200,1,1,2026-08-24T00:00:00.000
2997,20260810,441,37,440,64,477,256,4,2,98.0000,98.0000,98.0000,4115.8900,1,1,2026-08-24T00:00:00.000
2998,20260713,396,305,381,323,348,6,7,2,98.7000,98.7000,98.7000,4117.2600,1,1,2026-08-24T00:00:00.000
2999,20260711,339,137,413,262,19,208,4,5,99.4000,99.4000,99.4000,4118.6300,1,1,2026-08-24T00:00:00.000
3000,20260625,145,183,185,104,468,118,6,7,100.1000,100.1000,100.1000,4120.0000,1,1,2026-08-24T00:00:00.000
