MaintenanceConditionReadingKey,ReadingDateKey,ReadingTimeOfDayKey,MaintenanceConditionPointKey,AssetKey,PlantKey,WorkCenterKey,MaintenanceConditionTypeKey,UnitOfMeasureKey,ReadingBatchNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
217,20260609,79920,46,313,120,182,10,5,MCR000217,218,307.2900,222.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260707,74880,490,96,26,109,10,5,MCR000218,219,308.6600,223.0000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260601,14100,416,397,3,216,9,1,MCR000219,220,310.0300,224.0000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260614,78300,346,307,266,157,10,7,MCR000220,221,311.4000,225.0000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260622,46860,459,400,41,-1,10,1,MCR000221,222,312.7700,226.0000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260822,16260,20,482,124,436,8,4,MCR000222,223,314.1400,227.0000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260702,22980,197,377,152,58,11,4,MCR000223,224,315.5100,228.0000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260703,81540,165,213,218,458,3,2,MCR000224,225,316.8800,229.0000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260620,51120,264,167,89,256,9,1,MCR000225,226,318.2500,230.0000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260819,16140,372,482,68,448,9,1,MCR000226,227,319.6200,231.0000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260812,16080,90,395,133,227,5,1,MCR000227,228,320.9900,232.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260714,59940,143,20,319,112,9,6,MCR000228,229,322.3600,233.0000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260807,39900,66,117,68,88,10,2,MCR000229,230,323.7300,234.0000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260808,73740,287,64,268,484,12,1,MCR000230,231,325.1000,235.0000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260819,76740,193,333,326,244,7,7,MCR000231,232,326.4700,236.0000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260822,37800,481,263,309,450,2,7,MCR000232,233,327.8400,237.0000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260728,45420,362,475,272,240,6,3,MCR000233,234,329.2100,238.0000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260630,15600,478,120,238,407,2,1,MCR000234,235,330.5800,239.0000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260711,31680,13,448,12,191,6,5,MCR000235,236,331.9500,240.0000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260607,20280,57,218,168,14,7,4,MCR000236,237,333.3200,241.0000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260728,10080,17,52,158,159,2,4,MCR000237,238,334.6900,242.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260824,6300,496,246,343,-1,1,4,MCR000238,239,336.0600,243.0000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260604,48120,20,467,108,204,11,6,MCR000239,240,337.4300,244.0000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260707,6960,395,492,64,13,12,6,MCR000240,241,338.8000,245.0000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260725,67260,171,281,162,456,3,4,MCR000241,242,340.1700,246.0000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260617,43140,183,62,189,395,9,2,MCR000242,243,341.5400,247.0000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260715,2220,439,471,39,187,11,3,MCR000243,244,342.9100,248.0000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260720,21240,388,196,211,458,1,5,MCR000244,245,344.2800,249.0000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260707,54240,93,467,118,401,6,4,MCR000245,246,345.6500,250.0000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260731,43620,216,236,266,130,12,4,MCR000246,247,347.0200,251.0000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260725,28860,402,46,197,297,12,3,MCR000247,248,348.3900,252.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260531,47700,51,148,258,42,5,5,MCR000248,249,349.7600,253.0000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260710,14700,162,421,48,274,7,1,MCR000249,250,351.1300,254.0000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260819,8760,436,41,95,121,5,3,MCR000250,251,352.5000,255.0000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260609,47400,435,152,71,472,12,1,MCR000251,252,353.8700,256.0000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260601,3540,71,27,89,374,4,6,MCR000252,253,355.2400,257.0000,355.2400,1,1,2026-08-24T00:00:00.000
253,20260703,36840,138,219,156,472,12,2,MCR000253,254,356.6100,258.0000,356.6100,1,1,2026-08-24T00:00:00.000
254,20260604,62760,111,495,127,244,5,6,MCR000254,255,357.9800,259.0000,357.9800,1,1,2026-08-24T00:00:00.000
255,20260718,30420,83,389,304,-1,9,6,MCR000255,256,359.3500,260.0000,359.3500,1,1,2026-08-24T00:00:00.000
256,20260627,33300,116,166,144,455,3,3,MCR000256,257,360.7200,261.0000,360.7200,1,1,2026-08-24T00:00:00.000
257,20260816,71400,238,374,229,190,9,7,MCR000257,258,362.0900,262.0000,362.0900,1,1,2026-08-24T00:00:00.000
258,20260625,54240,236,88,22,403,11,5,MCR000258,259,363.4600,263.0000,363.4600,1,1,2026-08-24T00:00:00.000
259,20260720,29640,9,439,157,447,1,7,MCR000259,260,364.8300,264.0000,364.8300,1,1,2026-08-24T00:00:00.000
260,20260804,72720,23,100,57,138,2,7,MCR000260,261,366.2000,265.0000,366.2000,1,1,2026-08-24T00:00:00.000
261,20260618,66180,151,132,148,126,6,3,MCR000261,262,367.5700,266.0000,367.5700,1,1,2026-08-24T00:00:00.000
262,20260805,68280,83,34,340,404,7,2,MCR000262,263,368.9400,267.0000,368.9400,1,1,2026-08-24T00:00:00.000
263,20260624,79980,487,465,301,93,5,5,MCR000263,264,370.3100,268.0000,370.3100,1,1,2026-08-24T00:00:00.000
264,20260620,33060,429,371,187,3,12,6,MCR000264,265,371.6800,269.0000,371.6800,1,1,2026-08-24T00:00:00.000
265,20260626,64680,232,210,331,32,8,3,MCR000265,266,373.0500,270.0000,373.0500,1,1,2026-08-24T00:00:00.000
266,20260805,77580,428,378,27,383,4,7,MCR000266,267,374.4200,271.0000,374.4200,1,1,2026-08-24T00:00:00.000
267,20260803,78120,357,385,7,256,11,6,MCR000267,268,375.7900,272.0000,375.7900,1,1,2026-08-24T00:00:00.000
268,20260622,56040,470,415,263,249,12,4,MCR000268,269,377.1600,273.0000,377.1600,1,1,2026-08-24T00:00:00.000
269,20260812,23940,23,105,349,168,2,5,MCR000269,270,378.5300,274.0000,378.5300,1,1,2026-08-24T00:00:00.000
270,20260804,30720,337,451,207,297,11,3,MCR000270,271,379.9000,275.0000,379.9000,1,1,2026-08-24T00:00:00.000
271,20260531,46260,436,295,344,73,2,2,MCR000271,272,381.2700,276.0000,381.2700,1,1,2026-08-24T00:00:00.000
272,20260617,85380,303,111,349,-1,11,3,MCR000272,273,382.6400,277.0000,382.6400,1,1,2026-08-24T00:00:00.000
273,20260607,48360,157,67,109,495,2,2,MCR000273,274,384.0100,278.0000,384.0100,1,1,2026-08-24T00:00:00.000
274,20260709,53220,350,448,224,495,10,5,MCR000274,275,385.3800,279.0000,385.3800,1,1,2026-08-24T00:00:00.000
275,20260812,29520,87,437,89,228,12,3,MCR000275,276,386.7500,280.0000,386.7500,1,1,2026-08-24T00:00:00.000
276,20260817,75780,271,166,260,189,12,2,MCR000276,277,388.1200,281.0000,388.1200,1,1,2026-08-24T00:00:00.000
277,20260615,14520,413,268,101,77,8,3,MCR000277,278,389.4900,282.0000,389.4900,1,1,2026-08-24T00:00:00.000
278,20260629,51540,102,91,285,266,12,7,MCR000278,279,390.8600,283.0000,390.8600,1,1,2026-08-24T00:00:00.000
279,20260614,6240,338,384,4,266,8,6,MCR000279,280,392.2300,284.0000,392.2300,1,1,2026-08-24T00:00:00.000
280,20260611,74160,248,263,225,347,12,2,MCR000280,281,393.6000,285.0000,393.6000,1,1,2026-08-24T00:00:00.000
281,20260629,31140,15,491,293,335,7,1,MCR000281,282,394.9700,286.0000,394.9700,1,1,2026-08-24T00:00:00.000
282,20260704,3960,302,178,64,449,9,6,MCR000282,283,396.3400,287.0000,396.3400,1,1,2026-08-24T00:00:00.000
283,20260613,31200,483,313,139,417,3,2,MCR000283,284,397.7100,288.0000,397.7100,1,1,2026-08-24T00:00:00.000
284,20260619,34560,55,199,119,269,7,5,MCR000284,285,399.0800,289.0000,399.0800,1,1,2026-08-24T00:00:00.000
285,20260623,69960,355,29,191,374,8,7,MCR000285,286,400.4500,290.0000,400.4500,1,1,2026-08-24T00:00:00.000
286,20260804,85140,435,120,325,297,8,2,MCR000286,287,401.8200,291.0000,401.8200,1,1,2026-08-24T00:00:00.000
287,20260713,6000,414,367,191,291,9,2,MCR000287,288,403.1900,292.0000,403.1900,1,1,2026-08-24T00:00:00.000
288,20260530,78120,96,35,320,128,6,7,MCR000288,289,404.5600,293.0000,404.5600,1,1,2026-08-24T00:00:00.000
289,20260805,53580,462,253,112,-1,9,6,MCR000289,290,405.9300,294.0000,405.9300,1,1,2026-08-24T00:00:00.000
290,20260817,51600,2,141,5,157,10,3,MCR000290,291,407.3000,295.0000,407.3000,1,1,2026-08-24T00:00:00.000
291,20260721,49800,401,204,318,320,9,3,MCR000291,292,408.6700,296.0000,408.6700,1,1,2026-08-24T00:00:00.000
292,20260824,26760,110,468,209,479,3,3,MCR000292,293,410.0400,297.0000,410.0400,1,1,2026-08-24T00:00:00.000
293,20260629,66960,285,46,139,407,12,5,MCR000293,294,411.4100,298.0000,411.4100,1,1,2026-08-24T00:00:00.000
294,20260726,14460,432,248,45,46,5,6,MCR000294,295,412.7800,299.0000,412.7800,1,1,2026-08-24T00:00:00.000
295,20260528,10800,88,447,89,327,2,4,MCR000295,296,414.1500,300.0000,414.1500,1,1,2026-08-24T00:00:00.000
296,20260824,80880,445,138,218,106,9,2,MCR000296,297,415.5200,301.0000,415.5200,1,1,2026-08-24T00:00:00.000
297,20260527,47220,217,297,206,24,8,1,MCR000297,298,416.8900,302.0000,416.8900,1,1,2026-08-24T00:00:00.000
298,20260529,50040,355,56,149,222,11,3,MCR000298,299,418.2600,303.0000,418.2600,1,1,2026-08-24T00:00:00.000
299,20260602,26940,400,472,91,290,8,2,MCR000299,300,419.6300,304.0000,419.6300,1,1,2026-08-24T00:00:00.000
300,20260529,7380,220,155,214,106,12,1,MCR000300,301,421.0000,305.0000,421.0000,1,1,2026-08-24T00:00:00.000
301,20260614,30000,91,478,81,324,7,4,MCR000301,302,422.3700,306.0000,422.3700,1,1,2026-08-24T00:00:00.000
302,20260718,82620,348,395,331,64,11,3,MCR000302,303,423.7400,307.0000,423.7400,1,1,2026-08-24T00:00:00.000
303,20260728,10020,142,133,213,61,9,2,MCR000303,304,425.1100,308.0000,425.1100,1,1,2026-08-24T00:00:00.000
304,20260607,8880,342,326,334,11,10,7,MCR000304,305,426.4800,309.0000,426.4800,1,1,2026-08-24T00:00:00.000
305,20260717,45420,500,72,201,183,2,4,MCR000305,306,427.8500,310.0000,427.8500,1,1,2026-08-24T00:00:00.000
306,20260715,49080,180,99,102,-1,7,5,MCR000306,307,429.2200,311.0000,429.2200,1,1,2026-08-24T00:00:00.000
307,20260817,14340,175,355,127,231,11,6,MCR000307,308,430.5900,312.0000,430.5900,1,1,2026-08-24T00:00:00.000
308,20260531,19320,182,273,309,369,10,1,MCR000308,309,431.9600,313.0000,431.9600,1,1,2026-08-24T00:00:00.000
309,20260627,7560,215,435,272,119,3,5,MCR000309,310,433.3300,314.0000,433.3300,1,1,2026-08-24T00:00:00.000
310,20260821,30840,367,61,323,141,2,7,MCR000310,311,434.7000,315.0000,434.7000,1,1,2026-08-24T00:00:00.000
311,20260819,42360,484,267,45,428,7,1,MCR000311,312,436.0700,316.0000,436.0700,1,1,2026-08-24T00:00:00.000
312,20260803,17700,233,79,95,27,5,1,MCR000312,313,437.4400,317.0000,437.4400,1,1,2026-08-24T00:00:00.000
313,20260816,32580,141,78,153,56,3,4,MCR000313,314,438.8100,318.0000,438.8100,1,1,2026-08-24T00:00:00.000
314,20260622,73140,462,93,135,123,11,2,MCR000314,315,440.1800,319.0000,440.1800,1,1,2026-08-24T00:00:00.000
315,20260709,840,409,424,311,230,2,6,MCR000315,316,441.5500,320.0000,441.5500,1,1,2026-08-24T00:00:00.000
