InventoryMovementKey,PostingDateKey,DocumentDateKey,ExpirationDateKey,PostingTimeOfDayKey,ProductKey,PlantKey,InventoryBinKey,InventoryLotKey,InventorySerialNumberKey,InventoryContainerKey,PostedByEmployeeKey,InventoryMovementTypeKey,InventoryStockStatusKey,UnitOfMeasureKey,AdjustmentReasonKey,InventoryDocumentNumber,InventoryDocumentLineNumber,MovementQuantity,MovementValueAmount,WeightKg,SourceSystemKey,BatchId,LoadedAtUtc
1648,20260714,20260623,20260618,84120,2,267,441,284,46,234,407,9,3,6,3,IM001648,1648,153.7000,2267.7600,649.0000,1,1,2026-08-24T00:00:00.000
1649,20260808,20260629,20260713,31140,469,91,98,-1,-1,-1,-1,12,2,2,-1,IM001649,1649,154.4000,2269.1300,650.0000,1,1,2026-08-24T00:00:00.000
1650,20260823,20260722,20260804,12360,32,328,32,486,491,450,456,14,9,6,1,IM001650,1650,155.1000,2270.5000,651.0000,1,1,2026-08-24T00:00:00.000
1651,20260819,20260615,20260821,49860,37,316,275,243,22,367,476,10,3,6,1,IM001651,1651,155.8000,2271.8700,652.0000,1,1,2026-08-24T00:00:00.000
1652,20260816,20260815,20260701,74460,55,249,231,285,162,76,277,11,6,2,3,IM001652,1652,156.5000,2273.2400,653.0000,1,1,2026-08-24T00:00:00.000
1653,20260529,20260729,20260720,47220,324,158,492,257,495,46,79,13,1,5,3,IM001653,1653,157.2000,2274.6100,654.0000,1,1,2026-08-24T00:00:00.000
1654,20260822,20260715,20260717,84240,265,120,75,31,365,101,458,3,9,2,2,IM001654,1654,157.9000,2275.9800,655.0000,1,1,2026-08-24T00:00:00.000
1655,20260804,20260803,20260618,1140,457,242,19,392,445,247,253,16,1,2,4,IM001655,1655,158.6000,2277.3500,656.0000,1,1,2026-08-24T00:00:00.000
1656,20260715,20260805,20260722,5520,338,215,192,147,19,479,12,16,4,5,1,IM001656,1656,159.3000,2278.7200,657.0000,1,1,2026-08-24T00:00:00.000
1657,20260702,20260528,20260721,54840,188,4,210,313,381,219,417,1,6,7,1,IM001657,1657,160.0000,2280.0900,658.0000,1,1,2026-08-24T00:00:00.000
1658,20260720,20260807,20260804,45240,73,154,317,313,374,404,181,5,7,4,4,IM001658,1658,160.7000,2281.4600,659.0000,1,1,2026-08-24T00:00:00.000
1659,20260810,20260805,20260722,79740,341,176,480,167,188,107,463,5,5,6,4,IM001659,1659,161.4000,2282.8300,660.0000,1,1,2026-08-24T00:00:00.000
1660,20260626,20260718,20260707,34980,183,226,78,223,3,31,47,14,1,3,4,IM001660,1660,162.1000,2284.2000,661.0000,1,1,2026-08-24T00:00:00.000
1661,20260810,20260817,20260729,57840,190,65,388,221,293,185,307,15,5,6,1,IM001661,1661,162.8000,2285.5700,662.0000,1,1,2026-08-24T00:00:00.000
1662,20260627,20260813,20260710,12120,190,321,293,494,160,114,207,1,10,6,2,IM001662,1662,163.5000,2286.9400,663.0000,1,1,2026-08-24T00:00:00.000
1663,20260701,20260713,20260818,21480,326,87,288,45,212,354,405,14,1,3,2,IM001663,1663,164.2000,2288.3100,664.0000,1,1,2026-08-24T00:00:00.000
1664,20260728,20260630,20260822,3000,364,32,177,16,167,421,16,11,5,2,3,IM001664,1664,164.9000,2289.6800,665.0000,1,1,2026-08-24T00:00:00.000
1665,20260821,20260604,20260630,39240,140,162,27,236,206,82,436,8,4,6,2,IM001665,1665,165.6000,2291.0500,666.0000,1,1,2026-08-24T00:00:00.000
1666,20260716,20260620,20260729,6660,51,248,186,-1,-1,-1,-1,4,8,5,-1,IM001666,1666,166.3000,2292.4200,667.0000,1,1,2026-08-24T00:00:00.000
1667,20260819,20260601,20260717,58980,211,232,52,227,317,62,201,7,9,2,2,IM001667,1667,167.0000,2293.7900,668.0000,1,1,2026-08-24T00:00:00.000
1668,20260527,20260820,20260616,18780,185,133,56,196,91,160,208,5,6,6,2,IM001668,1668,167.7000,2295.1600,669.0000,1,1,2026-08-24T00:00:00.000
1669,20260707,20260703,20260527,34680,238,326,126,92,375,399,216,9,9,2,4,IM001669,1669,168.4000,2296.5300,670.0000,1,1,2026-08-24T00:00:00.000
1670,20260722,20260714,20260705,50040,395,233,268,469,84,131,141,8,5,5,4,IM001670,1670,169.1000,2297.9000,671.0000,1,1,2026-08-24T00:00:00.000
1671,20260723,20260718,20260824,30540,195,11,89,279,356,448,328,2,5,7,4,IM001671,1671,169.8000,2299.2700,672.0000,1,1,2026-08-24T00:00:00.000
1672,20260729,20260606,20260627,74880,408,35,353,149,428,69,384,6,5,6,1,IM001672,1672,170.5000,2300.6400,673.0000,1,1,2026-08-24T00:00:00.000
1673,20260806,20260715,20260606,85200,252,226,207,62,34,146,72,13,2,6,1,IM001673,1673,171.2000,2302.0100,674.0000,1,1,2026-08-24T00:00:00.000
1674,20260605,20260718,20260601,3540,434,68,434,273,457,458,433,7,4,5,4,IM001674,1674,171.9000,2303.3800,675.0000,1,1,2026-08-24T00:00:00.000
1675,20260607,20260703,20260809,86280,155,46,41,347,136,382,280,13,4,5,1,IM001675,1675,172.6000,2304.7500,676.0000,1,1,2026-08-24T00:00:00.000
1676,20260628,20260710,20260701,1800,109,255,210,411,356,227,352,12,5,5,4,IM001676,1676,173.3000,2306.1200,677.0000,1,1,2026-08-24T00:00:00.000
1677,20260604,20260620,20260713,78060,394,304,461,313,145,106,379,15,2,6,1,IM001677,1677,174.0000,2307.4900,678.0000,1,1,2026-08-24T00:00:00.000
1678,20260621,20260821,20260616,480,48,57,247,420,220,274,86,3,9,1,3,IM001678,1678,174.7000,2308.8600,679.0000,1,1,2026-08-24T00:00:00.000
1679,20260717,20260818,20260626,46860,401,6,470,23,296,221,133,8,8,6,2,IM001679,1679,175.4000,2310.2300,680.0000,1,1,2026-08-24T00:00:00.000
1680,20260802,20260615,20260802,9300,341,55,202,206,255,388,394,8,5,1,3,IM001680,1680,176.1000,2311.6000,681.0000,1,1,2026-08-24T00:00:00.000
1681,20260810,20260619,20260822,60060,351,117,142,202,287,47,86,6,4,6,1,IM001681,1681,176.8000,2312.9700,682.0000,1,1,2026-08-24T00:00:00.000
1682,20260821,20260617,20260707,79800,316,151,18,301,227,124,264,1,5,4,1,IM001682,1682,177.5000,2314.3400,683.0000,1,1,2026-08-24T00:00:00.000
1683,20260704,20260703,20260629,58920,371,317,43,-1,-1,-1,-1,1,3,6,-1,IM001683,1683,178.2000,2315.7100,684.0000,1,1,2026-08-24T00:00:00.000
1684,20260602,20260529,20260807,6480,283,220,447,182,133,84,214,10,1,1,3,IM001684,1684,178.9000,2317.0800,685.0000,1,1,2026-08-24T00:00:00.000
1685,20260608,20260626,20260629,54060,500,11,46,40,486,500,433,5,9,3,2,IM001685,1685,179.6000,2318.4500,686.0000,1,1,2026-08-24T00:00:00.000
1686,20260816,20260616,20260704,36300,50,7,24,23,229,26,215,9,7,4,4,IM001686,1686,180.3000,2319.8200,687.0000,1,1,2026-08-24T00:00:00.000
1687,20260626,20260716,20260606,4620,249,244,140,96,211,127,102,7,10,1,1,IM001687,1687,181.0000,2321.1900,688.0000,1,1,2026-08-24T00:00:00.000
1688,20260721,20260712,20260728,54960,220,245,429,96,378,102,103,4,10,5,3,IM001688,1688,181.7000,2322.5600,689.0000,1,1,2026-08-24T00:00:00.000
1689,20260726,20260707,20260801,14280,254,79,268,266,259,373,311,13,8,1,1,IM001689,1689,182.4000,2323.9300,690.0000,1,1,2026-08-24T00:00:00.000
1690,20260706,20260823,20260609,900,210,167,321,281,153,383,166,7,4,1,1,IM001690,1690,183.1000,2325.3000,691.0000,1,1,2026-08-24T00:00:00.000
1691,20260814,20260717,20260614,43260,34,188,294,296,461,471,271,7,8,5,2,IM001691,1691,183.8000,2326.6700,692.0000,1,1,2026-08-24T00:00:00.000
1692,20260709,20260808,20260818,66240,66,301,25,234,477,111,391,1,6,7,2,IM001692,1692,184.5000,2328.0400,693.0000,1,1,2026-08-24T00:00:00.000
1693,20260806,20260615,20260609,55500,476,201,232,247,71,91,27,1,7,1,4,IM001693,1693,185.2000,2329.4100,694.0000,1,1,2026-08-24T00:00:00.000
1694,20260719,20260714,20260612,63000,250,224,342,492,86,12,282,7,10,5,2,IM001694,1694,185.9000,2330.7800,695.0000,1,1,2026-08-24T00:00:00.000
1695,20260601,20260716,20260605,66000,453,73,224,303,468,75,176,8,8,1,4,IM001695,1695,186.6000,2332.1500,696.0000,1,1,2026-08-24T00:00:00.000
1696,20260727,20260820,20260813,65160,394,135,230,122,224,178,52,12,6,1,4,IM001696,1696,187.3000,2333.5200,697.0000,1,1,2026-08-24T00:00:00.000
1697,20260819,20260713,20260723,12780,43,345,86,273,106,342,456,12,8,4,3,IM001697,1697,188.0000,2334.8900,698.0000,1,1,2026-08-24T00:00:00.000
1698,20260811,20260701,20260602,76380,41,15,177,175,330,186,410,10,9,6,2,IM001698,1698,188.7000,2336.2600,699.0000,1,1,2026-08-24T00:00:00.000
1699,20260612,20260724,20260621,16200,276,9,485,77,119,192,378,14,9,3,2,IM001699,1699,189.4000,2337.6300,700.0000,1,1,2026-08-24T00:00:00.000
1700,20260702,20260717,20260727,29400,468,226,197,-1,-1,-1,-1,10,9,5,-1,IM001700,1700,190.1000,2339.0000,701.0000,1,1,2026-08-24T00:00:00.000
1701,20260623,20260618,20260610,69000,474,128,134,271,424,396,284,6,1,4,4,IM001701,1701,190.8000,2340.3700,702.0000,1,1,2026-08-24T00:00:00.000
1702,20260616,20260721,20260801,16140,315,164,252,11,450,143,354,2,10,7,2,IM001702,1702,191.5000,2341.7400,703.0000,1,1,2026-08-24T00:00:00.000
1703,20260610,20260622,20260703,52800,496,274,455,352,461,23,390,10,5,3,1,IM001703,1703,192.2000,2343.1100,704.0000,1,1,2026-08-24T00:00:00.000
1704,20260706,20260623,20260626,4620,86,297,75,162,15,50,464,7,8,6,3,IM001704,1704,192.9000,2344.4800,705.0000,1,1,2026-08-24T00:00:00.000
1705,20260704,20260603,20260712,66180,436,208,130,455,333,387,489,13,6,7,1,IM001705,1705,193.6000,2345.8500,706.0000,1,1,2026-08-24T00:00:00.000
1706,20260612,20260712,20260811,32280,374,261,320,175,397,433,476,15,4,5,3,IM001706,1706,194.3000,2347.2200,707.0000,1,1,2026-08-24T00:00:00.000
1707,20260607,20260811,20260805,41220,184,249,326,97,82,405,494,8,5,5,4,IM001707,1707,195.0000,2348.5900,708.0000,1,1,2026-08-24T00:00:00.000
1708,20260530,20260710,20260821,73860,272,35,370,406,96,379,474,8,9,2,3,IM001708,1708,195.7000,2349.9600,709.0000,1,1,2026-08-24T00:00:00.000
1709,20260714,20260614,20260802,61680,348,141,182,260,417,349,293,6,1,1,3,IM001709,1709,196.4000,2351.3300,710.0000,1,1,2026-08-24T00:00:00.000
1710,20260625,20260531,20260731,67620,226,309,29,415,30,5,316,3,9,3,2,IM001710,1710,197.1000,2352.7000,711.0000,1,1,2026-08-24T00:00:00.000
1711,20260612,20260801,20260601,20100,145,104,292,444,373,498,412,6,10,7,3,IM001711,1711,197.8000,2354.0700,712.0000,1,1,2026-08-24T00:00:00.000
1712,20260605,20260806,20260616,77280,193,151,159,303,482,30,287,1,8,1,2,IM001712,1712,198.5000,2355.4400,713.0000,1,1,2026-08-24T00:00:00.000
1713,20260823,20260824,20260806,46080,386,194,416,197,141,3,329,1,10,7,3,IM001713,1713,199.2000,2356.8100,714.0000,1,1,2026-08-24T00:00:00.000
1714,20260714,20260607,20260722,16920,7,44,427,163,23,359,157,3,7,2,2,IM001714,1714,199.9000,2358.1800,715.0000,1,1,2026-08-24T00:00:00.000
1715,20260707,20260601,20260730,18000,45,96,224,76,475,214,184,15,3,4,1,IM001715,1715,200.6000,2359.5500,716.0000,1,1,2026-08-24T00:00:00.000
1716,20260702,20260715,20260531,60540,360,277,171,283,199,346,95,2,4,4,1,IM001716,1716,201.3000,2360.9200,717.0000,1,1,2026-08-24T00:00:00.000
1717,20260804,20260618,20260530,23760,427,101,468,-1,-1,-1,-1,15,4,4,-1,IM001717,1717,202.0000,2362.2900,718.0000,1,1,2026-08-24T00:00:00.000
1718,20260816,20260713,20260810,70980,141,181,338,219,417,314,80,13,9,4,2,IM001718,1718,202.7000,2363.6600,719.0000,1,1,2026-08-24T00:00:00.000
1719,20260716,20260622,20260711,44640,10,6,131,348,406,66,199,3,10,2,1,IM001719,1719,203.4000,2365.0300,720.0000,1,1,2026-08-24T00:00:00.000
1720,20260809,20260723,20260608,4680,431,128,346,391,357,294,1,13,2,2,4,IM001720,1720,204.1000,2366.4000,721.0000,1,1,2026-08-24T00:00:00.000
1721,20260602,20260726,20260624,23760,222,322,180,63,347,352,454,2,9,3,3,IM001721,1721,204.8000,2367.7700,722.0000,1,1,2026-08-24T00:00:00.000
1722,20260620,20260706,20260719,39840,382,130,183,358,362,487,202,10,5,7,1,IM001722,1722,205.5000,2369.1400,723.0000,1,1,2026-08-24T00:00:00.000
1723,20260709,20260729,20260822,11220,349,66,42,389,185,109,114,16,3,1,3,IM001723,1723,206.2000,2370.5100,724.0000,1,1,2026-08-24T00:00:00.000
1724,20260528,20260611,20260807,14940,62,303,178,113,327,203,193,12,3,7,4,IM001724,1724,206.9000,2371.8800,725.0000,1,1,2026-08-24T00:00:00.000
1725,20260812,20260808,20260717,14340,183,44,209,7,250,47,50,13,6,4,4,IM001725,1725,207.6000,2373.2500,726.0000,1,1,2026-08-24T00:00:00.000
1726,20260622,20260715,20260801,78900,152,158,95,371,276,381,145,14,6,4,2,IM001726,1726,208.3000,2374.6200,727.0000,1,1,2026-08-24T00:00:00.000
1727,20260823,20260605,20260718,24120,345,223,181,214,236,191,106,12,1,1,2,IM001727,1727,209.0000,2375.9900,728.0000,1,1,2026-08-24T00:00:00.000
1728,20260712,20260804,20260701,40800,247,8,210,34,392,398,291,10,5,6,1,IM001728,1728,209.7000,2377.3600,729.0000,1,1,2026-08-24T00:00:00.000
1729,20260817,20260619,20260818,80640,355,306,34,163,346,231,209,6,9,3,4,IM001729,1729,210.4000,2378.7300,730.0000,1,1,2026-08-24T00:00:00.000
1730,20260628,20260820,20260612,85320,254,129,41,443,45,129,203,8,1,2,3,IM001730,1730,211.1000,2380.1000,731.0000,1,1,2026-08-24T00:00:00.000
1731,20260802,20260613,20260607,21000,311,300,414,195,343,338,405,12,1,1,3,IM001731,1731,211.8000,2381.4700,732.0000,1,1,2026-08-24T00:00:00.000
1732,20260712,20260724,20260602,78960,484,138,5,328,222,5,264,15,8,1,3,IM001732,1732,212.5000,2382.8400,733.0000,1,1,2026-08-24T00:00:00.000
1733,20260613,20260809,20260615,54060,413,245,166,426,488,432,418,10,1,6,1,IM001733,1733,213.2000,2384.2100,734.0000,1,1,2026-08-24T00:00:00.000
1734,20260823,20260603,20260527,67440,371,146,256,-1,-1,-1,-1,12,8,4,-1,IM001734,1734,213.9000,2385.5800,735.0000,1,1,2026-08-24T00:00:00.000
1735,20260812,20260609,20260817,45000,314,11,394,36,446,108,233,7,9,1,2,IM001735,1735,214.6000,2386.9500,736.0000,1,1,2026-08-24T00:00:00.000
1736,20260621,20260804,20260812,15240,98,344,493,271,416,7,321,14,2,2,4,IM001736,1736,215.3000,2388.3200,737.0000,1,1,2026-08-24T00:00:00.000
1737,20260625,20260810,20260528,1560,387,336,416,18,394,337,271,15,8,5,1,IM001737,1737,216.0000,2389.6900,738.0000,1,1,2026-08-24T00:00:00.000
1738,20260622,20260619,20260729,48300,178,227,305,143,42,43,277,8,10,4,3,IM001738,1738,216.7000,2391.0600,739.0000,1,1,2026-08-24T00:00:00.000
1739,20260630,20260617,20260715,59160,480,110,302,12,51,154,10,4,3,6,4,IM001739,1739,217.4000,2392.4300,740.0000,1,1,2026-08-24T00:00:00.000
1740,20260724,20260819,20260729,16500,437,135,61,340,25,481,339,6,5,1,3,IM001740,1740,218.1000,2393.8000,741.0000,1,1,2026-08-24T00:00:00.000
1741,20260606,20260716,20260815,20280,412,79,470,410,386,164,264,15,3,5,1,IM001741,1741,218.8000,2395.1700,742.0000,1,1,2026-08-24T00:00:00.000
1742,20260623,20260612,20260715,72300,454,68,11,343,499,285,405,13,10,6,2,IM001742,1742,219.5000,2396.5400,743.0000,1,1,2026-08-24T00:00:00.000
1743,20260718,20260703,20260809,63180,237,192,189,41,418,192,397,12,1,5,1,IM001743,1743,220.2000,2397.9100,744.0000,1,1,2026-08-24T00:00:00.000
1744,20260717,20260815,20260822,21780,311,325,17,298,458,213,446,4,3,6,4,IM001744,1744,220.9000,2399.2800,745.0000,1,1,2026-08-24T00:00:00.000
1745,20260717,20260821,20260719,63420,187,133,14,60,356,236,493,10,10,6,4,IM001745,1745,221.6000,2400.6500,746.0000,1,1,2026-08-24T00:00:00.000
1746,20260803,20260706,20260629,15240,100,23,267,240,458,20,328,9,10,7,2,IM001746,1746,222.3000,2402.0200,747.0000,1,1,2026-08-24T00:00:00.000
1747,20260714,20260722,20260822,52500,172,153,278,204,203,260,202,3,8,2,1,IM001747,1747,223.0000,2403.3900,748.0000,1,1,2026-08-24T00:00:00.000
1748,20260528,20260816,20260802,21360,236,126,92,186,89,284,264,6,6,5,4,IM001748,1748,223.7000,2404.7600,749.0000,1,1,2026-08-24T00:00:00.000
1749,20260716,20260718,20260602,17040,306,58,214,378,179,334,306,1,4,5,4,IM001749,1749,224.4000,2406.1300,750.0000,1,1,2026-08-24T00:00:00.000
1750,20260705,20260819,20260619,76200,281,231,451,338,444,73,196,5,3,1,4,IM001750,1750,225.1000,2407.5000,751.0000,1,1,2026-08-24T00:00:00.000
1751,20260817,20260705,20260620,10200,415,159,451,-1,-1,-1,-1,13,7,2,-1,IM001751,1751,225.8000,2408.8700,752.0000,1,1,2026-08-24T00:00:00.000
1752,20260814,20260806,20260611,11760,402,254,499,66,7,382,305,5,6,5,2,IM001752,1752,226.5000,2410.2400,753.0000,1,1,2026-08-24T00:00:00.000
1753,20260610,20260720,20260802,15480,445,296,180,430,71,8,363,16,10,2,3,IM001753,1753,227.2000,2411.6100,754.0000,1,1,2026-08-24T00:00:00.000
1754,20260629,20260719,20260819,16980,120,253,62,419,385,373,372,12,10,3,2,IM001754,1754,227.9000,2412.9800,755.0000,1,1,2026-08-24T00:00:00.000
1755,20260719,20260611,20260721,19320,55,55,353,292,92,188,96,7,5,3,1,IM001755,1755,228.6000,2414.3500,756.0000,1,1,2026-08-24T00:00:00.000
1756,20260527,20260805,20260527,77400,389,274,65,98,33,349,252,5,5,1,4,IM001756,1756,229.3000,2415.7200,757.0000,1,1,2026-08-24T00:00:00.000
1757,20260719,20260823,20260710,17040,359,149,395,462,43,367,84,4,5,5,4,IM001757,1757,230.0000,2417.0900,758.0000,1,1,2026-08-24T00:00:00.000
1758,20260625,20260726,20260617,66780,348,232,85,410,110,359,77,16,5,3,1,IM001758,1758,230.7000,2418.4600,759.0000,1,1,2026-08-24T00:00:00.000
1759,20260719,20260818,20260702,41220,170,21,120,314,60,130,157,11,3,7,4,IM001759,1759,231.4000,2419.8300,760.0000,1,1,2026-08-24T00:00:00.000
1760,20260823,20260605,20260814,18600,102,105,347,65,238,328,395,14,2,7,4,IM001760,1760,232.1000,2421.2000,761.0000,1,1,2026-08-24T00:00:00.000
1761,20260527,20260704,20260527,45660,251,333,6,14,462,321,146,3,7,7,1,IM001761,1761,232.8000,2422.5700,762.0000,1,1,2026-08-24T00:00:00.000
1762,20260711,20260809,20260616,80400,491,184,355,291,469,384,272,1,1,2,3,IM001762,1762,233.5000,2423.9400,763.0000,1,1,2026-08-24T00:00:00.000
1763,20260817,20260805,20260725,60540,131,263,405,200,394,423,279,9,6,5,1,IM001763,1763,234.2000,2425.3100,764.0000,1,1,2026-08-24T00:00:00.000
1764,20260711,20260816,20260708,31200,305,108,173,435,49,404,83,2,4,7,3,IM001764,1764,234.9000,2426.6800,765.0000,1,1,2026-08-24T00:00:00.000
1765,20260715,20260617,20260707,61740,196,178,199,116,474,410,183,12,7,7,4,IM001765,1765,235.6000,2428.0500,766.0000,1,1,2026-08-24T00:00:00.000
1766,20260816,20260528,20260619,82200,143,87,90,75,181,27,139,9,2,3,1,IM001766,1766,236.3000,2429.4200,767.0000,1,1,2026-08-24T00:00:00.000
1767,20260719,20260619,20260623,540,319,339,279,329,55,160,25,5,1,6,3,IM001767,1767,237.0000,2430.7900,768.0000,1,1,2026-08-24T00:00:00.000
1768,20260627,20260812,20260802,61560,130,325,446,-1,-1,-1,-1,10,6,3,-1,IM001768,1768,237.7000,2432.1600,769.0000,1,1,2026-08-24T00:00:00.000
1769,20260802,20260712,20260710,57840,94,31,145,427,193,395,113,2,4,5,1,IM001769,1769,238.4000,2433.5300,770.0000,1,1,2026-08-24T00:00:00.000
1770,20260708,20260721,20260706,40200,45,349,225,73,312,326,467,6,3,4,1,IM001770,1770,239.1000,2434.9000,771.0000,1,1,2026-08-24T00:00:00.000
1771,20260626,20260803,20260824,21720,228,263,14,144,72,485,112,7,9,3,2,IM001771,1771,239.8000,2436.2700,772.0000,1,1,2026-08-24T00:00:00.000
1772,20260802,20260819,20260817,34740,491,227,235,231,202,189,21,14,7,6,1,IM001772,1772,240.5000,2437.6400,773.0000,1,1,2026-08-24T00:00:00.000
1773,20260614,20260617,20260627,57720,46,335,480,417,473,411,462,5,9,6,4,IM001773,1773,241.2000,2439.0100,774.0000,1,1,2026-08-24T00:00:00.000
1774,20260628,20260531,20260706,56880,452,23,389,175,142,139,335,1,1,6,2,IM001774,1774,241.9000,2440.3800,775.0000,1,1,2026-08-24T00:00:00.000
1775,20260625,20260628,20260527,47640,13,1,36,283,179,13,333,9,8,5,4,IM001775,1775,242.6000,2441.7500,776.0000,1,1,2026-08-24T00:00:00.000
1776,20260606,20260702,20260720,32160,478,280,130,369,220,185,417,1,8,7,4,IM001776,1776,243.3000,2443.1200,777.0000,1,1,2026-08-24T00:00:00.000
1777,20260607,20260608,20260528,73860,483,346,361,403,45,304,396,9,8,3,3,IM001777,1777,244.0000,2444.4900,778.0000,1,1,2026-08-24T00:00:00.000
1778,20260602,20260621,20260815,27840,470,79,188,425,21,275,298,12,9,5,4,IM001778,1778,244.7000,2445.8600,779.0000,1,1,2026-08-24T00:00:00.000
1779,20260617,20260815,20260702,74280,464,319,290,371,162,187,222,12,2,1,1,IM001779,1779,245.4000,2447.2300,780.0000,1,1,2026-08-24T00:00:00.000
1780,20260715,20260731,20260822,16500,485,339,180,461,364,243,310,5,1,7,3,IM001780,1780,246.1000,2448.6000,781.0000,1,1,2026-08-24T00:00:00.000
1781,20260816,20260702,20260804,58380,267,67,377,67,355,255,480,7,2,2,2,IM001781,1781,246.8000,2449.9700,782.0000,1,1,2026-08-24T00:00:00.000
1782,20260625,20260611,20260604,66720,168,243,389,45,412,413,108,13,5,4,1,IM001782,1782,247.5000,2451.3400,783.0000,1,1,2026-08-24T00:00:00.000
1783,20260608,20260819,20260531,84900,410,324,148,122,121,469,452,5,5,5,2,IM001783,1783,248.2000,2452.7100,784.0000,1,1,2026-08-24T00:00:00.000
1784,20260728,20260621,20260608,54360,95,134,416,316,316,499,216,3,5,6,2,IM001784,1784,248.9000,2454.0800,785.0000,1,1,2026-08-24T00:00:00.000
1785,20260727,20260618,20260824,60180,181,230,334,-1,-1,-1,-1,1,5,6,-1,IM001785,1785,249.6000,2455.4500,786.0000,1,1,2026-08-24T00:00:00.000
1786,20260604,20260710,20260613,62160,436,95,108,350,498,440,279,12,10,5,3,IM001786,1786,250.3000,2456.8200,787.0000,1,1,2026-08-24T00:00:00.000
1787,20260803,20260624,20260804,56940,254,253,150,248,48,443,318,14,8,5,3,IM001787,1787,251.0000,2458.1900,788.0000,1,1,2026-08-24T00:00:00.000
1788,20260622,20260809,20260730,57540,52,86,204,91,469,229,274,12,6,1,3,IM001788,1788,251.7000,2459.5600,789.0000,1,1,2026-08-24T00:00:00.000
1789,20260602,20260617,20260630,28800,14,206,349,91,354,49,492,6,5,6,2,IM001789,1789,252.4000,2460.9300,790.0000,1,1,2026-08-24T00:00:00.000
1790,20260530,20260613,20260712,33120,88,188,314,33,498,252,75,16,1,1,1,IM001790,1790,253.1000,2462.3000,791.0000,1,1,2026-08-24T00:00:00.000
1791,20260713,20260705,20260725,47040,296,335,385,54,66,17,195,14,2,4,2,IM001791,1791,253.8000,2463.6700,792.0000,1,1,2026-08-24T00:00:00.000
1792,20260714,20260817,20260715,57480,150,147,217,413,219,411,182,3,6,4,4,IM001792,1792,254.5000,2465.0400,793.0000,1,1,2026-08-24T00:00:00.000
1793,20260702,20260721,20260818,63420,284,282,342,128,388,214,476,15,10,6,1,IM001793,1793,255.2000,2466.4100,794.0000,1,1,2026-08-24T00:00:00.000
1794,20260620,20260731,20260714,45540,191,130,386,112,450,491,446,5,1,5,3,IM001794,1794,255.9000,2467.7800,795.0000,1,1,2026-08-24T00:00:00.000
1795,20260805,20260625,20260616,11040,95,203,457,51,108,10,164,4,1,5,2,IM001795,1795,256.6000,2469.1500,796.0000,1,1,2026-08-24T00:00:00.000
1796,20260812,20260627,20260627,19980,163,70,446,458,20,215,353,2,1,5,1,IM001796,1796,257.3000,2470.5200,797.0000,1,1,2026-08-24T00:00:00.000
1797,20260804,20260724,20260621,73080,439,118,303,53,400,357,50,10,8,1,2,IM001797,1797,258.0000,2471.8900,798.0000,1,1,2026-08-24T00:00:00.000
1798,20260801,20260622,20260530,72360,333,145,451,419,372,426,1,8,8,1,4,IM001798,1798,258.7000,2473.2600,799.0000,1,1,2026-08-24T00:00:00.000
1799,20260608,20260602,20260617,78600,374,70,329,46,360,189,428,3,7,4,1,IM001799,1799,259.4000,2474.6300,800.0000,1,1,2026-08-24T00:00:00.000
1800,20260703,20260722,20260805,40320,159,162,85,469,132,23,41,5,9,7,1,IM001800,1800,260.1000,2476.0000,801.0000,1,1,2026-08-24T00:00:00.000
1801,20260613,20260729,20260629,47040,452,314,387,301,317,172,492,16,10,6,2,IM001801,1801,260.8000,2477.3700,802.0000,1,1,2026-08-24T00:00:00.000
1802,20260731,20260704,20260613,48840,58,279,418,-1,-1,-1,-1,6,6,5,-1,IM001802,1802,261.5000,2478.7400,803.0000,1,1,2026-08-24T00:00:00.000
1803,20260724,20260625,20260819,23160,309,328,131,251,331,455,150,1,9,6,1,IM001803,1803,262.2000,2480.1100,804.0000,1,1,2026-08-24T00:00:00.000
1804,20260814,20260614,20260810,67920,198,31,132,91,337,435,199,1,8,2,1,IM001804,1804,262.9000,2481.4800,805.0000,1,1,2026-08-24T00:00:00.000
1805,20260618,20260717,20260618,22380,356,31,392,10,177,290,293,10,5,2,1,IM001805,1805,263.6000,2482.8500,806.0000,1,1,2026-08-24T00:00:00.000
1806,20260814,20260703,20260625,72240,22,56,34,296,141,2,124,9,6,7,1,IM001806,1806,264.3000,2484.2200,807.0000,1,1,2026-08-24T00:00:00.000
1807,20260709,20260816,20260718,38160,360,155,65,232,500,61,165,5,2,2,4,IM001807,1807,265.0000,2485.5900,808.0000,1,1,2026-08-24T00:00:00.000
1808,20260715,20260711,20260822,62580,328,5,219,389,331,165,304,11,2,7,3,IM001808,1808,265.7000,2486.9600,809.0000,1,1,2026-08-24T00:00:00.000
1809,20260728,20260622,20260620,73740,130,194,486,314,37,49,158,11,7,5,3,IM001809,1809,266.4000,2488.3300,810.0000,1,1,2026-08-24T00:00:00.000
1810,20260617,20260817,20260709,71100,470,22,364,35,226,239,166,14,9,6,1,IM001810,1810,267.1000,2489.7000,811.0000,1,1,2026-08-24T00:00:00.000
1811,20260613,20260719,20260530,78000,345,268,468,268,139,80,333,14,4,2,3,IM001811,1811,267.8000,2491.0700,812.0000,1,1,2026-08-24T00:00:00.000
1812,20260818,20260702,20260806,480,359,286,480,439,342,228,210,10,3,1,2,IM001812,1812,268.5000,2492.4400,813.0000,1,1,2026-08-24T00:00:00.000
