PurchaseGoodsReceiptKey,ReceiptDateKey,PostingDateKey,DocumentDateKey,ReceiptTimeOfDayKey,PurchaseOrderLineKey,SupplierKey,ProductKey,PlantKey,ReceiverEmployeeKey,PurchaseReceiptStatusKey,UnitOfMeasureKey,CurrencyKey,GoodsReceiptNumber,GoodsReceiptLineNumber,ReceivedQuantity,AcceptedQuantity,RejectedQuantity,ReceiptAmount,SourceSystemKey,BatchId,LoadedAtUtc
383,20260815,20260724,20260611,81120,486,305,355,76,203,4,5,2,PGR000383,383,268.2000,268.2000,268.2000,534.7100,1,1,2026-08-24T00:00:00.000
384,20260715,20260813,20260608,19260,333,242,410,107,347,1,3,5,PGR000384,384,268.9000,268.9000,268.9000,536.0800,1,1,2026-08-24T00:00:00.000
385,20260813,20260527,20260802,40860,85,160,386,203,494,2,6,5,PGR000385,385,269.6000,269.6000,269.6000,537.4500,1,1,2026-08-24T00:00:00.000
386,20260819,20260801,20260811,14220,348,445,129,225,3,8,6,4,PGR000386,386,270.3000,270.3000,270.3000,538.8200,1,1,2026-08-24T00:00:00.000
387,20260702,20260809,20260618,24120,125,60,343,40,448,7,5,4,PGR000387,387,271.0000,271.0000,271.0000,540.1900,1,1,2026-08-24T00:00:00.000
388,20260628,20260822,20260622,74820,269,371,292,137,125,3,4,4,PGR000388,388,271.7000,271.7000,271.7000,541.5600,1,1,2026-08-24T00:00:00.000
389,20260721,20260619,20260621,31800,134,212,286,258,368,4,5,2,PGR000389,389,272.4000,272.4000,272.4000,542.9300,1,1,2026-08-24T00:00:00.000
390,20260730,20260615,20260724,37260,330,153,66,79,413,2,3,1,PGR000390,390,273.1000,273.1000,273.1000,544.3000,1,1,2026-08-24T00:00:00.000
391,20260816,20260718,20260715,24540,235,5,-1,90,-1,8,2,4,PGR000391,391,273.8000,273.8000,273.8000,545.6700,1,1,2026-08-24T00:00:00.000
392,20260819,20260719,20260718,16680,214,22,147,6,208,5,4,3,PGR000392,392,274.5000,274.5000,274.5000,547.0400,1,1,2026-08-24T00:00:00.000
393,20260704,20260722,20260805,10320,341,121,128,305,60,8,3,4,PGR000393,393,275.2000,275.2000,275.2000,548.4100,1,1,2026-08-24T00:00:00.000
394,20260713,20260713,20260706,9480,99,407,441,224,195,6,2,3,PGR000394,394,275.9000,275.9000,275.9000,549.7800,1,1,2026-08-24T00:00:00.000
395,20260531,20260719,20260531,40800,3,124,169,163,64,3,3,1,PGR000395,395,276.6000,276.6000,276.6000,551.1500,1,1,2026-08-24T00:00:00.000
396,20260617,20260808,20260816,76920,32,257,19,244,274,4,2,1,PGR000396,396,277.3000,277.3000,277.3000,552.5200,1,1,2026-08-24T00:00:00.000
397,20260822,20260818,20260824,79860,302,157,398,343,472,4,6,4,PGR000397,397,278.0000,278.0000,278.0000,553.8900,1,1,2026-08-24T00:00:00.000
398,20260814,20260611,20260730,59100,131,296,70,197,295,4,1,5,PGR000398,398,278.7000,278.7000,278.7000,555.2600,1,1,2026-08-24T00:00:00.000
399,20260802,20260711,20260624,7320,412,465,143,292,468,1,5,1,PGR000399,399,279.4000,279.4000,279.4000,556.6300,1,1,2026-08-24T00:00:00.000
400,20260806,20260613,20260803,64860,292,83,499,92,113,8,4,4,PGR000400,400,280.1000,280.1000,280.1000,558.0000,1,1,2026-08-24T00:00:00.000
401,20260818,20260712,20260705,79800,42,88,134,213,107,2,6,3,PGR000401,401,280.8000,280.8000,280.8000,559.3700,1,1,2026-08-24T00:00:00.000
402,20260706,20260810,20260811,20520,38,72,333,251,488,5,6,3,PGR000402,402,281.5000,281.5000,281.5000,560.7400,1,1,2026-08-24T00:00:00.000
403,20260803,20260624,20260531,9540,421,383,198,233,95,2,2,5,PGR000403,403,282.2000,282.2000,282.2000,562.1100,1,1,2026-08-24T00:00:00.000
404,20260702,20260817,20260718,28680,410,5,100,142,176,2,4,3,PGR000404,404,282.9000,282.9000,282.9000,563.4800,1,1,2026-08-24T00:00:00.000
405,20260722,20260605,20260804,64800,204,329,275,150,309,8,1,3,PGR000405,405,283.6000,283.6000,283.6000,564.8500,1,1,2026-08-24T00:00:00.000
406,20260717,20260612,20260802,73380,106,477,104,324,373,1,6,4,PGR000406,406,284.3000,284.3000,284.3000,566.2200,1,1,2026-08-24T00:00:00.000
407,20260629,20260717,20260726,54660,432,68,136,10,225,4,5,4,PGR000407,407,285.0000,285.0000,285.0000,567.5900,1,1,2026-08-24T00:00:00.000
408,20260806,20260704,20260608,68340,333,322,-1,141,-1,1,6,1,PGR000408,408,285.7000,285.7000,285.7000,568.9600,1,1,2026-08-24T00:00:00.000
409,20260623,20260717,20260705,75720,283,325,173,341,200,8,6,5,PGR000409,409,286.4000,286.4000,286.4000,570.3300,1,1,2026-08-24T00:00:00.000
410,20260601,20260814,20260811,54600,256,72,401,279,82,5,3,2,PGR000410,410,287.1000,287.1000,287.1000,571.7000,1,1,2026-08-24T00:00:00.000
411,20260730,20260607,20260803,35220,223,284,98,245,34,3,2,5,PGR000411,411,287.8000,287.8000,287.8000,573.0700,1,1,2026-08-24T00:00:00.000
412,20260726,20260603,20260715,17640,70,107,114,339,175,3,7,2,PGR000412,412,288.5000,288.5000,288.5000,574.4400,1,1,2026-08-24T00:00:00.000
413,20260803,20260725,20260716,66900,469,289,104,235,356,3,2,1,PGR000413,413,289.2000,289.2000,289.2000,575.8100,1,1,2026-08-24T00:00:00.000
414,20260703,20260712,20260701,180,285,398,334,73,337,6,6,5,PGR000414,414,289.9000,289.9000,289.9000,577.1800,1,1,2026-08-24T00:00:00.000
415,20260711,20260812,20260820,70800,462,363,429,296,369,6,6,2,PGR000415,415,290.6000,290.6000,290.6000,578.5500,1,1,2026-08-24T00:00:00.000
416,20260809,20260710,20260612,44760,16,435,59,213,67,2,3,3,PGR000416,416,291.3000,291.3000,291.3000,579.9200,1,1,2026-08-24T00:00:00.000
417,20260726,20260601,20260730,7440,240,338,219,319,246,3,4,4,PGR000417,417,292.0000,292.0000,292.0000,581.2900,1,1,2026-08-24T00:00:00.000
418,20260817,20260629,20260715,29100,435,437,432,130,135,4,7,2,PGR000418,418,292.7000,292.7000,292.7000,582.6600,1,1,2026-08-24T00:00:00.000
419,20260822,20260623,20260818,61560,415,170,112,237,90,4,6,4,PGR000419,419,293.4000,293.4000,293.4000,584.0300,1,1,2026-08-24T00:00:00.000
420,20260616,20260718,20260815,360,52,73,164,17,348,7,6,5,PGR000420,420,294.1000,294.1000,294.1000,585.4000,1,1,2026-08-24T00:00:00.000
421,20260812,20260802,20260701,3900,325,301,386,207,343,1,3,2,PGR000421,421,294.8000,294.8000,294.8000,586.7700,1,1,2026-08-24T00:00:00.000
422,20260609,20260621,20260731,63000,421,331,252,303,144,4,3,4,PGR000422,422,295.5000,295.5000,295.5000,588.1400,1,1,2026-08-24T00:00:00.000
423,20260703,20260616,20260615,78960,206,110,114,21,384,6,6,5,PGR000423,423,296.2000,296.2000,296.2000,589.5100,1,1,2026-08-24T00:00:00.000
424,20260726,20260720,20260622,11880,134,154,483,177,246,6,4,5,PGR000424,424,296.9000,296.9000,296.9000,590.8800,1,1,2026-08-24T00:00:00.000
425,20260709,20260613,20260626,37560,125,262,-1,69,-1,3,7,4,PGR000425,425,297.6000,297.6000,297.6000,592.2500,1,1,2026-08-24T00:00:00.000
426,20260624,20260717,20260613,62940,6,51,6,211,49,2,6,5,PGR000426,426,298.3000,298.3000,298.3000,593.6200,1,1,2026-08-24T00:00:00.000
427,20260609,20260820,20260615,13680,167,280,94,65,275,6,7,5,PGR000427,427,299.0000,299.0000,299.0000,594.9900,1,1,2026-08-24T00:00:00.000
428,20260614,20260824,20260824,28740,223,200,212,40,367,8,6,3,PGR000428,428,299.7000,299.7000,299.7000,596.3600,1,1,2026-08-24T00:00:00.000
429,20260604,20260803,20260725,74760,420,157,337,145,274,7,4,1,PGR000429,429,300.4000,300.4000,300.4000,597.7300,1,1,2026-08-24T00:00:00.000
430,20260615,20260708,20260724,36720,48,414,384,44,500,5,4,4,PGR000430,430,301.1000,301.1000,301.1000,599.1000,1,1,2026-08-24T00:00:00.000
431,20260816,20260620,20260705,10860,152,454,317,333,442,5,2,3,PGR000431,431,301.8000,301.8000,301.8000,600.4700,1,1,2026-08-24T00:00:00.000
432,20260711,20260612,20260728,59520,389,269,203,75,1,2,3,2,PGR000432,432,302.5000,302.5000,302.5000,601.8400,1,1,2026-08-24T00:00:00.000
433,20260612,20260625,20260731,25320,202,310,479,135,255,7,7,3,PGR000433,433,303.2000,303.2000,303.2000,603.2100,1,1,2026-08-24T00:00:00.000
434,20260624,20260731,20260717,49860,412,120,192,130,38,2,7,2,PGR000434,434,303.9000,303.9000,303.9000,604.5800,1,1,2026-08-24T00:00:00.000
435,20260630,20260819,20260618,58140,489,303,251,271,335,7,7,1,PGR000435,435,304.6000,304.6000,304.6000,605.9500,1,1,2026-08-24T00:00:00.000
436,20260807,20260718,20260623,8880,410,419,187,168,472,2,5,5,PGR000436,436,305.3000,305.3000,305.3000,607.3200,1,1,2026-08-24T00:00:00.000
437,20260604,20260627,20260808,64980,500,183,10,101,360,4,3,2,PGR000437,437,306.0000,306.0000,306.0000,608.6900,1,1,2026-08-24T00:00:00.000
438,20260630,20260728,20260602,10620,327,24,347,345,32,1,7,4,PGR000438,438,306.7000,306.7000,306.7000,610.0600,1,1,2026-08-24T00:00:00.000
439,20260529,20260621,20260813,11220,86,67,44,325,5,6,6,3,PGR000439,439,307.4000,307.4000,307.4000,611.4300,1,1,2026-08-24T00:00:00.000
440,20260811,20260811,20260824,3000,90,212,493,207,292,2,3,1,PGR000440,440,308.1000,308.1000,308.1000,612.8000,1,1,2026-08-24T00:00:00.000
441,20260722,20260823,20260730,23160,358,139,185,266,493,2,6,1,PGR000441,441,308.8000,308.8000,308.8000,614.1700,1,1,2026-08-24T00:00:00.000
442,20260529,20260626,20260621,54000,302,113,-1,208,-1,3,5,4,PGR000442,442,309.5000,309.5000,309.5000,615.5400,1,1,2026-08-24T00:00:00.000
443,20260729,20260616,20260601,19860,149,49,67,349,210,8,4,1,PGR000443,443,310.2000,310.2000,310.2000,616.9100,1,1,2026-08-24T00:00:00.000
444,20260730,20260707,20260703,39600,206,148,346,13,192,1,7,2,PGR000444,444,310.9000,310.9000,310.9000,618.2800,1,1,2026-08-24T00:00:00.000
445,20260613,20260610,20260811,8160,248,245,266,99,447,5,7,5,PGR000445,445,311.6000,311.6000,311.6000,619.6500,1,1,2026-08-24T00:00:00.000
446,20260812,20260802,20260711,54360,212,257,93,131,40,4,5,5,PGR000446,446,312.3000,312.3000,312.3000,621.0200,1,1,2026-08-24T00:00:00.000
447,20260607,20260708,20260603,65340,403,425,238,289,308,8,3,5,PGR000447,447,313.0000,313.0000,313.0000,622.3900,1,1,2026-08-24T00:00:00.000
448,20260815,20260705,20260814,36360,39,8,334,133,463,2,3,2,PGR000448,448,313.7000,313.7000,313.7000,623.7600,1,1,2026-08-24T00:00:00.000
449,20260603,20260701,20260628,49080,254,354,2,96,123,2,5,3,PGR000449,449,314.4000,314.4000,314.4000,625.1300,1,1,2026-08-24T00:00:00.000
450,20260624,20260620,20260616,70620,255,222,82,49,182,4,7,4,PGR000450,450,315.1000,315.1000,315.1000,626.5000,1,1,2026-08-24T00:00:00.000
451,20260726,20260705,20260823,78480,312,389,451,64,133,2,5,2,PGR000451,451,315.8000,315.8000,315.8000,627.8700,1,1,2026-08-24T00:00:00.000
452,20260725,20260706,20260803,23100,408,4,37,269,161,3,3,3,PGR000452,452,316.5000,316.5000,316.5000,629.2400,1,1,2026-08-24T00:00:00.000
453,20260601,20260730,20260629,38520,417,175,28,134,201,5,4,3,PGR000453,453,317.2000,317.2000,317.2000,630.6100,1,1,2026-08-24T00:00:00.000
454,20260806,20260614,20260712,66480,51,398,44,243,397,7,1,2,PGR000454,454,317.9000,317.9000,317.9000,631.9800,1,1,2026-08-24T00:00:00.000
455,20260614,20260723,20260722,63060,30,216,36,266,459,6,7,3,PGR000455,455,318.6000,318.6000,318.6000,633.3500,1,1,2026-08-24T00:00:00.000
456,20260609,20260602,20260604,13440,484,419,477,296,26,1,7,3,PGR000456,456,319.3000,319.3000,319.3000,634.7200,1,1,2026-08-24T00:00:00.000
457,20260616,20260730,20260604,72300,137,168,237,235,148,4,5,3,PGR000457,457,320.0000,320.0000,320.0000,636.0900,1,1,2026-08-24T00:00:00.000
458,20260623,20260701,20260816,58260,84,416,14,116,178,3,4,4,PGR000458,458,320.7000,320.7000,320.7000,637.4600,1,1,2026-08-24T00:00:00.000
459,20260623,20260818,20260530,76740,416,456,-1,226,-1,3,6,5,PGR000459,459,321.4000,321.4000,321.4000,638.8300,1,1,2026-08-24T00:00:00.000
460,20260731,20260527,20260619,35580,45,455,37,247,193,4,3,3,PGR000460,460,322.1000,322.1000,322.1000,640.2000,1,1,2026-08-24T00:00:00.000
461,20260716,20260823,20260807,27000,218,384,17,97,77,1,6,5,PGR000461,461,322.8000,322.8000,322.8000,641.5700,1,1,2026-08-24T00:00:00.000
462,20260719,20260612,20260824,76920,133,81,405,171,104,7,7,5,PGR000462,462,323.5000,323.5000,323.5000,642.9400,1,1,2026-08-24T00:00:00.000
463,20260709,20260806,20260602,63840,108,179,347,346,419,7,2,4,PGR000463,463,324.2000,324.2000,324.2000,644.3100,1,1,2026-08-24T00:00:00.000
464,20260815,20260805,20260606,18300,375,418,231,204,2,8,6,5,PGR000464,464,324.9000,324.9000,324.9000,645.6800,1,1,2026-08-24T00:00:00.000
465,20260813,20260808,20260721,81660,229,155,252,312,121,8,7,3,PGR000465,465,325.6000,325.6000,325.6000,647.0500,1,1,2026-08-24T00:00:00.000
466,20260531,20260810,20260814,79560,445,295,431,153,99,5,7,5,PGR000466,466,326.3000,326.3000,326.3000,648.4200,1,1,2026-08-24T00:00:00.000
467,20260602,20260602,20260608,28260,296,139,354,126,104,7,3,3,PGR000467,467,327.0000,327.0000,327.0000,649.7900,1,1,2026-08-24T00:00:00.000
468,20260615,20260625,20260706,24300,26,241,330,156,321,3,3,1,PGR000468,468,327.7000,327.7000,327.7000,651.1600,1,1,2026-08-24T00:00:00.000
469,20260718,20260620,20260817,81540,12,453,25,192,169,8,2,3,PGR000469,469,328.4000,328.4000,328.4000,652.5300,1,1,2026-08-24T00:00:00.000
470,20260607,20260607,20260628,13620,40,273,234,26,212,6,5,1,PGR000470,470,329.1000,329.1000,329.1000,653.9000,1,1,2026-08-24T00:00:00.000
471,20260709,20260711,20260619,76020,301,164,115,85,216,2,1,1,PGR000471,471,329.8000,329.8000,329.8000,655.2700,1,1,2026-08-24T00:00:00.000
472,20260605,20260714,20260806,23760,258,34,199,69,63,2,5,4,PGR000472,472,330.5000,330.5000,330.5000,656.6400,1,1,2026-08-24T00:00:00.000
473,20260807,20260824,20260720,19380,69,95,92,280,231,4,1,4,PGR000473,473,331.2000,331.2000,331.2000,658.0100,1,1,2026-08-24T00:00:00.000
474,20260726,20260820,20260613,13380,387,23,103,142,6,4,1,3,PGR000474,474,331.9000,331.9000,331.9000,659.3800,1,1,2026-08-24T00:00:00.000
475,20260721,20260710,20260713,7320,479,201,213,303,482,6,5,4,PGR000475,475,332.6000,332.6000,332.6000,660.7500,1,1,2026-08-24T00:00:00.000
476,20260729,20260822,20260601,53640,379,110,-1,205,-1,1,5,2,PGR000476,476,333.3000,333.3000,333.3000,662.1200,1,1,2026-08-24T00:00:00.000
477,20260804,20260718,20260715,42540,425,196,169,25,246,2,6,2,PGR000477,477,334.0000,334.0000,334.0000,663.4900,1,1,2026-08-24T00:00:00.000
478,20260625,20260527,20260606,34320,266,407,489,294,479,8,2,5,PGR000478,478,334.7000,334.7000,334.7000,664.8600,1,1,2026-08-24T00:00:00.000
479,20260803,20260603,20260824,20160,50,330,397,163,125,4,3,3,PGR000479,479,335.4000,335.4000,335.4000,666.2300,1,1,2026-08-24T00:00:00.000
480,20260714,20260812,20260602,23820,12,114,193,6,363,5,3,5,PGR000480,480,336.1000,336.1000,336.1000,667.6000,1,1,2026-08-24T00:00:00.000
481,20260821,20260824,20260713,18660,286,27,134,179,69,6,4,5,PGR000481,481,336.8000,336.8000,336.8000,668.9700,1,1,2026-08-24T00:00:00.000
482,20260725,20260820,20260714,74520,207,96,398,259,231,7,1,3,PGR000482,482,337.5000,337.5000,337.5000,670.3400,1,1,2026-08-24T00:00:00.000
483,20260709,20260812,20260705,66000,400,317,148,213,167,1,2,3,PGR000483,483,338.2000,338.2000,338.2000,671.7100,1,1,2026-08-24T00:00:00.000
484,20260614,20260626,20260710,54300,470,98,218,131,12,8,4,3,PGR000484,484,338.9000,338.9000,338.9000,673.0800,1,1,2026-08-24T00:00:00.000
485,20260609,20260709,20260615,29340,162,161,467,231,158,1,4,5,PGR000485,485,339.6000,339.6000,339.6000,674.4500,1,1,2026-08-24T00:00:00.000
486,20260810,20260607,20260623,69120,382,264,331,57,61,5,6,1,PGR000486,486,340.3000,340.3000,340.3000,675.8200,1,1,2026-08-24T00:00:00.000
487,20260531,20260603,20260601,58200,149,204,80,311,238,5,4,3,PGR000487,487,341.0000,341.0000,341.0000,677.1900,1,1,2026-08-24T00:00:00.000
488,20260626,20260706,20260529,38940,263,119,174,144,413,4,6,3,PGR000488,488,341.7000,341.7000,341.7000,678.5600,1,1,2026-08-24T00:00:00.000
489,20260708,20260702,20260625,78420,146,37,97,151,384,1,4,1,PGR000489,489,342.4000,342.4000,342.4000,679.9300,1,1,2026-08-24T00:00:00.000
490,20260814,20260621,20260807,2040,320,382,250,138,194,7,2,5,PGR000490,490,343.1000,343.1000,343.1000,681.3000,1,1,2026-08-24T00:00:00.000
491,20260626,20260605,20260816,14160,108,394,77,22,171,5,5,3,PGR000491,491,343.8000,343.8000,343.8000,682.6700,1,1,2026-08-24T00:00:00.000
492,20260625,20260604,20260824,24120,293,322,378,11,16,2,5,4,PGR000492,492,344.5000,344.5000,344.5000,684.0400,1,1,2026-08-24T00:00:00.000
493,20260704,20260728,20260728,51120,422,450,-1,245,-1,6,4,5,PGR000493,493,345.2000,345.2000,345.2000,685.4100,1,1,2026-08-24T00:00:00.000
494,20260530,20260615,20260718,9540,404,287,342,3,106,4,7,4,PGR000494,494,345.9000,345.9000,345.9000,686.7800,1,1,2026-08-24T00:00:00.000
495,20260529,20260617,20260808,29820,315,133,143,327,234,1,6,1,PGR000495,495,346.6000,346.6000,346.6000,688.1500,1,1,2026-08-24T00:00:00.000
496,20260723,20260804,20260729,32940,335,229,134,162,53,4,1,3,PGR000496,496,347.3000,347.3000,347.3000,689.5200,1,1,2026-08-24T00:00:00.000
497,20260609,20260727,20260721,40440,202,154,98,277,399,8,1,4,PGR000497,497,348.0000,348.0000,348.0000,690.8900,1,1,2026-08-24T00:00:00.000
498,20260626,20260611,20260620,64380,463,456,196,9,68,6,1,3,PGR000498,498,348.7000,348.7000,348.7000,692.2600,1,1,2026-08-24T00:00:00.000
499,20260617,20260708,20260620,31140,75,223,418,175,478,6,5,1,PGR000499,499,349.4000,349.4000,349.4000,693.6300,1,1,2026-08-24T00:00:00.000
500,20260820,20260720,20260627,11280,111,20,28,295,237,7,2,4,PGR000500,500,350.1000,350.1000,350.1000,695.0000,1,1,2026-08-24T00:00:00.000
501,20260607,20260713,20260603,34380,42,456,338,321,249,8,6,2,PGR000501,501,350.8000,350.8000,350.8000,696.3700,1,1,2026-08-24T00:00:00.000
502,20260708,20260709,20260614,82500,138,349,241,158,284,7,2,5,PGR000502,502,351.5000,351.5000,351.5000,697.7400,1,1,2026-08-24T00:00:00.000
503,20260728,20260615,20260630,59940,109,414,262,156,273,2,2,2,PGR000503,503,352.2000,352.2000,352.2000,699.1100,1,1,2026-08-24T00:00:00.000
504,20260620,20260817,20260614,36000,215,124,194,223,304,2,4,4,PGR000504,504,352.9000,352.9000,352.9000,700.4800,1,1,2026-08-24T00:00:00.000
505,20260801,20260626,20260730,19620,341,321,343,140,149,6,6,1,PGR000505,505,353.6000,353.6000,353.6000,701.8500,1,1,2026-08-24T00:00:00.000
506,20260721,20260811,20260717,67200,216,160,388,176,133,7,2,4,PGR000506,506,354.3000,354.3000,354.3000,703.2200,1,1,2026-08-24T00:00:00.000
507,20260730,20260715,20260609,53220,388,232,430,210,50,4,6,5,PGR000507,507,355.0000,355.0000,355.0000,704.5900,1,1,2026-08-24T00:00:00.000
508,20260705,20260706,20260614,53160,459,184,429,165,436,6,6,3,PGR000508,508,355.7000,355.7000,355.7000,705.9600,1,1,2026-08-24T00:00:00.000
509,20260527,20260722,20260622,22980,450,38,52,188,152,8,4,1,PGR000509,509,356.4000,356.4000,356.4000,707.3300,1,1,2026-08-24T00:00:00.000
510,20260701,20260609,20260701,26940,385,248,-1,77,-1,2,7,3,PGR000510,510,357.1000,357.1000,357.1000,708.7000,1,1,2026-08-24T00:00:00.000
511,20260622,20260627,20260723,14760,139,58,333,158,237,1,2,4,PGR000511,511,357.8000,357.8000,357.8000,710.0700,1,1,2026-08-24T00:00:00.000
512,20260630,20260704,20260602,17280,405,140,213,205,172,8,7,2,PGR000512,512,358.5000,358.5000,358.5000,711.4400,1,1,2026-08-24T00:00:00.000
513,20260703,20260701,20260718,7920,310,470,254,88,301,1,1,2,PGR000513,513,359.2000,359.2000,359.2000,712.8100,1,1,2026-08-24T00:00:00.000
514,20260814,20260611,20260622,17400,61,490,2,209,372,2,5,3,PGR000514,514,359.9000,359.9000,359.9000,714.1800,1,1,2026-08-24T00:00:00.000
515,20260813,20260824,20260618,54840,483,342,374,111,250,1,3,5,PGR000515,515,360.6000,360.6000,360.6000,715.5500,1,1,2026-08-24T00:00:00.000
516,20260818,20260620,20260730,27720,203,262,177,83,376,5,6,3,PGR000516,516,361.3000,361.3000,361.3000,716.9200,1,1,2026-08-24T00:00:00.000
517,20260801,20260701,20260807,6300,360,474,280,25,317,2,4,1,PGR000517,517,362.0000,362.0000,362.0000,718.2900,1,1,2026-08-24T00:00:00.000
518,20260728,20260527,20260704,72720,288,317,171,38,27,4,2,4,PGR000518,518,362.7000,362.7000,362.7000,719.6600,1,1,2026-08-24T00:00:00.000
519,20260710,20260706,20260729,35940,499,264,457,177,100,3,3,3,PGR000519,519,363.4000,363.4000,363.4000,721.0300,1,1,2026-08-24T00:00:00.000
520,20260626,20260711,20260715,80100,299,383,446,104,127,2,6,4,PGR000520,520,364.1000,364.1000,364.1000,722.4000,1,1,2026-08-24T00:00:00.000
521,20260628,20260609,20260528,30720,353,48,108,268,95,7,3,2,PGR000521,521,364.8000,364.8000,364.8000,723.7700,1,1,2026-08-24T00:00:00.000
522,20260823,20260619,20260714,20460,64,49,193,282,158,2,5,3,PGR000522,522,365.5000,365.5000,365.5000,725.1400,1,1,2026-08-24T00:00:00.000
523,20260731,20260729,20260603,58380,378,471,499,202,49,6,3,4,PGR000523,523,366.2000,366.2000,366.2000,726.5100,1,1,2026-08-24T00:00:00.000
524,20260706,20260625,20260821,71580,333,390,118,251,387,3,1,1,PGR000524,524,366.9000,366.9000,366.9000,727.8800,1,1,2026-08-24T00:00:00.000
525,20260619,20260530,20260602,10440,390,308,460,112,144,7,2,3,PGR000525,525,367.6000,367.6000,367.6000,729.2500,1,1,2026-08-24T00:00:00.000
526,20260530,20260802,20260813,5880,155,40,369,91,143,3,5,1,PGR000526,526,368.3000,368.3000,368.3000,730.6200,1,1,2026-08-24T00:00:00.000
527,20260823,20260626,20260816,77820,487,464,-1,148,-1,7,2,3,PGR000527,527,369.0000,369.0000,369.0000,731.9900,1,1,2026-08-24T00:00:00.000
528,20260723,20260811,20260628,19680,200,206,321,263,447,5,1,5,PGR000528,528,369.7000,369.7000,369.7000,733.3600,1,1,2026-08-24T00:00:00.000
529,20260808,20260713,20260809,16620,95,10,451,206,360,2,1,3,PGR000529,529,370.4000,370.4000,370.4000,734.7300,1,1,2026-08-24T00:00:00.000
530,20260530,20260822,20260820,43980,182,377,155,285,456,2,5,3,PGR000530,530,371.1000,371.1000,371.1000,736.1000,1,1,2026-08-24T00:00:00.000
531,20260815,20260531,20260628,11460,70,176,28,62,282,8,3,1,PGR000531,531,371.8000,371.8000,371.8000,737.4700,1,1,2026-08-24T00:00:00.000
532,20260611,20260622,20260719,65340,350,337,131,245,328,6,5,2,PGR000532,532,372.5000,372.5000,372.5000,738.8400,1,1,2026-08-24T00:00:00.000
533,20260529,20260608,20260629,56580,291,44,496,46,95,3,2,1,PGR000533,533,373.2000,373.2000,373.2000,740.2100,1,1,2026-08-24T00:00:00.000
534,20260608,20260705,20260729,80580,169,452,283,39,186,1,4,4,PGR000534,534,373.9000,373.9000,373.9000,741.5800,1,1,2026-08-24T00:00:00.000
535,20260805,20260622,20260810,55620,9,456,397,224,50,2,3,5,PGR000535,535,374.6000,374.6000,374.6000,742.9500,1,1,2026-08-24T00:00:00.000
536,20260808,20260713,20260703,28860,43,141,370,219,67,2,2,4,PGR000536,536,375.3000,375.3000,375.3000,744.3200,1,1,2026-08-24T00:00:00.000
537,20260705,20260812,20260629,84300,192,447,230,45,210,6,3,2,PGR000537,537,376.0000,376.0000,376.0000,745.6900,1,1,2026-08-24T00:00:00.000
538,20260620,20260730,20260624,8220,426,24,381,122,12,6,1,2,PGR000538,538,376.7000,376.7000,376.7000,747.0600,1,1,2026-08-24T00:00:00.000
539,20260811,20260707,20260616,14640,188,122,20,72,187,8,3,5,PGR000539,539,377.4000,377.4000,377.4000,748.4300,1,1,2026-08-24T00:00:00.000
540,20260713,20260615,20260629,74340,289,256,427,129,347,6,3,4,PGR000540,540,378.1000,378.1000,378.1000,749.8000,1,1,2026-08-24T00:00:00.000
541,20260709,20260814,20260822,42720,446,282,267,156,498,5,2,5,PGR000541,541,378.8000,378.8000,378.8000,751.1700,1,1,2026-08-24T00:00:00.000
542,20260701,20260815,20260614,61140,428,296,323,228,344,7,5,4,PGR000542,542,379.5000,379.5000,379.5000,752.5400,1,1,2026-08-24T00:00:00.000
543,20260802,20260621,20260712,22200,81,185,48,307,284,5,5,2,PGR000543,543,380.2000,380.2000,380.2000,753.9100,1,1,2026-08-24T00:00:00.000
544,20260807,20260629,20260624,42540,167,472,-1,230,-1,6,4,5,PGR000544,544,380.9000,380.9000,380.9000,755.2800,1,1,2026-08-24T00:00:00.000
545,20260622,20260718,20260530,60900,245,123,419,221,61,8,3,1,PGR000545,545,381.6000,381.6000,381.6000,756.6500,1,1,2026-08-24T00:00:00.000
546,20260817,20260724,20260802,8340,392,212,415,38,13,2,1,5,PGR000546,546,382.3000,382.3000,382.3000,758.0200,1,1,2026-08-24T00:00:00.000
547,20260714,20260806,20260801,22620,248,231,471,37,110,6,7,2,PGR000547,547,383.0000,383.0000,383.0000,759.3900,1,1,2026-08-24T00:00:00.000
548,20260816,20260602,20260617,64380,390,418,256,264,474,1,2,1,PGR000548,548,383.7000,383.7000,383.7000,760.7600,1,1,2026-08-24T00:00:00.000
549,20260723,20260822,20260618,10380,353,201,181,138,187,3,2,2,PGR000549,549,384.4000,384.4000,384.4000,762.1300,1,1,2026-08-24T00:00:00.000
550,20260607,20260628,20260627,74280,333,188,9,10,174,2,3,1,PGR000550,550,385.1000,385.1000,385.1000,763.5000,1,1,2026-08-24T00:00:00.000
551,20260606,20260804,20260708,39600,260,406,326,95,96,1,3,4,PGR000551,551,385.8000,385.8000,385.8000,764.8700,1,1,2026-08-24T00:00:00.000
552,20260817,20260811,20260612,5940,277,236,51,2,100,3,7,5,PGR000552,552,386.5000,386.5000,386.5000,766.2400,1,1,2026-08-24T00:00:00.000
553,20260806,20260715,20260718,15000,304,406,90,149,254,8,3,2,PGR000553,553,387.2000,387.2000,387.2000,767.6100,1,1,2026-08-24T00:00:00.000
