PurchaseOrderSpendKey,OrderDateKey,RequestedDeliveryDateKey,PromisedDeliveryDateKey,PurchaseOrderHeaderKey,PurchaseOrderLineKey,SupplierKey,ProductKey,PlantKey,CostCenterKey,PurchaseOrderLifecycleStatusKey,UnitOfMeasureKey,CurrencyKey,PurchaseOrderDistributionNumber,OrderedQuantity,UnitPriceAmount,ExtendedAmount,SourceSystemKey,BatchId,LoadedAtUtc
656,20260729,20260802,20260718,413,95,41,82,6,24,4,4,3,POS000656,459.3000,908.7200,908.7200,1,1,2026-08-24T00:00:00.000
657,20260701,20260718,20260625,147,489,494,493,149,409,11,4,3,POS000657,460.0000,910.0900,910.0900,1,1,2026-08-24T00:00:00.000
658,20260730,20260808,20260815,179,26,69,223,251,186,2,6,2,POS000658,460.7000,911.4600,911.4600,1,1,2026-08-24T00:00:00.000
659,20260612,20260619,20260612,23,498,194,159,136,213,3,7,1,POS000659,461.4000,912.8300,912.8300,1,1,2026-08-24T00:00:00.000
660,20260530,20260601,20260718,113,260,109,127,41,405,6,1,3,POS000660,462.1000,914.2000,914.2000,1,1,2026-08-24T00:00:00.000
661,20260725,20260730,20260616,426,104,209,15,246,421,10,1,3,POS000661,462.8000,915.5700,915.5700,1,1,2026-08-24T00:00:00.000
662,20260625,20260823,20260620,43,210,200,419,210,256,11,3,1,POS000662,463.5000,916.9400,916.9400,1,1,2026-08-24T00:00:00.000
663,20260612,20260724,20260817,84,173,468,-1,76,-1,11,7,4,POS000663,464.2000,918.3100,918.3100,1,1,2026-08-24T00:00:00.000
664,20260709,20260804,20260528,426,332,312,13,214,373,8,1,1,POS000664,464.9000,919.6800,919.6800,1,1,2026-08-24T00:00:00.000
665,20260821,20260627,20260610,436,417,435,155,27,37,10,4,2,POS000665,465.6000,921.0500,921.0500,1,1,2026-08-24T00:00:00.000
666,20260630,20260823,20260726,423,83,465,297,138,177,3,4,5,POS000666,466.3000,922.4200,922.4200,1,1,2026-08-24T00:00:00.000
667,20260802,20260527,20260816,398,351,388,443,12,493,9,2,1,POS000667,467.0000,923.7900,923.7900,1,1,2026-08-24T00:00:00.000
668,20260801,20260607,20260810,455,32,353,32,332,26,7,6,5,POS000668,467.7000,925.1600,925.1600,1,1,2026-08-24T00:00:00.000
669,20260808,20260624,20260616,50,108,333,358,136,148,4,7,3,POS000669,468.4000,926.5300,926.5300,1,1,2026-08-24T00:00:00.000
670,20260715,20260719,20260629,172,194,303,193,160,148,11,4,2,POS000670,469.1000,927.9000,927.9000,1,1,2026-08-24T00:00:00.000
671,20260813,20260728,20260706,198,264,381,277,291,393,6,3,2,POS000671,469.8000,929.2700,929.2700,1,1,2026-08-24T00:00:00.000
672,20260618,20260716,20260703,492,293,464,91,211,455,6,7,5,POS000672,470.5000,930.6400,930.6400,1,1,2026-08-24T00:00:00.000
673,20260528,20260806,20260711,129,498,306,252,305,384,6,2,2,POS000673,471.2000,932.0100,932.0100,1,1,2026-08-24T00:00:00.000
674,20260626,20260623,20260601,429,57,102,382,184,439,4,6,1,POS000674,471.9000,933.3800,933.3800,1,1,2026-08-24T00:00:00.000
675,20260619,20260630,20260815,405,227,478,105,276,139,7,7,2,POS000675,472.6000,934.7500,934.7500,1,1,2026-08-24T00:00:00.000
676,20260807,20260614,20260531,24,345,283,460,129,341,7,1,4,POS000676,473.3000,936.1200,936.1200,1,1,2026-08-24T00:00:00.000
677,20260708,20260630,20260527,154,262,407,242,80,71,2,3,4,POS000677,474.0000,937.4900,937.4900,1,1,2026-08-24T00:00:00.000
678,20260609,20260629,20260620,366,493,376,465,56,436,4,5,2,POS000678,474.7000,938.8600,938.8600,1,1,2026-08-24T00:00:00.000
679,20260601,20260821,20260616,235,348,153,142,65,219,7,3,3,POS000679,475.4000,940.2300,940.2300,1,1,2026-08-24T00:00:00.000
680,20260705,20260713,20260822,349,168,462,-1,246,-1,2,1,2,POS000680,476.1000,941.6000,941.6000,1,1,2026-08-24T00:00:00.000
681,20260722,20260604,20260703,83,175,219,495,143,117,1,5,4,POS000681,476.8000,942.9700,942.9700,1,1,2026-08-24T00:00:00.000
682,20260708,20260808,20260710,301,65,102,394,61,451,2,5,5,POS000682,477.5000,944.3400,944.3400,1,1,2026-08-24T00:00:00.000
683,20260820,20260527,20260609,295,119,339,42,78,451,10,4,5,POS000683,478.2000,945.7100,945.7100,1,1,2026-08-24T00:00:00.000
684,20260717,20260726,20260613,136,47,283,106,342,368,4,3,5,POS000684,478.9000,947.0800,947.0800,1,1,2026-08-24T00:00:00.000
685,20260724,20260823,20260731,373,283,42,481,269,489,5,7,5,POS000685,479.6000,948.4500,948.4500,1,1,2026-08-24T00:00:00.000
686,20260606,20260802,20260801,206,145,237,292,176,436,4,2,5,POS000686,480.3000,949.8200,949.8200,1,1,2026-08-24T00:00:00.000
687,20260616,20260604,20260607,100,359,198,435,183,230,12,2,1,POS000687,481.0000,951.1900,951.1900,1,1,2026-08-24T00:00:00.000
688,20260803,20260606,20260618,197,85,127,281,268,221,5,7,1,POS000688,481.7000,952.5600,952.5600,1,1,2026-08-24T00:00:00.000
689,20260604,20260805,20260716,460,333,140,488,166,102,4,2,5,POS000689,482.4000,953.9300,953.9300,1,1,2026-08-24T00:00:00.000
690,20260811,20260628,20260813,265,481,157,87,57,482,2,5,1,POS000690,483.1000,955.3000,955.3000,1,1,2026-08-24T00:00:00.000
691,20260610,20260531,20260714,426,321,206,64,141,273,9,7,1,POS000691,483.8000,956.6700,956.6700,1,1,2026-08-24T00:00:00.000
692,20260615,20260802,20260803,218,251,291,118,73,345,4,7,2,POS000692,484.5000,958.0400,958.0400,1,1,2026-08-24T00:00:00.000
693,20260615,20260619,20260527,315,420,445,435,136,296,10,3,1,POS000693,485.2000,959.4100,959.4100,1,1,2026-08-24T00:00:00.000
694,20260529,20260719,20260804,278,324,454,412,19,84,3,6,1,POS000694,485.9000,960.7800,960.7800,1,1,2026-08-24T00:00:00.000
695,20260527,20260702,20260715,423,206,210,464,331,236,8,2,5,POS000695,486.6000,962.1500,962.1500,1,1,2026-08-24T00:00:00.000
696,20260721,20260719,20260605,334,219,52,50,276,427,6,3,5,POS000696,487.3000,963.5200,963.5200,1,1,2026-08-24T00:00:00.000
697,20260714,20260711,20260805,36,47,147,-1,238,-1,8,2,3,POS000697,488.0000,964.8900,964.8900,1,1,2026-08-24T00:00:00.000
698,20260713,20260601,20260805,352,308,180,268,15,180,11,1,2,POS000698,488.7000,966.2600,966.2600,1,1,2026-08-24T00:00:00.000
699,20260623,20260617,20260723,406,30,358,429,172,37,1,2,3,POS000699,489.4000,967.6300,967.6300,1,1,2026-08-24T00:00:00.000
700,20260710,20260806,20260722,33,348,144,418,133,315,5,3,1,POS000700,490.1000,969.0000,969.0000,1,1,2026-08-24T00:00:00.000
701,20260816,20260615,20260820,434,288,243,263,96,7,6,6,2,POS000701,490.8000,970.3700,970.3700,1,1,2026-08-24T00:00:00.000
702,20260722,20260713,20260603,214,30,48,325,176,137,3,7,2,POS000702,491.5000,971.7400,971.7400,1,1,2026-08-24T00:00:00.000
703,20260803,20260702,20260610,48,402,407,363,12,468,9,1,3,POS000703,492.2000,973.1100,973.1100,1,1,2026-08-24T00:00:00.000
704,20260714,20260811,20260527,100,279,440,326,270,135,5,6,3,POS000704,492.9000,974.4800,974.4800,1,1,2026-08-24T00:00:00.000
705,20260527,20260531,20260722,367,447,290,180,32,55,2,4,4,POS000705,493.6000,975.8500,975.8500,1,1,2026-08-24T00:00:00.000
706,20260619,20260802,20260611,288,213,136,306,338,270,2,7,2,POS000706,494.3000,977.2200,977.2200,1,1,2026-08-24T00:00:00.000
707,20260628,20260607,20260711,122,3,347,325,44,272,2,1,4,POS000707,495.0000,978.5900,978.5900,1,1,2026-08-24T00:00:00.000
708,20260716,20260708,20260716,411,56,67,82,6,11,12,6,2,POS000708,495.7000,979.9600,979.9600,1,1,2026-08-24T00:00:00.000
709,20260602,20260622,20260817,209,491,255,296,318,2,2,6,1,POS000709,496.4000,981.3300,981.3300,1,1,2026-08-24T00:00:00.000
710,20260614,20260623,20260613,84,303,496,382,30,414,9,3,5,POS000710,497.1000,982.7000,982.7000,1,1,2026-08-24T00:00:00.000
711,20260701,20260527,20260816,211,231,88,116,132,492,12,7,1,POS000711,497.8000,984.0700,984.0700,1,1,2026-08-24T00:00:00.000
712,20260801,20260723,20260616,36,423,413,104,39,304,9,4,5,POS000712,498.5000,985.4400,985.4400,1,1,2026-08-24T00:00:00.000
713,20260602,20260614,20260630,246,343,362,383,80,116,4,6,3,POS000713,499.2000,986.8100,986.8100,1,1,2026-08-24T00:00:00.000
714,20260607,20260705,20260621,395,172,328,-1,283,-1,12,4,5,POS000714,499.9000,988.1800,988.1800,1,1,2026-08-24T00:00:00.000
715,20260824,20260624,20260707,26,125,495,80,155,11,12,2,2,POS000715,500.6000,989.5500,989.5500,1,1,2026-08-24T00:00:00.000
716,20260711,20260609,20260804,260,372,270,153,160,267,2,6,5,POS000716,501.3000,990.9200,990.9200,1,1,2026-08-24T00:00:00.000
717,20260610,20260613,20260626,345,104,33,448,196,151,10,3,3,POS000717,502.0000,992.2900,992.2900,1,1,2026-08-24T00:00:00.000
718,20260624,20260817,20260710,320,184,410,287,197,246,2,2,3,POS000718,502.7000,993.6600,993.6600,1,1,2026-08-24T00:00:00.000
719,20260711,20260619,20260822,18,350,157,63,314,479,6,2,2,POS000719,503.4000,995.0300,995.0300,1,1,2026-08-24T00:00:00.000
720,20260822,20260607,20260723,201,462,446,354,193,200,5,4,1,POS000720,504.1000,996.4000,996.4000,1,1,2026-08-24T00:00:00.000
721,20260809,20260722,20260711,430,186,32,156,284,473,12,2,3,POS000721,504.8000,997.7700,997.7700,1,1,2026-08-24T00:00:00.000
722,20260712,20260818,20260720,461,476,155,365,67,247,6,1,1,POS000722,505.5000,999.1400,999.1400,1,1,2026-08-24T00:00:00.000
723,20260617,20260808,20260709,427,50,62,286,208,34,7,2,5,POS000723,506.2000,1000.5100,1000.5100,1,1,2026-08-24T00:00:00.000
724,20260711,20260823,20260728,104,120,29,433,67,30,2,3,3,POS000724,506.9000,1001.8800,1001.8800,1,1,2026-08-24T00:00:00.000
725,20260726,20260618,20260721,385,205,493,158,92,285,10,2,5,POS000725,507.6000,1003.2500,1003.2500,1,1,2026-08-24T00:00:00.000
726,20260719,20260802,20260605,401,27,343,227,141,326,6,5,2,POS000726,508.3000,1004.6200,1004.6200,1,1,2026-08-24T00:00:00.000
727,20260619,20260706,20260718,419,234,110,422,153,249,8,4,2,POS000727,509.0000,1005.9900,1005.9900,1,1,2026-08-24T00:00:00.000
728,20260820,20260705,20260807,296,444,15,238,70,366,12,4,5,POS000728,509.7000,1007.3600,1007.3600,1,1,2026-08-24T00:00:00.000
729,20260602,20260618,20260614,102,368,301,468,110,412,1,7,4,POS000729,510.4000,1008.7300,1008.7300,1,1,2026-08-24T00:00:00.000
730,20260731,20260818,20260720,249,67,200,301,237,291,6,3,5,POS000730,511.1000,1010.1000,1010.1000,1,1,2026-08-24T00:00:00.000
731,20260628,20260728,20260611,469,20,106,-1,135,-1,8,2,4,POS000731,511.8000,1011.4700,1011.4700,1,1,2026-08-24T00:00:00.000
732,20260611,20260625,20260820,330,105,233,320,123,388,5,2,3,POS000732,512.5000,1012.8400,1012.8400,1,1,2026-08-24T00:00:00.000
733,20260705,20260619,20260809,7,487,358,416,229,240,2,6,1,POS000733,513.2000,1014.2100,1014.2100,1,1,2026-08-24T00:00:00.000
734,20260709,20260716,20260731,287,326,71,258,93,14,5,4,5,POS000734,513.9000,1015.5800,1015.5800,1,1,2026-08-24T00:00:00.000
735,20260603,20260731,20260717,482,158,416,63,102,147,11,1,1,POS000735,514.6000,1016.9500,1016.9500,1,1,2026-08-24T00:00:00.000
736,20260728,20260613,20260628,497,306,310,250,164,398,7,5,5,POS000736,515.3000,1018.3200,1018.3200,1,1,2026-08-24T00:00:00.000
737,20260704,20260720,20260819,347,135,55,260,165,360,12,3,1,POS000737,516.0000,1019.6900,1019.6900,1,1,2026-08-24T00:00:00.000
738,20260715,20260726,20260705,8,315,335,8,31,68,3,1,2,POS000738,516.7000,1021.0600,1021.0600,1,1,2026-08-24T00:00:00.000
739,20260725,20260716,20260808,28,224,197,75,62,172,12,2,1,POS000739,517.4000,1022.4300,1022.4300,1,1,2026-08-24T00:00:00.000
740,20260607,20260729,20260712,229,200,393,227,94,313,2,1,1,POS000740,518.1000,1023.8000,1023.8000,1,1,2026-08-24T00:00:00.000
741,20260723,20260618,20260620,429,398,60,204,193,390,2,2,2,POS000741,518.8000,1025.1700,1025.1700,1,1,2026-08-24T00:00:00.000
742,20260626,20260615,20260617,264,120,105,288,311,292,1,5,5,POS000742,519.5000,1026.5400,1026.5400,1,1,2026-08-24T00:00:00.000
743,20260721,20260712,20260713,54,142,244,152,187,421,10,2,1,POS000743,520.2000,1027.9100,1027.9100,1,1,2026-08-24T00:00:00.000
744,20260812,20260618,20260618,401,56,106,345,329,138,9,7,3,POS000744,520.9000,1029.2800,1029.2800,1,1,2026-08-24T00:00:00.000
745,20260705,20260806,20260712,446,457,459,376,327,251,10,7,2,POS000745,521.6000,1030.6500,1030.6500,1,1,2026-08-24T00:00:00.000
746,20260727,20260710,20260602,204,71,405,314,246,27,3,6,5,POS000746,522.3000,1032.0200,1032.0200,1,1,2026-08-24T00:00:00.000
747,20260723,20260802,20260817,255,67,353,19,112,348,2,2,1,POS000747,523.0000,1033.3900,1033.3900,1,1,2026-08-24T00:00:00.000
748,20260626,20260529,20260726,306,291,192,-1,12,-1,7,3,1,POS000748,523.7000,1034.7600,1034.7600,1,1,2026-08-24T00:00:00.000
749,20260613,20260823,20260527,229,21,59,375,186,446,4,6,3,POS000749,524.4000,1036.1300,1036.1300,1,1,2026-08-24T00:00:00.000
750,20260821,20260728,20260801,301,128,133,24,166,478,5,7,3,POS000750,525.1000,1037.5000,1037.5000,1,1,2026-08-24T00:00:00.000
751,20260615,20260701,20260609,68,240,95,75,150,17,7,5,3,POS000751,525.8000,1038.8700,1038.8700,1,1,2026-08-24T00:00:00.000
752,20260713,20260808,20260624,457,230,232,477,184,210,6,7,4,POS000752,526.5000,1040.2400,1040.2400,1,1,2026-08-24T00:00:00.000
753,20260811,20260604,20260711,494,46,377,43,77,450,9,5,1,POS000753,527.2000,1041.6100,1041.6100,1,1,2026-08-24T00:00:00.000
754,20260608,20260820,20260803,30,180,478,302,94,16,11,6,4,POS000754,527.9000,1042.9800,1042.9800,1,1,2026-08-24T00:00:00.000
755,20260714,20260609,20260621,335,321,448,356,169,359,12,5,4,POS000755,528.6000,1044.3500,1044.3500,1,1,2026-08-24T00:00:00.000
756,20260813,20260816,20260816,273,115,159,256,243,376,12,3,1,POS000756,529.3000,1045.7200,1045.7200,1,1,2026-08-24T00:00:00.000
757,20260612,20260726,20260612,298,350,215,427,86,133,1,4,4,POS000757,530.0000,1047.0900,1047.0900,1,1,2026-08-24T00:00:00.000
758,20260624,20260621,20260721,309,155,40,267,177,273,1,2,3,POS000758,530.7000,1048.4600,1048.4600,1,1,2026-08-24T00:00:00.000
759,20260801,20260621,20260613,72,454,81,146,256,155,7,3,2,POS000759,531.4000,1049.8300,1049.8300,1,1,2026-08-24T00:00:00.000
760,20260709,20260611,20260616,306,368,101,30,106,125,11,5,1,POS000760,532.1000,1051.2000,1051.2000,1,1,2026-08-24T00:00:00.000
761,20260709,20260803,20260608,142,133,250,147,267,238,12,6,3,POS000761,532.8000,1052.5700,1052.5700,1,1,2026-08-24T00:00:00.000
762,20260615,20260610,20260726,15,301,410,285,257,134,11,3,4,POS000762,533.5000,1053.9400,1053.9400,1,1,2026-08-24T00:00:00.000
763,20260711,20260612,20260720,74,142,54,236,136,467,10,5,3,POS000763,534.2000,1055.3100,1055.3100,1,1,2026-08-24T00:00:00.000
764,20260730,20260629,20260729,455,14,359,387,152,100,3,2,5,POS000764,534.9000,1056.6800,1056.6800,1,1,2026-08-24T00:00:00.000
765,20260803,20260708,20260624,5,455,136,-1,85,-1,2,2,1,POS000765,535.6000,1058.0500,1058.0500,1,1,2026-08-24T00:00:00.000
766,20260818,20260705,20260723,63,88,476,306,39,359,5,4,2,POS000766,536.3000,1059.4200,1059.4200,1,1,2026-08-24T00:00:00.000
767,20260713,20260710,20260620,243,457,470,250,287,178,7,5,1,POS000767,537.0000,1060.7900,1060.7900,1,1,2026-08-24T00:00:00.000
768,20260606,20260527,20260607,343,273,381,102,256,117,10,2,3,POS000768,537.7000,1062.1600,1062.1600,1,1,2026-08-24T00:00:00.000
769,20260804,20260706,20260711,357,429,461,483,5,479,3,3,2,POS000769,538.4000,1063.5300,1063.5300,1,1,2026-08-24T00:00:00.000
770,20260708,20260603,20260627,361,287,495,432,115,117,1,7,1,POS000770,539.1000,1064.9000,1064.9000,1,1,2026-08-24T00:00:00.000
771,20260724,20260615,20260803,463,10,437,168,316,32,12,7,2,POS000771,539.8000,1066.2700,1066.2700,1,1,2026-08-24T00:00:00.000
772,20260531,20260727,20260605,453,122,483,486,61,121,9,1,5,POS000772,540.5000,1067.6400,1067.6400,1,1,2026-08-24T00:00:00.000
773,20260611,20260728,20260716,53,224,497,94,287,295,11,4,5,POS000773,541.2000,1069.0100,1069.0100,1,1,2026-08-24T00:00:00.000
774,20260608,20260716,20260703,341,480,99,106,152,224,2,1,1,POS000774,541.9000,1070.3800,1070.3800,1,1,2026-08-24T00:00:00.000
775,20260729,20260714,20260625,232,426,443,309,232,347,12,4,3,POS000775,542.6000,1071.7500,1071.7500,1,1,2026-08-24T00:00:00.000
776,20260624,20260621,20260531,195,187,407,217,132,346,3,2,1,POS000776,543.3000,1073.1200,1073.1200,1,1,2026-08-24T00:00:00.000
777,20260702,20260710,20260701,38,327,60,342,38,486,6,4,4,POS000777,544.0000,1074.4900,1074.4900,1,1,2026-08-24T00:00:00.000
778,20260730,20260527,20260730,485,150,184,50,350,303,4,4,1,POS000778,544.7000,1075.8600,1075.8600,1,1,2026-08-24T00:00:00.000
779,20260707,20260530,20260804,152,463,178,38,273,149,2,7,1,POS000779,545.4000,1077.2300,1077.2300,1,1,2026-08-24T00:00:00.000
780,20260620,20260530,20260717,267,325,406,215,294,240,4,5,1,POS000780,546.1000,1078.6000,1078.6000,1,1,2026-08-24T00:00:00.000
781,20260809,20260716,20260819,190,170,168,149,297,165,4,5,1,POS000781,546.8000,1079.9700,1079.9700,1,1,2026-08-24T00:00:00.000
782,20260705,20260530,20260630,121,211,20,-1,300,-1,10,2,1,POS000782,547.5000,1081.3400,1081.3400,1,1,2026-08-24T00:00:00.000
783,20260609,20260619,20260730,470,300,30,243,86,147,11,5,2,POS000783,548.2000,1082.7100,1082.7100,1,1,2026-08-24T00:00:00.000
784,20260701,20260721,20260529,499,498,103,219,83,333,7,2,5,POS000784,548.9000,1084.0800,1084.0800,1,1,2026-08-24T00:00:00.000
785,20260820,20260610,20260617,481,35,139,31,165,160,9,3,4,POS000785,549.6000,1085.4500,1085.4500,1,1,2026-08-24T00:00:00.000
786,20260701,20260804,20260724,166,263,149,151,139,280,11,2,4,POS000786,550.3000,1086.8200,1086.8200,1,1,2026-08-24T00:00:00.000
787,20260726,20260619,20260806,478,104,445,149,213,153,6,3,1,POS000787,551.0000,1088.1900,1088.1900,1,1,2026-08-24T00:00:00.000
788,20260528,20260709,20260714,252,69,286,42,187,208,8,1,5,POS000788,551.7000,1089.5600,1089.5600,1,1,2026-08-24T00:00:00.000
789,20260618,20260702,20260817,195,344,187,280,82,233,8,5,3,POS000789,552.4000,1090.9300,1090.9300,1,1,2026-08-24T00:00:00.000
790,20260620,20260714,20260718,474,346,90,224,37,413,2,3,5,POS000790,553.1000,1092.3000,1092.3000,1,1,2026-08-24T00:00:00.000
791,20260718,20260527,20260611,289,217,61,373,139,202,11,1,5,POS000791,553.8000,1093.6700,1093.6700,1,1,2026-08-24T00:00:00.000
792,20260625,20260704,20260527,433,259,28,30,327,105,10,2,5,POS000792,554.5000,1095.0400,1095.0400,1,1,2026-08-24T00:00:00.000
793,20260628,20260629,20260709,265,178,301,359,175,406,11,2,5,POS000793,555.2000,1096.4100,1096.4100,1,1,2026-08-24T00:00:00.000
794,20260818,20260809,20260612,293,161,426,238,254,105,8,5,2,POS000794,555.9000,1097.7800,1097.7800,1,1,2026-08-24T00:00:00.000
795,20260817,20260705,20260606,193,103,265,443,177,395,3,2,2,POS000795,556.6000,1099.1500,1099.1500,1,1,2026-08-24T00:00:00.000
796,20260618,20260815,20260611,499,311,209,470,54,224,5,1,5,POS000796,557.3000,1100.5200,1100.5200,1,1,2026-08-24T00:00:00.000
797,20260809,20260819,20260611,497,470,356,465,277,155,5,3,5,POS000797,558.0000,1101.8900,1101.8900,1,1,2026-08-24T00:00:00.000
798,20260623,20260706,20260620,138,60,421,464,8,94,3,3,3,POS000798,558.7000,1103.2600,1103.2600,1,1,2026-08-24T00:00:00.000
799,20260601,20260702,20260626,405,62,146,-1,95,-1,2,4,1,POS000799,559.4000,1104.6300,1104.6300,1,1,2026-08-24T00:00:00.000
800,20260728,20260609,20260531,302,249,348,157,289,83,3,5,5,POS000800,560.1000,1106.0000,1106.0000,1,1,2026-08-24T00:00:00.000
801,20260530,20260621,20260720,370,461,325,38,177,38,2,3,1,POS000801,560.8000,1107.3700,1107.3700,1,1,2026-08-24T00:00:00.000
802,20260821,20260815,20260731,460,493,330,9,8,237,9,6,5,POS000802,561.5000,1108.7400,1108.7400,1,1,2026-08-24T00:00:00.000
803,20260621,20260626,20260616,286,497,372,384,109,353,7,7,1,POS000803,562.2000,1110.1100,1110.1100,1,1,2026-08-24T00:00:00.000
804,20260610,20260705,20260531,70,345,451,63,285,265,1,7,4,POS000804,562.9000,1111.4800,1111.4800,1,1,2026-08-24T00:00:00.000
805,20260723,20260710,20260807,229,259,110,465,254,380,3,6,2,POS000805,563.6000,1112.8500,1112.8500,1,1,2026-08-24T00:00:00.000
806,20260719,20260604,20260605,55,137,406,145,142,85,9,6,1,POS000806,564.3000,1114.2200,1114.2200,1,1,2026-08-24T00:00:00.000
807,20260624,20260614,20260805,480,54,162,236,122,115,2,3,1,POS000807,565.0000,1115.5900,1115.5900,1,1,2026-08-24T00:00:00.000
808,20260804,20260611,20260629,419,243,247,192,303,354,6,7,1,POS000808,565.7000,1116.9600,1116.9600,1,1,2026-08-24T00:00:00.000
809,20260721,20260624,20260809,125,436,280,238,181,382,5,7,3,POS000809,566.4000,1118.3300,1118.3300,1,1,2026-08-24T00:00:00.000
810,20260709,20260815,20260531,34,303,219,188,173,371,5,6,1,POS000810,567.1000,1119.7000,1119.7000,1,1,2026-08-24T00:00:00.000
811,20260720,20260618,20260720,160,351,482,249,219,135,11,1,2,POS000811,567.8000,1121.0700,1121.0700,1,1,2026-08-24T00:00:00.000
812,20260815,20260614,20260618,67,142,32,12,282,318,10,6,1,POS000812,568.5000,1122.4400,1122.4400,1,1,2026-08-24T00:00:00.000
813,20260615,20260805,20260816,216,182,321,67,277,205,7,3,4,POS000813,569.2000,1123.8100,1123.8100,1,1,2026-08-24T00:00:00.000
814,20260716,20260716,20260720,418,389,352,179,243,280,11,5,1,POS000814,569.9000,1125.1800,1125.1800,1,1,2026-08-24T00:00:00.000
815,20260622,20260712,20260606,44,304,301,155,180,500,2,5,5,POS000815,570.6000,1126.5500,1126.5500,1,1,2026-08-24T00:00:00.000
816,20260809,20260604,20260606,329,150,75,-1,159,-1,1,2,2,POS000816,571.3000,1127.9200,1127.9200,1,1,2026-08-24T00:00:00.000
817,20260702,20260817,20260714,229,487,224,421,52,264,2,6,4,POS000817,572.0000,1129.2900,1129.2900,1,1,2026-08-24T00:00:00.000
818,20260605,20260715,20260708,89,125,425,469,188,182,10,5,4,POS000818,572.7000,1130.6600,1130.6600,1,1,2026-08-24T00:00:00.000
819,20260625,20260625,20260812,186,145,342,450,247,228,9,3,4,POS000819,573.4000,1132.0300,1132.0300,1,1,2026-08-24T00:00:00.000
820,20260528,20260723,20260722,273,412,227,492,137,165,12,4,5,POS000820,574.1000,1133.4000,1133.4000,1,1,2026-08-24T00:00:00.000
821,20260813,20260815,20260614,253,191,425,254,214,215,1,3,3,POS000821,574.8000,1134.7700,1134.7700,1,1,2026-08-24T00:00:00.000
822,20260717,20260731,20260823,369,190,256,227,226,179,9,6,5,POS000822,575.5000,1136.1400,1136.1400,1,1,2026-08-24T00:00:00.000
823,20260707,20260612,20260605,52,356,164,163,168,437,8,6,3,POS000823,576.2000,1137.5100,1137.5100,1,1,2026-08-24T00:00:00.000
824,20260805,20260818,20260623,28,197,268,243,259,131,12,6,2,POS000824,576.9000,1138.8800,1138.8800,1,1,2026-08-24T00:00:00.000
825,20260712,20260619,20260730,433,224,337,92,222,107,6,7,3,POS000825,577.6000,1140.2500,1140.2500,1,1,2026-08-24T00:00:00.000
826,20260626,20260613,20260613,424,176,252,308,241,403,9,5,5,POS000826,578.3000,1141.6200,1141.6200,1,1,2026-08-24T00:00:00.000
827,20260812,20260703,20260701,242,155,79,313,38,60,4,4,5,POS000827,579.0000,1142.9900,1142.9900,1,1,2026-08-24T00:00:00.000
828,20260629,20260713,20260601,310,221,338,114,74,180,2,5,2,POS000828,579.7000,1144.3600,1144.3600,1,1,2026-08-24T00:00:00.000
829,20260716,20260809,20260727,28,60,320,129,209,177,10,1,1,POS000829,580.4000,1145.7300,1145.7300,1,1,2026-08-24T00:00:00.000
830,20260604,20260609,20260608,424,264,143,337,185,85,6,2,1,POS000830,581.1000,1147.1000,1147.1000,1,1,2026-08-24T00:00:00.000
831,20260819,20260624,20260728,294,26,56,331,72,80,12,3,4,POS000831,581.8000,1148.4700,1148.4700,1,1,2026-08-24T00:00:00.000
832,20260626,20260714,20260528,434,229,21,283,114,340,6,5,2,POS000832,582.5000,1149.8400,1149.8400,1,1,2026-08-24T00:00:00.000
833,20260708,20260809,20260613,171,297,75,-1,86,-1,4,6,4,POS000833,583.2000,1151.2100,1151.2100,1,1,2026-08-24T00:00:00.000
834,20260722,20260614,20260614,58,52,172,446,135,163,12,3,5,POS000834,583.9000,1152.5800,1152.5800,1,1,2026-08-24T00:00:00.000
835,20260602,20260717,20260728,449,245,32,129,249,90,7,1,1,POS000835,584.6000,1153.9500,1153.9500,1,1,2026-08-24T00:00:00.000
836,20260623,20260727,20260718,253,139,301,136,267,206,12,3,3,POS000836,585.3000,1155.3200,1155.3200,1,1,2026-08-24T00:00:00.000
837,20260622,20260719,20260720,235,291,286,290,301,118,10,5,4,POS000837,586.0000,1156.6900,1156.6900,1,1,2026-08-24T00:00:00.000
838,20260528,20260720,20260719,187,384,348,44,75,343,9,6,3,POS000838,586.7000,1158.0600,1158.0600,1,1,2026-08-24T00:00:00.000
839,20260818,20260626,20260610,459,79,428,85,29,120,5,4,2,POS000839,587.4000,1159.4300,1159.4300,1,1,2026-08-24T00:00:00.000
840,20260814,20260730,20260606,237,444,145,64,141,446,4,5,1,POS000840,588.1000,1160.8000,1160.8000,1,1,2026-08-24T00:00:00.000
841,20260531,20260726,20260716,13,301,305,8,76,385,5,2,3,POS000841,588.8000,1162.1700,1162.1700,1,1,2026-08-24T00:00:00.000
842,20260602,20260628,20260819,427,357,69,20,78,109,8,6,4,POS000842,589.5000,1163.5400,1163.5400,1,1,2026-08-24T00:00:00.000
843,20260619,20260607,20260601,155,48,216,420,37,443,8,1,4,POS000843,590.2000,1164.9100,1164.9100,1,1,2026-08-24T00:00:00.000
844,20260712,20260729,20260702,458,383,100,451,64,168,2,4,5,POS000844,590.9000,1166.2800,1166.2800,1,1,2026-08-24T00:00:00.000
845,20260617,20260703,20260613,215,24,208,325,24,306,12,6,3,POS000845,591.6000,1167.6500,1167.6500,1,1,2026-08-24T00:00:00.000
