MachineStateEventKey,StartDateKey,EndDateKey,StartTimeOfDayKey,EndTimeOfDayKey,MachineKey,MachineStateKey,WorkCenterKey,PlantKey,ProductionShiftKey,MachineStateTypeKey,StateEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
196,20260701,20260619,54840,67320,151,12,380,85,186,4,MSE000196,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260619,20260719,23280,36240,426,495,354,77,295,1,MSE000197,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260824,20260618,28500,84000,485,81,303,90,231,11,MSE000198,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260711,20260812,8460,17700,480,227,420,307,442,7,MSE000199,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260701,20260603,46380,5640,222,62,427,224,359,1,MSE000200,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260721,20260804,81960,63120,233,381,476,123,117,7,MSE000201,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260706,20260731,73980,45240,478,368,305,295,441,12,MSE000202,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260818,20260730,57780,28500,40,450,309,88,116,1,MSE000203,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260814,20260719,72600,8040,381,500,236,59,-1,2,MSE000204,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260716,20260802,29820,39780,454,182,358,153,433,1,MSE000205,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260802,20260703,58860,62100,192,381,293,13,344,8,MSE000206,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260529,20260614,81420,16080,403,364,313,336,258,10,MSE000207,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260823,20260819,32400,44340,115,210,109,172,497,9,MSE000208,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260808,20260604,72060,61380,345,59,117,120,495,3,MSE000209,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260818,20260615,1740,36300,271,496,43,105,82,12,MSE000210,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260820,20260611,81720,77460,255,489,409,27,395,1,MSE000211,212,299.0700,216.0000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260709,20260616,25920,64380,299,420,443,31,144,8,MSE000212,213,300.4400,217.0000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260625,20260618,49440,62040,267,186,42,231,146,11,MSE000213,214,301.8100,218.0000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260820,20260528,35640,69480,390,340,163,35,332,11,MSE000214,215,303.1800,219.0000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260803,20260726,47520,10920,81,32,263,173,94,12,MSE000215,216,304.5500,220.0000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260603,20260816,4320,54000,257,184,26,53,348,2,MSE000216,217,305.9200,221.0000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260625,20260717,51060,22140,475,301,2,46,233,5,MSE000217,218,307.2900,222.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260528,20260616,15060,51120,65,22,279,71,206,3,MSE000218,219,308.6600,223.0000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260702,20260729,16740,20460,400,10,126,164,99,5,MSE000219,220,310.0300,224.0000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260808,20260725,9240,12300,190,239,247,184,425,4,MSE000220,221,311.4000,225.0000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260622,20260528,5460,62640,272,198,336,261,-1,10,MSE000221,222,312.7700,226.0000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260816,20260630,4080,70800,283,51,14,184,126,9,MSE000222,223,314.1400,227.0000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260722,20260808,54480,79320,14,307,450,130,484,9,MSE000223,224,315.5100,228.0000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260701,20260615,47160,9360,440,147,312,106,92,12,MSE000224,225,316.8800,229.0000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260807,20260602,67380,25140,456,21,161,181,287,3,MSE000225,226,318.2500,230.0000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260703,20260630,79620,40860,47,295,224,242,231,4,MSE000226,227,319.6200,231.0000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260820,20260815,37620,34200,493,203,76,155,146,3,MSE000227,228,320.9900,232.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260702,20260820,26280,80640,289,382,31,194,146,5,MSE000228,229,322.3600,233.0000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260805,20260814,8100,69060,168,253,479,35,130,9,MSE000229,230,323.7300,234.0000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260805,20260720,84900,53220,219,99,360,84,475,10,MSE000230,231,325.1000,235.0000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260807,20260814,18420,38400,209,191,71,308,224,3,MSE000231,232,326.4700,236.0000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260710,20260814,72240,55620,141,73,2,289,172,9,MSE000232,233,327.8400,237.0000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260819,20260817,33360,60300,218,245,361,265,394,5,MSE000233,234,329.2100,238.0000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260712,20260801,16320,10320,190,33,462,19,38,11,MSE000234,235,330.5800,239.0000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260803,20260724,52020,8520,396,56,153,263,296,1,MSE000235,236,331.9500,240.0000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260714,20260709,46680,41040,210,326,69,62,229,2,MSE000236,237,333.3200,241.0000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260818,20260711,1200,29580,136,91,183,303,73,10,MSE000237,238,334.6900,242.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260704,20260818,13920,37200,179,30,207,146,-1,9,MSE000238,239,336.0600,243.0000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260610,20260721,23700,77580,76,60,233,338,415,9,MSE000239,240,337.4300,244.0000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260704,20260629,49680,35400,254,102,139,275,153,8,MSE000240,241,338.8000,245.0000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260706,20260720,63240,53040,7,442,164,67,250,7,MSE000241,242,340.1700,246.0000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260615,20260809,71160,76080,127,111,473,47,105,7,MSE000242,243,341.5400,247.0000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260824,20260615,54720,62880,87,148,294,30,473,3,MSE000243,244,342.9100,248.0000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260613,20260817,42240,1140,249,352,50,145,223,12,MSE000244,245,344.2800,249.0000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260709,20260813,40620,72900,410,50,477,103,81,1,MSE000245,246,345.6500,250.0000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260802,20260607,29100,77460,349,303,66,80,183,12,MSE000246,247,347.0200,251.0000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260705,20260716,62160,75240,297,7,321,108,139,12,MSE000247,248,348.3900,252.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260527,20260624,13080,26820,110,102,416,36,279,7,MSE000248,249,349.7600,253.0000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260611,20260820,25260,46500,193,180,86,190,364,5,MSE000249,250,351.1300,254.0000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260629,20260806,27360,59820,318,343,346,135,212,1,MSE000250,251,352.5000,255.0000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260706,20260625,81420,37080,209,233,222,197,253,4,MSE000251,252,353.8700,256.0000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260606,20260714,52620,84720,479,222,139,163,182,10,MSE000252,253,355.2400,257.0000,355.2400,1,1,2026-08-24T00:00:00.000
253,20260620,20260821,9840,10200,24,16,3,204,138,5,MSE000253,254,356.6100,258.0000,356.6100,1,1,2026-08-24T00:00:00.000
254,20260805,20260821,79380,79860,372,192,241,331,76,12,MSE000254,255,357.9800,259.0000,357.9800,1,1,2026-08-24T00:00:00.000
255,20260712,20260608,48960,1920,427,405,419,70,-1,11,MSE000255,256,359.3500,260.0000,359.3500,1,1,2026-08-24T00:00:00.000
256,20260721,20260602,68220,50820,402,364,268,157,226,12,MSE000256,257,360.7200,261.0000,360.7200,1,1,2026-08-24T00:00:00.000
257,20260822,20260607,76380,21000,91,494,173,240,416,12,MSE000257,258,362.0900,262.0000,362.0900,1,1,2026-08-24T00:00:00.000
258,20260622,20260730,85860,42180,100,496,273,118,490,5,MSE000258,259,363.4600,263.0000,363.4600,1,1,2026-08-24T00:00:00.000
259,20260808,20260724,66300,69060,286,325,298,149,127,4,MSE000259,260,364.8300,264.0000,364.8300,1,1,2026-08-24T00:00:00.000
260,20260616,20260804,69240,6660,19,98,63,106,491,5,MSE000260,261,366.2000,265.0000,366.2000,1,1,2026-08-24T00:00:00.000
261,20260611,20260623,43260,46320,240,325,449,152,431,7,MSE000261,262,367.5700,266.0000,367.5700,1,1,2026-08-24T00:00:00.000
262,20260617,20260731,71820,77820,353,72,277,228,326,6,MSE000262,263,368.9400,267.0000,368.9400,1,1,2026-08-24T00:00:00.000
263,20260821,20260807,15360,81780,425,319,9,275,396,9,MSE000263,264,370.3100,268.0000,370.3100,1,1,2026-08-24T00:00:00.000
264,20260630,20260821,49800,30000,13,120,192,149,98,1,MSE000264,265,371.6800,269.0000,371.6800,1,1,2026-08-24T00:00:00.000
265,20260816,20260601,52020,10020,454,398,411,48,245,8,MSE000265,266,373.0500,270.0000,373.0500,1,1,2026-08-24T00:00:00.000
266,20260817,20260610,6000,50340,119,436,132,156,332,5,MSE000266,267,374.4200,271.0000,374.4200,1,1,2026-08-24T00:00:00.000
267,20260606,20260701,2100,14220,348,21,341,5,90,12,MSE000267,268,375.7900,272.0000,375.7900,1,1,2026-08-24T00:00:00.000
268,20260802,20260804,68820,65580,377,277,100,96,171,9,MSE000268,269,377.1600,273.0000,377.1600,1,1,2026-08-24T00:00:00.000
269,20260607,20260801,46020,24000,317,426,120,193,355,11,MSE000269,270,378.5300,274.0000,378.5300,1,1,2026-08-24T00:00:00.000
270,20260724,20260705,17100,37920,454,496,318,331,81,10,MSE000270,271,379.9000,275.0000,379.9000,1,1,2026-08-24T00:00:00.000
271,20260529,20260610,5340,70440,61,6,243,292,1,4,MSE000271,272,381.2700,276.0000,381.2700,1,1,2026-08-24T00:00:00.000
272,20260712,20260603,46680,13500,500,52,177,12,-1,9,MSE000272,273,382.6400,277.0000,382.6400,1,1,2026-08-24T00:00:00.000
273,20260816,20260720,76380,36240,30,88,127,247,146,4,MSE000273,274,384.0100,278.0000,384.0100,1,1,2026-08-24T00:00:00.000
274,20260701,20260812,48000,55980,297,46,144,143,161,10,MSE000274,275,385.3800,279.0000,385.3800,1,1,2026-08-24T00:00:00.000
275,20260822,20260601,57780,28380,21,134,39,255,50,10,MSE000275,276,386.7500,280.0000,386.7500,1,1,2026-08-24T00:00:00.000
276,20260721,20260809,72540,6540,78,30,246,191,163,6,MSE000276,277,388.1200,281.0000,388.1200,1,1,2026-08-24T00:00:00.000
277,20260731,20260628,37320,33720,90,328,267,17,316,4,MSE000277,278,389.4900,282.0000,389.4900,1,1,2026-08-24T00:00:00.000
278,20260723,20260720,66600,81600,399,378,85,97,461,3,MSE000278,279,390.8600,283.0000,390.8600,1,1,2026-08-24T00:00:00.000
279,20260727,20260728,600,30960,351,41,436,290,77,4,MSE000279,280,392.2300,284.0000,392.2300,1,1,2026-08-24T00:00:00.000
280,20260820,20260713,72060,77760,8,477,278,108,115,7,MSE000280,281,393.6000,285.0000,393.6000,1,1,2026-08-24T00:00:00.000
281,20260622,20260618,27180,36060,190,253,36,63,315,8,MSE000281,282,394.9700,286.0000,394.9700,1,1,2026-08-24T00:00:00.000
282,20260814,20260727,59820,70500,280,220,320,30,142,4,MSE000282,283,396.3400,287.0000,396.3400,1,1,2026-08-24T00:00:00.000
283,20260712,20260627,14760,43740,342,339,311,189,328,12,MSE000283,284,397.7100,288.0000,397.7100,1,1,2026-08-24T00:00:00.000
284,20260531,20260717,65940,48060,132,216,136,121,293,5,MSE000284,285,399.0800,289.0000,399.0800,1,1,2026-08-24T00:00:00.000
285,20260818,20260716,56760,80880,73,165,485,10,94,12,MSE000285,286,400.4500,290.0000,400.4500,1,1,2026-08-24T00:00:00.000
286,20260629,20260709,2820,24120,275,489,27,249,160,10,MSE000286,287,401.8200,291.0000,401.8200,1,1,2026-08-24T00:00:00.000
287,20260628,20260611,28380,70620,480,122,25,94,3,10,MSE000287,288,403.1900,292.0000,403.1900,1,1,2026-08-24T00:00:00.000
288,20260820,20260730,79800,480,102,186,127,100,340,11,MSE000288,289,404.5600,293.0000,404.5600,1,1,2026-08-24T00:00:00.000
289,20260722,20260818,13860,41040,171,339,258,3,-1,8,MSE000289,290,405.9300,294.0000,405.9300,1,1,2026-08-24T00:00:00.000
290,20260701,20260810,70680,35520,179,366,262,19,239,8,MSE000290,291,407.3000,295.0000,407.3000,1,1,2026-08-24T00:00:00.000
291,20260808,20260612,39480,43920,430,216,154,199,299,12,MSE000291,292,408.6700,296.0000,408.6700,1,1,2026-08-24T00:00:00.000
292,20260630,20260603,14280,7200,201,190,22,85,274,11,MSE000292,293,410.0400,297.0000,410.0400,1,1,2026-08-24T00:00:00.000
293,20260612,20260609,9300,31020,278,150,266,84,406,7,MSE000293,294,411.4100,298.0000,411.4100,1,1,2026-08-24T00:00:00.000
294,20260608,20260720,12180,38040,323,231,464,220,161,4,MSE000294,295,412.7800,299.0000,412.7800,1,1,2026-08-24T00:00:00.000
295,20260815,20260802,19860,2160,293,450,305,82,392,8,MSE000295,296,414.1500,300.0000,414.1500,1,1,2026-08-24T00:00:00.000
296,20260819,20260813,83460,60660,307,424,118,206,218,12,MSE000296,297,415.5200,301.0000,415.5200,1,1,2026-08-24T00:00:00.000
297,20260606,20260816,57060,79320,354,101,70,236,246,10,MSE000297,298,416.8900,302.0000,416.8900,1,1,2026-08-24T00:00:00.000
298,20260723,20260730,66540,1380,222,302,188,164,342,12,MSE000298,299,418.2600,303.0000,418.2600,1,1,2026-08-24T00:00:00.000
299,20260717,20260717,47400,29940,17,18,388,267,377,2,MSE000299,300,419.6300,304.0000,419.6300,1,1,2026-08-24T00:00:00.000
300,20260823,20260731,71940,16620,441,240,162,219,182,4,MSE000300,301,421.0000,305.0000,421.0000,1,1,2026-08-24T00:00:00.000
301,20260710,20260814,65400,33120,195,270,80,124,201,4,MSE000301,302,422.3700,306.0000,422.3700,1,1,2026-08-24T00:00:00.000
302,20260617,20260530,5820,28020,172,35,8,238,406,10,MSE000302,303,423.7400,307.0000,423.7400,1,1,2026-08-24T00:00:00.000
303,20260531,20260626,54900,4980,116,403,415,319,261,12,MSE000303,304,425.1100,308.0000,425.1100,1,1,2026-08-24T00:00:00.000
304,20260713,20260601,33300,73800,38,117,60,98,350,6,MSE000304,305,426.4800,309.0000,426.4800,1,1,2026-08-24T00:00:00.000
305,20260620,20260821,60420,50700,82,439,222,53,7,4,MSE000305,306,427.8500,310.0000,427.8500,1,1,2026-08-24T00:00:00.000
306,20260630,20260724,34980,71160,400,462,431,274,-1,9,MSE000306,307,429.2200,311.0000,429.2200,1,1,2026-08-24T00:00:00.000
307,20260611,20260715,23460,33000,63,324,81,72,392,6,MSE000307,308,430.5900,312.0000,430.5900,1,1,2026-08-24T00:00:00.000
308,20260822,20260530,54660,8700,335,133,18,217,74,10,MSE000308,309,431.9600,313.0000,431.9600,1,1,2026-08-24T00:00:00.000
309,20260730,20260721,55680,28080,47,433,279,82,307,2,MSE000309,310,433.3300,314.0000,433.3300,1,1,2026-08-24T00:00:00.000
310,20260719,20260626,85980,24540,184,472,285,152,117,5,MSE000310,311,434.7000,315.0000,434.7000,1,1,2026-08-24T00:00:00.000
311,20260527,20260606,2340,19080,297,174,49,180,409,6,MSE000311,312,436.0700,316.0000,436.0700,1,1,2026-08-24T00:00:00.000
312,20260815,20260817,39600,7440,47,442,415,37,112,8,MSE000312,313,437.4400,317.0000,437.4400,1,1,2026-08-24T00:00:00.000
313,20260604,20260601,75060,27480,216,108,61,77,147,3,MSE000313,314,438.8100,318.0000,438.8100,1,1,2026-08-24T00:00:00.000
314,20260705,20260711,37920,26940,292,387,394,14,76,5,MSE000314,315,440.1800,319.0000,440.1800,1,1,2026-08-24T00:00:00.000
315,20260619,20260625,50940,79200,292,294,432,298,24,3,MSE000315,316,441.5500,320.0000,441.5500,1,1,2026-08-24T00:00:00.000
316,20260607,20260723,18600,74040,90,308,361,283,486,10,MSE000316,317,442.9200,321.0000,442.9200,1,1,2026-08-24T00:00:00.000
317,20260820,20260824,18900,20940,83,475,89,234,480,2,MSE000317,318,444.2900,322.0000,444.2900,1,1,2026-08-24T00:00:00.000
318,20260605,20260723,75120,9720,122,91,322,296,81,5,MSE000318,319,445.6600,323.0000,445.6600,1,1,2026-08-24T00:00:00.000
319,20260627,20260705,45120,900,349,267,470,30,296,4,MSE000319,320,447.0300,324.0000,447.0300,1,1,2026-08-24T00:00:00.000
320,20260606,20260613,26880,74160,245,162,24,105,239,5,MSE000320,321,448.4000,325.0000,448.4000,1,1,2026-08-24T00:00:00.000
321,20260617,20260817,68040,79200,289,139,89,158,297,6,MSE000321,322,449.7700,326.0000,449.7700,1,1,2026-08-24T00:00:00.000
322,20260729,20260728,21720,1560,259,47,192,79,208,10,MSE000322,323,451.1400,327.0000,451.1400,1,1,2026-08-24T00:00:00.000
323,20260616,20260719,37920,11940,427,169,93,193,-1,12,MSE000323,324,452.5100,328.0000,452.5100,1,1,2026-08-24T00:00:00.000
324,20260711,20260821,51780,3240,280,430,145,153,284,5,MSE000324,325,453.8800,329.0000,453.8800,1,1,2026-08-24T00:00:00.000
325,20260625,20260703,78600,71640,52,320,414,316,297,4,MSE000325,326,455.2500,330.0000,455.2500,1,1,2026-08-24T00:00:00.000
326,20260709,20260606,54600,56940,437,473,411,17,477,3,MSE000326,327,456.6200,331.0000,456.6200,1,1,2026-08-24T00:00:00.000
327,20260712,20260811,51840,30540,253,405,414,225,244,4,MSE000327,328,457.9900,332.0000,457.9900,1,1,2026-08-24T00:00:00.000
328,20260725,20260620,68760,60180,266,234,197,211,287,2,MSE000328,329,459.3600,333.0000,459.3600,1,1,2026-08-24T00:00:00.000
329,20260617,20260528,62880,52320,474,24,246,223,105,1,MSE000329,330,460.7300,334.0000,460.7300,1,1,2026-08-24T00:00:00.000
330,20260816,20260603,60960,71460,77,49,354,339,500,11,MSE000330,331,462.1000,335.0000,462.1000,1,1,2026-08-24T00:00:00.000
331,20260628,20260614,82500,28260,159,469,410,350,152,7,MSE000331,332,463.4700,336.0000,463.4700,1,1,2026-08-24T00:00:00.000
332,20260610,20260609,13440,77580,141,388,454,116,101,12,MSE000332,333,464.8400,337.0000,464.8400,1,1,2026-08-24T00:00:00.000
333,20260707,20260708,78120,25980,90,274,117,211,218,3,MSE000333,334,466.2100,338.0000,466.2100,1,1,2026-08-24T00:00:00.000
334,20260807,20260720,62580,27420,239,27,448,141,171,7,MSE000334,335,467.5800,339.0000,467.5800,1,1,2026-08-24T00:00:00.000
335,20260602,20260613,31860,56040,177,93,237,150,44,5,MSE000335,336,468.9500,340.0000,468.9500,1,1,2026-08-24T00:00:00.000
336,20260617,20260712,77520,13200,240,158,301,259,224,12,MSE000336,337,470.3200,341.0000,470.3200,1,1,2026-08-24T00:00:00.000
337,20260529,20260610,43560,840,172,485,16,70,454,8,MSE000337,338,471.6900,342.0000,471.6900,1,1,2026-08-24T00:00:00.000
338,20260821,20260605,63960,55380,150,73,482,108,126,3,MSE000338,339,473.0600,343.0000,473.0600,1,1,2026-08-24T00:00:00.000
339,20260606,20260808,35640,3240,228,278,124,164,434,2,MSE000339,340,474.4300,344.0000,474.4300,1,1,2026-08-24T00:00:00.000
340,20260610,20260807,2700,64020,177,461,199,316,-1,7,MSE000340,341,475.8000,345.0000,475.8000,1,1,2026-08-24T00:00:00.000
341,20260619,20260818,16920,27840,198,55,2,188,27,12,MSE000341,342,477.1700,346.0000,477.1700,1,1,2026-08-24T00:00:00.000
342,20260603,20260530,3300,20820,147,88,174,185,320,12,MSE000342,343,478.5400,347.0000,478.5400,1,1,2026-08-24T00:00:00.000
343,20260715,20260716,65880,46620,260,220,313,246,225,1,MSE000343,344,479.9100,348.0000,479.9100,1,1,2026-08-24T00:00:00.000
344,20260724,20260603,32640,5880,301,10,42,161,242,8,MSE000344,345,481.2800,349.0000,481.2800,1,1,2026-08-24T00:00:00.000
345,20260530,20260531,42300,34320,132,111,334,63,170,9,MSE000345,346,482.6500,350.0000,482.6500,1,1,2026-08-24T00:00:00.000
346,20260528,20260628,4020,26640,293,329,461,195,473,3,MSE000346,347,484.0200,351.0000,484.0200,1,1,2026-08-24T00:00:00.000
347,20260807,20260717,86160,27300,216,145,198,161,431,10,MSE000347,348,485.3900,352.0000,485.3900,1,1,2026-08-24T00:00:00.000
348,20260805,20260808,78180,10500,481,38,431,47,280,12,MSE000348,349,486.7600,353.0000,486.7600,1,1,2026-08-24T00:00:00.000
349,20260709,20260704,8460,44700,120,270,242,237,254,8,MSE000349,350,488.1300,354.0000,488.1300,1,1,2026-08-24T00:00:00.000
350,20260710,20260723,86220,56760,212,269,161,226,161,11,MSE000350,351,489.5000,355.0000,489.5000,1,1,2026-08-24T00:00:00.000
351,20260626,20260618,66120,53220,175,147,447,70,11,12,MSE000351,352,490.8700,356.0000,490.8700,1,1,2026-08-24T00:00:00.000
352,20260716,20260811,46080,16080,93,438,88,342,371,7,MSE000352,353,492.2400,357.0000,492.2400,1,1,2026-08-24T00:00:00.000
353,20260820,20260822,77700,8760,354,218,434,78,354,4,MSE000353,354,493.6100,358.0000,493.6100,1,1,2026-08-24T00:00:00.000
354,20260802,20260721,57900,31500,196,46,55,112,345,5,MSE000354,355,494.9800,359.0000,494.9800,1,1,2026-08-24T00:00:00.000
355,20260611,20260706,66240,6840,481,171,17,102,255,7,MSE000355,356,496.3500,360.0000,496.3500,1,1,2026-08-24T00:00:00.000
356,20260711,20260729,64320,79200,19,495,470,62,297,9,MSE000356,357,497.7200,361.0000,497.7200,1,1,2026-08-24T00:00:00.000
357,20260713,20260629,50220,33900,284,261,217,195,-1,3,MSE000357,358,499.0900,362.0000,499.0900,1,1,2026-08-24T00:00:00.000
358,20260721,20260723,86280,5580,213,249,319,326,354,10,MSE000358,359,500.4600,363.0000,500.4600,1,1,2026-08-24T00:00:00.000
359,20260824,20260726,55800,26280,439,197,205,286,461,8,MSE000359,360,501.8300,364.0000,501.8300,1,1,2026-08-24T00:00:00.000
360,20260816,20260803,13320,32940,235,477,495,154,41,11,MSE000360,361,503.2000,365.0000,503.2000,1,1,2026-08-24T00:00:00.000
361,20260530,20260622,40860,21480,462,425,17,230,267,9,MSE000361,362,504.5700,366.0000,504.5700,1,1,2026-08-24T00:00:00.000
362,20260618,20260602,240,23460,294,163,93,264,177,9,MSE000362,363,505.9400,367.0000,505.9400,1,1,2026-08-24T00:00:00.000
363,20260605,20260729,43320,31440,216,7,259,255,205,12,MSE000363,364,507.3100,368.0000,507.3100,1,1,2026-08-24T00:00:00.000
364,20260819,20260527,13080,1380,155,317,379,40,396,2,MSE000364,365,508.6800,369.0000,508.6800,1,1,2026-08-24T00:00:00.000
365,20260723,20260725,64860,41580,129,223,61,12,49,12,MSE000365,366,510.0500,370.0000,510.0500,1,1,2026-08-24T00:00:00.000
366,20260528,20260626,70980,33600,322,404,471,115,68,12,MSE000366,367,511.4200,371.0000,511.4200,1,1,2026-08-24T00:00:00.000
367,20260627,20260602,4020,24600,437,19,258,142,10,4,MSE000367,368,512.7900,372.0000,512.7900,1,1,2026-08-24T00:00:00.000
368,20260527,20260701,27840,43440,170,136,498,268,119,7,MSE000368,369,514.1600,373.0000,514.1600,1,1,2026-08-24T00:00:00.000
369,20260607,20260817,83160,22920,203,128,417,240,388,7,MSE000369,370,515.5300,374.0000,515.5300,1,1,2026-08-24T00:00:00.000
370,20260813,20260621,20520,18840,461,79,439,245,115,3,MSE000370,371,516.9000,375.0000,516.9000,1,1,2026-08-24T00:00:00.000
371,20260705,20260606,55140,20040,142,403,349,332,287,7,MSE000371,372,518.2700,376.0000,518.2700,1,1,2026-08-24T00:00:00.000
372,20260530,20260609,82140,21960,119,237,117,292,118,3,MSE000372,373,519.6400,377.0000,519.6400,1,1,2026-08-24T00:00:00.000
373,20260804,20260727,49560,69120,322,114,155,39,419,7,MSE000373,374,521.0100,378.0000,521.0100,1,1,2026-08-24T00:00:00.000
374,20260702,20260619,82260,56100,31,354,240,339,-1,1,MSE000374,375,522.3800,379.0000,522.3800,1,1,2026-08-24T00:00:00.000
375,20260725,20260728,10620,42720,186,55,34,148,295,12,MSE000375,376,523.7500,380.0000,523.7500,1,1,2026-08-24T00:00:00.000
376,20260617,20260824,25080,82560,462,324,283,69,39,3,MSE000376,377,525.1200,381.0000,525.1200,1,1,2026-08-24T00:00:00.000
377,20260619,20260707,72600,47520,483,159,102,87,221,9,MSE000377,378,526.4900,382.0000,526.4900,1,1,2026-08-24T00:00:00.000
378,20260816,20260718,63540,23400,366,321,410,305,135,10,MSE000378,379,527.8600,383.0000,527.8600,1,1,2026-08-24T00:00:00.000
379,20260810,20260606,48060,2040,74,239,226,345,397,5,MSE000379,380,529.2300,384.0000,529.2300,1,1,2026-08-24T00:00:00.000
380,20260811,20260804,38520,73380,454,463,146,79,72,9,MSE000380,381,530.6000,385.0000,530.6000,1,1,2026-08-24T00:00:00.000
381,20260719,20260620,33480,56160,141,73,461,304,220,9,MSE000381,382,531.9700,386.0000,531.9700,1,1,2026-08-24T00:00:00.000
382,20260719,20260728,57480,22260,8,41,94,276,133,7,MSE000382,383,533.3400,387.0000,533.3400,1,1,2026-08-24T00:00:00.000
383,20260708,20260611,12060,70140,488,219,460,332,231,3,MSE000383,384,534.7100,388.0000,534.7100,1,1,2026-08-24T00:00:00.000
384,20260719,20260527,23700,78840,236,369,408,271,109,7,MSE000384,385,536.0800,389.0000,536.0800,1,1,2026-08-24T00:00:00.000
385,20260610,20260818,81000,27240,280,46,254,53,478,1,MSE000385,386,537.4500,390.0000,537.4500,1,1,2026-08-24T00:00:00.000
386,20260809,20260812,26340,41040,270,92,190,21,219,12,MSE000386,387,538.8200,391.0000,538.8200,1,1,2026-08-24T00:00:00.000
387,20260724,20260819,20280,44280,204,457,179,158,266,8,MSE000387,388,540.1900,392.0000,540.1900,1,1,2026-08-24T00:00:00.000
388,20260628,20260810,51000,79620,12,167,346,288,336,2,MSE000388,389,541.5600,393.0000,541.5600,1,1,2026-08-24T00:00:00.000
389,20260727,20260706,7380,2940,411,455,418,92,496,3,MSE000389,390,542.9300,394.0000,542.9300,1,1,2026-08-24T00:00:00.000
390,20260613,20260528,75660,19020,338,402,132,166,457,1,MSE000390,391,544.3000,395.0000,544.3000,1,1,2026-08-24T00:00:00.000
391,20260527,20260808,28200,44640,158,220,407,132,-1,9,MSE000391,392,545.6700,396.0000,545.6700,1,1,2026-08-24T00:00:00.000
392,20260731,20260713,45480,15960,324,97,218,272,493,11,MSE000392,393,547.0400,397.0000,547.0400,1,1,2026-08-24T00:00:00.000
