QualitySpcSampleKey,SampleDateKey,SampleTimeOfDayKey,QualityInspectionCharacteristicKey,ProductKey,WorkCenterKey,PlantKey,QualityResultStatusKey,UnitOfMeasureKey,ControlChartNumber,SubgroupNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
211,20260629,22260,416,201,174,291,3,2,QSS000211,211,212,299.0700,216.0000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260628,20340,325,225,298,277,6,4,QSS000212,212,213,300.4400,217.0000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260613,10080,248,276,426,277,3,3,QSS000213,213,214,301.8100,218.0000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260713,10740,275,450,306,196,7,3,QSS000214,214,215,303.1800,219.0000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260720,17040,36,76,480,119,5,2,QSS000215,215,216,304.5500,220.0000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260626,40740,425,417,318,194,1,1,QSS000216,216,217,305.9200,221.0000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260728,23280,315,362,44,173,6,7,QSS000217,217,218,307.2900,222.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260614,27120,66,45,390,187,11,7,QSS000218,218,219,308.6600,223.0000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260725,38160,439,276,167,248,6,5,QSS000219,219,220,310.0300,224.0000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260617,11460,14,372,167,331,7,1,QSS000220,220,221,311.4000,225.0000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260717,65520,264,322,28,192,11,6,QSS000221,221,222,312.7700,226.0000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260713,16020,116,424,54,303,2,2,QSS000222,222,223,314.1400,227.0000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260707,25380,133,219,297,1,5,7,QSS000223,223,224,315.5100,228.0000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260601,83220,412,61,98,245,7,5,QSS000224,224,225,316.8800,229.0000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260618,51300,459,176,164,7,10,1,QSS000225,225,226,318.2500,230.0000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260811,39360,7,107,449,293,11,3,QSS000226,226,227,319.6200,231.0000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260820,76260,469,257,161,233,1,3,QSS000227,227,228,320.9900,232.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260708,22140,398,423,471,147,1,1,QSS000228,228,229,322.3600,233.0000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260723,16260,229,214,136,115,3,6,QSS000229,229,230,323.7300,234.0000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260820,69360,254,201,35,117,1,3,QSS000230,230,231,325.1000,235.0000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260815,9300,49,56,482,80,12,3,QSS000231,231,232,326.4700,236.0000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260808,9360,339,79,59,198,5,7,QSS000232,232,233,327.8400,237.0000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260808,25380,444,469,120,4,7,4,QSS000233,233,234,329.2100,238.0000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260805,2040,335,214,301,178,12,1,QSS000234,234,235,330.5800,239.0000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260806,13140,277,269,383,51,4,6,QSS000235,235,236,331.9500,240.0000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260711,20640,45,128,27,146,6,2,QSS000236,236,237,333.3200,241.0000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260807,21420,22,469,288,201,7,6,QSS000237,237,238,334.6900,242.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260701,21660,102,289,115,69,5,5,QSS000238,238,239,336.0600,243.0000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260704,45180,142,454,269,181,10,5,QSS000239,239,240,337.4300,244.0000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260731,66540,448,284,155,123,4,6,QSS000240,240,241,338.8000,245.0000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260808,20220,255,85,31,193,8,2,QSS000241,241,242,340.1700,246.0000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260704,11340,427,84,275,132,11,3,QSS000242,242,243,341.5400,247.0000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260616,71400,111,212,240,232,8,7,QSS000243,243,244,342.9100,248.0000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260702,51540,133,28,323,255,6,2,QSS000244,244,245,344.2800,249.0000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260603,29100,72,443,98,197,8,5,QSS000245,245,246,345.6500,250.0000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260716,51960,70,75,210,6,3,7,QSS000246,246,247,347.0200,251.0000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260803,78420,327,410,109,298,5,4,QSS000247,247,248,348.3900,252.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260621,66000,242,93,63,138,11,7,QSS000248,248,249,349.7600,253.0000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260615,30600,278,447,282,340,6,6,QSS000249,249,250,351.1300,254.0000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260813,44340,101,375,62,350,5,5,QSS000250,250,251,352.5000,255.0000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260809,78600,476,479,225,323,8,3,QSS000251,251,252,353.8700,256.0000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260531,56940,93,487,178,279,8,3,QSS000252,252,253,355.2400,257.0000,355.2400,1,1,2026-08-24T00:00:00.000
