PurchaseInvoiceMatchKey,InvoiceDateKey,MatchDateKey,PostingDateKey,PurchaseOrderLineKey,SupplierKey,ProductKey,CostCenterKey,PurchaseInvoiceMatchStatusKey,CurrencyKey,SupplierInvoiceNumber,SupplierInvoiceLineNumber,InvoiceQuantity,InvoiceAmount,QuantityVariance,PriceVarianceAmount,SourceSystemKey,BatchId,LoadedAtUtc
1022,20260723,20260628,20260704,179,38,39,327,3,2,PIM001022,1022,715.5000,1410.1400,715.5000,1410.1400,1,1,2026-08-24T00:00:00.000
1023,20260602,20260708,20260801,361,54,231,122,1,4,PIM001023,1023,716.2000,1411.5100,716.2000,1411.5100,1,1,2026-08-24T00:00:00.000
1024,20260823,20260707,20260613,349,344,164,188,7,4,PIM001024,1024,716.9000,1412.8800,716.9000,1412.8800,1,1,2026-08-24T00:00:00.000
1025,20260628,20260713,20260803,358,292,476,364,7,5,PIM001025,1025,717.6000,1414.2500,717.6000,1414.2500,1,1,2026-08-24T00:00:00.000
1026,20260708,20260818,20260726,312,306,216,412,2,1,PIM001026,1026,718.3000,1415.6200,718.3000,1415.6200,1,1,2026-08-24T00:00:00.000
1027,20260620,20260602,20260805,321,449,113,361,4,1,PIM001027,1027,719.0000,1416.9900,719.0000,1416.9900,1,1,2026-08-24T00:00:00.000
1028,20260724,20260807,20260822,249,498,92,264,2,2,PIM001028,1028,719.7000,1418.3600,719.7000,1418.3600,1,1,2026-08-24T00:00:00.000
1029,20260704,20260731,20260801,42,156,313,235,6,1,PIM001029,1029,720.4000,1419.7300,720.4000,1419.7300,1,1,2026-08-24T00:00:00.000
1030,20260731,20260821,20260724,102,169,398,500,4,1,PIM001030,1030,721.1000,1421.1000,721.1000,1421.1000,1,1,2026-08-24T00:00:00.000
1031,20260705,20260818,20260629,109,319,130,417,1,4,PIM001031,1031,721.8000,1422.4700,721.8000,1422.4700,1,1,2026-08-24T00:00:00.000
1032,20260616,20260706,20260606,166,77,396,61,4,2,PIM001032,1032,722.5000,1423.8400,722.5000,1423.8400,1,1,2026-08-24T00:00:00.000
1033,20260528,20260807,20260629,51,218,495,106,3,1,PIM001033,1033,723.2000,1425.2100,723.2000,1425.2100,1,1,2026-08-24T00:00:00.000
1034,20260630,20260612,20260711,218,330,57,185,8,2,PIM001034,1034,723.9000,1426.5800,723.9000,1426.5800,1,1,2026-08-24T00:00:00.000
1035,20260716,20260719,20260714,21,33,410,171,6,4,PIM001035,1035,724.6000,1427.9500,724.6000,1427.9500,1,1,2026-08-24T00:00:00.000
1036,20260604,20260713,20260717,42,159,389,217,1,2,PIM001036,1036,725.3000,1429.3200,725.3000,1429.3200,1,1,2026-08-24T00:00:00.000
1037,20260803,20260814,20260805,142,395,-1,-1,1,1,PIM001037,1037,726.0000,1430.6900,726.0000,1430.6900,1,1,2026-08-24T00:00:00.000
1038,20260712,20260730,20260806,345,296,441,147,9,5,PIM001038,1038,726.7000,1432.0600,726.7000,1432.0600,1,1,2026-08-24T00:00:00.000
1039,20260814,20260810,20260804,320,487,367,49,1,1,PIM001039,1039,727.4000,1433.4300,727.4000,1433.4300,1,1,2026-08-24T00:00:00.000
1040,20260713,20260622,20260630,280,363,336,372,7,2,PIM001040,1040,728.1000,1434.8000,728.1000,1434.8000,1,1,2026-08-24T00:00:00.000
1041,20260603,20260805,20260801,155,379,309,322,7,4,PIM001041,1041,728.8000,1436.1700,728.8000,1436.1700,1,1,2026-08-24T00:00:00.000
1042,20260527,20260702,20260708,315,122,72,319,1,2,PIM001042,1042,729.5000,1437.5400,729.5000,1437.5400,1,1,2026-08-24T00:00:00.000
1043,20260623,20260808,20260716,132,282,249,444,8,5,PIM001043,1043,730.2000,1438.9100,730.2000,1438.9100,1,1,2026-08-24T00:00:00.000
1044,20260807,20260803,20260628,348,474,62,405,2,2,PIM001044,1044,730.9000,1440.2800,730.9000,1440.2800,1,1,2026-08-24T00:00:00.000
1045,20260618,20260722,20260807,423,399,25,324,6,5,PIM001045,1045,731.6000,1441.6500,731.6000,1441.6500,1,1,2026-08-24T00:00:00.000
1046,20260607,20260726,20260715,302,107,488,370,7,4,PIM001046,1046,732.3000,1443.0200,732.3000,1443.0200,1,1,2026-08-24T00:00:00.000
1047,20260823,20260610,20260623,110,429,391,88,3,1,PIM001047,1047,733.0000,1444.3900,733.0000,1444.3900,1,1,2026-08-24T00:00:00.000
1048,20260604,20260613,20260820,434,24,117,310,4,2,PIM001048,1048,733.7000,1445.7600,733.7000,1445.7600,1,1,2026-08-24T00:00:00.000
1049,20260708,20260619,20260823,60,323,35,192,4,5,PIM001049,1049,734.4000,1447.1300,734.4000,1447.1300,1,1,2026-08-24T00:00:00.000
1050,20260629,20260804,20260610,219,394,101,80,4,1,PIM001050,1050,735.1000,1448.5000,735.1000,1448.5000,1,1,2026-08-24T00:00:00.000
1051,20260604,20260821,20260710,101,41,191,291,6,5,PIM001051,1051,735.8000,1449.8700,735.8000,1449.8700,1,1,2026-08-24T00:00:00.000
1052,20260620,20260714,20260527,34,381,392,188,9,3,PIM001052,1052,736.5000,1451.2400,736.5000,1451.2400,1,1,2026-08-24T00:00:00.000
1053,20260625,20260713,20260529,236,271,81,46,5,4,PIM001053,1053,737.2000,1452.6100,737.2000,1452.6100,1,1,2026-08-24T00:00:00.000
1054,20260527,20260811,20260730,371,284,-1,-1,1,2,PIM001054,1054,737.9000,1453.9800,737.9000,1453.9800,1,1,2026-08-24T00:00:00.000
1055,20260703,20260717,20260707,293,11,64,40,9,4,PIM001055,1055,738.6000,1455.3500,738.6000,1455.3500,1,1,2026-08-24T00:00:00.000
1056,20260810,20260703,20260715,432,205,304,235,6,1,PIM001056,1056,739.3000,1456.7200,739.3000,1456.7200,1,1,2026-08-24T00:00:00.000
1057,20260814,20260619,20260610,420,135,37,198,9,2,PIM001057,1057,740.0000,1458.0900,740.0000,1458.0900,1,1,2026-08-24T00:00:00.000
1058,20260610,20260618,20260617,147,124,405,264,9,3,PIM001058,1058,740.7000,1459.4600,740.7000,1459.4600,1,1,2026-08-24T00:00:00.000
1059,20260616,20260807,20260722,366,497,335,197,6,3,PIM001059,1059,741.4000,1460.8300,741.4000,1460.8300,1,1,2026-08-24T00:00:00.000
1060,20260629,20260804,20260819,144,419,487,366,2,5,PIM001060,1060,742.1000,1462.2000,742.1000,1462.2000,1,1,2026-08-24T00:00:00.000
1061,20260824,20260719,20260714,209,61,381,336,6,1,PIM001061,1061,742.8000,1463.5700,742.8000,1463.5700,1,1,2026-08-24T00:00:00.000
1062,20260815,20260819,20260603,377,395,101,201,2,5,PIM001062,1062,743.5000,1464.9400,743.5000,1464.9400,1,1,2026-08-24T00:00:00.000
1063,20260608,20260629,20260630,195,3,193,302,3,2,PIM001063,1063,744.2000,1466.3100,744.2000,1466.3100,1,1,2026-08-24T00:00:00.000
1064,20260823,20260601,20260527,60,3,299,6,4,3,PIM001064,1064,744.9000,1467.6800,744.9000,1467.6800,1,1,2026-08-24T00:00:00.000
1065,20260816,20260529,20260720,418,237,370,192,9,2,PIM001065,1065,745.6000,1469.0500,745.6000,1469.0500,1,1,2026-08-24T00:00:00.000
1066,20260621,20260630,20260803,211,82,361,63,7,5,PIM001066,1066,746.3000,1470.4200,746.3000,1470.4200,1,1,2026-08-24T00:00:00.000
1067,20260809,20260607,20260716,53,119,466,328,9,3,PIM001067,1067,747.0000,1471.7900,747.0000,1471.7900,1,1,2026-08-24T00:00:00.000
1068,20260628,20260808,20260726,294,405,11,52,7,3,PIM001068,1068,747.7000,1473.1600,747.7000,1473.1600,1,1,2026-08-24T00:00:00.000
1069,20260603,20260612,20260603,422,140,361,217,2,5,PIM001069,1069,748.4000,1474.5300,748.4000,1474.5300,1,1,2026-08-24T00:00:00.000
1070,20260614,20260606,20260706,371,246,122,198,3,3,PIM001070,1070,749.1000,1475.9000,749.1000,1475.9000,1,1,2026-08-24T00:00:00.000
1071,20260712,20260727,20260618,106,232,-1,-1,3,3,PIM001071,1071,749.8000,1477.2700,749.8000,1477.2700,1,1,2026-08-24T00:00:00.000
1072,20260627,20260807,20260824,71,219,498,182,7,3,PIM001072,1072,750.5000,1478.6400,750.5000,1478.6400,1,1,2026-08-24T00:00:00.000
1073,20260818,20260620,20260701,492,35,343,368,6,1,PIM001073,1073,751.2000,1480.0100,751.2000,1480.0100,1,1,2026-08-24T00:00:00.000
1074,20260823,20260806,20260811,7,103,307,459,5,4,PIM001074,1074,751.9000,1481.3800,751.9000,1481.3800,1,1,2026-08-24T00:00:00.000
1075,20260604,20260605,20260717,62,206,394,225,1,5,PIM001075,1075,752.6000,1482.7500,752.6000,1482.7500,1,1,2026-08-24T00:00:00.000
1076,20260611,20260606,20260528,10,55,212,434,5,4,PIM001076,1076,753.3000,1484.1200,753.3000,1484.1200,1,1,2026-08-24T00:00:00.000
1077,20260822,20260622,20260611,453,149,458,221,1,4,PIM001077,1077,754.0000,1485.4900,754.0000,1485.4900,1,1,2026-08-24T00:00:00.000
1078,20260617,20260628,20260823,477,241,412,126,2,1,PIM001078,1078,754.7000,1486.8600,754.7000,1486.8600,1,1,2026-08-24T00:00:00.000
1079,20260809,20260818,20260711,296,438,33,37,5,4,PIM001079,1079,755.4000,1488.2300,755.4000,1488.2300,1,1,2026-08-24T00:00:00.000
1080,20260528,20260529,20260704,206,372,475,98,7,3,PIM001080,1080,756.1000,1489.6000,756.1000,1489.6000,1,1,2026-08-24T00:00:00.000
1081,20260618,20260621,20260701,118,489,12,331,3,5,PIM001081,1081,756.8000,1490.9700,756.8000,1490.9700,1,1,2026-08-24T00:00:00.000
1082,20260622,20260815,20260706,206,50,268,297,8,3,PIM001082,1082,757.5000,1492.3400,757.5000,1492.3400,1,1,2026-08-24T00:00:00.000
1083,20260619,20260703,20260731,251,267,431,389,8,3,PIM001083,1083,758.2000,1493.7100,758.2000,1493.7100,1,1,2026-08-24T00:00:00.000
1084,20260819,20260818,20260713,47,264,310,205,1,1,PIM001084,1084,758.9000,1495.0800,758.9000,1495.0800,1,1,2026-08-24T00:00:00.000
1085,20260818,20260803,20260708,270,421,63,94,2,2,PIM001085,1085,759.6000,1496.4500,759.6000,1496.4500,1,1,2026-08-24T00:00:00.000
1086,20260619,20260609,20260701,133,360,100,86,6,3,PIM001086,1086,760.3000,1497.8200,760.3000,1497.8200,1,1,2026-08-24T00:00:00.000
1087,20260628,20260812,20260610,340,303,130,328,2,2,PIM001087,1087,761.0000,1499.1900,761.0000,1499.1900,1,1,2026-08-24T00:00:00.000
1088,20260821,20260615,20260622,332,219,-1,-1,5,4,PIM001088,1088,761.7000,1500.5600,761.7000,1500.5600,1,1,2026-08-24T00:00:00.000
1089,20260609,20260607,20260715,391,421,67,450,7,5,PIM001089,1089,762.4000,1501.9300,762.4000,1501.9300,1,1,2026-08-24T00:00:00.000
1090,20260722,20260617,20260805,101,471,40,59,4,2,PIM001090,1090,763.1000,1503.3000,763.1000,1503.3000,1,1,2026-08-24T00:00:00.000
1091,20260821,20260717,20260605,349,332,313,213,1,5,PIM001091,1091,763.8000,1504.6700,763.8000,1504.6700,1,1,2026-08-24T00:00:00.000
1092,20260710,20260602,20260619,390,159,357,457,1,1,PIM001092,1092,764.5000,1506.0400,764.5000,1506.0400,1,1,2026-08-24T00:00:00.000
1093,20260725,20260809,20260720,68,206,255,50,7,3,PIM001093,1093,765.2000,1507.4100,765.2000,1507.4100,1,1,2026-08-24T00:00:00.000
1094,20260725,20260804,20260717,385,354,374,64,9,5,PIM001094,1094,765.9000,1508.7800,765.9000,1508.7800,1,1,2026-08-24T00:00:00.000
1095,20260530,20260605,20260802,478,150,411,77,2,5,PIM001095,1095,766.6000,1510.1500,766.6000,1510.1500,1,1,2026-08-24T00:00:00.000
1096,20260614,20260724,20260606,500,124,141,416,5,4,PIM001096,1096,767.3000,1511.5200,767.3000,1511.5200,1,1,2026-08-24T00:00:00.000
1097,20260628,20260724,20260809,422,151,492,165,3,4,PIM001097,1097,768.0000,1512.8900,768.0000,1512.8900,1,1,2026-08-24T00:00:00.000
1098,20260824,20260630,20260810,71,380,324,155,3,2,PIM001098,1098,768.7000,1514.2600,768.7000,1514.2600,1,1,2026-08-24T00:00:00.000
1099,20260620,20260530,20260803,26,125,87,372,2,3,PIM001099,1099,769.4000,1515.6300,769.4000,1515.6300,1,1,2026-08-24T00:00:00.000
1100,20260723,20260818,20260724,356,219,217,359,6,4,PIM001100,1100,770.1000,1517.0000,770.1000,1517.0000,1,1,2026-08-24T00:00:00.000
1101,20260607,20260727,20260627,296,350,498,264,7,5,PIM001101,1101,770.8000,1518.3700,770.8000,1518.3700,1,1,2026-08-24T00:00:00.000
1102,20260819,20260626,20260610,87,485,35,21,4,5,PIM001102,1102,771.5000,1519.7400,771.5000,1519.7400,1,1,2026-08-24T00:00:00.000
1103,20260729,20260809,20260817,338,353,310,277,9,3,PIM001103,1103,772.2000,1521.1100,772.2000,1521.1100,1,1,2026-08-24T00:00:00.000
1104,20260702,20260817,20260706,254,463,424,152,3,5,PIM001104,1104,772.9000,1522.4800,772.9000,1522.4800,1,1,2026-08-24T00:00:00.000
1105,20260710,20260531,20260722,308,227,-1,-1,7,5,PIM001105,1105,773.6000,1523.8500,773.6000,1523.8500,1,1,2026-08-24T00:00:00.000
1106,20260527,20260527,20260601,369,486,454,349,5,1,PIM001106,1106,774.3000,1525.2200,774.3000,1525.2200,1,1,2026-08-24T00:00:00.000
1107,20260616,20260629,20260527,191,98,346,66,8,3,PIM001107,1107,775.0000,1526.5900,775.0000,1526.5900,1,1,2026-08-24T00:00:00.000
1108,20260714,20260824,20260823,151,35,169,383,6,5,PIM001108,1108,775.7000,1527.9600,775.7000,1527.9600,1,1,2026-08-24T00:00:00.000
1109,20260712,20260615,20260814,356,67,215,242,5,1,PIM001109,1109,776.4000,1529.3300,776.4000,1529.3300,1,1,2026-08-24T00:00:00.000
1110,20260720,20260728,20260701,471,19,214,159,5,3,PIM001110,1110,777.1000,1530.7000,777.1000,1530.7000,1,1,2026-08-24T00:00:00.000
1111,20260722,20260812,20260630,479,45,309,263,2,1,PIM001111,1111,777.8000,1532.0700,777.8000,1532.0700,1,1,2026-08-24T00:00:00.000
1112,20260616,20260806,20260712,238,49,220,396,2,4,PIM001112,1112,778.5000,1533.4400,778.5000,1533.4400,1,1,2026-08-24T00:00:00.000
1113,20260718,20260529,20260704,370,129,102,242,6,1,PIM001113,1113,779.2000,1534.8100,779.2000,1534.8100,1,1,2026-08-24T00:00:00.000
1114,20260722,20260812,20260813,297,228,233,337,6,5,PIM001114,1114,779.9000,1536.1800,779.9000,1536.1800,1,1,2026-08-24T00:00:00.000
1115,20260716,20260721,20260611,442,190,238,38,6,4,PIM001115,1115,780.6000,1537.5500,780.6000,1537.5500,1,1,2026-08-24T00:00:00.000
1116,20260813,20260812,20260721,338,191,345,233,3,5,PIM001116,1116,781.3000,1538.9200,781.3000,1538.9200,1,1,2026-08-24T00:00:00.000
1117,20260608,20260702,20260620,188,222,446,249,3,4,PIM001117,1117,782.0000,1540.2900,782.0000,1540.2900,1,1,2026-08-24T00:00:00.000
1118,20260815,20260812,20260603,339,56,369,8,9,5,PIM001118,1118,782.7000,1541.6600,782.7000,1541.6600,1,1,2026-08-24T00:00:00.000
1119,20260607,20260603,20260609,128,496,276,452,2,4,PIM001119,1119,783.4000,1543.0300,783.4000,1543.0300,1,1,2026-08-24T00:00:00.000
1120,20260820,20260602,20260811,95,149,253,369,2,1,PIM001120,1120,784.1000,1544.4000,784.1000,1544.4000,1,1,2026-08-24T00:00:00.000
1121,20260703,20260611,20260603,239,444,21,96,5,4,PIM001121,1121,784.8000,1545.7700,784.8000,1545.7700,1,1,2026-08-24T00:00:00.000
1122,20260810,20260814,20260601,129,149,-1,-1,2,4,PIM001122,1122,785.5000,1547.1400,785.5000,1547.1400,1,1,2026-08-24T00:00:00.000
1123,20260802,20260710,20260610,144,268,260,205,2,1,PIM001123,1123,786.2000,1548.5100,786.2000,1548.5100,1,1,2026-08-24T00:00:00.000
1124,20260531,20260626,20260731,441,173,475,323,4,2,PIM001124,1124,786.9000,1549.8800,786.9000,1549.8800,1,1,2026-08-24T00:00:00.000
1125,20260616,20260729,20260718,186,450,89,277,8,1,PIM001125,1125,787.6000,1551.2500,787.6000,1551.2500,1,1,2026-08-24T00:00:00.000
1126,20260720,20260808,20260619,223,467,383,369,3,4,PIM001126,1126,788.3000,1552.6200,788.3000,1552.6200,1,1,2026-08-24T00:00:00.000
1127,20260614,20260612,20260619,194,93,30,422,2,4,PIM001127,1127,789.0000,1553.9900,789.0000,1553.9900,1,1,2026-08-24T00:00:00.000
1128,20260720,20260731,20260714,277,196,233,359,9,3,PIM001128,1128,789.7000,1555.3600,789.7000,1555.3600,1,1,2026-08-24T00:00:00.000
1129,20260608,20260701,20260806,300,101,254,347,2,3,PIM001129,1129,790.4000,1556.7300,790.4000,1556.7300,1,1,2026-08-24T00:00:00.000
1130,20260604,20260819,20260802,202,1,19,263,8,5,PIM001130,1130,791.1000,1558.1000,791.1000,1558.1000,1,1,2026-08-24T00:00:00.000
1131,20260706,20260627,20260707,249,395,136,75,3,3,PIM001131,1131,791.8000,1559.4700,791.8000,1559.4700,1,1,2026-08-24T00:00:00.000
1132,20260807,20260707,20260721,337,324,148,246,5,5,PIM001132,1132,792.5000,1560.8400,792.5000,1560.8400,1,1,2026-08-24T00:00:00.000
1133,20260723,20260529,20260714,326,115,120,357,4,2,PIM001133,1133,793.2000,1562.2100,793.2000,1562.2100,1,1,2026-08-24T00:00:00.000
1134,20260706,20260822,20260618,377,339,74,302,1,3,PIM001134,1134,793.9000,1563.5800,793.9000,1563.5800,1,1,2026-08-24T00:00:00.000
1135,20260709,20260820,20260819,54,320,162,144,6,1,PIM001135,1135,794.6000,1564.9500,794.6000,1564.9500,1,1,2026-08-24T00:00:00.000
1136,20260815,20260802,20260719,177,82,229,239,2,3,PIM001136,1136,795.3000,1566.3200,795.3000,1566.3200,1,1,2026-08-24T00:00:00.000
1137,20260609,20260815,20260815,224,283,190,5,6,1,PIM001137,1137,796.0000,1567.6900,796.0000,1567.6900,1,1,2026-08-24T00:00:00.000
1138,20260808,20260628,20260817,200,120,461,412,6,2,PIM001138,1138,796.7000,1569.0600,796.7000,1569.0600,1,1,2026-08-24T00:00:00.000
1139,20260820,20260717,20260701,280,210,-1,-1,2,1,PIM001139,1139,797.4000,1570.4300,797.4000,1570.4300,1,1,2026-08-24T00:00:00.000
1140,20260704,20260613,20260722,224,197,319,375,2,5,PIM001140,1140,798.1000,1571.8000,798.1000,1571.8000,1,1,2026-08-24T00:00:00.000
1141,20260824,20260620,20260806,304,428,497,238,1,5,PIM001141,1141,798.8000,1573.1700,798.8000,1573.1700,1,1,2026-08-24T00:00:00.000
1142,20260607,20260812,20260717,66,249,243,392,9,4,PIM001142,1142,799.5000,1574.5400,799.5000,1574.5400,1,1,2026-08-24T00:00:00.000
1143,20260801,20260820,20260810,105,275,158,369,1,1,PIM001143,1143,800.2000,1575.9100,800.2000,1575.9100,1,1,2026-08-24T00:00:00.000
1144,20260724,20260812,20260619,105,149,493,419,8,2,PIM001144,1144,800.9000,1577.2800,800.9000,1577.2800,1,1,2026-08-24T00:00:00.000
1145,20260702,20260608,20260707,320,491,175,124,3,4,PIM001145,1145,801.6000,1578.6500,801.6000,1578.6500,1,1,2026-08-24T00:00:00.000
1146,20260812,20260803,20260531,83,42,497,324,6,5,PIM001146,1146,802.3000,1580.0200,802.3000,1580.0200,1,1,2026-08-24T00:00:00.000
1147,20260722,20260723,20260722,270,459,448,240,1,4,PIM001147,1147,803.0000,1581.3900,803.0000,1581.3900,1,1,2026-08-24T00:00:00.000
1148,20260614,20260818,20260616,97,13,363,342,7,3,PIM001148,1148,803.7000,1582.7600,803.7000,1582.7600,1,1,2026-08-24T00:00:00.000
1149,20260808,20260606,20260626,370,296,36,338,7,3,PIM001149,1149,804.4000,1584.1300,804.4000,1584.1300,1,1,2026-08-24T00:00:00.000
1150,20260813,20260610,20260711,213,213,316,279,3,4,PIM001150,1150,805.1000,1585.5000,805.1000,1585.5000,1,1,2026-08-24T00:00:00.000
1151,20260811,20260703,20260529,322,245,61,218,5,4,PIM001151,1151,805.8000,1586.8700,805.8000,1586.8700,1,1,2026-08-24T00:00:00.000
1152,20260620,20260820,20260613,472,183,376,319,1,3,PIM001152,1152,806.5000,1588.2400,806.5000,1588.2400,1,1,2026-08-24T00:00:00.000
1153,20260619,20260610,20260805,317,163,25,465,6,1,PIM001153,1153,807.2000,1589.6100,807.2000,1589.6100,1,1,2026-08-24T00:00:00.000
1154,20260818,20260720,20260629,384,245,319,403,8,3,PIM001154,1154,807.9000,1590.9800,807.9000,1590.9800,1,1,2026-08-24T00:00:00.000
1155,20260628,20260819,20260618,36,311,167,471,2,2,PIM001155,1155,808.6000,1592.3500,808.6000,1592.3500,1,1,2026-08-24T00:00:00.000
1156,20260529,20260611,20260728,86,226,-1,-1,5,1,PIM001156,1156,809.3000,1593.7200,809.3000,1593.7200,1,1,2026-08-24T00:00:00.000
1157,20260624,20260612,20260722,311,288,388,182,8,2,PIM001157,1157,810.0000,1595.0900,810.0000,1595.0900,1,1,2026-08-24T00:00:00.000
1158,20260703,20260821,20260811,358,409,1,209,5,5,PIM001158,1158,810.7000,1596.4600,810.7000,1596.4600,1,1,2026-08-24T00:00:00.000
1159,20260603,20260726,20260821,46,289,85,149,4,3,PIM001159,1159,811.4000,1597.8300,811.4000,1597.8300,1,1,2026-08-24T00:00:00.000
1160,20260712,20260529,20260701,25,393,79,53,2,5,PIM001160,1160,812.1000,1599.2000,812.1000,1599.2000,1,1,2026-08-24T00:00:00.000
1161,20260623,20260710,20260715,169,230,379,272,6,4,PIM001161,1161,812.8000,1600.5700,812.8000,1600.5700,1,1,2026-08-24T00:00:00.000
1162,20260610,20260821,20260731,478,28,191,206,3,3,PIM001162,1162,813.5000,1601.9400,813.5000,1601.9400,1,1,2026-08-24T00:00:00.000
1163,20260808,20260707,20260702,201,396,181,197,4,1,PIM001163,1163,814.2000,1603.3100,814.2000,1603.3100,1,1,2026-08-24T00:00:00.000
1164,20260607,20260726,20260817,384,90,146,17,1,3,PIM001164,1164,814.9000,1604.6800,814.9000,1604.6800,1,1,2026-08-24T00:00:00.000
1165,20260731,20260820,20260620,261,17,10,386,5,4,PIM001165,1165,815.6000,1606.0500,815.6000,1606.0500,1,1,2026-08-24T00:00:00.000
1166,20260818,20260804,20260730,355,392,92,110,6,5,PIM001166,1166,816.3000,1607.4200,816.3000,1607.4200,1,1,2026-08-24T00:00:00.000
1167,20260819,20260607,20260803,407,470,473,327,8,4,PIM001167,1167,817.0000,1608.7900,817.0000,1608.7900,1,1,2026-08-24T00:00:00.000
1168,20260817,20260704,20260807,353,264,220,314,4,4,PIM001168,1168,817.7000,1610.1600,817.7000,1610.1600,1,1,2026-08-24T00:00:00.000
1169,20260625,20260803,20260722,103,303,10,430,4,1,PIM001169,1169,818.4000,1611.5300,818.4000,1611.5300,1,1,2026-08-24T00:00:00.000
1170,20260801,20260810,20260602,276,472,169,252,4,3,PIM001170,1170,819.1000,1612.9000,819.1000,1612.9000,1,1,2026-08-24T00:00:00.000
1171,20260611,20260619,20260722,432,38,22,126,8,5,PIM001171,1171,819.8000,1614.2700,819.8000,1614.2700,1,1,2026-08-24T00:00:00.000
1172,20260820,20260619,20260628,212,376,394,386,1,2,PIM001172,1172,820.5000,1615.6400,820.5000,1615.6400,1,1,2026-08-24T00:00:00.000
1173,20260712,20260816,20260624,182,458,-1,-1,8,4,PIM001173,1173,821.2000,1617.0100,821.2000,1617.0100,1,1,2026-08-24T00:00:00.000
1174,20260604,20260628,20260529,16,295,344,315,8,5,PIM001174,1174,821.9000,1618.3800,821.9000,1618.3800,1,1,2026-08-24T00:00:00.000
1175,20260621,20260601,20260604,359,366,459,468,5,5,PIM001175,1175,822.6000,1619.7500,822.6000,1619.7500,1,1,2026-08-24T00:00:00.000
1176,20260727,20260726,20260607,391,305,411,401,3,3,PIM001176,1176,823.3000,1621.1200,823.3000,1621.1200,1,1,2026-08-24T00:00:00.000
1177,20260720,20260810,20260628,398,263,138,144,8,1,PIM001177,1177,824.0000,1622.4900,824.0000,1622.4900,1,1,2026-08-24T00:00:00.000
1178,20260625,20260612,20260622,359,312,447,287,9,4,PIM001178,1178,824.7000,1623.8600,824.7000,1623.8600,1,1,2026-08-24T00:00:00.000
1179,20260719,20260720,20260721,273,16,5,140,5,2,PIM001179,1179,825.4000,1625.2300,825.4000,1625.2300,1,1,2026-08-24T00:00:00.000
1180,20260622,20260605,20260622,297,21,334,184,3,5,PIM001180,1180,826.1000,1626.6000,826.1000,1626.6000,1,1,2026-08-24T00:00:00.000
1181,20260708,20260624,20260531,100,381,52,221,1,1,PIM001181,1181,826.8000,1627.9700,826.8000,1627.9700,1,1,2026-08-24T00:00:00.000
1182,20260618,20260720,20260630,258,218,125,454,1,4,PIM001182,1182,827.5000,1629.3400,827.5000,1629.3400,1,1,2026-08-24T00:00:00.000
1183,20260613,20260717,20260802,63,297,321,446,6,1,PIM001183,1183,828.2000,1630.7100,828.2000,1630.7100,1,1,2026-08-24T00:00:00.000
1184,20260630,20260805,20260530,203,235,499,208,4,1,PIM001184,1184,828.9000,1632.0800,828.9000,1632.0800,1,1,2026-08-24T00:00:00.000
1185,20260815,20260601,20260723,477,203,100,205,8,2,PIM001185,1185,829.6000,1633.4500,829.6000,1633.4500,1,1,2026-08-24T00:00:00.000
1186,20260613,20260701,20260616,386,110,217,384,9,4,PIM001186,1186,830.3000,1634.8200,830.3000,1634.8200,1,1,2026-08-24T00:00:00.000
1187,20260718,20260807,20260531,383,458,478,158,6,4,PIM001187,1187,831.0000,1636.1900,831.0000,1636.1900,1,1,2026-08-24T00:00:00.000
1188,20260626,20260730,20260804,466,482,241,435,9,4,PIM001188,1188,831.7000,1637.5600,831.7000,1637.5600,1,1,2026-08-24T00:00:00.000
1189,20260614,20260530,20260602,21,184,111,160,4,5,PIM001189,1189,832.4000,1638.9300,832.4000,1638.9300,1,1,2026-08-24T00:00:00.000
1190,20260706,20260612,20260604,446,93,-1,-1,5,1,PIM001190,1190,833.1000,1640.3000,833.1000,1640.3000,1,1,2026-08-24T00:00:00.000
1191,20260527,20260707,20260808,391,456,328,39,5,5,PIM001191,1191,833.8000,1641.6700,833.8000,1641.6700,1,1,2026-08-24T00:00:00.000
1192,20260614,20260614,20260820,130,91,499,129,1,4,PIM001192,1192,834.5000,1643.0400,834.5000,1643.0400,1,1,2026-08-24T00:00:00.000
1193,20260605,20260815,20260707,201,477,349,168,2,2,PIM001193,1193,835.2000,1644.4100,835.2000,1644.4100,1,1,2026-08-24T00:00:00.000
1194,20260805,20260609,20260604,65,297,216,370,8,4,PIM001194,1194,835.9000,1645.7800,835.9000,1645.7800,1,1,2026-08-24T00:00:00.000
1195,20260717,20260803,20260609,132,291,242,173,8,3,PIM001195,1195,836.6000,1647.1500,836.6000,1647.1500,1,1,2026-08-24T00:00:00.000
1196,20260805,20260527,20260824,499,340,311,289,8,4,PIM001196,1196,837.3000,1648.5200,837.3000,1648.5200,1,1,2026-08-24T00:00:00.000
1197,20260528,20260803,20260616,102,382,179,42,9,5,PIM001197,1197,838.0000,1649.8900,838.0000,1649.8900,1,1,2026-08-24T00:00:00.000
1198,20260712,20260823,20260717,489,484,219,405,1,3,PIM001198,1198,838.7000,1651.2600,838.7000,1651.2600,1,1,2026-08-24T00:00:00.000
1199,20260720,20260822,20260715,344,321,387,485,8,4,PIM001199,1199,839.4000,1652.6300,839.4000,1652.6300,1,1,2026-08-24T00:00:00.000
1200,20260527,20260605,20260712,282,476,80,347,7,4,PIM001200,1200,840.1000,1654.0000,840.1000,1654.0000,1,1,2026-08-24T00:00:00.000
