EnergyDemandPeakKey,PeakDateKey,PeakTimeOfDayKey,EnergyMeterPointKey,EnergyDemandContractKey,PlantKey,UnitOfMeasureKey,DemandPeakEventNumber,PeakDemandQuantity,ContractExcessQuantity,PenaltyCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
880,20260610,42960,2,172,153,2,EDP000880,616.100000,616.100000,1215.6000,1,1,2026-08-24T00:00:00.000
881,20260716,70500,42,98,140,1,EDP000881,616.800000,616.800000,1216.9700,1,1,2026-08-24T00:00:00.000
882,20260620,12540,347,480,262,6,EDP000882,617.500000,617.500000,1218.3400,1,1,2026-08-24T00:00:00.000
883,20260718,58440,327,72,234,2,EDP000883,618.200000,618.200000,1219.7100,1,1,2026-08-24T00:00:00.000
884,20260528,84300,94,-1,210,5,EDP000884,618.900000,618.900000,1221.0800,1,1,2026-08-24T00:00:00.000
885,20260701,78120,352,345,22,6,EDP000885,619.600000,619.600000,1222.4500,1,1,2026-08-24T00:00:00.000
886,20260811,7680,422,163,89,7,EDP000886,620.300000,620.300000,1223.8200,1,1,2026-08-24T00:00:00.000
887,20260706,52140,31,490,288,5,EDP000887,621.000000,621.000000,1225.1900,1,1,2026-08-24T00:00:00.000
888,20260815,76980,311,36,40,2,EDP000888,621.700000,621.700000,1226.5600,1,1,2026-08-24T00:00:00.000
889,20260601,46680,201,253,237,4,EDP000889,622.400000,622.400000,1227.9300,1,1,2026-08-24T00:00:00.000
890,20260629,3900,20,449,327,4,EDP000890,623.100000,623.100000,1229.3000,1,1,2026-08-24T00:00:00.000
891,20260822,12840,146,355,273,1,EDP000891,623.800000,623.800000,1230.6700,1,1,2026-08-24T00:00:00.000
892,20260707,85260,394,275,244,5,EDP000892,624.500000,624.500000,1232.0400,1,1,2026-08-24T00:00:00.000
893,20260818,20820,126,132,55,2,EDP000893,625.200000,625.200000,1233.4100,1,1,2026-08-24T00:00:00.000
894,20260815,48240,283,258,52,5,EDP000894,625.900000,625.900000,1234.7800,1,1,2026-08-24T00:00:00.000
895,20260529,41880,421,292,166,7,EDP000895,626.600000,626.600000,1236.1500,1,1,2026-08-24T00:00:00.000
896,20260811,27780,400,239,289,1,EDP000896,627.300000,627.300000,1237.5200,1,1,2026-08-24T00:00:00.000
897,20260729,49020,47,154,223,5,EDP000897,628.000000,628.000000,1238.8900,1,1,2026-08-24T00:00:00.000
898,20260823,29100,24,366,303,6,EDP000898,628.700000,628.700000,1240.2600,1,1,2026-08-24T00:00:00.000
899,20260531,17880,459,418,157,5,EDP000899,629.400000,629.400000,1241.6300,1,1,2026-08-24T00:00:00.000
900,20260614,13860,224,472,232,1,EDP000900,630.100000,630.100000,1243.0000,1,1,2026-08-24T00:00:00.000
901,20260723,66420,93,-1,121,6,EDP000901,630.800000,630.800000,1244.3700,1,1,2026-08-24T00:00:00.000
902,20260621,43920,464,163,85,2,EDP000902,631.500000,631.500000,1245.7400,1,1,2026-08-24T00:00:00.000
903,20260612,70380,242,313,166,3,EDP000903,632.200000,632.200000,1247.1100,1,1,2026-08-24T00:00:00.000
904,20260527,21480,264,441,171,7,EDP000904,632.900000,632.900000,1248.4800,1,1,2026-08-24T00:00:00.000
905,20260701,51300,105,439,59,5,EDP000905,633.600000,633.600000,1249.8500,1,1,2026-08-24T00:00:00.000
906,20260529,1080,482,171,231,3,EDP000906,634.300000,634.300000,1251.2200,1,1,2026-08-24T00:00:00.000
907,20260815,64260,122,160,20,3,EDP000907,635.000000,635.000000,1252.5900,1,1,2026-08-24T00:00:00.000
908,20260604,2520,58,52,146,6,EDP000908,635.700000,635.700000,1253.9600,1,1,2026-08-24T00:00:00.000
909,20260629,25680,410,306,40,6,EDP000909,636.400000,636.400000,1255.3300,1,1,2026-08-24T00:00:00.000
910,20260620,39960,164,147,268,4,EDP000910,637.100000,637.100000,1256.7000,1,1,2026-08-24T00:00:00.000
911,20260610,58800,112,325,102,7,EDP000911,637.800000,637.800000,1258.0700,1,1,2026-08-24T00:00:00.000
912,20260704,85920,91,242,65,4,EDP000912,638.500000,638.500000,1259.4400,1,1,2026-08-24T00:00:00.000
913,20260807,29580,157,461,17,3,EDP000913,639.200000,639.200000,1260.8100,1,1,2026-08-24T00:00:00.000
914,20260803,17340,400,495,329,5,EDP000914,639.900000,639.900000,1262.1800,1,1,2026-08-24T00:00:00.000
915,20260807,10500,151,83,202,7,EDP000915,640.600000,640.600000,1263.5500,1,1,2026-08-24T00:00:00.000
916,20260703,80460,135,109,130,7,EDP000916,641.300000,641.300000,1264.9200,1,1,2026-08-24T00:00:00.000
917,20260812,26700,282,95,282,7,EDP000917,642.000000,642.000000,1266.2900,1,1,2026-08-24T00:00:00.000
918,20260701,62580,319,-1,54,3,EDP000918,642.700000,642.700000,1267.6600,1,1,2026-08-24T00:00:00.000
919,20260616,20520,311,166,34,3,EDP000919,643.400000,643.400000,1269.0300,1,1,2026-08-24T00:00:00.000
920,20260721,78840,316,184,5,2,EDP000920,644.100000,644.100000,1270.4000,1,1,2026-08-24T00:00:00.000
921,20260729,18900,460,198,323,5,EDP000921,644.800000,644.800000,1271.7700,1,1,2026-08-24T00:00:00.000
922,20260622,68400,172,471,277,6,EDP000922,645.500000,645.500000,1273.1400,1,1,2026-08-24T00:00:00.000
923,20260731,78900,309,12,241,6,EDP000923,646.200000,646.200000,1274.5100,1,1,2026-08-24T00:00:00.000
924,20260718,25920,206,391,195,6,EDP000924,646.900000,646.900000,1275.8800,1,1,2026-08-24T00:00:00.000
925,20260718,83880,443,41,43,6,EDP000925,647.600000,647.600000,1277.2500,1,1,2026-08-24T00:00:00.000
926,20260625,36180,3,249,10,3,EDP000926,648.300000,648.300000,1278.6200,1,1,2026-08-24T00:00:00.000
927,20260617,72000,333,482,57,1,EDP000927,649.000000,649.000000,1279.9900,1,1,2026-08-24T00:00:00.000
928,20260628,9780,44,183,278,5,EDP000928,649.700000,649.700000,1281.3600,1,1,2026-08-24T00:00:00.000
929,20260720,79500,400,316,325,6,EDP000929,650.400000,650.400000,1282.7300,1,1,2026-08-24T00:00:00.000
930,20260528,17760,53,294,57,7,EDP000930,651.100000,651.100000,1284.1000,1,1,2026-08-24T00:00:00.000
931,20260710,38880,238,300,86,6,EDP000931,651.800000,651.800000,1285.4700,1,1,2026-08-24T00:00:00.000
932,20260721,84420,181,251,6,5,EDP000932,652.500000,652.500000,1286.8400,1,1,2026-08-24T00:00:00.000
933,20260711,9720,93,118,35,1,EDP000933,653.200000,653.200000,1288.2100,1,1,2026-08-24T00:00:00.000
934,20260815,5280,227,18,252,6,EDP000934,653.900000,653.900000,1289.5800,1,1,2026-08-24T00:00:00.000
935,20260531,46620,100,-1,145,4,EDP000935,654.600000,654.600000,1290.9500,1,1,2026-08-24T00:00:00.000
936,20260627,29880,323,296,100,7,EDP000936,655.300000,655.300000,1292.3200,1,1,2026-08-24T00:00:00.000
937,20260607,14040,488,361,277,2,EDP000937,656.000000,656.000000,1293.6900,1,1,2026-08-24T00:00:00.000
938,20260731,83460,131,478,328,5,EDP000938,656.700000,656.700000,1295.0600,1,1,2026-08-24T00:00:00.000
939,20260622,14700,329,181,297,3,EDP000939,657.400000,657.400000,1296.4300,1,1,2026-08-24T00:00:00.000
940,20260624,4260,270,480,276,2,EDP000940,658.100000,658.100000,1297.8000,1,1,2026-08-24T00:00:00.000
941,20260811,660,131,85,169,2,EDP000941,658.800000,658.800000,1299.1700,1,1,2026-08-24T00:00:00.000
942,20260612,32280,3,294,196,6,EDP000942,659.500000,659.500000,1300.5400,1,1,2026-08-24T00:00:00.000
943,20260609,71760,217,408,69,3,EDP000943,660.200000,660.200000,1301.9100,1,1,2026-08-24T00:00:00.000
944,20260530,12900,207,325,194,5,EDP000944,660.900000,660.900000,1303.2800,1,1,2026-08-24T00:00:00.000
945,20260807,34440,229,429,151,5,EDP000945,661.600000,661.600000,1304.6500,1,1,2026-08-24T00:00:00.000
946,20260722,43680,140,279,253,2,EDP000946,662.300000,662.300000,1306.0200,1,1,2026-08-24T00:00:00.000
947,20260624,21420,89,81,31,7,EDP000947,663.000000,663.000000,1307.3900,1,1,2026-08-24T00:00:00.000
948,20260802,85980,445,373,117,4,EDP000948,663.700000,663.700000,1308.7600,1,1,2026-08-24T00:00:00.000
949,20260805,15000,24,29,158,1,EDP000949,664.400000,664.400000,1310.1300,1,1,2026-08-24T00:00:00.000
950,20260626,41340,109,164,232,6,EDP000950,665.100000,665.100000,1311.5000,1,1,2026-08-24T00:00:00.000
951,20260611,67140,347,324,256,6,EDP000951,665.800000,665.800000,1312.8700,1,1,2026-08-24T00:00:00.000
952,20260806,66360,427,-1,68,2,EDP000952,666.500000,666.500000,1314.2400,1,1,2026-08-24T00:00:00.000
953,20260806,25620,11,428,114,3,EDP000953,667.200000,667.200000,1315.6100,1,1,2026-08-24T00:00:00.000
954,20260627,30120,361,441,69,1,EDP000954,667.900000,667.900000,1316.9800,1,1,2026-08-24T00:00:00.000
955,20260813,72900,29,467,280,1,EDP000955,668.600000,668.600000,1318.3500,1,1,2026-08-24T00:00:00.000
956,20260811,53940,163,290,337,4,EDP000956,669.300000,669.300000,1319.7200,1,1,2026-08-24T00:00:00.000
957,20260729,46260,401,113,302,2,EDP000957,670.000000,670.000000,1321.0900,1,1,2026-08-24T00:00:00.000
958,20260710,11340,144,1,153,4,EDP000958,670.700000,670.700000,1322.4600,1,1,2026-08-24T00:00:00.000
959,20260607,28980,25,473,194,4,EDP000959,671.400000,671.400000,1323.8300,1,1,2026-08-24T00:00:00.000
960,20260626,29220,261,51,268,7,EDP000960,672.100000,672.100000,1325.2000,1,1,2026-08-24T00:00:00.000
961,20260605,53580,56,473,90,5,EDP000961,672.800000,672.800000,1326.5700,1,1,2026-08-24T00:00:00.000
962,20260615,64200,417,79,161,4,EDP000962,673.500000,673.500000,1327.9400,1,1,2026-08-24T00:00:00.000
963,20260816,76080,129,411,177,6,EDP000963,674.200000,674.200000,1329.3100,1,1,2026-08-24T00:00:00.000
964,20260528,10980,165,485,73,7,EDP000964,674.900000,674.900000,1330.6800,1,1,2026-08-24T00:00:00.000
965,20260623,52500,177,90,129,1,EDP000965,675.600000,675.600000,1332.0500,1,1,2026-08-24T00:00:00.000
966,20260606,27420,2,137,71,3,EDP000966,676.300000,676.300000,1333.4200,1,1,2026-08-24T00:00:00.000
967,20260819,72900,1,120,85,5,EDP000967,677.000000,677.000000,1334.7900,1,1,2026-08-24T00:00:00.000
968,20260611,23820,228,51,328,1,EDP000968,677.700000,677.700000,1336.1600,1,1,2026-08-24T00:00:00.000
969,20260627,54420,201,-1,230,6,EDP000969,678.400000,678.400000,1337.5300,1,1,2026-08-24T00:00:00.000
970,20260730,25560,254,313,308,5,EDP000970,679.100000,679.100000,1338.9000,1,1,2026-08-24T00:00:00.000
971,20260712,25620,352,63,91,5,EDP000971,679.800000,679.800000,1340.2700,1,1,2026-08-24T00:00:00.000
972,20260614,10140,426,208,345,7,EDP000972,680.500000,680.500000,1341.6400,1,1,2026-08-24T00:00:00.000
973,20260815,8040,388,59,125,7,EDP000973,681.200000,681.200000,1343.0100,1,1,2026-08-24T00:00:00.000
974,20260615,37380,466,14,133,5,EDP000974,681.900000,681.900000,1344.3800,1,1,2026-08-24T00:00:00.000
975,20260725,86220,273,394,6,2,EDP000975,682.600000,682.600000,1345.7500,1,1,2026-08-24T00:00:00.000
976,20260605,6060,431,312,350,5,EDP000976,683.300000,683.300000,1347.1200,1,1,2026-08-24T00:00:00.000
977,20260621,54600,456,494,19,4,EDP000977,684.000000,684.000000,1348.4900,1,1,2026-08-24T00:00:00.000
978,20260624,37440,278,494,31,2,EDP000978,684.700000,684.700000,1349.8600,1,1,2026-08-24T00:00:00.000
979,20260818,7200,246,321,88,5,EDP000979,685.400000,685.400000,1351.2300,1,1,2026-08-24T00:00:00.000
980,20260817,8760,443,403,270,5,EDP000980,686.100000,686.100000,1352.6000,1,1,2026-08-24T00:00:00.000
981,20260608,12360,151,186,84,1,EDP000981,686.800000,686.800000,1353.9700,1,1,2026-08-24T00:00:00.000
982,20260626,71580,331,335,198,2,EDP000982,687.500000,687.500000,1355.3400,1,1,2026-08-24T00:00:00.000
983,20260627,63720,367,119,21,3,EDP000983,688.200000,688.200000,1356.7100,1,1,2026-08-24T00:00:00.000
984,20260628,65040,426,102,263,5,EDP000984,688.900000,688.900000,1358.0800,1,1,2026-08-24T00:00:00.000
985,20260609,85800,4,334,80,5,EDP000985,689.600000,689.600000,1359.4500,1,1,2026-08-24T00:00:00.000
986,20260726,73800,12,-1,50,7,EDP000986,690.300000,690.300000,1360.8200,1,1,2026-08-24T00:00:00.000
987,20260810,22800,273,316,281,2,EDP000987,691.000000,691.000000,1362.1900,1,1,2026-08-24T00:00:00.000
988,20260616,48300,183,213,120,6,EDP000988,691.700000,691.700000,1363.5600,1,1,2026-08-24T00:00:00.000
989,20260813,61260,253,342,341,2,EDP000989,692.400000,692.400000,1364.9300,1,1,2026-08-24T00:00:00.000
990,20260602,62040,173,72,219,5,EDP000990,693.100000,693.100000,1366.3000,1,1,2026-08-24T00:00:00.000
991,20260823,36720,455,55,112,7,EDP000991,693.800000,693.800000,1367.6700,1,1,2026-08-24T00:00:00.000
992,20260818,2040,105,386,154,7,EDP000992,694.500000,694.500000,1369.0400,1,1,2026-08-24T00:00:00.000
993,20260703,64920,273,63,255,5,EDP000993,695.200000,695.200000,1370.4100,1,1,2026-08-24T00:00:00.000
994,20260809,47580,325,29,25,5,EDP000994,695.900000,695.900000,1371.7800,1,1,2026-08-24T00:00:00.000
995,20260612,60840,356,288,52,3,EDP000995,696.600000,696.600000,1373.1500,1,1,2026-08-24T00:00:00.000
996,20260811,10560,50,347,114,3,EDP000996,697.300000,697.300000,1374.5200,1,1,2026-08-24T00:00:00.000
997,20260731,49080,10,135,144,3,EDP000997,698.000000,698.000000,1375.8900,1,1,2026-08-24T00:00:00.000
998,20260611,37980,358,107,9,2,EDP000998,698.700000,698.700000,1377.2600,1,1,2026-08-24T00:00:00.000
999,20260626,120,117,379,164,5,EDP000999,699.400000,699.400000,1378.6300,1,1,2026-08-24T00:00:00.000
1000,20260823,33960,300,144,307,7,EDP001000,700.100000,700.100000,1380.0000,1,1,2026-08-24T00:00:00.000
1001,20260819,33960,151,132,1,7,EDP001001,700.800000,700.800000,1381.3700,1,1,2026-08-24T00:00:00.000
1002,20260530,48720,445,247,71,3,EDP001002,701.500000,701.500000,1382.7400,1,1,2026-08-24T00:00:00.000
1003,20260703,27720,498,-1,21,6,EDP001003,702.200000,702.200000,1384.1100,1,1,2026-08-24T00:00:00.000
1004,20260619,23100,344,405,45,7,EDP001004,702.900000,702.900000,1385.4800,1,1,2026-08-24T00:00:00.000
1005,20260727,69120,288,105,203,5,EDP001005,703.600000,703.600000,1386.8500,1,1,2026-08-24T00:00:00.000
1006,20260807,10800,411,317,264,3,EDP001006,704.300000,704.300000,1388.2200,1,1,2026-08-24T00:00:00.000
1007,20260615,72720,211,381,288,6,EDP001007,705.000000,705.000000,1389.5900,1,1,2026-08-24T00:00:00.000
1008,20260706,37440,180,307,60,7,EDP001008,705.700000,705.700000,1390.9600,1,1,2026-08-24T00:00:00.000
1009,20260613,17820,336,422,105,7,EDP001009,706.400000,706.400000,1392.3300,1,1,2026-08-24T00:00:00.000
1010,20260625,50760,434,129,6,3,EDP001010,707.100000,707.100000,1393.7000,1,1,2026-08-24T00:00:00.000
1011,20260602,85860,433,231,244,3,EDP001011,707.800000,707.800000,1395.0700,1,1,2026-08-24T00:00:00.000
1012,20260808,41460,190,134,192,2,EDP001012,708.500000,708.500000,1396.4400,1,1,2026-08-24T00:00:00.000
1013,20260707,58320,311,27,195,5,EDP001013,709.200000,709.200000,1397.8100,1,1,2026-08-24T00:00:00.000
1014,20260730,20580,456,29,84,1,EDP001014,709.900000,709.900000,1399.1800,1,1,2026-08-24T00:00:00.000
1015,20260627,33480,450,339,142,3,EDP001015,710.600000,710.600000,1400.5500,1,1,2026-08-24T00:00:00.000
1016,20260818,62460,5,174,63,7,EDP001016,711.300000,711.300000,1401.9200,1,1,2026-08-24T00:00:00.000
1017,20260804,65700,352,155,128,7,EDP001017,712.000000,712.000000,1403.2900,1,1,2026-08-24T00:00:00.000
1018,20260815,11340,184,232,18,5,EDP001018,712.700000,712.700000,1404.6600,1,1,2026-08-24T00:00:00.000
1019,20260810,69180,301,279,81,2,EDP001019,713.400000,713.400000,1406.0300,1,1,2026-08-24T00:00:00.000
1020,20260815,9600,191,-1,199,2,EDP001020,714.100000,714.100000,1407.4000,1,1,2026-08-24T00:00:00.000
1021,20260615,64140,110,421,18,4,EDP001021,714.800000,714.800000,1408.7700,1,1,2026-08-24T00:00:00.000
1022,20260622,77880,248,371,255,1,EDP001022,715.500000,715.500000,1410.1400,1,1,2026-08-24T00:00:00.000
1023,20260728,66180,489,143,193,6,EDP001023,716.200000,716.200000,1411.5100,1,1,2026-08-24T00:00:00.000
1024,20260530,59160,345,33,24,2,EDP001024,716.900000,716.900000,1412.8800,1,1,2026-08-24T00:00:00.000
1025,20260615,8100,161,235,302,7,EDP001025,717.600000,717.600000,1414.2500,1,1,2026-08-24T00:00:00.000
1026,20260609,86340,350,247,337,5,EDP001026,718.300000,718.300000,1415.6200,1,1,2026-08-24T00:00:00.000
1027,20260818,78360,476,266,20,5,EDP001027,719.000000,719.000000,1416.9900,1,1,2026-08-24T00:00:00.000
1028,20260727,28020,319,63,293,3,EDP001028,719.700000,719.700000,1418.3600,1,1,2026-08-24T00:00:00.000
1029,20260810,86100,108,437,120,3,EDP001029,720.400000,720.400000,1419.7300,1,1,2026-08-24T00:00:00.000
1030,20260619,60900,305,285,117,7,EDP001030,721.100000,721.100000,1421.1000,1,1,2026-08-24T00:00:00.000
1031,20260608,46080,484,200,72,5,EDP001031,721.800000,721.800000,1422.4700,1,1,2026-08-24T00:00:00.000
1032,20260704,58920,332,43,218,3,EDP001032,722.500000,722.500000,1423.8400,1,1,2026-08-24T00:00:00.000
1033,20260809,7320,45,242,160,7,EDP001033,723.200000,723.200000,1425.2100,1,1,2026-08-24T00:00:00.000
1034,20260821,34620,386,261,44,5,EDP001034,723.900000,723.900000,1426.5800,1,1,2026-08-24T00:00:00.000
1035,20260720,61020,37,475,195,5,EDP001035,724.600000,724.600000,1427.9500,1,1,2026-08-24T00:00:00.000
1036,20260812,10200,315,185,158,2,EDP001036,725.300000,725.300000,1429.3200,1,1,2026-08-24T00:00:00.000
1037,20260813,85920,233,-1,263,6,EDP001037,726.000000,726.000000,1430.6900,1,1,2026-08-24T00:00:00.000
1038,20260811,80160,256,223,59,6,EDP001038,726.700000,726.700000,1432.0600,1,1,2026-08-24T00:00:00.000
1039,20260701,63360,482,408,240,1,EDP001039,727.400000,727.400000,1433.4300,1,1,2026-08-24T00:00:00.000
1040,20260801,5220,301,213,266,5,EDP001040,728.100000,728.100000,1434.8000,1,1,2026-08-24T00:00:00.000
1041,20260719,69120,199,332,135,4,EDP001041,728.800000,728.800000,1436.1700,1,1,2026-08-24T00:00:00.000
1042,20260530,45480,216,201,62,5,EDP001042,729.500000,729.500000,1437.5400,1,1,2026-08-24T00:00:00.000
1043,20260625,63600,278,398,235,3,EDP001043,730.200000,730.200000,1438.9100,1,1,2026-08-24T00:00:00.000
1044,20260606,57120,21,153,212,5,EDP001044,730.900000,730.900000,1440.2800,1,1,2026-08-24T00:00:00.000
1045,20260823,22140,7,485,137,2,EDP001045,731.600000,731.600000,1441.6500,1,1,2026-08-24T00:00:00.000
1046,20260818,68400,420,399,34,4,EDP001046,732.300000,732.300000,1443.0200,1,1,2026-08-24T00:00:00.000
1047,20260722,28140,106,274,208,1,EDP001047,733.000000,733.000000,1444.3900,1,1,2026-08-24T00:00:00.000
1048,20260621,26160,466,492,119,5,EDP001048,733.700000,733.700000,1445.7600,1,1,2026-08-24T00:00:00.000
1049,20260711,3480,221,368,26,6,EDP001049,734.400000,734.400000,1447.1300,1,1,2026-08-24T00:00:00.000
1050,20260722,62940,178,415,138,1,EDP001050,735.100000,735.100000,1448.5000,1,1,2026-08-24T00:00:00.000
1051,20260626,4200,337,351,36,3,EDP001051,735.800000,735.800000,1449.8700,1,1,2026-08-24T00:00:00.000
1052,20260602,67680,62,372,23,5,EDP001052,736.500000,736.500000,1451.2400,1,1,2026-08-24T00:00:00.000
1053,20260723,82620,303,459,342,6,EDP001053,737.200000,737.200000,1452.6100,1,1,2026-08-24T00:00:00.000
1054,20260730,46140,234,-1,343,6,EDP001054,737.900000,737.900000,1453.9800,1,1,2026-08-24T00:00:00.000
1055,20260723,56760,221,229,232,4,EDP001055,738.600000,738.600000,1455.3500,1,1,2026-08-24T00:00:00.000
1056,20260607,38400,362,461,238,1,EDP001056,739.300000,739.300000,1456.7200,1,1,2026-08-24T00:00:00.000
1057,20260720,47160,124,224,181,2,EDP001057,740.000000,740.000000,1458.0900,1,1,2026-08-24T00:00:00.000
1058,20260529,74400,11,85,103,3,EDP001058,740.700000,740.700000,1459.4600,1,1,2026-08-24T00:00:00.000
1059,20260605,35160,470,96,304,6,EDP001059,741.400000,741.400000,1460.8300,1,1,2026-08-24T00:00:00.000
1060,20260806,37380,13,39,185,3,EDP001060,742.100000,742.100000,1462.2000,1,1,2026-08-24T00:00:00.000
1061,20260602,10260,291,454,266,5,EDP001061,742.800000,742.800000,1463.5700,1,1,2026-08-24T00:00:00.000
1062,20260629,15360,307,235,136,6,EDP001062,743.500000,743.500000,1464.9400,1,1,2026-08-24T00:00:00.000
1063,20260811,15900,11,296,65,7,EDP001063,744.200000,744.200000,1466.3100,1,1,2026-08-24T00:00:00.000
1064,20260807,22860,5,279,176,4,EDP001064,744.900000,744.900000,1467.6800,1,1,2026-08-24T00:00:00.000
1065,20260730,12180,335,436,213,6,EDP001065,745.600000,745.600000,1469.0500,1,1,2026-08-24T00:00:00.000
1066,20260710,12060,176,293,200,1,EDP001066,746.300000,746.300000,1470.4200,1,1,2026-08-24T00:00:00.000
1067,20260714,24360,287,149,143,5,EDP001067,747.000000,747.000000,1471.7900,1,1,2026-08-24T00:00:00.000
1068,20260628,57600,329,487,14,3,EDP001068,747.700000,747.700000,1473.1600,1,1,2026-08-24T00:00:00.000
1069,20260818,37440,463,345,32,2,EDP001069,748.400000,748.400000,1474.5300,1,1,2026-08-24T00:00:00.000
1070,20260821,35220,420,235,53,5,EDP001070,749.100000,749.100000,1475.9000,1,1,2026-08-24T00:00:00.000
1071,20260616,53760,210,-1,27,7,EDP001071,749.800000,749.800000,1477.2700,1,1,2026-08-24T00:00:00.000
1072,20260712,50400,379,370,189,1,EDP001072,750.500000,750.500000,1478.6400,1,1,2026-08-24T00:00:00.000
1073,20260602,59220,35,248,298,5,EDP001073,751.200000,751.200000,1480.0100,1,1,2026-08-24T00:00:00.000
1074,20260613,49080,363,367,6,4,EDP001074,751.900000,751.900000,1481.3800,1,1,2026-08-24T00:00:00.000
1075,20260528,28740,237,88,72,6,EDP001075,752.600000,752.600000,1482.7500,1,1,2026-08-24T00:00:00.000
1076,20260702,82860,102,306,229,7,EDP001076,753.300000,753.300000,1484.1200,1,1,2026-08-24T00:00:00.000
1077,20260624,52560,444,7,245,3,EDP001077,754.000000,754.000000,1485.4900,1,1,2026-08-24T00:00:00.000
1078,20260716,33840,73,472,156,7,EDP001078,754.700000,754.700000,1486.8600,1,1,2026-08-24T00:00:00.000
1079,20260627,3720,355,288,174,5,EDP001079,755.400000,755.400000,1488.2300,1,1,2026-08-24T00:00:00.000
1080,20260802,24180,424,487,313,7,EDP001080,756.100000,756.100000,1489.6000,1,1,2026-08-24T00:00:00.000
1081,20260724,50160,118,260,303,1,EDP001081,756.800000,756.800000,1490.9700,1,1,2026-08-24T00:00:00.000
1082,20260824,83520,169,223,255,2,EDP001082,757.500000,757.500000,1492.3400,1,1,2026-08-24T00:00:00.000
1083,20260706,34620,172,389,207,3,EDP001083,758.200000,758.200000,1493.7100,1,1,2026-08-24T00:00:00.000
1084,20260612,63660,15,47,113,7,EDP001084,758.900000,758.900000,1495.0800,1,1,2026-08-24T00:00:00.000
1085,20260819,58020,357,31,228,4,EDP001085,759.600000,759.600000,1496.4500,1,1,2026-08-24T00:00:00.000
1086,20260624,65160,152,165,76,1,EDP001086,760.300000,760.300000,1497.8200,1,1,2026-08-24T00:00:00.000
1087,20260709,59580,142,52,138,2,EDP001087,761.000000,761.000000,1499.1900,1,1,2026-08-24T00:00:00.000
1088,20260721,60600,477,-1,23,5,EDP001088,761.700000,761.700000,1500.5600,1,1,2026-08-24T00:00:00.000
1089,20260708,6840,350,491,58,2,EDP001089,762.400000,762.400000,1501.9300,1,1,2026-08-24T00:00:00.000
1090,20260810,61620,201,354,256,6,EDP001090,763.100000,763.100000,1503.3000,1,1,2026-08-24T00:00:00.000
1091,20260701,48900,79,179,143,3,EDP001091,763.800000,763.800000,1504.6700,1,1,2026-08-24T00:00:00.000
1092,20260821,78960,41,347,349,1,EDP001092,764.500000,764.500000,1506.0400,1,1,2026-08-24T00:00:00.000
1093,20260727,18000,415,258,150,7,EDP001093,765.200000,765.200000,1507.4100,1,1,2026-08-24T00:00:00.000
1094,20260702,81900,396,182,249,4,EDP001094,765.900000,765.900000,1508.7800,1,1,2026-08-24T00:00:00.000
1095,20260811,56100,22,254,108,4,EDP001095,766.600000,766.600000,1510.1500,1,1,2026-08-24T00:00:00.000
1096,20260531,15960,226,475,82,4,EDP001096,767.300000,767.300000,1511.5200,1,1,2026-08-24T00:00:00.000
1097,20260622,28020,26,456,103,1,EDP001097,768.000000,768.000000,1512.8900,1,1,2026-08-24T00:00:00.000
1098,20260710,38940,364,138,293,4,EDP001098,768.700000,768.700000,1514.2600,1,1,2026-08-24T00:00:00.000
1099,20260602,43380,429,186,245,1,EDP001099,769.400000,769.400000,1515.6300,1,1,2026-08-24T00:00:00.000
1100,20260603,600,68,249,158,4,EDP001100,770.100000,770.100000,1517.0000,1,1,2026-08-24T00:00:00.000
1101,20260809,14400,410,251,114,6,EDP001101,770.800000,770.800000,1518.3700,1,1,2026-08-24T00:00:00.000
1102,20260823,300,45,257,253,7,EDP001102,771.500000,771.500000,1519.7400,1,1,2026-08-24T00:00:00.000
1103,20260629,65460,487,342,262,5,EDP001103,772.200000,772.200000,1521.1100,1,1,2026-08-24T00:00:00.000
1104,20260612,69540,385,475,199,3,EDP001104,772.900000,772.900000,1522.4800,1,1,2026-08-24T00:00:00.000
1105,20260529,48420,470,-1,343,2,EDP001105,773.600000,773.600000,1523.8500,1,1,2026-08-24T00:00:00.000
1106,20260824,30960,193,450,346,2,EDP001106,774.300000,774.300000,1525.2200,1,1,2026-08-24T00:00:00.000
1107,20260621,720,423,451,285,5,EDP001107,775.000000,775.000000,1526.5900,1,1,2026-08-24T00:00:00.000
1108,20260811,27000,233,363,6,7,EDP001108,775.700000,775.700000,1527.9600,1,1,2026-08-24T00:00:00.000
1109,20260705,68280,222,145,323,1,EDP001109,776.400000,776.400000,1529.3300,1,1,2026-08-24T00:00:00.000
1110,20260721,84180,219,30,71,3,EDP001110,777.100000,777.100000,1530.7000,1,1,2026-08-24T00:00:00.000
1111,20260714,47400,241,434,215,7,EDP001111,777.800000,777.800000,1532.0700,1,1,2026-08-24T00:00:00.000
1112,20260531,69840,75,31,118,1,EDP001112,778.500000,778.500000,1533.4400,1,1,2026-08-24T00:00:00.000
1113,20260601,24240,418,17,86,7,EDP001113,779.200000,779.200000,1534.8100,1,1,2026-08-24T00:00:00.000
1114,20260804,81960,19,226,227,6,EDP001114,779.900000,779.900000,1536.1800,1,1,2026-08-24T00:00:00.000
1115,20260623,32520,124,274,169,7,EDP001115,780.600000,780.600000,1537.5500,1,1,2026-08-24T00:00:00.000
