SafetyWasteShipmentKey,ShipmentDateKey,DisposalDateKey,PlantKey,HaulerSupplierKey,DisposalFacilitySupplierKey,SafetyWasteStreamKey,SafetyWasteDispositionMethodKey,UnitOfMeasureKey,WasteManifestNumber,WasteShipmentLineNumber,WasteQuantity,DisposalCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
232,20260527,20260708,156,204,447,408,12,3,SWS000232,232,162.5000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260613,20260617,337,408,29,460,9,7,SWS000233,233,163.2000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260604,20260630,270,348,309,434,1,6,SWS000234,234,163.9000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260810,20260820,318,390,497,249,9,4,SWS000235,235,164.6000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260618,20260615,141,282,56,426,4,1,SWS000236,236,165.3000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260625,20260719,144,118,225,156,5,4,SWS000237,237,166.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260705,20260613,287,-1,-1,226,8,6,SWS000238,238,166.7000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260616,20260814,211,58,133,98,13,7,SWS000239,239,167.4000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260719,20260611,108,126,168,238,12,4,SWS000240,240,168.1000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260729,20260816,304,499,316,420,9,2,SWS000241,241,168.8000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260606,20260701,314,190,71,496,9,4,SWS000242,242,169.5000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260815,20260715,37,113,346,266,10,6,SWS000243,243,170.2000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260725,20260715,277,255,292,461,7,4,SWS000244,244,170.9000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260629,20260705,51,472,4,349,6,2,SWS000245,245,171.6000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260821,20260803,16,17,298,354,10,5,SWS000246,246,172.3000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260822,20260711,138,58,35,148,12,7,SWS000247,247,173.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260716,20260708,73,65,65,167,7,2,SWS000248,248,173.7000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260703,20260629,131,92,100,258,4,4,SWS000249,249,174.4000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260528,20260715,11,106,447,295,15,6,SWS000250,250,175.1000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260807,20260623,245,266,140,7,1,5,SWS000251,251,175.8000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260613,20260807,299,262,267,446,3,1,SWS000252,252,176.5000,355.2400,1,1,2026-08-24T00:00:00.000
253,20260822,20260611,245,91,415,59,3,1,SWS000253,253,177.2000,356.6100,1,1,2026-08-24T00:00:00.000
254,20260610,20260714,188,486,170,253,6,1,SWS000254,254,177.9000,357.9800,1,1,2026-08-24T00:00:00.000
255,20260604,20260603,177,-1,-1,467,2,2,SWS000255,255,178.6000,359.3500,1,1,2026-08-24T00:00:00.000
256,20260730,20260723,80,391,370,323,4,1,SWS000256,256,179.3000,360.7200,1,1,2026-08-24T00:00:00.000
257,20260612,20260627,16,276,205,472,2,1,SWS000257,257,180.0000,362.0900,1,1,2026-08-24T00:00:00.000
258,20260724,20260819,94,228,383,137,2,6,SWS000258,258,180.7000,363.4600,1,1,2026-08-24T00:00:00.000
259,20260609,20260819,117,42,83,483,12,5,SWS000259,259,181.4000,364.8300,1,1,2026-08-24T00:00:00.000
260,20260820,20260717,238,268,167,157,12,2,SWS000260,260,182.1000,366.2000,1,1,2026-08-24T00:00:00.000
261,20260608,20260713,240,406,85,500,14,7,SWS000261,261,182.8000,367.5700,1,1,2026-08-24T00:00:00.000
262,20260717,20260821,189,161,266,60,2,6,SWS000262,262,183.5000,368.9400,1,1,2026-08-24T00:00:00.000
263,20260710,20260803,43,146,260,336,6,5,SWS000263,263,184.2000,370.3100,1,1,2026-08-24T00:00:00.000
264,20260727,20260629,38,310,257,185,15,3,SWS000264,264,184.9000,371.6800,1,1,2026-08-24T00:00:00.000
265,20260609,20260709,308,113,140,150,9,5,SWS000265,265,185.6000,373.0500,1,1,2026-08-24T00:00:00.000
266,20260720,20260721,160,131,146,167,11,6,SWS000266,266,186.3000,374.4200,1,1,2026-08-24T00:00:00.000
267,20260730,20260801,259,264,367,330,7,7,SWS000267,267,187.0000,375.7900,1,1,2026-08-24T00:00:00.000
268,20260725,20260613,181,498,90,162,3,1,SWS000268,268,187.7000,377.1600,1,1,2026-08-24T00:00:00.000
269,20260804,20260731,140,496,40,367,1,2,SWS000269,269,188.4000,378.5300,1,1,2026-08-24T00:00:00.000
270,20260804,20260612,290,3,150,14,12,7,SWS000270,270,189.1000,379.9000,1,1,2026-08-24T00:00:00.000
271,20260613,20260614,141,2,338,18,5,3,SWS000271,271,189.8000,381.2700,1,1,2026-08-24T00:00:00.000
272,20260816,20260815,88,-1,-1,446,12,4,SWS000272,272,190.5000,382.6400,1,1,2026-08-24T00:00:00.000
273,20260703,20260621,214,190,195,10,1,1,SWS000273,273,191.2000,384.0100,1,1,2026-08-24T00:00:00.000
274,20260621,20260628,247,182,383,48,5,1,SWS000274,274,191.9000,385.3800,1,1,2026-08-24T00:00:00.000
275,20260722,20260726,251,285,451,293,14,2,SWS000275,275,192.6000,386.7500,1,1,2026-08-24T00:00:00.000
276,20260822,20260720,202,45,227,144,6,3,SWS000276,276,193.3000,388.1200,1,1,2026-08-24T00:00:00.000
277,20260622,20260823,27,253,14,496,14,1,SWS000277,277,194.0000,389.4900,1,1,2026-08-24T00:00:00.000
278,20260604,20260612,321,148,458,213,16,1,SWS000278,278,194.7000,390.8600,1,1,2026-08-24T00:00:00.000
279,20260612,20260629,338,463,339,416,12,6,SWS000279,279,195.4000,392.2300,1,1,2026-08-24T00:00:00.000
280,20260716,20260713,157,31,273,454,6,7,SWS000280,280,196.1000,393.6000,1,1,2026-08-24T00:00:00.000
281,20260819,20260606,313,130,299,349,8,6,SWS000281,281,196.8000,394.9700,1,1,2026-08-24T00:00:00.000
282,20260703,20260615,262,438,222,286,5,4,SWS000282,282,197.5000,396.3400,1,1,2026-08-24T00:00:00.000
283,20260815,20260810,153,139,351,426,3,7,SWS000283,283,198.2000,397.7100,1,1,2026-08-24T00:00:00.000
284,20260720,20260626,78,222,249,335,2,5,SWS000284,284,198.9000,399.0800,1,1,2026-08-24T00:00:00.000
285,20260809,20260715,67,443,281,198,8,3,SWS000285,285,199.6000,400.4500,1,1,2026-08-24T00:00:00.000
286,20260616,20260725,326,6,500,342,3,7,SWS000286,286,200.3000,401.8200,1,1,2026-08-24T00:00:00.000
287,20260712,20260626,137,457,45,2,11,6,SWS000287,287,201.0000,403.1900,1,1,2026-08-24T00:00:00.000
288,20260708,20260707,31,298,169,150,5,7,SWS000288,288,201.7000,404.5600,1,1,2026-08-24T00:00:00.000
289,20260724,20260628,41,-1,-1,321,8,2,SWS000289,289,202.4000,405.9300,1,1,2026-08-24T00:00:00.000
290,20260713,20260731,267,486,224,148,10,1,SWS000290,290,203.1000,407.3000,1,1,2026-08-24T00:00:00.000
291,20260727,20260605,207,441,44,2,7,1,SWS000291,291,203.8000,408.6700,1,1,2026-08-24T00:00:00.000
292,20260727,20260711,194,139,330,124,6,2,SWS000292,292,204.5000,410.0400,1,1,2026-08-24T00:00:00.000
293,20260814,20260621,154,177,485,175,14,1,SWS000293,293,205.2000,411.4100,1,1,2026-08-24T00:00:00.000
294,20260714,20260730,226,11,386,425,8,4,SWS000294,294,205.9000,412.7800,1,1,2026-08-24T00:00:00.000
295,20260701,20260609,21,431,115,303,8,4,SWS000295,295,206.6000,414.1500,1,1,2026-08-24T00:00:00.000
296,20260612,20260627,131,463,203,403,14,5,SWS000296,296,207.3000,415.5200,1,1,2026-08-24T00:00:00.000
297,20260714,20260820,60,96,159,422,7,7,SWS000297,297,208.0000,416.8900,1,1,2026-08-24T00:00:00.000
298,20260701,20260810,13,172,466,333,4,6,SWS000298,298,208.7000,418.2600,1,1,2026-08-24T00:00:00.000
299,20260603,20260615,240,199,276,338,6,2,SWS000299,299,209.4000,419.6300,1,1,2026-08-24T00:00:00.000
300,20260718,20260815,118,205,171,483,14,6,SWS000300,300,210.1000,421.0000,1,1,2026-08-24T00:00:00.000
301,20260613,20260707,110,16,325,498,14,6,SWS000301,301,210.8000,422.3700,1,1,2026-08-24T00:00:00.000
302,20260727,20260620,247,463,315,137,8,5,SWS000302,302,211.5000,423.7400,1,1,2026-08-24T00:00:00.000
303,20260824,20260818,17,43,66,268,6,2,SWS000303,303,212.2000,425.1100,1,1,2026-08-24T00:00:00.000
304,20260615,20260807,335,47,308,95,16,4,SWS000304,304,212.9000,426.4800,1,1,2026-08-24T00:00:00.000
305,20260602,20260720,218,202,52,281,14,6,SWS000305,305,213.6000,427.8500,1,1,2026-08-24T00:00:00.000
306,20260619,20260624,69,-1,-1,316,14,4,SWS000306,306,214.3000,429.2200,1,1,2026-08-24T00:00:00.000
307,20260606,20260723,44,272,476,347,8,2,SWS000307,307,215.0000,430.5900,1,1,2026-08-24T00:00:00.000
308,20260725,20260727,249,324,126,241,1,2,SWS000308,308,215.7000,431.9600,1,1,2026-08-24T00:00:00.000
309,20260614,20260602,206,117,395,452,8,7,SWS000309,309,216.4000,433.3300,1,1,2026-08-24T00:00:00.000
310,20260626,20260528,64,312,333,176,3,7,SWS000310,310,217.1000,434.7000,1,1,2026-08-24T00:00:00.000
311,20260601,20260713,6,204,491,284,10,4,SWS000311,311,217.8000,436.0700,1,1,2026-08-24T00:00:00.000
312,20260805,20260730,144,84,82,230,4,7,SWS000312,312,218.5000,437.4400,1,1,2026-08-24T00:00:00.000
313,20260622,20260527,293,484,147,320,3,6,SWS000313,313,219.2000,438.8100,1,1,2026-08-24T00:00:00.000
314,20260721,20260704,149,352,497,109,1,3,SWS000314,314,219.9000,440.1800,1,1,2026-08-24T00:00:00.000
315,20260619,20260805,294,189,67,358,14,2,SWS000315,315,220.6000,441.5500,1,1,2026-08-24T00:00:00.000
316,20260809,20260810,328,266,154,180,7,5,SWS000316,316,221.3000,442.9200,1,1,2026-08-24T00:00:00.000
317,20260712,20260711,106,88,155,430,11,5,SWS000317,317,222.0000,444.2900,1,1,2026-08-24T00:00:00.000
318,20260630,20260601,39,216,338,257,15,6,SWS000318,318,222.7000,445.6600,1,1,2026-08-24T00:00:00.000
319,20260619,20260820,109,288,309,331,6,7,SWS000319,319,223.4000,447.0300,1,1,2026-08-24T00:00:00.000
320,20260624,20260613,315,180,401,195,14,5,SWS000320,320,224.1000,448.4000,1,1,2026-08-24T00:00:00.000
321,20260606,20260621,136,69,102,148,15,6,SWS000321,321,224.8000,449.7700,1,1,2026-08-24T00:00:00.000
322,20260529,20260705,228,61,206,266,3,3,SWS000322,322,225.5000,451.1400,1,1,2026-08-24T00:00:00.000
323,20260719,20260822,172,-1,-1,420,12,3,SWS000323,323,226.2000,452.5100,1,1,2026-08-24T00:00:00.000
324,20260807,20260726,216,317,338,213,13,1,SWS000324,324,226.9000,453.8800,1,1,2026-08-24T00:00:00.000
325,20260616,20260706,218,32,134,249,14,6,SWS000325,325,227.6000,455.2500,1,1,2026-08-24T00:00:00.000
326,20260605,20260728,35,212,274,165,3,7,SWS000326,326,228.3000,456.6200,1,1,2026-08-24T00:00:00.000
327,20260712,20260621,311,71,80,421,1,4,SWS000327,327,229.0000,457.9900,1,1,2026-08-24T00:00:00.000
328,20260815,20260702,158,20,258,68,16,6,SWS000328,328,229.7000,459.3600,1,1,2026-08-24T00:00:00.000
329,20260717,20260727,72,369,470,294,16,4,SWS000329,329,230.4000,460.7300,1,1,2026-08-24T00:00:00.000
330,20260706,20260628,22,124,236,66,4,3,SWS000330,330,231.1000,462.1000,1,1,2026-08-24T00:00:00.000
331,20260731,20260806,291,80,441,482,11,2,SWS000331,331,231.8000,463.4700,1,1,2026-08-24T00:00:00.000
332,20260730,20260630,143,61,341,396,6,7,SWS000332,332,232.5000,464.8400,1,1,2026-08-24T00:00:00.000
333,20260810,20260726,246,476,101,102,4,1,SWS000333,333,233.2000,466.2100,1,1,2026-08-24T00:00:00.000
334,20260610,20260626,122,218,129,419,7,4,SWS000334,334,233.9000,467.5800,1,1,2026-08-24T00:00:00.000
335,20260605,20260818,104,483,205,236,11,7,SWS000335,335,234.6000,468.9500,1,1,2026-08-24T00:00:00.000
336,20260821,20260529,183,310,152,139,3,7,SWS000336,336,235.3000,470.3200,1,1,2026-08-24T00:00:00.000
337,20260815,20260720,103,266,308,434,8,3,SWS000337,337,236.0000,471.6900,1,1,2026-08-24T00:00:00.000
338,20260717,20260528,258,265,63,436,15,5,SWS000338,338,236.7000,473.0600,1,1,2026-08-24T00:00:00.000
339,20260529,20260603,233,38,133,205,12,4,SWS000339,339,237.4000,474.4300,1,1,2026-08-24T00:00:00.000
340,20260614,20260605,108,-1,-1,280,5,5,SWS000340,340,238.1000,475.8000,1,1,2026-08-24T00:00:00.000
341,20260619,20260619,129,360,235,317,14,3,SWS000341,341,238.8000,477.1700,1,1,2026-08-24T00:00:00.000
342,20260817,20260530,294,140,82,24,3,4,SWS000342,342,239.5000,478.5400,1,1,2026-08-24T00:00:00.000
343,20260704,20260722,316,421,234,126,8,6,SWS000343,343,240.2000,479.9100,1,1,2026-08-24T00:00:00.000
344,20260606,20260620,42,187,229,292,1,5,SWS000344,344,240.9000,481.2800,1,1,2026-08-24T00:00:00.000
345,20260822,20260614,62,335,33,150,9,7,SWS000345,345,241.6000,482.6500,1,1,2026-08-24T00:00:00.000
346,20260628,20260602,92,466,231,148,7,7,SWS000346,346,242.3000,484.0200,1,1,2026-08-24T00:00:00.000
347,20260531,20260710,272,422,83,259,11,3,SWS000347,347,243.0000,485.3900,1,1,2026-08-24T00:00:00.000
348,20260731,20260627,76,231,123,475,7,6,SWS000348,348,243.7000,486.7600,1,1,2026-08-24T00:00:00.000
349,20260712,20260630,267,396,92,287,9,7,SWS000349,349,244.4000,488.1300,1,1,2026-08-24T00:00:00.000
350,20260821,20260606,326,196,44,416,4,6,SWS000350,350,245.1000,489.5000,1,1,2026-08-24T00:00:00.000
351,20260602,20260824,327,332,437,307,6,3,SWS000351,351,245.8000,490.8700,1,1,2026-08-24T00:00:00.000
352,20260703,20260604,1,206,271,240,15,6,SWS000352,352,246.5000,492.2400,1,1,2026-08-24T00:00:00.000
353,20260818,20260819,296,296,97,320,12,7,SWS000353,353,247.2000,493.6100,1,1,2026-08-24T00:00:00.000
354,20260614,20260809,34,318,500,246,7,7,SWS000354,354,247.9000,494.9800,1,1,2026-08-24T00:00:00.000
355,20260618,20260730,138,369,119,307,9,4,SWS000355,355,248.6000,496.3500,1,1,2026-08-24T00:00:00.000
356,20260805,20260820,212,75,458,331,5,5,SWS000356,356,249.3000,497.7200,1,1,2026-08-24T00:00:00.000
357,20260712,20260707,301,-1,-1,139,4,4,SWS000357,357,250.0000,499.0900,1,1,2026-08-24T00:00:00.000
358,20260615,20260701,274,181,74,494,5,5,SWS000358,358,250.7000,500.4600,1,1,2026-08-24T00:00:00.000
359,20260710,20260613,185,168,107,395,15,5,SWS000359,359,251.4000,501.8300,1,1,2026-08-24T00:00:00.000
360,20260717,20260607,94,74,444,349,5,5,SWS000360,360,252.1000,503.2000,1,1,2026-08-24T00:00:00.000
361,20260622,20260712,151,352,413,324,15,5,SWS000361,361,252.8000,504.5700,1,1,2026-08-24T00:00:00.000
362,20260629,20260720,309,224,259,208,14,1,SWS000362,362,253.5000,505.9400,1,1,2026-08-24T00:00:00.000
363,20260728,20260809,103,214,16,360,12,5,SWS000363,363,254.2000,507.3100,1,1,2026-08-24T00:00:00.000
364,20260530,20260606,63,309,444,102,16,5,SWS000364,364,254.9000,508.6800,1,1,2026-08-24T00:00:00.000
365,20260724,20260820,90,350,77,118,2,1,SWS000365,365,255.6000,510.0500,1,1,2026-08-24T00:00:00.000
366,20260821,20260824,40,102,240,193,5,3,SWS000366,366,256.3000,511.4200,1,1,2026-08-24T00:00:00.000
367,20260624,20260627,296,189,301,376,11,1,SWS000367,367,257.0000,512.7900,1,1,2026-08-24T00:00:00.000
368,20260823,20260714,23,336,330,431,9,4,SWS000368,368,257.7000,514.1600,1,1,2026-08-24T00:00:00.000
369,20260711,20260814,78,189,99,135,11,7,SWS000369,369,258.4000,515.5300,1,1,2026-08-24T00:00:00.000
370,20260717,20260819,54,172,255,221,7,1,SWS000370,370,259.1000,516.9000,1,1,2026-08-24T00:00:00.000
371,20260802,20260716,239,232,476,336,1,4,SWS000371,371,259.8000,518.2700,1,1,2026-08-24T00:00:00.000
372,20260703,20260716,334,473,495,19,12,4,SWS000372,372,260.5000,519.6400,1,1,2026-08-24T00:00:00.000
373,20260604,20260602,188,11,116,27,4,4,SWS000373,373,261.2000,521.0100,1,1,2026-08-24T00:00:00.000
374,20260719,20260601,212,-1,-1,446,4,4,SWS000374,374,261.9000,522.3800,1,1,2026-08-24T00:00:00.000
375,20260824,20260613,317,423,462,63,7,5,SWS000375,375,262.6000,523.7500,1,1,2026-08-24T00:00:00.000
376,20260609,20260623,204,327,77,209,14,7,SWS000376,376,263.3000,525.1200,1,1,2026-08-24T00:00:00.000
377,20260714,20260614,63,436,78,240,15,5,SWS000377,377,264.0000,526.4900,1,1,2026-08-24T00:00:00.000
378,20260606,20260724,208,121,96,146,11,2,SWS000378,378,264.7000,527.8600,1,1,2026-08-24T00:00:00.000
379,20260716,20260618,18,457,41,359,6,6,SWS000379,379,265.4000,529.2300,1,1,2026-08-24T00:00:00.000
380,20260606,20260722,331,475,263,494,11,5,SWS000380,380,266.1000,530.6000,1,1,2026-08-24T00:00:00.000
381,20260626,20260602,216,385,279,397,8,2,SWS000381,381,266.8000,531.9700,1,1,2026-08-24T00:00:00.000
382,20260731,20260802,305,232,63,90,13,1,SWS000382,382,267.5000,533.3400,1,1,2026-08-24T00:00:00.000
383,20260725,20260808,279,73,189,155,15,1,SWS000383,383,268.2000,534.7100,1,1,2026-08-24T00:00:00.000
384,20260803,20260607,81,453,479,59,13,6,SWS000384,384,268.9000,536.0800,1,1,2026-08-24T00:00:00.000
385,20260807,20260817,309,172,222,6,7,1,SWS000385,385,269.6000,537.4500,1,1,2026-08-24T00:00:00.000
386,20260731,20260723,80,357,251,314,15,6,SWS000386,386,270.3000,538.8200,1,1,2026-08-24T00:00:00.000
387,20260807,20260809,19,265,200,269,12,3,SWS000387,387,271.0000,540.1900,1,1,2026-08-24T00:00:00.000
388,20260806,20260605,91,100,138,145,4,1,SWS000388,388,271.7000,541.5600,1,1,2026-08-24T00:00:00.000
389,20260806,20260608,16,368,174,34,3,4,SWS000389,389,272.4000,542.9300,1,1,2026-08-24T00:00:00.000
390,20260615,20260823,317,290,368,355,8,2,SWS000390,390,273.1000,544.3000,1,1,2026-08-24T00:00:00.000
391,20260703,20260609,299,-1,-1,375,13,4,SWS000391,391,273.8000,545.6700,1,1,2026-08-24T00:00:00.000
392,20260627,20260711,240,313,469,115,4,6,SWS000392,392,274.5000,547.0400,1,1,2026-08-24T00:00:00.000
393,20260614,20260620,258,235,128,86,9,4,SWS000393,393,275.2000,548.4100,1,1,2026-08-24T00:00:00.000
394,20260710,20260813,247,218,328,309,4,5,SWS000394,394,275.9000,549.7800,1,1,2026-08-24T00:00:00.000
395,20260726,20260530,343,239,301,306,8,6,SWS000395,395,276.6000,551.1500,1,1,2026-08-24T00:00:00.000
396,20260613,20260820,110,306,302,245,11,5,SWS000396,396,277.3000,552.5200,1,1,2026-08-24T00:00:00.000
397,20260714,20260712,269,441,489,38,8,7,SWS000397,397,278.0000,553.8900,1,1,2026-08-24T00:00:00.000
398,20260728,20260725,72,37,475,145,14,7,SWS000398,398,278.7000,555.2600,1,1,2026-08-24T00:00:00.000
399,20260602,20260708,261,473,118,358,13,1,SWS000399,399,279.4000,556.6300,1,1,2026-08-24T00:00:00.000
400,20260820,20260818,22,434,136,10,8,5,SWS000400,400,280.1000,558.0000,1,1,2026-08-24T00:00:00.000
401,20260706,20260719,265,248,32,301,14,4,SWS000401,401,280.8000,559.3700,1,1,2026-08-24T00:00:00.000
402,20260625,20260818,60,465,437,173,4,4,SWS000402,402,281.5000,560.7400,1,1,2026-08-24T00:00:00.000
403,20260824,20260801,234,388,44,278,13,5,SWS000403,403,282.2000,562.1100,1,1,2026-08-24T00:00:00.000
404,20260616,20260627,183,387,135,381,2,7,SWS000404,404,282.9000,563.4800,1,1,2026-08-24T00:00:00.000
405,20260626,20260707,96,304,136,14,6,7,SWS000405,405,283.6000,564.8500,1,1,2026-08-24T00:00:00.000
406,20260726,20260719,278,225,169,4,15,3,SWS000406,406,284.3000,566.2200,1,1,2026-08-24T00:00:00.000
407,20260815,20260809,329,381,495,462,5,6,SWS000407,407,285.0000,567.5900,1,1,2026-08-24T00:00:00.000
408,20260806,20260811,271,-1,-1,167,5,5,SWS000408,408,285.7000,568.9600,1,1,2026-08-24T00:00:00.000
409,20260816,20260618,240,146,65,41,10,7,SWS000409,409,286.4000,570.3300,1,1,2026-08-24T00:00:00.000
410,20260722,20260804,317,381,149,439,7,7,SWS000410,410,287.1000,571.7000,1,1,2026-08-24T00:00:00.000
411,20260808,20260615,177,311,176,56,14,5,SWS000411,411,287.8000,573.0700,1,1,2026-08-24T00:00:00.000
412,20260613,20260711,110,482,379,272,4,3,SWS000412,412,288.5000,574.4400,1,1,2026-08-24T00:00:00.000
413,20260630,20260805,189,256,307,12,9,4,SWS000413,413,289.2000,575.8100,1,1,2026-08-24T00:00:00.000
414,20260608,20260814,298,362,383,1,15,7,SWS000414,414,289.9000,577.1800,1,1,2026-08-24T00:00:00.000
415,20260719,20260613,201,327,387,304,3,1,SWS000415,415,290.6000,578.5500,1,1,2026-08-24T00:00:00.000
416,20260621,20260602,127,219,328,150,16,5,SWS000416,416,291.3000,579.9200,1,1,2026-08-24T00:00:00.000
417,20260718,20260603,245,125,61,435,2,1,SWS000417,417,292.0000,581.2900,1,1,2026-08-24T00:00:00.000
418,20260721,20260609,259,424,499,363,1,4,SWS000418,418,292.7000,582.6600,1,1,2026-08-24T00:00:00.000
419,20260807,20260614,260,456,123,223,7,5,SWS000419,419,293.4000,584.0300,1,1,2026-08-24T00:00:00.000
420,20260708,20260811,59,12,14,65,14,7,SWS000420,420,294.1000,585.4000,1,1,2026-08-24T00:00:00.000
421,20260701,20260728,220,295,243,115,12,5,SWS000421,421,294.8000,586.7700,1,1,2026-08-24T00:00:00.000
422,20260606,20260725,122,274,172,463,8,6,SWS000422,422,295.5000,588.1400,1,1,2026-08-24T00:00:00.000
423,20260705,20260818,26,199,245,439,4,4,SWS000423,423,296.2000,589.5100,1,1,2026-08-24T00:00:00.000
424,20260804,20260621,348,111,406,162,10,2,SWS000424,424,296.9000,590.8800,1,1,2026-08-24T00:00:00.000
425,20260617,20260528,15,-1,-1,455,9,7,SWS000425,425,297.6000,592.2500,1,1,2026-08-24T00:00:00.000
426,20260810,20260623,196,362,434,78,10,7,SWS000426,426,298.3000,593.6200,1,1,2026-08-24T00:00:00.000
427,20260625,20260627,241,270,401,26,13,7,SWS000427,427,299.0000,594.9900,1,1,2026-08-24T00:00:00.000
428,20260527,20260711,131,233,82,259,10,5,SWS000428,428,299.7000,596.3600,1,1,2026-08-24T00:00:00.000
429,20260709,20260624,102,30,34,100,6,7,SWS000429,429,300.4000,597.7300,1,1,2026-08-24T00:00:00.000
430,20260719,20260815,75,370,477,41,11,1,SWS000430,430,301.1000,599.1000,1,1,2026-08-24T00:00:00.000
431,20260718,20260824,232,9,348,57,14,4,SWS000431,431,301.8000,600.4700,1,1,2026-08-24T00:00:00.000
432,20260725,20260714,173,276,177,197,12,7,SWS000432,432,302.5000,601.8400,1,1,2026-08-24T00:00:00.000
433,20260809,20260726,349,17,361,123,1,1,SWS000433,433,303.2000,603.2100,1,1,2026-08-24T00:00:00.000
434,20260813,20260812,200,341,74,226,9,5,SWS000434,434,303.9000,604.5800,1,1,2026-08-24T00:00:00.000
435,20260625,20260725,128,9,70,278,5,6,SWS000435,435,304.6000,605.9500,1,1,2026-08-24T00:00:00.000
436,20260710,20260618,28,61,147,250,3,4,SWS000436,436,305.3000,607.3200,1,1,2026-08-24T00:00:00.000
437,20260729,20260612,226,95,217,223,9,2,SWS000437,437,306.0000,608.6900,1,1,2026-08-24T00:00:00.000
438,20260630,20260709,63,30,55,155,5,2,SWS000438,438,306.7000,610.0600,1,1,2026-08-24T00:00:00.000
439,20260531,20260721,58,437,463,487,12,1,SWS000439,439,307.4000,611.4300,1,1,2026-08-24T00:00:00.000
440,20260820,20260605,242,9,102,286,1,4,SWS000440,440,308.1000,612.8000,1,1,2026-08-24T00:00:00.000
441,20260616,20260728,22,488,438,75,12,7,SWS000441,441,308.8000,614.1700,1,1,2026-08-24T00:00:00.000
