LaborTimesheetKey,ClaimDateKey,LaborDateKey,StartTimeOfDayKey,EndTimeOfDayKey,EmployeeKey,LaborAssignmentKey,LaborRosterSlotKey,WorkCenterKey,CostCenterKey,LaborPayTypeKey,LaborClaimStatusKey,CurrencyKey,TimesheetNumber,LaborClaimLineNumber,RegularHours,OvertimeHours,LaborCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
4813,20260721,20260611,27660,1560,380,130,181,270,287,1,2,5,LT004813,4813,14.0000,14.0000,6603.8100,1,1,2026-08-24T00:00:00.000
4814,20260615,20260819,36780,19500,251,151,79,214,382,3,5,4,LT004814,4814,15.0000,15.0000,6605.1800,1,1,2026-08-24T00:00:00.000
4815,20260818,20260528,33180,79380,174,74,141,283,119,9,4,2,LT004815,4815,16.0000,16.0000,6606.5500,1,1,2026-08-24T00:00:00.000
4816,20260619,20260808,39540,44280,461,85,304,471,115,12,3,1,LT004816,4816,17.0000,17.0000,6607.9200,1,1,2026-08-24T00:00:00.000
4817,20260715,20260603,12900,6240,15,366,133,348,180,4,7,3,LT004817,4817,18.0000,18.0000,6609.2900,1,1,2026-08-24T00:00:00.000
4818,20260727,20260616,4200,43740,394,471,267,94,60,10,1,4,LT004818,4818,19.0000,19.0000,6610.6600,1,1,2026-08-24T00:00:00.000
4819,20260810,20260712,79260,43500,436,491,383,499,274,5,7,1,LT004819,4819,20.0000,20.0000,6612.0300,1,1,2026-08-24T00:00:00.000
4820,20260703,20260801,41160,10740,330,234,124,31,309,10,4,2,LT004820,4820,21.0000,21.0000,6613.4000,1,1,2026-08-24T00:00:00.000
4821,20260707,20260614,36180,0,30,203,281,209,338,9,5,3,LT004821,4821,22.0000,22.0000,6614.7700,1,1,2026-08-24T00:00:00.000
4822,20260804,20260809,11580,49200,58,424,276,344,123,4,3,5,LT004822,4822,23.0000,23.0000,6616.1400,1,1,2026-08-24T00:00:00.000
4823,20260729,20260602,38160,73440,376,146,495,200,400,8,6,3,LT004823,4823,24.0000,24.0000,6617.5100,1,1,2026-08-24T00:00:00.000
4824,20260803,20260701,38220,46260,28,317,293,161,390,11,1,4,LT004824,4824,1.0000,1.0000,6618.8800,1,1,2026-08-24T00:00:00.000
4825,20260705,20260805,42840,34980,327,263,437,436,282,1,6,2,LT004825,4825,2.0000,2.0000,6620.2500,1,1,2026-08-24T00:00:00.000
4826,20260624,20260729,14400,52080,31,477,387,214,75,6,2,5,LT004826,4826,3.0000,3.0000,6621.6200,1,1,2026-08-24T00:00:00.000
4827,20260807,20260630,3180,18840,89,168,52,18,170,2,6,1,LT004827,4827,4.0000,4.0000,6622.9900,1,1,2026-08-24T00:00:00.000
4828,20260816,20260816,9120,21180,100,314,-1,-1,383,2,1,1,LT004828,4828,5.0000,5.0000,6624.3600,1,1,2026-08-24T00:00:00.000
4829,20260715,20260806,80640,40080,270,52,94,470,197,5,6,2,LT004829,4829,6.0000,6.0000,6625.7300,1,1,2026-08-24T00:00:00.000
4830,20260529,20260809,26940,1740,318,229,239,345,105,6,2,2,LT004830,4830,7.0000,7.0000,6627.1000,1,1,2026-08-24T00:00:00.000
4831,20260528,20260725,50940,20400,144,277,381,342,161,8,5,1,LT004831,4831,8.0000,8.0000,6628.4700,1,1,2026-08-24T00:00:00.000
4832,20260607,20260702,7140,22560,460,388,182,302,301,12,1,1,LT004832,4832,9.0000,9.0000,6629.8400,1,1,2026-08-24T00:00:00.000
4833,20260616,20260811,7800,50880,10,488,335,101,389,4,7,5,LT004833,4833,10.0000,10.0000,6631.2100,1,1,2026-08-24T00:00:00.000
4834,20260709,20260528,45480,57420,376,265,458,50,449,3,2,5,LT004834,4834,11.0000,11.0000,6632.5800,1,1,2026-08-24T00:00:00.000
4835,20260808,20260725,76380,58260,311,430,8,480,291,9,6,4,LT004835,4835,12.0000,12.0000,6633.9500,1,1,2026-08-24T00:00:00.000
4836,20260712,20260530,19140,23400,210,267,197,99,162,5,1,2,LT004836,4836,13.0000,13.0000,6635.3200,1,1,2026-08-24T00:00:00.000
4837,20260731,20260730,19320,76980,298,434,101,392,169,3,1,4,LT004837,4837,14.0000,14.0000,6636.6900,1,1,2026-08-24T00:00:00.000
4838,20260820,20260818,46680,30000,446,126,263,469,486,1,5,1,LT004838,4838,15.0000,15.0000,6638.0600,1,1,2026-08-24T00:00:00.000
4839,20260729,20260703,2520,59940,82,350,226,422,96,5,1,3,LT004839,4839,16.0000,16.0000,6639.4300,1,1,2026-08-24T00:00:00.000
4840,20260724,20260724,68400,78900,375,11,473,58,227,7,3,4,LT004840,4840,17.0000,17.0000,6640.8000,1,1,2026-08-24T00:00:00.000
4841,20260806,20260701,54480,120,81,236,110,100,238,3,2,2,LT004841,4841,18.0000,18.0000,6642.1700,1,1,2026-08-24T00:00:00.000
4842,20260809,20260623,19080,70440,469,346,54,70,174,9,3,3,LT004842,4842,19.0000,19.0000,6643.5400,1,1,2026-08-24T00:00:00.000
4843,20260705,20260801,67260,1440,285,158,277,444,490,10,4,5,LT004843,4843,20.0000,20.0000,6644.9100,1,1,2026-08-24T00:00:00.000
4844,20260716,20260723,83880,58020,237,449,271,422,203,5,6,4,LT004844,4844,21.0000,21.0000,6646.2800,1,1,2026-08-24T00:00:00.000
4845,20260606,20260609,33960,57840,492,122,-1,-1,226,4,6,3,LT004845,4845,22.0000,22.0000,6647.6500,1,1,2026-08-24T00:00:00.000
4846,20260709,20260731,26940,73020,25,301,494,341,170,5,1,4,LT004846,4846,23.0000,23.0000,6649.0200,1,1,2026-08-24T00:00:00.000
4847,20260821,20260708,17820,34800,473,184,5,419,216,3,3,3,LT004847,4847,24.0000,24.0000,6650.3900,1,1,2026-08-24T00:00:00.000
4848,20260528,20260622,61080,7800,10,286,350,80,304,3,1,2,LT004848,4848,1.0000,1.0000,6651.7600,1,1,2026-08-24T00:00:00.000
4849,20260617,20260711,67440,56760,10,402,29,163,318,6,5,5,LT004849,4849,2.0000,2.0000,6653.1300,1,1,2026-08-24T00:00:00.000
4850,20260812,20260614,21900,48000,268,295,120,244,15,11,4,4,LT004850,4850,3.0000,3.0000,6654.5000,1,1,2026-08-24T00:00:00.000
4851,20260605,20260603,52680,58140,417,151,499,301,71,11,7,3,LT004851,4851,4.0000,4.0000,6655.8700,1,1,2026-08-24T00:00:00.000
4852,20260801,20260620,71400,42420,117,480,421,180,359,4,3,4,LT004852,4852,5.0000,5.0000,6657.2400,1,1,2026-08-24T00:00:00.000
4853,20260701,20260630,76920,73560,457,55,315,496,499,6,2,2,LT004853,4853,6.0000,6.0000,6658.6100,1,1,2026-08-24T00:00:00.000
4854,20260714,20260804,74100,58860,88,231,225,121,84,6,4,3,LT004854,4854,7.0000,7.0000,6659.9800,1,1,2026-08-24T00:00:00.000
4855,20260613,20260613,78900,27600,249,33,185,457,366,12,3,4,LT004855,4855,8.0000,8.0000,6661.3500,1,1,2026-08-24T00:00:00.000
4856,20260718,20260808,71940,39060,459,333,397,83,53,8,1,1,LT004856,4856,9.0000,9.0000,6662.7200,1,1,2026-08-24T00:00:00.000
4857,20260708,20260605,420,62700,366,151,332,34,19,6,1,5,LT004857,4857,10.0000,10.0000,6664.0900,1,1,2026-08-24T00:00:00.000
4858,20260711,20260623,48120,45060,348,335,52,194,422,5,6,2,LT004858,4858,11.0000,11.0000,6665.4600,1,1,2026-08-24T00:00:00.000
4859,20260527,20260609,41400,5640,353,321,90,380,228,6,2,4,LT004859,4859,12.0000,12.0000,6666.8300,1,1,2026-08-24T00:00:00.000
4860,20260531,20260609,50100,86100,421,331,243,211,39,9,2,1,LT004860,4860,13.0000,13.0000,6668.2000,1,1,2026-08-24T00:00:00.000
4861,20260823,20260605,69960,20160,126,116,438,274,234,1,1,2,LT004861,4861,14.0000,14.0000,6669.5700,1,1,2026-08-24T00:00:00.000
4862,20260807,20260817,17520,83340,12,370,-1,-1,56,1,1,2,LT004862,4862,15.0000,15.0000,6670.9400,1,1,2026-08-24T00:00:00.000
4863,20260713,20260717,59340,11220,428,32,471,28,43,9,7,3,LT004863,4863,16.0000,16.0000,6672.3100,1,1,2026-08-24T00:00:00.000
4864,20260731,20260715,3180,38700,229,362,355,118,72,2,2,5,LT004864,4864,17.0000,17.0000,6673.6800,1,1,2026-08-24T00:00:00.000
4865,20260703,20260621,7560,10860,233,335,149,75,70,4,1,1,LT004865,4865,18.0000,18.0000,6675.0500,1,1,2026-08-24T00:00:00.000
4866,20260724,20260616,32160,16500,149,443,126,130,269,7,3,1,LT004866,4866,19.0000,19.0000,6676.4200,1,1,2026-08-24T00:00:00.000
4867,20260817,20260816,2760,63720,324,446,319,419,209,7,7,4,LT004867,4867,20.0000,20.0000,6677.7900,1,1,2026-08-24T00:00:00.000
4868,20260822,20260812,30480,3780,425,150,166,374,156,3,7,2,LT004868,4868,21.0000,21.0000,6679.1600,1,1,2026-08-24T00:00:00.000
4869,20260719,20260728,21240,11520,392,146,426,282,440,2,6,2,LT004869,4869,22.0000,22.0000,6680.5300,1,1,2026-08-24T00:00:00.000
4870,20260729,20260804,54540,64860,231,332,473,199,259,9,6,4,LT004870,4870,23.0000,23.0000,6681.9000,1,1,2026-08-24T00:00:00.000
4871,20260731,20260716,45780,37380,215,488,287,423,301,8,1,3,LT004871,4871,24.0000,24.0000,6683.2700,1,1,2026-08-24T00:00:00.000
4872,20260706,20260727,20400,19020,3,35,164,354,458,7,3,2,LT004872,4872,1.0000,1.0000,6684.6400,1,1,2026-08-24T00:00:00.000
4873,20260813,20260717,83580,36300,78,190,76,117,77,5,2,2,LT004873,4873,2.0000,2.0000,6686.0100,1,1,2026-08-24T00:00:00.000
4874,20260528,20260617,55260,84720,493,391,286,111,89,8,2,1,LT004874,4874,3.0000,3.0000,6687.3800,1,1,2026-08-24T00:00:00.000
4875,20260626,20260705,51540,81060,385,341,355,234,321,8,3,3,LT004875,4875,4.0000,4.0000,6688.7500,1,1,2026-08-24T00:00:00.000
4876,20260615,20260815,45240,80460,429,263,418,103,395,11,3,1,LT004876,4876,5.0000,5.0000,6690.1200,1,1,2026-08-24T00:00:00.000
4877,20260714,20260709,71640,41340,139,17,185,213,267,2,3,1,LT004877,4877,6.0000,6.0000,6691.4900,1,1,2026-08-24T00:00:00.000
4878,20260802,20260614,57720,58440,212,316,371,455,381,12,4,3,LT004878,4878,7.0000,7.0000,6692.8600,1,1,2026-08-24T00:00:00.000
4879,20260708,20260805,69960,67860,411,344,-1,-1,28,6,7,3,LT004879,4879,8.0000,8.0000,6694.2300,1,1,2026-08-24T00:00:00.000
4880,20260612,20260822,62640,69000,298,80,339,193,500,3,7,2,LT004880,4880,9.0000,9.0000,6695.6000,1,1,2026-08-24T00:00:00.000
4881,20260727,20260602,35220,71280,307,129,256,97,185,11,2,1,LT004881,4881,10.0000,10.0000,6696.9700,1,1,2026-08-24T00:00:00.000
4882,20260721,20260805,39240,76740,340,404,230,386,284,6,1,3,LT004882,4882,11.0000,11.0000,6698.3400,1,1,2026-08-24T00:00:00.000
4883,20260822,20260603,84300,4080,271,8,90,199,377,9,6,3,LT004883,4883,12.0000,12.0000,6699.7100,1,1,2026-08-24T00:00:00.000
4884,20260803,20260804,39960,50640,388,78,129,9,280,8,6,5,LT004884,4884,13.0000,13.0000,6701.0800,1,1,2026-08-24T00:00:00.000
4885,20260710,20260613,54360,75180,59,284,297,382,184,6,5,4,LT004885,4885,14.0000,14.0000,6702.4500,1,1,2026-08-24T00:00:00.000
4886,20260618,20260613,61560,73260,191,315,277,449,38,12,7,5,LT004886,4886,15.0000,15.0000,6703.8200,1,1,2026-08-24T00:00:00.000
4887,20260823,20260601,80340,79200,346,330,183,69,180,4,4,5,LT004887,4887,16.0000,16.0000,6705.1900,1,1,2026-08-24T00:00:00.000
4888,20260529,20260705,74340,46320,90,407,78,146,10,6,5,3,LT004888,4888,17.0000,17.0000,6706.5600,1,1,2026-08-24T00:00:00.000
4889,20260804,20260629,82500,32640,246,238,233,493,364,3,4,3,LT004889,4889,18.0000,18.0000,6707.9300,1,1,2026-08-24T00:00:00.000
4890,20260807,20260726,9180,78540,203,271,414,121,93,8,6,3,LT004890,4890,19.0000,19.0000,6709.3000,1,1,2026-08-24T00:00:00.000
4891,20260704,20260713,84720,17700,494,429,358,326,441,2,1,1,LT004891,4891,20.0000,20.0000,6710.6700,1,1,2026-08-24T00:00:00.000
4892,20260612,20260607,43140,78720,362,87,495,14,4,5,2,5,LT004892,4892,21.0000,21.0000,6712.0400,1,1,2026-08-24T00:00:00.000
4893,20260609,20260702,26040,55020,420,240,114,422,40,10,6,2,LT004893,4893,22.0000,22.0000,6713.4100,1,1,2026-08-24T00:00:00.000
4894,20260723,20260815,43260,61440,368,242,32,434,348,12,1,2,LT004894,4894,23.0000,23.0000,6714.7800,1,1,2026-08-24T00:00:00.000
4895,20260530,20260601,24240,6060,259,20,108,192,20,6,1,3,LT004895,4895,24.0000,24.0000,6716.1500,1,1,2026-08-24T00:00:00.000
4896,20260810,20260822,20280,52920,184,142,-1,-1,334,5,5,2,LT004896,4896,1.0000,1.0000,6717.5200,1,1,2026-08-24T00:00:00.000
4897,20260615,20260624,40980,32520,468,55,360,52,28,4,2,5,LT004897,4897,2.0000,2.0000,6718.8900,1,1,2026-08-24T00:00:00.000
4898,20260617,20260614,55200,24180,188,234,55,156,302,12,4,3,LT004898,4898,3.0000,3.0000,6720.2600,1,1,2026-08-24T00:00:00.000
4899,20260601,20260622,52200,64020,421,482,186,369,193,6,1,1,LT004899,4899,4.0000,4.0000,6721.6300,1,1,2026-08-24T00:00:00.000
4900,20260823,20260607,57600,39360,248,141,120,388,215,9,5,3,LT004900,4900,5.0000,5.0000,6723.0000,1,1,2026-08-24T00:00:00.000
4901,20260615,20260704,51060,49680,420,24,187,149,290,9,6,1,LT004901,4901,6.0000,6.0000,6724.3700,1,1,2026-08-24T00:00:00.000
4902,20260817,20260616,8940,41340,259,30,240,191,417,8,5,1,LT004902,4902,7.0000,7.0000,6725.7400,1,1,2026-08-24T00:00:00.000
4903,20260616,20260604,77100,14520,341,192,345,38,130,3,3,2,LT004903,4903,8.0000,8.0000,6727.1100,1,1,2026-08-24T00:00:00.000
4904,20260725,20260618,50460,5220,246,448,398,414,224,3,1,2,LT004904,4904,9.0000,9.0000,6728.4800,1,1,2026-08-24T00:00:00.000
4905,20260603,20260713,17460,39660,330,417,132,352,33,11,6,5,LT004905,4905,10.0000,10.0000,6729.8500,1,1,2026-08-24T00:00:00.000
4906,20260727,20260821,2820,35040,171,415,360,54,104,12,7,2,LT004906,4906,11.0000,11.0000,6731.2200,1,1,2026-08-24T00:00:00.000
4907,20260706,20260618,46080,42480,26,233,84,239,360,4,1,3,LT004907,4907,12.0000,12.0000,6732.5900,1,1,2026-08-24T00:00:00.000
4908,20260704,20260715,1020,32940,456,61,294,29,273,6,4,5,LT004908,4908,13.0000,13.0000,6733.9600,1,1,2026-08-24T00:00:00.000
4909,20260805,20260627,8160,56100,247,461,207,303,245,7,5,5,LT004909,4909,14.0000,14.0000,6735.3300,1,1,2026-08-24T00:00:00.000
4910,20260731,20260530,58320,21900,202,112,429,30,381,5,4,3,LT004910,4910,15.0000,15.0000,6736.7000,1,1,2026-08-24T00:00:00.000
4911,20260810,20260814,33600,20580,169,65,271,55,107,10,5,5,LT004911,4911,16.0000,16.0000,6738.0700,1,1,2026-08-24T00:00:00.000
4912,20260728,20260824,18960,39660,333,88,123,466,232,4,6,1,LT004912,4912,17.0000,17.0000,6739.4400,1,1,2026-08-24T00:00:00.000
4913,20260601,20260718,5580,85260,385,62,-1,-1,255,10,5,3,LT004913,4913,18.0000,18.0000,6740.8100,1,1,2026-08-24T00:00:00.000
4914,20260713,20260605,69240,17280,425,60,171,448,471,7,2,2,LT004914,4914,19.0000,19.0000,6742.1800,1,1,2026-08-24T00:00:00.000
4915,20260711,20260623,44280,30600,197,493,216,363,395,7,6,5,LT004915,4915,20.0000,20.0000,6743.5500,1,1,2026-08-24T00:00:00.000
4916,20260822,20260728,22260,37080,418,195,233,367,78,2,3,3,LT004916,4916,21.0000,21.0000,6744.9200,1,1,2026-08-24T00:00:00.000
4917,20260822,20260701,24120,73920,55,328,273,445,421,11,1,5,LT004917,4917,22.0000,22.0000,6746.2900,1,1,2026-08-24T00:00:00.000
4918,20260630,20260805,53820,15120,435,48,281,382,278,8,5,2,LT004918,4918,23.0000,23.0000,6747.6600,1,1,2026-08-24T00:00:00.000
4919,20260611,20260613,70980,49800,66,293,202,408,32,7,4,5,LT004919,4919,24.0000,24.0000,6749.0300,1,1,2026-08-24T00:00:00.000
4920,20260626,20260607,49020,3420,116,43,275,214,115,1,3,3,LT004920,4920,1.0000,1.0000,6750.4000,1,1,2026-08-24T00:00:00.000
4921,20260630,20260712,19140,35100,258,257,272,145,4,2,2,4,LT004921,4921,2.0000,2.0000,6751.7700,1,1,2026-08-24T00:00:00.000
4922,20260528,20260727,19320,33480,497,89,140,115,9,10,5,5,LT004922,4922,3.0000,3.0000,6753.1400,1,1,2026-08-24T00:00:00.000
4923,20260816,20260807,47280,39600,183,388,137,374,460,7,3,2,LT004923,4923,4.0000,4.0000,6754.5100,1,1,2026-08-24T00:00:00.000
4924,20260819,20260622,84600,31560,72,42,352,217,12,1,1,2,LT004924,4924,5.0000,5.0000,6755.8800,1,1,2026-08-24T00:00:00.000
4925,20260726,20260701,26760,55080,263,14,427,241,267,5,1,3,LT004925,4925,6.0000,6.0000,6757.2500,1,1,2026-08-24T00:00:00.000
4926,20260824,20260810,84900,65160,480,279,80,442,377,5,5,5,LT004926,4926,7.0000,7.0000,6758.6200,1,1,2026-08-24T00:00:00.000
4927,20260718,20260614,0,15720,112,469,317,57,418,9,1,2,LT004927,4927,8.0000,8.0000,6759.9900,1,1,2026-08-24T00:00:00.000
4928,20260728,20260726,76320,42720,391,479,87,89,120,8,1,2,LT004928,4928,9.0000,9.0000,6761.3600,1,1,2026-08-24T00:00:00.000
4929,20260822,20260722,8820,67620,399,258,230,351,219,1,6,3,LT004929,4929,10.0000,10.0000,6762.7300,1,1,2026-08-24T00:00:00.000
4930,20260529,20260731,38880,86220,247,111,-1,-1,399,5,5,1,LT004930,4930,11.0000,11.0000,6764.1000,1,1,2026-08-24T00:00:00.000
4931,20260722,20260711,37980,29580,85,292,154,345,339,6,1,1,LT004931,4931,12.0000,12.0000,6765.4700,1,1,2026-08-24T00:00:00.000
4932,20260819,20260725,76740,7980,285,330,219,492,119,12,2,1,LT004932,4932,13.0000,13.0000,6766.8400,1,1,2026-08-24T00:00:00.000
4933,20260820,20260709,14580,42480,327,181,8,120,187,10,4,5,LT004933,4933,14.0000,14.0000,6768.2100,1,1,2026-08-24T00:00:00.000
4934,20260530,20260804,2160,16440,465,482,465,282,244,6,3,2,LT004934,4934,15.0000,15.0000,6769.5800,1,1,2026-08-24T00:00:00.000
4935,20260724,20260715,60900,19380,63,201,57,179,375,6,4,5,LT004935,4935,16.0000,16.0000,6770.9500,1,1,2026-08-24T00:00:00.000
4936,20260727,20260728,36660,84480,157,233,103,206,27,3,1,4,LT004936,4936,17.0000,17.0000,6772.3200,1,1,2026-08-24T00:00:00.000
4937,20260806,20260703,38700,74520,98,151,462,276,456,8,7,1,LT004937,4937,18.0000,18.0000,6773.6900,1,1,2026-08-24T00:00:00.000
4938,20260527,20260611,46380,81660,445,474,81,455,423,6,6,5,LT004938,4938,19.0000,19.0000,6775.0600,1,1,2026-08-24T00:00:00.000
4939,20260611,20260610,25860,10200,498,273,439,224,163,5,2,3,LT004939,4939,20.0000,20.0000,6776.4300,1,1,2026-08-24T00:00:00.000
4940,20260719,20260623,22080,35580,150,59,484,173,259,6,3,2,LT004940,4940,21.0000,21.0000,6777.8000,1,1,2026-08-24T00:00:00.000
4941,20260724,20260708,81480,36900,160,299,93,151,166,2,3,2,LT004941,4941,22.0000,22.0000,6779.1700,1,1,2026-08-24T00:00:00.000
4942,20260721,20260703,86160,31500,310,480,144,70,225,1,3,4,LT004942,4942,23.0000,23.0000,6780.5400,1,1,2026-08-24T00:00:00.000
4943,20260709,20260807,29220,71100,461,406,328,305,127,6,5,1,LT004943,4943,24.0000,24.0000,6781.9100,1,1,2026-08-24T00:00:00.000
4944,20260718,20260613,67200,6060,311,267,482,23,363,3,2,5,LT004944,4944,1.0000,1.0000,6783.2800,1,1,2026-08-24T00:00:00.000
4945,20260818,20260529,86160,55380,246,134,125,329,318,4,4,3,LT004945,4945,2.0000,2.0000,6784.6500,1,1,2026-08-24T00:00:00.000
4946,20260527,20260713,76920,69660,70,493,94,490,85,12,7,1,LT004946,4946,3.0000,3.0000,6786.0200,1,1,2026-08-24T00:00:00.000
4947,20260725,20260628,3600,6000,337,422,-1,-1,67,4,3,4,LT004947,4947,4.0000,4.0000,6787.3900,1,1,2026-08-24T00:00:00.000
4948,20260725,20260709,19680,29520,354,265,228,175,492,3,1,2,LT004948,4948,5.0000,5.0000,6788.7600,1,1,2026-08-24T00:00:00.000
4949,20260706,20260530,1080,59340,323,228,410,233,103,1,7,4,LT004949,4949,6.0000,6.0000,6790.1300,1,1,2026-08-24T00:00:00.000
4950,20260720,20260818,26220,57420,262,180,301,93,500,7,5,5,LT004950,4950,7.0000,7.0000,6791.5000,1,1,2026-08-24T00:00:00.000
4951,20260729,20260818,22020,25620,432,145,367,82,257,8,7,5,LT004951,4951,8.0000,8.0000,6792.8700,1,1,2026-08-24T00:00:00.000
4952,20260814,20260815,12180,40320,34,129,270,331,148,2,2,3,LT004952,4952,9.0000,9.0000,6794.2400,1,1,2026-08-24T00:00:00.000
4953,20260803,20260701,17220,26220,280,346,298,29,10,8,6,2,LT004953,4953,10.0000,10.0000,6795.6100,1,1,2026-08-24T00:00:00.000
4954,20260721,20260811,61080,77580,286,421,68,136,473,12,1,3,LT004954,4954,11.0000,11.0000,6796.9800,1,1,2026-08-24T00:00:00.000
4955,20260813,20260809,45180,73740,491,289,355,426,208,12,2,4,LT004955,4955,12.0000,12.0000,6798.3500,1,1,2026-08-24T00:00:00.000
4956,20260621,20260718,61200,15420,144,27,161,170,125,7,6,2,LT004956,4956,13.0000,13.0000,6799.7200,1,1,2026-08-24T00:00:00.000
4957,20260823,20260812,37500,41640,60,308,426,141,355,4,6,2,LT004957,4957,14.0000,14.0000,6801.0900,1,1,2026-08-24T00:00:00.000
4958,20260702,20260824,75840,57060,326,392,305,227,360,10,5,3,LT004958,4958,15.0000,15.0000,6802.4600,1,1,2026-08-24T00:00:00.000
4959,20260717,20260711,15900,40800,240,80,308,106,259,8,4,5,LT004959,4959,16.0000,16.0000,6803.8300,1,1,2026-08-24T00:00:00.000
4960,20260822,20260802,54300,16380,290,400,85,167,238,7,7,2,LT004960,4960,17.0000,17.0000,6805.2000,1,1,2026-08-24T00:00:00.000
4961,20260702,20260703,43740,46560,244,460,271,207,381,10,4,3,LT004961,4961,18.0000,18.0000,6806.5700,1,1,2026-08-24T00:00:00.000
4962,20260531,20260809,48120,3300,462,473,292,362,169,3,2,2,LT004962,4962,19.0000,19.0000,6807.9400,1,1,2026-08-24T00:00:00.000
4963,20260817,20260720,55740,66360,466,69,398,125,240,12,7,3,LT004963,4963,20.0000,20.0000,6809.3100,1,1,2026-08-24T00:00:00.000
4964,20260806,20260824,8520,3240,127,211,-1,-1,321,5,6,4,LT004964,4964,21.0000,21.0000,6810.6800,1,1,2026-08-24T00:00:00.000
4965,20260824,20260531,35400,58080,97,251,263,72,9,12,4,3,LT004965,4965,22.0000,22.0000,6812.0500,1,1,2026-08-24T00:00:00.000
4966,20260822,20260728,19980,5820,306,182,185,169,419,6,5,5,LT004966,4966,23.0000,23.0000,6813.4200,1,1,2026-08-24T00:00:00.000
4967,20260713,20260714,10740,83760,492,43,372,399,440,2,2,3,LT004967,4967,24.0000,24.0000,6814.7900,1,1,2026-08-24T00:00:00.000
4968,20260727,20260730,3780,31800,47,355,37,441,2,4,4,5,LT004968,4968,1.0000,1.0000,6816.1600,1,1,2026-08-24T00:00:00.000
4969,20260823,20260704,13800,72420,324,493,289,326,352,3,3,1,LT004969,4969,2.0000,2.0000,6817.5300,1,1,2026-08-24T00:00:00.000
4970,20260806,20260626,38700,80220,288,101,464,215,24,7,1,2,LT004970,4970,3.0000,3.0000,6818.9000,1,1,2026-08-24T00:00:00.000
4971,20260603,20260703,16860,8340,200,322,20,381,34,1,1,4,LT004971,4971,4.0000,4.0000,6820.2700,1,1,2026-08-24T00:00:00.000
4972,20260603,20260711,38760,17640,374,464,262,467,57,11,3,5,LT004972,4972,5.0000,5.0000,6821.6400,1,1,2026-08-24T00:00:00.000
4973,20260529,20260616,51000,50220,291,68,265,405,140,4,1,4,LT004973,4973,6.0000,6.0000,6823.0100,1,1,2026-08-24T00:00:00.000
4974,20260612,20260613,82080,25620,217,68,238,33,165,7,4,3,LT004974,4974,7.0000,7.0000,6824.3800,1,1,2026-08-24T00:00:00.000
4975,20260818,20260810,43500,64500,123,355,134,209,33,1,3,1,LT004975,4975,8.0000,8.0000,6825.7500,1,1,2026-08-24T00:00:00.000
4976,20260619,20260717,45480,31560,481,462,419,209,251,10,3,1,LT004976,4976,9.0000,9.0000,6827.1200,1,1,2026-08-24T00:00:00.000
4977,20260818,20260718,20220,55800,287,46,495,64,471,7,5,4,LT004977,4977,10.0000,10.0000,6828.4900,1,1,2026-08-24T00:00:00.000
4978,20260727,20260612,74280,68820,412,125,322,16,129,11,1,2,LT004978,4978,11.0000,11.0000,6829.8600,1,1,2026-08-24T00:00:00.000
4979,20260614,20260715,42000,20100,19,336,441,186,369,6,5,3,LT004979,4979,12.0000,12.0000,6831.2300,1,1,2026-08-24T00:00:00.000
4980,20260612,20260730,180,64920,395,395,481,90,8,8,5,3,LT004980,4980,13.0000,13.0000,6832.6000,1,1,2026-08-24T00:00:00.000
4981,20260725,20260728,46980,78960,47,73,-1,-1,329,8,7,5,LT004981,4981,14.0000,14.0000,6833.9700,1,1,2026-08-24T00:00:00.000
4982,20260610,20260810,34680,20160,289,471,166,201,138,12,4,3,LT004982,4982,15.0000,15.0000,6835.3400,1,1,2026-08-24T00:00:00.000
4983,20260710,20260615,40320,67980,483,366,60,248,31,7,7,3,LT004983,4983,16.0000,16.0000,6836.7100,1,1,2026-08-24T00:00:00.000
4984,20260615,20260714,62100,76440,248,333,499,281,278,11,1,1,LT004984,4984,17.0000,17.0000,6838.0800,1,1,2026-08-24T00:00:00.000
4985,20260722,20260709,74640,29640,177,9,98,433,21,2,7,2,LT004985,4985,18.0000,18.0000,6839.4500,1,1,2026-08-24T00:00:00.000
4986,20260630,20260710,55260,62880,345,82,365,387,406,8,3,2,LT004986,4986,19.0000,19.0000,6840.8200,1,1,2026-08-24T00:00:00.000
4987,20260702,20260616,21300,84540,483,310,199,280,50,11,6,4,LT004987,4987,20.0000,20.0000,6842.1900,1,1,2026-08-24T00:00:00.000
4988,20260612,20260712,5400,83220,442,261,195,35,319,9,4,4,LT004988,4988,21.0000,21.0000,6843.5600,1,1,2026-08-24T00:00:00.000
4989,20260819,20260712,12600,34560,230,263,499,386,238,2,4,5,LT004989,4989,22.0000,22.0000,6844.9300,1,1,2026-08-24T00:00:00.000
4990,20260823,20260803,24540,42720,250,237,362,76,453,11,1,3,LT004990,4990,23.0000,23.0000,6846.3000,1,1,2026-08-24T00:00:00.000
4991,20260619,20260608,19020,4860,449,276,83,50,16,5,2,3,LT004991,4991,24.0000,24.0000,6847.6700,1,1,2026-08-24T00:00:00.000
4992,20260801,20260530,45540,14700,294,128,209,457,335,5,7,1,LT004992,4992,1.0000,1.0000,6849.0400,1,1,2026-08-24T00:00:00.000
4993,20260613,20260727,1020,21720,392,74,166,165,373,3,5,4,LT004993,4993,2.0000,2.0000,6850.4100,1,1,2026-08-24T00:00:00.000
