OeePeriodicSnapshotKey,SnapshotDateKey,MachineKey,OeeTargetProfileKey,ProductKey,ProductionShiftKey,WorkCenterKey,PlantKey,OeeCalculationMethodKey,UnitOfMeasureKey,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
236,20260605,174,415,472,125,142,100,4,1,237,333.3200,241.0000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260716,441,155,59,233,16,16,7,6,238,334.6900,242.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260630,288,-1,-1,-1,288,14,2,2,239,336.0600,243.0000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260716,152,369,72,316,455,45,12,2,240,337.4300,244.0000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260729,404,78,165,94,298,41,5,5,241,338.8000,245.0000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260805,497,59,117,282,460,44,10,2,242,340.1700,246.0000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260621,491,135,402,151,42,13,8,3,243,341.5400,247.0000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260821,244,374,437,494,191,347,5,4,244,342.9100,248.0000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260624,425,446,55,373,195,94,3,1,245,344.2800,249.0000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260801,174,103,139,468,61,219,1,4,246,345.6500,250.0000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260603,40,398,99,477,409,179,9,6,247,347.0200,251.0000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260714,283,6,365,54,396,50,8,5,248,348.3900,252.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260804,444,71,414,71,370,231,4,5,249,349.7600,253.0000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260816,301,448,294,225,382,230,1,2,250,351.1300,254.0000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260716,168,30,275,406,185,246,8,2,251,352.5000,255.0000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260616,177,395,24,481,195,12,4,5,252,353.8700,256.0000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260605,120,488,124,326,438,219,7,3,253,355.2400,257.0000,355.2400,1,1,2026-08-24T00:00:00.000
253,20260629,175,437,231,88,140,222,8,7,254,356.6100,258.0000,356.6100,1,1,2026-08-24T00:00:00.000
254,20260707,216,375,87,97,12,326,10,5,255,357.9800,259.0000,357.9800,1,1,2026-08-24T00:00:00.000
255,20260726,171,-1,-1,-1,405,138,1,3,256,359.3500,260.0000,359.3500,1,1,2026-08-24T00:00:00.000
256,20260610,355,272,395,394,327,96,8,5,257,360.7200,261.0000,360.7200,1,1,2026-08-24T00:00:00.000
257,20260720,283,29,265,291,271,75,4,7,258,362.0900,262.0000,362.0900,1,1,2026-08-24T00:00:00.000
258,20260621,122,248,111,119,17,50,2,3,259,363.4600,263.0000,363.4600,1,1,2026-08-24T00:00:00.000
259,20260731,10,205,359,68,76,119,11,2,260,364.8300,264.0000,364.8300,1,1,2026-08-24T00:00:00.000
260,20260717,288,39,309,427,473,77,6,4,261,366.2000,265.0000,366.2000,1,1,2026-08-24T00:00:00.000
261,20260803,311,26,40,102,173,161,4,3,262,367.5700,266.0000,367.5700,1,1,2026-08-24T00:00:00.000
262,20260822,23,94,120,214,156,292,7,7,263,368.9400,267.0000,368.9400,1,1,2026-08-24T00:00:00.000
263,20260626,317,248,431,439,39,89,2,1,264,370.3100,268.0000,370.3100,1,1,2026-08-24T00:00:00.000
264,20260811,57,176,178,334,110,185,1,7,265,371.6800,269.0000,371.6800,1,1,2026-08-24T00:00:00.000
265,20260722,461,125,80,375,380,37,1,5,266,373.0500,270.0000,373.0500,1,1,2026-08-24T00:00:00.000
266,20260708,437,281,329,239,314,270,8,2,267,374.4200,271.0000,374.4200,1,1,2026-08-24T00:00:00.000
267,20260627,114,123,185,295,233,265,2,5,268,375.7900,272.0000,375.7900,1,1,2026-08-24T00:00:00.000
268,20260715,438,329,71,87,143,245,2,2,269,377.1600,273.0000,377.1600,1,1,2026-08-24T00:00:00.000
269,20260807,445,80,242,239,410,198,3,4,270,378.5300,274.0000,378.5300,1,1,2026-08-24T00:00:00.000
270,20260703,146,208,474,298,43,197,6,1,271,379.9000,275.0000,379.9000,1,1,2026-08-24T00:00:00.000
271,20260725,186,266,397,60,292,52,5,3,272,381.2700,276.0000,381.2700,1,1,2026-08-24T00:00:00.000
272,20260823,271,-1,-1,-1,58,140,11,5,273,382.6400,277.0000,382.6400,1,1,2026-08-24T00:00:00.000
273,20260530,230,148,185,258,36,320,11,1,274,384.0100,278.0000,384.0100,1,1,2026-08-24T00:00:00.000
