EnergyGreenhouseGasSnapshotKey,SnapshotDateKey,PlantKey,EnergyCarrierKey,EnergyEmissionFactorKey,BusinessUnitKey,EnergyEmissionScopeKey,UnitOfMeasureKey,ActivityQuantity,CarbonDioxideEquivalentTonnes,BiogenicCarbonDioxideTonnes,SourceSystemKey,BatchId,LoadedAtUtc
263,20260728,155,22,495,37,5,3,184.200000,264.000000,264.000000,1,1,2026-08-24T00:00:00.000
264,20260608,25,44,142,294,3,3,184.900000,265.000000,265.000000,1,1,2026-08-24T00:00:00.000
265,20260819,149,2,221,202,3,7,185.600000,266.000000,266.000000,1,1,2026-08-24T00:00:00.000
266,20260529,32,38,375,113,4,5,186.300000,267.000000,267.000000,1,1,2026-08-24T00:00:00.000
267,20260618,107,55,307,233,2,3,187.000000,268.000000,268.000000,1,1,2026-08-24T00:00:00.000
268,20260723,49,40,318,386,1,5,187.700000,269.000000,269.000000,1,1,2026-08-24T00:00:00.000
269,20260531,115,53,33,445,2,4,188.400000,270.000000,270.000000,1,1,2026-08-24T00:00:00.000
270,20260529,174,22,240,138,5,1,189.100000,271.000000,271.000000,1,1,2026-08-24T00:00:00.000
271,20260628,21,42,402,118,4,4,189.800000,272.000000,272.000000,1,1,2026-08-24T00:00:00.000
272,20260629,220,32,252,-1,5,2,190.500000,273.000000,273.000000,1,1,2026-08-24T00:00:00.000
273,20260817,125,7,324,275,3,6,191.200000,274.000000,274.000000,1,1,2026-08-24T00:00:00.000
274,20260623,232,51,248,217,4,1,191.900000,275.000000,275.000000,1,1,2026-08-24T00:00:00.000
275,20260611,231,49,385,225,2,2,192.600000,276.000000,276.000000,1,1,2026-08-24T00:00:00.000
276,20260712,138,47,32,42,5,7,193.300000,277.000000,277.000000,1,1,2026-08-24T00:00:00.000
277,20260808,178,18,268,346,5,3,194.000000,278.000000,278.000000,1,1,2026-08-24T00:00:00.000
278,20260822,333,21,324,329,3,3,194.700000,279.000000,279.000000,1,1,2026-08-24T00:00:00.000
279,20260813,173,19,288,367,3,2,195.400000,280.000000,280.000000,1,1,2026-08-24T00:00:00.000
280,20260723,262,41,487,480,4,6,196.100000,281.000000,281.000000,1,1,2026-08-24T00:00:00.000
281,20260824,142,21,403,431,5,7,196.800000,282.000000,282.000000,1,1,2026-08-24T00:00:00.000
282,20260628,295,5,203,130,5,1,197.500000,283.000000,283.000000,1,1,2026-08-24T00:00:00.000
283,20260801,268,51,268,196,2,6,198.200000,284.000000,284.000000,1,1,2026-08-24T00:00:00.000
284,20260822,162,16,441,26,5,5,198.900000,285.000000,285.000000,1,1,2026-08-24T00:00:00.000
285,20260701,189,12,437,186,3,3,199.600000,286.000000,286.000000,1,1,2026-08-24T00:00:00.000
286,20260815,205,26,351,325,5,4,200.300000,287.000000,287.000000,1,1,2026-08-24T00:00:00.000
287,20260620,261,54,49,175,1,4,201.000000,288.000000,288.000000,1,1,2026-08-24T00:00:00.000
288,20260628,169,29,64,334,5,7,201.700000,289.000000,289.000000,1,1,2026-08-24T00:00:00.000
289,20260818,221,17,432,-1,1,5,202.400000,290.000000,290.000000,1,1,2026-08-24T00:00:00.000
290,20260617,132,45,356,41,3,7,203.100000,291.000000,291.000000,1,1,2026-08-24T00:00:00.000
291,20260620,141,12,457,135,2,7,203.800000,292.000000,292.000000,1,1,2026-08-24T00:00:00.000
292,20260722,225,6,494,493,3,4,204.500000,293.000000,293.000000,1,1,2026-08-24T00:00:00.000
293,20260817,191,52,269,359,3,3,205.200000,294.000000,294.000000,1,1,2026-08-24T00:00:00.000
294,20260817,280,1,91,57,4,5,205.900000,295.000000,295.000000,1,1,2026-08-24T00:00:00.000
295,20260527,170,16,263,192,5,4,206.600000,296.000000,296.000000,1,1,2026-08-24T00:00:00.000
296,20260701,189,30,56,172,4,7,207.300000,297.000000,297.000000,1,1,2026-08-24T00:00:00.000
297,20260627,263,28,141,20,1,3,208.000000,298.000000,298.000000,1,1,2026-08-24T00:00:00.000
298,20260530,103,34,375,443,5,1,208.700000,299.000000,299.000000,1,1,2026-08-24T00:00:00.000
299,20260730,235,22,471,328,2,5,209.400000,300.000000,300.000000,1,1,2026-08-24T00:00:00.000
300,20260608,238,34,289,383,3,1,210.100000,301.000000,301.000000,1,1,2026-08-24T00:00:00.000
301,20260814,164,15,68,239,3,7,210.800000,302.000000,302.000000,1,1,2026-08-24T00:00:00.000
302,20260813,105,4,314,348,1,4,211.500000,303.000000,303.000000,1,1,2026-08-24T00:00:00.000
303,20260715,8,46,468,376,2,3,212.200000,304.000000,304.000000,1,1,2026-08-24T00:00:00.000
304,20260805,37,44,283,438,2,4,212.900000,305.000000,305.000000,1,1,2026-08-24T00:00:00.000
305,20260619,187,5,150,87,2,3,213.600000,306.000000,306.000000,1,1,2026-08-24T00:00:00.000
306,20260712,136,39,97,-1,2,2,214.300000,307.000000,307.000000,1,1,2026-08-24T00:00:00.000
307,20260622,224,16,10,300,5,3,215.000000,308.000000,308.000000,1,1,2026-08-24T00:00:00.000
308,20260614,292,43,122,379,4,1,215.700000,309.000000,309.000000,1,1,2026-08-24T00:00:00.000
309,20260714,294,26,139,394,3,5,216.400000,310.000000,310.000000,1,1,2026-08-24T00:00:00.000
310,20260821,204,46,156,69,5,3,217.100000,311.000000,311.000000,1,1,2026-08-24T00:00:00.000
311,20260803,148,4,373,78,3,1,217.800000,312.000000,312.000000,1,1,2026-08-24T00:00:00.000
312,20260606,235,36,164,65,5,1,218.500000,313.000000,313.000000,1,1,2026-08-24T00:00:00.000
313,20260606,287,34,106,493,4,4,219.200000,314.000000,314.000000,1,1,2026-08-24T00:00:00.000
314,20260531,236,25,444,275,2,5,219.900000,315.000000,315.000000,1,1,2026-08-24T00:00:00.000
315,20260824,193,19,399,160,2,1,220.600000,316.000000,316.000000,1,1,2026-08-24T00:00:00.000
316,20260706,271,40,378,382,2,2,221.300000,317.000000,317.000000,1,1,2026-08-24T00:00:00.000
317,20260807,165,12,70,407,5,1,222.000000,318.000000,318.000000,1,1,2026-08-24T00:00:00.000
318,20260808,266,25,425,198,4,3,222.700000,319.000000,319.000000,1,1,2026-08-24T00:00:00.000
319,20260807,291,30,237,131,5,6,223.400000,320.000000,320.000000,1,1,2026-08-24T00:00:00.000
320,20260708,106,31,5,297,2,1,224.100000,321.000000,321.000000,1,1,2026-08-24T00:00:00.000
321,20260707,118,52,125,98,2,1,224.800000,322.000000,322.000000,1,1,2026-08-24T00:00:00.000
322,20260609,43,11,143,221,2,4,225.500000,323.000000,323.000000,1,1,2026-08-24T00:00:00.000
323,20260627,145,15,472,-1,5,2,226.200000,324.000000,324.000000,1,1,2026-08-24T00:00:00.000
324,20260610,198,50,344,102,5,6,226.900000,325.000000,325.000000,1,1,2026-08-24T00:00:00.000
325,20260704,44,47,211,310,4,7,227.600000,326.000000,326.000000,1,1,2026-08-24T00:00:00.000
326,20260605,59,6,83,102,2,1,228.300000,327.000000,327.000000,1,1,2026-08-24T00:00:00.000
327,20260814,305,49,425,217,2,6,229.000000,328.000000,328.000000,1,1,2026-08-24T00:00:00.000
328,20260717,219,26,262,144,5,7,229.700000,329.000000,329.000000,1,1,2026-08-24T00:00:00.000
329,20260719,227,42,123,207,3,7,230.400000,330.000000,330.000000,1,1,2026-08-24T00:00:00.000
330,20260817,259,10,59,26,1,1,231.100000,331.000000,331.000000,1,1,2026-08-24T00:00:00.000
331,20260705,303,9,29,248,5,5,231.800000,332.000000,332.000000,1,1,2026-08-24T00:00:00.000
332,20260604,62,5,335,117,1,4,232.500000,333.000000,333.000000,1,1,2026-08-24T00:00:00.000
333,20260815,119,2,22,20,2,3,233.200000,334.000000,334.000000,1,1,2026-08-24T00:00:00.000
334,20260701,187,20,242,23,1,7,233.900000,335.000000,335.000000,1,1,2026-08-24T00:00:00.000
335,20260713,332,54,364,328,1,1,234.600000,336.000000,336.000000,1,1,2026-08-24T00:00:00.000
336,20260707,343,22,310,473,5,7,235.300000,337.000000,337.000000,1,1,2026-08-24T00:00:00.000
337,20260529,270,35,125,420,3,7,236.000000,338.000000,338.000000,1,1,2026-08-24T00:00:00.000
338,20260708,291,15,342,379,2,1,236.700000,339.000000,339.000000,1,1,2026-08-24T00:00:00.000
339,20260717,20,27,461,129,1,2,237.400000,340.000000,340.000000,1,1,2026-08-24T00:00:00.000
340,20260608,103,19,472,-1,2,7,238.100000,341.000000,341.000000,1,1,2026-08-24T00:00:00.000
341,20260702,133,35,327,72,1,7,238.800000,342.000000,342.000000,1,1,2026-08-24T00:00:00.000
342,20260613,7,11,170,244,5,5,239.500000,343.000000,343.000000,1,1,2026-08-24T00:00:00.000
343,20260706,109,39,356,176,4,1,240.200000,344.000000,344.000000,1,1,2026-08-24T00:00:00.000
344,20260602,175,53,372,328,3,5,240.900000,345.000000,345.000000,1,1,2026-08-24T00:00:00.000
345,20260716,244,42,437,176,1,7,241.600000,346.000000,346.000000,1,1,2026-08-24T00:00:00.000
346,20260821,273,39,424,170,1,7,242.300000,347.000000,347.000000,1,1,2026-08-24T00:00:00.000
347,20260624,349,54,2,396,1,5,243.000000,348.000000,348.000000,1,1,2026-08-24T00:00:00.000
348,20260708,158,55,73,317,5,7,243.700000,349.000000,349.000000,1,1,2026-08-24T00:00:00.000
349,20260601,51,30,14,161,5,4,244.400000,350.000000,350.000000,1,1,2026-08-24T00:00:00.000
350,20260822,164,43,484,62,3,4,245.100000,351.000000,351.000000,1,1,2026-08-24T00:00:00.000
351,20260717,45,42,309,460,4,2,245.800000,352.000000,352.000000,1,1,2026-08-24T00:00:00.000
352,20260617,281,29,284,437,1,5,246.500000,353.000000,353.000000,1,1,2026-08-24T00:00:00.000
353,20260816,345,53,177,62,1,1,247.200000,354.000000,354.000000,1,1,2026-08-24T00:00:00.000
354,20260705,227,36,468,270,4,7,247.900000,355.000000,355.000000,1,1,2026-08-24T00:00:00.000
355,20260808,191,13,172,127,4,2,248.600000,356.000000,356.000000,1,1,2026-08-24T00:00:00.000
356,20260720,190,4,136,267,4,3,249.300000,357.000000,357.000000,1,1,2026-08-24T00:00:00.000
357,20260708,262,13,45,-1,5,1,250.000000,358.000000,358.000000,1,1,2026-08-24T00:00:00.000
358,20260819,218,20,345,457,1,3,250.700000,359.000000,359.000000,1,1,2026-08-24T00:00:00.000
359,20260704,137,11,403,462,1,1,251.400000,360.000000,360.000000,1,1,2026-08-24T00:00:00.000
360,20260721,232,23,211,112,3,7,252.100000,361.000000,361.000000,1,1,2026-08-24T00:00:00.000
361,20260806,123,54,2,285,4,1,252.800000,362.000000,362.000000,1,1,2026-08-24T00:00:00.000
362,20260706,118,50,68,451,5,4,253.500000,363.000000,363.000000,1,1,2026-08-24T00:00:00.000
363,20260812,98,3,254,49,4,7,254.200000,364.000000,364.000000,1,1,2026-08-24T00:00:00.000
364,20260730,298,51,363,397,5,3,254.900000,365.000000,365.000000,1,1,2026-08-24T00:00:00.000
365,20260803,237,2,180,119,2,1,255.600000,366.000000,366.000000,1,1,2026-08-24T00:00:00.000
366,20260624,154,17,288,80,4,5,256.300000,367.000000,367.000000,1,1,2026-08-24T00:00:00.000
367,20260620,110,4,121,374,3,7,257.000000,368.000000,368.000000,1,1,2026-08-24T00:00:00.000
368,20260608,103,31,195,296,1,3,257.700000,369.000000,369.000000,1,1,2026-08-24T00:00:00.000
369,20260610,319,40,383,451,4,1,258.400000,370.000000,370.000000,1,1,2026-08-24T00:00:00.000
370,20260605,81,38,294,80,1,5,259.100000,371.000000,371.000000,1,1,2026-08-24T00:00:00.000
371,20260719,240,36,228,212,1,3,259.800000,372.000000,372.000000,1,1,2026-08-24T00:00:00.000
372,20260602,88,26,285,398,1,3,260.500000,373.000000,373.000000,1,1,2026-08-24T00:00:00.000
373,20260531,344,41,63,192,2,2,261.200000,374.000000,374.000000,1,1,2026-08-24T00:00:00.000
374,20260723,23,43,291,-1,3,4,261.900000,375.000000,375.000000,1,1,2026-08-24T00:00:00.000
375,20260813,259,38,78,54,1,6,262.600000,376.000000,376.000000,1,1,2026-08-24T00:00:00.000
376,20260619,256,48,319,84,2,6,263.300000,377.000000,377.000000,1,1,2026-08-24T00:00:00.000
377,20260824,301,46,406,178,1,3,264.000000,378.000000,378.000000,1,1,2026-08-24T00:00:00.000
378,20260723,78,53,232,260,3,4,264.700000,379.000000,379.000000,1,1,2026-08-24T00:00:00.000
379,20260621,29,26,376,378,5,6,265.400000,380.000000,380.000000,1,1,2026-08-24T00:00:00.000
380,20260721,25,39,242,418,4,5,266.100000,381.000000,381.000000,1,1,2026-08-24T00:00:00.000
381,20260804,45,17,405,497,5,3,266.800000,382.000000,382.000000,1,1,2026-08-24T00:00:00.000
382,20260729,294,29,125,212,3,3,267.500000,383.000000,383.000000,1,1,2026-08-24T00:00:00.000
383,20260805,263,21,391,309,2,3,268.200000,384.000000,384.000000,1,1,2026-08-24T00:00:00.000
384,20260603,115,42,116,126,4,1,268.900000,385.000000,385.000000,1,1,2026-08-24T00:00:00.000
385,20260717,287,1,105,89,5,4,269.600000,386.000000,386.000000,1,1,2026-08-24T00:00:00.000
386,20260715,41,32,263,11,3,3,270.300000,387.000000,387.000000,1,1,2026-08-24T00:00:00.000
387,20260608,329,32,84,328,1,4,271.000000,388.000000,388.000000,1,1,2026-08-24T00:00:00.000
388,20260622,107,8,229,307,1,2,271.700000,389.000000,389.000000,1,1,2026-08-24T00:00:00.000
389,20260814,129,49,437,453,4,5,272.400000,390.000000,390.000000,1,1,2026-08-24T00:00:00.000
390,20260821,149,25,298,27,3,5,273.100000,391.000000,391.000000,1,1,2026-08-24T00:00:00.000
391,20260707,291,3,362,-1,3,1,273.800000,392.000000,392.000000,1,1,2026-08-24T00:00:00.000
392,20260723,9,53,214,478,1,3,274.500000,393.000000,393.000000,1,1,2026-08-24T00:00:00.000
393,20260806,25,40,269,309,4,6,275.200000,394.000000,394.000000,1,1,2026-08-24T00:00:00.000
394,20260612,200,43,108,93,5,6,275.900000,395.000000,395.000000,1,1,2026-08-24T00:00:00.000
395,20260619,6,6,34,367,5,5,276.600000,396.000000,396.000000,1,1,2026-08-24T00:00:00.000
396,20260717,269,33,25,96,2,5,277.300000,397.000000,397.000000,1,1,2026-08-24T00:00:00.000
397,20260605,155,5,90,276,1,3,278.000000,398.000000,398.000000,1,1,2026-08-24T00:00:00.000
398,20260618,242,48,442,470,5,1,278.700000,399.000000,399.000000,1,1,2026-08-24T00:00:00.000
399,20260823,162,50,100,156,3,3,279.400000,400.000000,400.000000,1,1,2026-08-24T00:00:00.000
400,20260707,256,47,70,425,1,3,280.100000,401.000000,401.000000,1,1,2026-08-24T00:00:00.000
401,20260726,166,12,49,475,4,3,280.800000,402.000000,402.000000,1,1,2026-08-24T00:00:00.000
402,20260701,221,29,370,17,1,3,281.500000,403.000000,403.000000,1,1,2026-08-24T00:00:00.000
403,20260528,202,29,428,16,3,5,282.200000,404.000000,404.000000,1,1,2026-08-24T00:00:00.000
404,20260610,183,42,336,462,1,2,282.900000,405.000000,405.000000,1,1,2026-08-24T00:00:00.000
405,20260803,292,52,305,440,1,2,283.600000,406.000000,406.000000,1,1,2026-08-24T00:00:00.000
406,20260726,87,6,276,326,3,5,284.300000,407.000000,407.000000,1,1,2026-08-24T00:00:00.000
407,20260716,230,44,395,486,4,5,285.000000,408.000000,408.000000,1,1,2026-08-24T00:00:00.000
408,20260706,306,14,293,-1,5,1,285.700000,409.000000,409.000000,1,1,2026-08-24T00:00:00.000
409,20260821,335,2,154,389,4,3,286.400000,410.000000,410.000000,1,1,2026-08-24T00:00:00.000
410,20260527,22,40,425,371,4,6,287.100000,411.000000,411.000000,1,1,2026-08-24T00:00:00.000
411,20260714,197,18,476,362,4,6,287.800000,412.000000,412.000000,1,1,2026-08-24T00:00:00.000
412,20260819,168,50,177,51,5,3,288.500000,413.000000,413.000000,1,1,2026-08-24T00:00:00.000
413,20260819,72,54,177,192,2,4,289.200000,414.000000,414.000000,1,1,2026-08-24T00:00:00.000
414,20260820,70,8,123,328,3,3,289.900000,415.000000,415.000000,1,1,2026-08-24T00:00:00.000
415,20260623,91,44,206,152,3,1,290.600000,416.000000,416.000000,1,1,2026-08-24T00:00:00.000
416,20260609,271,49,471,346,4,7,291.300000,417.000000,417.000000,1,1,2026-08-24T00:00:00.000
417,20260614,77,22,295,288,5,2,292.000000,418.000000,418.000000,1,1,2026-08-24T00:00:00.000
418,20260702,12,13,393,133,4,4,292.700000,419.000000,419.000000,1,1,2026-08-24T00:00:00.000
419,20260819,50,25,409,178,4,7,293.400000,420.000000,420.000000,1,1,2026-08-24T00:00:00.000
420,20260716,220,24,409,376,3,7,294.100000,421.000000,421.000000,1,1,2026-08-24T00:00:00.000
421,20260630,205,39,87,57,2,2,294.800000,422.000000,422.000000,1,1,2026-08-24T00:00:00.000
422,20260725,261,52,39,308,5,5,295.500000,423.000000,423.000000,1,1,2026-08-24T00:00:00.000
423,20260713,123,36,401,56,3,2,296.200000,424.000000,424.000000,1,1,2026-08-24T00:00:00.000
424,20260811,66,38,72,388,1,7,296.900000,425.000000,425.000000,1,1,2026-08-24T00:00:00.000
425,20260722,159,7,58,-1,3,5,297.600000,426.000000,426.000000,1,1,2026-08-24T00:00:00.000
426,20260618,75,23,187,361,4,3,298.300000,427.000000,427.000000,1,1,2026-08-24T00:00:00.000
427,20260706,344,42,443,392,5,2,299.000000,428.000000,428.000000,1,1,2026-08-24T00:00:00.000
428,20260817,115,8,21,268,3,3,299.700000,429.000000,429.000000,1,1,2026-08-24T00:00:00.000
429,20260601,8,33,472,157,3,2,300.400000,430.000000,430.000000,1,1,2026-08-24T00:00:00.000
430,20260818,332,22,345,247,3,4,301.100000,431.000000,431.000000,1,1,2026-08-24T00:00:00.000
431,20260718,49,38,318,239,5,7,301.800000,432.000000,432.000000,1,1,2026-08-24T00:00:00.000
432,20260811,194,18,415,321,5,5,302.500000,433.000000,433.000000,1,1,2026-08-24T00:00:00.000
433,20260712,26,3,143,310,3,2,303.200000,434.000000,434.000000,1,1,2026-08-24T00:00:00.000
434,20260614,174,32,92,485,5,6,303.900000,435.000000,435.000000,1,1,2026-08-24T00:00:00.000
435,20260711,165,33,102,313,4,5,304.600000,436.000000,436.000000,1,1,2026-08-24T00:00:00.000
436,20260802,281,31,241,393,2,3,305.300000,437.000000,437.000000,1,1,2026-08-24T00:00:00.000
437,20260629,297,28,34,238,1,6,306.000000,438.000000,438.000000,1,1,2026-08-24T00:00:00.000
438,20260622,258,2,389,84,1,6,306.700000,439.000000,439.000000,1,1,2026-08-24T00:00:00.000
439,20260613,173,53,484,379,5,3,307.400000,440.000000,440.000000,1,1,2026-08-24T00:00:00.000
440,20260801,274,17,97,413,4,2,308.100000,441.000000,441.000000,1,1,2026-08-24T00:00:00.000
441,20260707,144,34,152,155,1,5,308.800000,442.000000,442.000000,1,1,2026-08-24T00:00:00.000
442,20260728,340,34,397,-1,1,7,309.500000,443.000000,443.000000,1,1,2026-08-24T00:00:00.000
443,20260612,213,5,445,272,3,5,310.200000,444.000000,444.000000,1,1,2026-08-24T00:00:00.000
444,20260807,268,50,168,289,1,7,310.900000,445.000000,445.000000,1,1,2026-08-24T00:00:00.000
445,20260610,41,34,206,232,1,1,311.600000,446.000000,446.000000,1,1,2026-08-24T00:00:00.000
446,20260601,347,10,165,305,4,2,312.300000,447.000000,447.000000,1,1,2026-08-24T00:00:00.000
447,20260714,261,39,454,109,4,5,313.000000,448.000000,448.000000,1,1,2026-08-24T00:00:00.000
448,20260812,197,53,355,135,1,3,313.700000,449.000000,449.000000,1,1,2026-08-24T00:00:00.000
449,20260716,236,32,95,91,2,7,314.400000,450.000000,450.000000,1,1,2026-08-24T00:00:00.000
450,20260601,102,16,256,276,1,1,315.100000,451.000000,451.000000,1,1,2026-08-24T00:00:00.000
451,20260602,35,30,85,462,3,2,315.800000,452.000000,452.000000,1,1,2026-08-24T00:00:00.000
452,20260822,118,7,88,161,4,5,316.500000,453.000000,453.000000,1,1,2026-08-24T00:00:00.000
453,20260709,77,42,90,55,2,3,317.200000,454.000000,454.000000,1,1,2026-08-24T00:00:00.000
454,20260715,234,40,132,400,2,7,317.900000,455.000000,455.000000,1,1,2026-08-24T00:00:00.000
455,20260801,83,14,86,466,5,1,318.600000,456.000000,456.000000,1,1,2026-08-24T00:00:00.000
456,20260605,164,16,347,54,4,3,319.300000,457.000000,457.000000,1,1,2026-08-24T00:00:00.000
457,20260813,102,34,52,485,1,7,320.000000,458.000000,458.000000,1,1,2026-08-24T00:00:00.000
458,20260601,349,4,67,493,2,5,320.700000,459.000000,459.000000,1,1,2026-08-24T00:00:00.000
459,20260607,337,46,307,-1,4,5,321.400000,460.000000,460.000000,1,1,2026-08-24T00:00:00.000
460,20260721,230,38,172,97,2,5,322.100000,461.000000,461.000000,1,1,2026-08-24T00:00:00.000
461,20260702,185,28,355,339,4,2,322.800000,462.000000,462.000000,1,1,2026-08-24T00:00:00.000
462,20260620,174,22,316,46,2,5,323.500000,463.000000,463.000000,1,1,2026-08-24T00:00:00.000
463,20260718,121,45,68,277,1,1,324.200000,464.000000,464.000000,1,1,2026-08-24T00:00:00.000
464,20260626,68,13,31,497,5,1,324.900000,465.000000,465.000000,1,1,2026-08-24T00:00:00.000
465,20260609,147,47,463,273,2,2,325.600000,466.000000,466.000000,1,1,2026-08-24T00:00:00.000
466,20260721,255,50,375,10,1,5,326.300000,467.000000,467.000000,1,1,2026-08-24T00:00:00.000
467,20260620,16,29,340,400,1,6,327.000000,468.000000,468.000000,1,1,2026-08-24T00:00:00.000
468,20260529,69,53,301,251,3,2,327.700000,469.000000,469.000000,1,1,2026-08-24T00:00:00.000
469,20260618,102,29,264,373,3,6,328.400000,470.000000,470.000000,1,1,2026-08-24T00:00:00.000
470,20260702,221,7,98,465,2,7,329.100000,471.000000,471.000000,1,1,2026-08-24T00:00:00.000
471,20260709,190,31,104,330,4,5,329.800000,472.000000,472.000000,1,1,2026-08-24T00:00:00.000
472,20260615,159,51,11,381,1,5,330.500000,473.000000,473.000000,1,1,2026-08-24T00:00:00.000
473,20260707,153,16,464,486,5,3,331.200000,474.000000,474.000000,1,1,2026-08-24T00:00:00.000
474,20260714,70,34,487,261,3,4,331.900000,475.000000,475.000000,1,1,2026-08-24T00:00:00.000
475,20260703,267,4,269,100,1,4,332.600000,476.000000,476.000000,1,1,2026-08-24T00:00:00.000
476,20260807,64,43,280,-1,3,6,333.300000,477.000000,477.000000,1,1,2026-08-24T00:00:00.000
477,20260613,194,32,357,235,3,6,334.000000,478.000000,478.000000,1,1,2026-08-24T00:00:00.000
478,20260627,98,22,484,21,1,4,334.700000,479.000000,479.000000,1,1,2026-08-24T00:00:00.000
479,20260626,212,21,231,400,2,7,335.400000,480.000000,480.000000,1,1,2026-08-24T00:00:00.000
480,20260814,43,40,488,58,5,6,336.100000,481.000000,481.000000,1,1,2026-08-24T00:00:00.000
481,20260819,244,25,242,448,5,6,336.800000,482.000000,482.000000,1,1,2026-08-24T00:00:00.000
482,20260819,188,52,328,104,4,1,337.500000,483.000000,483.000000,1,1,2026-08-24T00:00:00.000
483,20260624,294,19,435,247,2,3,338.200000,484.000000,484.000000,1,1,2026-08-24T00:00:00.000
484,20260601,95,31,27,380,5,6,338.900000,485.000000,485.000000,1,1,2026-08-24T00:00:00.000
485,20260720,286,49,188,336,1,5,339.600000,486.000000,486.000000,1,1,2026-08-24T00:00:00.000
486,20260626,297,42,103,274,2,7,340.300000,487.000000,487.000000,1,1,2026-08-24T00:00:00.000
487,20260805,5,20,201,499,2,3,341.000000,488.000000,488.000000,1,1,2026-08-24T00:00:00.000
488,20260617,302,40,339,309,4,2,341.700000,489.000000,489.000000,1,1,2026-08-24T00:00:00.000
489,20260527,103,22,459,323,4,7,342.400000,490.000000,490.000000,1,1,2026-08-24T00:00:00.000
490,20260718,298,20,332,445,5,1,343.100000,491.000000,491.000000,1,1,2026-08-24T00:00:00.000
491,20260701,161,6,39,372,2,7,343.800000,492.000000,492.000000,1,1,2026-08-24T00:00:00.000
492,20260802,40,13,48,487,4,6,344.500000,493.000000,493.000000,1,1,2026-08-24T00:00:00.000
493,20260823,200,41,423,-1,2,1,345.200000,494.000000,494.000000,1,1,2026-08-24T00:00:00.000
494,20260704,124,14,258,378,2,7,345.900000,495.000000,495.000000,1,1,2026-08-24T00:00:00.000
495,20260710,61,55,50,93,3,6,346.600000,496.000000,496.000000,1,1,2026-08-24T00:00:00.000
496,20260727,247,8,18,80,5,3,347.300000,497.000000,497.000000,1,1,2026-08-24T00:00:00.000
497,20260618,314,51,47,75,2,4,348.000000,498.000000,498.000000,1,1,2026-08-24T00:00:00.000
498,20260811,68,48,104,448,4,5,348.700000,499.000000,499.000000,1,1,2026-08-24T00:00:00.000
499,20260723,169,36,307,55,2,4,349.400000,500.000000,500.000000,1,1,2026-08-24T00:00:00.000
500,20260707,156,43,451,151,5,5,350.100000,501.000000,501.000000,1,1,2026-08-24T00:00:00.000
501,20260818,263,48,280,193,2,2,350.800000,502.000000,502.000000,1,1,2026-08-24T00:00:00.000
502,20260601,114,30,498,383,3,3,351.500000,503.000000,503.000000,1,1,2026-08-24T00:00:00.000
503,20260809,239,41,433,250,2,5,352.200000,504.000000,504.000000,1,1,2026-08-24T00:00:00.000
504,20260715,106,47,314,287,5,7,352.900000,505.000000,505.000000,1,1,2026-08-24T00:00:00.000
505,20260712,126,27,278,347,4,3,353.600000,506.000000,506.000000,1,1,2026-08-24T00:00:00.000
506,20260602,76,19,299,178,5,3,354.300000,507.000000,507.000000,1,1,2026-08-24T00:00:00.000
507,20260607,115,19,119,40,4,3,355.000000,508.000000,508.000000,1,1,2026-08-24T00:00:00.000
508,20260724,261,18,30,151,5,6,355.700000,509.000000,509.000000,1,1,2026-08-24T00:00:00.000
509,20260801,219,14,98,4,4,1,356.400000,510.000000,510.000000,1,1,2026-08-24T00:00:00.000
510,20260706,95,44,153,-1,4,7,357.100000,511.000000,511.000000,1,1,2026-08-24T00:00:00.000
511,20260604,336,49,59,186,4,3,357.800000,512.000000,512.000000,1,1,2026-08-24T00:00:00.000
512,20260711,70,5,438,23,5,2,358.500000,513.000000,513.000000,1,1,2026-08-24T00:00:00.000
513,20260723,229,36,341,450,2,4,359.200000,514.000000,514.000000,1,1,2026-08-24T00:00:00.000
514,20260822,312,13,89,169,3,5,359.900000,515.000000,515.000000,1,1,2026-08-24T00:00:00.000
515,20260718,68,54,279,184,3,3,360.600000,516.000000,516.000000,1,1,2026-08-24T00:00:00.000
516,20260815,139,22,120,472,2,1,361.300000,517.000000,517.000000,1,1,2026-08-24T00:00:00.000
517,20260808,89,54,271,437,4,3,362.000000,518.000000,518.000000,1,1,2026-08-24T00:00:00.000
518,20260613,187,26,255,488,3,6,362.700000,519.000000,519.000000,1,1,2026-08-24T00:00:00.000
519,20260727,67,32,75,290,3,1,363.400000,520.000000,520.000000,1,1,2026-08-24T00:00:00.000
520,20260706,330,21,439,413,2,3,364.100000,521.000000,521.000000,1,1,2026-08-24T00:00:00.000
521,20260730,251,28,149,500,4,2,364.800000,522.000000,522.000000,1,1,2026-08-24T00:00:00.000
522,20260820,324,9,25,142,5,7,365.500000,523.000000,523.000000,1,1,2026-08-24T00:00:00.000
523,20260819,166,32,379,133,3,3,366.200000,524.000000,524.000000,1,1,2026-08-24T00:00:00.000
524,20260531,178,6,389,288,4,7,366.900000,525.000000,525.000000,1,1,2026-08-24T00:00:00.000
525,20260725,205,24,231,303,5,2,367.600000,526.000000,526.000000,1,1,2026-08-24T00:00:00.000
526,20260710,340,39,21,148,2,2,368.300000,527.000000,527.000000,1,1,2026-08-24T00:00:00.000
527,20260701,222,35,85,-1,5,4,369.000000,528.000000,528.000000,1,1,2026-08-24T00:00:00.000
