LogisticsTrackingEventKey,EventDateKey,EventTimeOfDayKey,LogisticsShipmentHeaderKey,LogisticsDeliveryKey,LogisticsTransportLoadKey,LogisticsContainerKey,LogisticsDockDoorKey,LogisticsTrackingEventTypeKey,SeverityKey,TrackingReferenceNumber,EventCount,EventSequenceNumber,SourceSystemKey,BatchId,LoadedAtUtc
7307,20260625,53460,121,83,56,212,374,14,3,LTE007307,308,7307,1,1,2026-08-24T00:00:00.000
7308,20260608,21240,172,93,346,460,325,31,5,LTE007308,309,7308,1,1,2026-08-24T00:00:00.000
7309,20260807,19680,325,390,226,495,52,25,3,LTE007309,310,7309,1,1,2026-08-24T00:00:00.000
7310,20260618,27720,-1,-1,-1,-1,-1,2,-1,LTE007310,311,7310,1,1,2026-08-24T00:00:00.000
7311,20260717,62460,77,443,388,274,132,7,5,LTE007311,312,7311,1,1,2026-08-24T00:00:00.000
7312,20260822,57060,313,35,272,107,382,35,3,LTE007312,313,7312,1,1,2026-08-24T00:00:00.000
7313,20260620,27780,191,395,148,224,417,9,1,LTE007313,314,7313,1,1,2026-08-24T00:00:00.000
7314,20260610,64620,350,249,472,45,41,11,5,LTE007314,315,7314,1,1,2026-08-24T00:00:00.000
7315,20260620,43620,43,157,301,481,213,31,3,LTE007315,316,7315,1,1,2026-08-24T00:00:00.000
7316,20260807,1560,492,372,216,284,422,21,5,LTE007316,317,7316,1,1,2026-08-24T00:00:00.000
7317,20260606,38760,247,319,366,495,1,21,1,LTE007317,318,7317,1,1,2026-08-24T00:00:00.000
7318,20260613,71460,157,270,135,198,387,26,5,LTE007318,319,7318,1,1,2026-08-24T00:00:00.000
7319,20260817,25380,205,98,399,339,46,35,5,LTE007319,320,7319,1,1,2026-08-24T00:00:00.000
7320,20260625,82620,259,54,19,360,20,2,2,LTE007320,321,7320,1,1,2026-08-24T00:00:00.000
7321,20260730,38340,310,83,293,153,146,30,1,LTE007321,322,7321,1,1,2026-08-24T00:00:00.000
7322,20260703,31920,65,453,92,198,398,12,1,LTE007322,323,7322,1,1,2026-08-24T00:00:00.000
7323,20260801,54900,244,332,16,98,351,4,1,LTE007323,324,7323,1,1,2026-08-24T00:00:00.000
7324,20260731,33600,16,361,355,168,322,30,5,LTE007324,325,7324,1,1,2026-08-24T00:00:00.000
7325,20260527,71400,5,243,209,212,60,19,5,LTE007325,326,7325,1,1,2026-08-24T00:00:00.000
7326,20260621,62280,46,91,363,477,365,12,2,LTE007326,327,7326,1,1,2026-08-24T00:00:00.000
7327,20260810,900,-1,-1,-1,-1,-1,13,-1,LTE007327,328,7327,1,1,2026-08-24T00:00:00.000
7328,20260607,14520,313,135,322,120,445,28,5,LTE007328,329,7328,1,1,2026-08-24T00:00:00.000
7329,20260805,53580,103,44,65,484,276,28,3,LTE007329,330,7329,1,1,2026-08-24T00:00:00.000
7330,20260627,48180,478,64,228,229,175,34,3,LTE007330,331,7330,1,1,2026-08-24T00:00:00.000
7331,20260718,30900,275,434,239,123,218,21,2,LTE007331,332,7331,1,1,2026-08-24T00:00:00.000
7332,20260726,74040,213,218,383,357,311,35,3,LTE007332,333,7332,1,1,2026-08-24T00:00:00.000
7333,20260725,2640,220,467,282,365,369,3,1,LTE007333,334,7333,1,1,2026-08-24T00:00:00.000
7334,20260818,71220,114,309,146,64,258,22,4,LTE007334,335,7334,1,1,2026-08-24T00:00:00.000
7335,20260621,67320,45,137,360,297,368,10,2,LTE007335,336,7335,1,1,2026-08-24T00:00:00.000
7336,20260815,66360,404,358,24,314,389,4,4,LTE007336,337,7336,1,1,2026-08-24T00:00:00.000
7337,20260715,15480,1,100,417,303,313,30,5,LTE007337,338,7337,1,1,2026-08-24T00:00:00.000
7338,20260703,54960,2,248,198,148,23,24,1,LTE007338,339,7338,1,1,2026-08-24T00:00:00.000
7339,20260821,11820,194,99,214,323,116,35,3,LTE007339,340,7339,1,1,2026-08-24T00:00:00.000
7340,20260812,84900,93,117,283,118,40,32,2,LTE007340,341,7340,1,1,2026-08-24T00:00:00.000
7341,20260715,12840,398,138,193,448,334,34,1,LTE007341,342,7341,1,1,2026-08-24T00:00:00.000
7342,20260818,51960,112,31,394,163,22,11,5,LTE007342,343,7342,1,1,2026-08-24T00:00:00.000
7343,20260713,34260,303,54,156,302,405,6,1,LTE007343,344,7343,1,1,2026-08-24T00:00:00.000
7344,20260616,17940,-1,-1,-1,-1,-1,1,-1,LTE007344,345,7344,1,1,2026-08-24T00:00:00.000
7345,20260622,58560,317,158,317,214,428,14,3,LTE007345,346,7345,1,1,2026-08-24T00:00:00.000
7346,20260818,80880,94,133,151,345,189,31,4,LTE007346,347,7346,1,1,2026-08-24T00:00:00.000
7347,20260816,32700,74,449,215,169,299,23,5,LTE007347,348,7347,1,1,2026-08-24T00:00:00.000
7348,20260719,29640,288,327,168,72,331,5,4,LTE007348,349,7348,1,1,2026-08-24T00:00:00.000
7349,20260616,20160,260,454,235,131,316,16,1,LTE007349,350,7349,1,1,2026-08-24T00:00:00.000
7350,20260805,43800,212,327,319,90,257,31,5,LTE007350,351,7350,1,1,2026-08-24T00:00:00.000
7351,20260801,14460,359,355,451,348,78,9,2,LTE007351,352,7351,1,1,2026-08-24T00:00:00.000
7352,20260610,1560,80,256,81,150,390,13,3,LTE007352,353,7352,1,1,2026-08-24T00:00:00.000
7353,20260824,85800,79,222,270,260,418,34,1,LTE007353,354,7353,1,1,2026-08-24T00:00:00.000
7354,20260630,64920,119,274,417,278,185,29,5,LTE007354,355,7354,1,1,2026-08-24T00:00:00.000
7355,20260724,1380,171,33,308,353,204,12,5,LTE007355,356,7355,1,1,2026-08-24T00:00:00.000
7356,20260714,36300,28,359,366,357,169,29,5,LTE007356,357,7356,1,1,2026-08-24T00:00:00.000
7357,20260811,6360,285,384,106,41,160,18,2,LTE007357,358,7357,1,1,2026-08-24T00:00:00.000
7358,20260629,30540,140,209,122,96,225,3,5,LTE007358,359,7358,1,1,2026-08-24T00:00:00.000
7359,20260628,68880,46,399,156,386,18,28,2,LTE007359,360,7359,1,1,2026-08-24T00:00:00.000
7360,20260605,25200,263,392,336,154,25,7,5,LTE007360,361,7360,1,1,2026-08-24T00:00:00.000
7361,20260808,20580,-1,-1,-1,-1,-1,14,-1,LTE007361,362,7361,1,1,2026-08-24T00:00:00.000
7362,20260614,11520,295,440,113,497,50,23,3,LTE007362,363,7362,1,1,2026-08-24T00:00:00.000
7363,20260612,68700,204,278,271,74,73,33,2,LTE007363,364,7363,1,1,2026-08-24T00:00:00.000
7364,20260529,12480,99,208,446,482,37,8,1,LTE007364,365,7364,1,1,2026-08-24T00:00:00.000
7365,20260716,51720,253,378,305,247,392,25,2,LTE007365,366,7365,1,1,2026-08-24T00:00:00.000
7366,20260704,35340,167,60,1,169,368,30,5,LTE007366,367,7366,1,1,2026-08-24T00:00:00.000
7367,20260530,30180,460,103,198,276,195,25,3,LTE007367,368,7367,1,1,2026-08-24T00:00:00.000
7368,20260821,69960,16,87,392,311,271,10,1,LTE007368,369,7368,1,1,2026-08-24T00:00:00.000
7369,20260627,11940,466,288,109,60,281,6,2,LTE007369,370,7369,1,1,2026-08-24T00:00:00.000
7370,20260731,84420,356,398,21,230,240,24,1,LTE007370,371,7370,1,1,2026-08-24T00:00:00.000
7371,20260812,41820,403,226,195,365,20,7,3,LTE007371,372,7371,1,1,2026-08-24T00:00:00.000
7372,20260606,49320,476,342,352,435,355,7,5,LTE007372,373,7372,1,1,2026-08-24T00:00:00.000
7373,20260805,23820,135,81,255,59,82,21,2,LTE007373,374,7373,1,1,2026-08-24T00:00:00.000
7374,20260618,38220,71,266,195,218,254,19,4,LTE007374,375,7374,1,1,2026-08-24T00:00:00.000
7375,20260714,4260,418,335,154,132,178,15,5,LTE007375,376,7375,1,1,2026-08-24T00:00:00.000
7376,20260719,4260,429,282,402,294,370,9,2,LTE007376,377,7376,1,1,2026-08-24T00:00:00.000
7377,20260619,54960,97,219,468,424,79,28,3,LTE007377,378,7377,1,1,2026-08-24T00:00:00.000
7378,20260608,69120,-1,-1,-1,-1,-1,22,-1,LTE007378,379,7378,1,1,2026-08-24T00:00:00.000
7379,20260724,70140,19,433,135,383,409,11,2,LTE007379,380,7379,1,1,2026-08-24T00:00:00.000
7380,20260608,26400,326,379,106,335,411,10,3,LTE007380,381,7380,1,1,2026-08-24T00:00:00.000
7381,20260717,43680,135,479,132,409,369,12,4,LTE007381,382,7381,1,1,2026-08-24T00:00:00.000
7382,20260819,900,369,28,335,36,71,8,2,LTE007382,383,7382,1,1,2026-08-24T00:00:00.000
7383,20260713,55860,376,142,195,12,256,34,5,LTE007383,384,7383,1,1,2026-08-24T00:00:00.000
7384,20260810,41760,426,333,374,328,105,19,1,LTE007384,385,7384,1,1,2026-08-24T00:00:00.000
7385,20260603,71760,247,148,305,386,275,24,5,LTE007385,386,7385,1,1,2026-08-24T00:00:00.000
7386,20260716,36060,148,313,150,184,461,22,5,LTE007386,387,7386,1,1,2026-08-24T00:00:00.000
7387,20260619,26220,141,328,221,407,74,27,4,LTE007387,388,7387,1,1,2026-08-24T00:00:00.000
7388,20260817,61860,304,204,387,391,357,23,5,LTE007388,389,7388,1,1,2026-08-24T00:00:00.000
7389,20260628,48960,429,187,93,109,298,15,5,LTE007389,390,7389,1,1,2026-08-24T00:00:00.000
7390,20260707,60000,11,498,330,280,292,26,4,LTE007390,391,7390,1,1,2026-08-24T00:00:00.000
7391,20260611,29760,219,416,133,167,486,32,2,LTE007391,392,7391,1,1,2026-08-24T00:00:00.000
7392,20260811,52260,331,217,171,439,11,29,2,LTE007392,393,7392,1,1,2026-08-24T00:00:00.000
7393,20260821,34740,182,337,52,227,67,10,5,LTE007393,394,7393,1,1,2026-08-24T00:00:00.000
7394,20260714,78660,422,384,72,228,243,18,5,LTE007394,395,7394,1,1,2026-08-24T00:00:00.000
7395,20260618,34260,-1,-1,-1,-1,-1,27,-1,LTE007395,396,7395,1,1,2026-08-24T00:00:00.000
7396,20260626,71580,265,232,422,439,103,21,1,LTE007396,397,7396,1,1,2026-08-24T00:00:00.000
7397,20260823,29280,313,451,270,411,252,33,5,LTE007397,398,7397,1,1,2026-08-24T00:00:00.000
7398,20260601,6480,201,352,474,425,288,12,4,LTE007398,399,7398,1,1,2026-08-24T00:00:00.000
7399,20260622,63720,483,61,275,223,123,1,2,LTE007399,400,7399,1,1,2026-08-24T00:00:00.000
7400,20260715,3840,103,426,323,222,142,5,1,LTE007400,401,7400,1,1,2026-08-24T00:00:00.000
7401,20260604,73860,298,317,364,134,229,15,1,LTE007401,402,7401,1,1,2026-08-24T00:00:00.000
7402,20260814,18300,158,331,135,390,105,6,2,LTE007402,403,7402,1,1,2026-08-24T00:00:00.000
7403,20260622,50760,60,281,180,303,148,5,4,LTE007403,404,7403,1,1,2026-08-24T00:00:00.000
7404,20260817,46920,318,413,202,301,436,35,5,LTE007404,405,7404,1,1,2026-08-24T00:00:00.000
7405,20260704,33900,245,182,412,471,476,22,2,LTE007405,406,7405,1,1,2026-08-24T00:00:00.000
7406,20260709,50100,122,328,353,94,35,21,1,LTE007406,407,7406,1,1,2026-08-24T00:00:00.000
7407,20260628,47280,59,301,63,78,180,20,2,LTE007407,408,7407,1,1,2026-08-24T00:00:00.000
7408,20260814,65160,472,334,171,335,296,28,5,LTE007408,409,7408,1,1,2026-08-24T00:00:00.000
7409,20260712,7320,243,334,201,429,366,16,2,LTE007409,410,7409,1,1,2026-08-24T00:00:00.000
7410,20260717,78240,424,171,314,463,99,9,3,LTE007410,411,7410,1,1,2026-08-24T00:00:00.000
7411,20260822,73260,36,167,186,265,1,22,1,LTE007411,412,7411,1,1,2026-08-24T00:00:00.000
7412,20260628,83460,-1,-1,-1,-1,-1,24,-1,LTE007412,413,7412,1,1,2026-08-24T00:00:00.000
7413,20260802,19860,31,209,21,146,53,16,1,LTE007413,414,7413,1,1,2026-08-24T00:00:00.000
7414,20260804,77460,220,241,371,267,284,31,2,LTE007414,415,7414,1,1,2026-08-24T00:00:00.000
7415,20260614,1500,251,462,485,474,129,33,2,LTE007415,416,7415,1,1,2026-08-24T00:00:00.000
7416,20260606,73680,423,25,444,49,136,9,5,LTE007416,417,7416,1,1,2026-08-24T00:00:00.000
7417,20260719,28680,376,127,487,72,163,15,2,LTE007417,418,7417,1,1,2026-08-24T00:00:00.000
7418,20260619,45600,91,221,319,160,153,35,3,LTE007418,419,7418,1,1,2026-08-24T00:00:00.000
7419,20260726,34380,394,36,105,379,82,15,4,LTE007419,420,7419,1,1,2026-08-24T00:00:00.000
7420,20260808,10440,419,192,47,7,341,6,1,LTE007420,421,7420,1,1,2026-08-24T00:00:00.000
7421,20260701,20820,320,245,458,422,68,31,1,LTE007421,422,7421,1,1,2026-08-24T00:00:00.000
7422,20260601,77820,12,396,431,325,39,33,1,LTE007422,423,7422,1,1,2026-08-24T00:00:00.000
7423,20260619,7860,2,15,496,314,434,32,3,LTE007423,424,7423,1,1,2026-08-24T00:00:00.000
7424,20260727,13800,58,153,482,9,282,12,1,LTE007424,425,7424,1,1,2026-08-24T00:00:00.000
7425,20260811,42240,75,270,371,257,319,13,1,LTE007425,426,7425,1,1,2026-08-24T00:00:00.000
7426,20260607,36600,472,7,136,380,365,21,4,LTE007426,427,7426,1,1,2026-08-24T00:00:00.000
7427,20260806,23280,232,435,236,317,141,12,5,LTE007427,428,7427,1,1,2026-08-24T00:00:00.000
7428,20260629,20640,217,86,84,164,111,13,3,LTE007428,429,7428,1,1,2026-08-24T00:00:00.000
7429,20260723,63480,-1,-1,-1,-1,-1,34,-1,LTE007429,430,7429,1,1,2026-08-24T00:00:00.000
7430,20260730,78600,53,232,175,136,367,3,1,LTE007430,431,7430,1,1,2026-08-24T00:00:00.000
7431,20260809,2700,229,261,421,446,184,23,2,LTE007431,432,7431,1,1,2026-08-24T00:00:00.000
7432,20260707,31620,78,372,417,119,191,21,1,LTE007432,433,7432,1,1,2026-08-24T00:00:00.000
7433,20260701,38340,413,438,352,75,202,2,4,LTE007433,434,7433,1,1,2026-08-24T00:00:00.000
7434,20260725,19080,446,136,28,379,243,22,5,LTE007434,435,7434,1,1,2026-08-24T00:00:00.000
7435,20260818,54660,497,311,189,317,270,8,3,LTE007435,436,7435,1,1,2026-08-24T00:00:00.000
7436,20260815,65580,484,347,75,317,438,3,4,LTE007436,437,7436,1,1,2026-08-24T00:00:00.000
7437,20260704,55980,286,381,428,200,35,29,2,LTE007437,438,7437,1,1,2026-08-24T00:00:00.000
7438,20260608,45120,333,83,410,370,153,8,3,LTE007438,439,7438,1,1,2026-08-24T00:00:00.000
7439,20260630,8400,189,334,150,22,324,5,2,LTE007439,440,7439,1,1,2026-08-24T00:00:00.000
7440,20260617,12360,336,403,58,307,278,14,4,LTE007440,441,7440,1,1,2026-08-24T00:00:00.000
7441,20260703,8880,142,365,59,25,194,23,3,LTE007441,442,7441,1,1,2026-08-24T00:00:00.000
7442,20260704,18420,403,431,339,49,500,10,4,LTE007442,443,7442,1,1,2026-08-24T00:00:00.000
7443,20260724,63060,90,370,131,253,470,1,2,LTE007443,444,7443,1,1,2026-08-24T00:00:00.000
7444,20260602,65880,372,71,414,386,325,18,2,LTE007444,445,7444,1,1,2026-08-24T00:00:00.000
7445,20260822,80640,104,164,55,13,17,2,5,LTE007445,446,7445,1,1,2026-08-24T00:00:00.000
7446,20260817,19560,-1,-1,-1,-1,-1,14,-1,LTE007446,447,7446,1,1,2026-08-24T00:00:00.000
7447,20260706,59220,477,489,274,215,398,12,2,LTE007447,448,7447,1,1,2026-08-24T00:00:00.000
7448,20260609,28320,22,430,412,146,327,21,1,LTE007448,449,7448,1,1,2026-08-24T00:00:00.000
7449,20260604,60900,220,182,368,396,84,22,3,LTE007449,450,7449,1,1,2026-08-24T00:00:00.000
7450,20260728,3660,441,93,34,155,332,4,1,LTE007450,451,7450,1,1,2026-08-24T00:00:00.000
7451,20260610,43320,315,226,122,445,258,16,2,LTE007451,452,7451,1,1,2026-08-24T00:00:00.000
7452,20260805,55080,491,159,299,497,124,13,4,LTE007452,453,7452,1,1,2026-08-24T00:00:00.000
7453,20260715,42240,84,76,315,338,192,16,1,LTE007453,454,7453,1,1,2026-08-24T00:00:00.000
7454,20260624,13680,81,108,45,81,450,9,4,LTE007454,455,7454,1,1,2026-08-24T00:00:00.000
7455,20260820,75420,448,85,231,262,104,14,5,LTE007455,456,7455,1,1,2026-08-24T00:00:00.000
7456,20260603,4080,43,153,15,488,184,10,5,LTE007456,457,7456,1,1,2026-08-24T00:00:00.000
7457,20260812,17820,285,13,238,8,26,10,2,LTE007457,458,7457,1,1,2026-08-24T00:00:00.000
7458,20260716,83460,334,52,154,260,325,25,4,LTE007458,459,7458,1,1,2026-08-24T00:00:00.000
7459,20260728,58080,364,231,95,184,275,22,1,LTE007459,460,7459,1,1,2026-08-24T00:00:00.000
7460,20260721,70560,473,12,249,47,170,19,5,LTE007460,461,7460,1,1,2026-08-24T00:00:00.000
7461,20260528,27720,311,243,125,500,351,24,5,LTE007461,462,7461,1,1,2026-08-24T00:00:00.000
7462,20260712,10020,37,12,477,396,225,17,4,LTE007462,463,7462,1,1,2026-08-24T00:00:00.000
7463,20260817,21840,-1,-1,-1,-1,-1,32,-1,LTE007463,464,7463,1,1,2026-08-24T00:00:00.000
7464,20260708,77400,196,139,416,171,82,5,5,LTE007464,465,7464,1,1,2026-08-24T00:00:00.000
7465,20260712,4080,11,274,117,261,225,16,2,LTE007465,466,7465,1,1,2026-08-24T00:00:00.000
7466,20260614,13260,65,97,56,208,115,12,4,LTE007466,467,7466,1,1,2026-08-24T00:00:00.000
7467,20260626,30000,170,200,208,452,84,28,1,LTE007467,468,7467,1,1,2026-08-24T00:00:00.000
7468,20260626,36060,311,290,367,132,199,16,1,LTE007468,469,7468,1,1,2026-08-24T00:00:00.000
7469,20260626,62880,277,127,489,65,392,33,2,LTE007469,470,7469,1,1,2026-08-24T00:00:00.000
7470,20260604,4620,98,48,53,92,352,33,4,LTE007470,471,7470,1,1,2026-08-24T00:00:00.000
7471,20260714,57300,280,118,182,74,367,29,3,LTE007471,472,7471,1,1,2026-08-24T00:00:00.000
7472,20260627,42180,175,114,412,171,21,25,3,LTE007472,473,7472,1,1,2026-08-24T00:00:00.000
7473,20260705,71520,486,191,462,82,203,33,4,LTE007473,474,7473,1,1,2026-08-24T00:00:00.000
7474,20260615,70800,446,231,66,102,75,3,4,LTE007474,475,7474,1,1,2026-08-24T00:00:00.000
7475,20260714,0,491,407,452,310,46,21,4,LTE007475,476,7475,1,1,2026-08-24T00:00:00.000
7476,20260611,19920,370,373,416,153,3,2,3,LTE007476,477,7476,1,1,2026-08-24T00:00:00.000
7477,20260721,16260,467,428,210,466,59,12,2,LTE007477,478,7477,1,1,2026-08-24T00:00:00.000
7478,20260824,23700,269,193,201,334,181,3,5,LTE007478,479,7478,1,1,2026-08-24T00:00:00.000
7479,20260820,14460,230,250,12,218,374,20,1,LTE007479,480,7479,1,1,2026-08-24T00:00:00.000
7480,20260611,80460,-1,-1,-1,-1,-1,9,-1,LTE007480,481,7480,1,1,2026-08-24T00:00:00.000
7481,20260602,6600,57,251,37,13,244,9,3,LTE007481,482,7481,1,1,2026-08-24T00:00:00.000
7482,20260705,16080,340,152,149,439,93,27,5,LTE007482,483,7482,1,1,2026-08-24T00:00:00.000
7483,20260528,46980,20,105,38,152,494,11,1,LTE007483,484,7483,1,1,2026-08-24T00:00:00.000
7484,20260616,45300,1,233,38,475,437,8,3,LTE007484,485,7484,1,1,2026-08-24T00:00:00.000
7485,20260612,70380,59,383,7,413,12,23,4,LTE007485,486,7485,1,1,2026-08-24T00:00:00.000
7486,20260628,42900,241,344,297,313,130,20,4,LTE007486,487,7486,1,1,2026-08-24T00:00:00.000
7487,20260822,21960,187,311,104,496,167,2,3,LTE007487,488,7487,1,1,2026-08-24T00:00:00.000
7488,20260802,6780,199,399,450,137,335,8,5,LTE007488,489,7488,1,1,2026-08-24T00:00:00.000
7489,20260816,85560,185,460,122,7,392,10,5,LTE007489,490,7489,1,1,2026-08-24T00:00:00.000
7490,20260622,39540,132,71,2,120,207,6,5,LTE007490,491,7490,1,1,2026-08-24T00:00:00.000
7491,20260626,37200,242,459,115,44,176,19,2,LTE007491,492,7491,1,1,2026-08-24T00:00:00.000
7492,20260715,36120,92,144,293,169,250,2,4,LTE007492,493,7492,1,1,2026-08-24T00:00:00.000
7493,20260619,5400,457,299,332,390,76,21,4,LTE007493,494,7493,1,1,2026-08-24T00:00:00.000
7494,20260604,74640,363,2,256,483,134,31,1,LTE007494,495,7494,1,1,2026-08-24T00:00:00.000
7495,20260811,28320,406,224,80,122,224,32,3,LTE007495,496,7495,1,1,2026-08-24T00:00:00.000
7496,20260724,17580,468,104,273,273,203,8,3,LTE007496,497,7496,1,1,2026-08-24T00:00:00.000
7497,20260810,52920,-1,-1,-1,-1,-1,35,-1,LTE007497,498,7497,1,1,2026-08-24T00:00:00.000
7498,20260701,45600,390,6,402,191,322,24,2,LTE007498,499,7498,1,1,2026-08-24T00:00:00.000
7499,20260614,83760,203,170,68,392,215,4,3,LTE007499,500,7499,1,1,2026-08-24T00:00:00.000
7500,20260625,36420,79,410,73,332,207,1,1,LTE007500,501,7500,1,1,2026-08-24T00:00:00.000
7501,20260802,47040,11,318,35,432,75,18,3,LTE007501,502,7501,1,1,2026-08-24T00:00:00.000
7502,20260619,13740,398,469,476,354,118,14,1,LTE007502,503,7502,1,1,2026-08-24T00:00:00.000
7503,20260611,27420,95,416,216,74,453,6,5,LTE007503,504,7503,1,1,2026-08-24T00:00:00.000
7504,20260720,58200,479,51,308,270,209,2,3,LTE007504,505,7504,1,1,2026-08-24T00:00:00.000
7505,20260703,65400,149,254,47,41,195,18,1,LTE007505,506,7505,1,1,2026-08-24T00:00:00.000
7506,20260710,31920,460,296,331,472,77,27,5,LTE007506,507,7506,1,1,2026-08-24T00:00:00.000
7507,20260604,75480,376,157,482,50,477,30,4,LTE007507,508,7507,1,1,2026-08-24T00:00:00.000
7508,20260607,33180,114,101,390,374,192,9,5,LTE007508,509,7508,1,1,2026-08-24T00:00:00.000
7509,20260712,1500,8,425,187,258,334,31,4,LTE007509,510,7509,1,1,2026-08-24T00:00:00.000
7510,20260612,69240,12,205,154,388,397,3,3,LTE007510,511,7510,1,1,2026-08-24T00:00:00.000
7511,20260706,11100,479,99,442,302,416,4,1,LTE007511,512,7511,1,1,2026-08-24T00:00:00.000
7512,20260603,45900,127,16,310,94,382,22,2,LTE007512,513,7512,1,1,2026-08-24T00:00:00.000
7513,20260811,1380,191,381,288,369,343,10,3,LTE007513,514,7513,1,1,2026-08-24T00:00:00.000
7514,20260609,76380,-1,-1,-1,-1,-1,32,-1,LTE007514,515,7514,1,1,2026-08-24T00:00:00.000
7515,20260602,3060,225,354,197,160,163,22,3,LTE007515,516,7515,1,1,2026-08-24T00:00:00.000
7516,20260806,18480,339,82,355,454,107,28,5,LTE007516,517,7516,1,1,2026-08-24T00:00:00.000
7517,20260813,75360,296,306,494,267,181,19,1,LTE007517,518,7517,1,1,2026-08-24T00:00:00.000
7518,20260624,9300,460,49,383,361,203,5,5,LTE007518,519,7518,1,1,2026-08-24T00:00:00.000
7519,20260623,13440,166,65,377,8,259,15,3,LTE007519,520,7519,1,1,2026-08-24T00:00:00.000
7520,20260803,42240,327,331,165,468,20,29,3,LTE007520,521,7520,1,1,2026-08-24T00:00:00.000
7521,20260725,84000,159,112,221,145,7,33,3,LTE007521,522,7521,1,1,2026-08-24T00:00:00.000
7522,20260620,68580,276,147,14,488,13,6,1,LTE007522,523,7522,1,1,2026-08-24T00:00:00.000
7523,20260821,16620,309,361,357,102,308,2,2,LTE007523,524,7523,1,1,2026-08-24T00:00:00.000
7524,20260711,66120,27,32,47,364,398,11,3,LTE007524,525,7524,1,1,2026-08-24T00:00:00.000
7525,20260617,57660,20,348,290,247,117,6,2,LTE007525,526,7525,1,1,2026-08-24T00:00:00.000
7526,20260606,28920,70,78,488,327,3,9,3,LTE007526,527,7526,1,1,2026-08-24T00:00:00.000
7527,20260719,23400,204,487,494,467,356,13,1,LTE007527,528,7527,1,1,2026-08-24T00:00:00.000
7528,20260609,21600,43,358,42,278,331,25,1,LTE007528,529,7528,1,1,2026-08-24T00:00:00.000
7529,20260814,21900,309,110,27,458,266,28,5,LTE007529,530,7529,1,1,2026-08-24T00:00:00.000
7530,20260728,38820,111,475,456,358,437,21,4,LTE007530,531,7530,1,1,2026-08-24T00:00:00.000
7531,20260813,65880,-1,-1,-1,-1,-1,9,-1,LTE007531,532,7531,1,1,2026-08-24T00:00:00.000
7532,20260623,61680,431,398,418,151,166,26,5,LTE007532,533,7532,1,1,2026-08-24T00:00:00.000
7533,20260717,65700,443,495,266,298,444,9,5,LTE007533,534,7533,1,1,2026-08-24T00:00:00.000
7534,20260527,37620,408,380,308,36,400,2,2,LTE007534,535,7534,1,1,2026-08-24T00:00:00.000
7535,20260604,65820,220,256,219,273,311,8,4,LTE007535,536,7535,1,1,2026-08-24T00:00:00.000
7536,20260531,54360,133,299,478,359,213,35,4,LTE007536,537,7536,1,1,2026-08-24T00:00:00.000
7537,20260603,51840,23,286,345,32,418,27,2,LTE007537,538,7537,1,1,2026-08-24T00:00:00.000
7538,20260811,64860,145,359,187,81,199,35,5,LTE007538,539,7538,1,1,2026-08-24T00:00:00.000
7539,20260614,26220,252,314,356,98,89,11,1,LTE007539,540,7539,1,1,2026-08-24T00:00:00.000
7540,20260622,66000,283,375,345,479,154,29,5,LTE007540,541,7540,1,1,2026-08-24T00:00:00.000
7541,20260728,61800,11,60,262,19,72,29,1,LTE007541,542,7541,1,1,2026-08-24T00:00:00.000
7542,20260610,33240,497,126,41,64,464,10,5,LTE007542,543,7542,1,1,2026-08-24T00:00:00.000
7543,20260730,44460,55,114,191,202,286,21,3,LTE007543,544,7543,1,1,2026-08-24T00:00:00.000
7544,20260724,29460,377,151,312,318,344,10,2,LTE007544,545,7544,1,1,2026-08-24T00:00:00.000
7545,20260625,40560,38,337,330,465,362,29,5,LTE007545,546,7545,1,1,2026-08-24T00:00:00.000
7546,20260728,71340,11,107,75,400,344,31,5,LTE007546,547,7546,1,1,2026-08-24T00:00:00.000
7547,20260604,36780,354,68,354,1,420,34,4,LTE007547,548,7547,1,1,2026-08-24T00:00:00.000
7548,20260728,37500,-1,-1,-1,-1,-1,18,-1,LTE007548,549,7548,1,1,2026-08-24T00:00:00.000
7549,20260608,60600,335,453,419,481,178,10,3,LTE007549,550,7549,1,1,2026-08-24T00:00:00.000
7550,20260607,61320,328,154,48,226,29,22,4,LTE007550,551,7550,1,1,2026-08-24T00:00:00.000
7551,20260804,19560,142,463,486,269,103,19,5,LTE007551,552,7551,1,1,2026-08-24T00:00:00.000
7552,20260822,33420,269,321,468,221,479,3,1,LTE007552,553,7552,1,1,2026-08-24T00:00:00.000
7553,20260809,840,167,149,254,450,417,21,3,LTE007553,554,7553,1,1,2026-08-24T00:00:00.000
7554,20260823,19260,172,120,74,336,326,6,3,LTE007554,555,7554,1,1,2026-08-24T00:00:00.000
7555,20260715,55200,15,294,191,429,32,8,3,LTE007555,556,7555,1,1,2026-08-24T00:00:00.000
7556,20260720,53460,471,214,342,269,31,13,5,LTE007556,557,7556,1,1,2026-08-24T00:00:00.000
7557,20260814,78480,64,78,258,84,51,16,4,LTE007557,558,7557,1,1,2026-08-24T00:00:00.000
7558,20260819,16560,95,339,384,115,498,34,2,LTE007558,559,7558,1,1,2026-08-24T00:00:00.000
7559,20260817,1320,198,300,205,91,105,20,3,LTE007559,560,7559,1,1,2026-08-24T00:00:00.000
7560,20260709,81780,362,73,318,3,141,34,3,LTE007560,561,7560,1,1,2026-08-24T00:00:00.000
