InventoryCycleCountKey,CountDateKey,ApprovalDateKey,PostingDateKey,CountTimeOfDayKey,ProductKey,PlantKey,InventoryBinKey,CounterEmployeeKey,ApproverEmployeeKey,InventoryCountStatusKey,UnitOfMeasureKey,CountSheetNumber,CountSheetLineNumber,SystemQuantity,CountedQuantity,VarianceQuantity,VarianceValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
175,20260809,20260616,20260624,24480,304,136,3,347,247,5,4,ICC000175,176,122.6000,122.6000,122.6000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260629,20260731,20260619,7920,488,346,364,309,72,1,6,ICC000176,177,123.3000,123.3000,123.3000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260614,20260621,20260626,61080,360,230,24,472,165,8,3,ICC000177,178,124.0000,124.0000,124.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260704,20260804,20260626,12360,12,30,208,200,371,5,3,ICC000178,179,124.7000,124.7000,124.7000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260611,20260824,20260619,15240,432,252,376,343,167,6,3,ICC000179,180,125.4000,125.4000,125.4000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260713,20260725,20260625,66540,162,28,272,158,255,1,4,ICC000180,181,126.1000,126.1000,126.1000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260609,20260819,20260809,38460,123,254,225,443,274,2,7,ICC000181,182,126.8000,126.8000,126.8000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260615,20260721,20260812,34860,201,239,486,308,245,6,7,ICC000182,183,127.5000,127.5000,127.5000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260801,20260531,20260622,58800,362,347,451,189,353,1,5,ICC000183,184,128.2000,128.2000,128.2000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260812,20260602,20260623,19200,269,159,388,131,195,5,6,ICC000184,185,128.9000,128.9000,128.9000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260709,20260608,20260625,53820,22,195,377,178,300,3,7,ICC000185,186,129.6000,129.6000,129.6000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260605,20260621,20260718,23280,223,124,248,288,447,8,6,ICC000186,187,130.3000,130.3000,130.3000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260529,20260622,20260619,11640,237,51,58,-1,-1,3,5,ICC000187,188,131.0000,131.0000,131.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260628,20260722,20260615,8280,344,194,448,33,94,3,1,ICC000188,189,131.7000,131.7000,131.7000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260801,20260625,20260803,78960,440,62,389,322,311,6,5,ICC000189,190,132.4000,132.4000,132.4000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260816,20260802,20260810,43740,388,64,341,407,6,7,6,ICC000190,191,133.1000,133.1000,133.1000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260625,20260601,20260708,42060,425,70,225,4,378,4,1,ICC000191,192,133.8000,133.8000,133.8000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260710,20260703,20260601,4980,186,164,401,263,440,3,2,ICC000192,193,134.5000,134.5000,134.5000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260819,20260622,20260819,5040,332,205,337,404,285,5,7,ICC000193,194,135.2000,135.2000,135.2000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260810,20260703,20260822,44520,499,260,175,395,11,3,7,ICC000194,195,135.9000,135.9000,135.9000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260708,20260811,20260701,43920,205,298,46,464,171,2,4,ICC000195,196,136.6000,136.6000,136.6000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260629,20260808,20260528,40260,226,343,421,473,295,1,2,ICC000196,197,137.3000,137.3000,137.3000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260703,20260604,20260629,38820,395,186,173,176,64,2,1,ICC000197,198,138.0000,138.0000,138.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260616,20260817,20260814,19080,249,82,197,270,64,3,1,ICC000198,199,138.7000,138.7000,138.7000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260708,20260607,20260810,63780,339,184,298,207,143,8,6,ICC000199,200,139.4000,139.4000,139.4000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260813,20260703,20260814,45120,425,59,474,369,345,1,6,ICC000200,201,140.1000,140.1000,140.1000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260628,20260730,20260711,83520,39,338,474,68,206,8,2,ICC000201,202,140.8000,140.8000,140.8000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260605,20260624,20260527,55500,313,259,15,368,293,2,1,ICC000202,203,141.5000,141.5000,141.5000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260621,20260718,20260728,49740,451,73,330,456,218,5,4,ICC000203,204,142.2000,142.2000,142.2000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260818,20260820,20260610,16380,116,318,99,-1,-1,4,3,ICC000204,205,142.9000,142.9000,142.9000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260611,20260821,20260713,65640,189,255,129,368,125,4,1,ICC000205,206,143.6000,143.6000,143.6000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260527,20260531,20260613,54180,220,73,298,435,367,2,4,ICC000206,207,144.3000,144.3000,144.3000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260701,20260707,20260812,74280,201,179,319,182,391,4,3,ICC000207,208,145.0000,145.0000,145.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260816,20260623,20260824,27720,232,52,309,126,115,2,1,ICC000208,209,145.7000,145.7000,145.7000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260813,20260703,20260615,64980,372,240,83,255,162,2,1,ICC000209,210,146.4000,146.4000,146.4000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260712,20260627,20260811,57000,373,46,191,287,110,4,3,ICC000210,211,147.1000,147.1000,147.1000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260527,20260628,20260810,60060,324,50,130,119,182,5,5,ICC000211,212,147.8000,147.8000,147.8000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260529,20260711,20260811,20820,383,178,376,489,225,1,1,ICC000212,213,148.5000,148.5000,148.5000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260528,20260729,20260806,13080,462,320,317,126,228,2,6,ICC000213,214,149.2000,149.2000,149.2000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260706,20260730,20260723,55020,127,251,255,104,212,7,5,ICC000214,215,149.9000,149.9000,149.9000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260721,20260705,20260716,61500,31,153,91,141,333,7,3,ICC000215,216,150.6000,150.6000,150.6000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260605,20260629,20260622,74040,181,8,430,453,496,6,6,ICC000216,217,151.3000,151.3000,151.3000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260622,20260729,20260823,58320,395,233,32,466,369,7,6,ICC000217,218,152.0000,152.0000,152.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260731,20260808,20260713,27600,435,257,309,246,58,4,2,ICC000218,219,152.7000,152.7000,152.7000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260802,20260611,20260609,9540,36,108,383,56,322,8,2,ICC000219,220,153.4000,153.4000,153.4000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260717,20260727,20260815,18780,222,210,144,362,374,7,2,ICC000220,221,154.1000,154.1000,154.1000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260804,20260629,20260725,76200,125,2,318,-1,-1,6,3,ICC000221,222,154.8000,154.8000,154.8000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260712,20260712,20260725,54900,305,309,106,291,324,2,7,ICC000222,223,155.5000,155.5000,155.5000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260809,20260622,20260716,80820,83,144,162,494,197,6,4,ICC000223,224,156.2000,156.2000,156.2000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260812,20260626,20260804,33060,373,349,305,258,121,3,1,ICC000224,225,156.9000,156.9000,156.9000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260627,20260704,20260720,21240,325,167,225,301,54,7,7,ICC000225,226,157.6000,157.6000,157.6000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260612,20260728,20260610,50460,348,15,310,202,180,4,7,ICC000226,227,158.3000,158.3000,158.3000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260608,20260803,20260613,69660,37,5,60,36,445,3,4,ICC000227,228,159.0000,159.0000,159.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260806,20260622,20260704,67440,495,12,271,306,362,5,2,ICC000228,229,159.7000,159.7000,159.7000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260612,20260616,20260717,62700,111,93,439,369,464,1,5,ICC000229,230,160.4000,160.4000,160.4000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260817,20260601,20260711,35880,176,98,82,69,12,7,3,ICC000230,231,161.1000,161.1000,161.1000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260612,20260805,20260803,12060,316,42,386,306,452,3,4,ICC000231,232,161.8000,161.8000,161.8000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260710,20260726,20260730,71220,70,53,191,260,149,1,1,ICC000232,233,162.5000,162.5000,162.5000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260711,20260703,20260527,73440,93,126,458,429,23,2,7,ICC000233,234,163.2000,163.2000,163.2000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260603,20260822,20260530,11940,445,163,281,436,269,3,3,ICC000234,235,163.9000,163.9000,163.9000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260613,20260726,20260821,49920,288,13,473,66,497,4,4,ICC000235,236,164.6000,164.6000,164.6000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260606,20260819,20260823,80040,320,106,419,353,283,2,1,ICC000236,237,165.3000,165.3000,165.3000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260820,20260730,20260703,25980,310,317,64,69,299,7,3,ICC000237,238,166.0000,166.0000,166.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260616,20260731,20260709,52440,268,91,253,-1,-1,8,1,ICC000238,239,166.7000,166.7000,166.7000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260626,20260606,20260818,35100,462,289,300,339,56,6,5,ICC000239,240,167.4000,167.4000,167.4000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260808,20260625,20260707,8040,296,150,164,12,472,7,2,ICC000240,241,168.1000,168.1000,168.1000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260713,20260621,20260610,52140,447,162,322,59,310,2,4,ICC000241,242,168.8000,168.8000,168.8000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260612,20260816,20260603,30600,40,262,458,190,196,8,6,ICC000242,243,169.5000,169.5000,169.5000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260811,20260822,20260725,66480,46,13,108,331,36,5,6,ICC000243,244,170.2000,170.2000,170.2000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260616,20260528,20260607,21060,224,5,253,346,253,5,4,ICC000244,245,170.9000,170.9000,170.9000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260528,20260727,20260721,46080,435,264,126,33,138,5,2,ICC000245,246,171.6000,171.6000,171.6000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260820,20260723,20260624,47880,54,112,296,188,166,1,6,ICC000246,247,172.3000,172.3000,172.3000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260804,20260712,20260604,17760,214,225,452,173,61,5,2,ICC000247,248,173.0000,173.0000,173.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260805,20260816,20260810,32220,390,317,454,417,350,6,2,ICC000248,249,173.7000,173.7000,173.7000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260809,20260805,20260527,79140,409,281,360,79,431,3,1,ICC000249,250,174.4000,174.4000,174.4000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260723,20260811,20260610,20520,132,42,241,137,499,3,7,ICC000250,251,175.1000,175.1000,175.1000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260630,20260623,20260710,24480,472,92,415,61,163,5,5,ICC000251,252,175.8000,175.8000,175.8000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260530,20260603,20260602,13560,141,187,423,210,18,1,7,ICC000252,253,176.5000,176.5000,176.5000,355.2400,1,1,2026-08-24T00:00:00.000
253,20260820,20260619,20260716,50520,351,56,305,400,235,4,2,ICC000253,254,177.2000,177.2000,177.2000,356.6100,1,1,2026-08-24T00:00:00.000
254,20260819,20260614,20260724,54840,451,80,47,29,402,2,4,ICC000254,255,177.9000,177.9000,177.9000,357.9800,1,1,2026-08-24T00:00:00.000
255,20260623,20260723,20260619,68760,271,102,121,-1,-1,6,2,ICC000255,256,178.6000,178.6000,178.6000,359.3500,1,1,2026-08-24T00:00:00.000
256,20260820,20260723,20260717,16260,164,58,95,98,344,7,1,ICC000256,257,179.3000,179.3000,179.3000,360.7200,1,1,2026-08-24T00:00:00.000
257,20260530,20260712,20260611,1500,120,263,191,432,446,1,4,ICC000257,258,180.0000,180.0000,180.0000,362.0900,1,1,2026-08-24T00:00:00.000
258,20260803,20260715,20260610,22140,431,231,119,418,70,8,2,ICC000258,259,180.7000,180.7000,180.7000,363.4600,1,1,2026-08-24T00:00:00.000
259,20260730,20260728,20260605,11280,55,244,186,38,436,8,5,ICC000259,260,181.4000,181.4000,181.4000,364.8300,1,1,2026-08-24T00:00:00.000
260,20260623,20260628,20260616,20160,292,70,456,478,7,6,2,ICC000260,261,182.1000,182.1000,182.1000,366.2000,1,1,2026-08-24T00:00:00.000
261,20260722,20260616,20260623,18180,297,265,25,93,372,2,2,ICC000261,262,182.8000,182.8000,182.8000,367.5700,1,1,2026-08-24T00:00:00.000
262,20260619,20260529,20260610,64320,364,88,242,310,388,6,6,ICC000262,263,183.5000,183.5000,183.5000,368.9400,1,1,2026-08-24T00:00:00.000
263,20260814,20260621,20260731,68820,386,218,276,493,113,5,4,ICC000263,264,184.2000,184.2000,184.2000,370.3100,1,1,2026-08-24T00:00:00.000
264,20260801,20260622,20260630,15480,415,137,133,187,385,7,6,ICC000264,265,184.9000,184.9000,184.9000,371.6800,1,1,2026-08-24T00:00:00.000
265,20260623,20260718,20260820,16560,390,13,201,497,326,5,1,ICC000265,266,185.6000,185.6000,185.6000,373.0500,1,1,2026-08-24T00:00:00.000
266,20260710,20260627,20260724,69120,151,87,60,192,329,4,2,ICC000266,267,186.3000,186.3000,186.3000,374.4200,1,1,2026-08-24T00:00:00.000
267,20260805,20260801,20260711,6840,339,212,201,114,141,8,4,ICC000267,268,187.0000,187.0000,187.0000,375.7900,1,1,2026-08-24T00:00:00.000
268,20260618,20260822,20260811,18840,139,142,351,408,332,6,4,ICC000268,269,187.7000,187.7000,187.7000,377.1600,1,1,2026-08-24T00:00:00.000
269,20260607,20260821,20260715,25020,378,237,295,218,491,1,7,ICC000269,270,188.4000,188.4000,188.4000,378.5300,1,1,2026-08-24T00:00:00.000
270,20260702,20260610,20260605,33540,290,132,82,429,216,5,1,ICC000270,271,189.1000,189.1000,189.1000,379.9000,1,1,2026-08-24T00:00:00.000
271,20260704,20260731,20260708,77820,193,137,137,48,367,6,6,ICC000271,272,189.8000,189.8000,189.8000,381.2700,1,1,2026-08-24T00:00:00.000
272,20260724,20260617,20260723,27900,120,142,290,-1,-1,5,4,ICC000272,273,190.5000,190.5000,190.5000,382.6400,1,1,2026-08-24T00:00:00.000
273,20260802,20260717,20260628,46680,398,67,417,360,179,6,6,ICC000273,274,191.2000,191.2000,191.2000,384.0100,1,1,2026-08-24T00:00:00.000
274,20260705,20260816,20260608,57000,349,133,406,391,163,6,2,ICC000274,275,191.9000,191.9000,191.9000,385.3800,1,1,2026-08-24T00:00:00.000
275,20260729,20260528,20260609,44640,233,145,484,490,489,7,2,ICC000275,276,192.6000,192.6000,192.6000,386.7500,1,1,2026-08-24T00:00:00.000
276,20260728,20260823,20260621,7740,59,232,265,322,140,2,4,ICC000276,277,193.3000,193.3000,193.3000,388.1200,1,1,2026-08-24T00:00:00.000
277,20260824,20260820,20260609,48060,204,224,198,146,107,1,2,ICC000277,278,194.0000,194.0000,194.0000,389.4900,1,1,2026-08-24T00:00:00.000
278,20260808,20260705,20260706,12420,258,118,177,432,357,2,5,ICC000278,279,194.7000,194.7000,194.7000,390.8600,1,1,2026-08-24T00:00:00.000
279,20260722,20260702,20260602,34560,39,16,476,473,490,7,2,ICC000279,280,195.4000,195.4000,195.4000,392.2300,1,1,2026-08-24T00:00:00.000
280,20260823,20260726,20260625,24780,70,335,284,350,100,4,4,ICC000280,281,196.1000,196.1000,196.1000,393.6000,1,1,2026-08-24T00:00:00.000
281,20260731,20260819,20260714,44460,421,80,478,168,298,2,1,ICC000281,282,196.8000,196.8000,196.8000,394.9700,1,1,2026-08-24T00:00:00.000
282,20260713,20260802,20260608,43620,306,272,31,142,299,1,3,ICC000282,283,197.5000,197.5000,197.5000,396.3400,1,1,2026-08-24T00:00:00.000
283,20260817,20260802,20260823,2160,155,26,316,493,493,6,4,ICC000283,284,198.2000,198.2000,198.2000,397.7100,1,1,2026-08-24T00:00:00.000
284,20260811,20260718,20260706,11820,169,350,433,371,268,7,2,ICC000284,285,198.9000,198.9000,198.9000,399.0800,1,1,2026-08-24T00:00:00.000
285,20260614,20260719,20260616,21840,485,146,442,213,166,1,7,ICC000285,286,199.6000,199.6000,199.6000,400.4500,1,1,2026-08-24T00:00:00.000
286,20260718,20260602,20260721,73020,458,295,384,82,307,3,4,ICC000286,287,200.3000,200.3000,200.3000,401.8200,1,1,2026-08-24T00:00:00.000
287,20260810,20260615,20260811,37080,406,162,96,99,35,8,5,ICC000287,288,201.0000,201.0000,201.0000,403.1900,1,1,2026-08-24T00:00:00.000
288,20260711,20260528,20260622,18540,472,128,473,303,25,2,2,ICC000288,289,201.7000,201.7000,201.7000,404.5600,1,1,2026-08-24T00:00:00.000
289,20260818,20260724,20260623,600,415,126,22,-1,-1,5,7,ICC000289,290,202.4000,202.4000,202.4000,405.9300,1,1,2026-08-24T00:00:00.000
290,20260621,20260806,20260703,48480,458,227,437,351,187,3,4,ICC000290,291,203.1000,203.1000,203.1000,407.3000,1,1,2026-08-24T00:00:00.000
291,20260604,20260806,20260814,69780,89,74,278,27,76,4,6,ICC000291,292,203.8000,203.8000,203.8000,408.6700,1,1,2026-08-24T00:00:00.000
292,20260626,20260720,20260627,81720,316,309,431,299,183,1,5,ICC000292,293,204.5000,204.5000,204.5000,410.0400,1,1,2026-08-24T00:00:00.000
293,20260619,20260823,20260809,2520,163,291,282,490,228,2,5,ICC000293,294,205.2000,205.2000,205.2000,411.4100,1,1,2026-08-24T00:00:00.000
294,20260607,20260814,20260628,63540,237,163,432,31,280,5,2,ICC000294,295,205.9000,205.9000,205.9000,412.7800,1,1,2026-08-24T00:00:00.000
295,20260803,20260704,20260806,30180,40,192,489,234,414,8,4,ICC000295,296,206.6000,206.6000,206.6000,414.1500,1,1,2026-08-24T00:00:00.000
296,20260801,20260810,20260718,71820,323,156,56,492,222,3,7,ICC000296,297,207.3000,207.3000,207.3000,415.5200,1,1,2026-08-24T00:00:00.000
297,20260813,20260611,20260610,24840,389,176,19,99,375,8,3,ICC000297,298,208.0000,208.0000,208.0000,416.8900,1,1,2026-08-24T00:00:00.000
298,20260726,20260730,20260707,55740,499,241,14,407,497,6,2,ICC000298,299,208.7000,208.7000,208.7000,418.2600,1,1,2026-08-24T00:00:00.000
299,20260619,20260628,20260602,3180,106,158,295,107,221,1,3,ICC000299,300,209.4000,209.4000,209.4000,419.6300,1,1,2026-08-24T00:00:00.000
300,20260702,20260722,20260625,43680,70,208,311,87,106,2,5,ICC000300,301,210.1000,210.1000,210.1000,421.0000,1,1,2026-08-24T00:00:00.000
301,20260813,20260706,20260815,64440,338,182,145,264,452,4,1,ICC000301,302,210.8000,210.8000,210.8000,422.3700,1,1,2026-08-24T00:00:00.000
302,20260807,20260716,20260624,76500,47,312,175,483,139,4,1,ICC000302,303,211.5000,211.5000,211.5000,423.7400,1,1,2026-08-24T00:00:00.000
303,20260601,20260823,20260615,42720,10,305,245,98,412,1,4,ICC000303,304,212.2000,212.2000,212.2000,425.1100,1,1,2026-08-24T00:00:00.000
304,20260617,20260608,20260823,78360,422,129,329,383,447,5,4,ICC000304,305,212.9000,212.9000,212.9000,426.4800,1,1,2026-08-24T00:00:00.000
305,20260629,20260817,20260718,13980,322,200,460,12,187,1,6,ICC000305,306,213.6000,213.6000,213.6000,427.8500,1,1,2026-08-24T00:00:00.000
306,20260619,20260731,20260814,60120,244,250,281,-1,-1,1,3,ICC000306,307,214.3000,214.3000,214.3000,429.2200,1,1,2026-08-24T00:00:00.000
307,20260529,20260530,20260609,71460,143,48,46,118,57,5,1,ICC000307,308,215.0000,215.0000,215.0000,430.5900,1,1,2026-08-24T00:00:00.000
308,20260806,20260623,20260819,23640,338,301,51,92,318,1,1,ICC000308,309,215.7000,215.7000,215.7000,431.9600,1,1,2026-08-24T00:00:00.000
309,20260722,20260617,20260823,12960,287,51,384,407,363,7,4,ICC000309,310,216.4000,216.4000,216.4000,433.3300,1,1,2026-08-24T00:00:00.000
310,20260611,20260602,20260809,9900,89,316,22,72,160,3,5,ICC000310,311,217.1000,217.1000,217.1000,434.7000,1,1,2026-08-24T00:00:00.000
311,20260710,20260713,20260618,61620,250,77,190,402,457,7,6,ICC000311,312,217.8000,217.8000,217.8000,436.0700,1,1,2026-08-24T00:00:00.000
312,20260621,20260711,20260629,15600,157,291,4,114,185,3,7,ICC000312,313,218.5000,218.5000,218.5000,437.4400,1,1,2026-08-24T00:00:00.000
313,20260728,20260613,20260817,14160,65,301,122,367,66,6,5,ICC000313,314,219.2000,219.2000,219.2000,438.8100,1,1,2026-08-24T00:00:00.000
314,20260624,20260820,20260804,51120,490,8,9,357,111,5,7,ICC000314,315,219.9000,219.9000,219.9000,440.1800,1,1,2026-08-24T00:00:00.000
315,20260621,20260624,20260613,71520,350,131,343,386,293,3,4,ICC000315,316,220.6000,220.6000,220.6000,441.5500,1,1,2026-08-24T00:00:00.000
316,20260622,20260724,20260611,77940,61,321,209,441,205,4,5,ICC000316,317,221.3000,221.3000,221.3000,442.9200,1,1,2026-08-24T00:00:00.000
317,20260705,20260816,20260619,79440,81,171,259,234,245,7,3,ICC000317,318,222.0000,222.0000,222.0000,444.2900,1,1,2026-08-24T00:00:00.000
318,20260707,20260604,20260815,34020,156,306,60,62,82,3,6,ICC000318,319,222.7000,222.7000,222.7000,445.6600,1,1,2026-08-24T00:00:00.000
319,20260703,20260812,20260619,5100,374,140,80,351,115,6,1,ICC000319,320,223.4000,223.4000,223.4000,447.0300,1,1,2026-08-24T00:00:00.000
320,20260716,20260706,20260723,5520,269,284,395,123,45,1,1,ICC000320,321,224.1000,224.1000,224.1000,448.4000,1,1,2026-08-24T00:00:00.000
321,20260720,20260806,20260618,3840,197,219,416,312,244,5,2,ICC000321,322,224.8000,224.8000,224.8000,449.7700,1,1,2026-08-24T00:00:00.000
322,20260807,20260823,20260605,46860,395,139,364,47,38,7,2,ICC000322,323,225.5000,225.5000,225.5000,451.1400,1,1,2026-08-24T00:00:00.000
323,20260721,20260718,20260809,3900,130,235,169,-1,-1,5,7,ICC000323,324,226.2000,226.2000,226.2000,452.5100,1,1,2026-08-24T00:00:00.000
324,20260815,20260810,20260706,78540,33,190,307,410,366,8,6,ICC000324,325,226.9000,226.9000,226.9000,453.8800,1,1,2026-08-24T00:00:00.000
325,20260613,20260530,20260728,6660,243,200,462,40,113,6,7,ICC000325,326,227.6000,227.6000,227.6000,455.2500,1,1,2026-08-24T00:00:00.000
326,20260615,20260602,20260813,20460,471,208,99,10,460,7,4,ICC000326,327,228.3000,228.3000,228.3000,456.6200,1,1,2026-08-24T00:00:00.000
327,20260610,20260629,20260629,22440,285,79,248,274,469,6,4,ICC000327,328,229.0000,229.0000,229.0000,457.9900,1,1,2026-08-24T00:00:00.000
328,20260616,20260716,20260807,19200,46,46,353,318,377,6,5,ICC000328,329,229.7000,229.7000,229.7000,459.3600,1,1,2026-08-24T00:00:00.000
329,20260718,20260804,20260616,65100,176,337,196,181,68,7,6,ICC000329,330,230.4000,230.4000,230.4000,460.7300,1,1,2026-08-24T00:00:00.000
330,20260816,20260619,20260622,71640,383,219,456,407,226,5,1,ICC000330,331,231.1000,231.1000,231.1000,462.1000,1,1,2026-08-24T00:00:00.000
331,20260621,20260628,20260607,53940,86,113,459,136,461,4,4,ICC000331,332,231.8000,231.8000,231.8000,463.4700,1,1,2026-08-24T00:00:00.000
332,20260711,20260718,20260802,25560,140,232,181,219,239,4,3,ICC000332,333,232.5000,232.5000,232.5000,464.8400,1,1,2026-08-24T00:00:00.000
333,20260729,20260616,20260705,56040,267,101,449,36,450,3,7,ICC000333,334,233.2000,233.2000,233.2000,466.2100,1,1,2026-08-24T00:00:00.000
334,20260623,20260704,20260716,24840,341,5,419,216,408,5,4,ICC000334,335,233.9000,233.9000,233.9000,467.5800,1,1,2026-08-24T00:00:00.000
335,20260722,20260618,20260805,45480,184,13,358,409,175,5,6,ICC000335,336,234.6000,234.6000,234.6000,468.9500,1,1,2026-08-24T00:00:00.000
336,20260724,20260713,20260814,32700,241,302,372,9,375,2,7,ICC000336,337,235.3000,235.3000,235.3000,470.3200,1,1,2026-08-24T00:00:00.000
337,20260705,20260606,20260621,27480,237,81,59,497,102,6,7,ICC000337,338,236.0000,236.0000,236.0000,471.6900,1,1,2026-08-24T00:00:00.000
338,20260601,20260619,20260627,18300,454,205,297,15,358,5,2,ICC000338,339,236.7000,236.7000,236.7000,473.0600,1,1,2026-08-24T00:00:00.000
339,20260807,20260609,20260820,76740,60,56,141,354,16,5,6,ICC000339,340,237.4000,237.4000,237.4000,474.4300,1,1,2026-08-24T00:00:00.000
340,20260814,20260616,20260807,73560,282,276,371,-1,-1,5,3,ICC000340,341,238.1000,238.1000,238.1000,475.8000,1,1,2026-08-24T00:00:00.000
341,20260531,20260711,20260821,50160,177,96,61,46,27,3,7,ICC000341,342,238.8000,238.8000,238.8000,477.1700,1,1,2026-08-24T00:00:00.000
342,20260619,20260814,20260727,38280,440,94,292,12,163,5,6,ICC000342,343,239.5000,239.5000,239.5000,478.5400,1,1,2026-08-24T00:00:00.000
343,20260712,20260725,20260809,40920,101,248,279,41,263,8,3,ICC000343,344,240.2000,240.2000,240.2000,479.9100,1,1,2026-08-24T00:00:00.000
344,20260708,20260604,20260726,74700,98,77,290,458,336,1,4,ICC000344,345,240.9000,240.9000,240.9000,481.2800,1,1,2026-08-24T00:00:00.000
345,20260715,20260728,20260717,23280,454,250,416,333,233,5,1,ICC000345,346,241.6000,241.6000,241.6000,482.6500,1,1,2026-08-24T00:00:00.000
346,20260627,20260620,20260618,29280,325,179,427,295,291,1,5,ICC000346,347,242.3000,242.3000,242.3000,484.0200,1,1,2026-08-24T00:00:00.000
347,20260606,20260713,20260606,27540,297,195,81,238,225,8,7,ICC000347,348,243.0000,243.0000,243.0000,485.3900,1,1,2026-08-24T00:00:00.000
348,20260602,20260617,20260611,47340,347,222,356,363,215,1,7,ICC000348,349,243.7000,243.7000,243.7000,486.7600,1,1,2026-08-24T00:00:00.000
349,20260805,20260715,20260725,40680,10,270,459,359,457,1,2,ICC000349,350,244.4000,244.4000,244.4000,488.1300,1,1,2026-08-24T00:00:00.000
350,20260625,20260728,20260821,62640,131,252,87,268,142,3,2,ICC000350,351,245.1000,245.1000,245.1000,489.5000,1,1,2026-08-24T00:00:00.000
