ProductionOperationConfirmationKey,ConfirmationDateKey,ConfirmationTimeOfDayKey,ProductionOperationKey,ProductionWorkOrderKey,ProductKey,WorkCenterKey,OperatorEmployeeKey,ProductionShiftKey,UnitOfMeasureKey,ProductionOrderStatusKey,ConfirmationNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
207,20260708,33300,341,437,94,6,213,400,7,12,POC000207,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260709,6720,63,448,301,132,450,189,7,3,POC000208,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260712,45300,270,422,136,96,274,415,1,2,POC000209,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260722,66180,90,146,185,375,36,89,5,8,POC000210,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260713,55140,122,88,87,493,465,380,6,8,POC000211,212,299.0700,216.0000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260712,47280,87,147,471,321,128,333,2,7,POC000212,213,300.4400,217.0000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260609,34560,12,204,181,309,104,372,2,12,POC000213,214,301.8100,218.0000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260617,78600,474,104,480,391,339,359,3,2,POC000214,215,303.1800,219.0000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260813,1920,216,411,72,51,371,390,3,4,POC000215,216,304.5500,220.0000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260819,51660,374,275,411,265,95,374,6,8,POC000216,217,305.9200,221.0000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260531,39480,163,495,211,288,407,482,5,11,POC000217,218,307.2900,222.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260706,84600,494,22,409,401,29,81,7,1,POC000218,219,308.6600,223.0000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260815,82020,381,377,375,441,269,414,6,11,POC000219,220,310.0300,224.0000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260713,17880,193,332,239,189,421,491,2,12,POC000220,221,311.4000,225.0000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260806,55380,461,162,172,80,-1,300,3,5,POC000221,222,312.7700,226.0000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260607,35160,239,392,306,255,496,115,2,8,POC000222,223,314.1400,227.0000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260823,53640,227,17,161,490,466,417,4,5,POC000223,224,315.5100,228.0000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260624,64140,495,177,150,382,101,429,7,3,POC000224,225,316.8800,229.0000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260607,85560,170,298,151,319,259,366,3,3,POC000225,226,318.2500,230.0000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260818,60120,145,396,475,5,145,419,1,8,POC000226,227,319.6200,231.0000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260815,70740,432,240,434,261,10,282,1,12,POC000227,228,320.9900,232.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260710,82380,490,396,433,82,38,282,7,6,POC000228,229,322.3600,233.0000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260531,63000,352,384,84,123,296,12,6,9,POC000229,230,323.7300,234.0000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260821,3240,458,175,437,285,314,186,1,9,POC000230,231,325.1000,235.0000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260805,43140,404,200,450,177,223,282,4,4,POC000231,232,326.4700,236.0000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260623,9720,266,118,390,117,263,17,7,3,POC000232,233,327.8400,237.0000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260714,3540,53,339,362,472,453,469,7,9,POC000233,234,329.2100,238.0000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260701,82200,114,69,493,400,243,44,1,10,POC000234,235,330.5800,239.0000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260811,23280,244,471,172,176,486,190,4,3,POC000235,236,331.9500,240.0000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260604,61440,349,8,45,378,154,90,1,11,POC000236,237,333.3200,241.0000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260715,61980,219,200,298,140,372,257,5,7,POC000237,238,334.6900,242.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260622,83340,316,353,336,328,-1,74,3,12,POC000238,239,336.0600,243.0000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260804,68280,2,312,132,234,441,267,2,5,POC000239,240,337.4300,244.0000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260620,38760,60,185,154,202,473,211,7,11,POC000240,241,338.8000,245.0000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260602,75540,110,255,96,104,274,199,2,6,POC000241,242,340.1700,246.0000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260727,72840,84,313,346,325,410,15,1,2,POC000242,243,341.5400,247.0000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260809,39720,411,254,76,410,456,461,1,5,POC000243,244,342.9100,248.0000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260621,46800,424,72,214,388,249,190,1,6,POC000244,245,344.2800,249.0000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260805,71880,376,10,369,432,405,455,5,5,POC000245,246,345.6500,250.0000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260824,63600,493,463,426,417,267,96,2,12,POC000246,247,347.0200,251.0000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260602,16380,148,354,333,33,275,201,1,12,POC000247,248,348.3900,252.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260712,46380,330,51,250,494,491,354,1,8,POC000248,249,349.7600,253.0000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260812,4620,248,389,462,394,13,423,3,5,POC000249,250,351.1300,254.0000,351.1300,1,1,2026-08-24T00:00:00.000
250,20260707,62880,308,1,151,271,200,40,5,12,POC000250,251,352.5000,255.0000,352.5000,1,1,2026-08-24T00:00:00.000
251,20260602,5040,390,91,467,285,70,137,5,10,POC000251,252,353.8700,256.0000,353.8700,1,1,2026-08-24T00:00:00.000
252,20260728,14400,491,423,105,415,67,420,7,1,POC000252,253,355.2400,257.0000,355.2400,1,1,2026-08-24T00:00:00.000
253,20260611,59040,282,173,298,144,188,316,4,2,POC000253,254,356.6100,258.0000,356.6100,1,1,2026-08-24T00:00:00.000
254,20260806,14340,447,87,24,431,393,386,6,8,POC000254,255,357.9800,259.0000,357.9800,1,1,2026-08-24T00:00:00.000
255,20260814,63480,241,143,288,79,-1,136,1,2,POC000255,256,359.3500,260.0000,359.3500,1,1,2026-08-24T00:00:00.000
256,20260602,19620,305,23,86,471,77,406,2,3,POC000256,257,360.7200,261.0000,360.7200,1,1,2026-08-24T00:00:00.000
257,20260824,20400,207,46,147,343,307,52,6,9,POC000257,258,362.0900,262.0000,362.0900,1,1,2026-08-24T00:00:00.000
258,20260604,26100,479,400,151,50,483,213,4,5,POC000258,259,363.4600,263.0000,363.4600,1,1,2026-08-24T00:00:00.000
259,20260723,56700,345,284,94,469,451,461,5,3,POC000259,260,364.8300,264.0000,364.8300,1,1,2026-08-24T00:00:00.000
260,20260814,42720,388,183,384,460,89,441,3,7,POC000260,261,366.2000,265.0000,366.2000,1,1,2026-08-24T00:00:00.000
261,20260725,75600,212,310,64,185,120,179,6,10,POC000261,262,367.5700,266.0000,367.5700,1,1,2026-08-24T00:00:00.000
262,20260820,39000,220,191,458,371,190,123,1,8,POC000262,263,368.9400,267.0000,368.9400,1,1,2026-08-24T00:00:00.000
263,20260721,82140,487,348,466,245,397,164,7,3,POC000263,264,370.3100,268.0000,370.3100,1,1,2026-08-24T00:00:00.000
264,20260527,52260,311,75,169,273,137,81,6,7,POC000264,265,371.6800,269.0000,371.6800,1,1,2026-08-24T00:00:00.000
265,20260601,26460,124,370,310,324,166,83,6,5,POC000265,266,373.0500,270.0000,373.0500,1,1,2026-08-24T00:00:00.000
266,20260807,17280,164,264,371,167,492,91,1,7,POC000266,267,374.4200,271.0000,374.4200,1,1,2026-08-24T00:00:00.000
267,20260821,44520,143,488,152,90,479,174,4,12,POC000267,268,375.7900,272.0000,375.7900,1,1,2026-08-24T00:00:00.000
268,20260717,10140,273,181,172,218,188,414,2,6,POC000268,269,377.1600,273.0000,377.1600,1,1,2026-08-24T00:00:00.000
269,20260822,43140,311,323,309,11,331,462,1,10,POC000269,270,378.5300,274.0000,378.5300,1,1,2026-08-24T00:00:00.000
270,20260605,10920,272,311,90,303,488,478,1,11,POC000270,271,379.9000,275.0000,379.9000,1,1,2026-08-24T00:00:00.000
271,20260809,38400,47,309,459,392,295,158,2,8,POC000271,272,381.2700,276.0000,381.2700,1,1,2026-08-24T00:00:00.000
272,20260815,83700,116,392,148,326,-1,117,4,6,POC000272,273,382.6400,277.0000,382.6400,1,1,2026-08-24T00:00:00.000
273,20260725,53820,149,396,309,459,275,188,3,1,POC000273,274,384.0100,278.0000,384.0100,1,1,2026-08-24T00:00:00.000
274,20260622,17880,267,404,159,325,341,264,3,12,POC000274,275,385.3800,279.0000,385.3800,1,1,2026-08-24T00:00:00.000
275,20260620,63420,44,249,339,208,326,142,2,2,POC000275,276,386.7500,280.0000,386.7500,1,1,2026-08-24T00:00:00.000
276,20260603,6780,190,170,245,364,307,198,6,6,POC000276,277,388.1200,281.0000,388.1200,1,1,2026-08-24T00:00:00.000
277,20260819,17220,388,291,74,486,122,226,7,10,POC000277,278,389.4900,282.0000,389.4900,1,1,2026-08-24T00:00:00.000
278,20260630,10140,492,354,361,216,154,228,1,3,POC000278,279,390.8600,283.0000,390.8600,1,1,2026-08-24T00:00:00.000
279,20260704,81360,58,432,291,192,29,224,6,7,POC000279,280,392.2300,284.0000,392.2300,1,1,2026-08-24T00:00:00.000
280,20260604,29820,361,461,83,233,247,243,3,4,POC000280,281,393.6000,285.0000,393.6000,1,1,2026-08-24T00:00:00.000
281,20260628,52980,226,111,146,70,283,262,4,12,POC000281,282,394.9700,286.0000,394.9700,1,1,2026-08-24T00:00:00.000
282,20260701,36180,79,430,377,396,436,127,1,3,POC000282,283,396.3400,287.0000,396.3400,1,1,2026-08-24T00:00:00.000
283,20260605,48360,421,221,98,405,5,442,6,11,POC000283,284,397.7100,288.0000,397.7100,1,1,2026-08-24T00:00:00.000
284,20260604,77280,288,400,319,29,351,471,5,5,POC000284,285,399.0800,289.0000,399.0800,1,1,2026-08-24T00:00:00.000
285,20260716,6000,196,275,294,246,347,184,2,4,POC000285,286,400.4500,290.0000,400.4500,1,1,2026-08-24T00:00:00.000
286,20260530,36780,287,186,64,117,352,183,3,6,POC000286,287,401.8200,291.0000,401.8200,1,1,2026-08-24T00:00:00.000
287,20260819,10740,129,158,329,362,64,377,4,9,POC000287,288,403.1900,292.0000,403.1900,1,1,2026-08-24T00:00:00.000
288,20260728,17580,85,220,348,178,279,439,1,9,POC000288,289,404.5600,293.0000,404.5600,1,1,2026-08-24T00:00:00.000
289,20260618,16620,11,247,478,487,-1,423,6,5,POC000289,290,405.9300,294.0000,405.9300,1,1,2026-08-24T00:00:00.000
290,20260726,72060,167,193,107,140,53,88,4,12,POC000290,291,407.3000,295.0000,407.3000,1,1,2026-08-24T00:00:00.000
291,20260701,58980,2,306,114,495,265,229,3,3,POC000291,292,408.6700,296.0000,408.6700,1,1,2026-08-24T00:00:00.000
292,20260729,15300,367,500,193,278,301,204,1,4,POC000292,293,410.0400,297.0000,410.0400,1,1,2026-08-24T00:00:00.000
293,20260628,70560,282,457,491,182,93,500,1,8,POC000293,294,411.4100,298.0000,411.4100,1,1,2026-08-24T00:00:00.000
294,20260815,20160,35,128,225,336,139,176,2,8,POC000294,295,412.7800,299.0000,412.7800,1,1,2026-08-24T00:00:00.000
295,20260602,72600,409,486,90,375,435,215,6,1,POC000295,296,414.1500,300.0000,414.1500,1,1,2026-08-24T00:00:00.000
296,20260731,10380,38,341,393,278,203,167,5,11,POC000296,297,415.5200,301.0000,415.5200,1,1,2026-08-24T00:00:00.000
297,20260820,26580,138,127,25,434,315,365,5,10,POC000297,298,416.8900,302.0000,416.8900,1,1,2026-08-24T00:00:00.000
298,20260713,53340,453,476,308,226,288,162,7,3,POC000298,299,418.2600,303.0000,418.2600,1,1,2026-08-24T00:00:00.000
299,20260628,34860,489,32,31,436,411,500,2,12,POC000299,300,419.6300,304.0000,419.6300,1,1,2026-08-24T00:00:00.000
300,20260807,30720,463,113,74,70,383,496,1,3,POC000300,301,421.0000,305.0000,421.0000,1,1,2026-08-24T00:00:00.000
301,20260624,14880,163,257,80,251,28,33,6,4,POC000301,302,422.3700,306.0000,422.3700,1,1,2026-08-24T00:00:00.000
302,20260719,58440,499,335,387,413,177,342,5,11,POC000302,303,423.7400,307.0000,423.7400,1,1,2026-08-24T00:00:00.000
303,20260801,49920,158,182,35,277,61,28,1,12,POC000303,304,425.1100,308.0000,425.1100,1,1,2026-08-24T00:00:00.000
304,20260819,29040,270,276,152,184,212,29,1,3,POC000304,305,426.4800,309.0000,426.4800,1,1,2026-08-24T00:00:00.000
305,20260722,80880,378,195,62,116,200,492,3,5,POC000305,306,427.8500,310.0000,427.8500,1,1,2026-08-24T00:00:00.000
306,20260601,10080,344,215,378,410,-1,187,1,8,POC000306,307,429.2200,311.0000,429.2200,1,1,2026-08-24T00:00:00.000
307,20260623,77460,23,187,301,89,59,343,5,12,POC000307,308,430.5900,312.0000,430.5900,1,1,2026-08-24T00:00:00.000
308,20260730,57600,135,386,381,9,333,225,4,9,POC000308,309,431.9600,313.0000,431.9600,1,1,2026-08-24T00:00:00.000
309,20260615,72060,68,421,179,17,104,197,3,10,POC000309,310,433.3300,314.0000,433.3300,1,1,2026-08-24T00:00:00.000
310,20260804,59040,150,424,275,473,264,127,3,8,POC000310,311,434.7000,315.0000,434.7000,1,1,2026-08-24T00:00:00.000
311,20260529,13560,343,106,292,99,310,401,4,4,POC000311,312,436.0700,316.0000,436.0700,1,1,2026-08-24T00:00:00.000
312,20260718,49560,307,282,119,247,34,56,7,10,POC000312,313,437.4400,317.0000,437.4400,1,1,2026-08-24T00:00:00.000
313,20260823,75660,138,216,409,132,412,352,7,8,POC000313,314,438.8100,318.0000,438.8100,1,1,2026-08-24T00:00:00.000
314,20260630,14520,107,57,456,252,337,87,2,8,POC000314,315,440.1800,319.0000,440.1800,1,1,2026-08-24T00:00:00.000
315,20260712,73860,418,131,22,319,473,15,7,12,POC000315,316,441.5500,320.0000,441.5500,1,1,2026-08-24T00:00:00.000
316,20260808,34860,106,68,376,204,63,363,7,6,POC000316,317,442.9200,321.0000,442.9200,1,1,2026-08-24T00:00:00.000
317,20260819,4680,407,243,301,234,332,94,3,12,POC000317,318,444.2900,322.0000,444.2900,1,1,2026-08-24T00:00:00.000
318,20260620,6060,418,40,11,441,43,333,1,5,POC000318,319,445.6600,323.0000,445.6600,1,1,2026-08-24T00:00:00.000
319,20260820,22080,76,45,359,405,93,225,1,8,POC000319,320,447.0300,324.0000,447.0300,1,1,2026-08-24T00:00:00.000
320,20260710,15180,48,18,399,295,277,470,4,7,POC000320,321,448.4000,325.0000,448.4000,1,1,2026-08-24T00:00:00.000
321,20260710,9960,186,188,461,58,64,64,7,2,POC000321,322,449.7700,326.0000,449.7700,1,1,2026-08-24T00:00:00.000
322,20260627,20580,480,133,301,80,218,435,1,9,POC000322,323,451.1400,327.0000,451.1400,1,1,2026-08-24T00:00:00.000
323,20260615,54480,478,121,392,365,-1,408,7,3,POC000323,324,452.5100,328.0000,452.5100,1,1,2026-08-24T00:00:00.000
324,20260811,74280,366,19,186,28,362,425,7,5,POC000324,325,453.8800,329.0000,453.8800,1,1,2026-08-24T00:00:00.000
325,20260626,74220,293,373,154,398,367,187,3,11,POC000325,326,455.2500,330.0000,455.2500,1,1,2026-08-24T00:00:00.000
326,20260811,73740,474,159,483,408,185,80,3,7,POC000326,327,456.6200,331.0000,456.6200,1,1,2026-08-24T00:00:00.000
327,20260725,52200,198,268,136,157,247,28,5,6,POC000327,328,457.9900,332.0000,457.9900,1,1,2026-08-24T00:00:00.000
328,20260611,59400,180,153,324,410,196,328,6,7,POC000328,329,459.3600,333.0000,459.3600,1,1,2026-08-24T00:00:00.000
329,20260528,7200,140,497,287,488,307,320,2,8,POC000329,330,460.7300,334.0000,460.7300,1,1,2026-08-24T00:00:00.000
330,20260613,28860,273,410,208,385,411,475,4,4,POC000330,331,462.1000,335.0000,462.1000,1,1,2026-08-24T00:00:00.000
331,20260720,53280,171,415,336,381,195,138,3,7,POC000331,332,463.4700,336.0000,463.4700,1,1,2026-08-24T00:00:00.000
332,20260807,29100,364,250,309,124,108,342,6,7,POC000332,333,464.8400,337.0000,464.8400,1,1,2026-08-24T00:00:00.000
333,20260804,40980,221,321,262,405,219,311,2,7,POC000333,334,466.2100,338.0000,466.2100,1,1,2026-08-24T00:00:00.000
334,20260716,26700,25,259,321,368,355,116,6,4,POC000334,335,467.5800,339.0000,467.5800,1,1,2026-08-24T00:00:00.000
335,20260604,48060,286,271,256,486,52,106,3,3,POC000335,336,468.9500,340.0000,468.9500,1,1,2026-08-24T00:00:00.000
336,20260712,18540,32,61,432,344,255,394,4,6,POC000336,337,470.3200,341.0000,470.3200,1,1,2026-08-24T00:00:00.000
337,20260720,10920,118,293,164,467,141,182,4,9,POC000337,338,471.6900,342.0000,471.6900,1,1,2026-08-24T00:00:00.000
338,20260603,43860,409,444,186,224,403,412,3,8,POC000338,339,473.0600,343.0000,473.0600,1,1,2026-08-24T00:00:00.000
339,20260823,49200,143,18,221,487,189,23,3,6,POC000339,340,474.4300,344.0000,474.4300,1,1,2026-08-24T00:00:00.000
340,20260727,7260,63,246,378,218,-1,384,5,3,POC000340,341,475.8000,345.0000,475.8000,1,1,2026-08-24T00:00:00.000
341,20260703,42960,213,213,225,91,177,264,2,7,POC000341,342,477.1700,346.0000,477.1700,1,1,2026-08-24T00:00:00.000
342,20260723,46140,62,158,283,404,141,142,1,8,POC000342,343,478.5400,347.0000,478.5400,1,1,2026-08-24T00:00:00.000
343,20260704,4200,163,22,491,458,11,121,2,1,POC000343,344,479.9100,348.0000,479.9100,1,1,2026-08-24T00:00:00.000
344,20260729,81120,225,44,37,339,54,209,3,10,POC000344,345,481.2800,349.0000,481.2800,1,1,2026-08-24T00:00:00.000
345,20260817,78660,142,322,173,13,479,283,5,6,POC000345,346,482.6500,350.0000,482.6500,1,1,2026-08-24T00:00:00.000
346,20260709,33480,137,264,84,115,226,368,6,10,POC000346,347,484.0200,351.0000,484.0200,1,1,2026-08-24T00:00:00.000
347,20260605,43740,108,64,451,371,287,420,2,10,POC000347,348,485.3900,352.0000,485.3900,1,1,2026-08-24T00:00:00.000
348,20260811,85680,262,476,156,22,320,184,2,3,POC000348,349,486.7600,353.0000,486.7600,1,1,2026-08-24T00:00:00.000
349,20260722,18840,188,235,172,356,5,454,5,6,POC000349,350,488.1300,354.0000,488.1300,1,1,2026-08-24T00:00:00.000
350,20260803,17280,315,97,154,293,252,336,3,7,POC000350,351,489.5000,355.0000,489.5000,1,1,2026-08-24T00:00:00.000
351,20260620,45420,143,220,211,426,251,489,4,9,POC000351,352,490.8700,356.0000,490.8700,1,1,2026-08-24T00:00:00.000
352,20260704,8940,372,298,398,185,172,445,6,5,POC000352,353,492.2400,357.0000,492.2400,1,1,2026-08-24T00:00:00.000
353,20260609,18660,147,103,370,107,14,400,3,4,POC000353,354,493.6100,358.0000,493.6100,1,1,2026-08-24T00:00:00.000
354,20260603,36120,497,428,220,172,145,388,6,9,POC000354,355,494.9800,359.0000,494.9800,1,1,2026-08-24T00:00:00.000
355,20260619,34020,55,328,487,165,293,131,5,3,POC000355,356,496.3500,360.0000,496.3500,1,1,2026-08-24T00:00:00.000
356,20260806,31920,191,328,87,20,19,476,6,3,POC000356,357,497.7200,361.0000,497.7200,1,1,2026-08-24T00:00:00.000
357,20260716,22860,114,438,124,30,-1,154,2,12,POC000357,358,499.0900,362.0000,499.0900,1,1,2026-08-24T00:00:00.000
358,20260813,50100,282,86,295,134,268,178,3,4,POC000358,359,500.4600,363.0000,500.4600,1,1,2026-08-24T00:00:00.000
359,20260607,76440,192,82,393,120,416,105,4,8,POC000359,360,501.8300,364.0000,501.8300,1,1,2026-08-24T00:00:00.000
360,20260603,8760,219,309,105,442,403,36,1,9,POC000360,361,503.2000,365.0000,503.2000,1,1,2026-08-24T00:00:00.000
361,20260615,56880,492,292,18,328,365,464,5,5,POC000361,362,504.5700,366.0000,504.5700,1,1,2026-08-24T00:00:00.000
362,20260527,19920,331,458,285,414,425,386,3,5,POC000362,363,505.9400,367.0000,505.9400,1,1,2026-08-24T00:00:00.000
363,20260820,78540,359,58,485,114,479,431,2,2,POC000363,364,507.3100,368.0000,507.3100,1,1,2026-08-24T00:00:00.000
364,20260809,5280,185,325,322,313,334,234,6,4,POC000364,365,508.6800,369.0000,508.6800,1,1,2026-08-24T00:00:00.000
365,20260809,51420,428,356,59,246,297,98,7,3,POC000365,366,510.0500,370.0000,510.0500,1,1,2026-08-24T00:00:00.000
366,20260813,69540,216,354,159,50,35,384,4,6,POC000366,367,511.4200,371.0000,511.4200,1,1,2026-08-24T00:00:00.000
367,20260529,9300,8,241,417,1,101,438,4,2,POC000367,368,512.7900,372.0000,512.7900,1,1,2026-08-24T00:00:00.000
368,20260527,4380,249,59,187,490,374,446,4,8,POC000368,369,514.1600,373.0000,514.1600,1,1,2026-08-24T00:00:00.000
