SafetyHazardConditionKey,SafetyHazardConditionCode,SafetyHazardTypeKey,SafetyHazardConditionName,DefaultRiskScore,SourceSystemKey,BatchId,LoadedAtUtc
278,SHC000278,24,Delta SafetyHazardCondition 278,279.00,1,1,2026-08-24T00:00:00.000
279,SHC000279,141,Unity SafetyHazardCondition 279,280.00,1,1,2026-08-24T00:00:00.000
280,SHC000280,361,Atlas SafetyHazardCondition 280,281.00,1,1,2026-08-24T00:00:00.000
281,SHC000281,55,Cedar SafetyHazardCondition 281,282.00,1,1,2026-08-24T00:00:00.000
282,SHC000282,9,Riverton SafetyHazardCondition 282,283.00,1,1,2026-08-24T00:00:00.000
283,SHC000283,16,Cedar SafetyHazardCondition 283,284.00,1,1,2026-08-24T00:00:00.000
284,SHC000284,22,Orion SafetyHazardCondition 284,285.00,1,1,2026-08-24T00:00:00.000
285,SHC000285,132,Beacon SafetyHazardCondition 285,286.00,1,1,2026-08-24T00:00:00.000
286,SHC000286,286,Riverton SafetyHazardCondition 286,287.00,1,1,2026-08-24T00:00:00.000
287,SHC000287,237,Unity SafetyHazardCondition 287,288.00,1,1,2026-08-24T00:00:00.000
288,SHC000288,402,Cedar SafetyHazardCondition 288,289.00,1,1,2026-08-24T00:00:00.000
289,SHC000289,265,Atlas SafetyHazardCondition 289,290.00,1,1,2026-08-24T00:00:00.000
290,SHC000290,312,Harbor SafetyHazardCondition 290,291.00,1,1,2026-08-24T00:00:00.000
291,SHC000291,377,Zenith SafetyHazardCondition 291,292.00,1,1,2026-08-24T00:00:00.000
292,SHC000292,111,Granite SafetyHazardCondition 292,293.00,1,1,2026-08-24T00:00:00.000
293,SHC000293,332,Cedar SafetyHazardCondition 293,294.00,1,1,2026-08-24T00:00:00.000
294,SHC000294,50,Unity SafetyHazardCondition 294,295.00,1,1,2026-08-24T00:00:00.000
295,SHC000295,141,Cedar SafetyHazardCondition 295,296.00,1,1,2026-08-24T00:00:00.000
296,SHC000296,326,Atlas SafetyHazardCondition 296,297.00,1,1,2026-08-24T00:00:00.000
297,SHC000297,307,Ion SafetyHazardCondition 297,298.00,1,1,2026-08-24T00:00:00.000
298,SHC000298,301,Granite SafetyHazardCondition 298,299.00,1,1,2026-08-24T00:00:00.000
299,SHC000299,406,Titan SafetyHazardCondition 299,300.00,1,1,2026-08-24T00:00:00.000
300,SHC000300,283,Titan SafetyHazardCondition 300,301.00,1,1,2026-08-24T00:00:00.000
301,SHC000301,206,Willow SafetyHazardCondition 301,302.00,1,1,2026-08-24T00:00:00.000
302,SHC000302,175,Unity SafetyHazardCondition 302,303.00,1,1,2026-08-24T00:00:00.000
303,SHC000303,129,Meridian SafetyHazardCondition 303,304.00,1,1,2026-08-24T00:00:00.000
304,SHC000304,276,Junction SafetyHazardCondition 304,305.00,1,1,2026-08-24T00:00:00.000
305,SHC000305,50,Summit SafetyHazardCondition 305,306.00,1,1,2026-08-24T00:00:00.000
306,SHC000306,257,Quartz SafetyHazardCondition 306,307.00,1,1,2026-08-24T00:00:00.000
307,SHC000307,259,Granite SafetyHazardCondition 307,308.00,1,1,2026-08-24T00:00:00.000
308,SHC000308,100,Forge SafetyHazardCondition 308,309.00,1,1,2026-08-24T00:00:00.000
309,SHC000309,234,Liberty SafetyHazardCondition 309,310.00,1,1,2026-08-24T00:00:00.000
310,SHC000310,178,Delta SafetyHazardCondition 310,311.00,1,1,2026-08-24T00:00:00.000
311,SHC000311,239,Cedar SafetyHazardCondition 311,312.00,1,1,2026-08-24T00:00:00.000
312,SHC000312,407,Ion SafetyHazardCondition 312,313.00,1,1,2026-08-24T00:00:00.000
313,SHC000313,203,Meridian SafetyHazardCondition 313,314.00,1,1,2026-08-24T00:00:00.000
314,SHC000314,4,Forge SafetyHazardCondition 314,315.00,1,1,2026-08-24T00:00:00.000
315,SHC000315,267,Junction SafetyHazardCondition 315,316.00,1,1,2026-08-24T00:00:00.000
316,SHC000316,283,Quartz SafetyHazardCondition 316,317.00,1,1,2026-08-24T00:00:00.000
317,SHC000317,285,Meridian SafetyHazardCondition 317,318.00,1,1,2026-08-24T00:00:00.000
318,SHC000318,40,Orion SafetyHazardCondition 318,319.00,1,1,2026-08-24T00:00:00.000
319,SHC000319,105,Northstar SafetyHazardCondition 319,320.00,1,1,2026-08-24T00:00:00.000
320,SHC000320,76,Cedar SafetyHazardCondition 320,321.00,1,1,2026-08-24T00:00:00.000
321,SHC000321,255,Willow SafetyHazardCondition 321,322.00,1,1,2026-08-24T00:00:00.000
322,SHC000322,393,Junction SafetyHazardCondition 322,323.00,1,1,2026-08-24T00:00:00.000
323,SHC000323,202,Riverton SafetyHazardCondition 323,324.00,1,1,2026-08-24T00:00:00.000
324,SHC000324,231,Willow SafetyHazardCondition 324,325.00,1,1,2026-08-24T00:00:00.000
325,SHC000325,208,Orion SafetyHazardCondition 325,326.00,1,1,2026-08-24T00:00:00.000
326,SHC000326,129,Summit SafetyHazardCondition 326,327.00,1,1,2026-08-24T00:00:00.000
327,SHC000327,315,Meridian SafetyHazardCondition 327,328.00,1,1,2026-08-24T00:00:00.000
328,SHC000328,269,Zenith SafetyHazardCondition 328,329.00,1,1,2026-08-24T00:00:00.000
329,SHC000329,24,Ion SafetyHazardCondition 329,330.00,1,1,2026-08-24T00:00:00.000
330,SHC000330,101,Meridian SafetyHazardCondition 330,331.00,1,1,2026-08-24T00:00:00.000
331,SHC000331,252,Junction SafetyHazardCondition 331,332.00,1,1,2026-08-24T00:00:00.000
332,SHC000332,282,Northstar SafetyHazardCondition 332,333.00,1,1,2026-08-24T00:00:00.000
333,SHC000333,374,Zenith SafetyHazardCondition 333,334.00,1,1,2026-08-24T00:00:00.000
334,SHC000334,311,Pioneer SafetyHazardCondition 334,335.00,1,1,2026-08-24T00:00:00.000
335,SHC000335,258,Evergreen SafetyHazardCondition 335,336.00,1,1,2026-08-24T00:00:00.000
336,SHC000336,13,Zenith SafetyHazardCondition 336,337.00,1,1,2026-08-24T00:00:00.000
337,SHC000337,105,Granite SafetyHazardCondition 337,338.00,1,1,2026-08-24T00:00:00.000
338,SHC000338,13,Keystone SafetyHazardCondition 338,339.00,1,1,2026-08-24T00:00:00.000
339,SHC000339,249,Vertex SafetyHazardCondition 339,340.00,1,1,2026-08-24T00:00:00.000
340,SHC000340,170,Riverton SafetyHazardCondition 340,341.00,1,1,2026-08-24T00:00:00.000
341,SHC000341,285,Keystone SafetyHazardCondition 341,342.00,1,1,2026-08-24T00:00:00.000
342,SHC000342,240,Junction SafetyHazardCondition 342,343.00,1,1,2026-08-24T00:00:00.000
343,SHC000343,16,Pioneer SafetyHazardCondition 343,344.00,1,1,2026-08-24T00:00:00.000
344,SHC000344,387,Ion SafetyHazardCondition 344,345.00,1,1,2026-08-24T00:00:00.000
345,SHC000345,73,Cedar SafetyHazardCondition 345,346.00,1,1,2026-08-24T00:00:00.000
346,SHC000346,368,Riverton SafetyHazardCondition 346,347.00,1,1,2026-08-24T00:00:00.000
347,SHC000347,120,Granite SafetyHazardCondition 347,348.00,1,1,2026-08-24T00:00:00.000
348,SHC000348,237,Unity SafetyHazardCondition 348,349.00,1,1,2026-08-24T00:00:00.000
349,SHC000349,338,Northstar SafetyHazardCondition 349,350.00,1,1,2026-08-24T00:00:00.000
350,SHC000350,212,Cedar SafetyHazardCondition 350,351.00,1,1,2026-08-24T00:00:00.000
351,SHC000351,17,Forge SafetyHazardCondition 351,352.00,1,1,2026-08-24T00:00:00.000
352,SHC000352,127,Titan SafetyHazardCondition 352,353.00,1,1,2026-08-24T00:00:00.000
353,SHC000353,188,Titan SafetyHazardCondition 353,354.00,1,1,2026-08-24T00:00:00.000
354,SHC000354,184,Quartz SafetyHazardCondition 354,355.00,1,1,2026-08-24T00:00:00.000
355,SHC000355,223,Delta SafetyHazardCondition 355,356.00,1,1,2026-08-24T00:00:00.000
356,SHC000356,312,Harbor SafetyHazardCondition 356,357.00,1,1,2026-08-24T00:00:00.000
357,SHC000357,325,Northstar SafetyHazardCondition 357,358.00,1,1,2026-08-24T00:00:00.000
358,SHC000358,262,Junction SafetyHazardCondition 358,359.00,1,1,2026-08-24T00:00:00.000
359,SHC000359,98,Atlas SafetyHazardCondition 359,360.00,1,1,2026-08-24T00:00:00.000
360,SHC000360,308,Titan SafetyHazardCondition 360,361.00,1,1,2026-08-24T00:00:00.000
361,SHC000361,295,Evergreen SafetyHazardCondition 361,362.00,1,1,2026-08-24T00:00:00.000
362,SHC000362,315,Riverton SafetyHazardCondition 362,363.00,1,1,2026-08-24T00:00:00.000
363,SHC000363,161,Orion SafetyHazardCondition 363,364.00,1,1,2026-08-24T00:00:00.000
364,SHC000364,397,Titan SafetyHazardCondition 364,365.00,1,1,2026-08-24T00:00:00.000
365,SHC000365,42,Cedar SafetyHazardCondition 365,366.00,1,1,2026-08-24T00:00:00.000
366,SHC000366,194,Ion SafetyHazardCondition 366,367.00,1,1,2026-08-24T00:00:00.000
367,SHC000367,139,Granite SafetyHazardCondition 367,368.00,1,1,2026-08-24T00:00:00.000
368,SHC000368,223,Northstar SafetyHazardCondition 368,369.00,1,1,2026-08-24T00:00:00.000
369,SHC000369,281,Granite SafetyHazardCondition 369,370.00,1,1,2026-08-24T00:00:00.000
370,SHC000370,281,Junction SafetyHazardCondition 370,371.00,1,1,2026-08-24T00:00:00.000
371,SHC000371,3,Harbor SafetyHazardCondition 371,372.00,1,1,2026-08-24T00:00:00.000
372,SHC000372,390,Harbor SafetyHazardCondition 372,373.00,1,1,2026-08-24T00:00:00.000
373,SHC000373,405,Delta SafetyHazardCondition 373,374.00,1,1,2026-08-24T00:00:00.000
374,SHC000374,187,Junction SafetyHazardCondition 374,375.00,1,1,2026-08-24T00:00:00.000
375,SHC000375,181,Unity SafetyHazardCondition 375,376.00,1,1,2026-08-24T00:00:00.000
376,SHC000376,419,Atlas SafetyHazardCondition 376,377.00,1,1,2026-08-24T00:00:00.000
377,SHC000377,408,Atlas SafetyHazardCondition 377,378.00,1,1,2026-08-24T00:00:00.000
378,SHC000378,31,Willow SafetyHazardCondition 378,379.00,1,1,2026-08-24T00:00:00.000
379,SHC000379,321,Riverton SafetyHazardCondition 379,380.00,1,1,2026-08-24T00:00:00.000
380,SHC000380,260,Junction SafetyHazardCondition 380,381.00,1,1,2026-08-24T00:00:00.000
381,SHC000381,43,Meridian SafetyHazardCondition 381,382.00,1,1,2026-08-24T00:00:00.000
382,SHC000382,252,Ion SafetyHazardCondition 382,383.00,1,1,2026-08-24T00:00:00.000
383,SHC000383,299,Northstar SafetyHazardCondition 383,384.00,1,1,2026-08-24T00:00:00.000
384,SHC000384,265,Liberty SafetyHazardCondition 384,385.00,1,1,2026-08-24T00:00:00.000
385,SHC000385,78,Junction SafetyHazardCondition 385,386.00,1,1,2026-08-24T00:00:00.000
386,SHC000386,120,Keystone SafetyHazardCondition 386,387.00,1,1,2026-08-24T00:00:00.000
387,SHC000387,253,Willow SafetyHazardCondition 387,388.00,1,1,2026-08-24T00:00:00.000
388,SHC000388,189,Delta SafetyHazardCondition 388,389.00,1,1,2026-08-24T00:00:00.000
389,SHC000389,283,Unity SafetyHazardCondition 389,390.00,1,1,2026-08-24T00:00:00.000
390,SHC000390,1,Quartz SafetyHazardCondition 390,391.00,1,1,2026-08-24T00:00:00.000
391,SHC000391,400,Zenith SafetyHazardCondition 391,392.00,1,1,2026-08-24T00:00:00.000
392,SHC000392,367,Unity SafetyHazardCondition 392,393.00,1,1,2026-08-24T00:00:00.000
393,SHC000393,282,Pioneer SafetyHazardCondition 393,394.00,1,1,2026-08-24T00:00:00.000
394,SHC000394,396,Quartz SafetyHazardCondition 394,395.00,1,1,2026-08-24T00:00:00.000
395,SHC000395,401,Quartz SafetyHazardCondition 395,396.00,1,1,2026-08-24T00:00:00.000
396,SHC000396,141,Summit SafetyHazardCondition 396,397.00,1,1,2026-08-24T00:00:00.000
397,SHC000397,359,Forge SafetyHazardCondition 397,398.00,1,1,2026-08-24T00:00:00.000
398,SHC000398,329,Forge SafetyHazardCondition 398,399.00,1,1,2026-08-24T00:00:00.000
399,SHC000399,108,Titan SafetyHazardCondition 399,400.00,1,1,2026-08-24T00:00:00.000
400,SHC000400,243,Cedar SafetyHazardCondition 400,401.00,1,1,2026-08-24T00:00:00.000
401,SHC000401,257,Summit SafetyHazardCondition 401,402.00,1,1,2026-08-24T00:00:00.000
402,SHC000402,292,Meridian SafetyHazardCondition 402,403.00,1,1,2026-08-24T00:00:00.000
403,SHC000403,152,Beacon SafetyHazardCondition 403,404.00,1,1,2026-08-24T00:00:00.000
404,SHC000404,89,Titan SafetyHazardCondition 404,405.00,1,1,2026-08-24T00:00:00.000
405,SHC000405,278,Pioneer SafetyHazardCondition 405,406.00,1,1,2026-08-24T00:00:00.000
406,SHC000406,88,Zenith SafetyHazardCondition 406,407.00,1,1,2026-08-24T00:00:00.000
407,SHC000407,98,Meridian SafetyHazardCondition 407,408.00,1,1,2026-08-24T00:00:00.000
408,SHC000408,224,Atlas SafetyHazardCondition 408,409.00,1,1,2026-08-24T00:00:00.000
409,SHC000409,282,Unity SafetyHazardCondition 409,410.00,1,1,2026-08-24T00:00:00.000
410,SHC000410,226,Riverton SafetyHazardCondition 410,411.00,1,1,2026-08-24T00:00:00.000
411,SHC000411,266,Northstar SafetyHazardCondition 411,412.00,1,1,2026-08-24T00:00:00.000
412,SHC000412,189,Summit SafetyHazardCondition 412,413.00,1,1,2026-08-24T00:00:00.000
413,SHC000413,164,Liberty SafetyHazardCondition 413,414.00,1,1,2026-08-24T00:00:00.000
414,SHC000414,262,Orion SafetyHazardCondition 414,415.00,1,1,2026-08-24T00:00:00.000
415,SHC000415,71,Ion SafetyHazardCondition 415,416.00,1,1,2026-08-24T00:00:00.000
416,SHC000416,334,Liberty SafetyHazardCondition 416,417.00,1,1,2026-08-24T00:00:00.000
417,SHC000417,16,Junction SafetyHazardCondition 417,418.00,1,1,2026-08-24T00:00:00.000
418,SHC000418,215,Unity SafetyHazardCondition 418,419.00,1,1,2026-08-24T00:00:00.000
419,SHC000419,407,Quartz SafetyHazardCondition 419,420.00,1,1,2026-08-24T00:00:00.000
420,SHC000420,214,Titan SafetyHazardCondition 420,421.00,1,1,2026-08-24T00:00:00.000
421,SHC000421,206,Zenith SafetyHazardCondition 421,422.00,1,1,2026-08-24T00:00:00.000
422,SHC000422,293,Junction SafetyHazardCondition 422,423.00,1,1,2026-08-24T00:00:00.000
423,SHC000423,371,Keystone SafetyHazardCondition 423,424.00,1,1,2026-08-24T00:00:00.000
424,SHC000424,278,Ion SafetyHazardCondition 424,425.00,1,1,2026-08-24T00:00:00.000
425,SHC000425,177,Junction SafetyHazardCondition 425,426.00,1,1,2026-08-24T00:00:00.000
426,SHC000426,135,Willow SafetyHazardCondition 426,427.00,1,1,2026-08-24T00:00:00.000
427,SHC000427,264,Summit SafetyHazardCondition 427,428.00,1,1,2026-08-24T00:00:00.000
428,SHC000428,121,Pioneer SafetyHazardCondition 428,429.00,1,1,2026-08-24T00:00:00.000
429,SHC000429,245,Forge SafetyHazardCondition 429,430.00,1,1,2026-08-24T00:00:00.000
430,SHC000430,371,Granite SafetyHazardCondition 430,431.00,1,1,2026-08-24T00:00:00.000
431,SHC000431,414,Vertex SafetyHazardCondition 431,432.00,1,1,2026-08-24T00:00:00.000
432,SHC000432,133,Atlas SafetyHazardCondition 432,433.00,1,1,2026-08-24T00:00:00.000
433,SHC000433,55,Forge SafetyHazardCondition 433,434.00,1,1,2026-08-24T00:00:00.000
434,SHC000434,30,Northstar SafetyHazardCondition 434,435.00,1,1,2026-08-24T00:00:00.000
435,SHC000435,398,Summit SafetyHazardCondition 435,436.00,1,1,2026-08-24T00:00:00.000
436,SHC000436,358,Delta SafetyHazardCondition 436,437.00,1,1,2026-08-24T00:00:00.000
437,SHC000437,65,Ion SafetyHazardCondition 437,438.00,1,1,2026-08-24T00:00:00.000
438,SHC000438,199,Zenith SafetyHazardCondition 438,439.00,1,1,2026-08-24T00:00:00.000
439,SHC000439,37,Titan SafetyHazardCondition 439,440.00,1,1,2026-08-24T00:00:00.000
440,SHC000440,112,Northstar SafetyHazardCondition 440,441.00,1,1,2026-08-24T00:00:00.000
441,SHC000441,172,Northstar SafetyHazardCondition 441,442.00,1,1,2026-08-24T00:00:00.000
442,SHC000442,202,Northstar SafetyHazardCondition 442,443.00,1,1,2026-08-24T00:00:00.000
443,SHC000443,65,Quartz SafetyHazardCondition 443,444.00,1,1,2026-08-24T00:00:00.000
444,SHC000444,51,Summit SafetyHazardCondition 444,445.00,1,1,2026-08-24T00:00:00.000
445,SHC000445,280,Riverton SafetyHazardCondition 445,446.00,1,1,2026-08-24T00:00:00.000
446,SHC000446,367,Keystone SafetyHazardCondition 446,447.00,1,1,2026-08-24T00:00:00.000
447,SHC000447,121,Meridian SafetyHazardCondition 447,448.00,1,1,2026-08-24T00:00:00.000
448,SHC000448,292,Willow SafetyHazardCondition 448,449.00,1,1,2026-08-24T00:00:00.000
449,SHC000449,68,Evergreen SafetyHazardCondition 449,450.00,1,1,2026-08-24T00:00:00.000
450,SHC000450,177,Quartz SafetyHazardCondition 450,451.00,1,1,2026-08-24T00:00:00.000
451,SHC000451,63,Atlas SafetyHazardCondition 451,452.00,1,1,2026-08-24T00:00:00.000
452,SHC000452,32,Delta SafetyHazardCondition 452,453.00,1,1,2026-08-24T00:00:00.000
453,SHC000453,106,Harbor SafetyHazardCondition 453,454.00,1,1,2026-08-24T00:00:00.000
454,SHC000454,56,Granite SafetyHazardCondition 454,455.00,1,1,2026-08-24T00:00:00.000
455,SHC000455,87,Junction SafetyHazardCondition 455,456.00,1,1,2026-08-24T00:00:00.000
456,SHC000456,194,Quartz SafetyHazardCondition 456,457.00,1,1,2026-08-24T00:00:00.000
457,SHC000457,4,Titan SafetyHazardCondition 457,458.00,1,1,2026-08-24T00:00:00.000
458,SHC000458,325,Cedar SafetyHazardCondition 458,459.00,1,1,2026-08-24T00:00:00.000
459,SHC000459,225,Willow SafetyHazardCondition 459,460.00,1,1,2026-08-24T00:00:00.000
460,SHC000460,131,Atlas SafetyHazardCondition 460,461.00,1,1,2026-08-24T00:00:00.000
461,SHC000461,129,Forge SafetyHazardCondition 461,462.00,1,1,2026-08-24T00:00:00.000
462,SHC000462,78,Liberty SafetyHazardCondition 462,463.00,1,1,2026-08-24T00:00:00.000
463,SHC000463,388,Ion SafetyHazardCondition 463,464.00,1,1,2026-08-24T00:00:00.000
464,SHC000464,64,Pioneer SafetyHazardCondition 464,465.00,1,1,2026-08-24T00:00:00.000
465,SHC000465,33,Titan SafetyHazardCondition 465,466.00,1,1,2026-08-24T00:00:00.000
466,SHC000466,20,Granite SafetyHazardCondition 466,467.00,1,1,2026-08-24T00:00:00.000
467,SHC000467,226,Delta SafetyHazardCondition 467,468.00,1,1,2026-08-24T00:00:00.000
468,SHC000468,58,Orion SafetyHazardCondition 468,469.00,1,1,2026-08-24T00:00:00.000
469,SHC000469,105,Pioneer SafetyHazardCondition 469,470.00,1,1,2026-08-24T00:00:00.000
470,SHC000470,143,Harbor SafetyHazardCondition 470,471.00,1,1,2026-08-24T00:00:00.000
471,SHC000471,411,Riverton SafetyHazardCondition 471,472.00,1,1,2026-08-24T00:00:00.000
472,SHC000472,263,Orion SafetyHazardCondition 472,473.00,1,1,2026-08-24T00:00:00.000
473,SHC000473,142,Junction SafetyHazardCondition 473,474.00,1,1,2026-08-24T00:00:00.000
474,SHC000474,355,Willow SafetyHazardCondition 474,475.00,1,1,2026-08-24T00:00:00.000
475,SHC000475,283,Unity SafetyHazardCondition 475,476.00,1,1,2026-08-24T00:00:00.000
476,SHC000476,153,Pioneer SafetyHazardCondition 476,477.00,1,1,2026-08-24T00:00:00.000
477,SHC000477,212,Junction SafetyHazardCondition 477,478.00,1,1,2026-08-24T00:00:00.000
478,SHC000478,408,Orion SafetyHazardCondition 478,479.00,1,1,2026-08-24T00:00:00.000
479,SHC000479,80,Quartz SafetyHazardCondition 479,480.00,1,1,2026-08-24T00:00:00.000
480,SHC000480,289,Forge SafetyHazardCondition 480,481.00,1,1,2026-08-24T00:00:00.000
481,SHC000481,317,Unity SafetyHazardCondition 481,482.00,1,1,2026-08-24T00:00:00.000
482,SHC000482,124,Unity SafetyHazardCondition 482,483.00,1,1,2026-08-24T00:00:00.000
483,SHC000483,115,Northstar SafetyHazardCondition 483,484.00,1,1,2026-08-24T00:00:00.000
484,SHC000484,260,Northstar SafetyHazardCondition 484,485.00,1,1,2026-08-24T00:00:00.000
485,SHC000485,343,Orion SafetyHazardCondition 485,486.00,1,1,2026-08-24T00:00:00.000
486,SHC000486,418,Quartz SafetyHazardCondition 486,487.00,1,1,2026-08-24T00:00:00.000
487,SHC000487,413,Meridian SafetyHazardCondition 487,488.00,1,1,2026-08-24T00:00:00.000
488,SHC000488,211,Forge SafetyHazardCondition 488,489.00,1,1,2026-08-24T00:00:00.000
489,SHC000489,62,Zenith SafetyHazardCondition 489,490.00,1,1,2026-08-24T00:00:00.000
490,SHC000490,246,Summit SafetyHazardCondition 490,491.00,1,1,2026-08-24T00:00:00.000
491,SHC000491,173,Willow SafetyHazardCondition 491,492.00,1,1,2026-08-24T00:00:00.000
492,SHC000492,216,Vertex SafetyHazardCondition 492,493.00,1,1,2026-08-24T00:00:00.000
493,SHC000493,346,Atlas SafetyHazardCondition 493,494.00,1,1,2026-08-24T00:00:00.000
494,SHC000494,86,Junction SafetyHazardCondition 494,495.00,1,1,2026-08-24T00:00:00.000
495,SHC000495,37,Willow SafetyHazardCondition 495,496.00,1,1,2026-08-24T00:00:00.000
496,SHC000496,222,Beacon SafetyHazardCondition 496,497.00,1,1,2026-08-24T00:00:00.000
497,SHC000497,212,Zenith SafetyHazardCondition 497,498.00,1,1,2026-08-24T00:00:00.000
498,SHC000498,351,Ion SafetyHazardCondition 498,499.00,1,1,2026-08-24T00:00:00.000
499,SHC000499,149,Evergreen SafetyHazardCondition 499,500.00,1,1,2026-08-24T00:00:00.000
500,SHC000500,391,Beacon SafetyHazardCondition 500,501.00,1,1,2026-08-24T00:00:00.000
