FinanceProductionSettlementKey,ProductionSettlementNumber,ProductKey,PlantKey,WorkCenterKey,CostCenterKey,FinancePostingStatusKey,SettlementName,SettlementPeriodCode,IsFinalSettlement,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
100,FPS000100,300,235,369,152,4,Granite FinanceProductionSettlement 100,FPS000100,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8238183765b5899a1bd49f6c882db74e8238183765b5899a1bd49f6c882db74
101,FPS000101,278,28,348,415,7,Meridian FinanceProductionSettlement 101,FPS000101,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939528f3ff6e53168928f680d16c791d939528f3ff6e53168928f680d16c791d
102,FPS000102,406,227,-1,-1,1,Keystone FinanceProductionSettlement 102,FPS000102,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00ab99ad2afe5dd094079fca9d0badf000ab99ad2afe5dd094079fca9d0badf0
103,FPS000103,88,237,275,316,7,Titan FinanceProductionSettlement 103,FPS000103,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c143dc8a13b25b639aee16d3444e523fc143dc8a13b25b639aee16d3444e523f
104,FPS000104,60,215,108,161,7,Ion FinanceProductionSettlement 104,FPS000104,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50a808c4176a586289cc240f7f93f1d450a808c4176a586289cc240f7f93f1d4
105,FPS000105,277,157,416,430,5,Vertex FinanceProductionSettlement 105,FPS000105,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2791ad57c9045e3ab84dd17c45b43a9d2791ad57c9045e3ab84dd17c45b43a9d
106,FPS000106,218,13,330,90,3,Titan FinanceProductionSettlement 106,FPS000106,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e95095f2e175da68082e617e3b4b5b68e95095f2e175da68082e617e3b4b5b6
107,FPS000107,96,52,484,77,9,Liberty FinanceProductionSettlement 107,FPS000107,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,566657b8f5e65935a94ac96103444806566657b8f5e65935a94ac96103444806
108,FPS000108,292,279,121,221,10,Vertex FinanceProductionSettlement 108,FPS000108,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d24809e4fed54a8870c46b96e7841c94d24809e4fed54a8870c46b96e7841c9
109,FPS000109,243,157,467,82,7,Summit FinanceProductionSettlement 109,FPS000109,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e281a00d218152a7a88f83eae4d0a3c5e281a00d218152a7a88f83eae4d0a3c5
110,FPS000110,17,344,39,270,5,Zenith FinanceProductionSettlement 110,FPS000110,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75535876d7d15cbeb9851778778736cb75535876d7d15cbeb9851778778736cb
111,FPS000111,335,260,284,10,4,Riverton FinanceProductionSettlement 111,FPS000111,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cb0acae4c715e89ad9bfb749ec57b538cb0acae4c715e89ad9bfb749ec57b53
112,FPS000112,79,201,401,144,3,Zenith FinanceProductionSettlement 112,FPS000112,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0c7982fb5ee54aa822d915a78cbde52d0c7982fb5ee54aa822d915a78cbde52
113,FPS000113,263,156,381,491,5,Unity FinanceProductionSettlement 113,FPS000113,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfdd8dff59a85033a4440b4949174403bfdd8dff59a85033a4440b4949174403
114,FPS000114,93,186,5,51,9,Zenith FinanceProductionSettlement 114,FPS000114,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b8d315dc2705a11ae4595654015869c0b8d315dc2705a11ae4595654015869c
115,FPS000115,475,224,401,168,10,Meridian FinanceProductionSettlement 115,FPS000115,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b63152fffcf5484ab17424098e851859b63152fffcf5484ab17424098e85185
116,FPS000116,152,127,339,109,4,Harbor FinanceProductionSettlement 116,FPS000116,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66f23b92dff651ed9e06fbd5d805cbc566f23b92dff651ed9e06fbd5d805cbc5
117,FPS000117,476,248,375,48,5,Northstar FinanceProductionSettlement 117,FPS000117,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1619328c7d9f50e896b87326e05b698e1619328c7d9f50e896b87326e05b698e
118,FPS000118,286,40,273,462,10,Evergreen FinanceProductionSettlement 118,FPS000118,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,514141f7ca725dcab8a107c683d0f6bb514141f7ca725dcab8a107c683d0f6bb
119,FPS000119,446,131,-1,-1,6,Delta FinanceProductionSettlement 119,FPS000119,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2cec1d13fa75fc0a9d0fc67f48ac0ade2cec1d13fa75fc0a9d0fc67f48ac0ad
120,FPS000120,263,57,146,315,3,Junction FinanceProductionSettlement 120,FPS000120,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,961f47ef6e0753a490b1538a81b4a14f961f47ef6e0753a490b1538a81b4a14f
121,FPS000121,19,5,8,208,6,Beacon FinanceProductionSettlement 121,FPS000121,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c426e9da83c452068e80afd7818a64aac426e9da83c452068e80afd7818a64aa
122,FPS000122,195,268,446,490,10,Keystone FinanceProductionSettlement 122,FPS000122,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5fc83ea9c475a6aae45b4fcdb4ca641f5fc83ea9c475a6aae45b4fcdb4ca641
123,FPS000123,240,242,12,59,3,Pioneer FinanceProductionSettlement 123,FPS000123,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0ab2ee1739a56f797c682bdb962e756a0ab2ee1739a56f797c682bdb962e756
124,FPS000124,257,306,367,198,2,Orion FinanceProductionSettlement 124,FPS000124,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a58c62f1a6ed5fa3b02cd68f7c3741f6a58c62f1a6ed5fa3b02cd68f7c3741f6
125,FPS000125,314,346,433,28,8,Zenith FinanceProductionSettlement 125,FPS000125,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7871932b63159168bf10f95cfe39577c7871932b63159168bf10f95cfe39577
126,FPS000126,187,238,94,437,10,Willow FinanceProductionSettlement 126,FPS000126,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2dc962affb4958afb6f1d638c8bc05492dc962affb4958afb6f1d638c8bc0549
127,FPS000127,451,71,220,79,9,Orion FinanceProductionSettlement 127,FPS000127,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef1ded2d513554d6a085610ffb13675eef1ded2d513554d6a085610ffb13675e
128,FPS000128,145,341,290,208,4,Forge FinanceProductionSettlement 128,FPS000128,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,845c857c831c5a6a9f833295777111bc845c857c831c5a6a9f833295777111bc
129,FPS000129,181,192,435,434,5,Junction FinanceProductionSettlement 129,FPS000129,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,414764675ede503eb388dc0a053b0ad3414764675ede503eb388dc0a053b0ad3
130,FPS000130,283,112,416,219,4,Orion FinanceProductionSettlement 130,FPS000130,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c052744e90895618a82d68fce9800d70c052744e90895618a82d68fce9800d70
131,FPS000131,64,78,92,59,9,Pioneer FinanceProductionSettlement 131,FPS000131,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13284c9016d15ffb9cea6ce6bf96401e13284c9016d15ffb9cea6ce6bf96401e
132,FPS000132,479,25,78,127,6,Pioneer FinanceProductionSettlement 132,FPS000132,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af58711f66f9507ba0737bf273236745af58711f66f9507ba0737bf273236745
133,FPS000133,486,78,279,176,10,Zenith FinanceProductionSettlement 133,FPS000133,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de885915541553558850cc4675645e07de885915541553558850cc4675645e07
134,FPS000134,335,190,159,434,10,Titan FinanceProductionSettlement 134,FPS000134,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65fe10608c1555c880d4a55b4c0a9b7f65fe10608c1555c880d4a55b4c0a9b7f
135,FPS000135,269,311,350,438,8,Forge FinanceProductionSettlement 135,FPS000135,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31539086381c5857b3dd1c26391e5c4431539086381c5857b3dd1c26391e5c44
136,FPS000136,11,233,-1,-1,5,Summit FinanceProductionSettlement 136,FPS000136,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62ac344c7101595191b8d11cca5f5a0762ac344c7101595191b8d11cca5f5a07
137,FPS000137,53,35,323,303,6,Northstar FinanceProductionSettlement 137,FPS000137,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ad12e6c8f7e5052a5d6153cd6f58cb36ad12e6c8f7e5052a5d6153cd6f58cb3
138,FPS000138,176,349,190,72,4,Vertex FinanceProductionSettlement 138,FPS000138,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,791596f33b2a53a9bab9eccd9439e07d791596f33b2a53a9bab9eccd9439e07d
139,FPS000139,364,90,150,182,3,Vertex FinanceProductionSettlement 139,FPS000139,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65033c40aafd507eb7b4848d0af9f71d65033c40aafd507eb7b4848d0af9f71d
140,FPS000140,291,110,383,55,6,Atlas FinanceProductionSettlement 140,FPS000140,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c71a3e8105fa504aace44b760dc568c6c71a3e8105fa504aace44b760dc568c6
141,FPS000141,291,210,500,376,8,Harbor FinanceProductionSettlement 141,FPS000141,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acd54ad1f55c5fbdbd822dfd0cbf3a7dacd54ad1f55c5fbdbd822dfd0cbf3a7d
142,FPS000142,410,163,307,310,10,Northstar FinanceProductionSettlement 142,FPS000142,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b9fa43bf9c757698814e4b5480a448b5b9fa43bf9c757698814e4b5480a448b
143,FPS000143,173,196,84,227,5,Orion FinanceProductionSettlement 143,FPS000143,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78c0350c30c65e07aac603b810c4183178c0350c30c65e07aac603b810c41831
144,FPS000144,406,101,132,202,3,Northstar FinanceProductionSettlement 144,FPS000144,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d654af8a24b56af96994985b48907e46d654af8a24b56af96994985b48907e4
145,FPS000145,37,246,272,335,8,Pioneer FinanceProductionSettlement 145,FPS000145,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ad8d97ce049510982d8e33c420168ef6ad8d97ce049510982d8e33c420168ef
146,FPS000146,312,298,368,361,9,Ion FinanceProductionSettlement 146,FPS000146,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53b086136613598d9329cb21f2f8160a53b086136613598d9329cb21f2f8160a
147,FPS000147,111,251,124,408,3,Quartz FinanceProductionSettlement 147,FPS000147,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c7b461148b75e7488660620429f2aa35c7b461148b75e7488660620429f2aa3
148,FPS000148,46,340,122,416,4,Willow FinanceProductionSettlement 148,FPS000148,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a799274f5a05582c9c5fb6f02913a7b2a799274f5a05582c9c5fb6f02913a7b2
149,FPS000149,413,239,217,120,7,Vertex FinanceProductionSettlement 149,FPS000149,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f89407e89f1d5fdf8d187a15ab8e3a4af89407e89f1d5fdf8d187a15ab8e3a4a
150,FPS000150,226,311,242,450,5,Junction FinanceProductionSettlement 150,FPS000150,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95a3f00b61455016be5c34af3e83961695a3f00b61455016be5c34af3e839616
151,FPS000151,68,215,483,400,7,Titan FinanceProductionSettlement 151,FPS000151,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1c7c91d6de1542fab2107dfa3953c1ab1c7c91d6de1542fab2107dfa3953c1a
152,FPS000152,145,41,183,112,7,Riverton FinanceProductionSettlement 152,FPS000152,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ce0283e528d534e9212e8e0c7db9f222ce0283e528d534e9212e8e0c7db9f22
153,FPS000153,401,307,-1,-1,6,Unity FinanceProductionSettlement 153,FPS000153,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b4d0a0240d15a579968d88a987054a42b4d0a0240d15a579968d88a987054a4
154,FPS000154,255,283,220,403,9,Atlas FinanceProductionSettlement 154,FPS000154,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd775b6073b15d69a39f780f26a7538bbd775b6073b15d69a39f780f26a7538b
155,FPS000155,61,59,254,120,9,Meridian FinanceProductionSettlement 155,FPS000155,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c9102c7681153f9b8fd10fd946fef604c9102c7681153f9b8fd10fd946fef60
156,FPS000156,247,323,393,217,3,Northstar FinanceProductionSettlement 156,FPS000156,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a076dc3d2ca8547dad0c61acbe9e9eb4a076dc3d2ca8547dad0c61acbe9e9eb4
157,FPS000157,300,238,66,146,9,Forge FinanceProductionSettlement 157,FPS000157,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d9f6f685afd5884803d9ebb6548af4d9d9f6f685afd5884803d9ebb6548af4d
158,FPS000158,255,192,168,125,1,Harbor FinanceProductionSettlement 158,FPS000158,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3ab6a1100805907b8af50d30ed87f42a3ab6a1100805907b8af50d30ed87f42
159,FPS000159,230,127,210,138,7,Atlas FinanceProductionSettlement 159,FPS000159,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f72040db955152ca88178b565c5c773bf72040db955152ca88178b565c5c773b
160,FPS000160,400,260,11,394,5,Beacon FinanceProductionSettlement 160,FPS000160,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5bea41a916e59bf8fedc5da6fbdf6b7b5bea41a916e59bf8fedc5da6fbdf6b7
161,FPS000161,31,43,398,435,8,Liberty FinanceProductionSettlement 161,FPS000161,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5b1ac37a07b5055b7b6a1c05e2b9dfbd5b1ac37a07b5055b7b6a1c05e2b9dfb
162,FPS000162,436,232,149,325,6,Riverton FinanceProductionSettlement 162,FPS000162,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c624bbb0a575e53b7a4358ba3c177b65c624bbb0a575e53b7a4358ba3c177b6
163,FPS000163,222,75,414,32,9,Summit FinanceProductionSettlement 163,FPS000163,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c934bfaef4a5365a519e3f568128c019c934bfaef4a5365a519e3f568128c01
164,FPS000164,416,11,212,155,3,Granite FinanceProductionSettlement 164,FPS000164,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81fda88ea17c5f21a4b353a38ad5a81a81fda88ea17c5f21a4b353a38ad5a81a
165,FPS000165,38,13,430,288,4,Liberty FinanceProductionSettlement 165,FPS000165,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98155de9d59e5dc1b2ea8003c17c723c98155de9d59e5dc1b2ea8003c17c723c
166,FPS000166,457,145,25,128,1,Riverton FinanceProductionSettlement 166,FPS000166,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3423cb24ee454b4a9c219fccc2bb1e4d3423cb24ee454b4a9c219fccc2bb1e4
167,FPS000167,354,85,230,24,2,Atlas FinanceProductionSettlement 167,FPS000167,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a9213774f2e5a2692ae2563ea4bb0ff6a9213774f2e5a2692ae2563ea4bb0ff
168,FPS000168,144,200,73,412,10,Orion FinanceProductionSettlement 168,FPS000168,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,279fcd74cd7e571d8428dbf0d0d77269279fcd74cd7e571d8428dbf0d0d77269
169,FPS000169,166,340,177,409,10,Titan FinanceProductionSettlement 169,FPS000169,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8be36a4dbb05fcf849c82c963290c41a8be36a4dbb05fcf849c82c963290c41
170,FPS000170,111,179,-1,-1,6,Northstar FinanceProductionSettlement 170,FPS000170,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b1f8035bcad5f4f8634938e7f6357a60b1f8035bcad5f4f8634938e7f6357a6
171,FPS000171,90,172,328,363,7,Riverton FinanceProductionSettlement 171,FPS000171,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,409d2fedd3a959d9845bc12491e30515409d2fedd3a959d9845bc12491e30515
172,FPS000172,185,350,493,379,8,Junction FinanceProductionSettlement 172,FPS000172,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9c097618c24516e8006a8cf85ef4a5bb9c097618c24516e8006a8cf85ef4a5b
173,FPS000173,174,212,495,242,6,Quartz FinanceProductionSettlement 173,FPS000173,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d5cc73f7e8053eda78341fe4ae8f0d61d5cc73f7e8053eda78341fe4ae8f0d6
174,FPS000174,35,57,202,215,7,Vertex FinanceProductionSettlement 174,FPS000174,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2291eaaab18358ecbb4da6adf367191f2291eaaab18358ecbb4da6adf367191f
175,FPS000175,347,339,36,306,6,Liberty FinanceProductionSettlement 175,FPS000175,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a84fc0e667259b9981b0545251770da0a84fc0e667259b9981b0545251770da
176,FPS000176,6,344,234,50,8,Cedar FinanceProductionSettlement 176,FPS000176,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f7284bcdae35386bb63d7c5914250851f7284bcdae35386bb63d7c591425085
177,FPS000177,422,110,261,175,9,Northstar FinanceProductionSettlement 177,FPS000177,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84c50bb12b2255e4966d2ec91496e3ef84c50bb12b2255e4966d2ec91496e3ef
178,FPS000178,383,202,50,383,7,Cedar FinanceProductionSettlement 178,FPS000178,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b9f91ec93935e7a97c4d51f9a2f38604b9f91ec93935e7a97c4d51f9a2f3860
179,FPS000179,266,222,398,41,7,Harbor FinanceProductionSettlement 179,FPS000179,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,677bf5a41977547da88ed32db2873969677bf5a41977547da88ed32db2873969
180,FPS000180,24,28,179,445,2,Northstar FinanceProductionSettlement 180,FPS000180,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c9d93e9239b529ba75051d3dc1b555e2c9d93e9239b529ba75051d3dc1b555e
181,FPS000181,72,295,351,384,7,Unity FinanceProductionSettlement 181,FPS000181,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f4e1f21a5f951308f47327513d437201f4e1f21a5f951308f47327513d43720
182,FPS000182,490,71,298,112,4,Granite FinanceProductionSettlement 182,FPS000182,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9a9e05d97565cbb9e25ef35d711cf7fa9a9e05d97565cbb9e25ef35d711cf7f
183,FPS000183,74,298,278,345,8,Titan FinanceProductionSettlement 183,FPS000183,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53a7edab9aa65ef0ba61e375ac81dfa153a7edab9aa65ef0ba61e375ac81dfa1
184,FPS000184,27,293,338,17,3,Summit FinanceProductionSettlement 184,FPS000184,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76eb127a97cc511986b09f3235283d6576eb127a97cc511986b09f3235283d65
185,FPS000185,490,347,498,274,5,Delta FinanceProductionSettlement 185,FPS000185,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be3efaee4f5259389f8c4fb485900457be3efaee4f5259389f8c4fb485900457
186,FPS000186,164,272,339,208,3,Northstar FinanceProductionSettlement 186,FPS000186,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2edb6f75d945fa9b077397717a9652bc2edb6f75d945fa9b077397717a9652b
187,FPS000187,361,247,-1,-1,2,Junction FinanceProductionSettlement 187,FPS000187,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf25a37445d55a859046e083930e830bcf25a37445d55a859046e083930e830b
188,FPS000188,385,330,24,335,10,Orion FinanceProductionSettlement 188,FPS000188,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46ae6421865450c4b86e7b2a046d5e8b46ae6421865450c4b86e7b2a046d5e8b
189,FPS000189,225,52,318,226,4,Vertex FinanceProductionSettlement 189,FPS000189,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,207b2cca6fe356b1b6cbfac65cfc11a5207b2cca6fe356b1b6cbfac65cfc11a5
190,FPS000190,130,120,146,181,3,Delta FinanceProductionSettlement 190,FPS000190,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acd05ad32b9759f6accaf10cf54ce5f2acd05ad32b9759f6accaf10cf54ce5f2
191,FPS000191,402,286,153,92,4,Atlas FinanceProductionSettlement 191,FPS000191,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12d8dafd821753c5beb90523e16b555b12d8dafd821753c5beb90523e16b555b
192,FPS000192,315,39,323,147,6,Riverton FinanceProductionSettlement 192,FPS000192,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,948660ef05fd5b23b17f06987fcfea89948660ef05fd5b23b17f06987fcfea89
193,FPS000193,362,316,57,429,1,Liberty FinanceProductionSettlement 193,FPS000193,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45ff0db640cb55e4a854e9774e495e7345ff0db640cb55e4a854e9774e495e73
194,FPS000194,205,273,461,236,9,Delta FinanceProductionSettlement 194,FPS000194,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf2246693dd85056852490008fe8dad5bf2246693dd85056852490008fe8dad5
195,FPS000195,169,56,375,461,9,Granite FinanceProductionSettlement 195,FPS000195,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc232d837d065822b2fb9b30f6600757dc232d837d065822b2fb9b30f6600757
196,FPS000196,273,149,216,436,3,Pioneer FinanceProductionSettlement 196,FPS000196,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1e9dab0928b5bdfadeb7dc63b6a401fa1e9dab0928b5bdfadeb7dc63b6a401f
197,FPS000197,312,302,9,416,3,Junction FinanceProductionSettlement 197,FPS000197,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a2af7d07f0f5b8ab96cfdcd68941bd74a2af7d07f0f5b8ab96cfdcd68941bd7
198,FPS000198,398,39,423,112,2,Orion FinanceProductionSettlement 198,FPS000198,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3f69ce1fa815888a0b8cd049fb2fbc7b3f69ce1fa815888a0b8cd049fb2fbc7
199,FPS000199,225,41,213,375,9,Beacon FinanceProductionSettlement 199,FPS000199,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,563ad320464e5e7486ab822a1056444f563ad320464e5e7486ab822a1056444f
