ProductionLotGradeKey,ProductionLotGradeCode,ProductionLotClassKey,ProductionLotGradeName,SourceSystemKey,BatchId,LoadedAtUtc
310,PLG000310,16,Quartz ProductionLotGrade 310,1,1,2026-08-24T00:00:00.000
311,PLG000311,9,Ion ProductionLotGrade 311,1,1,2026-08-24T00:00:00.000
312,PLG000312,6,Granite ProductionLotGrade 312,1,1,2026-08-24T00:00:00.000
313,PLG000313,55,Titan ProductionLotGrade 313,1,1,2026-08-24T00:00:00.000
314,PLG000314,63,Cedar ProductionLotGrade 314,1,1,2026-08-24T00:00:00.000
315,PLG000315,36,Keystone ProductionLotGrade 315,1,1,2026-08-24T00:00:00.000
316,PLG000316,71,Orion ProductionLotGrade 316,1,1,2026-08-24T00:00:00.000
317,PLG000317,35,Zenith ProductionLotGrade 317,1,1,2026-08-24T00:00:00.000
318,PLG000318,116,Zenith ProductionLotGrade 318,1,1,2026-08-24T00:00:00.000
319,PLG000319,55,Granite ProductionLotGrade 319,1,1,2026-08-24T00:00:00.000
320,PLG000320,39,Keystone ProductionLotGrade 320,1,1,2026-08-24T00:00:00.000
321,PLG000321,33,Evergreen ProductionLotGrade 321,1,1,2026-08-24T00:00:00.000
322,PLG000322,80,Willow ProductionLotGrade 322,1,1,2026-08-24T00:00:00.000
323,PLG000323,79,Delta ProductionLotGrade 323,1,1,2026-08-24T00:00:00.000
324,PLG000324,27,Summit ProductionLotGrade 324,1,1,2026-08-24T00:00:00.000
325,PLG000325,66,Orion ProductionLotGrade 325,1,1,2026-08-24T00:00:00.000
326,PLG000326,83,Beacon ProductionLotGrade 326,1,1,2026-08-24T00:00:00.000
327,PLG000327,30,Willow ProductionLotGrade 327,1,1,2026-08-24T00:00:00.000
328,PLG000328,31,Ion ProductionLotGrade 328,1,1,2026-08-24T00:00:00.000
329,PLG000329,33,Titan ProductionLotGrade 329,1,1,2026-08-24T00:00:00.000
330,PLG000330,112,Beacon ProductionLotGrade 330,1,1,2026-08-24T00:00:00.000
331,PLG000331,63,Meridian ProductionLotGrade 331,1,1,2026-08-24T00:00:00.000
332,PLG000332,49,Liberty ProductionLotGrade 332,1,1,2026-08-24T00:00:00.000
333,PLG000333,62,Unity ProductionLotGrade 333,1,1,2026-08-24T00:00:00.000
334,PLG000334,104,Harbor ProductionLotGrade 334,1,1,2026-08-24T00:00:00.000
335,PLG000335,62,Northstar ProductionLotGrade 335,1,1,2026-08-24T00:00:00.000
336,PLG000336,49,Liberty ProductionLotGrade 336,1,1,2026-08-24T00:00:00.000
337,PLG000337,75,Harbor ProductionLotGrade 337,1,1,2026-08-24T00:00:00.000
338,PLG000338,89,Evergreen ProductionLotGrade 338,1,1,2026-08-24T00:00:00.000
339,PLG000339,54,Quartz ProductionLotGrade 339,1,1,2026-08-24T00:00:00.000
340,PLG000340,27,Orion ProductionLotGrade 340,1,1,2026-08-24T00:00:00.000
341,PLG000341,32,Evergreen ProductionLotGrade 341,1,1,2026-08-24T00:00:00.000
342,PLG000342,29,Keystone ProductionLotGrade 342,1,1,2026-08-24T00:00:00.000
343,PLG000343,84,Riverton ProductionLotGrade 343,1,1,2026-08-24T00:00:00.000
344,PLG000344,5,Meridian ProductionLotGrade 344,1,1,2026-08-24T00:00:00.000
345,PLG000345,75,Vertex ProductionLotGrade 345,1,1,2026-08-24T00:00:00.000
346,PLG000346,8,Riverton ProductionLotGrade 346,1,1,2026-08-24T00:00:00.000
347,PLG000347,117,Meridian ProductionLotGrade 347,1,1,2026-08-24T00:00:00.000
348,PLG000348,13,Pioneer ProductionLotGrade 348,1,1,2026-08-24T00:00:00.000
349,PLG000349,4,Unity ProductionLotGrade 349,1,1,2026-08-24T00:00:00.000
350,PLG000350,36,Quartz ProductionLotGrade 350,1,1,2026-08-24T00:00:00.000
351,PLG000351,61,Orion ProductionLotGrade 351,1,1,2026-08-24T00:00:00.000
352,PLG000352,22,Orion ProductionLotGrade 352,1,1,2026-08-24T00:00:00.000
353,PLG000353,108,Willow ProductionLotGrade 353,1,1,2026-08-24T00:00:00.000
354,PLG000354,42,Delta ProductionLotGrade 354,1,1,2026-08-24T00:00:00.000
355,PLG000355,9,Summit ProductionLotGrade 355,1,1,2026-08-24T00:00:00.000
356,PLG000356,64,Forge ProductionLotGrade 356,1,1,2026-08-24T00:00:00.000
357,PLG000357,3,Zenith ProductionLotGrade 357,1,1,2026-08-24T00:00:00.000
358,PLG000358,74,Evergreen ProductionLotGrade 358,1,1,2026-08-24T00:00:00.000
359,PLG000359,85,Beacon ProductionLotGrade 359,1,1,2026-08-24T00:00:00.000
360,PLG000360,119,Junction ProductionLotGrade 360,1,1,2026-08-24T00:00:00.000
