QualityNonConformanceKey,NonConformanceNumber,ProductKey,PlantKey,QualityDefectCodeKey,QualityDefectSeverityKey,SeverityKey,QualityResultStatusKey,QualityNonConformanceName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
97,QNC000097,107,273,193,8,5,1,Atlas QualityNonConformance 97,QNC000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95e108fb63eb58f08b0dc1c06df26e8a95e108fb63eb58f08b0dc1c06df26e8a
98,QNC000098,171,257,410,8,2,4,Harbor QualityNonConformance 98,QNC000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dd9c2fc7e085abe8fb614278fadffff7dd9c2fc7e085abe8fb614278fadffff
99,QNC000099,70,49,463,6,4,3,Meridian QualityNonConformance 99,QNC000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1862696f715e5e4da9def415c0981f411862696f715e5e4da9def415c0981f41
100,QNC000100,301,343,333,4,2,3,Vertex QualityNonConformance 100,QNC000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cb0a3fd02dc5a109253cb423e9748468cb0a3fd02dc5a109253cb423e974846
101,QNC000101,206,285,8,9,1,9,Liberty QualityNonConformance 101,QNC000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9d6e230ec315524aeff45e688ba2fdeb9d6e230ec315524aeff45e688ba2fde
102,QNC000102,-1,135,103,6,2,12,Riverton QualityNonConformance 102,QNC000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,001c23e688995acfbd2cfa2d1a14a5aa001c23e688995acfbd2cfa2d1a14a5aa
103,QNC000103,476,344,81,3,4,10,Atlas QualityNonConformance 103,QNC000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9de869e1ee145a95abc261cd7542872e9de869e1ee145a95abc261cd7542872e
104,QNC000104,188,330,144,4,4,6,Delta QualityNonConformance 104,QNC000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf0f0a6ef7645cafa6d7e4fabcea8273cf0f0a6ef7645cafa6d7e4fabcea8273
105,QNC000105,355,37,110,4,3,3,Unity QualityNonConformance 105,QNC000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e95a8049ceb755628266e1a871f55a69e95a8049ceb755628266e1a871f55a69
106,QNC000106,88,317,455,10,4,4,Delta QualityNonConformance 106,QNC000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,970c042da6785436a0d2e10de068dec8970c042da6785436a0d2e10de068dec8
107,QNC000107,294,126,329,3,4,1,Northstar QualityNonConformance 107,QNC000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd5314f5f3825f87bfff44bde06a4b97cd5314f5f3825f87bfff44bde06a4b97
108,QNC000108,232,107,323,7,1,6,Forge QualityNonConformance 108,QNC000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68ae85dd27d95ec1a810b7900b2ba5e968ae85dd27d95ec1a810b7900b2ba5e9
109,QNC000109,188,152,472,5,3,9,Evergreen QualityNonConformance 109,QNC000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cc2bcd5898555e09246728c8a4274b06cc2bcd5898555e09246728c8a4274b0
110,QNC000110,489,58,429,8,1,12,Atlas QualityNonConformance 110,QNC000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6d0bc9c996c5ac39a144f2191dafb62c6d0bc9c996c5ac39a144f2191dafb62
111,QNC000111,152,283,142,12,3,8,Cedar QualityNonConformance 111,QNC000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd7a385fbc305c9894ef54531a8be44dfd7a385fbc305c9894ef54531a8be44d
112,QNC000112,364,311,359,10,3,2,Junction QualityNonConformance 112,QNC000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64f26690a36c5f1ab37724e5de0037fb64f26690a36c5f1ab37724e5de0037fb
113,QNC000113,490,165,199,12,1,5,Keystone QualityNonConformance 113,QNC000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8766c2bac7a052b2b4ecb3241f521ce18766c2bac7a052b2b4ecb3241f521ce1
114,QNC000114,455,37,22,5,5,3,Beacon QualityNonConformance 114,QNC000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09b50125a95a5c7aac8de5eaf3e28ccd09b50125a95a5c7aac8de5eaf3e28ccd
115,QNC000115,85,142,477,12,4,12,Beacon QualityNonConformance 115,QNC000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6d8e92bb098506bb054e871987f6365c6d8e92bb098506bb054e871987f6365
116,QNC000116,190,203,386,3,4,8,Forge QualityNonConformance 116,QNC000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c39e8126f6f95adf876609042312dbd2c39e8126f6f95adf876609042312dbd2
117,QNC000117,408,249,299,7,3,8,Keystone QualityNonConformance 117,QNC000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2560a1b5265e5646ab333bb64e2ce7fa2560a1b5265e5646ab333bb64e2ce7fa
118,QNC000118,464,132,206,4,4,5,Keystone QualityNonConformance 118,QNC000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88e3ab38b19e57b99bc1d2e40219456f88e3ab38b19e57b99bc1d2e40219456f
119,QNC000119,-1,104,495,8,1,2,Summit QualityNonConformance 119,QNC000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92f1d753a54d5f32bfc05cc926a590be92f1d753a54d5f32bfc05cc926a590be
120,QNC000120,250,120,492,2,4,4,Vertex QualityNonConformance 120,QNC000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3b67666ec6c5724894c50e9afd1ab90e3b67666ec6c5724894c50e9afd1ab90
121,QNC000121,182,76,276,6,2,1,Vertex QualityNonConformance 121,QNC000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2aad218bf01f5177849e34ccf9be30e82aad218bf01f5177849e34ccf9be30e8
122,QNC000122,110,68,289,8,2,10,Summit QualityNonConformance 122,QNC000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3389746a25c55fcfb24d43fca1d6d6a73389746a25c55fcfb24d43fca1d6d6a7
123,QNC000123,282,38,63,5,4,6,Evergreen QualityNonConformance 123,QNC000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52907943bfe2578985e3127b156e5be852907943bfe2578985e3127b156e5be8
124,QNC000124,98,239,52,7,3,8,Vertex QualityNonConformance 124,QNC000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fafe6130f5095d0698a6005f642e7486fafe6130f5095d0698a6005f642e7486
125,QNC000125,302,206,83,12,5,11,Junction QualityNonConformance 125,QNC000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5af94c03f3d5ab39237726431d20be2d5af94c03f3d5ab39237726431d20be2
126,QNC000126,333,22,14,2,4,12,Harbor QualityNonConformance 126,QNC000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26ed60dd9a0a5d7483c6fc0908946cd426ed60dd9a0a5d7483c6fc0908946cd4
127,QNC000127,339,71,10,9,3,1,Quartz QualityNonConformance 127,QNC000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b218cd2d6405a75ad4f2d954f9bd0623b218cd2d6405a75ad4f2d954f9bd062
128,QNC000128,414,307,262,11,5,11,Ion QualityNonConformance 128,QNC000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2cbf017952075634a45de6bf4112da3d2cbf017952075634a45de6bf4112da3d
129,QNC000129,270,210,401,3,3,2,Cedar QualityNonConformance 129,QNC000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f5d5479a7f5506ea6cd4d78a056e61c3f5d5479a7f5506ea6cd4d78a056e61c
130,QNC000130,435,333,326,11,3,5,Titan QualityNonConformance 130,QNC000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a24f02c4302a51528291cd5dcf54b5fba24f02c4302a51528291cd5dcf54b5fb
131,QNC000131,487,311,89,10,4,9,Northstar QualityNonConformance 131,QNC000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,369c7329dd7a53a5b8e318767c7dfbb9369c7329dd7a53a5b8e318767c7dfbb9
132,QNC000132,292,22,499,2,1,1,Granite QualityNonConformance 132,QNC000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b58d35013a5c56c0ad38a5c1989e58a9b58d35013a5c56c0ad38a5c1989e58a9
133,QNC000133,175,253,70,10,1,8,Forge QualityNonConformance 133,QNC000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c860fddc10c58ab87f99a94d81e654a6c860fddc10c58ab87f99a94d81e654a
134,QNC000134,425,82,83,12,1,5,Keystone QualityNonConformance 134,QNC000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ec239e1d64c55debefb0af39cc53dbd8ec239e1d64c55debefb0af39cc53dbd
135,QNC000135,134,212,148,4,2,5,Riverton QualityNonConformance 135,QNC000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dc06e62b9455f7597768f13af8ceff27dc06e62b9455f7597768f13af8ceff2
136,QNC000136,-1,13,300,3,5,5,Unity QualityNonConformance 136,QNC000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5aceefd6decf5a1fbc7d707082c3b0e85aceefd6decf5a1fbc7d707082c3b0e8
137,QNC000137,240,168,412,7,4,1,Granite QualityNonConformance 137,QNC000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc0c5f1aa1e75d71908e1a7fa5e9efd6bc0c5f1aa1e75d71908e1a7fa5e9efd6
138,QNC000138,48,315,197,4,3,6,Pioneer QualityNonConformance 138,QNC000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32d38bb8e72f5a2b814a990cd386696e32d38bb8e72f5a2b814a990cd386696e
139,QNC000139,53,292,463,1,5,7,Meridian QualityNonConformance 139,QNC000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4e65172227d53fda6542748b4212948c4e65172227d53fda6542748b4212948
140,QNC000140,145,261,149,2,2,5,Titan QualityNonConformance 140,QNC000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c115a1756df529bafd00db1b74ca3824c115a1756df529bafd00db1b74ca382
141,QNC000141,134,194,197,4,2,7,Pioneer QualityNonConformance 141,QNC000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66758447a1a45c4eb0ee984119619fa666758447a1a45c4eb0ee984119619fa6
142,QNC000142,460,115,68,5,4,9,Titan QualityNonConformance 142,QNC000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bc3444451b5540285744afe756a670b2bc3444451b5540285744afe756a670b
143,QNC000143,122,261,111,6,5,3,Keystone QualityNonConformance 143,QNC000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cedba4a2f33512f894757f77b7face91cedba4a2f33512f894757f77b7face9
144,QNC000144,44,186,328,8,2,4,Willow QualityNonConformance 144,QNC000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f34428becb685f438cf580a46c13778ff34428becb685f438cf580a46c13778f
145,QNC000145,66,149,198,7,4,8,Beacon QualityNonConformance 145,QNC000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90debc2dc6ed5a15a155b7a39373dd3090debc2dc6ed5a15a155b7a39373dd30
146,QNC000146,382,295,5,8,5,3,Keystone QualityNonConformance 146,QNC000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e965d9c1bf1158c99f6abfcf405d6914e965d9c1bf1158c99f6abfcf405d6914
147,QNC000147,428,216,402,10,2,4,Willow QualityNonConformance 147,QNC000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffb13d18ca5a5b94828d92bb5cd5706affb13d18ca5a5b94828d92bb5cd5706a
148,QNC000148,493,160,428,3,4,6,Atlas QualityNonConformance 148,QNC000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83311681a11057b3a0e3ddd7b03a80d283311681a11057b3a0e3ddd7b03a80d2
149,QNC000149,272,176,395,11,5,2,Cedar QualityNonConformance 149,QNC000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f1a2151e87956dbbc5c3de1b8993e544f1a2151e87956dbbc5c3de1b8993e54
150,QNC000150,333,85,417,5,5,3,Ion QualityNonConformance 150,QNC000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f803880d117a5e30987cb6111915a036f803880d117a5e30987cb6111915a036
151,QNC000151,426,342,144,6,1,8,Zenith QualityNonConformance 151,QNC000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7d9749a2abb50e5844d2524a90e4824d7d9749a2abb50e5844d2524a90e4824
152,QNC000152,422,284,297,7,5,2,Atlas QualityNonConformance 152,QNC000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26fc79dd92fb5d3e9060d50eb006f52326fc79dd92fb5d3e9060d50eb006f523
153,QNC000153,-1,185,265,2,5,7,Atlas QualityNonConformance 153,QNC000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,976b7f0fc7085e39ad2f164f0055d93c976b7f0fc7085e39ad2f164f0055d93c
154,QNC000154,79,97,46,11,1,6,Northstar QualityNonConformance 154,QNC000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0657a84b114759188593e7043ddf27050657a84b114759188593e7043ddf2705
155,QNC000155,401,253,280,2,5,4,Quartz QualityNonConformance 155,QNC000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,712f032bcdc651cbbf3568624899930a712f032bcdc651cbbf3568624899930a
156,QNC000156,164,172,235,9,1,6,Ion QualityNonConformance 156,QNC000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82eb04d7638857158b48d1d08f7c0f3982eb04d7638857158b48d1d08f7c0f39
157,QNC000157,44,140,391,6,4,2,Zenith QualityNonConformance 157,QNC000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7be43f389c69501abb050daf625b368e7be43f389c69501abb050daf625b368e
158,QNC000158,329,346,270,10,2,6,Pioneer QualityNonConformance 158,QNC000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eacae00d6c9d57b0b367ad955f63027ceacae00d6c9d57b0b367ad955f63027c
159,QNC000159,306,244,207,12,1,8,Northstar QualityNonConformance 159,QNC000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86673ad5421359c49998797142cb516c86673ad5421359c49998797142cb516c
160,QNC000160,443,93,458,8,3,12,Meridian QualityNonConformance 160,QNC000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64bd26d6912250f5aae8aa9a8088acd064bd26d6912250f5aae8aa9a8088acd0
161,QNC000161,247,233,406,12,1,5,Titan QualityNonConformance 161,QNC000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0fdf4b9cc975eaca407a166d84fab50f0fdf4b9cc975eaca407a166d84fab50
162,QNC000162,172,216,268,9,2,11,Meridian QualityNonConformance 162,QNC000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ca2d2c950e65512b6f85da6ccb145459ca2d2c950e65512b6f85da6ccb14545
163,QNC000163,104,34,337,2,5,8,Unity QualityNonConformance 163,QNC000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29ee3adddfba5be7a415ad200599a0dd29ee3adddfba5be7a415ad200599a0dd
164,QNC000164,155,205,67,11,5,8,Unity QualityNonConformance 164,QNC000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75630f8633365621b75e10d5528f04fa75630f8633365621b75e10d5528f04fa
165,QNC000165,415,54,112,10,2,5,Beacon QualityNonConformance 165,QNC000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d27ed9a006045713af723bcd815b52dbd27ed9a006045713af723bcd815b52db
166,QNC000166,191,310,159,1,2,7,Riverton QualityNonConformance 166,QNC000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c855c3d9886c50da86386e6169fb8c75c855c3d9886c50da86386e6169fb8c75
167,QNC000167,97,283,297,4,5,10,Titan QualityNonConformance 167,QNC000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f8ebb4e83225d349d689828b6e8a8d92f8ebb4e83225d349d689828b6e8a8d9
168,QNC000168,238,38,70,6,1,4,Junction QualityNonConformance 168,QNC000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f322041caf065eb5b70a7907a63317a2f322041caf065eb5b70a7907a63317a2
169,QNC000169,85,19,233,4,3,5,Keystone QualityNonConformance 169,QNC000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,973bb53aa2b2596986aa003bfa3b06e4973bb53aa2b2596986aa003bfa3b06e4
170,QNC000170,-1,229,276,6,3,2,Unity QualityNonConformance 170,QNC000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a0981e963585067b01e5d0a5ee23a1e4a0981e963585067b01e5d0a5ee23a1e
171,QNC000171,211,350,242,12,3,3,Cedar QualityNonConformance 171,QNC000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f673e7d0eb4522c93068b001c4b55826f673e7d0eb4522c93068b001c4b5582
172,QNC000172,176,84,285,11,5,8,Harbor QualityNonConformance 172,QNC000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b08f7e122d3250a88a09d4e1f66e6297b08f7e122d3250a88a09d4e1f66e6297
173,QNC000173,17,105,218,4,2,6,Northstar QualityNonConformance 173,QNC000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,478fafead3415ad2ac7a80507ef91690478fafead3415ad2ac7a80507ef91690
174,QNC000174,377,350,103,5,1,10,Granite QualityNonConformance 174,QNC000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,640f9994810256069fe619ee78a4b507640f9994810256069fe619ee78a4b507
175,QNC000175,296,82,150,5,2,4,Liberty QualityNonConformance 175,QNC000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99bb4ac2247e55ee9410c34c90775a8799bb4ac2247e55ee9410c34c90775a87
176,QNC000176,234,221,259,5,2,6,Orion QualityNonConformance 176,QNC000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0a8815cc88356859e85fd366c2663dee0a8815cc88356859e85fd366c2663de
177,QNC000177,337,234,321,7,4,3,Evergreen QualityNonConformance 177,QNC000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7b633c14f83565a9ed287fed1c48397b7b633c14f83565a9ed287fed1c48397
178,QNC000178,69,116,34,5,5,5,Vertex QualityNonConformance 178,QNC000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1001c6dde1505dcb9f6f970b55b619261001c6dde1505dcb9f6f970b55b61926
179,QNC000179,153,51,28,10,1,9,Willow QualityNonConformance 179,QNC000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a4f837fec245806911d0af4bb0265140a4f837fec245806911d0af4bb026514
180,QNC000180,404,118,339,7,1,6,Atlas QualityNonConformance 180,QNC000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f69b7f29c815781a9d57a2b64be45072f69b7f29c815781a9d57a2b64be4507
181,QNC000181,187,237,178,7,3,11,Liberty QualityNonConformance 181,QNC000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e81192a456735f57a8616f6e9058ee54e81192a456735f57a8616f6e9058ee54
182,QNC000182,430,12,195,4,5,10,Keystone QualityNonConformance 182,QNC000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da8e26ed96d056bbaae7777c8d9f8b97da8e26ed96d056bbaae7777c8d9f8b97
183,QNC000183,151,184,188,11,4,2,Granite QualityNonConformance 183,QNC000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,662971236d3b5a6bbf91ca6655f302aa662971236d3b5a6bbf91ca6655f302aa
184,QNC000184,154,185,207,10,2,7,Evergreen QualityNonConformance 184,QNC000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbe444150cd8512ebeaec849c0e484f9cbe444150cd8512ebeaec849c0e484f9
185,QNC000185,5,212,324,11,5,4,Ion QualityNonConformance 185,QNC000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c269f53f5c6a5b208b611b36323abdc8c269f53f5c6a5b208b611b36323abdc8
186,QNC000186,398,260,214,9,3,12,Zenith QualityNonConformance 186,QNC000186,1,264.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a0f1235b3a6554a942e54bad027ef107a0f1235b3a6554a942e54bad027ef10
187,QNC000187,-1,199,177,11,4,11,Northstar QualityNonConformance 187,QNC000187,1,266.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3de0fbc2c9e55ef838fb3883514ff69d3de0fbc2c9e55ef838fb3883514ff69
188,QNC000188,499,297,197,5,1,12,Unity QualityNonConformance 188,QNC000188,1,267.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45c4ef44ebc250f39ac7e80bb834d01b45c4ef44ebc250f39ac7e80bb834d01b
189,QNC000189,301,41,492,9,4,10,Willow QualityNonConformance 189,QNC000189,1,268.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60ca19312b6455968719f89b48531f7460ca19312b6455968719f89b48531f74
190,QNC000190,467,19,236,2,1,1,Summit QualityNonConformance 190,QNC000190,0,270.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0967fcc7bd395dbfbce3573ab6bec9d20967fcc7bd395dbfbce3573ab6bec9d2
191,QNC000191,229,36,165,4,4,7,Beacon QualityNonConformance 191,QNC000191,1,271.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dc5040fecc55d3ea897b823179f9ad97dc5040fecc55d3ea897b823179f9ad9
192,QNC000192,95,275,349,2,3,6,Delta QualityNonConformance 192,QNC000192,1,273.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b08279b3f7ac5032b510a16e01141cdcb08279b3f7ac5032b510a16e01141cdc
193,QNC000193,3,169,429,11,4,8,Delta QualityNonConformance 193,QNC000193,1,274.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad9a0089f8b95368a0ada1462f0da041ad9a0089f8b95368a0ada1462f0da041
