ServiceContractKey,ServiceContractNumber,CustomerKey,WarrantyTermKey,ServiceTerritoryKey,ServiceContractStatusKey,CurrencyKey,ServiceContractName,ContractValueAmount,ResponseTimeHours,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
103,SC000103,321,51,16,7,5,Vertex ServiceContract 103,151.1100,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbaa3d1d35cb5439b3c5708ac4bceaddbbaa3d1d35cb5439b3c5708ac4bceadd
104,SC000104,488,456,4,4,2,Pioneer ServiceContract 104,152.4800,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9443799dbdc05eedb226b7e899412ec59443799dbdc05eedb226b7e899412ec5
105,SC000105,248,318,437,4,2,Unity ServiceContract 105,153.8500,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c362d0e2e3b5c51b1f3e0c4448119277c362d0e2e3b5c51b1f3e0c444811927
106,SC000106,93,445,107,5,2,Pioneer ServiceContract 106,155.2200,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0eb5398981f95cbf9c8440875eda34a90eb5398981f95cbf9c8440875eda34a9
107,SC000107,183,152,316,1,3,Ion ServiceContract 107,156.5900,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64d3081565c75b6b9f2cd751363d61d864d3081565c75b6b9f2cd751363d61d8
108,SC000108,216,321,101,2,3,Cedar ServiceContract 108,157.9600,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2812b098483f5b488a43d83625af6bba2812b098483f5b488a43d83625af6bba
109,SC000109,325,361,109,2,5,Unity ServiceContract 109,159.3300,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35753469e40e58488cf22a0ea8d3a04a35753469e40e58488cf22a0ea8d3a04a
110,SC000110,104,132,249,2,5,Willow ServiceContract 110,160.7000,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2716a8ac31a45b178ac00990393fd5272716a8ac31a45b178ac00990393fd527
111,SC000111,73,423,243,2,3,Titan ServiceContract 111,162.0700,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0592098afca5d07be453b41a7ba7cd7f0592098afca5d07be453b41a7ba7cd7
112,SC000112,347,370,229,1,2,Unity ServiceContract 112,163.4400,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61426fea11ce54b7a66e3cc9f2ada10261426fea11ce54b7a66e3cc9f2ada102
113,SC000113,271,378,301,4,2,Beacon ServiceContract 113,164.8100,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a8641d8bde15f76b69ccfb0205c48dd4a8641d8bde15f76b69ccfb0205c48dd
114,SC000114,442,269,41,6,1,Summit ServiceContract 114,166.1800,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,041697f55e1a5573a2fadc44e452834d041697f55e1a5573a2fadc44e452834d
115,SC000115,220,323,461,2,4,Junction ServiceContract 115,167.5500,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d760bc87b50351dfa29c66debe403cddd760bc87b50351dfa29c66debe403cdd
116,SC000116,139,375,244,4,3,Orion ServiceContract 116,168.9200,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,740cd7d4263c58b1bf08478ddd684f51740cd7d4263c58b1bf08478ddd684f51
117,SC000117,233,144,453,3,2,Beacon ServiceContract 117,170.2900,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88a8cea31bbf5d3f82a29f14156ddf3888a8cea31bbf5d3f82a29f14156ddf38
118,SC000118,355,118,7,3,1,Willow ServiceContract 118,171.6600,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,556cb7c795e75c4f8b4c0394255116cb556cb7c795e75c4f8b4c0394255116cb
119,SC000119,423,388,282,4,4,Unity ServiceContract 119,173.0300,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2ee69b42d3e58b6ad64906877f9b604e2ee69b42d3e58b6ad64906877f9b604
120,SC000120,467,316,341,7,2,Ion ServiceContract 120,174.4000,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25d85b3b9d1f537d8c0a6ff31ee77fe025d85b3b9d1f537d8c0a6ff31ee77fe0
121,SC000121,31,258,423,1,2,Unity ServiceContract 121,175.7700,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4246fbfd18b6531eb9ecb21fa13900d94246fbfd18b6531eb9ecb21fa13900d9
122,SC000122,236,199,252,3,4,Unity ServiceContract 122,177.1400,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bc611c448ef5274a11dd35919ee63ae4bc611c448ef5274a11dd35919ee63ae
123,SC000123,249,379,46,5,4,Quartz ServiceContract 123,178.5100,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,745d3459effc5e09b63e948477073937745d3459effc5e09b63e948477073937
124,SC000124,391,77,286,5,1,Meridian ServiceContract 124,179.8800,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4303d036877a51189b55f22117a096604303d036877a51189b55f22117a09660
125,SC000125,67,312,268,7,1,Keystone ServiceContract 125,181.2500,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27d451821b125d1e8ea055676cc0fe6327d451821b125d1e8ea055676cc0fe63
126,SC000126,133,367,95,6,2,Northstar ServiceContract 126,182.6200,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63d5fb0d83e3519dba6aaa4c3fda0d4963d5fb0d83e3519dba6aaa4c3fda0d49
127,SC000127,205,327,388,5,5,Pioneer ServiceContract 127,183.9900,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72afa8284a025093891b3721ba22a0c572afa8284a025093891b3721ba22a0c5
128,SC000128,429,304,43,4,1,Summit ServiceContract 128,185.3600,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b653c9374509523888e3649956201cacb653c9374509523888e3649956201cac
129,SC000129,319,143,275,5,1,Orion ServiceContract 129,186.7300,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35f95413aee759e684fe3e0158b23f5335f95413aee759e684fe3e0158b23f53
130,SC000130,346,388,330,2,5,Willow ServiceContract 130,188.1000,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eddff018c7db5ca79598158c696eca07eddff018c7db5ca79598158c696eca07
131,SC000131,91,255,240,3,4,Cedar ServiceContract 131,189.4700,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a6e4a9ca0555462802eac847e0a5e246a6e4a9ca0555462802eac847e0a5e24
132,SC000132,211,138,32,3,5,Cedar ServiceContract 132,190.8400,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd6bcae6b8a85738b4dc03160fb7afb8cd6bcae6b8a85738b4dc03160fb7afb8
133,SC000133,207,387,460,2,1,Delta ServiceContract 133,192.2100,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de549f7097ef591e878bf64934965a86de549f7097ef591e878bf64934965a86
134,SC000134,388,89,244,5,2,Orion ServiceContract 134,193.5800,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b8f3db9206f51d092fab90910c6fa186b8f3db9206f51d092fab90910c6fa18
135,SC000135,40,77,366,7,2,Keystone ServiceContract 135,194.9500,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7185aa4fb1725030822eb3f2838046e27185aa4fb1725030822eb3f2838046e2
136,SC000136,22,132,49,6,2,Riverton ServiceContract 136,196.3200,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2914666da1215f4785ddaa6f4b2972ce2914666da1215f4785ddaa6f4b2972ce
137,SC000137,68,98,128,1,2,Delta ServiceContract 137,197.6900,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0094f04514c5339838d6404c55a5474c0094f04514c5339838d6404c55a5474
138,SC000138,81,357,159,7,4,Harbor ServiceContract 138,199.0600,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db8484972f0155c682703626fda4bd08db8484972f0155c682703626fda4bd08
139,SC000139,115,438,466,6,2,Harbor ServiceContract 139,200.4300,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da71717832545033860b08af7b0db98eda71717832545033860b08af7b0db98e
140,SC000140,2,173,83,2,1,Zenith ServiceContract 140,201.8000,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,940568c67cef58aabcfd5ebb9fcd2697940568c67cef58aabcfd5ebb9fcd2697
141,SC000141,1,326,388,5,1,Junction ServiceContract 141,203.1700,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7549c78f2dea5a078642e39121b7fd7f7549c78f2dea5a078642e39121b7fd7f
142,SC000142,400,475,206,1,3,Atlas ServiceContract 142,204.5400,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6349c2fd21a56488d7060d646613149f6349c2fd21a56488d7060d646613149
143,SC000143,122,68,390,6,5,Beacon ServiceContract 143,205.9100,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a21d5bee8d675da48847ac3ed6684170a21d5bee8d675da48847ac3ed6684170
144,SC000144,315,180,366,1,5,Cedar ServiceContract 144,207.2800,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40f8adf47dbd5c7aac4e9aed9701a51940f8adf47dbd5c7aac4e9aed9701a519
145,SC000145,162,190,223,6,4,Evergreen ServiceContract 145,208.6500,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13f8b4ee5dea51b290cda61ed94632f513f8b4ee5dea51b290cda61ed94632f5
146,SC000146,247,342,124,7,1,Riverton ServiceContract 146,210.0200,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc683c60521d519f8e89dcf0d852b9b3bc683c60521d519f8e89dcf0d852b9b3
147,SC000147,113,88,92,3,1,Keystone ServiceContract 147,211.3900,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1166962f149f5f2bba98f75d39acaed51166962f149f5f2bba98f75d39acaed5
148,SC000148,500,260,108,2,4,Northstar ServiceContract 148,212.7600,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d9f833c23415c8180a5b993a800982a3d9f833c23415c8180a5b993a800982a
149,SC000149,358,238,456,5,4,Summit ServiceContract 149,214.1300,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d51afd5de2d451f4a8aec4657523b807d51afd5de2d451f4a8aec4657523b807
150,SC000150,129,398,32,4,2,Harbor ServiceContract 150,215.5000,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f42e56b897659dd9b21033d91cab06c3f42e56b897659dd9b21033d91cab06c
151,SC000151,26,326,298,1,5,Riverton ServiceContract 151,216.8700,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2dec9cbcad8855a5928834d61067c0262dec9cbcad8855a5928834d61067c026
152,SC000152,348,366,466,3,2,Unity ServiceContract 152,218.2400,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96e4faf6b3c95b94a3156144a1d595f996e4faf6b3c95b94a3156144a1d595f9
153,SC000153,326,105,415,3,4,Liberty ServiceContract 153,219.6100,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,914724b498d455fab54dae3f827c3d3d914724b498d455fab54dae3f827c3d3d
154,SC000154,409,474,270,6,3,Northstar ServiceContract 154,220.9800,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1a47602f7a45218b8b2d50db935b6def1a47602f7a45218b8b2d50db935b6de
155,SC000155,386,454,214,3,5,Zenith ServiceContract 155,222.3500,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d1bf34f7aae5802829919869b5295f93d1bf34f7aae5802829919869b5295f9
156,SC000156,171,411,452,1,3,Zenith ServiceContract 156,223.7200,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67e229707fee567f9c650df7bbca93ee67e229707fee567f9c650df7bbca93ee
157,SC000157,28,160,191,1,2,Liberty ServiceContract 157,225.0900,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14a326b813cd5e23803f06f9679ffc1b14a326b813cd5e23803f06f9679ffc1b
158,SC000158,116,470,444,4,5,Quartz ServiceContract 158,226.4600,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8930b9c146985b548a06e75108d509268930b9c146985b548a06e75108d50926
159,SC000159,161,126,162,7,3,Riverton ServiceContract 159,227.8300,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddd3040e3253564f99037ad9ae0b6b6bddd3040e3253564f99037ad9ae0b6b6b
160,SC000160,249,491,340,3,3,Granite ServiceContract 160,229.2000,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e28ca499633653eeb54e8cd48a155cf5e28ca499633653eeb54e8cd48a155cf5
161,SC000161,217,264,225,2,2,Zenith ServiceContract 161,230.5700,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf5446deb93055e58339094f970ff78fbf5446deb93055e58339094f970ff78f
162,SC000162,128,10,386,6,2,Atlas ServiceContract 162,231.9400,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87511bd31acd583b8a5b5f504e7be3a687511bd31acd583b8a5b5f504e7be3a6
163,SC000163,314,43,233,7,5,Orion ServiceContract 163,233.3100,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df08bdd004ce5da0a79496f249c84643df08bdd004ce5da0a79496f249c84643
164,SC000164,153,108,287,6,5,Quartz ServiceContract 164,234.6800,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bc850ddcef75833863468fe13f694d35bc850ddcef75833863468fe13f694d3
165,SC000165,192,266,330,3,3,Liberty ServiceContract 165,236.0500,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cdc0ea7056f5ed186a8e1630785233a5cdc0ea7056f5ed186a8e1630785233a
166,SC000166,102,43,208,7,3,Ion ServiceContract 166,237.4200,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0202df605325f228864d1f5b5d20c42c0202df605325f228864d1f5b5d20c42
167,SC000167,367,98,224,6,2,Vertex ServiceContract 167,238.7900,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f646303539ae5312ba8167a9c90f9d82f646303539ae5312ba8167a9c90f9d82
168,SC000168,35,219,332,5,4,Atlas ServiceContract 168,240.1600,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd0d0e9b6d1451de95a8295ccd96a951bd0d0e9b6d1451de95a8295ccd96a951
169,SC000169,37,439,427,1,5,Liberty ServiceContract 169,241.5300,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b04e9175d375a88a12bc612e3e18bef6b04e9175d375a88a12bc612e3e18bef
170,SC000170,420,225,267,6,2,Beacon ServiceContract 170,242.9000,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b310b2cf8ae573bb53dec06b684d7af1b310b2cf8ae573bb53dec06b684d7af
171,SC000171,221,32,202,4,3,Willow ServiceContract 171,244.2700,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a066835438a25b6e95bb3ea6635f2b49a066835438a25b6e95bb3ea6635f2b49
172,SC000172,240,312,50,3,3,Titan ServiceContract 172,245.6400,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23f4fac9ca5d51098ad1ab7b3236bc0623f4fac9ca5d51098ad1ab7b3236bc06
173,SC000173,454,247,361,1,2,Cedar ServiceContract 173,247.0100,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,839ba058745c5985a1e7984bc4c28af0839ba058745c5985a1e7984bc4c28af0
174,SC000174,79,123,149,4,4,Northstar ServiceContract 174,248.3800,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,014c0dc267c65a03a4b7c91be918200f014c0dc267c65a03a4b7c91be918200f
175,SC000175,259,280,140,6,5,Forge ServiceContract 175,249.7500,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bff82948a73856a8b4269a2a6184e591bff82948a73856a8b4269a2a6184e591
176,SC000176,481,460,453,5,3,Willow ServiceContract 176,251.1200,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5299eb894fc5233917f43bbdf41aa00a5299eb894fc5233917f43bbdf41aa00
177,SC000177,321,148,247,4,2,Zenith ServiceContract 177,252.4900,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3b56a0b337d5113adc6a08bfd75e300f3b56a0b337d5113adc6a08bfd75e300
178,SC000178,155,160,289,7,1,Quartz ServiceContract 178,253.8600,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ff0ecb590935715919ec2b3e1613f468ff0ecb590935715919ec2b3e1613f46
179,SC000179,362,158,270,6,4,Meridian ServiceContract 179,255.2300,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e543b9354b1e55d4a854af45e170a106e543b9354b1e55d4a854af45e170a106
180,SC000180,203,358,135,3,1,Harbor ServiceContract 180,256.6000,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5113026426657a1856c72c112f66a02f5113026426657a1856c72c112f66a02
181,SC000181,47,75,311,2,3,Ion ServiceContract 181,257.9700,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bb9dac9ee4a5e5e9cb25b250e6dca8b0bb9dac9ee4a5e5e9cb25b250e6dca8b
182,SC000182,398,193,188,4,1,Orion ServiceContract 182,259.3400,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8aef39a526ff529eb493b8912dbdf7b38aef39a526ff529eb493b8912dbdf7b3
183,SC000183,179,389,124,4,4,Meridian ServiceContract 183,260.7100,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4c2ed331f0f55ba9ae461b5d4005bcac4c2ed331f0f55ba9ae461b5d4005bca
184,SC000184,15,443,364,3,1,Meridian ServiceContract 184,262.0800,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bf5774c75065bcbb711ba7c3923e6e23bf5774c75065bcbb711ba7c3923e6e2
185,SC000185,85,48,108,6,1,Junction ServiceContract 185,263.4500,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,071c491b959158c79de689b5b6dc4742071c491b959158c79de689b5b6dc4742
186,SC000186,5,119,266,1,3,Cedar ServiceContract 186,264.8200,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e6e0fa6db9d553eb33b5e0c15735d9f0e6e0fa6db9d553eb33b5e0c15735d9f
187,SC000187,337,328,337,6,5,Granite ServiceContract 187,266.1900,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b164771d1505bb9ae1e8af13de2fdd75b164771d1505bb9ae1e8af13de2fdd7
188,SC000188,208,223,242,7,4,Cedar ServiceContract 188,267.5600,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e2082ac0af95c10baf99c577909b6135e2082ac0af95c10baf99c577909b613
189,SC000189,76,221,226,7,2,Harbor ServiceContract 189,268.9300,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3f6b88d8aec580abbebf941d4931264e3f6b88d8aec580abbebf941d4931264
190,SC000190,479,324,174,7,4,Unity ServiceContract 190,270.3000,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d14081c6b6655a5697a8b57c95203b52d14081c6b6655a5697a8b57c95203b52
191,SC000191,80,266,22,3,5,Keystone ServiceContract 191,271.6700,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,684ce4bef4c85e8aacc00aaf0970b749684ce4bef4c85e8aacc00aaf0970b749
192,SC000192,232,269,250,4,1,Harbor ServiceContract 192,273.0400,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45685b6c0d45553e89c21857f595a25c45685b6c0d45553e89c21857f595a25c
193,SC000193,152,89,393,2,1,Liberty ServiceContract 193,274.4100,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a91324247be65ce18aef2d7c1065f858a91324247be65ce18aef2d7c1065f858
194,SC000194,319,336,345,4,2,Riverton ServiceContract 194,275.7800,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0a84a33d88e5be58a2422449fa314a0d0a84a33d88e5be58a2422449fa314a0
195,SC000195,348,393,486,2,3,Ion ServiceContract 195,277.1500,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cdaa095958f52dabb09c87fb81d52ee3cdaa095958f52dabb09c87fb81d52ee
196,SC000196,210,25,467,4,4,Delta ServiceContract 196,278.5200,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d30e46d24abb5a93acc32b26283ce4eed30e46d24abb5a93acc32b26283ce4ee
197,SC000197,8,100,216,5,3,Liberty ServiceContract 197,279.8900,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,615f8741fc1a57e896e93c29671f1c60615f8741fc1a57e896e93c29671f1c60
198,SC000198,82,459,325,4,5,Beacon ServiceContract 198,281.2600,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0195a962a6750729a5f954c0ac6b363c0195a962a6750729a5f954c0ac6b363
199,SC000199,332,399,392,3,2,Junction ServiceContract 199,282.6300,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939fd36e0af15316835d7a08e6622868939fd36e0af15316835d7a08e6622868
200,SC000200,51,384,158,1,1,Willow ServiceContract 200,284.0000,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4447ed629ead5122a99a004da0f466fe4447ed629ead5122a99a004da0f466fe
201,SC000201,37,325,454,1,5,Summit ServiceContract 201,285.3700,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5c94329c664553fa9733ee485312b0fc5c94329c664553fa9733ee485312b0f
202,SC000202,495,348,135,4,3,Forge ServiceContract 202,286.7400,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54b61c90673a559e99cc686dcfa725c154b61c90673a559e99cc686dcfa725c1
203,SC000203,204,174,210,3,5,Pioneer ServiceContract 203,288.1100,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,183ea430b10e5f139d9fe3be0a32985c183ea430b10e5f139d9fe3be0a32985c
204,SC000204,233,160,338,5,5,Titan ServiceContract 204,289.4800,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abb5edaf07b55d5097b30257a7e20624abb5edaf07b55d5097b30257a7e20624
205,SC000205,250,294,371,4,4,Evergreen ServiceContract 205,290.8500,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06284fc973245250a71e81d15149e62a06284fc973245250a71e81d15149e62a
206,SC000206,480,484,335,3,5,Delta ServiceContract 206,292.2200,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b19de8bfb6115039bfee97172a8e7bafb19de8bfb6115039bfee97172a8e7baf
207,SC000207,59,136,196,2,3,Willow ServiceContract 207,293.5900,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7a907d45db3509fb9e6aff1b27bc89aa7a907d45db3509fb9e6aff1b27bc89a
