SupplierCategoryKey,SupplierCategoryCode,PaymentTermKey,RecordStatusKey,SupplierCategoryName,SupplierCategoryDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
171,SC000171,3,1,Liberty SupplierCategory 171,SupplierCategory starter record 171,Morgan Singh,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,SC000172,8,3,Riverton SupplierCategory 172,SupplierCategory starter record 172,Riley Singh,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,SC000173,3,4,Evergreen SupplierCategory 173,SupplierCategory starter record 173,Alex Bennett,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,SC000174,11,3,Meridian SupplierCategory 174,SupplierCategory starter record 174,Harper Adams,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
175,SC000175,6,1,Titan SupplierCategory 175,SupplierCategory starter record 175,Riley Reed,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
176,SC000176,16,4,Evergreen SupplierCategory 176,SupplierCategory starter record 176,Blair Chen,2020-06-25,2021-06-25,1,1,1,2026-08-24T00:00:00.000
177,SC000177,2,2,Junction SupplierCategory 177,SupplierCategory starter record 177,Jordan Hughes,2020-06-26,2021-06-26,1,1,1,2026-08-24T00:00:00.000
178,SC000178,5,3,Northstar SupplierCategory 178,SupplierCategory starter record 178,Emerson Hughes,2020-06-27,2021-06-27,1,1,1,2026-08-24T00:00:00.000
179,SC000179,12,1,Riverton SupplierCategory 179,SupplierCategory starter record 179,Blair Hughes,2020-06-28,2021-06-28,1,1,1,2026-08-24T00:00:00.000
180,SC000180,12,4,Cedar SupplierCategory 180,SupplierCategory starter record 180,Blair Reed,2020-06-29,2021-06-29,0,1,1,2026-08-24T00:00:00.000
181,SC000181,13,2,Orion SupplierCategory 181,SupplierCategory starter record 181,Taylor Adams,2020-06-30,2021-06-30,1,1,1,2026-08-24T00:00:00.000
182,SC000182,10,4,Granite SupplierCategory 182,SupplierCategory starter record 182,Blair Evans,2020-07-01,2021-07-01,1,1,1,2026-08-24T00:00:00.000
183,SC000183,9,3,Zenith SupplierCategory 183,SupplierCategory starter record 183,Blair Evans,2020-07-02,2021-07-02,1,1,1,2026-08-24T00:00:00.000
184,SC000184,17,4,Forge SupplierCategory 184,SupplierCategory starter record 184,Harper Chen,2020-07-03,2021-07-03,1,1,1,2026-08-24T00:00:00.000
185,SC000185,17,4,Northstar SupplierCategory 185,SupplierCategory starter record 185,Quinn Diaz,2020-07-04,2021-07-04,0,1,1,2026-08-24T00:00:00.000
186,SC000186,1,4,Junction SupplierCategory 186,SupplierCategory starter record 186,Taylor Khan,2020-07-05,2021-07-05,1,1,1,2026-08-24T00:00:00.000
187,SC000187,1,4,Harbor SupplierCategory 187,SupplierCategory starter record 187,Blair Patel,2020-07-06,2021-07-06,1,1,1,2026-08-24T00:00:00.000
188,SC000188,3,4,Evergreen SupplierCategory 188,SupplierCategory starter record 188,Taylor Patel,2020-07-07,2021-07-07,1,1,1,2026-08-24T00:00:00.000
189,SC000189,9,3,Zenith SupplierCategory 189,SupplierCategory starter record 189,Emerson Patel,2020-07-08,2021-07-08,1,1,1,2026-08-24T00:00:00.000
190,SC000190,6,2,Quartz SupplierCategory 190,SupplierCategory starter record 190,Alex Reed,2020-07-09,2021-07-09,0,1,1,2026-08-24T00:00:00.000
191,SC000191,6,1,Ion SupplierCategory 191,SupplierCategory starter record 191,Quinn Reed,2020-07-10,2021-07-10,1,1,1,2026-08-24T00:00:00.000
192,SC000192,13,2,Cedar SupplierCategory 192,SupplierCategory starter record 192,Jordan Evans,2020-07-11,2021-07-11,1,1,1,2026-08-24T00:00:00.000
193,SC000193,14,1,Titan SupplierCategory 193,SupplierCategory starter record 193,Quinn Patel,2020-07-12,2021-07-12,1,1,1,2026-08-24T00:00:00.000
194,SC000194,2,2,Summit SupplierCategory 194,SupplierCategory starter record 194,Quinn Chen,2020-07-13,2021-07-13,1,1,1,2026-08-24T00:00:00.000
195,SC000195,14,1,Junction SupplierCategory 195,SupplierCategory starter record 195,Blair Diaz,2020-07-14,2021-07-14,0,1,1,2026-08-24T00:00:00.000
196,SC000196,12,3,Cedar SupplierCategory 196,SupplierCategory starter record 196,Morgan Bennett,2020-07-15,2021-07-15,1,1,1,2026-08-24T00:00:00.000
197,SC000197,14,4,Vertex SupplierCategory 197,SupplierCategory starter record 197,Taylor Singh,2020-07-16,2021-07-16,1,1,1,2026-08-24T00:00:00.000
198,SC000198,8,3,Junction SupplierCategory 198,SupplierCategory starter record 198,Harper Reed,2020-07-17,2021-07-17,1,1,1,2026-08-24T00:00:00.000
199,SC000199,2,3,Summit SupplierCategory 199,SupplierCategory starter record 199,Taylor Garcia,2020-07-18,2021-07-18,1,1,1,2026-08-24T00:00:00.000
200,SC000200,7,1,Unity SupplierCategory 200,SupplierCategory starter record 200,Casey Reed,2020-07-19,2021-07-19,0,1,1,2026-08-24T00:00:00.000
201,SC000201,5,1,Evergreen SupplierCategory 201,SupplierCategory starter record 201,Taylor Martin,2020-07-20,2021-07-20,1,1,1,2026-08-24T00:00:00.000
202,SC000202,16,2,Keystone SupplierCategory 202,SupplierCategory starter record 202,Harper Diaz,2020-07-21,2021-07-21,1,1,1,2026-08-24T00:00:00.000
203,SC000203,4,1,Beacon SupplierCategory 203,SupplierCategory starter record 203,Taylor Patel,2020-07-22,2021-07-22,1,1,1,2026-08-24T00:00:00.000
204,SC000204,6,1,Zenith SupplierCategory 204,SupplierCategory starter record 204,Emerson Khan,2020-07-23,2021-07-23,1,1,1,2026-08-24T00:00:00.000
205,SC000205,6,1,Zenith SupplierCategory 205,SupplierCategory starter record 205,Finley Patel,2020-07-24,2021-07-24,0,1,1,2026-08-24T00:00:00.000
206,SC000206,12,3,Zenith SupplierCategory 206,SupplierCategory starter record 206,Blair Khan,2020-07-25,2021-07-25,1,1,1,2026-08-24T00:00:00.000
207,SC000207,5,4,Zenith SupplierCategory 207,SupplierCategory starter record 207,Morgan Garcia,2020-07-26,2021-07-26,1,1,1,2026-08-24T00:00:00.000
208,SC000208,12,2,Willow SupplierCategory 208,SupplierCategory starter record 208,Blair Khan,2020-07-27,2021-07-27,1,1,1,2026-08-24T00:00:00.000
209,SC000209,11,3,Meridian SupplierCategory 209,SupplierCategory starter record 209,Finley Garcia,2020-07-28,2021-07-28,1,1,1,2026-08-24T00:00:00.000
210,SC000210,13,4,Cedar SupplierCategory 210,SupplierCategory starter record 210,Harper Evans,2020-07-29,2021-07-29,0,1,1,2026-08-24T00:00:00.000
211,SC000211,10,3,Unity SupplierCategory 211,SupplierCategory starter record 211,Blair Hughes,2020-07-30,2021-07-30,1,1,1,2026-08-24T00:00:00.000
212,SC000212,14,2,Pioneer SupplierCategory 212,SupplierCategory starter record 212,Morgan Hughes,2020-07-31,2021-07-31,1,1,1,2026-08-24T00:00:00.000
213,SC000213,7,4,Quartz SupplierCategory 213,SupplierCategory starter record 213,Riley Diaz,2020-08-01,2021-08-01,1,1,1,2026-08-24T00:00:00.000
214,SC000214,3,3,Pioneer SupplierCategory 214,SupplierCategory starter record 214,Taylor Hughes,2020-08-02,2021-08-02,1,1,1,2026-08-24T00:00:00.000
215,SC000215,14,3,Meridian SupplierCategory 215,SupplierCategory starter record 215,Morgan Hughes,2020-08-03,2021-08-03,0,1,1,2026-08-24T00:00:00.000
216,SC000216,4,3,Northstar SupplierCategory 216,SupplierCategory starter record 216,Harper Patel,2020-08-04,2021-08-04,1,1,1,2026-08-24T00:00:00.000
217,SC000217,12,2,Forge SupplierCategory 217,SupplierCategory starter record 217,Finley Singh,2020-08-05,2021-08-05,1,1,1,2026-08-24T00:00:00.000
218,SC000218,4,4,Evergreen SupplierCategory 218,SupplierCategory starter record 218,Emerson Patel,2020-08-06,2021-08-06,1,1,1,2026-08-24T00:00:00.000
219,SC000219,3,2,Granite SupplierCategory 219,SupplierCategory starter record 219,Emerson Garcia,2020-08-07,2021-08-07,1,1,1,2026-08-24T00:00:00.000
220,SC000220,14,1,Evergreen SupplierCategory 220,SupplierCategory starter record 220,Emerson Garcia,2020-08-08,2021-08-08,0,1,1,2026-08-24T00:00:00.000
221,SC000221,6,3,Pioneer SupplierCategory 221,SupplierCategory starter record 221,Casey Khan,2020-08-09,2021-08-09,1,1,1,2026-08-24T00:00:00.000
222,SC000222,5,4,Meridian SupplierCategory 222,SupplierCategory starter record 222,Jordan Khan,2020-08-10,2021-08-10,1,1,1,2026-08-24T00:00:00.000
223,SC000223,8,4,Delta SupplierCategory 223,SupplierCategory starter record 223,Riley Hughes,2020-08-11,2021-08-11,1,1,1,2026-08-24T00:00:00.000
224,SC000224,2,4,Beacon SupplierCategory 224,SupplierCategory starter record 224,Casey Hughes,2020-08-12,2021-08-12,1,1,1,2026-08-24T00:00:00.000
225,SC000225,9,4,Ion SupplierCategory 225,SupplierCategory starter record 225,Taylor Reed,2020-08-13,2021-08-13,0,1,1,2026-08-24T00:00:00.000
226,SC000226,12,4,Summit SupplierCategory 226,SupplierCategory starter record 226,Morgan Martin,2020-08-14,2021-08-14,1,1,1,2026-08-24T00:00:00.000
227,SC000227,7,3,Harbor SupplierCategory 227,SupplierCategory starter record 227,Taylor Diaz,2020-08-15,2021-08-15,1,1,1,2026-08-24T00:00:00.000
228,SC000228,2,2,Vertex SupplierCategory 228,SupplierCategory starter record 228,Morgan Patel,2020-08-16,2021-08-16,1,1,1,2026-08-24T00:00:00.000
229,SC000229,1,3,Northstar SupplierCategory 229,SupplierCategory starter record 229,Taylor Adams,2020-08-17,2021-08-17,1,1,1,2026-08-24T00:00:00.000
230,SC000230,4,1,Ion SupplierCategory 230,SupplierCategory starter record 230,Devon Evans,2020-08-18,2021-08-18,0,1,1,2026-08-24T00:00:00.000
231,SC000231,11,3,Titan SupplierCategory 231,SupplierCategory starter record 231,Harper Bennett,2020-08-19,2021-08-19,1,1,1,2026-08-24T00:00:00.000
232,SC000232,3,4,Keystone SupplierCategory 232,SupplierCategory starter record 232,Emerson Adams,2020-08-20,2021-08-20,1,1,1,2026-08-24T00:00:00.000
233,SC000233,2,3,Riverton SupplierCategory 233,SupplierCategory starter record 233,Casey Patel,2020-08-21,2021-08-21,1,1,1,2026-08-24T00:00:00.000
234,SC000234,7,1,Liberty SupplierCategory 234,SupplierCategory starter record 234,Jordan Martin,2020-08-22,2021-08-22,1,1,1,2026-08-24T00:00:00.000
235,SC000235,1,1,Willow SupplierCategory 235,SupplierCategory starter record 235,Jordan Diaz,2020-08-23,2021-08-23,0,1,1,2026-08-24T00:00:00.000
236,SC000236,15,2,Granite SupplierCategory 236,SupplierCategory starter record 236,Alex Chen,2020-08-24,2021-08-24,1,1,1,2026-08-24T00:00:00.000
237,SC000237,13,1,Atlas SupplierCategory 237,SupplierCategory starter record 237,Harper Bennett,2020-08-25,2021-08-25,1,1,1,2026-08-24T00:00:00.000
238,SC000238,11,3,Summit SupplierCategory 238,SupplierCategory starter record 238,Morgan Martin,2020-08-26,2021-08-26,1,1,1,2026-08-24T00:00:00.000
239,SC000239,14,2,Ion SupplierCategory 239,SupplierCategory starter record 239,Finley Evans,2020-08-27,2021-08-27,1,1,1,2026-08-24T00:00:00.000
240,SC000240,11,4,Orion SupplierCategory 240,SupplierCategory starter record 240,Devon Khan,2020-08-28,2021-08-28,0,1,1,2026-08-24T00:00:00.000
241,SC000241,5,3,Titan SupplierCategory 241,SupplierCategory starter record 241,Riley Diaz,2020-08-29,2021-08-29,1,1,1,2026-08-24T00:00:00.000
242,SC000242,13,1,Cedar SupplierCategory 242,SupplierCategory starter record 242,Casey Patel,2020-08-30,2021-08-30,1,1,1,2026-08-24T00:00:00.000
243,SC000243,18,2,Summit SupplierCategory 243,SupplierCategory starter record 243,Casey Adams,2020-08-31,2021-08-31,1,1,1,2026-08-24T00:00:00.000
244,SC000244,7,4,Summit SupplierCategory 244,SupplierCategory starter record 244,Devon Diaz,2020-09-01,2021-09-01,1,1,1,2026-08-24T00:00:00.000
245,SC000245,15,2,Cedar SupplierCategory 245,SupplierCategory starter record 245,Emerson Hughes,2020-09-02,2021-09-02,0,1,1,2026-08-24T00:00:00.000
246,SC000246,9,4,Orion SupplierCategory 246,SupplierCategory starter record 246,Riley Bennett,2020-09-03,2021-09-03,1,1,1,2026-08-24T00:00:00.000
247,SC000247,4,1,Zenith SupplierCategory 247,SupplierCategory starter record 247,Quinn Adams,2020-09-04,2021-09-04,1,1,1,2026-08-24T00:00:00.000
248,SC000248,16,3,Titan SupplierCategory 248,SupplierCategory starter record 248,Blair Garcia,2020-09-05,2021-09-05,1,1,1,2026-08-24T00:00:00.000
249,SC000249,17,4,Liberty SupplierCategory 249,SupplierCategory starter record 249,Harper Evans,2020-09-06,2021-09-06,1,1,1,2026-08-24T00:00:00.000
250,SC000250,18,4,Pioneer SupplierCategory 250,SupplierCategory starter record 250,Quinn Chen,2020-09-07,2021-09-07,0,1,1,2026-08-24T00:00:00.000
251,SC000251,18,3,Titan SupplierCategory 251,SupplierCategory starter record 251,Quinn Adams,2020-09-08,2021-09-08,1,1,1,2026-08-24T00:00:00.000
252,SC000252,8,4,Beacon SupplierCategory 252,SupplierCategory starter record 252,Alex Adams,2020-09-09,2021-09-09,1,1,1,2026-08-24T00:00:00.000
253,SC000253,2,1,Summit SupplierCategory 253,SupplierCategory starter record 253,Finley Evans,2020-09-10,2021-09-10,1,1,1,2026-08-24T00:00:00.000
254,SC000254,15,3,Keystone SupplierCategory 254,SupplierCategory starter record 254,Alex Patel,2020-09-11,2021-09-11,1,1,1,2026-08-24T00:00:00.000
255,SC000255,8,3,Beacon SupplierCategory 255,SupplierCategory starter record 255,Morgan Chen,2020-09-12,2021-09-12,0,1,1,2026-08-24T00:00:00.000
256,SC000256,1,2,Harbor SupplierCategory 256,SupplierCategory starter record 256,Jordan Evans,2020-09-13,2021-09-13,1,1,1,2026-08-24T00:00:00.000
257,SC000257,13,4,Riverton SupplierCategory 257,SupplierCategory starter record 257,Harper Martin,2020-09-14,2021-09-14,1,1,1,2026-08-24T00:00:00.000
258,SC000258,12,3,Junction SupplierCategory 258,SupplierCategory starter record 258,Harper Reed,2020-09-15,2021-09-15,1,1,1,2026-08-24T00:00:00.000
259,SC000259,2,1,Northstar SupplierCategory 259,SupplierCategory starter record 259,Jordan Chen,2020-09-16,2021-09-16,1,1,1,2026-08-24T00:00:00.000
260,SC000260,16,3,Delta SupplierCategory 260,SupplierCategory starter record 260,Devon Diaz,2020-09-17,2021-09-17,0,1,1,2026-08-24T00:00:00.000
261,SC000261,12,1,Atlas SupplierCategory 261,SupplierCategory starter record 261,Riley Martin,2020-09-18,2021-09-18,1,1,1,2026-08-24T00:00:00.000
262,SC000262,4,4,Meridian SupplierCategory 262,SupplierCategory starter record 262,Alex Martin,2020-09-19,2021-09-19,1,1,1,2026-08-24T00:00:00.000
263,SC000263,11,2,Cedar SupplierCategory 263,SupplierCategory starter record 263,Blair Diaz,2020-09-20,2021-09-20,1,1,1,2026-08-24T00:00:00.000
264,SC000264,14,4,Forge SupplierCategory 264,SupplierCategory starter record 264,Devon Martin,2020-09-21,2021-09-21,1,1,1,2026-08-24T00:00:00.000
265,SC000265,3,3,Atlas SupplierCategory 265,SupplierCategory starter record 265,Jordan Hughes,2020-09-22,2021-09-22,0,1,1,2026-08-24T00:00:00.000
266,SC000266,6,2,Quartz SupplierCategory 266,SupplierCategory starter record 266,Quinn Khan,2020-09-23,2021-09-23,1,1,1,2026-08-24T00:00:00.000
267,SC000267,2,4,Forge SupplierCategory 267,SupplierCategory starter record 267,Finley Patel,2020-09-24,2021-09-24,1,1,1,2026-08-24T00:00:00.000
268,SC000268,8,2,Willow SupplierCategory 268,SupplierCategory starter record 268,Quinn Reed,2020-09-25,2021-09-25,1,1,1,2026-08-24T00:00:00.000
269,SC000269,13,2,Quartz SupplierCategory 269,SupplierCategory starter record 269,Harper Evans,2020-09-26,2021-09-26,1,1,1,2026-08-24T00:00:00.000
270,SC000270,5,3,Keystone SupplierCategory 270,SupplierCategory starter record 270,Alex Hughes,2020-09-27,2021-09-27,0,1,1,2026-08-24T00:00:00.000
271,SC000271,9,3,Beacon SupplierCategory 271,SupplierCategory starter record 271,Morgan Adams,2020-09-28,2021-09-28,1,1,1,2026-08-24T00:00:00.000
272,SC000272,7,4,Pioneer SupplierCategory 272,SupplierCategory starter record 272,Finley Khan,2020-09-29,2021-09-29,1,1,1,2026-08-24T00:00:00.000
273,SC000273,17,4,Forge SupplierCategory 273,SupplierCategory starter record 273,Harper Bennett,2020-09-30,2021-09-30,1,1,1,2026-08-24T00:00:00.000
274,SC000274,8,1,Delta SupplierCategory 274,SupplierCategory starter record 274,Blair Reed,2020-10-01,2021-10-01,1,1,1,2026-08-24T00:00:00.000
275,SC000275,2,1,Summit SupplierCategory 275,SupplierCategory starter record 275,Alex Patel,2020-10-02,2021-10-02,0,1,1,2026-08-24T00:00:00.000
276,SC000276,2,3,Meridian SupplierCategory 276,SupplierCategory starter record 276,Taylor Reed,2020-10-03,2021-10-03,1,1,1,2026-08-24T00:00:00.000
277,SC000277,9,2,Cedar SupplierCategory 277,SupplierCategory starter record 277,Morgan Khan,2020-10-04,2021-10-04,1,1,1,2026-08-24T00:00:00.000
278,SC000278,18,4,Willow SupplierCategory 278,SupplierCategory starter record 278,Riley Singh,2020-10-05,2021-10-05,1,1,1,2026-08-24T00:00:00.000
279,SC000279,12,4,Quartz SupplierCategory 279,SupplierCategory starter record 279,Devon Martin,2020-10-06,2021-10-06,1,1,1,2026-08-24T00:00:00.000
280,SC000280,15,3,Junction SupplierCategory 280,SupplierCategory starter record 280,Finley Diaz,2020-10-07,2021-10-07,0,1,1,2026-08-24T00:00:00.000
281,SC000281,4,1,Meridian SupplierCategory 281,SupplierCategory starter record 281,Devon Chen,2020-10-08,2021-10-08,1,1,1,2026-08-24T00:00:00.000
282,SC000282,9,4,Vertex SupplierCategory 282,SupplierCategory starter record 282,Emerson Chen,2020-10-09,2021-10-09,1,1,1,2026-08-24T00:00:00.000
283,SC000283,17,2,Junction SupplierCategory 283,SupplierCategory starter record 283,Quinn Diaz,2020-10-10,2021-10-10,1,1,1,2026-08-24T00:00:00.000
284,SC000284,11,4,Summit SupplierCategory 284,SupplierCategory starter record 284,Emerson Reed,2020-10-11,2021-10-11,1,1,1,2026-08-24T00:00:00.000
285,SC000285,2,4,Orion SupplierCategory 285,SupplierCategory starter record 285,Quinn Evans,2020-10-12,2021-10-12,0,1,1,2026-08-24T00:00:00.000
286,SC000286,7,1,Liberty SupplierCategory 286,SupplierCategory starter record 286,Emerson Diaz,2020-10-13,2021-10-13,1,1,1,2026-08-24T00:00:00.000
287,SC000287,18,2,Granite SupplierCategory 287,SupplierCategory starter record 287,Casey Bennett,2020-10-14,2021-10-14,1,1,1,2026-08-24T00:00:00.000
288,SC000288,3,4,Northstar SupplierCategory 288,SupplierCategory starter record 288,Blair Singh,2020-10-15,2021-10-15,1,1,1,2026-08-24T00:00:00.000
289,SC000289,17,1,Summit SupplierCategory 289,SupplierCategory starter record 289,Taylor Diaz,2020-10-16,2021-10-16,1,1,1,2026-08-24T00:00:00.000
290,SC000290,1,2,Titan SupplierCategory 290,SupplierCategory starter record 290,Emerson Singh,2020-10-17,2021-10-17,0,1,1,2026-08-24T00:00:00.000
291,SC000291,4,3,Junction SupplierCategory 291,SupplierCategory starter record 291,Riley Evans,2020-10-18,2021-10-18,1,1,1,2026-08-24T00:00:00.000
292,SC000292,6,4,Junction SupplierCategory 292,SupplierCategory starter record 292,Blair Adams,2020-10-19,2021-10-19,1,1,1,2026-08-24T00:00:00.000
293,SC000293,16,4,Atlas SupplierCategory 293,SupplierCategory starter record 293,Alex Khan,2020-10-20,2021-10-20,1,1,1,2026-08-24T00:00:00.000
294,SC000294,18,4,Riverton SupplierCategory 294,SupplierCategory starter record 294,Morgan Khan,2020-10-21,2021-10-21,1,1,1,2026-08-24T00:00:00.000
295,SC000295,4,1,Junction SupplierCategory 295,SupplierCategory starter record 295,Riley Garcia,2020-10-22,2021-10-22,0,1,1,2026-08-24T00:00:00.000
296,SC000296,12,2,Meridian SupplierCategory 296,SupplierCategory starter record 296,Emerson Bennett,2020-10-23,2021-10-23,1,1,1,2026-08-24T00:00:00.000
297,SC000297,16,2,Harbor SupplierCategory 297,SupplierCategory starter record 297,Alex Chen,2020-10-24,2021-10-24,1,1,1,2026-08-24T00:00:00.000
298,SC000298,1,3,Keystone SupplierCategory 298,SupplierCategory starter record 298,Finley Khan,2020-10-25,2021-10-25,1,1,1,2026-08-24T00:00:00.000
299,SC000299,6,2,Atlas SupplierCategory 299,SupplierCategory starter record 299,Morgan Singh,2020-10-26,2021-10-26,1,1,1,2026-08-24T00:00:00.000
300,SC000300,4,4,Unity SupplierCategory 300,SupplierCategory starter record 300,Jordan Chen,2020-10-27,2021-10-27,0,1,1,2026-08-24T00:00:00.000
