OeeTargetProfileKey,OeeTargetProfileCode,MachineCapacityRatingKey,ProductKey,PlantKey,OeeCalculationMethodKey,OeeTargetProfileName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
98,OTP000098,178,260,35,6,Quartz OeeTargetProfile 98,OTP000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,518afdc8b8f85b8883520abd308a7176518afdc8b8f85b8883520abd308a7176
99,OTP000099,499,82,183,7,Beacon OeeTargetProfile 99,OTP000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd5ad85c4a1a591cba9f5caaec998bb7bd5ad85c4a1a591cba9f5caaec998bb7
100,OTP000100,11,378,278,1,Orion OeeTargetProfile 100,OTP000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98004147fe2252ab9b3a775262da190698004147fe2252ab9b3a775262da1906
101,OTP000101,33,74,132,6,Unity OeeTargetProfile 101,OTP000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df333cf565a952b68a04faa2d008ed7fdf333cf565a952b68a04faa2d008ed7f
102,OTP000102,293,-1,79,3,Northstar OeeTargetProfile 102,OTP000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7714489f52a15a8fab90b78e59fad3987714489f52a15a8fab90b78e59fad398
103,OTP000103,14,47,132,5,Keystone OeeTargetProfile 103,OTP000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86f26edc8f9f51f89eb37eb97446d8a686f26edc8f9f51f89eb37eb97446d8a6
104,OTP000104,201,471,11,8,Granite OeeTargetProfile 104,OTP000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec6f6f298adf5598bc848551a117bb93ec6f6f298adf5598bc848551a117bb93
105,OTP000105,307,155,286,3,Titan OeeTargetProfile 105,OTP000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e33a5a51db4f5951bac2bbe695466586e33a5a51db4f5951bac2bbe695466586
106,OTP000106,368,491,209,8,Orion OeeTargetProfile 106,OTP000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1a02fefdb775eb1922aca59f4f8c3c4d1a02fefdb775eb1922aca59f4f8c3c4
107,OTP000107,156,258,150,6,Atlas OeeTargetProfile 107,OTP000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca8dfa1b22545c1a91b55f918cec7753ca8dfa1b22545c1a91b55f918cec7753
108,OTP000108,126,370,245,6,Evergreen OeeTargetProfile 108,OTP000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3f2d07898c0533faf3489036928c51cf3f2d07898c0533faf3489036928c51c
109,OTP000109,104,273,7,7,Harbor OeeTargetProfile 109,OTP000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32c2933d56ac51b290ba486fadc8fa9d32c2933d56ac51b290ba486fadc8fa9d
110,OTP000110,103,291,129,1,Meridian OeeTargetProfile 110,OTP000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20b10bdc5684585b895deeffe60aa0d120b10bdc5684585b895deeffe60aa0d1
111,OTP000111,27,208,248,7,Northstar OeeTargetProfile 111,OTP000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f8039d5712758fe84fad86c489086553f8039d5712758fe84fad86c48908655
112,OTP000112,300,411,346,5,Ion OeeTargetProfile 112,OTP000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ff3efe5418b5ddf8481afe6aca2e99c7ff3efe5418b5ddf8481afe6aca2e99c
113,OTP000113,234,486,55,5,Harbor OeeTargetProfile 113,OTP000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,747a7f5b9a245a0a949a13fa7ac5eada747a7f5b9a245a0a949a13fa7ac5eada
114,OTP000114,239,37,94,4,Beacon OeeTargetProfile 114,OTP000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,beacb17b7af258bd864d250116844d6cbeacb17b7af258bd864d250116844d6c
115,OTP000115,40,228,60,9,Northstar OeeTargetProfile 115,OTP000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27b9793b69ea5cb7970cc209bf066aaa27b9793b69ea5cb7970cc209bf066aaa
116,OTP000116,149,385,107,2,Liberty OeeTargetProfile 116,OTP000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,150a56fde0db5986a041fd13ec73e5fc150a56fde0db5986a041fd13ec73e5fc
117,OTP000117,136,222,332,4,Northstar OeeTargetProfile 117,OTP000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,863767d6eaea585bb493f3b275f4ab03863767d6eaea585bb493f3b275f4ab03
118,OTP000118,243,109,231,10,Summit OeeTargetProfile 118,OTP000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce22fcce61a954d8927a2d438c4915e0ce22fcce61a954d8927a2d438c4915e0
119,OTP000119,335,-1,125,3,Delta OeeTargetProfile 119,OTP000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04e6dac328fe53c4a17555b13c0fa96304e6dac328fe53c4a17555b13c0fa963
120,OTP000120,134,397,82,3,Ion OeeTargetProfile 120,OTP000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca34e9c2e888581f9a4ffe2891a754e9ca34e9c2e888581f9a4ffe2891a754e9
121,OTP000121,69,108,34,1,Keystone OeeTargetProfile 121,OTP000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72d20360b5ed51e99692e76e0ea6caa072d20360b5ed51e99692e76e0ea6caa0
122,OTP000122,253,33,22,8,Liberty OeeTargetProfile 122,OTP000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29eaee0ec2ac5eadb4086d25d509eed429eaee0ec2ac5eadb4086d25d509eed4
123,OTP000123,154,475,180,3,Atlas OeeTargetProfile 123,OTP000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aeb12565050f50abb26747ad019d2ed7aeb12565050f50abb26747ad019d2ed7
124,OTP000124,422,395,194,3,Atlas OeeTargetProfile 124,OTP000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8755f20564195785bf311d0f28227b4d8755f20564195785bf311d0f28227b4d
125,OTP000125,241,430,122,1,Pioneer OeeTargetProfile 125,OTP000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,540d3330fa66511c80d0b16c19a30f7f540d3330fa66511c80d0b16c19a30f7f
126,OTP000126,468,428,75,9,Harbor OeeTargetProfile 126,OTP000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4ea065083f65086b00b851e256957d3c4ea065083f65086b00b851e256957d3
127,OTP000127,304,425,47,12,Pioneer OeeTargetProfile 127,OTP000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bea1333eced5e90baaa798fce8fad185bea1333eced5e90baaa798fce8fad18
128,OTP000128,10,464,217,6,Zenith OeeTargetProfile 128,OTP000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0c3eed23cdf5e5c862e3fcdaa708e9fe0c3eed23cdf5e5c862e3fcdaa708e9f
129,OTP000129,177,21,310,5,Pioneer OeeTargetProfile 129,OTP000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16acbc86c4725d55b330ce8a18ff54f416acbc86c4725d55b330ce8a18ff54f4
130,OTP000130,64,13,5,9,Northstar OeeTargetProfile 130,OTP000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,684776b359a559a7bd4d1c9852f4784f684776b359a559a7bd4d1c9852f4784f
131,OTP000131,266,266,338,2,Quartz OeeTargetProfile 131,OTP000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3049a60c872527cb84d4faf5e2340b6e3049a60c872527cb84d4faf5e2340b6
132,OTP000132,231,207,115,2,Keystone OeeTargetProfile 132,OTP000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16fcc143829f525385e9f5c339faecf116fcc143829f525385e9f5c339faecf1
133,OTP000133,108,82,214,11,Delta OeeTargetProfile 133,OTP000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1a3cd72fdc95a6d86aef5eb61e689dbf1a3cd72fdc95a6d86aef5eb61e689db
134,OTP000134,261,400,48,1,Titan OeeTargetProfile 134,OTP000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939779854d415d7f9a750a6645ea2f34939779854d415d7f9a750a6645ea2f34
135,OTP000135,381,11,208,8,Meridian OeeTargetProfile 135,OTP000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f62fcce26ae536a93a2f7a205d3f7194f62fcce26ae536a93a2f7a205d3f719
136,OTP000136,189,-1,139,8,Beacon OeeTargetProfile 136,OTP000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcb490e202ce57d0b164fa98151879ecfcb490e202ce57d0b164fa98151879ec
137,OTP000137,18,333,110,12,Beacon OeeTargetProfile 137,OTP000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,486c7ad748525d78b2f36c8cb9fba264486c7ad748525d78b2f36c8cb9fba264
138,OTP000138,275,63,226,10,Ion OeeTargetProfile 138,OTP000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25863211661756b5a3cabdc77272211425863211661756b5a3cabdc772722114
139,OTP000139,312,87,327,6,Zenith OeeTargetProfile 139,OTP000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c42cb0d94e1566ba74d9451608db84a3c42cb0d94e1566ba74d9451608db84a
140,OTP000140,69,390,290,12,Junction OeeTargetProfile 140,OTP000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7080660366c95f3eaea7ef08f83d21ed7080660366c95f3eaea7ef08f83d21ed
141,OTP000141,387,481,179,1,Vertex OeeTargetProfile 141,OTP000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63d8361f490554a9bded373684dee6f063d8361f490554a9bded373684dee6f0
142,OTP000142,108,236,38,1,Cedar OeeTargetProfile 142,OTP000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c74818afd88750959dc7336d05dfa29dc74818afd88750959dc7336d05dfa29d
143,OTP000143,373,233,140,2,Evergreen OeeTargetProfile 143,OTP000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56b822e0476d5c619bbac4959df0956456b822e0476d5c619bbac4959df09564
144,OTP000144,222,380,182,10,Atlas OeeTargetProfile 144,OTP000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f140b0da88245839a20417bcf0c1f396f140b0da88245839a20417bcf0c1f396
145,OTP000145,277,64,123,5,Evergreen OeeTargetProfile 145,OTP000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0e1f843539e5718984dd71253a9921ad0e1f843539e5718984dd71253a9921a
146,OTP000146,389,394,14,12,Atlas OeeTargetProfile 146,OTP000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,262f736a22045f0bb15a4bf325bdf710262f736a22045f0bb15a4bf325bdf710
147,OTP000147,92,193,169,9,Liberty OeeTargetProfile 147,OTP000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea5e7560ed6452dda5eadf85778543a4ea5e7560ed6452dda5eadf85778543a4
148,OTP000148,177,216,76,6,Harbor OeeTargetProfile 148,OTP000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f45e27d6c675fbdafebf0549dcae4ca8f45e27d6c675fbdafebf0549dcae4ca
149,OTP000149,154,111,85,2,Northstar OeeTargetProfile 149,OTP000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c802da36cba51b68aff5c188c7a4e6b0c802da36cba51b68aff5c188c7a4e6b
150,OTP000150,34,153,259,11,Meridian OeeTargetProfile 150,OTP000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b54259cf5445cabad2fa399601bff335b54259cf5445cabad2fa399601bff33
151,OTP000151,26,120,302,7,Summit OeeTargetProfile 151,OTP000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c85c2b8d33e51d5a0a094a5612347226c85c2b8d33e51d5a0a094a561234722
152,OTP000152,283,252,111,3,Forge OeeTargetProfile 152,OTP000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0aa22d7d238f57719fc5924b0211d4a80aa22d7d238f57719fc5924b0211d4a8
153,OTP000153,312,-1,136,8,Zenith OeeTargetProfile 153,OTP000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,726a08d7fe765439aa8665fcc3fee2cb726a08d7fe765439aa8665fcc3fee2cb
154,OTP000154,265,333,251,12,Harbor OeeTargetProfile 154,OTP000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d648c76e47650fd8a8fd204ef45e4ea8d648c76e47650fd8a8fd204ef45e4ea
155,OTP000155,339,339,84,7,Pioneer OeeTargetProfile 155,OTP000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66d81a0ac1cc5ae58a67804dc7209c7466d81a0ac1cc5ae58a67804dc7209c74
156,OTP000156,147,430,250,5,Keystone OeeTargetProfile 156,OTP000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fabbb10746995c1f8bde0aed8ca7055ffabbb10746995c1f8bde0aed8ca7055f
157,OTP000157,184,405,305,11,Ion OeeTargetProfile 157,OTP000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2db9781ab8045f2896c53bb7f89695dc2db9781ab8045f2896c53bb7f89695dc
158,OTP000158,4,178,191,2,Zenith OeeTargetProfile 158,OTP000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cc4638205d95c11a7bfff88a2621feb7cc4638205d95c11a7bfff88a2621feb
159,OTP000159,381,112,287,2,Liberty OeeTargetProfile 159,OTP000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1468c16a920f56b99f3b42f0d24359e71468c16a920f56b99f3b42f0d24359e7
160,OTP000160,497,222,162,5,Willow OeeTargetProfile 160,OTP000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4add58d1d4355719843b7289f856f9d74add58d1d4355719843b7289f856f9d7
161,OTP000161,194,10,294,1,Vertex OeeTargetProfile 161,OTP000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa58b41bb5315bf89753981178812725fa58b41bb5315bf89753981178812725
162,OTP000162,467,365,299,5,Titan OeeTargetProfile 162,OTP000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16d9f59927ab59429ad36e30b330e97416d9f59927ab59429ad36e30b330e974
163,OTP000163,48,51,240,7,Liberty OeeTargetProfile 163,OTP000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f48aa71e6aa35d518662e532f672f1d4f48aa71e6aa35d518662e532f672f1d4
164,OTP000164,296,310,26,3,Junction OeeTargetProfile 164,OTP000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd9152f738a05973b1b42b73e2b405e6cd9152f738a05973b1b42b73e2b405e6
165,OTP000165,362,197,125,12,Meridian OeeTargetProfile 165,OTP000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9fb7e9520c85a8f98f6e46497be6968b9fb7e9520c85a8f98f6e46497be6968
166,OTP000166,88,430,238,10,Ion OeeTargetProfile 166,OTP000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bc3bbdeb87a5341969324c1713f075d2bc3bbdeb87a5341969324c1713f075d
167,OTP000167,431,492,303,9,Willow OeeTargetProfile 167,OTP000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2f1ee3e4906504985b991f179ed230ec2f1ee3e4906504985b991f179ed230e
168,OTP000168,115,417,176,1,Summit OeeTargetProfile 168,OTP000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21665b4967cb5b97aef25417f863d9ae21665b4967cb5b97aef25417f863d9ae
169,OTP000169,155,194,221,10,Unity OeeTargetProfile 169,OTP000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9172f5b4692d513f8e32e0abfb374e909172f5b4692d513f8e32e0abfb374e90
170,OTP000170,172,-1,176,4,Atlas OeeTargetProfile 170,OTP000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc0379109952538d8de4d1f29c21e59fcc0379109952538d8de4d1f29c21e59f
171,OTP000171,491,76,265,7,Harbor OeeTargetProfile 171,OTP000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3dab1c77b62e5e89a08f31912a76528d3dab1c77b62e5e89a08f31912a76528d
172,OTP000172,120,34,221,5,Willow OeeTargetProfile 172,OTP000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f4c2f5d0f0051a3905384af8a27c5608f4c2f5d0f0051a3905384af8a27c560
173,OTP000173,343,297,38,5,Beacon OeeTargetProfile 173,OTP000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9fe3ad534dc592e8b9b649dea4a256fc9fe3ad534dc592e8b9b649dea4a256f
174,OTP000174,325,277,294,6,Riverton OeeTargetProfile 174,OTP000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67f37a1a5e7958f087fa4c98183bdd1e67f37a1a5e7958f087fa4c98183bdd1e
175,OTP000175,90,52,211,6,Delta OeeTargetProfile 175,OTP000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a54a223a8afd5810aa14c755cf9f5d8ba54a223a8afd5810aa14c755cf9f5d8b
176,OTP000176,422,185,152,3,Granite OeeTargetProfile 176,OTP000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e31caaeac425f188f713cbe94192ed47e31caaeac425f188f713cbe94192ed4
177,OTP000177,60,16,122,5,Delta OeeTargetProfile 177,OTP000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ec27b7d06e8542781405c6f60fa75522ec27b7d06e8542781405c6f60fa7552
178,OTP000178,293,25,275,1,Liberty OeeTargetProfile 178,OTP000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3af8f16d27925ba3a07bf92587355e223af8f16d27925ba3a07bf92587355e22
179,OTP000179,377,283,187,3,Willow OeeTargetProfile 179,OTP000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01c8b34e579656b485bf76ab7e05a14301c8b34e579656b485bf76ab7e05a143
180,OTP000180,335,216,269,2,Harbor OeeTargetProfile 180,OTP000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a789ddd553d57b382c9ac11ae60880d6a789ddd553d57b382c9ac11ae60880d
181,OTP000181,392,296,202,2,Quartz OeeTargetProfile 181,OTP000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5b88e71ae0d590db6d16e4b07e511cfd5b88e71ae0d590db6d16e4b07e511cf
182,OTP000182,160,398,225,11,Willow OeeTargetProfile 182,OTP000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2d01e2ba996534a9445c2f5824909d9d2d01e2ba996534a9445c2f5824909d9
183,OTP000183,473,179,269,6,Meridian OeeTargetProfile 183,OTP000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5935bdee210c5b928717fed0b5e34b835935bdee210c5b928717fed0b5e34b83
184,OTP000184,318,188,43,12,Atlas OeeTargetProfile 184,OTP000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b57b7c223b36508a9d4ce97c61b043feb57b7c223b36508a9d4ce97c61b043fe
185,OTP000185,435,353,228,9,Orion OeeTargetProfile 185,OTP000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c562c107c935312880f81883e56dd3a2c562c107c935312880f81883e56dd3a
186,OTP000186,285,222,258,8,Atlas OeeTargetProfile 186,OTP000186,1,264.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a6fcaf417685fd782464ac71c66222a8a6fcaf417685fd782464ac71c66222a
187,OTP000187,162,-1,288,10,Orion OeeTargetProfile 187,OTP000187,1,266.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec13d4856460514686b157d5d83cbd9dec13d4856460514686b157d5d83cbd9d
188,OTP000188,192,266,170,12,Riverton OeeTargetProfile 188,OTP000188,1,267.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a85048c399d5f6f8a2f6013715c2ccd3a85048c399d5f6f8a2f6013715c2ccd
189,OTP000189,368,132,231,2,Meridian OeeTargetProfile 189,OTP000189,1,268.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf14959c186859099ca947d6d8eb165fcf14959c186859099ca947d6d8eb165f
190,OTP000190,322,271,275,12,Summit OeeTargetProfile 190,OTP000190,0,270.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e91ef1d156cf5f47b20ca434c35009fee91ef1d156cf5f47b20ca434c35009fe
191,OTP000191,463,148,264,9,Summit OeeTargetProfile 191,OTP000191,1,271.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f15e41edfda5aa785d4ef386909251f6f15e41edfda5aa785d4ef386909251f
192,OTP000192,257,229,58,10,Atlas OeeTargetProfile 192,OTP000192,1,273.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65a71e75d79d5d5eb4bf4330279a856a65a71e75d79d5d5eb4bf4330279a856a
193,OTP000193,127,132,283,7,Summit OeeTargetProfile 193,OTP000193,1,274.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e6770fe1fad5df89409e011d867ce891e6770fe1fad5df89409e011d867ce89
194,OTP000194,193,47,39,10,Harbor OeeTargetProfile 194,OTP000194,1,275.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d95b234687551488ec122c5d6b07c144d95b234687551488ec122c5d6b07c14
195,OTP000195,114,30,107,11,Keystone OeeTargetProfile 195,OTP000195,0,277.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb30c08a5e2c505aa4b95f5ca3de84d7eb30c08a5e2c505aa4b95f5ca3de84d7
196,OTP000196,298,304,326,3,Ion OeeTargetProfile 196,OTP000196,1,278.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,616450c523f352a9b4d4a87898310400616450c523f352a9b4d4a87898310400
197,OTP000197,424,234,275,7,Riverton OeeTargetProfile 197,OTP000197,1,279.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3138222b06e9516cb7a6474a572401ac3138222b06e9516cb7a6474a572401ac
