SupplierKey,SupplierNumber,GeoPostalCodeKey,SupplierTierKey,SupplierCategoryKey,SupplierRiskClassKey,CurrencyKey,IncotermCodeKey,PaymentTermKey,SupplierQualificationStatusKey,RecordStatusKey,SupplierName,SupplierLegalName,AccountOpenedDate,TaxRegistrationNumber,DefaultCurrencyCode,DefaultIncotermCode,DefaultPaymentTermCode,MinorityOwnedFlag,QualityCertifiedFlag,OnTimeTargetPercent,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
79,S000079,334,8,66,9,1,1,3,5,3,Beacon Supplier 79,Riverton Supplier 79,2021-03-20,S000079,EUR,S000079,S000079,1,1,0.0079,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d35baa8984e5ca88d7facab1924398b9d35baa8984e5ca88d7facab1924398b
80,S000080,332,12,231,4,5,2,6,10,4,Forge Supplier 80,Orion Supplier 80,2021-03-21,S000080,GBP,S000080,S000080,0,0,0.0080,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bddfba7902705b0fa8a65222eb4e28c0bddfba7902705b0fa8a65222eb4e28c0
81,S000081,491,11,111,3,1,7,13,1,4,Delta Supplier 81,Willow Supplier 81,2021-03-22,S000081,CAD,S000081,S000081,1,1,0.0081,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c4e3d4e1cc45e8dbafc9bd78aa30e7a9c4e3d4e1cc45e8dbafc9bd78aa30e7a
82,S000082,81,6,226,4,4,14,17,8,3,Pioneer Supplier 82,Orion Supplier 82,2021-03-23,S000082,MXN,S000082,S000082,1,1,0.0082,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a891c752487d56bfaae28f58037a3ba3a891c752487d56bfaae28f58037a3ba3
83,S000083,258,14,245,2,4,3,16,5,2,Orion Supplier 83,Meridian Supplier 83,2021-03-24,S000083,JPY,S000083,S000083,1,1,0.0083,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe0a00354a57507185f1b79ed4924980fe0a00354a57507185f1b79ed4924980
84,S000084,362,11,205,9,3,5,11,4,4,Vertex Supplier 84,Delta Supplier 84,2021-03-25,S000084,USD,S000084,S000084,1,1,0.0084,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55df68c3b0435fc29a11dd0bd050071155df68c3b0435fc29a11dd0bd0500711
85,S000085,4,10,300,8,5,15,9,7,1,Atlas Supplier 85,Granite Supplier 85,2021-03-26,S000085,EUR,S000085,S000085,0,0,0.0085,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a04240ffd1005eda949346b900947123a04240ffd1005eda949346b900947123
86,S000086,148,17,56,4,1,5,6,9,4,Vertex Supplier 86,Riverton Supplier 86,2021-03-27,S000086,GBP,S000086,S000086,1,1,0.0086,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbd17a77ff5051f48473773cdf612d20bbd17a77ff5051f48473773cdf612d20
87,S000087,481,16,257,3,2,10,16,5,1,Riverton Supplier 87,Keystone Supplier 87,2021-03-28,S000087,CAD,S000087,S000087,1,1,0.0087,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5421d3dbbda57a48fd4509aa3812f33b5421d3dbbda57a48fd4509aa3812f33
88,S000088,380,6,171,6,3,15,11,1,1,Evergreen Supplier 88,Zenith Supplier 88,2021-03-29,S000088,MXN,S000088,S000088,1,1,0.0088,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f3251e00bef5c02995a224d04be0b6f5f3251e00bef5c02995a224d04be0b6f
89,S000089,75,7,117,1,5,1,6,9,1,Cedar Supplier 89,Forge Supplier 89,2021-03-30,S000089,JPY,S000089,S000089,1,1,0.0089,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb10e3ce596f59c1bd9c1bcfa5f33ae0cb10e3ce596f59c1bd9c1bcfa5f33ae0
90,S000090,196,7,276,11,4,13,8,4,3,Pioneer Supplier 90,Liberty Supplier 90,2021-03-31,S000090,USD,S000090,S000090,0,0,0.0090,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06163abd2e685da9a1068963febbdc1806163abd2e685da9a1068963febbdc18
91,S000091,125,14,161,1,2,1,14,5,3,Junction Supplier 91,Riverton Supplier 91,2021-04-01,S000091,EUR,S000091,S000091,1,1,0.0091,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3582011940b85084a9c4bad8e16a570b3582011940b85084a9c4bad8e16a570b
92,S000092,16,11,72,6,3,13,14,4,2,Junction Supplier 92,Pioneer Supplier 92,2021-04-02,S000092,GBP,S000092,S000092,1,1,0.0092,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b872e56b567513e9c0595ec36671d7e9b872e56b567513e9c0595ec36671d7e
93,S000093,28,8,2,1,3,4,10,7,3,Cedar Supplier 93,Unity Supplier 93,2021-04-03,S000093,CAD,S000093,S000093,1,1,0.0093,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83a8bdc160865fb88f31cb63b86a22f383a8bdc160865fb88f31cb63b86a22f3
94,S000094,35,15,200,5,2,15,8,5,4,Willow Supplier 94,Junction Supplier 94,2021-04-04,S000094,MXN,S000094,S000094,1,1,0.0094,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2f218cd3bda5b65bcffb2d8eed97340e2f218cd3bda5b65bcffb2d8eed97340
95,S000095,315,8,161,5,5,4,18,9,4,Ion Supplier 95,Delta Supplier 95,2021-04-05,S000095,JPY,S000095,S000095,0,0,0.0095,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e424e2c939825b9687a5063680b8012de424e2c939825b9687a5063680b8012d
96,S000096,447,11,24,10,3,5,1,1,3,Pioneer Supplier 96,Vertex Supplier 96,2021-04-06,S000096,USD,S000096,S000096,1,1,0.0096,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1eee573c601657e69cca1b82671b428e1eee573c601657e69cca1b82671b428e
97,S000097,112,7,200,8,3,14,11,9,2,Ion Supplier 97,Forge Supplier 97,2021-04-07,S000097,EUR,S000097,S000097,1,1,0.0097,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c108d9702a250bdb672f8637d3134c24c108d9702a250bdb672f8637d3134c2
98,S000098,141,18,206,2,3,3,13,9,1,Junction Supplier 98,Willow Supplier 98,2021-04-08,S000098,GBP,S000098,S000098,1,1,0.0098,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d186a6cd7e65c6a8b3f7f0335507d8e3d186a6cd7e65c6a8b3f7f0335507d8e
99,S000099,147,17,23,12,3,5,17,8,4,Titan Supplier 99,Willow Supplier 99,2021-04-09,S000099,CAD,S000099,S000099,1,1,0.0099,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bc75d124c9250818878b86994c466910bc75d124c9250818878b86994c46691
100,S000100,411,2,97,5,1,8,9,5,1,Ion Supplier 100,Summit Supplier 100,2021-04-10,S000100,MXN,S000100,S000100,0,0,0.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,354f8a767c3a5e9c8e4f3de9a24a3b78354f8a767c3a5e9c8e4f3de9a24a3b78
101,S000101,167,15,235,5,4,5,9,7,1,Northstar Supplier 101,Harbor Supplier 101,2021-04-11,S000101,JPY,S000101,S000101,1,1,0.0101,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56568b51956e54d4b61059ed241c108856568b51956e54d4b61059ed241c1088
102,S000102,196,5,210,10,5,5,4,10,2,Orion Supplier 102,Atlas Supplier 102,2021-04-12,S000102,USD,S000102,S000102,1,1,0.0102,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2001b4bf9f3a536297c18f5373e13f052001b4bf9f3a536297c18f5373e13f05
103,S000103,284,13,39,7,5,7,14,3,2,Junction Supplier 103,Atlas Supplier 103,2021-04-13,S000103,EUR,S000103,S000103,1,1,0.0103,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f43424539b635e91903cffa3ff676f3ef43424539b635e91903cffa3ff676f3e
104,S000104,412,15,279,8,1,8,12,6,1,Vertex Supplier 104,Beacon Supplier 104,2021-04-14,S000104,GBP,S000104,S000104,1,1,0.0104,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b98d5644bb0b5ec8be2c6fcefc3ed870b98d5644bb0b5ec8be2c6fcefc3ed870
105,S000105,35,15,117,8,1,4,5,10,3,Cedar Supplier 105,Orion Supplier 105,2021-04-15,S000105,CAD,S000105,S000105,0,0,0.0105,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f93af50c96c958679aefcdfcf7ee422ef93af50c96c958679aefcdfcf7ee422e
106,S000106,451,17,123,9,2,4,12,5,1,Harbor Supplier 106,Ion Supplier 106,2021-04-16,S000106,MXN,S000106,S000106,1,1,0.0106,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,012418551fa2501282427864aca4683b012418551fa2501282427864aca4683b
107,S000107,406,12,166,11,1,5,12,7,2,Northstar Supplier 107,Ion Supplier 107,2021-04-17,S000107,JPY,S000107,S000107,1,1,0.0107,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f0ee7c6428b5ba4900ddea8a74101688f0ee7c6428b5ba4900ddea8a7410168
108,S000108,203,7,131,3,2,3,8,5,2,Granite Supplier 108,Pioneer Supplier 108,2021-04-18,S000108,USD,S000108,S000108,1,1,0.0108,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c869a717a1951da8a69a7dafac7f32d0c869a717a1951da8a69a7dafac7f32d
109,S000109,331,7,96,8,5,4,8,5,3,Riverton Supplier 109,Vertex Supplier 109,2021-04-19,S000109,EUR,S000109,S000109,1,1,0.0109,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1723aebfc2365453b41d4262171334831723aebfc2365453b41d426217133483
110,S000110,128,13,272,4,3,15,15,5,1,Summit Supplier 110,Keystone Supplier 110,2021-04-20,S000110,GBP,S000110,S000110,0,0,0.0110,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,572461fe5ba55145aceb1fd11b755f5e572461fe5ba55145aceb1fd11b755f5e
111,S000111,365,17,18,6,5,3,16,6,4,Junction Supplier 111,Meridian Supplier 111,2021-04-21,S000111,CAD,S000111,S000111,1,1,0.0111,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd9ce0fcf4f35458928bf6a3636a0c00dd9ce0fcf4f35458928bf6a3636a0c00
112,S000112,194,19,60,10,2,7,9,5,1,Willow Supplier 112,Northstar Supplier 112,2021-04-22,S000112,MXN,S000112,S000112,1,1,0.0112,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,669402887d41555ca23d3ce8f7cf2802669402887d41555ca23d3ce8f7cf2802
113,S000113,330,14,119,7,3,3,18,9,1,Titan Supplier 113,Willow Supplier 113,2021-04-23,S000113,JPY,S000113,S000113,1,1,0.0113,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e73f32fb371a5bc19500b6cc453848dee73f32fb371a5bc19500b6cc453848de
114,S000114,247,6,71,4,4,8,10,6,3,Zenith Supplier 114,Ion Supplier 114,2021-04-24,S000114,USD,S000114,S000114,1,1,0.0114,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34ce0094e12b5e76ab8c52586d5334e134ce0094e12b5e76ab8c52586d5334e1
115,S000115,318,13,4,4,5,12,3,2,3,Riverton Supplier 115,Riverton Supplier 115,2021-04-25,S000115,EUR,S000115,S000115,0,0,0.0115,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c397c68f486a59bca72a546944f13218c397c68f486a59bca72a546944f13218
116,S000116,111,8,166,12,3,3,16,5,1,Delta Supplier 116,Unity Supplier 116,2021-04-26,S000116,GBP,S000116,S000116,1,1,0.0116,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,610b61de32475e01b7c194d39d6918f6610b61de32475e01b7c194d39d6918f6
117,S000117,103,14,214,1,5,2,11,6,3,Titan Supplier 117,Quartz Supplier 117,2021-04-27,S000117,CAD,S000117,S000117,1,1,0.0117,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed508cbe677257d88d1a2496e4a9c23ded508cbe677257d88d1a2496e4a9c23d
118,S000118,202,15,35,12,2,7,1,8,4,Forge Supplier 118,Junction Supplier 118,2021-04-28,S000118,MXN,S000118,S000118,1,1,0.0118,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f12a1989ceb0531aba02e85fdc06dd4ef12a1989ceb0531aba02e85fdc06dd4e
119,S000119,464,13,23,3,3,8,5,2,4,Delta Supplier 119,Granite Supplier 119,2021-04-29,S000119,JPY,S000119,S000119,1,1,0.0119,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c85b6a07f7cc595781fa48f55c6f3074c85b6a07f7cc595781fa48f55c6f3074
120,S000120,406,14,52,7,3,9,18,4,1,Atlas Supplier 120,Harbor Supplier 120,2021-04-30,S000120,USD,S000120,S000120,0,0,0.0120,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6093e74e3485f7c9a84ce91993fc046a6093e74e3485f7c9a84ce91993fc046
121,S000121,66,20,212,11,1,15,6,4,4,Vertex Supplier 121,Keystone Supplier 121,2021-05-01,S000121,EUR,S000121,S000121,1,1,0.0121,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6df4a1195a5952b8b09f93a04d2415676df4a1195a5952b8b09f93a04d241567
122,S000122,177,15,251,11,1,9,14,10,4,Vertex Supplier 122,Willow Supplier 122,2021-05-02,S000122,GBP,S000122,S000122,1,1,0.0122,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cde8afbd39d5e539ac706970e4cbab67cde8afbd39d5e539ac706970e4cbab6
123,S000123,226,1,194,1,2,9,11,5,3,Keystone Supplier 123,Delta Supplier 123,2021-05-03,S000123,CAD,S000123,S000123,1,1,0.0123,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30658bc5d7db5125b2464b6ab9b7689830658bc5d7db5125b2464b6ab9b76898
124,S000124,161,19,237,5,4,12,8,2,4,Evergreen Supplier 124,Beacon Supplier 124,2021-05-04,S000124,MXN,S000124,S000124,1,1,0.0124,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03add2b37def58dc8976af38c7b6496f03add2b37def58dc8976af38c7b6496f
125,S000125,439,3,92,9,1,4,7,7,4,Granite Supplier 125,Beacon Supplier 125,2021-05-05,S000125,JPY,S000125,S000125,0,0,0.0125,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b5170445cb0535387de898dd6124ac92b5170445cb0535387de898dd6124ac9
126,S000126,128,6,22,4,1,14,2,1,3,Orion Supplier 126,Evergreen Supplier 126,2021-05-06,S000126,USD,S000126,S000126,1,1,0.0126,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48a60c0e634053c7bab743e2d6cb827648a60c0e634053c7bab743e2d6cb8276
127,S000127,53,14,217,6,4,10,10,9,1,Junction Supplier 127,Beacon Supplier 127,2021-05-07,S000127,EUR,S000127,S000127,1,1,0.0127,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ca34b1434a450d9bf2bd0ce88e2ba1e8ca34b1434a450d9bf2bd0ce88e2ba1e
128,S000128,116,5,208,4,4,14,4,2,1,Cedar Supplier 128,Ion Supplier 128,2021-05-08,S000128,GBP,S000128,S000128,1,1,0.0128,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d78f7f28c395f4ea26c59d738f5af9b4d78f7f28c395f4ea26c59d738f5af9b
129,S000129,174,10,204,1,3,13,3,2,1,Summit Supplier 129,Meridian Supplier 129,2021-05-09,S000129,CAD,S000129,S000129,1,1,0.0129,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,589b4a2bdb265a7a87087799f6c78546589b4a2bdb265a7a87087799f6c78546
130,S000130,100,2,72,11,4,3,16,7,1,Quartz Supplier 130,Forge Supplier 130,2021-05-10,S000130,MXN,S000130,S000130,0,0,0.0130,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2a0d7ffd4405932b5bf81ff3d230ba0f2a0d7ffd4405932b5bf81ff3d230ba0
131,S000131,112,13,117,8,1,4,9,6,1,Zenith Supplier 131,Delta Supplier 131,2021-05-11,S000131,JPY,S000131,S000131,1,1,0.0131,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57f56c8dfaa75ed3bd5fa8f607601d6d57f56c8dfaa75ed3bd5fa8f607601d6d
132,S000132,393,8,200,12,2,16,14,2,3,Zenith Supplier 132,Riverton Supplier 132,2021-05-12,S000132,USD,S000132,S000132,1,1,0.0132,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0a30ddbe7c051ecae6c5b5e72cfe012b0a30ddbe7c051ecae6c5b5e72cfe012
133,S000133,489,10,167,10,5,15,8,2,3,Cedar Supplier 133,Cedar Supplier 133,2021-05-13,S000133,EUR,S000133,S000133,1,1,0.0133,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9ad387d4160508baf33d54011f0e2b0b9ad387d4160508baf33d54011f0e2b0
134,S000134,440,15,131,1,2,14,9,1,3,Zenith Supplier 134,Northstar Supplier 134,2021-05-14,S000134,GBP,S000134,S000134,1,1,0.0134,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3df0b8ca572a5806aa6e895c7aa3c1623df0b8ca572a5806aa6e895c7aa3c162
135,S000135,241,13,51,2,4,13,15,1,4,Vertex Supplier 135,Granite Supplier 135,2021-05-15,S000135,CAD,S000135,S000135,0,0,0.0135,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b239e8e5347f5654b7372964dbd3b757b239e8e5347f5654b7372964dbd3b757
136,S000136,153,19,182,5,5,16,3,1,3,Meridian Supplier 136,Liberty Supplier 136,2021-05-16,S000136,MXN,S000136,S000136,1,1,0.0136,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63f52cd12b5953a9a59f2ff37994ed6063f52cd12b5953a9a59f2ff37994ed60
137,S000137,74,12,34,2,1,12,2,4,4,Liberty Supplier 137,Cedar Supplier 137,2021-05-17,S000137,JPY,S000137,S000137,1,1,0.0137,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f679e7f073e5f2da8ce7f0fb384947e9f679e7f073e5f2da8ce7f0fb384947e
138,S000138,340,4,157,12,4,8,3,7,3,Junction Supplier 138,Zenith Supplier 138,2021-05-18,S000138,USD,S000138,S000138,1,1,0.0138,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15163398c95652b4b329c01b17690ee515163398c95652b4b329c01b17690ee5
139,S000139,95,8,168,6,5,11,2,8,3,Evergreen Supplier 139,Ion Supplier 139,2021-05-19,S000139,EUR,S000139,S000139,1,1,0.0139,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da4e25d424ad5d38948074b8dd9d8b67da4e25d424ad5d38948074b8dd9d8b67
140,S000140,388,15,137,11,2,1,5,9,1,Summit Supplier 140,Pioneer Supplier 140,2021-05-20,S000140,GBP,S000140,S000140,0,0,0.0140,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db37c1644afc5d77945246f81c847b0bdb37c1644afc5d77945246f81c847b0b
141,S000141,433,2,59,11,5,13,9,7,2,Vertex Supplier 141,Forge Supplier 141,2021-05-21,S000141,CAD,S000141,S000141,1,1,0.0141,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57ad4b4d859e5dc9b74ebb40cfe5049e57ad4b4d859e5dc9b74ebb40cfe5049e
142,S000142,288,7,274,3,2,14,7,4,4,Zenith Supplier 142,Delta Supplier 142,2021-05-22,S000142,MXN,S000142,S000142,1,1,0.0142,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ae04378afbe54ed9fd1477217f209e49ae04378afbe54ed9fd1477217f209e4
143,S000143,210,15,255,3,1,6,7,9,4,Quartz Supplier 143,Northstar Supplier 143,2021-05-23,S000143,JPY,S000143,S000143,1,1,0.0143,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36d2a759df5b562fa4d9bb6a9dca1e8736d2a759df5b562fa4d9bb6a9dca1e87
144,S000144,123,13,186,7,4,8,18,10,3,Northstar Supplier 144,Vertex Supplier 144,2021-05-24,S000144,USD,S000144,S000144,1,1,0.0144,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b90c010c9eb65fa9a19d6c099bdf7ceab90c010c9eb65fa9a19d6c099bdf7cea
145,S000145,7,5,163,6,5,6,16,6,1,Granite Supplier 145,Vertex Supplier 145,2021-05-25,S000145,EUR,S000145,S000145,0,0,0.0145,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,618326cfe08d573baa63ca35886ba4b2618326cfe08d573baa63ca35886ba4b2
146,S000146,470,16,163,12,2,3,13,10,4,Forge Supplier 146,Titan Supplier 146,2021-05-26,S000146,GBP,S000146,S000146,1,1,0.0146,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4d9b81ad89e5a8aaafd6a31fae95b47d4d9b81ad89e5a8aaafd6a31fae95b47
147,S000147,183,11,97,7,3,9,17,8,2,Riverton Supplier 147,Riverton Supplier 147,2021-05-27,S000147,CAD,S000147,S000147,1,1,0.0147,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6987a7c7ac775405aade29952b0672ed6987a7c7ac775405aade29952b0672ed
148,S000148,493,1,11,9,4,16,17,6,2,Zenith Supplier 148,Evergreen Supplier 148,2021-05-28,S000148,MXN,S000148,S000148,1,1,0.0148,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25310d223825556ea564d43d52cee48a25310d223825556ea564d43d52cee48a
149,S000149,222,12,28,1,3,15,2,3,2,Zenith Supplier 149,Zenith Supplier 149,2021-05-29,S000149,JPY,S000149,S000149,1,1,0.0149,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c188517236445e6ebe29c62ecd94f59ac188517236445e6ebe29c62ecd94f59a
150,S000150,393,5,163,11,5,12,11,9,1,Liberty Supplier 150,Titan Supplier 150,2021-05-30,S000150,USD,S000150,S000150,0,0,0.0150,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f4d1cb3f1d25d3bb93ecf7838aa1ccb0f4d1cb3f1d25d3bb93ecf7838aa1ccb
151,S000151,492,13,154,4,4,13,17,9,2,Keystone Supplier 151,Evergreen Supplier 151,2021-05-31,S000151,EUR,S000151,S000151,1,1,0.0151,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd1f1f52b703503795e7489632b11e99fd1f1f52b703503795e7489632b11e99
152,S000152,62,4,111,9,3,4,17,6,1,Forge Supplier 152,Unity Supplier 152,2021-06-01,S000152,GBP,S000152,S000152,1,1,0.0152,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f6f34ead9b2594ab7ae06e6da8e3c446f6f34ead9b2594ab7ae06e6da8e3c44
153,S000153,290,2,63,2,3,7,14,3,4,Titan Supplier 153,Atlas Supplier 153,2021-06-02,S000153,CAD,S000153,S000153,1,1,0.0153,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a085f662f4055fc6ba37b51634b242c9a085f662f4055fc6ba37b51634b242c9
154,S000154,105,18,107,7,5,16,13,8,2,Pioneer Supplier 154,Keystone Supplier 154,2021-06-03,S000154,MXN,S000154,S000154,1,1,0.0154,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d78feb235645d9a9780cf60fcbf8f715d78feb235645d9a9780cf60fcbf8f71
155,S000155,448,11,223,6,1,1,8,5,1,Atlas Supplier 155,Atlas Supplier 155,2021-06-04,S000155,JPY,S000155,S000155,0,0,0.0155,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,474c6d4cfd835c1db399f19bebe2ef10474c6d4cfd835c1db399f19bebe2ef10
156,S000156,198,5,130,3,2,12,15,1,1,Pioneer Supplier 156,Zenith Supplier 156,2021-06-05,S000156,USD,S000156,S000156,1,1,0.0156,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c20127720175a9694de0fbb11572aa51c20127720175a9694de0fbb11572aa5
157,S000157,246,17,65,2,3,2,13,2,4,Riverton Supplier 157,Delta Supplier 157,2021-06-06,S000157,EUR,S000157,S000157,1,1,0.0157,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4c7e866e2165556831ce07c5dcf5485e4c7e866e2165556831ce07c5dcf5485
158,S000158,497,20,256,10,1,3,1,6,3,Riverton Supplier 158,Summit Supplier 158,2021-06-07,S000158,GBP,S000158,S000158,1,1,0.0158,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,110c0e866d5c5695b0cbe62683bee3a3110c0e866d5c5695b0cbe62683bee3a3
