ProductionLotDispositionGroupKey,ProductionLotDispositionGroupCode,ProductionLotGradeKey,ProductionLotDispositionGroupName,SourceSystemKey,BatchId,LoadedAtUtc
279,PLDG000279,183,Vertex ProductionLotDispositionGroup 279,1,1,2026-08-24T00:00:00.000
280,PLDG000280,88,Riverton ProductionLotDispositionGroup 280,1,1,2026-08-24T00:00:00.000
281,PLDG000281,100,Granite ProductionLotDispositionGroup 281,1,1,2026-08-24T00:00:00.000
282,PLDG000282,52,Pioneer ProductionLotDispositionGroup 282,1,1,2026-08-24T00:00:00.000
283,PLDG000283,341,Willow ProductionLotDispositionGroup 283,1,1,2026-08-24T00:00:00.000
284,PLDG000284,283,Forge ProductionLotDispositionGroup 284,1,1,2026-08-24T00:00:00.000
285,PLDG000285,113,Meridian ProductionLotDispositionGroup 285,1,1,2026-08-24T00:00:00.000
286,PLDG000286,93,Keystone ProductionLotDispositionGroup 286,1,1,2026-08-24T00:00:00.000
287,PLDG000287,295,Granite ProductionLotDispositionGroup 287,1,1,2026-08-24T00:00:00.000
288,PLDG000288,96,Harbor ProductionLotDispositionGroup 288,1,1,2026-08-24T00:00:00.000
289,PLDG000289,302,Keystone ProductionLotDispositionGroup 289,1,1,2026-08-24T00:00:00.000
290,PLDG000290,61,Ion ProductionLotDispositionGroup 290,1,1,2026-08-24T00:00:00.000
291,PLDG000291,85,Unity ProductionLotDispositionGroup 291,1,1,2026-08-24T00:00:00.000
292,PLDG000292,101,Junction ProductionLotDispositionGroup 292,1,1,2026-08-24T00:00:00.000
293,PLDG000293,189,Keystone ProductionLotDispositionGroup 293,1,1,2026-08-24T00:00:00.000
294,PLDG000294,64,Atlas ProductionLotDispositionGroup 294,1,1,2026-08-24T00:00:00.000
295,PLDG000295,143,Granite ProductionLotDispositionGroup 295,1,1,2026-08-24T00:00:00.000
296,PLDG000296,153,Junction ProductionLotDispositionGroup 296,1,1,2026-08-24T00:00:00.000
297,PLDG000297,304,Granite ProductionLotDispositionGroup 297,1,1,2026-08-24T00:00:00.000
298,PLDG000298,21,Liberty ProductionLotDispositionGroup 298,1,1,2026-08-24T00:00:00.000
299,PLDG000299,353,Summit ProductionLotDispositionGroup 299,1,1,2026-08-24T00:00:00.000
300,PLDG000300,273,Meridian ProductionLotDispositionGroup 300,1,1,2026-08-24T00:00:00.000
301,PLDG000301,343,Granite ProductionLotDispositionGroup 301,1,1,2026-08-24T00:00:00.000
302,PLDG000302,53,Riverton ProductionLotDispositionGroup 302,1,1,2026-08-24T00:00:00.000
303,PLDG000303,192,Atlas ProductionLotDispositionGroup 303,1,1,2026-08-24T00:00:00.000
304,PLDG000304,324,Quartz ProductionLotDispositionGroup 304,1,1,2026-08-24T00:00:00.000
305,PLDG000305,118,Liberty ProductionLotDispositionGroup 305,1,1,2026-08-24T00:00:00.000
306,PLDG000306,230,Forge ProductionLotDispositionGroup 306,1,1,2026-08-24T00:00:00.000
307,PLDG000307,247,Beacon ProductionLotDispositionGroup 307,1,1,2026-08-24T00:00:00.000
308,PLDG000308,185,Ion ProductionLotDispositionGroup 308,1,1,2026-08-24T00:00:00.000
309,PLDG000309,173,Summit ProductionLotDispositionGroup 309,1,1,2026-08-24T00:00:00.000
310,PLDG000310,268,Zenith ProductionLotDispositionGroup 310,1,1,2026-08-24T00:00:00.000
311,PLDG000311,156,Granite ProductionLotDispositionGroup 311,1,1,2026-08-24T00:00:00.000
312,PLDG000312,201,Harbor ProductionLotDispositionGroup 312,1,1,2026-08-24T00:00:00.000
313,PLDG000313,131,Junction ProductionLotDispositionGroup 313,1,1,2026-08-24T00:00:00.000
314,PLDG000314,132,Keystone ProductionLotDispositionGroup 314,1,1,2026-08-24T00:00:00.000
315,PLDG000315,242,Liberty ProductionLotDispositionGroup 315,1,1,2026-08-24T00:00:00.000
316,PLDG000316,320,Unity ProductionLotDispositionGroup 316,1,1,2026-08-24T00:00:00.000
317,PLDG000317,132,Junction ProductionLotDispositionGroup 317,1,1,2026-08-24T00:00:00.000
318,PLDG000318,281,Beacon ProductionLotDispositionGroup 318,1,1,2026-08-24T00:00:00.000
319,PLDG000319,355,Harbor ProductionLotDispositionGroup 319,1,1,2026-08-24T00:00:00.000
320,PLDG000320,323,Harbor ProductionLotDispositionGroup 320,1,1,2026-08-24T00:00:00.000
321,PLDG000321,101,Forge ProductionLotDispositionGroup 321,1,1,2026-08-24T00:00:00.000
322,PLDG000322,279,Summit ProductionLotDispositionGroup 322,1,1,2026-08-24T00:00:00.000
323,PLDG000323,28,Cedar ProductionLotDispositionGroup 323,1,1,2026-08-24T00:00:00.000
324,PLDG000324,112,Willow ProductionLotDispositionGroup 324,1,1,2026-08-24T00:00:00.000
325,PLDG000325,78,Harbor ProductionLotDispositionGroup 325,1,1,2026-08-24T00:00:00.000
326,PLDG000326,319,Riverton ProductionLotDispositionGroup 326,1,1,2026-08-24T00:00:00.000
327,PLDG000327,353,Cedar ProductionLotDispositionGroup 327,1,1,2026-08-24T00:00:00.000
328,PLDG000328,282,Vertex ProductionLotDispositionGroup 328,1,1,2026-08-24T00:00:00.000
329,PLDG000329,163,Harbor ProductionLotDispositionGroup 329,1,1,2026-08-24T00:00:00.000
330,PLDG000330,61,Vertex ProductionLotDispositionGroup 330,1,1,2026-08-24T00:00:00.000
331,PLDG000331,33,Titan ProductionLotDispositionGroup 331,1,1,2026-08-24T00:00:00.000
332,PLDG000332,164,Vertex ProductionLotDispositionGroup 332,1,1,2026-08-24T00:00:00.000
333,PLDG000333,214,Pioneer ProductionLotDispositionGroup 333,1,1,2026-08-24T00:00:00.000
334,PLDG000334,10,Atlas ProductionLotDispositionGroup 334,1,1,2026-08-24T00:00:00.000
335,PLDG000335,8,Cedar ProductionLotDispositionGroup 335,1,1,2026-08-24T00:00:00.000
336,PLDG000336,132,Orion ProductionLotDispositionGroup 336,1,1,2026-08-24T00:00:00.000
337,PLDG000337,134,Titan ProductionLotDispositionGroup 337,1,1,2026-08-24T00:00:00.000
338,PLDG000338,355,Liberty ProductionLotDispositionGroup 338,1,1,2026-08-24T00:00:00.000
339,PLDG000339,328,Liberty ProductionLotDispositionGroup 339,1,1,2026-08-24T00:00:00.000
340,PLDG000340,264,Meridian ProductionLotDispositionGroup 340,1,1,2026-08-24T00:00:00.000
341,PLDG000341,357,Unity ProductionLotDispositionGroup 341,1,1,2026-08-24T00:00:00.000
342,PLDG000342,24,Vertex ProductionLotDispositionGroup 342,1,1,2026-08-24T00:00:00.000
343,PLDG000343,137,Evergreen ProductionLotDispositionGroup 343,1,1,2026-08-24T00:00:00.000
344,PLDG000344,237,Cedar ProductionLotDispositionGroup 344,1,1,2026-08-24T00:00:00.000
345,PLDG000345,230,Harbor ProductionLotDispositionGroup 345,1,1,2026-08-24T00:00:00.000
346,PLDG000346,71,Atlas ProductionLotDispositionGroup 346,1,1,2026-08-24T00:00:00.000
347,PLDG000347,134,Summit ProductionLotDispositionGroup 347,1,1,2026-08-24T00:00:00.000
348,PLDG000348,249,Granite ProductionLotDispositionGroup 348,1,1,2026-08-24T00:00:00.000
349,PLDG000349,179,Harbor ProductionLotDispositionGroup 349,1,1,2026-08-24T00:00:00.000
350,PLDG000350,72,Quartz ProductionLotDispositionGroup 350,1,1,2026-08-24T00:00:00.000
351,PLDG000351,196,Atlas ProductionLotDispositionGroup 351,1,1,2026-08-24T00:00:00.000
352,PLDG000352,185,Atlas ProductionLotDispositionGroup 352,1,1,2026-08-24T00:00:00.000
353,PLDG000353,239,Cedar ProductionLotDispositionGroup 353,1,1,2026-08-24T00:00:00.000
354,PLDG000354,244,Riverton ProductionLotDispositionGroup 354,1,1,2026-08-24T00:00:00.000
355,PLDG000355,42,Orion ProductionLotDispositionGroup 355,1,1,2026-08-24T00:00:00.000
356,PLDG000356,238,Cedar ProductionLotDispositionGroup 356,1,1,2026-08-24T00:00:00.000
357,PLDG000357,286,Atlas ProductionLotDispositionGroup 357,1,1,2026-08-24T00:00:00.000
358,PLDG000358,201,Orion ProductionLotDispositionGroup 358,1,1,2026-08-24T00:00:00.000
359,PLDG000359,173,Keystone ProductionLotDispositionGroup 359,1,1,2026-08-24T00:00:00.000
360,PLDG000360,344,Summit ProductionLotDispositionGroup 360,1,1,2026-08-24T00:00:00.000
361,PLDG000361,268,Junction ProductionLotDispositionGroup 361,1,1,2026-08-24T00:00:00.000
362,PLDG000362,67,Keystone ProductionLotDispositionGroup 362,1,1,2026-08-24T00:00:00.000
363,PLDG000363,303,Junction ProductionLotDispositionGroup 363,1,1,2026-08-24T00:00:00.000
364,PLDG000364,20,Vertex ProductionLotDispositionGroup 364,1,1,2026-08-24T00:00:00.000
365,PLDG000365,76,Zenith ProductionLotDispositionGroup 365,1,1,2026-08-24T00:00:00.000
366,PLDG000366,8,Ion ProductionLotDispositionGroup 366,1,1,2026-08-24T00:00:00.000
367,PLDG000367,97,Ion ProductionLotDispositionGroup 367,1,1,2026-08-24T00:00:00.000
368,PLDG000368,36,Titan ProductionLotDispositionGroup 368,1,1,2026-08-24T00:00:00.000
369,PLDG000369,66,Unity ProductionLotDispositionGroup 369,1,1,2026-08-24T00:00:00.000
370,PLDG000370,89,Titan ProductionLotDispositionGroup 370,1,1,2026-08-24T00:00:00.000
371,PLDG000371,292,Summit ProductionLotDispositionGroup 371,1,1,2026-08-24T00:00:00.000
372,PLDG000372,134,Harbor ProductionLotDispositionGroup 372,1,1,2026-08-24T00:00:00.000
373,PLDG000373,217,Unity ProductionLotDispositionGroup 373,1,1,2026-08-24T00:00:00.000
374,PLDG000374,3,Ion ProductionLotDispositionGroup 374,1,1,2026-08-24T00:00:00.000
375,PLDG000375,346,Titan ProductionLotDispositionGroup 375,1,1,2026-08-24T00:00:00.000
376,PLDG000376,127,Junction ProductionLotDispositionGroup 376,1,1,2026-08-24T00:00:00.000
377,PLDG000377,304,Forge ProductionLotDispositionGroup 377,1,1,2026-08-24T00:00:00.000
378,PLDG000378,267,Zenith ProductionLotDispositionGroup 378,1,1,2026-08-24T00:00:00.000
379,PLDG000379,133,Keystone ProductionLotDispositionGroup 379,1,1,2026-08-24T00:00:00.000
380,PLDG000380,55,Northstar ProductionLotDispositionGroup 380,1,1,2026-08-24T00:00:00.000
381,PLDG000381,258,Summit ProductionLotDispositionGroup 381,1,1,2026-08-24T00:00:00.000
382,PLDG000382,338,Junction ProductionLotDispositionGroup 382,1,1,2026-08-24T00:00:00.000
383,PLDG000383,67,Pioneer ProductionLotDispositionGroup 383,1,1,2026-08-24T00:00:00.000
384,PLDG000384,273,Orion ProductionLotDispositionGroup 384,1,1,2026-08-24T00:00:00.000
385,PLDG000385,222,Willow ProductionLotDispositionGroup 385,1,1,2026-08-24T00:00:00.000
386,PLDG000386,253,Titan ProductionLotDispositionGroup 386,1,1,2026-08-24T00:00:00.000
387,PLDG000387,248,Unity ProductionLotDispositionGroup 387,1,1,2026-08-24T00:00:00.000
388,PLDG000388,133,Delta ProductionLotDispositionGroup 388,1,1,2026-08-24T00:00:00.000
389,PLDG000389,108,Zenith ProductionLotDispositionGroup 389,1,1,2026-08-24T00:00:00.000
390,PLDG000390,41,Granite ProductionLotDispositionGroup 390,1,1,2026-08-24T00:00:00.000
391,PLDG000391,311,Cedar ProductionLotDispositionGroup 391,1,1,2026-08-24T00:00:00.000
392,PLDG000392,40,Meridian ProductionLotDispositionGroup 392,1,1,2026-08-24T00:00:00.000
393,PLDG000393,77,Pioneer ProductionLotDispositionGroup 393,1,1,2026-08-24T00:00:00.000
394,PLDG000394,234,Forge ProductionLotDispositionGroup 394,1,1,2026-08-24T00:00:00.000
395,PLDG000395,55,Vertex ProductionLotDispositionGroup 395,1,1,2026-08-24T00:00:00.000
396,PLDG000396,28,Granite ProductionLotDispositionGroup 396,1,1,2026-08-24T00:00:00.000
397,PLDG000397,125,Summit ProductionLotDispositionGroup 397,1,1,2026-08-24T00:00:00.000
398,PLDG000398,168,Ion ProductionLotDispositionGroup 398,1,1,2026-08-24T00:00:00.000
399,PLDG000399,20,Junction ProductionLotDispositionGroup 399,1,1,2026-08-24T00:00:00.000
400,PLDG000400,336,Riverton ProductionLotDispositionGroup 400,1,1,2026-08-24T00:00:00.000
401,PLDG000401,52,Liberty ProductionLotDispositionGroup 401,1,1,2026-08-24T00:00:00.000
402,PLDG000402,2,Willow ProductionLotDispositionGroup 402,1,1,2026-08-24T00:00:00.000
403,PLDG000403,265,Keystone ProductionLotDispositionGroup 403,1,1,2026-08-24T00:00:00.000
404,PLDG000404,327,Pioneer ProductionLotDispositionGroup 404,1,1,2026-08-24T00:00:00.000
405,PLDG000405,110,Meridian ProductionLotDispositionGroup 405,1,1,2026-08-24T00:00:00.000
406,PLDG000406,250,Keystone ProductionLotDispositionGroup 406,1,1,2026-08-24T00:00:00.000
407,PLDG000407,260,Atlas ProductionLotDispositionGroup 407,1,1,2026-08-24T00:00:00.000
408,PLDG000408,309,Ion ProductionLotDispositionGroup 408,1,1,2026-08-24T00:00:00.000
409,PLDG000409,272,Forge ProductionLotDispositionGroup 409,1,1,2026-08-24T00:00:00.000
410,PLDG000410,320,Northstar ProductionLotDispositionGroup 410,1,1,2026-08-24T00:00:00.000
411,PLDG000411,18,Vertex ProductionLotDispositionGroup 411,1,1,2026-08-24T00:00:00.000
412,PLDG000412,19,Orion ProductionLotDispositionGroup 412,1,1,2026-08-24T00:00:00.000
413,PLDG000413,328,Quartz ProductionLotDispositionGroup 413,1,1,2026-08-24T00:00:00.000
414,PLDG000414,100,Northstar ProductionLotDispositionGroup 414,1,1,2026-08-24T00:00:00.000
415,PLDG000415,143,Orion ProductionLotDispositionGroup 415,1,1,2026-08-24T00:00:00.000
416,PLDG000416,271,Cedar ProductionLotDispositionGroup 416,1,1,2026-08-24T00:00:00.000
417,PLDG000417,83,Beacon ProductionLotDispositionGroup 417,1,1,2026-08-24T00:00:00.000
418,PLDG000418,291,Titan ProductionLotDispositionGroup 418,1,1,2026-08-24T00:00:00.000
419,PLDG000419,70,Keystone ProductionLotDispositionGroup 419,1,1,2026-08-24T00:00:00.000
420,PLDG000420,314,Riverton ProductionLotDispositionGroup 420,1,1,2026-08-24T00:00:00.000
421,PLDG000421,10,Summit ProductionLotDispositionGroup 421,1,1,2026-08-24T00:00:00.000
422,PLDG000422,246,Northstar ProductionLotDispositionGroup 422,1,1,2026-08-24T00:00:00.000
423,PLDG000423,164,Atlas ProductionLotDispositionGroup 423,1,1,2026-08-24T00:00:00.000
424,PLDG000424,101,Junction ProductionLotDispositionGroup 424,1,1,2026-08-24T00:00:00.000
425,PLDG000425,198,Keystone ProductionLotDispositionGroup 425,1,1,2026-08-24T00:00:00.000
426,PLDG000426,137,Keystone ProductionLotDispositionGroup 426,1,1,2026-08-24T00:00:00.000
427,PLDG000427,359,Liberty ProductionLotDispositionGroup 427,1,1,2026-08-24T00:00:00.000
428,PLDG000428,120,Harbor ProductionLotDispositionGroup 428,1,1,2026-08-24T00:00:00.000
429,PLDG000429,7,Atlas ProductionLotDispositionGroup 429,1,1,2026-08-24T00:00:00.000
430,PLDG000430,8,Cedar ProductionLotDispositionGroup 430,1,1,2026-08-24T00:00:00.000
431,PLDG000431,195,Cedar ProductionLotDispositionGroup 431,1,1,2026-08-24T00:00:00.000
432,PLDG000432,209,Granite ProductionLotDispositionGroup 432,1,1,2026-08-24T00:00:00.000
433,PLDG000433,18,Delta ProductionLotDispositionGroup 433,1,1,2026-08-24T00:00:00.000
434,PLDG000434,270,Unity ProductionLotDispositionGroup 434,1,1,2026-08-24T00:00:00.000
435,PLDG000435,210,Harbor ProductionLotDispositionGroup 435,1,1,2026-08-24T00:00:00.000
436,PLDG000436,276,Harbor ProductionLotDispositionGroup 436,1,1,2026-08-24T00:00:00.000
437,PLDG000437,152,Vertex ProductionLotDispositionGroup 437,1,1,2026-08-24T00:00:00.000
438,PLDG000438,312,Granite ProductionLotDispositionGroup 438,1,1,2026-08-24T00:00:00.000
439,PLDG000439,295,Pioneer ProductionLotDispositionGroup 439,1,1,2026-08-24T00:00:00.000
440,PLDG000440,251,Harbor ProductionLotDispositionGroup 440,1,1,2026-08-24T00:00:00.000
441,PLDG000441,232,Summit ProductionLotDispositionGroup 441,1,1,2026-08-24T00:00:00.000
442,PLDG000442,346,Atlas ProductionLotDispositionGroup 442,1,1,2026-08-24T00:00:00.000
443,PLDG000443,206,Summit ProductionLotDispositionGroup 443,1,1,2026-08-24T00:00:00.000
444,PLDG000444,324,Cedar ProductionLotDispositionGroup 444,1,1,2026-08-24T00:00:00.000
445,PLDG000445,216,Harbor ProductionLotDispositionGroup 445,1,1,2026-08-24T00:00:00.000
446,PLDG000446,224,Granite ProductionLotDispositionGroup 446,1,1,2026-08-24T00:00:00.000
447,PLDG000447,100,Vertex ProductionLotDispositionGroup 447,1,1,2026-08-24T00:00:00.000
448,PLDG000448,85,Keystone ProductionLotDispositionGroup 448,1,1,2026-08-24T00:00:00.000
449,PLDG000449,301,Titan ProductionLotDispositionGroup 449,1,1,2026-08-24T00:00:00.000
450,PLDG000450,99,Liberty ProductionLotDispositionGroup 450,1,1,2026-08-24T00:00:00.000
451,PLDG000451,332,Keystone ProductionLotDispositionGroup 451,1,1,2026-08-24T00:00:00.000
452,PLDG000452,342,Northstar ProductionLotDispositionGroup 452,1,1,2026-08-24T00:00:00.000
453,PLDG000453,17,Vertex ProductionLotDispositionGroup 453,1,1,2026-08-24T00:00:00.000
454,PLDG000454,169,Beacon ProductionLotDispositionGroup 454,1,1,2026-08-24T00:00:00.000
455,PLDG000455,47,Delta ProductionLotDispositionGroup 455,1,1,2026-08-24T00:00:00.000
456,PLDG000456,70,Riverton ProductionLotDispositionGroup 456,1,1,2026-08-24T00:00:00.000
457,PLDG000457,31,Zenith ProductionLotDispositionGroup 457,1,1,2026-08-24T00:00:00.000
458,PLDG000458,234,Summit ProductionLotDispositionGroup 458,1,1,2026-08-24T00:00:00.000
459,PLDG000459,93,Pioneer ProductionLotDispositionGroup 459,1,1,2026-08-24T00:00:00.000
460,PLDG000460,50,Beacon ProductionLotDispositionGroup 460,1,1,2026-08-24T00:00:00.000
461,PLDG000461,274,Orion ProductionLotDispositionGroup 461,1,1,2026-08-24T00:00:00.000
462,PLDG000462,341,Junction ProductionLotDispositionGroup 462,1,1,2026-08-24T00:00:00.000
463,PLDG000463,165,Meridian ProductionLotDispositionGroup 463,1,1,2026-08-24T00:00:00.000
464,PLDG000464,294,Ion ProductionLotDispositionGroup 464,1,1,2026-08-24T00:00:00.000
465,PLDG000465,4,Beacon ProductionLotDispositionGroup 465,1,1,2026-08-24T00:00:00.000
466,PLDG000466,179,Vertex ProductionLotDispositionGroup 466,1,1,2026-08-24T00:00:00.000
467,PLDG000467,174,Delta ProductionLotDispositionGroup 467,1,1,2026-08-24T00:00:00.000
468,PLDG000468,282,Beacon ProductionLotDispositionGroup 468,1,1,2026-08-24T00:00:00.000
469,PLDG000469,304,Junction ProductionLotDispositionGroup 469,1,1,2026-08-24T00:00:00.000
470,PLDG000470,331,Unity ProductionLotDispositionGroup 470,1,1,2026-08-24T00:00:00.000
471,PLDG000471,266,Atlas ProductionLotDispositionGroup 471,1,1,2026-08-24T00:00:00.000
472,PLDG000472,215,Zenith ProductionLotDispositionGroup 472,1,1,2026-08-24T00:00:00.000
473,PLDG000473,61,Willow ProductionLotDispositionGroup 473,1,1,2026-08-24T00:00:00.000
474,PLDG000474,157,Pioneer ProductionLotDispositionGroup 474,1,1,2026-08-24T00:00:00.000
475,PLDG000475,122,Harbor ProductionLotDispositionGroup 475,1,1,2026-08-24T00:00:00.000
476,PLDG000476,266,Quartz ProductionLotDispositionGroup 476,1,1,2026-08-24T00:00:00.000
477,PLDG000477,169,Beacon ProductionLotDispositionGroup 477,1,1,2026-08-24T00:00:00.000
478,PLDG000478,313,Forge ProductionLotDispositionGroup 478,1,1,2026-08-24T00:00:00.000
479,PLDG000479,112,Junction ProductionLotDispositionGroup 479,1,1,2026-08-24T00:00:00.000
480,PLDG000480,134,Cedar ProductionLotDispositionGroup 480,1,1,2026-08-24T00:00:00.000
481,PLDG000481,120,Riverton ProductionLotDispositionGroup 481,1,1,2026-08-24T00:00:00.000
482,PLDG000482,292,Titan ProductionLotDispositionGroup 482,1,1,2026-08-24T00:00:00.000
483,PLDG000483,64,Summit ProductionLotDispositionGroup 483,1,1,2026-08-24T00:00:00.000
484,PLDG000484,248,Unity ProductionLotDispositionGroup 484,1,1,2026-08-24T00:00:00.000
485,PLDG000485,102,Atlas ProductionLotDispositionGroup 485,1,1,2026-08-24T00:00:00.000
486,PLDG000486,236,Riverton ProductionLotDispositionGroup 486,1,1,2026-08-24T00:00:00.000
487,PLDG000487,250,Keystone ProductionLotDispositionGroup 487,1,1,2026-08-24T00:00:00.000
488,PLDG000488,153,Riverton ProductionLotDispositionGroup 488,1,1,2026-08-24T00:00:00.000
489,PLDG000489,285,Evergreen ProductionLotDispositionGroup 489,1,1,2026-08-24T00:00:00.000
490,PLDG000490,24,Harbor ProductionLotDispositionGroup 490,1,1,2026-08-24T00:00:00.000
491,PLDG000491,118,Riverton ProductionLotDispositionGroup 491,1,1,2026-08-24T00:00:00.000
492,PLDG000492,123,Atlas ProductionLotDispositionGroup 492,1,1,2026-08-24T00:00:00.000
493,PLDG000493,345,Unity ProductionLotDispositionGroup 493,1,1,2026-08-24T00:00:00.000
494,PLDG000494,219,Beacon ProductionLotDispositionGroup 494,1,1,2026-08-24T00:00:00.000
495,PLDG000495,10,Atlas ProductionLotDispositionGroup 495,1,1,2026-08-24T00:00:00.000
496,PLDG000496,57,Evergreen ProductionLotDispositionGroup 496,1,1,2026-08-24T00:00:00.000
497,PLDG000497,12,Meridian ProductionLotDispositionGroup 497,1,1,2026-08-24T00:00:00.000
498,PLDG000498,129,Keystone ProductionLotDispositionGroup 498,1,1,2026-08-24T00:00:00.000
499,PLDG000499,4,Harbor ProductionLotDispositionGroup 499,1,1,2026-08-24T00:00:00.000
500,PLDG000500,274,Junction ProductionLotDispositionGroup 500,1,1,2026-08-24T00:00:00.000
