RoutingOperationTypeKey,RoutingOperationTypeCode,RoutingOperationClassKey,RoutingOperationTypeName,SourceSystemKey,BatchId,LoadedAtUtc
316,ROT000316,52,Willow RoutingOperationType 316,1,1,2026-08-24T00:00:00.000
317,ROT000317,133,Cedar RoutingOperationType 317,1,1,2026-08-24T00:00:00.000
318,ROT000318,17,Granite RoutingOperationType 318,1,1,2026-08-24T00:00:00.000
319,ROT000319,190,Keystone RoutingOperationType 319,1,1,2026-08-24T00:00:00.000
320,ROT000320,183,Keystone RoutingOperationType 320,1,1,2026-08-24T00:00:00.000
321,ROT000321,244,Unity RoutingOperationType 321,1,1,2026-08-24T00:00:00.000
322,ROT000322,157,Meridian RoutingOperationType 322,1,1,2026-08-24T00:00:00.000
323,ROT000323,29,Evergreen RoutingOperationType 323,1,1,2026-08-24T00:00:00.000
324,ROT000324,26,Keystone RoutingOperationType 324,1,1,2026-08-24T00:00:00.000
325,ROT000325,203,Meridian RoutingOperationType 325,1,1,2026-08-24T00:00:00.000
326,ROT000326,167,Vertex RoutingOperationType 326,1,1,2026-08-24T00:00:00.000
327,ROT000327,193,Willow RoutingOperationType 327,1,1,2026-08-24T00:00:00.000
328,ROT000328,24,Forge RoutingOperationType 328,1,1,2026-08-24T00:00:00.000
329,ROT000329,11,Harbor RoutingOperationType 329,1,1,2026-08-24T00:00:00.000
330,ROT000330,112,Northstar RoutingOperationType 330,1,1,2026-08-24T00:00:00.000
331,ROT000331,143,Titan RoutingOperationType 331,1,1,2026-08-24T00:00:00.000
332,ROT000332,189,Vertex RoutingOperationType 332,1,1,2026-08-24T00:00:00.000
333,ROT000333,16,Meridian RoutingOperationType 333,1,1,2026-08-24T00:00:00.000
334,ROT000334,178,Evergreen RoutingOperationType 334,1,1,2026-08-24T00:00:00.000
335,ROT000335,163,Liberty RoutingOperationType 335,1,1,2026-08-24T00:00:00.000
336,ROT000336,259,Liberty RoutingOperationType 336,1,1,2026-08-24T00:00:00.000
337,ROT000337,208,Meridian RoutingOperationType 337,1,1,2026-08-24T00:00:00.000
338,ROT000338,73,Meridian RoutingOperationType 338,1,1,2026-08-24T00:00:00.000
339,ROT000339,258,Quartz RoutingOperationType 339,1,1,2026-08-24T00:00:00.000
340,ROT000340,107,Northstar RoutingOperationType 340,1,1,2026-08-24T00:00:00.000
341,ROT000341,224,Ion RoutingOperationType 341,1,1,2026-08-24T00:00:00.000
342,ROT000342,148,Titan RoutingOperationType 342,1,1,2026-08-24T00:00:00.000
343,ROT000343,217,Unity RoutingOperationType 343,1,1,2026-08-24T00:00:00.000
344,ROT000344,123,Evergreen RoutingOperationType 344,1,1,2026-08-24T00:00:00.000
345,ROT000345,112,Willow RoutingOperationType 345,1,1,2026-08-24T00:00:00.000
346,ROT000346,95,Junction RoutingOperationType 346,1,1,2026-08-24T00:00:00.000
347,ROT000347,249,Titan RoutingOperationType 347,1,1,2026-08-24T00:00:00.000
348,ROT000348,209,Titan RoutingOperationType 348,1,1,2026-08-24T00:00:00.000
349,ROT000349,139,Liberty RoutingOperationType 349,1,1,2026-08-24T00:00:00.000
350,ROT000350,101,Forge RoutingOperationType 350,1,1,2026-08-24T00:00:00.000
351,ROT000351,220,Cedar RoutingOperationType 351,1,1,2026-08-24T00:00:00.000
352,ROT000352,31,Orion RoutingOperationType 352,1,1,2026-08-24T00:00:00.000
353,ROT000353,157,Unity RoutingOperationType 353,1,1,2026-08-24T00:00:00.000
354,ROT000354,246,Ion RoutingOperationType 354,1,1,2026-08-24T00:00:00.000
355,ROT000355,174,Summit RoutingOperationType 355,1,1,2026-08-24T00:00:00.000
356,ROT000356,36,Riverton RoutingOperationType 356,1,1,2026-08-24T00:00:00.000
357,ROT000357,155,Northstar RoutingOperationType 357,1,1,2026-08-24T00:00:00.000
358,ROT000358,15,Keystone RoutingOperationType 358,1,1,2026-08-24T00:00:00.000
359,ROT000359,61,Liberty RoutingOperationType 359,1,1,2026-08-24T00:00:00.000
360,ROT000360,116,Harbor RoutingOperationType 360,1,1,2026-08-24T00:00:00.000
361,ROT000361,215,Atlas RoutingOperationType 361,1,1,2026-08-24T00:00:00.000
362,ROT000362,130,Granite RoutingOperationType 362,1,1,2026-08-24T00:00:00.000
363,ROT000363,173,Willow RoutingOperationType 363,1,1,2026-08-24T00:00:00.000
364,ROT000364,149,Forge RoutingOperationType 364,1,1,2026-08-24T00:00:00.000
365,ROT000365,144,Granite RoutingOperationType 365,1,1,2026-08-24T00:00:00.000
366,ROT000366,85,Harbor RoutingOperationType 366,1,1,2026-08-24T00:00:00.000
367,ROT000367,147,Willow RoutingOperationType 367,1,1,2026-08-24T00:00:00.000
368,ROT000368,125,Vertex RoutingOperationType 368,1,1,2026-08-24T00:00:00.000
369,ROT000369,240,Keystone RoutingOperationType 369,1,1,2026-08-24T00:00:00.000
370,ROT000370,148,Northstar RoutingOperationType 370,1,1,2026-08-24T00:00:00.000
371,ROT000371,198,Keystone RoutingOperationType 371,1,1,2026-08-24T00:00:00.000
372,ROT000372,30,Northstar RoutingOperationType 372,1,1,2026-08-24T00:00:00.000
373,ROT000373,6,Pioneer RoutingOperationType 373,1,1,2026-08-24T00:00:00.000
374,ROT000374,108,Riverton RoutingOperationType 374,1,1,2026-08-24T00:00:00.000
375,ROT000375,48,Forge RoutingOperationType 375,1,1,2026-08-24T00:00:00.000
376,ROT000376,255,Summit RoutingOperationType 376,1,1,2026-08-24T00:00:00.000
377,ROT000377,135,Riverton RoutingOperationType 377,1,1,2026-08-24T00:00:00.000
378,ROT000378,237,Pioneer RoutingOperationType 378,1,1,2026-08-24T00:00:00.000
379,ROT000379,218,Riverton RoutingOperationType 379,1,1,2026-08-24T00:00:00.000
380,ROT000380,98,Keystone RoutingOperationType 380,1,1,2026-08-24T00:00:00.000
381,ROT000381,178,Titan RoutingOperationType 381,1,1,2026-08-24T00:00:00.000
382,ROT000382,153,Ion RoutingOperationType 382,1,1,2026-08-24T00:00:00.000
383,ROT000383,97,Summit RoutingOperationType 383,1,1,2026-08-24T00:00:00.000
384,ROT000384,180,Evergreen RoutingOperationType 384,1,1,2026-08-24T00:00:00.000
385,ROT000385,95,Quartz RoutingOperationType 385,1,1,2026-08-24T00:00:00.000
386,ROT000386,158,Pioneer RoutingOperationType 386,1,1,2026-08-24T00:00:00.000
387,ROT000387,222,Titan RoutingOperationType 387,1,1,2026-08-24T00:00:00.000
388,ROT000388,82,Summit RoutingOperationType 388,1,1,2026-08-24T00:00:00.000
389,ROT000389,210,Delta RoutingOperationType 389,1,1,2026-08-24T00:00:00.000
390,ROT000390,220,Orion RoutingOperationType 390,1,1,2026-08-24T00:00:00.000
391,ROT000391,162,Keystone RoutingOperationType 391,1,1,2026-08-24T00:00:00.000
392,ROT000392,259,Orion RoutingOperationType 392,1,1,2026-08-24T00:00:00.000
393,ROT000393,43,Quartz RoutingOperationType 393,1,1,2026-08-24T00:00:00.000
394,ROT000394,16,Willow RoutingOperationType 394,1,1,2026-08-24T00:00:00.000
395,ROT000395,130,Quartz RoutingOperationType 395,1,1,2026-08-24T00:00:00.000
396,ROT000396,136,Liberty RoutingOperationType 396,1,1,2026-08-24T00:00:00.000
397,ROT000397,219,Pioneer RoutingOperationType 397,1,1,2026-08-24T00:00:00.000
398,ROT000398,168,Willow RoutingOperationType 398,1,1,2026-08-24T00:00:00.000
399,ROT000399,172,Beacon RoutingOperationType 399,1,1,2026-08-24T00:00:00.000
400,ROT000400,145,Quartz RoutingOperationType 400,1,1,2026-08-24T00:00:00.000
401,ROT000401,11,Vertex RoutingOperationType 401,1,1,2026-08-24T00:00:00.000
402,ROT000402,167,Cedar RoutingOperationType 402,1,1,2026-08-24T00:00:00.000
403,ROT000403,202,Ion RoutingOperationType 403,1,1,2026-08-24T00:00:00.000
404,ROT000404,158,Meridian RoutingOperationType 404,1,1,2026-08-24T00:00:00.000
405,ROT000405,255,Willow RoutingOperationType 405,1,1,2026-08-24T00:00:00.000
406,ROT000406,13,Zenith RoutingOperationType 406,1,1,2026-08-24T00:00:00.000
407,ROT000407,110,Harbor RoutingOperationType 407,1,1,2026-08-24T00:00:00.000
408,ROT000408,80,Cedar RoutingOperationType 408,1,1,2026-08-24T00:00:00.000
409,ROT000409,26,Orion RoutingOperationType 409,1,1,2026-08-24T00:00:00.000
410,ROT000410,121,Beacon RoutingOperationType 410,1,1,2026-08-24T00:00:00.000
411,ROT000411,54,Granite RoutingOperationType 411,1,1,2026-08-24T00:00:00.000
412,ROT000412,251,Forge RoutingOperationType 412,1,1,2026-08-24T00:00:00.000
413,ROT000413,111,Atlas RoutingOperationType 413,1,1,2026-08-24T00:00:00.000
414,ROT000414,108,Cedar RoutingOperationType 414,1,1,2026-08-24T00:00:00.000
415,ROT000415,120,Liberty RoutingOperationType 415,1,1,2026-08-24T00:00:00.000
416,ROT000416,88,Quartz RoutingOperationType 416,1,1,2026-08-24T00:00:00.000
417,ROT000417,50,Liberty RoutingOperationType 417,1,1,2026-08-24T00:00:00.000
418,ROT000418,112,Titan RoutingOperationType 418,1,1,2026-08-24T00:00:00.000
419,ROT000419,217,Zenith RoutingOperationType 419,1,1,2026-08-24T00:00:00.000
420,ROT000420,177,Quartz RoutingOperationType 420,1,1,2026-08-24T00:00:00.000
421,ROT000421,19,Delta RoutingOperationType 421,1,1,2026-08-24T00:00:00.000
422,ROT000422,142,Liberty RoutingOperationType 422,1,1,2026-08-24T00:00:00.000
423,ROT000423,143,Pioneer RoutingOperationType 423,1,1,2026-08-24T00:00:00.000
424,ROT000424,33,Granite RoutingOperationType 424,1,1,2026-08-24T00:00:00.000
425,ROT000425,98,Harbor RoutingOperationType 425,1,1,2026-08-24T00:00:00.000
426,ROT000426,80,Pioneer RoutingOperationType 426,1,1,2026-08-24T00:00:00.000
427,ROT000427,42,Delta RoutingOperationType 427,1,1,2026-08-24T00:00:00.000
428,ROT000428,215,Northstar RoutingOperationType 428,1,1,2026-08-24T00:00:00.000
429,ROT000429,181,Summit RoutingOperationType 429,1,1,2026-08-24T00:00:00.000
430,ROT000430,129,Zenith RoutingOperationType 430,1,1,2026-08-24T00:00:00.000
431,ROT000431,114,Forge RoutingOperationType 431,1,1,2026-08-24T00:00:00.000
432,ROT000432,2,Evergreen RoutingOperationType 432,1,1,2026-08-24T00:00:00.000
433,ROT000433,216,Riverton RoutingOperationType 433,1,1,2026-08-24T00:00:00.000
434,ROT000434,205,Harbor RoutingOperationType 434,1,1,2026-08-24T00:00:00.000
435,ROT000435,20,Meridian RoutingOperationType 435,1,1,2026-08-24T00:00:00.000
436,ROT000436,21,Riverton RoutingOperationType 436,1,1,2026-08-24T00:00:00.000
437,ROT000437,8,Granite RoutingOperationType 437,1,1,2026-08-24T00:00:00.000
438,ROT000438,45,Meridian RoutingOperationType 438,1,1,2026-08-24T00:00:00.000
439,ROT000439,204,Willow RoutingOperationType 439,1,1,2026-08-24T00:00:00.000
440,ROT000440,92,Pioneer RoutingOperationType 440,1,1,2026-08-24T00:00:00.000
441,ROT000441,181,Keystone RoutingOperationType 441,1,1,2026-08-24T00:00:00.000
442,ROT000442,163,Zenith RoutingOperationType 442,1,1,2026-08-24T00:00:00.000
443,ROT000443,94,Harbor RoutingOperationType 443,1,1,2026-08-24T00:00:00.000
444,ROT000444,88,Northstar RoutingOperationType 444,1,1,2026-08-24T00:00:00.000
445,ROT000445,195,Orion RoutingOperationType 445,1,1,2026-08-24T00:00:00.000
446,ROT000446,140,Zenith RoutingOperationType 446,1,1,2026-08-24T00:00:00.000
447,ROT000447,51,Unity RoutingOperationType 447,1,1,2026-08-24T00:00:00.000
448,ROT000448,178,Riverton RoutingOperationType 448,1,1,2026-08-24T00:00:00.000
449,ROT000449,243,Harbor RoutingOperationType 449,1,1,2026-08-24T00:00:00.000
450,ROT000450,253,Beacon RoutingOperationType 450,1,1,2026-08-24T00:00:00.000
451,ROT000451,146,Harbor RoutingOperationType 451,1,1,2026-08-24T00:00:00.000
452,ROT000452,16,Ion RoutingOperationType 452,1,1,2026-08-24T00:00:00.000
453,ROT000453,32,Keystone RoutingOperationType 453,1,1,2026-08-24T00:00:00.000
454,ROT000454,89,Harbor RoutingOperationType 454,1,1,2026-08-24T00:00:00.000
455,ROT000455,204,Orion RoutingOperationType 455,1,1,2026-08-24T00:00:00.000
456,ROT000456,220,Granite RoutingOperationType 456,1,1,2026-08-24T00:00:00.000
457,ROT000457,28,Pioneer RoutingOperationType 457,1,1,2026-08-24T00:00:00.000
458,ROT000458,129,Cedar RoutingOperationType 458,1,1,2026-08-24T00:00:00.000
459,ROT000459,50,Zenith RoutingOperationType 459,1,1,2026-08-24T00:00:00.000
460,ROT000460,64,Orion RoutingOperationType 460,1,1,2026-08-24T00:00:00.000
461,ROT000461,63,Granite RoutingOperationType 461,1,1,2026-08-24T00:00:00.000
462,ROT000462,47,Harbor RoutingOperationType 462,1,1,2026-08-24T00:00:00.000
463,ROT000463,18,Meridian RoutingOperationType 463,1,1,2026-08-24T00:00:00.000
464,ROT000464,101,Orion RoutingOperationType 464,1,1,2026-08-24T00:00:00.000
465,ROT000465,138,Pioneer RoutingOperationType 465,1,1,2026-08-24T00:00:00.000
466,ROT000466,90,Northstar RoutingOperationType 466,1,1,2026-08-24T00:00:00.000
467,ROT000467,233,Harbor RoutingOperationType 467,1,1,2026-08-24T00:00:00.000
468,ROT000468,100,Delta RoutingOperationType 468,1,1,2026-08-24T00:00:00.000
469,ROT000469,13,Junction RoutingOperationType 469,1,1,2026-08-24T00:00:00.000
470,ROT000470,115,Vertex RoutingOperationType 470,1,1,2026-08-24T00:00:00.000
471,ROT000471,222,Summit RoutingOperationType 471,1,1,2026-08-24T00:00:00.000
472,ROT000472,222,Unity RoutingOperationType 472,1,1,2026-08-24T00:00:00.000
473,ROT000473,207,Beacon RoutingOperationType 473,1,1,2026-08-24T00:00:00.000
474,ROT000474,23,Zenith RoutingOperationType 474,1,1,2026-08-24T00:00:00.000
475,ROT000475,109,Pioneer RoutingOperationType 475,1,1,2026-08-24T00:00:00.000
476,ROT000476,110,Liberty RoutingOperationType 476,1,1,2026-08-24T00:00:00.000
477,ROT000477,177,Riverton RoutingOperationType 477,1,1,2026-08-24T00:00:00.000
478,ROT000478,31,Ion RoutingOperationType 478,1,1,2026-08-24T00:00:00.000
479,ROT000479,190,Cedar RoutingOperationType 479,1,1,2026-08-24T00:00:00.000
480,ROT000480,167,Pioneer RoutingOperationType 480,1,1,2026-08-24T00:00:00.000
481,ROT000481,189,Junction RoutingOperationType 481,1,1,2026-08-24T00:00:00.000
482,ROT000482,228,Orion RoutingOperationType 482,1,1,2026-08-24T00:00:00.000
483,ROT000483,40,Willow RoutingOperationType 483,1,1,2026-08-24T00:00:00.000
484,ROT000484,177,Liberty RoutingOperationType 484,1,1,2026-08-24T00:00:00.000
485,ROT000485,241,Summit RoutingOperationType 485,1,1,2026-08-24T00:00:00.000
486,ROT000486,103,Evergreen RoutingOperationType 486,1,1,2026-08-24T00:00:00.000
487,ROT000487,153,Vertex RoutingOperationType 487,1,1,2026-08-24T00:00:00.000
488,ROT000488,24,Junction RoutingOperationType 488,1,1,2026-08-24T00:00:00.000
489,ROT000489,203,Forge RoutingOperationType 489,1,1,2026-08-24T00:00:00.000
490,ROT000490,15,Quartz RoutingOperationType 490,1,1,2026-08-24T00:00:00.000
491,ROT000491,217,Riverton RoutingOperationType 491,1,1,2026-08-24T00:00:00.000
492,ROT000492,234,Beacon RoutingOperationType 492,1,1,2026-08-24T00:00:00.000
493,ROT000493,129,Evergreen RoutingOperationType 493,1,1,2026-08-24T00:00:00.000
494,ROT000494,3,Forge RoutingOperationType 494,1,1,2026-08-24T00:00:00.000
495,ROT000495,132,Evergreen RoutingOperationType 495,1,1,2026-08-24T00:00:00.000
496,ROT000496,260,Harbor RoutingOperationType 496,1,1,2026-08-24T00:00:00.000
497,ROT000497,46,Willow RoutingOperationType 497,1,1,2026-08-24T00:00:00.000
498,ROT000498,93,Titan RoutingOperationType 498,1,1,2026-08-24T00:00:00.000
499,ROT000499,11,Unity RoutingOperationType 499,1,1,2026-08-24T00:00:00.000
500,ROT000500,240,Titan RoutingOperationType 500,1,1,2026-08-24T00:00:00.000
