CustomerKey,CustomerNumber,GeoPostalCodeKey,CustomerSegmentKey,CustomerChannelKey,CustomerGroupKey,CurrencyKey,IncotermCodeKey,PaymentTermKey,CustomerStatusKey,RecordStatusKey,CustomerName,CustomerLegalName,AccountOpenedDate,CreditLimitAmount,CreditHoldFlag,TaxRegistrationNumber,DefaultCurrencyCode,DefaultIncotermCode,DefaultPaymentTermCode,StrategicAccountFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
80,C000080,452,175,12,62,4,10,15,8,4,Willow Customer 80,Orion Customer 80,2021-03-21,119.6000,0,C000080,GBP,C000080,C000080,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89810aa5d7175760b64787ade01c182b89810aa5d7175760b64787ade01c182b
81,C000081,397,240,17,367,4,12,2,2,4,Meridian Customer 81,Riverton Customer 81,2021-03-22,120.9700,1,C000081,CAD,C000081,C000081,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62adb78d52465657afc354f1cd351f7762adb78d52465657afc354f1cd351f77
82,C000082,308,393,16,169,2,7,4,1,4,Harbor Customer 82,Keystone Customer 82,2021-03-23,122.3400,1,C000082,MXN,C000082,C000082,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6905ae7630b55f39a18a7d287b03f8976905ae7630b55f39a18a7d287b03f897
83,C000083,34,497,78,15,3,16,12,5,2,Harbor Customer 83,Riverton Customer 83,2021-03-24,123.7100,1,C000083,JPY,C000083,C000083,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7f57750e7cb591e8d36a2c475a83e54d7f57750e7cb591e8d36a2c475a83e54
84,C000084,305,116,60,157,3,4,11,2,2,Pioneer Customer 84,Vertex Customer 84,2021-03-25,125.0800,1,C000084,USD,C000084,C000084,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5e02d95d7ec522eaf26c090e1c71d67a5e02d95d7ec522eaf26c090e1c71d67
85,C000085,34,54,22,66,2,3,4,7,1,Quartz Customer 85,Atlas Customer 85,2021-03-26,126.4500,0,C000085,EUR,C000085,C000085,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2e0f06d8c0b5f1291713e66d617d1d3b2e0f06d8c0b5f1291713e66d617d1d3
86,C000086,467,172,2,143,4,15,16,10,1,Evergreen Customer 86,Granite Customer 86,2021-03-27,127.8200,1,C000086,GBP,C000086,C000086,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5593c1c06f5a5fadadd54a473bd4444e5593c1c06f5a5fadadd54a473bd4444e
87,C000087,109,377,63,62,4,2,14,7,3,Zenith Customer 87,Summit Customer 87,2021-03-28,129.1900,1,C000087,CAD,C000087,C000087,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a6c9934644b5674a8d3fff52a1fca2c3a6c9934644b5674a8d3fff52a1fca2c
88,C000088,412,473,51,6,3,4,2,5,3,Riverton Customer 88,Zenith Customer 88,2021-03-29,130.5600,1,C000088,MXN,C000088,C000088,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52132c3cf1605ffe84bfb576ec25041952132c3cf1605ffe84bfb576ec250419
89,C000089,221,376,10,359,1,16,3,4,3,Quartz Customer 89,Northstar Customer 89,2021-03-30,131.9300,1,C000089,JPY,C000089,C000089,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7a0d1f6c6415b3fa3f18fcb9bd71657c7a0d1f6c6415b3fa3f18fcb9bd71657
90,C000090,13,34,64,294,2,7,6,7,1,Summit Customer 90,Pioneer Customer 90,2021-03-31,133.3000,0,C000090,USD,C000090,C000090,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f4dc0a78d5857578ac4db1b414aae845f4dc0a78d5857578ac4db1b414aae84
91,C000091,52,241,29,354,5,4,17,10,1,Ion Customer 91,Delta Customer 91,2021-04-01,134.6700,1,C000091,EUR,C000091,C000091,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64a57eebd5ef58ecb6993596944156f164a57eebd5ef58ecb6993596944156f1
92,C000092,220,323,60,75,2,16,13,2,2,Willow Customer 92,Unity Customer 92,2021-04-02,136.0400,1,C000092,GBP,C000092,C000092,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,934c6ca9c0eb568399279146b7907328934c6ca9c0eb568399279146b7907328
93,C000093,264,326,19,125,1,3,7,5,2,Northstar Customer 93,Vertex Customer 93,2021-04-03,137.4100,1,C000093,CAD,C000093,C000093,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c30be5f8cc9d5d8fb56ba56a0ecea82ec30be5f8cc9d5d8fb56ba56a0ecea82e
94,C000094,65,491,52,99,4,10,3,6,2,Riverton Customer 94,Vertex Customer 94,2021-04-04,138.7800,1,C000094,MXN,C000094,C000094,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,345ee44859805c20b9be98881b53408e345ee44859805c20b9be98881b53408e
95,C000095,84,227,1,134,3,1,3,5,3,Zenith Customer 95,Riverton Customer 95,2021-04-05,140.1500,0,C000095,JPY,C000095,C000095,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ce3e4d45fa15ffaada4fc85f62ea22f4ce3e4d45fa15ffaada4fc85f62ea22f
96,C000096,257,304,49,126,5,7,15,8,3,Summit Customer 96,Forge Customer 96,2021-04-06,141.5200,1,C000096,USD,C000096,C000096,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8603d63417755dc83aa04ff3ef432ecd8603d63417755dc83aa04ff3ef432ec
97,C000097,346,473,75,123,3,12,7,7,4,Quartz Customer 97,Evergreen Customer 97,2021-04-07,142.8900,1,C000097,EUR,C000097,C000097,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb125748a7ea5d078671022e25c515a1cb125748a7ea5d078671022e25c515a1
98,C000098,225,469,13,65,1,5,5,6,2,Delta Customer 98,Pioneer Customer 98,2021-04-08,144.2600,1,C000098,GBP,C000098,C000098,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7daaa702da7057afbc310dc5f43287687daaa702da7057afbc310dc5f4328768
99,C000099,421,448,68,305,2,1,7,5,4,Forge Customer 99,Harbor Customer 99,2021-04-09,145.6300,1,C000099,CAD,C000099,C000099,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fba0c9c4995059edb4c8e38c279acb3afba0c9c4995059edb4c8e38c279acb3a
100,C000100,500,48,31,309,4,3,1,8,1,Summit Customer 100,Summit Customer 100,2021-04-10,147.0000,0,C000100,MXN,C000100,C000100,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c62347b14c6a597086d8193155c35f02c62347b14c6a597086d8193155c35f02
101,C000101,399,492,74,283,1,14,12,7,4,Evergreen Customer 101,Beacon Customer 101,2021-04-11,148.3700,1,C000101,JPY,C000101,C000101,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,162d91f8b49358178a45daf60f88ffe9162d91f8b49358178a45daf60f88ffe9
102,C000102,413,94,80,237,1,15,17,4,4,Northstar Customer 102,Titan Customer 102,2021-04-12,149.7400,1,C000102,USD,C000102,C000102,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,405cf07776285d2086deb57f55967550405cf07776285d2086deb57f55967550
103,C000103,314,153,10,174,5,2,8,10,1,Forge Customer 103,Junction Customer 103,2021-04-13,151.1100,1,C000103,EUR,C000103,C000103,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de68d097de9254dd805c35b01af037efde68d097de9254dd805c35b01af037ef
104,C000104,437,20,41,256,3,7,6,3,3,Ion Customer 104,Zenith Customer 104,2021-04-14,152.4800,1,C000104,GBP,C000104,C000104,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2e9be5a6067598ca38055afefa65443e2e9be5a6067598ca38055afefa65443
105,C000105,139,51,34,379,5,7,10,9,1,Keystone Customer 105,Meridian Customer 105,2021-04-15,153.8500,0,C000105,CAD,C000105,C000105,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c2af74e9e9255c382998480fd48c5de6c2af74e9e9255c382998480fd48c5de
106,C000106,334,235,17,127,4,16,14,9,3,Ion Customer 106,Willow Customer 106,2021-04-16,155.2200,1,C000106,MXN,C000106,C000106,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d01ae1dc06cf5c9eaffcc2838ad3ba0fd01ae1dc06cf5c9eaffcc2838ad3ba0f
107,C000107,390,394,15,132,3,7,16,4,4,Atlas Customer 107,Willow Customer 107,2021-04-17,156.5900,1,C000107,JPY,C000107,C000107,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58b5818653925a5582227a7bbce3d07958b5818653925a5582227a7bbce3d079
108,C000108,458,484,68,240,5,11,9,1,3,Evergreen Customer 108,Pioneer Customer 108,2021-04-18,157.9600,1,C000108,USD,C000108,C000108,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bb8e8c23706542182e71a7e455b4b179bb8e8c23706542182e71a7e455b4b17
109,C000109,196,25,54,380,4,3,3,4,1,Summit Customer 109,Beacon Customer 109,2021-04-19,159.3300,1,C000109,EUR,C000109,C000109,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a53f1b8f79c85e8499ee86672d156d6ca53f1b8f79c85e8499ee86672d156d6c
110,C000110,464,488,33,336,3,4,14,9,2,Northstar Customer 110,Vertex Customer 110,2021-04-20,160.7000,0,C000110,GBP,C000110,C000110,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,510ecc1b24ab5cefbfbbcbf40d317043510ecc1b24ab5cefbfbbcbf40d317043
111,C000111,104,280,57,277,1,15,14,7,4,Liberty Customer 111,Willow Customer 111,2021-04-21,162.0700,1,C000111,CAD,C000111,C000111,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e92942803ef5368bc75eb22fa57ecdd3e92942803ef5368bc75eb22fa57ecdd
112,C000112,13,250,58,162,2,2,12,1,2,Atlas Customer 112,Forge Customer 112,2021-04-22,163.4400,1,C000112,MXN,C000112,C000112,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f90e0cf4e955cf0a84f397b5147886b9f90e0cf4e955cf0a84f397b5147886b
113,C000113,159,68,41,304,2,16,7,8,1,Delta Customer 113,Harbor Customer 113,2021-04-23,164.8100,1,C000113,JPY,C000113,C000113,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4bb9c5d0251514db97956f5700b696fc4bb9c5d0251514db97956f5700b696f
114,C000114,339,154,61,302,1,5,1,9,4,Atlas Customer 114,Cedar Customer 114,2021-04-24,166.1800,1,C000114,USD,C000114,C000114,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,102512ab334e53129bd4dcaf81b26d1f102512ab334e53129bd4dcaf81b26d1f
115,C000115,126,476,42,286,3,1,5,8,1,Willow Customer 115,Beacon Customer 115,2021-04-25,167.5500,0,C000115,EUR,C000115,C000115,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b008b5a0d765571b9ea5a31963bfee0eb008b5a0d765571b9ea5a31963bfee0e
116,C000116,29,208,2,331,5,16,6,9,3,Pioneer Customer 116,Quartz Customer 116,2021-04-26,168.9200,1,C000116,GBP,C000116,C000116,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38f082ac75e259cbb1d1b1b9e217e53b38f082ac75e259cbb1d1b1b9e217e53b
117,C000117,8,246,36,119,5,7,12,3,3,Meridian Customer 117,Northstar Customer 117,2021-04-27,170.2900,1,C000117,CAD,C000117,C000117,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74223e61da3d5f5cb9b655e0f1ea35bb74223e61da3d5f5cb9b655e0f1ea35bb
118,C000118,320,177,29,199,4,13,4,5,1,Meridian Customer 118,Harbor Customer 118,2021-04-28,171.6600,1,C000118,MXN,C000118,C000118,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,678c973489df515281a355396c8df6fd678c973489df515281a355396c8df6fd
119,C000119,323,453,58,204,4,2,14,3,3,Pioneer Customer 119,Vertex Customer 119,2021-04-29,173.0300,1,C000119,JPY,C000119,C000119,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3503d1a00fc152f889eb53f931696f303503d1a00fc152f889eb53f931696f30
120,C000120,331,251,24,2,4,9,2,7,1,Orion Customer 120,Pioneer Customer 120,2021-04-30,174.4000,0,C000120,USD,C000120,C000120,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfce37b231e4509cb765da9bb7b7fdb0bfce37b231e4509cb765da9bb7b7fdb0
121,C000121,299,371,29,304,2,5,12,6,3,Meridian Customer 121,Meridian Customer 121,2021-05-01,175.7700,1,C000121,EUR,C000121,C000121,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e46d62133da568d80872734b25967055e46d62133da568d80872734b2596705
122,C000122,449,270,48,81,4,8,18,9,1,Keystone Customer 122,Vertex Customer 122,2021-05-02,177.1400,1,C000122,GBP,C000122,C000122,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e3117ede37a5b5ca738584b50c45ba55e3117ede37a5b5ca738584b50c45ba5
123,C000123,189,415,47,131,5,2,11,5,2,Quartz Customer 123,Granite Customer 123,2021-05-03,178.5100,1,C000123,CAD,C000123,C000123,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e5bb5b834cd57f7b7d488f19de194c61e5bb5b834cd57f7b7d488f19de194c6
124,C000124,50,247,19,342,3,16,18,1,4,Granite Customer 124,Quartz Customer 124,2021-05-04,179.8800,1,C000124,MXN,C000124,C000124,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d41c216a545658dcb0b15ea19d752b76d41c216a545658dcb0b15ea19d752b76
125,C000125,139,16,59,253,1,15,8,2,4,Evergreen Customer 125,Vertex Customer 125,2021-05-05,181.2500,0,C000125,JPY,C000125,C000125,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a2c58fa196e5ef2b16ac255c211da921a2c58fa196e5ef2b16ac255c211da92
126,C000126,14,168,16,349,5,8,18,6,2,Northstar Customer 126,Granite Customer 126,2021-05-06,182.6200,1,C000126,USD,C000126,C000126,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42b352440ea2556ca221d6628d151dbe42b352440ea2556ca221d6628d151dbe
127,C000127,114,182,27,147,4,2,9,10,4,Titan Customer 127,Forge Customer 127,2021-05-07,183.9900,1,C000127,EUR,C000127,C000127,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0ddf8dab1775911aaffcdf376ca6bd2a0ddf8dab1775911aaffcdf376ca6bd2
128,C000128,333,133,6,156,3,6,5,10,1,Quartz Customer 128,Ion Customer 128,2021-05-08,185.3600,1,C000128,GBP,C000128,C000128,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16e99d6cf28457f385cc3a4137f304a716e99d6cf28457f385cc3a4137f304a7
129,C000129,324,491,21,165,2,12,11,6,4,Ion Customer 129,Granite Customer 129,2021-05-09,186.7300,1,C000129,CAD,C000129,C000129,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f6a2981f5a25ec2842f612c5ca1c3b46f6a2981f5a25ec2842f612c5ca1c3b4
130,C000130,355,309,75,264,3,7,4,8,3,Granite Customer 130,Pioneer Customer 130,2021-05-10,188.1000,0,C000130,MXN,C000130,C000130,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2187995b65985780bf1b12a8eb03be7e2187995b65985780bf1b12a8eb03be7e
131,C000131,255,212,64,161,2,1,4,4,1,Northstar Customer 131,Zenith Customer 131,2021-05-11,189.4700,1,C000131,JPY,C000131,C000131,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,968801e1a9245feab9ee399eb5944307968801e1a9245feab9ee399eb5944307
132,C000132,215,110,65,81,4,14,18,9,4,Granite Customer 132,Beacon Customer 132,2021-05-12,190.8400,1,C000132,USD,C000132,C000132,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e12030fbabfe5de1b275a5d0f09d3140e12030fbabfe5de1b275a5d0f09d3140
133,C000133,102,376,33,387,3,12,12,2,3,Unity Customer 133,Atlas Customer 133,2021-05-13,192.2100,1,C000133,EUR,C000133,C000133,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cd58592c8455980adcf3ee0c181bf4e3cd58592c8455980adcf3ee0c181bf4e
134,C000134,361,11,14,20,5,13,17,8,3,Liberty Customer 134,Liberty Customer 134,2021-05-14,193.5800,1,C000134,GBP,C000134,C000134,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6944f943674e5c42923cda889285c03a6944f943674e5c42923cda889285c03a
135,C000135,22,232,5,167,2,10,13,7,2,Forge Customer 135,Vertex Customer 135,2021-05-15,194.9500,0,C000135,CAD,C000135,C000135,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdf54fe0ffba5a62a6409da782b22c4bcdf54fe0ffba5a62a6409da782b22c4b
136,C000136,297,13,74,379,2,8,8,3,1,Northstar Customer 136,Delta Customer 136,2021-05-16,196.3200,1,C000136,MXN,C000136,C000136,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d0b46f65cec5adda0083b338714fa765d0b46f65cec5adda0083b338714fa76
137,C000137,147,222,18,308,3,5,9,5,3,Ion Customer 137,Delta Customer 137,2021-05-17,197.6900,1,C000137,JPY,C000137,C000137,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2d68024c2f45b368170fdd4214c4112e2d68024c2f45b368170fdd4214c4112
138,C000138,222,311,30,164,4,4,18,7,4,Pioneer Customer 138,Delta Customer 138,2021-05-18,199.0600,1,C000138,USD,C000138,C000138,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,581d2396f775573688d2eee4c4fc3d23581d2396f775573688d2eee4c4fc3d23
139,C000139,333,438,48,77,5,15,17,5,1,Granite Customer 139,Unity Customer 139,2021-05-19,200.4300,1,C000139,EUR,C000139,C000139,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7851bfbcfd365daea88274df58e2b1777851bfbcfd365daea88274df58e2b177
140,C000140,498,261,46,62,5,3,12,9,2,Cedar Customer 140,Riverton Customer 140,2021-05-20,201.8000,0,C000140,GBP,C000140,C000140,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b69ef9ce8a85c82ae20a73eafdb2fd81b69ef9ce8a85c82ae20a73eafdb2fd8
141,C000141,161,71,64,202,3,6,7,5,4,Liberty Customer 141,Liberty Customer 141,2021-05-21,203.1700,1,C000141,CAD,C000141,C000141,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b30bbdb14be550859f986b7084cf3d76b30bbdb14be550859f986b7084cf3d76
142,C000142,234,487,58,186,3,6,15,7,1,Pioneer Customer 142,Cedar Customer 142,2021-05-22,204.5400,1,C000142,MXN,C000142,C000142,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,612dca2c294f5affa7be41b1c6290920612dca2c294f5affa7be41b1c6290920
143,C000143,85,363,55,149,2,5,16,2,1,Ion Customer 143,Harbor Customer 143,2021-05-23,205.9100,1,C000143,JPY,C000143,C000143,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4752461da7c551caa5c56165866725ce4752461da7c551caa5c56165866725c
144,C000144,17,67,40,96,1,16,15,8,2,Northstar Customer 144,Atlas Customer 144,2021-05-24,207.2800,1,C000144,USD,C000144,C000144,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d157c26ff7635ccc8d712a0c033284c1d157c26ff7635ccc8d712a0c033284c1
145,C000145,427,67,35,276,5,10,16,5,4,Granite Customer 145,Orion Customer 145,2021-05-25,208.6500,0,C000145,EUR,C000145,C000145,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12e8a27432125c6a9376ba4a6f0964ab12e8a27432125c6a9376ba4a6f0964ab
146,C000146,315,133,44,392,5,7,12,7,2,Summit Customer 146,Pioneer Customer 146,2021-05-26,210.0200,1,C000146,GBP,C000146,C000146,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939373f47e705b5ba1640e9f39e82b4d939373f47e705b5ba1640e9f39e82b4d
147,C000147,224,295,6,115,3,3,6,1,3,Delta Customer 147,Ion Customer 147,2021-05-27,211.3900,1,C000147,CAD,C000147,C000147,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccef64dfbb5b5a24973a69b766b5f46fccef64dfbb5b5a24973a69b766b5f46f
148,C000148,204,309,9,283,4,2,11,6,2,Beacon Customer 148,Junction Customer 148,2021-05-28,212.7600,1,C000148,MXN,C000148,C000148,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56c2250021785887a423f74e5b2407be56c2250021785887a423f74e5b2407be
149,C000149,189,233,57,94,2,16,8,3,4,Zenith Customer 149,Granite Customer 149,2021-05-29,214.1300,1,C000149,JPY,C000149,C000149,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,750b004c79ed516588233fa3efe0ca9c750b004c79ed516588233fa3efe0ca9c
150,C000150,339,367,65,108,1,7,10,5,2,Harbor Customer 150,Keystone Customer 150,2021-05-30,215.5000,0,C000150,USD,C000150,C000150,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c21d95e3844558dd9d177f431adc8293c21d95e3844558dd9d177f431adc8293
151,C000151,3,480,27,137,1,1,15,3,2,Willow Customer 151,Unity Customer 151,2021-05-31,216.8700,1,C000151,EUR,C000151,C000151,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69f0758148b853f599648b24da7c20cc69f0758148b853f599648b24da7c20cc
152,C000152,184,431,43,87,5,5,15,10,1,Titan Customer 152,Riverton Customer 152,2021-06-01,218.2400,1,C000152,GBP,C000152,C000152,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a11c429251454c5b13e614758befb884a11c429251454c5b13e614758befb88
153,C000153,290,207,67,108,3,16,16,8,3,Orion Customer 153,Granite Customer 153,2021-06-02,219.6100,1,C000153,CAD,C000153,C000153,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da35736e8b5350cda74953ad66efb900da35736e8b5350cda74953ad66efb900
154,C000154,83,447,30,27,2,4,4,4,1,Orion Customer 154,Pioneer Customer 154,2021-06-03,220.9800,1,C000154,MXN,C000154,C000154,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0156efcf970553f6a95380717c2b64080156efcf970553f6a95380717c2b6408
155,C000155,207,272,74,51,1,2,12,3,1,Liberty Customer 155,Ion Customer 155,2021-06-04,222.3500,0,C000155,JPY,C000155,C000155,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50ab5ccd3d64532591896614c19ddef950ab5ccd3d64532591896614c19ddef9
156,C000156,53,327,39,147,1,6,12,6,2,Pioneer Customer 156,Granite Customer 156,2021-06-05,223.7200,1,C000156,USD,C000156,C000156,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bba3d963c00654bbb51ea72e903d7fa6bba3d963c00654bbb51ea72e903d7fa6
157,C000157,349,370,52,103,5,6,9,8,2,Cedar Customer 157,Pioneer Customer 157,2021-06-06,225.0900,1,C000157,EUR,C000157,C000157,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d37920cb4a25cd491aa74011078ac501d37920cb4a25cd491aa74011078ac50
158,C000158,157,40,18,336,5,11,1,10,1,Vertex Customer 158,Unity Customer 158,2021-06-07,226.4600,1,C000158,GBP,C000158,C000158,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9fabb89a5045e949eeefda2a88e60b7c9fabb89a5045e949eeefda2a88e60b7
159,C000159,176,7,2,132,5,16,15,4,1,Vertex Customer 159,Northstar Customer 159,2021-06-08,227.8300,1,C000159,CAD,C000159,C000159,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c403a9e706ed594c984a6826ae8865c2c403a9e706ed594c984a6826ae8865c2
160,C000160,286,459,27,182,2,6,1,5,2,Vertex Customer 160,Titan Customer 160,2021-06-09,229.2000,0,C000160,MXN,C000160,C000160,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,265c67d78974505f83886b8e2e68bd6f265c67d78974505f83886b8e2e68bd6f
