PurchaseRequestForQuoteKey,RequestForQuoteNumber,PurchaseCommodityKey,SourcingOwnerEmployeeKey,ApprovalStatusKey,CurrencyKey,RequestForQuoteName,BidDueDate,IsSealedBid,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
98,PRFQ000098,458,23,1,4,Northstar PurchaseRequestForQuote 98,2020-04-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91ebadec6f855d62a2235f673278715791ebadec6f855d62a2235f6732787157
99,PRFQ000099,259,457,1,2,Northstar PurchaseRequestForQuote 99,2020-04-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b7bfaef2ff752c28d531f30eec23a590b7bfaef2ff752c28d531f30eec23a59
100,PRFQ000100,197,216,1,5,Willow PurchaseRequestForQuote 100,2020-04-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6877df4f9d8c59e0bdb85a93eec26ac06877df4f9d8c59e0bdb85a93eec26ac0
101,PRFQ000101,136,357,1,5,Vertex PurchaseRequestForQuote 101,2020-04-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e61f1c2b1ee157b1b866d77dfec2bfe0e61f1c2b1ee157b1b866d77dfec2bfe0
102,PRFQ000102,449,-1,3,1,Vertex PurchaseRequestForQuote 102,2020-04-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c059e68321095c268efac577a837dc70c059e68321095c268efac577a837dc70
103,PRFQ000103,438,252,4,4,Titan PurchaseRequestForQuote 103,2020-04-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b99038686935d028398031a5e018d031b99038686935d028398031a5e018d03
104,PRFQ000104,167,349,5,2,Meridian PurchaseRequestForQuote 104,2020-04-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad8dc09d13785e908f2a9ad0e162c9dead8dc09d13785e908f2a9ad0e162c9de
105,PRFQ000105,255,235,1,2,Cedar PurchaseRequestForQuote 105,2020-04-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb3485ffa25f5e399fe81c54178a192abb3485ffa25f5e399fe81c54178a192a
106,PRFQ000106,140,179,3,3,Pioneer PurchaseRequestForQuote 106,2020-04-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af050002eb2a53cebfd535ab203562adaf050002eb2a53cebfd535ab203562ad
107,PRFQ000107,289,96,1,2,Junction PurchaseRequestForQuote 107,2020-04-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d8d24bab35e5e62afbda65f902382224d8d24bab35e5e62afbda65f90238222
108,PRFQ000108,126,333,2,2,Keystone PurchaseRequestForQuote 108,2020-04-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad2efdab0ae45bf48b78309f77767306ad2efdab0ae45bf48b78309f77767306
109,PRFQ000109,173,447,2,2,Quartz PurchaseRequestForQuote 109,2020-04-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed7eef2ebf435b84a87cc6bc57f0fda3ed7eef2ebf435b84a87cc6bc57f0fda3
110,PRFQ000110,397,297,5,5,Evergreen PurchaseRequestForQuote 110,2020-04-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ec7a227abc35a2780fe0bb768bd18f26ec7a227abc35a2780fe0bb768bd18f2
111,PRFQ000111,290,297,1,5,Summit PurchaseRequestForQuote 111,2020-04-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,492a836d55b452c1b8de11d9ce93786b492a836d55b452c1b8de11d9ce93786b
112,PRFQ000112,317,419,1,2,Harbor PurchaseRequestForQuote 112,2020-04-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4e188c15d625c6d981c882a71fa5383e4e188c15d625c6d981c882a71fa5383
113,PRFQ000113,265,27,2,3,Beacon PurchaseRequestForQuote 113,2020-04-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e98f32975c35fdc9d23b1bc92aa7a6a6e98f32975c35fdc9d23b1bc92aa7a6a
114,PRFQ000114,242,325,1,2,Summit PurchaseRequestForQuote 114,2020-04-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32e4171fd8425b5694fb1454ed89ca3d32e4171fd8425b5694fb1454ed89ca3d
115,PRFQ000115,103,92,4,1,Orion PurchaseRequestForQuote 115,2020-04-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c63babad3d7b5c5b9c4bb375ead9000fc63babad3d7b5c5b9c4bb375ead9000f
116,PRFQ000116,296,144,1,1,Junction PurchaseRequestForQuote 116,2020-04-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c27a872880e5174baa9fd425a18bda99c27a872880e5174baa9fd425a18bda9
117,PRFQ000117,217,255,5,1,Pioneer PurchaseRequestForQuote 117,2020-04-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbe319c7112f575daf998daca86660cfcbe319c7112f575daf998daca86660cf
118,PRFQ000118,446,173,2,2,Vertex PurchaseRequestForQuote 118,2020-04-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae98f50a14cf56fbba3546786287fbe6ae98f50a14cf56fbba3546786287fbe6
119,PRFQ000119,254,-1,4,1,Evergreen PurchaseRequestForQuote 119,2020-04-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad7fd7eb86d65b3aa27f0605131b856aad7fd7eb86d65b3aa27f0605131b856a
120,PRFQ000120,403,341,1,1,Meridian PurchaseRequestForQuote 120,2020-04-30,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa9bc120776353d6a9b3a3bb794026d9fa9bc120776353d6a9b3a3bb794026d9
121,PRFQ000121,261,224,3,3,Cedar PurchaseRequestForQuote 121,2020-05-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e39a95191b55f8a9af353d8e23e866a6e39a95191b55f8a9af353d8e23e866a
122,PRFQ000122,226,363,2,3,Keystone PurchaseRequestForQuote 122,2020-05-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39ca9942e17a54f0a4c52366edd4c20539ca9942e17a54f0a4c52366edd4c205
123,PRFQ000123,138,362,2,5,Vertex PurchaseRequestForQuote 123,2020-05-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81a127fcd57a5053902b2ccec3dbb2ee81a127fcd57a5053902b2ccec3dbb2ee
124,PRFQ000124,271,418,4,5,Liberty PurchaseRequestForQuote 124,2020-05-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f3ee7f35bfd5247b70ca6e5c33dac522f3ee7f35bfd5247b70ca6e5c33dac52
125,PRFQ000125,126,297,2,4,Quartz PurchaseRequestForQuote 125,2020-05-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94a678d1a8c15a809892f4418bdc654b94a678d1a8c15a809892f4418bdc654b
126,PRFQ000126,154,294,5,3,Delta PurchaseRequestForQuote 126,2020-05-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e787ee30b1a255e09fe1d65a075eaaede787ee30b1a255e09fe1d65a075eaaed
127,PRFQ000127,128,21,1,5,Zenith PurchaseRequestForQuote 127,2020-05-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39a5be679b99597ab05ce2134746279839a5be679b99597ab05ce21347462798
128,PRFQ000128,332,405,3,5,Keystone PurchaseRequestForQuote 128,2020-05-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,613bdef1bef4539382fb39446e5b7729613bdef1bef4539382fb39446e5b7729
129,PRFQ000129,183,366,1,4,Beacon PurchaseRequestForQuote 129,2020-05-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,773c3995c44e5f8e830cea32c3be5104773c3995c44e5f8e830cea32c3be5104
130,PRFQ000130,6,400,5,3,Pioneer PurchaseRequestForQuote 130,2020-05-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87ac53217e8c50a88a41a57fe770820987ac53217e8c50a88a41a57fe7708209
131,PRFQ000131,348,278,5,1,Summit PurchaseRequestForQuote 131,2020-05-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79d7939fee6353b1bbc8b033bbde34af79d7939fee6353b1bbc8b033bbde34af
132,PRFQ000132,183,66,1,5,Keystone PurchaseRequestForQuote 132,2020-05-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec75b0a6adb15379862d48c526b04635ec75b0a6adb15379862d48c526b04635
133,PRFQ000133,259,363,3,4,Ion PurchaseRequestForQuote 133,2020-05-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f73d5a7da435466a3c43da1fa04d42f6f73d5a7da435466a3c43da1fa04d42f
134,PRFQ000134,277,352,2,5,Keystone PurchaseRequestForQuote 134,2020-05-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,029cca3914cd56d5bbaf7c39ec50e05d029cca3914cd56d5bbaf7c39ec50e05d
135,PRFQ000135,418,427,2,2,Willow PurchaseRequestForQuote 135,2020-05-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f23cddf156a524f93126a877e550a363f23cddf156a524f93126a877e550a36
136,PRFQ000136,9,-1,1,5,Summit PurchaseRequestForQuote 136,2020-05-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a94de109bc8150619a4d7c0b78e11a49a94de109bc8150619a4d7c0b78e11a49
137,PRFQ000137,348,94,3,3,Atlas PurchaseRequestForQuote 137,2020-05-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,297818a3e0935e1d97398645e192ebf9297818a3e0935e1d97398645e192ebf9
138,PRFQ000138,212,171,1,3,Delta PurchaseRequestForQuote 138,2020-05-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5558f74bd5b856ab8bdbe2d5023941765558f74bd5b856ab8bdbe2d502394176
139,PRFQ000139,107,73,5,1,Meridian PurchaseRequestForQuote 139,2020-05-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0926f3f7b265337a09bdefe2933412fd0926f3f7b265337a09bdefe2933412f
140,PRFQ000140,381,208,5,1,Ion PurchaseRequestForQuote 140,2020-05-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af36f21f319e5f2495dd5bbe60c2de32af36f21f319e5f2495dd5bbe60c2de32
141,PRFQ000141,303,83,3,4,Harbor PurchaseRequestForQuote 141,2020-05-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db445f36d53b5025b41b1bcc14a21bdcdb445f36d53b5025b41b1bcc14a21bdc
142,PRFQ000142,101,49,5,4,Junction PurchaseRequestForQuote 142,2020-05-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5dcaa1e5ecd5962a6a42a13ac1351e2c5dcaa1e5ecd5962a6a42a13ac1351e2
143,PRFQ000143,487,465,5,4,Quartz PurchaseRequestForQuote 143,2020-05-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,494188684a0e51c0a332391dceb1fccd494188684a0e51c0a332391dceb1fccd
144,PRFQ000144,346,249,4,2,Orion PurchaseRequestForQuote 144,2020-05-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b9b150a12bd5a97bfa32c7316f9d2ab8b9b150a12bd5a97bfa32c7316f9d2ab
145,PRFQ000145,130,445,5,1,Vertex PurchaseRequestForQuote 145,2020-05-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fcbf4caf8cd5e00b0ed4fb15330f4347fcbf4caf8cd5e00b0ed4fb15330f434
146,PRFQ000146,215,146,4,1,Keystone PurchaseRequestForQuote 146,2020-05-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,890e15e4732f5fa7acae8d754eb1bf52890e15e4732f5fa7acae8d754eb1bf52
147,PRFQ000147,188,491,2,2,Harbor PurchaseRequestForQuote 147,2020-05-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f965597edbf359eea2c04bb995dc7b28f965597edbf359eea2c04bb995dc7b28
148,PRFQ000148,291,296,1,5,Willow PurchaseRequestForQuote 148,2020-05-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9bf76f1227a55089d6928e45a5f9a0ba9bf76f1227a55089d6928e45a5f9a0b
149,PRFQ000149,326,332,3,3,Ion PurchaseRequestForQuote 149,2020-05-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6330f9192da53a6b839fc00e351a8f5f6330f9192da53a6b839fc00e351a8f5
150,PRFQ000150,378,293,5,5,Delta PurchaseRequestForQuote 150,2020-05-30,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5842499b883545491157645fdd70949c5842499b883545491157645fdd70949
151,PRFQ000151,88,469,1,1,Harbor PurchaseRequestForQuote 151,2020-05-31,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6936107f62d8510f8e335e8c5792bb7f6936107f62d8510f8e335e8c5792bb7f
152,PRFQ000152,345,448,3,5,Forge PurchaseRequestForQuote 152,2020-06-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56303a0c2a295a5d9fa6471b1b28a81556303a0c2a295a5d9fa6471b1b28a815
153,PRFQ000153,136,-1,2,2,Titan PurchaseRequestForQuote 153,2020-06-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d52d0a11d515f84a1a2f1f5bfa983e93d52d0a11d515f84a1a2f1f5bfa983e9
154,PRFQ000154,179,199,1,5,Northstar PurchaseRequestForQuote 154,2020-06-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6226286f4ddf54ada1f9cb56573121e86226286f4ddf54ada1f9cb56573121e8
155,PRFQ000155,159,463,5,1,Ion PurchaseRequestForQuote 155,2020-06-04,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f8311b10de65e2bbc61a84b82b1d8c37f8311b10de65e2bbc61a84b82b1d8c3
156,PRFQ000156,196,415,5,5,Harbor PurchaseRequestForQuote 156,2020-06-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08f5c9146e3a5f2eaefd54aca69b86fe08f5c9146e3a5f2eaefd54aca69b86fe
157,PRFQ000157,411,59,5,1,Granite PurchaseRequestForQuote 157,2020-06-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7c765d08950541ca17defa5c0bce6c0e7c765d08950541ca17defa5c0bce6c0
158,PRFQ000158,465,372,1,1,Liberty PurchaseRequestForQuote 158,2020-06-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca3275c089735ff4a8722cd3eb6bcf2fca3275c089735ff4a8722cd3eb6bcf2f
159,PRFQ000159,165,32,5,4,Zenith PurchaseRequestForQuote 159,2020-06-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a30199099ac543298e320224e7d47da1a30199099ac543298e320224e7d47da
160,PRFQ000160,66,467,2,3,Quartz PurchaseRequestForQuote 160,2020-06-09,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0a3da792fe75104af51e9a127d349c2c0a3da792fe75104af51e9a127d349c2
161,PRFQ000161,133,321,4,5,Titan PurchaseRequestForQuote 161,2020-06-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a13c58874ed5726adebeb698b4de1a30a13c58874ed5726adebeb698b4de1a3
162,PRFQ000162,144,325,3,2,Unity PurchaseRequestForQuote 162,2020-06-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbb5b01ad6295bb0836f86cbc4cfa055dbb5b01ad6295bb0836f86cbc4cfa055
163,PRFQ000163,167,387,3,3,Junction PurchaseRequestForQuote 163,2020-06-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7206de0c1d5a536fa2847e3b359447407206de0c1d5a536fa2847e3b35944740
164,PRFQ000164,302,447,4,2,Zenith PurchaseRequestForQuote 164,2020-06-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,239da8faa67c507aa6394e726e804daf239da8faa67c507aa6394e726e804daf
165,PRFQ000165,312,299,1,4,Granite PurchaseRequestForQuote 165,2020-06-14,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9abaccb5f180533eb92ce573b54f03b39abaccb5f180533eb92ce573b54f03b3
166,PRFQ000166,159,446,2,3,Pioneer PurchaseRequestForQuote 166,2020-06-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64451c0b6af95258bb83ce437349007864451c0b6af95258bb83ce4373490078
167,PRFQ000167,137,305,1,3,Pioneer PurchaseRequestForQuote 167,2020-06-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d963542994d954398e7fc9121c48ec2fd963542994d954398e7fc9121c48ec2f
168,PRFQ000168,97,306,3,4,Evergreen PurchaseRequestForQuote 168,2020-06-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81a0cc5623b454cb9625e05b936ee41a81a0cc5623b454cb9625e05b936ee41a
169,PRFQ000169,499,69,5,1,Orion PurchaseRequestForQuote 169,2020-06-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7329a0a645fa5d49aba1ba22b8b7b1c67329a0a645fa5d49aba1ba22b8b7b1c6
170,PRFQ000170,497,-1,4,5,Titan PurchaseRequestForQuote 170,2020-06-19,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf9fdc2ed66e53599ddc195bbe26c577bf9fdc2ed66e53599ddc195bbe26c577
171,PRFQ000171,257,310,3,2,Forge PurchaseRequestForQuote 171,2020-06-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e197c366c2e15961a2a05cdb8aa73a29e197c366c2e15961a2a05cdb8aa73a29
172,PRFQ000172,364,201,5,4,Atlas PurchaseRequestForQuote 172,2020-06-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,273a77b4f4845bb8807000716661e999273a77b4f4845bb8807000716661e999
173,PRFQ000173,188,389,4,4,Riverton PurchaseRequestForQuote 173,2020-06-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,817c27dbe06b5e3d827ec726077d1a10817c27dbe06b5e3d827ec726077d1a10
174,PRFQ000174,493,259,2,4,Beacon PurchaseRequestForQuote 174,2020-06-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f15c427cb655571937d1018f9b97c102f15c427cb655571937d1018f9b97c10
175,PRFQ000175,213,226,1,1,Zenith PurchaseRequestForQuote 175,2020-06-24,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f8dc7f6246d537ea528e424d44e354a1f8dc7f6246d537ea528e424d44e354a
176,PRFQ000176,469,194,2,5,Quartz PurchaseRequestForQuote 176,2020-06-25,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a28791006c45540b87ca4eb7635bb001a28791006c45540b87ca4eb7635bb00
177,PRFQ000177,254,87,2,2,Summit PurchaseRequestForQuote 177,2020-06-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21c4464885305253800ac09d65ca00c321c4464885305253800ac09d65ca00c3
178,PRFQ000178,113,410,1,1,Junction PurchaseRequestForQuote 178,2020-06-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11d132afabc05d8480747ac9ee64036b11d132afabc05d8480747ac9ee64036b
179,PRFQ000179,17,231,1,5,Vertex PurchaseRequestForQuote 179,2020-06-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2b9ae780464534cbda9a86b5db75cebe2b9ae780464534cbda9a86b5db75ceb
180,PRFQ000180,64,143,3,4,Summit PurchaseRequestForQuote 180,2020-06-29,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc0ab0a95959585ca72e43b8c95e421cdc0ab0a95959585ca72e43b8c95e421c
181,PRFQ000181,25,116,4,3,Atlas PurchaseRequestForQuote 181,2020-06-30,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3f75cc732e2510fa2d51b322c56b2d7d3f75cc732e2510fa2d51b322c56b2d7
182,PRFQ000182,311,400,3,1,Evergreen PurchaseRequestForQuote 182,2020-07-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ed442f54b1b56ca89b946784a2910b62ed442f54b1b56ca89b946784a2910b6
183,PRFQ000183,7,325,5,5,Titan PurchaseRequestForQuote 183,2020-07-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa97ded3b8f55f33b4ce49e251ea8bc5aa97ded3b8f55f33b4ce49e251ea8bc5
184,PRFQ000184,453,461,1,1,Granite PurchaseRequestForQuote 184,2020-07-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3e184bd734c5d14807fa29354582507b3e184bd734c5d14807fa29354582507
185,PRFQ000185,353,384,2,3,Meridian PurchaseRequestForQuote 185,2020-07-04,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b7738d6c5aa549e96ed10226d92ba807b7738d6c5aa549e96ed10226d92ba80
186,PRFQ000186,236,269,2,2,Liberty PurchaseRequestForQuote 186,2020-07-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3999bfc1d88e5f7a8e890496005cddc43999bfc1d88e5f7a8e890496005cddc4
187,PRFQ000187,26,-1,4,2,Evergreen PurchaseRequestForQuote 187,2020-07-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b6cbb715c7a58d096fc5c70819558623b6cbb715c7a58d096fc5c7081955862
188,PRFQ000188,368,493,3,5,Harbor PurchaseRequestForQuote 188,2020-07-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6c1417fc19655e69c230519741afc37b6c1417fc19655e69c230519741afc37
189,PRFQ000189,222,11,3,5,Meridian PurchaseRequestForQuote 189,2020-07-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10a617b3ef6258d8af8bcad17d7167ff10a617b3ef6258d8af8bcad17d7167ff
190,PRFQ000190,272,342,1,1,Granite PurchaseRequestForQuote 190,2020-07-09,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a877d32074852249ec5ddeed8e464e99a877d32074852249ec5ddeed8e464e9
191,PRFQ000191,99,489,5,3,Ion PurchaseRequestForQuote 191,2020-07-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f42e61e2d2435a2097340620a2f41cddf42e61e2d2435a2097340620a2f41cdd
192,PRFQ000192,38,355,5,3,Delta PurchaseRequestForQuote 192,2020-07-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e307fd2f85455e28625432252fad5801e307fd2f85455e28625432252fad580
193,PRFQ000193,153,348,2,4,Riverton PurchaseRequestForQuote 193,2020-07-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e58c074e23b5776815478c34ef907d88e58c074e23b5776815478c34ef907d8
194,PRFQ000194,192,3,3,4,Pioneer PurchaseRequestForQuote 194,2020-07-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b84daea403f5f86b9001836c1dfca0c0b84daea403f5f86b9001836c1dfca0c
195,PRFQ000195,131,256,3,5,Unity PurchaseRequestForQuote 195,2020-07-14,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c7b5e35a3f45db087d64068a2767cb46c7b5e35a3f45db087d64068a2767cb4
196,PRFQ000196,390,444,2,3,Liberty PurchaseRequestForQuote 196,2020-07-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b745f49516195833b61caff6c72ae11fb745f49516195833b61caff6c72ae11f
