LaborAssignmentKey,LaborAssignmentNumber,EmployeeKey,PlantKey,BusinessUnitKey,CostCenterKey,LaborJobGradeKey,LaborEmploymentStatusKey,AssignmentName,StandardWeeklyHours,IsPrimaryAssignment,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
103,LA000103,442,111,127,485,31,3,Quartz LaborAssignment 103,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c12e1b372175bc189aa30770d123f451c12e1b372175bc189aa30770d123f45
104,LA000104,337,300,484,269,15,4,Forge LaborAssignment 104,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22bbddc81dca5d079b011fa757ab42d522bbddc81dca5d079b011fa757ab42d5
105,LA000105,418,212,140,352,4,4,Orion LaborAssignment 105,10.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88541fde2ff659f09c480f3b574683ad88541fde2ff659f09c480f3b574683ad
106,LA000106,89,76,413,225,32,8,Northstar LaborAssignment 106,11.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42774ce8821852b6b6634c40add8084342774ce8821852b6b6634c40add80843
107,LA000107,148,119,435,161,24,6,Liberty LaborAssignment 107,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50d5d9716a0c5164a6a3861572d63e0c50d5d9716a0c5164a6a3861572d63e0c
108,LA000108,112,106,54,373,7,6,Meridian LaborAssignment 108,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95582cab7365599bb3068556fd430c0795582cab7365599bb3068556fd430c07
109,LA000109,369,51,10,151,4,2,Ion LaborAssignment 109,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2f9dd81e316524d9508425b1a72b821c2f9dd81e316524d9508425b1a72b821
110,LA000110,8,273,293,269,32,5,Unity LaborAssignment 110,15.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f869f5ff43554928ad968b7e69544186f869f5ff43554928ad968b7e6954418
111,LA000111,135,291,245,94,7,3,Willow LaborAssignment 111,16.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc0efaf0d4c1505bb2610bff14c0a450fc0efaf0d4c1505bb2610bff14c0a450
112,LA000112,423,251,371,1,28,2,Delta LaborAssignment 112,17.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8489cd8546dc52c58e3f5ced1b7295948489cd8546dc52c58e3f5ced1b729594
113,LA000113,354,210,300,313,31,4,Granite LaborAssignment 113,18.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21e271a01753521e8f31c0b9794abb0921e271a01753521e8f31c0b9794abb09
114,LA000114,61,160,293,496,32,1,Granite LaborAssignment 114,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45f78f6117b3567484e47b5fdc54d28945f78f6117b3567484e47b5fdc54d289
115,LA000115,479,345,152,72,21,2,Orion LaborAssignment 115,20.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd56930e5d905fbc955548eb07ba44e1cd56930e5d905fbc955548eb07ba44e1
116,LA000116,219,57,384,386,26,8,Liberty LaborAssignment 116,21.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5182c1536bee512f91ec46b7a44e01f15182c1536bee512f91ec46b7a44e01f1
117,LA000117,291,63,373,496,29,5,Forge LaborAssignment 117,22.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce9e71723b255777939bd0056fdd4eebce9e71723b255777939bd0056fdd4eeb
118,LA000118,61,6,95,200,6,3,Unity LaborAssignment 118,23.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2cf05d2fae4e518d84d3ac75ef0a0bea2cf05d2fae4e518d84d3ac75ef0a0bea
119,LA000119,95,282,494,321,27,5,Riverton LaborAssignment 119,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c3c555664215f2f9bfc41bd03cd6a732c3c555664215f2f9bfc41bd03cd6a73
120,LA000120,430,189,374,480,1,4,Titan LaborAssignment 120,1.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4db8d938d555e7fa5f33b8a1d59d07ca4db8d938d555e7fa5f33b8a1d59d07c
121,LA000121,247,270,175,235,32,3,Beacon LaborAssignment 121,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85cc48dc51ce5eb283515e828ecf69e885cc48dc51ce5eb283515e828ecf69e8
122,LA000122,490,288,24,120,21,6,Ion LaborAssignment 122,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e7ae3eacd2a552397674594649826440e7ae3eacd2a55239767459464982644
123,LA000123,274,245,89,426,26,4,Titan LaborAssignment 123,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,673c61bc829a58fdae643b008811078c673c61bc829a58fdae643b008811078c
124,LA000124,461,54,229,372,2,7,Delta LaborAssignment 124,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75fffa898593573f94c7c8cb13db6cc275fffa898593573f94c7c8cb13db6cc2
125,LA000125,187,50,275,263,28,8,Harbor LaborAssignment 125,6.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e80f62facecc5e54bbbf86d5e9bd2cb7e80f62facecc5e54bbbf86d5e9bd2cb7
126,LA000126,323,113,209,438,15,7,Granite LaborAssignment 126,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a0dc93141c75f4399527b65bed9e0963a0dc93141c75f4399527b65bed9e096
127,LA000127,275,257,226,365,32,6,Riverton LaborAssignment 127,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e19395f04f225a688a25253ed3b0b5f4e19395f04f225a688a25253ed3b0b5f4
128,LA000128,183,86,328,358,31,5,Evergreen LaborAssignment 128,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96b743968421563e81b953110773e51096b743968421563e81b953110773e510
129,LA000129,71,43,196,299,31,8,Unity LaborAssignment 129,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b66cee632b8354c6aafee65c18882033b66cee632b8354c6aafee65c18882033
130,LA000130,401,339,430,467,24,4,Zenith LaborAssignment 130,11.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,039fdc20a1655fc4b08ef71d256fbdbf039fdc20a1655fc4b08ef71d256fbdbf
131,LA000131,449,100,307,277,27,7,Northstar LaborAssignment 131,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8160c7a2b1f5a8aa008feff52bfe414b8160c7a2b1f5a8aa008feff52bfe414
132,LA000132,226,15,303,371,23,2,Junction LaborAssignment 132,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84ce4cea91395b4d8999f431bbe87b4784ce4cea91395b4d8999f431bbe87b47
133,LA000133,301,252,333,209,15,1,Willow LaborAssignment 133,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b18c1190674d5912bde60c0aef336e16b18c1190674d5912bde60c0aef336e16
134,LA000134,273,147,458,179,28,6,Titan LaborAssignment 134,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,041a069f1044527cbc1b4d0834e55227041a069f1044527cbc1b4d0834e55227
135,LA000135,271,202,230,18,25,6,Evergreen LaborAssignment 135,16.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ca5a6f29ffd51fa9c8938e32ab154d75ca5a6f29ffd51fa9c8938e32ab154d7
136,LA000136,358,48,372,468,25,2,Pioneer LaborAssignment 136,17.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,834777064a305ea596165fd0ba4e5af5834777064a305ea596165fd0ba4e5af5
137,LA000137,498,313,346,174,5,5,Northstar LaborAssignment 137,18.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44f212d5ee3f52b4b0b40393a322fc8544f212d5ee3f52b4b0b40393a322fc85
138,LA000138,229,175,262,23,11,8,Evergreen LaborAssignment 138,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,374dc973c6ae5274a29ccf755a51da5f374dc973c6ae5274a29ccf755a51da5f
139,LA000139,70,94,219,491,20,5,Forge LaborAssignment 139,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2279b503ccd55686807223a2c1d2a84d2279b503ccd55686807223a2c1d2a84d
140,LA000140,393,343,430,182,8,7,Atlas LaborAssignment 140,21.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ba9204790a95f2b90fb5f6bb96016f74ba9204790a95f2b90fb5f6bb96016f7
141,LA000141,130,274,130,201,15,3,Cedar LaborAssignment 141,22.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57634389d6695fc4a006c85cc52702fd57634389d6695fc4a006c85cc52702fd
142,LA000142,271,315,286,254,20,8,Pioneer LaborAssignment 142,23.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92c520b87b4a50338c313364d332364a92c520b87b4a50338c313364d332364a
143,LA000143,7,265,349,451,34,2,Junction LaborAssignment 143,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d89ffd5bf7be511fa00564db6b0d75a6d89ffd5bf7be511fa00564db6b0d75a6
144,LA000144,89,256,326,273,7,2,Summit LaborAssignment 144,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4590bd41fe345df487d336d2a1e5d9e24590bd41fe345df487d336d2a1e5d9e2
145,LA000145,435,183,219,363,21,3,Junction LaborAssignment 145,2.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cc035ba52dd51eca72450f85881928e6cc035ba52dd51eca72450f85881928e
146,LA000146,200,213,98,61,19,8,Ion LaborAssignment 146,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86353d5752125a3494411b27e9ad27d386353d5752125a3494411b27e9ad27d3
147,LA000147,17,170,217,170,19,7,Beacon LaborAssignment 147,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bf20dc8f35051549bbc097f311112ff5bf20dc8f35051549bbc097f311112ff
148,LA000148,156,179,90,256,29,8,Zenith LaborAssignment 148,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c86dc4e91e26548f83d3434cfae91febc86dc4e91e26548f83d3434cfae91feb
149,LA000149,183,143,367,159,14,3,Titan LaborAssignment 149,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9861932f1f557ab8c06dbc60945a1dfb9861932f1f557ab8c06dbc60945a1df
150,LA000150,251,291,375,326,33,3,Willow LaborAssignment 150,7.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3dec7077ca950808bd02693b0180054f3dec7077ca950808bd02693b0180054
151,LA000151,95,140,259,347,7,6,Delta LaborAssignment 151,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e99bcd35bc4d54beb338ba4bbad5684ae99bcd35bc4d54beb338ba4bbad5684a
152,LA000152,120,128,38,331,20,2,Keystone LaborAssignment 152,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d179559327305182b9caeae3a05fd27bd179559327305182b9caeae3a05fd27b
153,LA000153,90,312,195,126,14,5,Meridian LaborAssignment 153,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e2f3afb3c23517aabe798d64edf93ac1e2f3afb3c23517aabe798d64edf93ac
154,LA000154,11,177,223,371,24,1,Willow LaborAssignment 154,11.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1d4f5e2f5ac5c87923f94cdfc798fcba1d4f5e2f5ac5c87923f94cdfc798fcb
155,LA000155,242,317,124,338,21,6,Forge LaborAssignment 155,12.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b84aa21ed6635b7cbcc6822badf1b429b84aa21ed6635b7cbcc6822badf1b429
156,LA000156,351,118,292,364,20,5,Northstar LaborAssignment 156,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bf43123735b54c6a193afff1dc0ffb17bf43123735b54c6a193afff1dc0ffb1
157,LA000157,158,54,419,270,33,4,Quartz LaborAssignment 157,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d68748cefb354b1abe3bd6e1f6d6c8a3d68748cefb354b1abe3bd6e1f6d6c8a
158,LA000158,482,253,496,438,14,7,Keystone LaborAssignment 158,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,742cc951dc585d2cb8583a8852b7bd4d742cc951dc585d2cb8583a8852b7bd4d
159,LA000159,178,338,10,165,32,3,Pioneer LaborAssignment 159,16.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7607696f721c5a25a8afd3bf792311f67607696f721c5a25a8afd3bf792311f6
160,LA000160,450,80,486,388,9,1,Orion LaborAssignment 160,17.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d601b0b72a2f55e2978d24ccb3b7ea5ad601b0b72a2f55e2978d24ccb3b7ea5a
161,LA000161,209,82,428,396,6,1,Pioneer LaborAssignment 161,18.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ebd6dd8507d53d88b4b8f67468a672f3ebd6dd8507d53d88b4b8f67468a672f
162,LA000162,183,167,65,467,15,5,Vertex LaborAssignment 162,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c728a21e32595daba41533f4faf44d7fc728a21e32595daba41533f4faf44d7f
163,LA000163,274,338,76,151,27,5,Beacon LaborAssignment 163,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e6482d7eaf5555cb86d7e2e39e37e2e4e6482d7eaf5555cb86d7e2e39e37e2e
164,LA000164,365,207,325,191,16,4,Delta LaborAssignment 164,21.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d889609b59bd5dc68056c2ffb85337fad889609b59bd5dc68056c2ffb85337fa
165,LA000165,366,76,144,223,34,3,Atlas LaborAssignment 165,22.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1593da732f1f5719a8a84a6ba27dba991593da732f1f5719a8a84a6ba27dba99
166,LA000166,419,19,136,480,15,3,Delta LaborAssignment 166,23.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e97656788c025235a7c3efef5cec38dbe97656788c025235a7c3efef5cec38db
167,LA000167,129,167,112,443,10,2,Beacon LaborAssignment 167,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28993e70de5e57f6b98fd48e2e09a99e28993e70de5e57f6b98fd48e2e09a99e
168,LA000168,135,116,281,99,26,2,Harbor LaborAssignment 168,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7572654cc304538ebfb5155e80a6043c7572654cc304538ebfb5155e80a6043c
169,LA000169,477,255,99,37,33,1,Vertex LaborAssignment 169,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a7f203929be514aafbf6d5c1e0184805a7f203929be514aafbf6d5c1e018480
170,LA000170,222,267,484,152,1,5,Atlas LaborAssignment 170,3.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69ab30ec3b315296897271614aa279e069ab30ec3b315296897271614aa279e0
171,LA000171,265,46,406,188,12,3,Northstar LaborAssignment 171,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0cc021a27d0595fb0876cb4dcdee7e7c0cc021a27d0595fb0876cb4dcdee7e7
172,LA000172,241,313,161,243,2,8,Delta LaborAssignment 172,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6678d970ed555235a3ac4999ad93ed8d6678d970ed555235a3ac4999ad93ed8d
173,LA000173,229,234,8,128,22,3,Liberty LaborAssignment 173,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd9c7c8234dc584ca77b4ee4d2e9fa4fcd9c7c8234dc584ca77b4ee4d2e9fa4f
174,LA000174,147,329,168,34,12,7,Quartz LaborAssignment 174,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4133624831495f3d913e89cf7bfed2244133624831495f3d913e89cf7bfed224
175,LA000175,201,301,113,63,11,1,Ion LaborAssignment 175,8.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6bfcafd94b15892a1fc1f23a27e4d51d6bfcafd94b15892a1fc1f23a27e4d51
176,LA000176,223,323,293,365,33,4,Riverton LaborAssignment 176,9.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db21ee31d83f5f81b2333241867b4b54db21ee31d83f5f81b2333241867b4b54
177,LA000177,388,204,130,298,24,2,Northstar LaborAssignment 177,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f5fdac435c455118fcde183dfe20e2e4f5fdac435c455118fcde183dfe20e2e
178,LA000178,469,8,285,210,27,6,Keystone LaborAssignment 178,11.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05f6fd96ddcb5f58b4004b7dceaa955f05f6fd96ddcb5f58b4004b7dceaa955f
179,LA000179,48,212,53,15,29,8,Vertex LaborAssignment 179,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cf17fe6b8105ee884f91ba3e90004328cf17fe6b8105ee884f91ba3e9000432
180,LA000180,15,320,359,199,18,3,Willow LaborAssignment 180,13.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f840173c9b95c048d569a4c27cc03e37f840173c9b95c048d569a4c27cc03e3
181,LA000181,365,82,198,353,32,3,Northstar LaborAssignment 181,14.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae6600f11a055a7ca6a7a65bdb9fbf7cae6600f11a055a7ca6a7a65bdb9fbf7c
182,LA000182,236,216,408,116,14,7,Willow LaborAssignment 182,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2701964cb775fe187481d1beaa72ffef2701964cb775fe187481d1beaa72ffe
183,LA000183,95,15,157,476,3,4,Evergreen LaborAssignment 183,16.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b71ca526980b5076b491c534c5337263b71ca526980b5076b491c534c5337263
184,LA000184,353,307,91,391,13,2,Delta LaborAssignment 184,17.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87e05b06597f5b139cab45ffac1d89bb87e05b06597f5b139cab45ffac1d89bb
185,LA000185,360,170,3,378,27,8,Meridian LaborAssignment 185,18.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7106d300cede57bca10b32b708b99bc17106d300cede57bca10b32b708b99bc1
186,LA000186,430,323,408,204,12,1,Liberty LaborAssignment 186,19.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c660b99ef44d5a1ebbec933ec9bf3c15c660b99ef44d5a1ebbec933ec9bf3c15
187,LA000187,17,176,156,397,30,4,Cedar LaborAssignment 187,20.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e1d9515465c516a9cd99959fe01defe7e1d9515465c516a9cd99959fe01defe
188,LA000188,257,292,381,405,34,8,Evergreen LaborAssignment 188,21.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a52eb4724a5c591ab84e07afe752533aa52eb4724a5c591ab84e07afe752533a
189,LA000189,40,79,271,109,29,3,Keystone LaborAssignment 189,22.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b68d04dd1af5f978728fde66c071c255b68d04dd1af5f978728fde66c071c25
190,LA000190,455,79,354,363,1,4,Riverton LaborAssignment 190,23.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35a2ebfbe4695a51a34b9bae9817d9aa35a2ebfbe4695a51a34b9bae9817d9aa
191,LA000191,131,198,165,96,16,4,Beacon LaborAssignment 191,24.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4475850bb3653ec8a440cf5265c94b9c4475850bb3653ec8a440cf5265c94b9
192,LA000192,174,102,438,120,34,6,Liberty LaborAssignment 192,1.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75a97c8d5dd85feeacbfe20a51cfb38275a97c8d5dd85feeacbfe20a51cfb382
193,LA000193,60,135,482,107,32,3,Harbor LaborAssignment 193,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8180c146a5445c9681c6a4f06968cbdb8180c146a5445c9681c6a4f06968cbdb
194,LA000194,378,43,78,433,34,7,Harbor LaborAssignment 194,3.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da2c8feb8bde5cc988709f3528053ecada2c8feb8bde5cc988709f3528053eca
195,LA000195,132,228,465,480,34,1,Cedar LaborAssignment 195,4.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eebf0ca5fabf5e00b5da5f6695bc65d5eebf0ca5fabf5e00b5da5f6695bc65d5
196,LA000196,184,127,283,112,16,4,Northstar LaborAssignment 196,5.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c542b4fce1d159e7b9a726b5565f8149c542b4fce1d159e7b9a726b5565f8149
197,LA000197,186,330,182,473,29,8,Northstar LaborAssignment 197,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c0cfca807b55904bd25e448b5f5c1c06c0cfca807b55904bd25e448b5f5c1c0
198,LA000198,60,47,256,106,3,4,Orion LaborAssignment 198,7.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,899624a6137a5582980dcf3355447794899624a6137a5582980dcf3355447794
199,LA000199,444,17,78,205,3,5,Junction LaborAssignment 199,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7aece13c8ccf57dba3da1d553801339e7aece13c8ccf57dba3da1d553801339e
200,LA000200,8,108,191,244,9,5,Atlas LaborAssignment 200,9.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ff33af52e1d55c2b80be10f4a9e11b38ff33af52e1d55c2b80be10f4a9e11b3
201,LA000201,236,218,406,390,4,5,Junction LaborAssignment 201,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9794b8f1e09d58438047034d3a3cc1ca9794b8f1e09d58438047034d3a3cc1ca
202,LA000202,153,115,143,250,23,5,Junction LaborAssignment 202,11.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24f481558cca5ba684a03272ccb2eab524f481558cca5ba684a03272ccb2eab5
203,LA000203,338,152,23,101,3,1,Zenith LaborAssignment 203,12.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e34214e873056c0b6b704d836a9e5b69e34214e873056c0b6b704d836a9e5b6
204,LA000204,421,262,377,145,16,5,Ion LaborAssignment 204,13.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a8c036789d5595a8324494ec1c059238a8c036789d5595a8324494ec1c05923
205,LA000205,120,130,136,128,34,6,Summit LaborAssignment 205,14.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0007c03ec49451eda2c3f1f252aeb6670007c03ec49451eda2c3f1f252aeb667
206,LA000206,298,141,135,140,27,6,Quartz LaborAssignment 206,15.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76d5c8f105ca574da33fcb3e8b2b95ca76d5c8f105ca574da33fcb3e8b2b95ca
