MachineKey,MachineNumber,AssetKey,WorkCenterKey,PlantKey,MachineStationKey,MachineCapacityRatingKey,RecordStatusKey,MachineName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
103,M000103,443,243,43,166,16,2,Beacon Machine 103,M000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2c0440cf5305e689a5dd7a078ed7234a2c0440cf5305e689a5dd7a078ed7234
104,M000104,24,16,277,70,169,1,Titan Machine 104,M000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,962713ccdeb55ffeaa6c634cd3df7f10962713ccdeb55ffeaa6c634cd3df7f10
105,M000105,452,363,71,103,401,2,Northstar Machine 105,M000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05628264ea115dc6bfa2d0204f10af8f05628264ea115dc6bfa2d0204f10af8f
106,M000106,232,140,204,287,328,1,Willow Machine 106,M000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7be38ed718d54218cfc7ab8ee0b353bb7be38ed718d54218cfc7ab8ee0b353b
107,M000107,194,311,343,454,218,3,Liberty Machine 107,M000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca02c6a0b38b5ce896d8255aca992398ca02c6a0b38b5ce896d8255aca992398
108,M000108,333,416,105,354,173,3,Ion Machine 108,M000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ea8c3390909584388e2f627df58d9af2ea8c3390909584388e2f627df58d9af
109,M000109,75,361,258,310,260,4,Liberty Machine 109,M000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,175a21826531595fa5585a54361df5e2175a21826531595fa5585a54361df5e2
110,M000110,434,319,59,397,422,3,Forge Machine 110,M000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2b72329168b50dfb16f35e8ff3318e0c2b72329168b50dfb16f35e8ff3318e0
111,M000111,320,293,230,71,79,2,Summit Machine 111,M000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74716314098d50ccb433d493d94b013a74716314098d50ccb433d493d94b013a
112,M000112,350,335,29,70,71,3,Harbor Machine 112,M000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3da78d41e2359779a9a01f6d94a761fc3da78d41e2359779a9a01f6d94a761f
113,M000113,48,105,226,198,92,2,Pioneer Machine 113,M000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbd67ff78f14584fb6aa1172de0fd072fbd67ff78f14584fb6aa1172de0fd072
114,M000114,108,299,97,471,481,2,Liberty Machine 114,M000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16a357f4c2e95e6888c9a1fe4700b8fc16a357f4c2e95e6888c9a1fe4700b8fc
115,M000115,103,121,223,432,344,3,Granite Machine 115,M000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73672b677c8a50aab07b063c83ad4b5173672b677c8a50aab07b063c83ad4b51
116,M000116,396,452,334,104,186,4,Zenith Machine 116,M000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c25bd9a9f5685e128a36acb5f537f390c25bd9a9f5685e128a36acb5f537f390
117,M000117,230,124,317,482,447,3,Orion Machine 117,M000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3097c971d3e5ad68abf8c1d76df2ed0f3097c971d3e5ad68abf8c1d76df2ed0
118,M000118,304,305,109,252,152,3,Beacon Machine 118,M000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e015b41f1245872a08874f68bce14f59e015b41f1245872a08874f68bce14f5
119,M000119,127,375,64,152,66,4,Granite Machine 119,M000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e22f97e06c55492ad2c2efedabe131e8e22f97e06c55492ad2c2efedabe131e
120,M000120,228,218,73,462,259,1,Granite Machine 120,M000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a18465fcc88598482a06d2d4fa438674a18465fcc88598482a06d2d4fa43867
121,M000121,7,132,62,319,300,2,Willow Machine 121,M000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1b3d0e209035937b7d7d615ec3f6758e1b3d0e209035937b7d7d615ec3f6758
122,M000122,473,439,305,300,454,4,Liberty Machine 122,M000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccbe82579bac54879a57b9dbdf96074fccbe82579bac54879a57b9dbdf96074f
123,M000123,276,149,333,368,47,2,Delta Machine 123,M000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72a5486563375cd29788bd48625cdae272a5486563375cd29788bd48625cdae2
124,M000124,323,364,96,204,347,4,Atlas Machine 124,M000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d119197c7b6515fad2ff7cc6e678b937d119197c7b6515fad2ff7cc6e678b93
125,M000125,307,82,202,238,128,3,Junction Machine 125,M000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3251c67051d517295211c344511a069f3251c67051d517295211c344511a069
126,M000126,82,24,110,417,189,2,Vertex Machine 126,M000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77247fb0deec589ba05d1b5f7d591c3277247fb0deec589ba05d1b5f7d591c32
127,M000127,496,114,246,61,225,3,Titan Machine 127,M000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f770f18342ac560aa6aebb8da2d46551f770f18342ac560aa6aebb8da2d46551
128,M000128,93,493,19,481,340,3,Atlas Machine 128,M000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd4b477ca2df50e7a1c8427a91fabdb6cd4b477ca2df50e7a1c8427a91fabdb6
129,M000129,371,171,118,437,496,3,Forge Machine 129,M000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04ebc6c90a6d58f0a1e8f97a8cc36f0a04ebc6c90a6d58f0a1e8f97a8cc36f0a
130,M000130,386,351,192,71,209,3,Liberty Machine 130,M000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bd8efd295a75ef8ac5f0bcb17ba61e82bd8efd295a75ef8ac5f0bcb17ba61e8
131,M000131,408,498,236,56,174,2,Junction Machine 131,M000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6f5b3d561e65959bc482feb20d4cbfbe6f5b3d561e65959bc482feb20d4cbfb
132,M000132,356,211,160,243,132,3,Evergreen Machine 132,M000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7046eb5a009559679c7128db015ea3407046eb5a009559679c7128db015ea340
133,M000133,243,427,170,322,493,4,Riverton Machine 133,M000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e6b2f5f6f0b5d6eab119b85158066931e6b2f5f6f0b5d6eab119b8515806693
134,M000134,320,486,56,232,364,3,Junction Machine 134,M000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,745744d2f13e51879779aa5327f7bb5d745744d2f13e51879779aa5327f7bb5d
135,M000135,151,422,61,263,65,1,Junction Machine 135,M000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4da368f1463f50288ef8580ddbc2c9d64da368f1463f50288ef8580ddbc2c9d6
136,M000136,304,35,51,364,192,4,Riverton Machine 136,M000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9a46077a4535d90baf21bb4ac57a91ff9a46077a4535d90baf21bb4ac57a91f
137,M000137,50,404,279,174,47,3,Junction Machine 137,M000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,160391af79ea5c4eb0b85b58863edf59160391af79ea5c4eb0b85b58863edf59
138,M000138,165,376,145,378,125,4,Pioneer Machine 138,M000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8b880ab8b9a5f11b4b5e18f10a61a1cc8b880ab8b9a5f11b4b5e18f10a61a1c
139,M000139,160,351,346,406,114,4,Junction Machine 139,M000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9dc27494d0065e42abab2be9ba4cf5a89dc27494d0065e42abab2be9ba4cf5a8
140,M000140,165,27,308,194,468,4,Cedar Machine 140,M000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1e632c3f4cc5b57ae6cc38147368723e1e632c3f4cc5b57ae6cc38147368723
141,M000141,87,311,130,171,198,3,Cedar Machine 141,M000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6aeea277438e5a0ba57f4869bbd395bc6aeea277438e5a0ba57f4869bbd395bc
142,M000142,360,35,284,22,9,3,Zenith Machine 142,M000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e720d79cdd3a57aea1f4ee3f1bbcdcbae720d79cdd3a57aea1f4ee3f1bbcdcba
143,M000143,487,5,236,367,363,1,Ion Machine 143,M000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c1215cd7bcb550c986bb0ce4e923a690c1215cd7bcb550c986bb0ce4e923a69
144,M000144,447,445,65,283,18,3,Forge Machine 144,M000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b14177d358a53d1a82dff421df879f66b14177d358a53d1a82dff421df879f6
145,M000145,114,199,173,24,132,1,Orion Machine 145,M000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,889696b7cbb55d6ab0d2392b7517db3f889696b7cbb55d6ab0d2392b7517db3f
146,M000146,14,124,96,387,390,3,Zenith Machine 146,M000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62aeb3be5732528895ce56890d44e17862aeb3be5732528895ce56890d44e178
147,M000147,337,487,178,183,405,4,Unity Machine 147,M000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c42680f9a29e5bad9be9f44ba1fb0f82c42680f9a29e5bad9be9f44ba1fb0f82
148,M000148,9,13,342,432,485,1,Liberty Machine 148,M000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df7aeafb1947573da6b303a7f3ec86a5df7aeafb1947573da6b303a7f3ec86a5
149,M000149,234,445,225,318,5,3,Liberty Machine 149,M000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d78df4725b05c95971d4be6ec86b07e5d78df4725b05c95971d4be6ec86b07e
150,M000150,448,11,324,485,352,3,Titan Machine 150,M000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d43057c873cc5238b7ba9f64622dcee4d43057c873cc5238b7ba9f64622dcee4
151,M000151,143,77,269,237,450,2,Titan Machine 151,M000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1ef352415ec5a0f97e81da9c539bb69b1ef352415ec5a0f97e81da9c539bb69
152,M000152,247,204,52,117,82,3,Harbor Machine 152,M000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e70b6ba57c2b519a9b21322c96f3eb2fe70b6ba57c2b519a9b21322c96f3eb2f
153,M000153,155,302,242,280,76,2,Junction Machine 153,M000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,faf5ad5093f954fa84b04a55b8d6cb87faf5ad5093f954fa84b04a55b8d6cb87
154,M000154,60,429,57,274,312,4,Junction Machine 154,M000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ab3629a514f515bb48b954690a52bb68ab3629a514f515bb48b954690a52bb6
155,M000155,78,355,228,445,160,2,Junction Machine 155,M000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bace2f4f7f585ad8bbf81821f0abe2e5bace2f4f7f585ad8bbf81821f0abe2e5
156,M000156,248,432,183,280,205,1,Quartz Machine 156,M000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b771d6825e3563fb9cd940bdd89b0782b771d6825e3563fb9cd940bdd89b078
157,M000157,208,364,4,206,468,2,Liberty Machine 157,M000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf449a1705ab5d3498c0c288cbeec844cf449a1705ab5d3498c0c288cbeec844
158,M000158,333,172,131,115,441,1,Zenith Machine 158,M000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7470733233575211abeaf4bee03affb57470733233575211abeaf4bee03affb5
159,M000159,212,164,328,243,35,3,Harbor Machine 159,M000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95188e5ae32555639c67eb75575bbd7b95188e5ae32555639c67eb75575bbd7b
160,M000160,135,204,46,434,341,2,Granite Machine 160,M000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4534642c0a7956d1886eccd71488c3774534642c0a7956d1886eccd71488c377
161,M000161,496,286,40,163,41,4,Riverton Machine 161,M000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5dfa352a8db5e7a8b96f8f224d20746f5dfa352a8db5e7a8b96f8f224d20746
162,M000162,38,449,175,320,116,2,Titan Machine 162,M000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,858141eff6b1517fb805643cdbcebd90858141eff6b1517fb805643cdbcebd90
163,M000163,1,408,315,378,312,3,Orion Machine 163,M000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56b573e48d5756c7b8c19ed14c3e70c056b573e48d5756c7b8c19ed14c3e70c0
164,M000164,407,80,158,481,338,4,Atlas Machine 164,M000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6e8102f39cd5a51b17c09462d16e748e6e8102f39cd5a51b17c09462d16e748
165,M000165,221,450,185,10,500,4,Junction Machine 165,M000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a11c36d4c0a354b499a60aff752aa219a11c36d4c0a354b499a60aff752aa219
166,M000166,181,398,347,357,394,2,Ion Machine 166,M000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1db077e40412526a9ff5a8e5963966f51db077e40412526a9ff5a8e5963966f5
167,M000167,203,137,220,490,219,3,Unity Machine 167,M000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b897e9b8dee5f66a2303f767e5164318b897e9b8dee5f66a2303f767e516431
168,M000168,448,16,274,3,178,3,Delta Machine 168,M000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,840ad3f7a8d4508e907b624a10a6c412840ad3f7a8d4508e907b624a10a6c412
169,M000169,138,68,120,324,22,2,Harbor Machine 169,M000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf000cafd03159bf8b12068abd5c8a5ebf000cafd03159bf8b12068abd5c8a5e
170,M000170,36,124,314,457,268,1,Unity Machine 170,M000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56d2debb2ffe55219f710ed29af9d60856d2debb2ffe55219f710ed29af9d608
171,M000171,380,279,231,2,290,1,Liberty Machine 171,M000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b97060a198a5a8991e376115f3ea76e2b97060a198a5a8991e376115f3ea76e
172,M000172,278,460,56,356,213,4,Keystone Machine 172,M000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3f4d3b3403751528fbd31be90dd9227e3f4d3b3403751528fbd31be90dd9227
173,M000173,231,414,88,161,106,1,Harbor Machine 173,M000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3a1b8c871e65218ae85152d45932785f3a1b8c871e65218ae85152d45932785
174,M000174,144,263,197,356,149,1,Titan Machine 174,M000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83c83ce39557532a8aa5074b90dcfde083c83ce39557532a8aa5074b90dcfde0
175,M000175,492,248,128,121,276,1,Pioneer Machine 175,M000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32d5053c157f5e3ebb516b73293dc41432d5053c157f5e3ebb516b73293dc414
176,M000176,497,146,115,497,474,1,Delta Machine 176,M000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,432f0fdc4dea5b2ea8e4e8f5f708a1a0432f0fdc4dea5b2ea8e4e8f5f708a1a0
177,M000177,183,405,289,72,297,2,Liberty Machine 177,M000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,292279a3b873561a9747353f8db89b61292279a3b873561a9747353f8db89b61
178,M000178,351,87,10,206,178,2,Atlas Machine 178,M000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3c3f4dc63135c6aacfa592b701c9aefb3c3f4dc63135c6aacfa592b701c9aef
179,M000179,232,477,295,146,442,3,Evergreen Machine 179,M000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40258da355ca59bda9fbec80f7b4c90d40258da355ca59bda9fbec80f7b4c90d
180,M000180,87,434,334,194,119,1,Atlas Machine 180,M000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b10615b912b6578baffb08d3b6355c48b10615b912b6578baffb08d3b6355c48
181,M000181,266,233,118,395,18,3,Pioneer Machine 181,M000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d897e102077f5e7ba8162abd9646e21ed897e102077f5e7ba8162abd9646e21e
182,M000182,284,331,335,401,195,4,Quartz Machine 182,M000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5c0b5cd581856599df2e085a6c38c1ab5c0b5cd581856599df2e085a6c38c1a
183,M000183,447,127,48,500,104,2,Junction Machine 183,M000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2de08c1c5115f25a6b1370e6514fb44c2de08c1c5115f25a6b1370e6514fb44
184,M000184,370,496,49,195,294,4,Forge Machine 184,M000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52ec2546b2d252b091733c634e35069c52ec2546b2d252b091733c634e35069c
185,M000185,386,66,61,362,20,2,Riverton Machine 185,M000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfea541379ce5591a14840e08c001a59cfea541379ce5591a14840e08c001a59
186,M000186,26,74,234,34,272,2,Atlas Machine 186,M000186,1,264.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3369d6670e056b49d4e8ab223c9c842f3369d6670e056b49d4e8ab223c9c842
187,M000187,3,22,102,157,473,2,Zenith Machine 187,M000187,1,266.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd43078f32c4571e8aa1b9a52687ee96fd43078f32c4571e8aa1b9a52687ee96
188,M000188,433,95,139,466,252,1,Evergreen Machine 188,M000188,1,267.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fe520633bc45eca995e61fcd90c7bb71fe520633bc45eca995e61fcd90c7bb7
189,M000189,475,53,69,317,82,3,Atlas Machine 189,M000189,1,268.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d764180a1a3c57cca16cc01a0ccbb8b2d764180a1a3c57cca16cc01a0ccbb8b2
190,M000190,328,360,238,311,148,4,Pioneer Machine 190,M000190,0,270.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,471c7688de3f5810a993c0b6a1c9759b471c7688de3f5810a993c0b6a1c9759b
191,M000191,188,233,137,60,84,1,Beacon Machine 191,M000191,1,271.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c45a6c1f5c75f8b9c0c9367f36a1c737c45a6c1f5c75f8b9c0c9367f36a1c73
192,M000192,146,392,335,274,113,3,Delta Machine 192,M000192,1,273.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f60638c284c56d29bc0745c76bc4f478f60638c284c56d29bc0745c76bc4f47
193,M000193,322,46,126,184,426,4,Harbor Machine 193,M000193,1,274.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,703041e930ba558f96b35fa7a1eb5a25703041e930ba558f96b35fa7a1eb5a25
194,M000194,369,20,340,141,230,2,Quartz Machine 194,M000194,1,275.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5322f302c6f55b0db1989ae092fd1e955322f302c6f55b0db1989ae092fd1e95
195,M000195,118,500,115,350,27,4,Forge Machine 195,M000195,0,277.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dae6a4b35e45a808ed22f7bf8fc35e10dae6a4b35e45a808ed22f7bf8fc35e1
196,M000196,440,426,296,268,47,4,Cedar Machine 196,M000196,1,278.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d661e65f38059e9bfac3da7cc1a7de89d661e65f38059e9bfac3da7cc1a7de8
197,M000197,443,20,168,126,144,1,Unity Machine 197,M000197,1,279.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69724e99e223513c96581580eb2919f669724e99e223513c96581580eb2919f6
198,M000198,455,139,253,239,255,2,Ion Machine 198,M000198,1,281.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e277631a63cc579c8122a0b35c7b11c4e277631a63cc579c8122a0b35c7b11c4
199,M000199,493,223,285,70,260,4,Willow Machine 199,M000199,1,282.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44df591883445a3c868327eecaac0f5244df591883445a3c868327eecaac0f52
200,M000200,411,294,209,480,15,2,Forge Machine 200,M000200,0,284.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca3fee527af55857bc1e74218331e340ca3fee527af55857bc1e74218331e340
201,M000201,20,331,202,470,453,2,Vertex Machine 201,M000201,1,285.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c61e86553fc5474bf3b1d43b6b8b0e02c61e86553fc5474bf3b1d43b6b8b0e0
202,M000202,353,315,299,448,204,3,Ion Machine 202,M000202,1,286.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db01c6633bfa58f4883cba5bdde91cd4db01c6633bfa58f4883cba5bdde91cd4
203,M000203,337,156,301,322,154,2,Atlas Machine 203,M000203,1,288.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d818735969fb5dc0b1d13ed7cef48e41d818735969fb5dc0b1d13ed7cef48e41
204,M000204,177,19,211,102,95,1,Vertex Machine 204,M000204,1,289.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,709d7107532a5c63bea4c389b1c6a952709d7107532a5c63bea4c389b1c6a952
205,M000205,154,378,317,244,339,2,Harbor Machine 205,M000205,0,290.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31a401bcdee35a41ac710775d2c1970b31a401bcdee35a41ac710775d2c1970b
206,M000206,388,265,4,119,441,1,Granite Machine 206,M000206,1,292.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1609c8bd1505e598dc0e9a7f8610779f1609c8bd1505e598dc0e9a7f8610779
