LaborOvertimePolicyKey,OvertimePolicyCode,LaborJobGradeKey,LaborPayTypeKey,OvertimePolicyName,DailyThresholdHours,WeeklyThresholdHours,PremiumMultiplier,SourceSystemKey,BatchId,LoadedAtUtc
223,LOP000223,14,9,Northstar LaborOvertimePolicy 223,8.00,8.00,224.0000,1,1,2026-08-24T00:00:00.000
224,LOP000224,5,10,Forge LaborOvertimePolicy 224,9.00,9.00,225.0000,1,1,2026-08-24T00:00:00.000
225,LOP000225,29,3,Delta LaborOvertimePolicy 225,10.00,10.00,226.0000,1,1,2026-08-24T00:00:00.000
226,LOP000226,24,3,Harbor LaborOvertimePolicy 226,11.00,11.00,227.0000,1,1,2026-08-24T00:00:00.000
227,LOP000227,12,10,Zenith LaborOvertimePolicy 227,12.00,12.00,228.0000,1,1,2026-08-24T00:00:00.000
228,LOP000228,25,5,Northstar LaborOvertimePolicy 228,13.00,13.00,229.0000,1,1,2026-08-24T00:00:00.000
229,LOP000229,21,10,Summit LaborOvertimePolicy 229,14.00,14.00,230.0000,1,1,2026-08-24T00:00:00.000
230,LOP000230,4,7,Atlas LaborOvertimePolicy 230,15.00,15.00,231.0000,1,1,2026-08-24T00:00:00.000
231,LOP000231,24,2,Junction LaborOvertimePolicy 231,16.00,16.00,232.0000,1,1,2026-08-24T00:00:00.000
232,LOP000232,13,2,Atlas LaborOvertimePolicy 232,17.00,17.00,233.0000,1,1,2026-08-24T00:00:00.000
233,LOP000233,10,1,Zenith LaborOvertimePolicy 233,18.00,18.00,234.0000,1,1,2026-08-24T00:00:00.000
234,LOP000234,33,1,Junction LaborOvertimePolicy 234,19.00,19.00,235.0000,1,1,2026-08-24T00:00:00.000
235,LOP000235,27,3,Unity LaborOvertimePolicy 235,20.00,20.00,236.0000,1,1,2026-08-24T00:00:00.000
236,LOP000236,19,11,Unity LaborOvertimePolicy 236,21.00,21.00,237.0000,1,1,2026-08-24T00:00:00.000
237,LOP000237,34,12,Granite LaborOvertimePolicy 237,22.00,22.00,238.0000,1,1,2026-08-24T00:00:00.000
238,LOP000238,4,9,Beacon LaborOvertimePolicy 238,23.00,23.00,239.0000,1,1,2026-08-24T00:00:00.000
239,LOP000239,17,8,Pioneer LaborOvertimePolicy 239,24.00,24.00,240.0000,1,1,2026-08-24T00:00:00.000
240,LOP000240,13,11,Beacon LaborOvertimePolicy 240,1.00,1.00,241.0000,1,1,2026-08-24T00:00:00.000
241,LOP000241,1,10,Liberty LaborOvertimePolicy 241,2.00,2.00,242.0000,1,1,2026-08-24T00:00:00.000
242,LOP000242,15,6,Cedar LaborOvertimePolicy 242,3.00,3.00,243.0000,1,1,2026-08-24T00:00:00.000
243,LOP000243,27,7,Keystone LaborOvertimePolicy 243,4.00,4.00,244.0000,1,1,2026-08-24T00:00:00.000
244,LOP000244,14,9,Summit LaborOvertimePolicy 244,5.00,5.00,245.0000,1,1,2026-08-24T00:00:00.000
245,LOP000245,21,1,Quartz LaborOvertimePolicy 245,6.00,6.00,246.0000,1,1,2026-08-24T00:00:00.000
246,LOP000246,12,7,Evergreen LaborOvertimePolicy 246,7.00,7.00,247.0000,1,1,2026-08-24T00:00:00.000
247,LOP000247,32,4,Unity LaborOvertimePolicy 247,8.00,8.00,248.0000,1,1,2026-08-24T00:00:00.000
248,LOP000248,23,5,Northstar LaborOvertimePolicy 248,9.00,9.00,249.0000,1,1,2026-08-24T00:00:00.000
249,LOP000249,25,12,Zenith LaborOvertimePolicy 249,10.00,10.00,250.0000,1,1,2026-08-24T00:00:00.000
250,LOP000250,13,1,Zenith LaborOvertimePolicy 250,11.00,11.00,251.0000,1,1,2026-08-24T00:00:00.000
251,LOP000251,3,12,Summit LaborOvertimePolicy 251,12.00,12.00,252.0000,1,1,2026-08-24T00:00:00.000
252,LOP000252,34,6,Riverton LaborOvertimePolicy 252,13.00,13.00,253.0000,1,1,2026-08-24T00:00:00.000
253,LOP000253,23,7,Orion LaborOvertimePolicy 253,14.00,14.00,254.0000,1,1,2026-08-24T00:00:00.000
254,LOP000254,31,5,Meridian LaborOvertimePolicy 254,15.00,15.00,255.0000,1,1,2026-08-24T00:00:00.000
255,LOP000255,26,7,Delta LaborOvertimePolicy 255,16.00,16.00,256.0000,1,1,2026-08-24T00:00:00.000
256,LOP000256,21,3,Ion LaborOvertimePolicy 256,17.00,17.00,257.0000,1,1,2026-08-24T00:00:00.000
257,LOP000257,9,8,Keystone LaborOvertimePolicy 257,18.00,18.00,258.0000,1,1,2026-08-24T00:00:00.000
258,LOP000258,10,10,Cedar LaborOvertimePolicy 258,19.00,19.00,259.0000,1,1,2026-08-24T00:00:00.000
259,LOP000259,23,2,Zenith LaborOvertimePolicy 259,20.00,20.00,260.0000,1,1,2026-08-24T00:00:00.000
260,LOP000260,21,1,Orion LaborOvertimePolicy 260,21.00,21.00,261.0000,1,1,2026-08-24T00:00:00.000
261,LOP000261,1,10,Willow LaborOvertimePolicy 261,22.00,22.00,262.0000,1,1,2026-08-24T00:00:00.000
262,LOP000262,28,5,Forge LaborOvertimePolicy 262,23.00,23.00,263.0000,1,1,2026-08-24T00:00:00.000
263,LOP000263,17,7,Junction LaborOvertimePolicy 263,24.00,24.00,264.0000,1,1,2026-08-24T00:00:00.000
264,LOP000264,3,2,Titan LaborOvertimePolicy 264,1.00,1.00,265.0000,1,1,2026-08-24T00:00:00.000
265,LOP000265,9,12,Orion LaborOvertimePolicy 265,2.00,2.00,266.0000,1,1,2026-08-24T00:00:00.000
266,LOP000266,8,2,Unity LaborOvertimePolicy 266,3.00,3.00,267.0000,1,1,2026-08-24T00:00:00.000
267,LOP000267,21,8,Orion LaborOvertimePolicy 267,4.00,4.00,268.0000,1,1,2026-08-24T00:00:00.000
268,LOP000268,7,8,Liberty LaborOvertimePolicy 268,5.00,5.00,269.0000,1,1,2026-08-24T00:00:00.000
269,LOP000269,16,6,Meridian LaborOvertimePolicy 269,6.00,6.00,270.0000,1,1,2026-08-24T00:00:00.000
270,LOP000270,22,11,Pioneer LaborOvertimePolicy 270,7.00,7.00,271.0000,1,1,2026-08-24T00:00:00.000
271,LOP000271,3,1,Forge LaborOvertimePolicy 271,8.00,8.00,272.0000,1,1,2026-08-24T00:00:00.000
272,LOP000272,17,10,Summit LaborOvertimePolicy 272,9.00,9.00,273.0000,1,1,2026-08-24T00:00:00.000
273,LOP000273,22,7,Keystone LaborOvertimePolicy 273,10.00,10.00,274.0000,1,1,2026-08-24T00:00:00.000
274,LOP000274,25,10,Orion LaborOvertimePolicy 274,11.00,11.00,275.0000,1,1,2026-08-24T00:00:00.000
275,LOP000275,32,1,Unity LaborOvertimePolicy 275,12.00,12.00,276.0000,1,1,2026-08-24T00:00:00.000
276,LOP000276,23,7,Harbor LaborOvertimePolicy 276,13.00,13.00,277.0000,1,1,2026-08-24T00:00:00.000
277,LOP000277,28,7,Cedar LaborOvertimePolicy 277,14.00,14.00,278.0000,1,1,2026-08-24T00:00:00.000
278,LOP000278,6,1,Meridian LaborOvertimePolicy 278,15.00,15.00,279.0000,1,1,2026-08-24T00:00:00.000
279,LOP000279,31,2,Delta LaborOvertimePolicy 279,16.00,16.00,280.0000,1,1,2026-08-24T00:00:00.000
280,LOP000280,26,4,Northstar LaborOvertimePolicy 280,17.00,17.00,281.0000,1,1,2026-08-24T00:00:00.000
281,LOP000281,1,3,Keystone LaborOvertimePolicy 281,18.00,18.00,282.0000,1,1,2026-08-24T00:00:00.000
282,LOP000282,23,2,Evergreen LaborOvertimePolicy 282,19.00,19.00,283.0000,1,1,2026-08-24T00:00:00.000
283,LOP000283,30,1,Atlas LaborOvertimePolicy 283,20.00,20.00,284.0000,1,1,2026-08-24T00:00:00.000
284,LOP000284,30,8,Delta LaborOvertimePolicy 284,21.00,21.00,285.0000,1,1,2026-08-24T00:00:00.000
285,LOP000285,6,7,Delta LaborOvertimePolicy 285,22.00,22.00,286.0000,1,1,2026-08-24T00:00:00.000
286,LOP000286,34,11,Cedar LaborOvertimePolicy 286,23.00,23.00,287.0000,1,1,2026-08-24T00:00:00.000
287,LOP000287,3,11,Atlas LaborOvertimePolicy 287,24.00,24.00,288.0000,1,1,2026-08-24T00:00:00.000
288,LOP000288,29,7,Pioneer LaborOvertimePolicy 288,1.00,1.00,289.0000,1,1,2026-08-24T00:00:00.000
289,LOP000289,20,6,Unity LaborOvertimePolicy 289,2.00,2.00,290.0000,1,1,2026-08-24T00:00:00.000
290,LOP000290,3,2,Orion LaborOvertimePolicy 290,3.00,3.00,291.0000,1,1,2026-08-24T00:00:00.000
291,LOP000291,6,5,Meridian LaborOvertimePolicy 291,4.00,4.00,292.0000,1,1,2026-08-24T00:00:00.000
292,LOP000292,12,10,Vertex LaborOvertimePolicy 292,5.00,5.00,293.0000,1,1,2026-08-24T00:00:00.000
293,LOP000293,27,11,Keystone LaborOvertimePolicy 293,6.00,6.00,294.0000,1,1,2026-08-24T00:00:00.000
294,LOP000294,27,6,Forge LaborOvertimePolicy 294,7.00,7.00,295.0000,1,1,2026-08-24T00:00:00.000
295,LOP000295,6,8,Willow LaborOvertimePolicy 295,8.00,8.00,296.0000,1,1,2026-08-24T00:00:00.000
296,LOP000296,13,6,Cedar LaborOvertimePolicy 296,9.00,9.00,297.0000,1,1,2026-08-24T00:00:00.000
297,LOP000297,33,1,Pioneer LaborOvertimePolicy 297,10.00,10.00,298.0000,1,1,2026-08-24T00:00:00.000
298,LOP000298,7,8,Junction LaborOvertimePolicy 298,11.00,11.00,299.0000,1,1,2026-08-24T00:00:00.000
299,LOP000299,19,6,Liberty LaborOvertimePolicy 299,12.00,12.00,300.0000,1,1,2026-08-24T00:00:00.000
300,LOP000300,27,11,Junction LaborOvertimePolicy 300,13.00,13.00,301.0000,1,1,2026-08-24T00:00:00.000
301,LOP000301,15,2,Keystone LaborOvertimePolicy 301,14.00,14.00,302.0000,1,1,2026-08-24T00:00:00.000
302,LOP000302,10,6,Riverton LaborOvertimePolicy 302,15.00,15.00,303.0000,1,1,2026-08-24T00:00:00.000
303,LOP000303,22,10,Granite LaborOvertimePolicy 303,16.00,16.00,304.0000,1,1,2026-08-24T00:00:00.000
304,LOP000304,8,1,Liberty LaborOvertimePolicy 304,17.00,17.00,305.0000,1,1,2026-08-24T00:00:00.000
305,LOP000305,13,11,Pioneer LaborOvertimePolicy 305,18.00,18.00,306.0000,1,1,2026-08-24T00:00:00.000
306,LOP000306,11,4,Quartz LaborOvertimePolicy 306,19.00,19.00,307.0000,1,1,2026-08-24T00:00:00.000
307,LOP000307,22,12,Ion LaborOvertimePolicy 307,20.00,20.00,308.0000,1,1,2026-08-24T00:00:00.000
308,LOP000308,4,9,Zenith LaborOvertimePolicy 308,21.00,21.00,309.0000,1,1,2026-08-24T00:00:00.000
309,LOP000309,34,11,Harbor LaborOvertimePolicy 309,22.00,22.00,310.0000,1,1,2026-08-24T00:00:00.000
310,LOP000310,12,11,Vertex LaborOvertimePolicy 310,23.00,23.00,311.0000,1,1,2026-08-24T00:00:00.000
311,LOP000311,33,6,Summit LaborOvertimePolicy 311,24.00,24.00,312.0000,1,1,2026-08-24T00:00:00.000
312,LOP000312,2,1,Liberty LaborOvertimePolicy 312,1.00,1.00,313.0000,1,1,2026-08-24T00:00:00.000
313,LOP000313,28,12,Evergreen LaborOvertimePolicy 313,2.00,2.00,314.0000,1,1,2026-08-24T00:00:00.000
314,LOP000314,29,3,Orion LaborOvertimePolicy 314,3.00,3.00,315.0000,1,1,2026-08-24T00:00:00.000
315,LOP000315,29,11,Liberty LaborOvertimePolicy 315,4.00,4.00,316.0000,1,1,2026-08-24T00:00:00.000
316,LOP000316,22,2,Keystone LaborOvertimePolicy 316,5.00,5.00,317.0000,1,1,2026-08-24T00:00:00.000
317,LOP000317,31,10,Vertex LaborOvertimePolicy 317,6.00,6.00,318.0000,1,1,2026-08-24T00:00:00.000
318,LOP000318,26,2,Junction LaborOvertimePolicy 318,7.00,7.00,319.0000,1,1,2026-08-24T00:00:00.000
319,LOP000319,15,2,Zenith LaborOvertimePolicy 319,8.00,8.00,320.0000,1,1,2026-08-24T00:00:00.000
320,LOP000320,24,12,Pioneer LaborOvertimePolicy 320,9.00,9.00,321.0000,1,1,2026-08-24T00:00:00.000
321,LOP000321,12,3,Cedar LaborOvertimePolicy 321,10.00,10.00,322.0000,1,1,2026-08-24T00:00:00.000
322,LOP000322,15,8,Liberty LaborOvertimePolicy 322,11.00,11.00,323.0000,1,1,2026-08-24T00:00:00.000
323,LOP000323,13,12,Granite LaborOvertimePolicy 323,12.00,12.00,324.0000,1,1,2026-08-24T00:00:00.000
324,LOP000324,32,12,Orion LaborOvertimePolicy 324,13.00,13.00,325.0000,1,1,2026-08-24T00:00:00.000
325,LOP000325,22,6,Beacon LaborOvertimePolicy 325,14.00,14.00,326.0000,1,1,2026-08-24T00:00:00.000
326,LOP000326,19,7,Willow LaborOvertimePolicy 326,15.00,15.00,327.0000,1,1,2026-08-24T00:00:00.000
327,LOP000327,23,3,Liberty LaborOvertimePolicy 327,16.00,16.00,328.0000,1,1,2026-08-24T00:00:00.000
328,LOP000328,25,4,Liberty LaborOvertimePolicy 328,17.00,17.00,329.0000,1,1,2026-08-24T00:00:00.000
329,LOP000329,24,8,Ion LaborOvertimePolicy 329,18.00,18.00,330.0000,1,1,2026-08-24T00:00:00.000
330,LOP000330,11,2,Granite LaborOvertimePolicy 330,19.00,19.00,331.0000,1,1,2026-08-24T00:00:00.000
331,LOP000331,5,7,Ion LaborOvertimePolicy 331,20.00,20.00,332.0000,1,1,2026-08-24T00:00:00.000
332,LOP000332,16,10,Zenith LaborOvertimePolicy 332,21.00,21.00,333.0000,1,1,2026-08-24T00:00:00.000
333,LOP000333,7,9,Vertex LaborOvertimePolicy 333,22.00,22.00,334.0000,1,1,2026-08-24T00:00:00.000
334,LOP000334,33,9,Ion LaborOvertimePolicy 334,23.00,23.00,335.0000,1,1,2026-08-24T00:00:00.000
335,LOP000335,31,5,Cedar LaborOvertimePolicy 335,24.00,24.00,336.0000,1,1,2026-08-24T00:00:00.000
336,LOP000336,5,4,Riverton LaborOvertimePolicy 336,1.00,1.00,337.0000,1,1,2026-08-24T00:00:00.000
337,LOP000337,6,12,Cedar LaborOvertimePolicy 337,2.00,2.00,338.0000,1,1,2026-08-24T00:00:00.000
338,LOP000338,23,11,Quartz LaborOvertimePolicy 338,3.00,3.00,339.0000,1,1,2026-08-24T00:00:00.000
339,LOP000339,24,4,Orion LaborOvertimePolicy 339,4.00,4.00,340.0000,1,1,2026-08-24T00:00:00.000
340,LOP000340,18,5,Vertex LaborOvertimePolicy 340,5.00,5.00,341.0000,1,1,2026-08-24T00:00:00.000
341,LOP000341,8,7,Junction LaborOvertimePolicy 341,6.00,6.00,342.0000,1,1,2026-08-24T00:00:00.000
342,LOP000342,31,8,Atlas LaborOvertimePolicy 342,7.00,7.00,343.0000,1,1,2026-08-24T00:00:00.000
343,LOP000343,12,5,Keystone LaborOvertimePolicy 343,8.00,8.00,344.0000,1,1,2026-08-24T00:00:00.000
344,LOP000344,5,4,Ion LaborOvertimePolicy 344,9.00,9.00,345.0000,1,1,2026-08-24T00:00:00.000
345,LOP000345,30,7,Willow LaborOvertimePolicy 345,10.00,10.00,346.0000,1,1,2026-08-24T00:00:00.000
346,LOP000346,19,8,Liberty LaborOvertimePolicy 346,11.00,11.00,347.0000,1,1,2026-08-24T00:00:00.000
347,LOP000347,10,3,Ion LaborOvertimePolicy 347,12.00,12.00,348.0000,1,1,2026-08-24T00:00:00.000
348,LOP000348,28,3,Zenith LaborOvertimePolicy 348,13.00,13.00,349.0000,1,1,2026-08-24T00:00:00.000
349,LOP000349,6,2,Titan LaborOvertimePolicy 349,14.00,14.00,350.0000,1,1,2026-08-24T00:00:00.000
350,LOP000350,8,1,Evergreen LaborOvertimePolicy 350,15.00,15.00,351.0000,1,1,2026-08-24T00:00:00.000
351,LOP000351,24,1,Ion LaborOvertimePolicy 351,16.00,16.00,352.0000,1,1,2026-08-24T00:00:00.000
352,LOP000352,16,11,Evergreen LaborOvertimePolicy 352,17.00,17.00,353.0000,1,1,2026-08-24T00:00:00.000
353,LOP000353,8,3,Atlas LaborOvertimePolicy 353,18.00,18.00,354.0000,1,1,2026-08-24T00:00:00.000
354,LOP000354,4,11,Ion LaborOvertimePolicy 354,19.00,19.00,355.0000,1,1,2026-08-24T00:00:00.000
355,LOP000355,33,10,Summit LaborOvertimePolicy 355,20.00,20.00,356.0000,1,1,2026-08-24T00:00:00.000
356,LOP000356,33,6,Atlas LaborOvertimePolicy 356,21.00,21.00,357.0000,1,1,2026-08-24T00:00:00.000
357,LOP000357,11,3,Keystone LaborOvertimePolicy 357,22.00,22.00,358.0000,1,1,2026-08-24T00:00:00.000
358,LOP000358,1,3,Northstar LaborOvertimePolicy 358,23.00,23.00,359.0000,1,1,2026-08-24T00:00:00.000
359,LOP000359,2,7,Granite LaborOvertimePolicy 359,24.00,24.00,360.0000,1,1,2026-08-24T00:00:00.000
360,LOP000360,3,12,Granite LaborOvertimePolicy 360,1.00,1.00,361.0000,1,1,2026-08-24T00:00:00.000
361,LOP000361,24,11,Beacon LaborOvertimePolicy 361,2.00,2.00,362.0000,1,1,2026-08-24T00:00:00.000
362,LOP000362,6,2,Keystone LaborOvertimePolicy 362,3.00,3.00,363.0000,1,1,2026-08-24T00:00:00.000
363,LOP000363,5,9,Zenith LaborOvertimePolicy 363,4.00,4.00,364.0000,1,1,2026-08-24T00:00:00.000
364,LOP000364,9,5,Keystone LaborOvertimePolicy 364,5.00,5.00,365.0000,1,1,2026-08-24T00:00:00.000
365,LOP000365,17,8,Ion LaborOvertimePolicy 365,6.00,6.00,366.0000,1,1,2026-08-24T00:00:00.000
366,LOP000366,3,2,Junction LaborOvertimePolicy 366,7.00,7.00,367.0000,1,1,2026-08-24T00:00:00.000
367,LOP000367,14,9,Beacon LaborOvertimePolicy 367,8.00,8.00,368.0000,1,1,2026-08-24T00:00:00.000
368,LOP000368,31,8,Junction LaborOvertimePolicy 368,9.00,9.00,369.0000,1,1,2026-08-24T00:00:00.000
369,LOP000369,20,10,Zenith LaborOvertimePolicy 369,10.00,10.00,370.0000,1,1,2026-08-24T00:00:00.000
370,LOP000370,23,11,Junction LaborOvertimePolicy 370,11.00,11.00,371.0000,1,1,2026-08-24T00:00:00.000
371,LOP000371,11,2,Ion LaborOvertimePolicy 371,12.00,12.00,372.0000,1,1,2026-08-24T00:00:00.000
372,LOP000372,32,5,Vertex LaborOvertimePolicy 372,13.00,13.00,373.0000,1,1,2026-08-24T00:00:00.000
373,LOP000373,26,5,Evergreen LaborOvertimePolicy 373,14.00,14.00,374.0000,1,1,2026-08-24T00:00:00.000
374,LOP000374,16,8,Keystone LaborOvertimePolicy 374,15.00,15.00,375.0000,1,1,2026-08-24T00:00:00.000
375,LOP000375,5,1,Meridian LaborOvertimePolicy 375,16.00,16.00,376.0000,1,1,2026-08-24T00:00:00.000
376,LOP000376,27,5,Keystone LaborOvertimePolicy 376,17.00,17.00,377.0000,1,1,2026-08-24T00:00:00.000
377,LOP000377,33,6,Cedar LaborOvertimePolicy 377,18.00,18.00,378.0000,1,1,2026-08-24T00:00:00.000
378,LOP000378,1,11,Ion LaborOvertimePolicy 378,19.00,19.00,379.0000,1,1,2026-08-24T00:00:00.000
379,LOP000379,2,7,Zenith LaborOvertimePolicy 379,20.00,20.00,380.0000,1,1,2026-08-24T00:00:00.000
380,LOP000380,5,1,Riverton LaborOvertimePolicy 380,21.00,21.00,381.0000,1,1,2026-08-24T00:00:00.000
381,LOP000381,32,11,Evergreen LaborOvertimePolicy 381,22.00,22.00,382.0000,1,1,2026-08-24T00:00:00.000
382,LOP000382,3,7,Delta LaborOvertimePolicy 382,23.00,23.00,383.0000,1,1,2026-08-24T00:00:00.000
383,LOP000383,27,3,Cedar LaborOvertimePolicy 383,24.00,24.00,384.0000,1,1,2026-08-24T00:00:00.000
384,LOP000384,11,11,Vertex LaborOvertimePolicy 384,1.00,1.00,385.0000,1,1,2026-08-24T00:00:00.000
385,LOP000385,12,1,Unity LaborOvertimePolicy 385,2.00,2.00,386.0000,1,1,2026-08-24T00:00:00.000
386,LOP000386,4,9,Meridian LaborOvertimePolicy 386,3.00,3.00,387.0000,1,1,2026-08-24T00:00:00.000
387,LOP000387,33,9,Granite LaborOvertimePolicy 387,4.00,4.00,388.0000,1,1,2026-08-24T00:00:00.000
388,LOP000388,31,2,Forge LaborOvertimePolicy 388,5.00,5.00,389.0000,1,1,2026-08-24T00:00:00.000
389,LOP000389,12,6,Delta LaborOvertimePolicy 389,6.00,6.00,390.0000,1,1,2026-08-24T00:00:00.000
390,LOP000390,28,9,Unity LaborOvertimePolicy 390,7.00,7.00,391.0000,1,1,2026-08-24T00:00:00.000
391,LOP000391,18,7,Granite LaborOvertimePolicy 391,8.00,8.00,392.0000,1,1,2026-08-24T00:00:00.000
392,LOP000392,17,12,Orion LaborOvertimePolicy 392,9.00,9.00,393.0000,1,1,2026-08-24T00:00:00.000
393,LOP000393,19,3,Harbor LaborOvertimePolicy 393,10.00,10.00,394.0000,1,1,2026-08-24T00:00:00.000
394,LOP000394,21,2,Keystone LaborOvertimePolicy 394,11.00,11.00,395.0000,1,1,2026-08-24T00:00:00.000
395,LOP000395,15,4,Forge LaborOvertimePolicy 395,12.00,12.00,396.0000,1,1,2026-08-24T00:00:00.000
396,LOP000396,26,4,Northstar LaborOvertimePolicy 396,13.00,13.00,397.0000,1,1,2026-08-24T00:00:00.000
397,LOP000397,19,12,Titan LaborOvertimePolicy 397,14.00,14.00,398.0000,1,1,2026-08-24T00:00:00.000
398,LOP000398,12,9,Junction LaborOvertimePolicy 398,15.00,15.00,399.0000,1,1,2026-08-24T00:00:00.000
399,LOP000399,19,10,Summit LaborOvertimePolicy 399,16.00,16.00,400.0000,1,1,2026-08-24T00:00:00.000
400,LOP000400,19,5,Northstar LaborOvertimePolicy 400,17.00,17.00,401.0000,1,1,2026-08-24T00:00:00.000
401,LOP000401,32,3,Junction LaborOvertimePolicy 401,18.00,18.00,402.0000,1,1,2026-08-24T00:00:00.000
402,LOP000402,16,2,Pioneer LaborOvertimePolicy 402,19.00,19.00,403.0000,1,1,2026-08-24T00:00:00.000
403,LOP000403,6,10,Zenith LaborOvertimePolicy 403,20.00,20.00,404.0000,1,1,2026-08-24T00:00:00.000
404,LOP000404,26,11,Orion LaborOvertimePolicy 404,21.00,21.00,405.0000,1,1,2026-08-24T00:00:00.000
405,LOP000405,31,2,Evergreen LaborOvertimePolicy 405,22.00,22.00,406.0000,1,1,2026-08-24T00:00:00.000
406,LOP000406,17,2,Northstar LaborOvertimePolicy 406,23.00,23.00,407.0000,1,1,2026-08-24T00:00:00.000
407,LOP000407,2,9,Granite LaborOvertimePolicy 407,24.00,24.00,408.0000,1,1,2026-08-24T00:00:00.000
408,LOP000408,16,10,Beacon LaborOvertimePolicy 408,1.00,1.00,409.0000,1,1,2026-08-24T00:00:00.000
409,LOP000409,1,1,Beacon LaborOvertimePolicy 409,2.00,2.00,410.0000,1,1,2026-08-24T00:00:00.000
410,LOP000410,2,3,Cedar LaborOvertimePolicy 410,3.00,3.00,411.0000,1,1,2026-08-24T00:00:00.000
411,LOP000411,26,4,Cedar LaborOvertimePolicy 411,4.00,4.00,412.0000,1,1,2026-08-24T00:00:00.000
412,LOP000412,19,9,Atlas LaborOvertimePolicy 412,5.00,5.00,413.0000,1,1,2026-08-24T00:00:00.000
413,LOP000413,18,10,Evergreen LaborOvertimePolicy 413,6.00,6.00,414.0000,1,1,2026-08-24T00:00:00.000
414,LOP000414,25,4,Northstar LaborOvertimePolicy 414,7.00,7.00,415.0000,1,1,2026-08-24T00:00:00.000
415,LOP000415,32,9,Pioneer LaborOvertimePolicy 415,8.00,8.00,416.0000,1,1,2026-08-24T00:00:00.000
416,LOP000416,16,9,Delta LaborOvertimePolicy 416,9.00,9.00,417.0000,1,1,2026-08-24T00:00:00.000
417,LOP000417,30,3,Zenith LaborOvertimePolicy 417,10.00,10.00,418.0000,1,1,2026-08-24T00:00:00.000
418,LOP000418,19,12,Meridian LaborOvertimePolicy 418,11.00,11.00,419.0000,1,1,2026-08-24T00:00:00.000
419,LOP000419,14,3,Quartz LaborOvertimePolicy 419,12.00,12.00,420.0000,1,1,2026-08-24T00:00:00.000
420,LOP000420,30,5,Cedar LaborOvertimePolicy 420,13.00,13.00,421.0000,1,1,2026-08-24T00:00:00.000
421,LOP000421,2,8,Zenith LaborOvertimePolicy 421,14.00,14.00,422.0000,1,1,2026-08-24T00:00:00.000
422,LOP000422,16,7,Riverton LaborOvertimePolicy 422,15.00,15.00,423.0000,1,1,2026-08-24T00:00:00.000
423,LOP000423,23,11,Forge LaborOvertimePolicy 423,16.00,16.00,424.0000,1,1,2026-08-24T00:00:00.000
424,LOP000424,11,10,Orion LaborOvertimePolicy 424,17.00,17.00,425.0000,1,1,2026-08-24T00:00:00.000
425,LOP000425,18,12,Keystone LaborOvertimePolicy 425,18.00,18.00,426.0000,1,1,2026-08-24T00:00:00.000
426,LOP000426,13,11,Vertex LaborOvertimePolicy 426,19.00,19.00,427.0000,1,1,2026-08-24T00:00:00.000
427,LOP000427,34,5,Ion LaborOvertimePolicy 427,20.00,20.00,428.0000,1,1,2026-08-24T00:00:00.000
428,LOP000428,2,4,Summit LaborOvertimePolicy 428,21.00,21.00,429.0000,1,1,2026-08-24T00:00:00.000
429,LOP000429,2,4,Northstar LaborOvertimePolicy 429,22.00,22.00,430.0000,1,1,2026-08-24T00:00:00.000
430,LOP000430,17,1,Evergreen LaborOvertimePolicy 430,23.00,23.00,431.0000,1,1,2026-08-24T00:00:00.000
431,LOP000431,10,1,Riverton LaborOvertimePolicy 431,24.00,24.00,432.0000,1,1,2026-08-24T00:00:00.000
432,LOP000432,22,10,Delta LaborOvertimePolicy 432,1.00,1.00,433.0000,1,1,2026-08-24T00:00:00.000
433,LOP000433,12,2,Liberty LaborOvertimePolicy 433,2.00,2.00,434.0000,1,1,2026-08-24T00:00:00.000
434,LOP000434,33,10,Titan LaborOvertimePolicy 434,3.00,3.00,435.0000,1,1,2026-08-24T00:00:00.000
435,LOP000435,18,3,Evergreen LaborOvertimePolicy 435,4.00,4.00,436.0000,1,1,2026-08-24T00:00:00.000
436,LOP000436,21,5,Quartz LaborOvertimePolicy 436,5.00,5.00,437.0000,1,1,2026-08-24T00:00:00.000
437,LOP000437,11,7,Cedar LaborOvertimePolicy 437,6.00,6.00,438.0000,1,1,2026-08-24T00:00:00.000
438,LOP000438,12,7,Summit LaborOvertimePolicy 438,7.00,7.00,439.0000,1,1,2026-08-24T00:00:00.000
439,LOP000439,18,9,Zenith LaborOvertimePolicy 439,8.00,8.00,440.0000,1,1,2026-08-24T00:00:00.000
440,LOP000440,29,5,Titan LaborOvertimePolicy 440,9.00,9.00,441.0000,1,1,2026-08-24T00:00:00.000
441,LOP000441,33,1,Riverton LaborOvertimePolicy 441,10.00,10.00,442.0000,1,1,2026-08-24T00:00:00.000
442,LOP000442,24,5,Delta LaborOvertimePolicy 442,11.00,11.00,443.0000,1,1,2026-08-24T00:00:00.000
443,LOP000443,16,7,Titan LaborOvertimePolicy 443,12.00,12.00,444.0000,1,1,2026-08-24T00:00:00.000
444,LOP000444,32,6,Junction LaborOvertimePolicy 444,13.00,13.00,445.0000,1,1,2026-08-24T00:00:00.000
445,LOP000445,13,12,Quartz LaborOvertimePolicy 445,14.00,14.00,446.0000,1,1,2026-08-24T00:00:00.000
446,LOP000446,23,6,Northstar LaborOvertimePolicy 446,15.00,15.00,447.0000,1,1,2026-08-24T00:00:00.000
447,LOP000447,4,5,Quartz LaborOvertimePolicy 447,16.00,16.00,448.0000,1,1,2026-08-24T00:00:00.000
