InventorySerialNumberKey,SerialNumber,ProductKey,InventoryLotKey,InventoryStockStatusKey,SerialDescription,ActivationDate,WarrantyEndDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
99,ISN000099,370,449,10,InventorySerialNumber starter record 99,2020-04-09,2021-04-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0797c4a9541151fbb6e21f0514bf5d5d0797c4a9541151fbb6e21f0514bf5d5d
100,ISN000100,451,232,2,InventorySerialNumber starter record 100,2020-04-10,2021-04-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be6456a3aab55578ae721a4524255c56be6456a3aab55578ae721a4524255c56
101,ISN000101,486,95,1,InventorySerialNumber starter record 101,2020-04-11,2021-04-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bc0b959f0c05bddb6106654c73f20eb5bc0b959f0c05bddb6106654c73f20eb
102,ISN000102,483,-1,4,InventorySerialNumber starter record 102,2020-04-12,2021-04-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b169259b4b25d3eaef07ab682b9d1e16b169259b4b25d3eaef07ab682b9d1e1
103,ISN000103,437,328,5,InventorySerialNumber starter record 103,2020-04-13,2021-04-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16f918f6a6465c33af6bdee5d899361616f918f6a6465c33af6bdee5d8993616
104,ISN000104,389,245,4,InventorySerialNumber starter record 104,2020-04-14,2021-04-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0594cc6cb0fb5ad1939c6705d8f0b37c0594cc6cb0fb5ad1939c6705d8f0b37c
105,ISN000105,298,104,8,InventorySerialNumber starter record 105,2020-04-15,2021-04-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04b4746c806a56cab39748c47432dac204b4746c806a56cab39748c47432dac2
106,ISN000106,148,287,3,InventorySerialNumber starter record 106,2020-04-16,2021-04-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2f49de468cc590581b4acfff01bf1cea2f49de468cc590581b4acfff01bf1ce
107,ISN000107,111,465,2,InventorySerialNumber starter record 107,2020-04-17,2021-04-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12c7e7ba0b41542da277e52e11eed63f12c7e7ba0b41542da277e52e11eed63f
108,ISN000108,122,241,6,InventorySerialNumber starter record 108,2020-04-18,2021-04-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9fc8c30ef849506fb91b8a299b4fac1c9fc8c30ef849506fb91b8a299b4fac1c
109,ISN000109,66,96,2,InventorySerialNumber starter record 109,2020-04-19,2021-04-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,234d3d6aa828500b9a8c808473cec8a7234d3d6aa828500b9a8c808473cec8a7
110,ISN000110,100,408,10,InventorySerialNumber starter record 110,2020-04-20,2021-04-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,397666a3695e574688c8bb77bd5db978397666a3695e574688c8bb77bd5db978
111,ISN000111,231,156,4,InventorySerialNumber starter record 111,2020-04-21,2021-04-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9353fa19e88c5dc2bf5cb14e8eb275749353fa19e88c5dc2bf5cb14e8eb27574
112,ISN000112,370,360,6,InventorySerialNumber starter record 112,2020-04-22,2021-04-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61909b36858f5fd4994b7be7d4c3269761909b36858f5fd4994b7be7d4c32697
113,ISN000113,153,439,2,InventorySerialNumber starter record 113,2020-04-23,2021-04-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3121f2d7259e5827b957382749516cf43121f2d7259e5827b957382749516cf4
114,ISN000114,492,2,3,InventorySerialNumber starter record 114,2020-04-24,2021-04-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36099b6755af5808bbda4365f8ee762336099b6755af5808bbda4365f8ee7623
115,ISN000115,41,464,5,InventorySerialNumber starter record 115,2020-04-25,2021-04-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b94d594ca1650c4ab8ce7561ebb0e677b94d594ca1650c4ab8ce7561ebb0e67
116,ISN000116,384,83,1,InventorySerialNumber starter record 116,2020-04-26,2021-04-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,131ed8a4f45f541282864fb1a5b08f61131ed8a4f45f541282864fb1a5b08f61
117,ISN000117,100,403,7,InventorySerialNumber starter record 117,2020-04-27,2021-04-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb1d07e98e995036ac88e91485599f15fb1d07e98e995036ac88e91485599f15
118,ISN000118,412,340,6,InventorySerialNumber starter record 118,2020-04-28,2021-04-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74c3e9b1f93758359ab23cdc2bdcb44774c3e9b1f93758359ab23cdc2bdcb447
119,ISN000119,411,-1,3,InventorySerialNumber starter record 119,2020-04-29,2021-04-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acbea0433622587e8ea3246039ee1d39acbea0433622587e8ea3246039ee1d39
120,ISN000120,377,31,7,InventorySerialNumber starter record 120,2020-04-30,2021-04-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70ff3e637ac052e0ad3301f0a01c8f4d70ff3e637ac052e0ad3301f0a01c8f4d
121,ISN000121,46,51,1,InventorySerialNumber starter record 121,2020-05-01,2021-05-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bf05e013c035a64b0d93792879d89b57bf05e013c035a64b0d93792879d89b5
122,ISN000122,300,398,3,InventorySerialNumber starter record 122,2020-05-02,2021-05-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a102b5c77635214a54398f7d8119ac68a102b5c77635214a54398f7d8119ac6
123,ISN000123,67,307,7,InventorySerialNumber starter record 123,2020-05-03,2021-05-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7b5e30d19ba58379f0267ef8f638971c7b5e30d19ba58379f0267ef8f638971
124,ISN000124,264,216,2,InventorySerialNumber starter record 124,2020-05-04,2021-05-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a80ee4d2d9a56a7bad4771d40e013a76a80ee4d2d9a56a7bad4771d40e013a7
125,ISN000125,194,475,6,InventorySerialNumber starter record 125,2020-05-05,2021-05-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ae58b5cee74571fb4c3d8ecab6ceb859ae58b5cee74571fb4c3d8ecab6ceb85
126,ISN000126,474,500,4,InventorySerialNumber starter record 126,2020-05-06,2021-05-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92889706d0345ee7afe1290b79be127b92889706d0345ee7afe1290b79be127b
127,ISN000127,141,87,7,InventorySerialNumber starter record 127,2020-05-07,2021-05-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90cbe0a1cada543f9ef2330f80c65afe90cbe0a1cada543f9ef2330f80c65afe
128,ISN000128,387,69,2,InventorySerialNumber starter record 128,2020-05-08,2021-05-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b30a2a94fd185be6bd3c070a4453a163b30a2a94fd185be6bd3c070a4453a163
129,ISN000129,425,27,4,InventorySerialNumber starter record 129,2020-05-09,2021-05-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bd48cac6101581ba0fc440d0217a4f70bd48cac6101581ba0fc440d0217a4f7
130,ISN000130,443,152,1,InventorySerialNumber starter record 130,2020-05-10,2021-05-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d70afb3d91635576b3a77aec7edaf484d70afb3d91635576b3a77aec7edaf484
131,ISN000131,321,148,1,InventorySerialNumber starter record 131,2020-05-11,2021-05-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bcbd2afac755f56a69765a8d15f48f73bcbd2afac755f56a69765a8d15f48f7
132,ISN000132,314,498,7,InventorySerialNumber starter record 132,2020-05-12,2021-05-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eece0de8f0b758528a7cee804b68937beece0de8f0b758528a7cee804b68937b
133,ISN000133,69,131,6,InventorySerialNumber starter record 133,2020-05-13,2021-05-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd25bd8daafd599596f91fb831b9bfa7bd25bd8daafd599596f91fb831b9bfa7
134,ISN000134,461,492,10,InventorySerialNumber starter record 134,2020-05-14,2021-05-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb4c8e1efa455c54b3b877635ae65d2bcb4c8e1efa455c54b3b877635ae65d2b
135,ISN000135,369,297,4,InventorySerialNumber starter record 135,2020-05-15,2021-05-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c568b5c1272850df8045a0cca8f9281ac568b5c1272850df8045a0cca8f9281a
136,ISN000136,252,-1,1,InventorySerialNumber starter record 136,2020-05-16,2021-05-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92086ddde8425315aca2bbed6f48795d92086ddde8425315aca2bbed6f48795d
137,ISN000137,215,123,5,InventorySerialNumber starter record 137,2020-05-17,2021-05-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8031364ad86551b8e4053c86ae97663b8031364ad86551b8e4053c86ae97663
138,ISN000138,159,452,1,InventorySerialNumber starter record 138,2020-05-18,2021-05-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a695227bb87757c38faab81482c5ec60a695227bb87757c38faab81482c5ec60
139,ISN000139,401,366,4,InventorySerialNumber starter record 139,2020-05-19,2021-05-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2e55e60ad9b50b3b6bd3d562ed62813a2e55e60ad9b50b3b6bd3d562ed62813
140,ISN000140,124,243,8,InventorySerialNumber starter record 140,2020-05-20,2021-05-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8102f71f8dea5fd39a3f725e94c2c8c68102f71f8dea5fd39a3f725e94c2c8c6
141,ISN000141,264,24,4,InventorySerialNumber starter record 141,2020-05-21,2021-05-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c266ef375cde535f9842e1d7165d47c8c266ef375cde535f9842e1d7165d47c8
142,ISN000142,51,301,4,InventorySerialNumber starter record 142,2020-05-22,2021-05-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76772ff3b7cf515e81ceb5185a60061176772ff3b7cf515e81ceb5185a600611
143,ISN000143,66,329,7,InventorySerialNumber starter record 143,2020-05-23,2021-05-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b641db37642515abe3f88bddb11eac45b641db37642515abe3f88bddb11eac4
144,ISN000144,299,463,8,InventorySerialNumber starter record 144,2020-05-24,2021-05-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db1190db7acb5f528a220e266381b545db1190db7acb5f528a220e266381b545
145,ISN000145,325,299,4,InventorySerialNumber starter record 145,2020-05-25,2021-05-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,228775750a425c0e9ce588d8fc777beb228775750a425c0e9ce588d8fc777beb
146,ISN000146,183,143,8,InventorySerialNumber starter record 146,2020-05-26,2021-05-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14b7dca5769651ee99a97bdcbcb3db3f14b7dca5769651ee99a97bdcbcb3db3f
147,ISN000147,247,348,2,InventorySerialNumber starter record 147,2020-05-27,2021-05-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a89bf4a1a57a56ff84f295a41622d9b7a89bf4a1a57a56ff84f295a41622d9b7
148,ISN000148,477,187,3,InventorySerialNumber starter record 148,2020-05-28,2021-05-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f7f8473aba7598fb66be64b20418d8a2f7f8473aba7598fb66be64b20418d8a
149,ISN000149,263,129,9,InventorySerialNumber starter record 149,2020-05-29,2021-05-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f5197cbeb735833a307ebab7310894c1f5197cbeb735833a307ebab7310894c
150,ISN000150,318,40,2,InventorySerialNumber starter record 150,2020-05-30,2021-05-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4fe3685c80a65bc8af3fa87d89921ad14fe3685c80a65bc8af3fa87d89921ad1
151,ISN000151,17,356,8,InventorySerialNumber starter record 151,2020-05-31,2021-05-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30fae3337ebb588ba2af3d5ed5cf9fa430fae3337ebb588ba2af3d5ed5cf9fa4
152,ISN000152,420,456,8,InventorySerialNumber starter record 152,2020-06-01,2021-06-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef44b0d8e2a350cd96bd2a0ffa5ca4fbef44b0d8e2a350cd96bd2a0ffa5ca4fb
153,ISN000153,284,-1,7,InventorySerialNumber starter record 153,2020-06-02,2021-06-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad169bfaa3195fbea8e768f845484e2bad169bfaa3195fbea8e768f845484e2b
154,ISN000154,313,196,7,InventorySerialNumber starter record 154,2020-06-03,2021-06-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d124c1c331f7592d96ec4723ec81153ed124c1c331f7592d96ec4723ec81153e
155,ISN000155,4,408,7,InventorySerialNumber starter record 155,2020-06-04,2021-06-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0a2ada9ea335bdaafb64c271e344206d0a2ada9ea335bdaafb64c271e344206
156,ISN000156,452,247,2,InventorySerialNumber starter record 156,2020-06-05,2021-06-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a888d85ac7d5d3198b82e6da69a6a354a888d85ac7d5d3198b82e6da69a6a35
157,ISN000157,223,296,2,InventorySerialNumber starter record 157,2020-06-06,2021-06-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb5fc082174059e5a696d4e871baa55feb5fc082174059e5a696d4e871baa55f
158,ISN000158,36,241,2,InventorySerialNumber starter record 158,2020-06-07,2021-06-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,695c19e2598a59caa5063ccc25af9d96695c19e2598a59caa5063ccc25af9d96
159,ISN000159,225,468,9,InventorySerialNumber starter record 159,2020-06-08,2021-06-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dfe9025b64a5121af955e790ee14cd57dfe9025b64a5121af955e790ee14cd5
160,ISN000160,200,190,7,InventorySerialNumber starter record 160,2020-06-09,2021-06-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2cd3826510d5aacafc4d1c7b8f788aee2cd3826510d5aacafc4d1c7b8f788ae
161,ISN000161,340,37,10,InventorySerialNumber starter record 161,2020-06-10,2021-06-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4611f2c096059249a54d58637d23d97d4611f2c096059249a54d58637d23d97
162,ISN000162,489,58,1,InventorySerialNumber starter record 162,2020-06-11,2021-06-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0de121833e1e572ea1fd9638a5867e8a0de121833e1e572ea1fd9638a5867e8a
163,ISN000163,268,337,4,InventorySerialNumber starter record 163,2020-06-12,2021-06-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cd5edebdd15590a8a5a5aae52b3454b5cd5edebdd15590a8a5a5aae52b3454b
164,ISN000164,308,72,2,InventorySerialNumber starter record 164,2020-06-13,2021-06-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdbe3aa490605fffbb0bd382677a3a20cdbe3aa490605fffbb0bd382677a3a20
165,ISN000165,5,151,7,InventorySerialNumber starter record 165,2020-06-14,2021-06-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,157d013401f25989ad28c08e7bb9c2a9157d013401f25989ad28c08e7bb9c2a9
166,ISN000166,104,443,10,InventorySerialNumber starter record 166,2020-06-15,2021-06-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,512e8268aded509fb541a25c9a15f55b512e8268aded509fb541a25c9a15f55b
167,ISN000167,108,255,3,InventorySerialNumber starter record 167,2020-06-16,2021-06-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17fecf150e9550c6ab9179cf1689637217fecf150e9550c6ab9179cf16896372
168,ISN000168,375,399,3,InventorySerialNumber starter record 168,2020-06-17,2021-06-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53499a5c05b359cdb0a68512f6b4672053499a5c05b359cdb0a68512f6b46720
169,ISN000169,385,50,8,InventorySerialNumber starter record 169,2020-06-18,2021-06-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94f7ca82123b5d3583de47c9ecc572a694f7ca82123b5d3583de47c9ecc572a6
170,ISN000170,333,-1,7,InventorySerialNumber starter record 170,2020-06-19,2021-06-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bb48c30b7925489b8fa424dad475e660bb48c30b7925489b8fa424dad475e66
171,ISN000171,119,15,9,InventorySerialNumber starter record 171,2020-06-20,2021-06-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32d89b3d3d475e71a5d584e632f58ac232d89b3d3d475e71a5d584e632f58ac2
172,ISN000172,236,422,4,InventorySerialNumber starter record 172,2020-06-21,2021-06-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63916a682d9c502ebc0d003499fa64eb63916a682d9c502ebc0d003499fa64eb
173,ISN000173,35,193,9,InventorySerialNumber starter record 173,2020-06-22,2021-06-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adeb0bb9aa3d5d44bbcf1d092afc70b6adeb0bb9aa3d5d44bbcf1d092afc70b6
174,ISN000174,395,22,2,InventorySerialNumber starter record 174,2020-06-23,2021-06-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d835d53d416f5a91be47e48dfcafe53fd835d53d416f5a91be47e48dfcafe53f
175,ISN000175,284,3,1,InventorySerialNumber starter record 175,2020-06-24,2021-06-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28809f12e4bd571fb2ead9b775ed916728809f12e4bd571fb2ead9b775ed9167
176,ISN000176,456,442,3,InventorySerialNumber starter record 176,2020-06-25,2021-06-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7aa2ab73b4b450d89473b0aa29b9f4927aa2ab73b4b450d89473b0aa29b9f492
177,ISN000177,364,28,5,InventorySerialNumber starter record 177,2020-06-26,2021-06-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f86cddc8f64c511c93b4f891435cb9acf86cddc8f64c511c93b4f891435cb9ac
178,ISN000178,50,307,4,InventorySerialNumber starter record 178,2020-06-27,2021-06-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9557ebd122f58b4853dc7cedc3186bae9557ebd122f58b4853dc7cedc3186ba
179,ISN000179,55,303,2,InventorySerialNumber starter record 179,2020-06-28,2021-06-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c9fc5a2d75357af8f51a9999ef982941c9fc5a2d75357af8f51a9999ef98294
180,ISN000180,144,432,4,InventorySerialNumber starter record 180,2020-06-29,2021-06-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b67df33af21b5840a6aa274416306907b67df33af21b5840a6aa274416306907
181,ISN000181,300,74,10,InventorySerialNumber starter record 181,2020-06-30,2021-06-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,232e93b3d4cf50e08b2fb95a26e518fc232e93b3d4cf50e08b2fb95a26e518fc
182,ISN000182,140,118,7,InventorySerialNumber starter record 182,2020-07-01,2021-07-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66b728038f9258e9a9a0df0628d42a8a66b728038f9258e9a9a0df0628d42a8a
183,ISN000183,145,139,1,InventorySerialNumber starter record 183,2020-07-02,2021-07-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e81d5804f4557adae591231c77c82632e81d5804f4557adae591231c77c8263
184,ISN000184,350,317,9,InventorySerialNumber starter record 184,2020-07-03,2021-07-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c984801ecbae5b7d94d8d9f6accc7245c984801ecbae5b7d94d8d9f6accc7245
185,ISN000185,376,279,4,InventorySerialNumber starter record 185,2020-07-04,2021-07-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,806ee25df345574780dedb28daaac1d5806ee25df345574780dedb28daaac1d5
186,ISN000186,486,487,5,InventorySerialNumber starter record 186,2020-07-05,2021-07-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5a9893b4d6c5ed196f4a58216c8b4b7f5a9893b4d6c5ed196f4a58216c8b4b7
187,ISN000187,436,-1,10,InventorySerialNumber starter record 187,2020-07-06,2021-07-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,311e8132b1215c4fa1ad344611c06028311e8132b1215c4fa1ad344611c06028
188,ISN000188,39,289,1,InventorySerialNumber starter record 188,2020-07-07,2021-07-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b9d7e82de4456d2a6d2aa7a8563d4a52b9d7e82de4456d2a6d2aa7a8563d4a5
189,ISN000189,304,112,7,InventorySerialNumber starter record 189,2020-07-08,2021-07-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99b4bec0bea651a48c293db3d23e0c7199b4bec0bea651a48c293db3d23e0c71
190,ISN000190,290,64,5,InventorySerialNumber starter record 190,2020-07-09,2021-07-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85a4e1aed4775b3e8b098017c63400f085a4e1aed4775b3e8b098017c63400f0
191,ISN000191,456,1,3,InventorySerialNumber starter record 191,2020-07-10,2021-07-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7ac8114c4a25305be1c9b1f2765335bb7ac8114c4a25305be1c9b1f2765335b
192,ISN000192,23,429,8,InventorySerialNumber starter record 192,2020-07-11,2021-07-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,911a4a39c47751f2b6bc781bf1f3f10c911a4a39c47751f2b6bc781bf1f3f10c
193,ISN000193,52,137,5,InventorySerialNumber starter record 193,2020-07-12,2021-07-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6764922778a54d188097576a5c2d8edd6764922778a54d188097576a5c2d8ed
194,ISN000194,398,35,3,InventorySerialNumber starter record 194,2020-07-13,2021-07-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cba0dd2f3815ecc975d6e86f09259428cba0dd2f3815ecc975d6e86f0925942
195,ISN000195,234,198,1,InventorySerialNumber starter record 195,2020-07-14,2021-07-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40f3218ef83d55cd9e93b36aaf42aec740f3218ef83d55cd9e93b36aaf42aec7
196,ISN000196,144,346,2,InventorySerialNumber starter record 196,2020-07-15,2021-07-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47eece716db85dc4920a7e5c501deea647eece716db85dc4920a7e5c501deea6
197,ISN000197,98,390,3,InventorySerialNumber starter record 197,2020-07-16,2021-07-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e53b83d098f95f78939e7297ac92f1dfe53b83d098f95f78939e7297ac92f1df
198,ISN000198,429,348,6,InventorySerialNumber starter record 198,2020-07-17,2021-07-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec996370478d5f6aaec3d40db39cd68bec996370478d5f6aaec3d40db39cd68b
199,ISN000199,381,248,9,InventorySerialNumber starter record 199,2020-07-18,2021-07-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87166725e6ed5a0085ee476e0eb5110087166725e6ed5a0085ee476e0eb51100
