SafetyPermitTypeKey,PermitTypeCode,SafetyHazardCategoryKey,PermitTypeName,RequiresIsolation,RequiresGasTest,SourceSystemKey,BatchId,LoadedAtUtc
290,SPT000290,61,Forge SafetyPermitType 290,0,0,1,1,2026-08-24T00:00:00.000
291,SPT000291,65,Forge SafetyPermitType 291,1,1,1,1,2026-08-24T00:00:00.000
292,SPT000292,4,Unity SafetyPermitType 292,0,0,1,1,2026-08-24T00:00:00.000
293,SPT000293,17,Forge SafetyPermitType 293,1,1,1,1,2026-08-24T00:00:00.000
294,SPT000294,9,Keystone SafetyPermitType 294,0,0,1,1,2026-08-24T00:00:00.000
295,SPT000295,52,Liberty SafetyPermitType 295,1,1,1,1,2026-08-24T00:00:00.000
296,SPT000296,63,Willow SafetyPermitType 296,0,0,1,1,2026-08-24T00:00:00.000
297,SPT000297,8,Quartz SafetyPermitType 297,1,1,1,1,2026-08-24T00:00:00.000
298,SPT000298,44,Titan SafetyPermitType 298,0,0,1,1,2026-08-24T00:00:00.000
299,SPT000299,16,Junction SafetyPermitType 299,1,1,1,1,2026-08-24T00:00:00.000
300,SPT000300,64,Delta SafetyPermitType 300,0,0,1,1,2026-08-24T00:00:00.000
301,SPT000301,27,Vertex SafetyPermitType 301,1,1,1,1,2026-08-24T00:00:00.000
302,SPT000302,68,Zenith SafetyPermitType 302,0,0,1,1,2026-08-24T00:00:00.000
303,SPT000303,45,Ion SafetyPermitType 303,1,1,1,1,2026-08-24T00:00:00.000
304,SPT000304,32,Delta SafetyPermitType 304,0,0,1,1,2026-08-24T00:00:00.000
305,SPT000305,22,Northstar SafetyPermitType 305,1,1,1,1,2026-08-24T00:00:00.000
306,SPT000306,49,Junction SafetyPermitType 306,0,0,1,1,2026-08-24T00:00:00.000
307,SPT000307,64,Atlas SafetyPermitType 307,1,1,1,1,2026-08-24T00:00:00.000
308,SPT000308,2,Vertex SafetyPermitType 308,0,0,1,1,2026-08-24T00:00:00.000
309,SPT000309,71,Unity SafetyPermitType 309,1,1,1,1,2026-08-24T00:00:00.000
310,SPT000310,35,Evergreen SafetyPermitType 310,0,0,1,1,2026-08-24T00:00:00.000
311,SPT000311,65,Ion SafetyPermitType 311,1,1,1,1,2026-08-24T00:00:00.000
312,SPT000312,46,Liberty SafetyPermitType 312,0,0,1,1,2026-08-24T00:00:00.000
313,SPT000313,8,Zenith SafetyPermitType 313,1,1,1,1,2026-08-24T00:00:00.000
314,SPT000314,26,Northstar SafetyPermitType 314,0,0,1,1,2026-08-24T00:00:00.000
315,SPT000315,71,Meridian SafetyPermitType 315,1,1,1,1,2026-08-24T00:00:00.000
316,SPT000316,51,Riverton SafetyPermitType 316,0,0,1,1,2026-08-24T00:00:00.000
317,SPT000317,59,Unity SafetyPermitType 317,1,1,1,1,2026-08-24T00:00:00.000
318,SPT000318,46,Beacon SafetyPermitType 318,0,0,1,1,2026-08-24T00:00:00.000
319,SPT000319,40,Riverton SafetyPermitType 319,1,1,1,1,2026-08-24T00:00:00.000
320,SPT000320,4,Zenith SafetyPermitType 320,0,0,1,1,2026-08-24T00:00:00.000
