LaborCostRateKey,LaborCostRateCode,LaborJobGradeKey,CostCenterKey,CurrencyKey,LaborPayTypeKey,HourlyCostAmount,OverheadCostAmount,PremiumMultiplier,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
110,LCR000110,17,196,2,8,160.7000,160.7000,111.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07491ef529f95532bb5191936a8b0d4e07491ef529f95532bb5191936a8b0d4e
111,LCR000111,32,291,4,10,162.0700,162.0700,112.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24d2a4eb115154208adf94e27e931cad24d2a4eb115154208adf94e27e931cad
112,LCR000112,18,90,5,12,163.4400,163.4400,113.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6715828b1bce5104bec497379cda57b26715828b1bce5104bec497379cda57b2
113,LCR000113,22,54,2,9,164.8100,164.8100,114.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4979bfc9bc76556c9c02f096fa3b7e084979bfc9bc76556c9c02f096fa3b7e08
114,LCR000114,23,34,4,11,166.1800,166.1800,115.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a295f6686105138932172322aa946629a295f6686105138932172322aa94662
115,LCR000115,17,194,1,4,167.5500,167.5500,116.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a02b5499c13d539c88cf30631ce9853ba02b5499c13d539c88cf30631ce9853b
116,LCR000116,3,412,2,8,168.9200,168.9200,117.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57b9546fb921520681dbbcf45cc33a6957b9546fb921520681dbbcf45cc33a69
117,LCR000117,20,270,1,9,170.2900,170.2900,118.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,611db4d3060454349f56e44597e7f8bf611db4d3060454349f56e44597e7f8bf
118,LCR000118,33,154,3,7,171.6600,171.6600,119.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef1e1b58dadf5a9ab38a5094b229c70fef1e1b58dadf5a9ab38a5094b229c70f
119,LCR000119,17,246,5,11,173.0300,173.0300,120.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6ff7e35e07152388bf0aa9a51be813ea6ff7e35e07152388bf0aa9a51be813e
120,LCR000120,20,326,3,10,174.4000,174.4000,121.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29e0e1fcd6f75a1a836d877cf441a92629e0e1fcd6f75a1a836d877cf441a926
121,LCR000121,8,266,5,3,175.7700,175.7700,122.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15352d6991265374adeb282fc673ff0e15352d6991265374adeb282fc673ff0e
122,LCR000122,7,112,4,3,177.1400,177.1400,123.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb79da7512bf592ea8224c9eb678c63fcb79da7512bf592ea8224c9eb678c63f
123,LCR000123,7,144,5,2,178.5100,178.5100,124.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a5d1f8ce3c455f18ca87040551288f11a5d1f8ce3c455f18ca87040551288f1
124,LCR000124,33,208,3,10,179.8800,179.8800,125.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8408cf341375b32962b826bbe50e59ac8408cf341375b32962b826bbe50e59a
125,LCR000125,12,194,5,2,181.2500,181.2500,126.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad25782c36e45215bc897f9324881baaad25782c36e45215bc897f9324881baa
126,LCR000126,25,310,4,3,182.6200,182.6200,127.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c052d98116d5ce99c1080db3abc454d4c052d98116d5ce99c1080db3abc454d
127,LCR000127,31,364,1,3,183.9900,183.9900,128.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7825b561fb35faaa6e66d42ed5924d5c7825b561fb35faaa6e66d42ed5924d5
128,LCR000128,10,187,2,6,185.3600,185.3600,129.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4154ed3ae78516cba88f3f672e9a4cef4154ed3ae78516cba88f3f672e9a4ce
129,LCR000129,6,404,4,1,186.7300,186.7300,130.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85c328d1db2b514ea262723b68d3135385c328d1db2b514ea262723b68d31353
130,LCR000130,32,32,1,9,188.1000,188.1000,131.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecb42dff4e27599da5407802b82ec0b3ecb42dff4e27599da5407802b82ec0b3
131,LCR000131,8,484,5,8,189.4700,189.4700,132.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fad09fa749c358d8b6e0bb7055fb82d0fad09fa749c358d8b6e0bb7055fb82d0
132,LCR000132,13,50,4,10,190.8400,190.8400,133.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94e8922cdf525229960effc898276fba94e8922cdf525229960effc898276fba
133,LCR000133,25,194,5,12,192.2100,192.2100,134.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e86e7840aff05d2ea193fb8b12b32f49e86e7840aff05d2ea193fb8b12b32f49
134,LCR000134,9,415,5,9,193.5800,193.5800,135.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ec943739ffe52d0b3cadfb5fd5a95c50ec943739ffe52d0b3cadfb5fd5a95c5
135,LCR000135,28,73,3,1,194.9500,194.9500,136.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d78f79d12bcd5a72aaf266025cb66153d78f79d12bcd5a72aaf266025cb66153
136,LCR000136,15,151,1,12,196.3200,196.3200,137.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56195f3d1c5656f3b6f74fca04bb39dc56195f3d1c5656f3b6f74fca04bb39dc
137,LCR000137,33,20,4,10,197.6900,197.6900,138.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49c7abd506e85e218771e25ccd58255949c7abd506e85e218771e25ccd582559
138,LCR000138,30,483,2,2,199.0600,199.0600,139.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc1bde8b3eac5255bfa1fa57227363bdfc1bde8b3eac5255bfa1fa57227363bd
139,LCR000139,14,9,5,12,200.4300,200.4300,140.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,239541b1ed425fc683dc799e57413d6a239541b1ed425fc683dc799e57413d6a
140,LCR000140,16,402,4,12,201.8000,201.8000,141.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99a717b9ff285729b35fd08d4fb0837b99a717b9ff285729b35fd08d4fb0837b
141,LCR000141,11,29,5,12,203.1700,203.1700,142.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68dbdf4b6f695835983fc6fb9c3f271d68dbdf4b6f695835983fc6fb9c3f271d
142,LCR000142,27,401,4,7,204.5400,204.5400,143.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebcb91c4da90510680c719232c4cb4b4ebcb91c4da90510680c719232c4cb4b4
143,LCR000143,21,386,1,1,205.9100,205.9100,144.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fda0350f8985f62b872729af616a4023fda0350f8985f62b872729af616a402
144,LCR000144,1,71,3,1,207.2800,207.2800,145.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,747a5de3671851dabc53f68f28e465be747a5de3671851dabc53f68f28e465be
145,LCR000145,30,61,1,6,208.6500,208.6500,146.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd4e5a9eb798579c9859d3c321a29095fd4e5a9eb798579c9859d3c321a29095
146,LCR000146,5,462,5,5,210.0200,210.0200,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc11b3588882532b9a904c39f108a328fc11b3588882532b9a904c39f108a328
147,LCR000147,32,434,4,4,211.3900,211.3900,148.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92a7541f381d5c95a8015146ae75574b92a7541f381d5c95a8015146ae75574b
148,LCR000148,25,379,4,6,212.7600,212.7600,149.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,555110dc6287595797ce2deea8d05b52555110dc6287595797ce2deea8d05b52
149,LCR000149,34,311,1,8,214.1300,214.1300,150.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64687a76972a58b9bec431f4beeabcfd64687a76972a58b9bec431f4beeabcfd
150,LCR000150,33,275,1,9,215.5000,215.5000,151.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c3e85f7391051fb9fb6d5e2ce2f10e06c3e85f7391051fb9fb6d5e2ce2f10e0
151,LCR000151,20,381,4,9,216.8700,216.8700,152.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c3177e4f35359c990132af7907bcaaf8c3177e4f35359c990132af7907bcaaf
152,LCR000152,2,226,4,5,218.2400,218.2400,153.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35063baa28185f4b8d73e88cc56cb30735063baa28185f4b8d73e88cc56cb307
153,LCR000153,21,132,4,3,219.6100,219.6100,154.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a979ecb4ed27515486767bb194af8ea9a979ecb4ed27515486767bb194af8ea9
154,LCR000154,18,300,4,10,220.9800,220.9800,155.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed6ff7b363ee5ecbbc8bd91c92b4b95ced6ff7b363ee5ecbbc8bd91c92b4b95c
155,LCR000155,26,257,2,6,222.3500,222.3500,156.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94b8d8158dff599e9542064ced11025c94b8d8158dff599e9542064ced11025c
156,LCR000156,3,455,2,12,223.7200,223.7200,157.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad35270e54335d55b21b23772cf6dc39ad35270e54335d55b21b23772cf6dc39
157,LCR000157,4,96,2,3,225.0900,225.0900,158.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd149d6114665b65aa5af810891c6f73bd149d6114665b65aa5af810891c6f73
158,LCR000158,26,445,2,12,226.4600,226.4600,159.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,528ad0cad5de556a95085eac5653b71c528ad0cad5de556a95085eac5653b71c
159,LCR000159,10,381,4,9,227.8300,227.8300,160.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df0a35b15848528f8a03b2c0e94122dcdf0a35b15848528f8a03b2c0e94122dc
160,LCR000160,13,149,3,4,229.2000,229.2000,161.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8628a42b2f2b544da849e1522f96ea738628a42b2f2b544da849e1522f96ea73
161,LCR000161,18,371,2,9,230.5700,230.5700,162.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc1b392654d450f3b69c6566b190885afc1b392654d450f3b69c6566b190885a
162,LCR000162,31,450,3,8,231.9400,231.9400,163.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6f9589f162f57699b5d8611f0f5f7bcf6f9589f162f57699b5d8611f0f5f7bc
163,LCR000163,19,399,3,2,233.3100,233.3100,164.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aee19e3d3d2c596f8444a4dd11e9a663aee19e3d3d2c596f8444a4dd11e9a663
164,LCR000164,22,16,4,5,234.6800,234.6800,165.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9622eb4100f85bc29302e58309d684659622eb4100f85bc29302e58309d68465
165,LCR000165,7,12,4,7,236.0500,236.0500,166.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d6c675d80485735b5482469f23a54944d6c675d80485735b5482469f23a5494
166,LCR000166,11,110,4,11,237.4200,237.4200,167.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20f8b348ab565e56a066e2f53c697d7a20f8b348ab565e56a066e2f53c697d7a
167,LCR000167,31,21,2,7,238.7900,238.7900,168.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dcb8fe118b35274b7b37b93f50677ca7dcb8fe118b35274b7b37b93f50677ca
168,LCR000168,14,216,3,3,240.1600,240.1600,169.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7249a795dd9e55c28876ea3819ce0cda7249a795dd9e55c28876ea3819ce0cda
169,LCR000169,6,373,5,1,241.5300,241.5300,170.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f717998e69e952b0bbe2f4230cd85a1bf717998e69e952b0bbe2f4230cd85a1b
170,LCR000170,20,462,4,6,242.9000,242.9000,171.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74de112af86f5f0097c9d733110bddde74de112af86f5f0097c9d733110bddde
171,LCR000171,15,319,4,11,244.2700,244.2700,172.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b5f2bd8df2859cf8cb97f8759fc4b079b5f2bd8df2859cf8cb97f8759fc4b07
172,LCR000172,15,164,4,9,245.6400,245.6400,173.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1119dc5f125654bd9339f3499e1699091119dc5f125654bd9339f3499e169909
173,LCR000173,12,252,1,12,247.0100,247.0100,174.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,203648cf7f7153d6b1f0335bd540c6b2203648cf7f7153d6b1f0335bd540c6b2
174,LCR000174,9,81,1,8,248.3800,248.3800,175.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f196720149257f7aacae3532cc19cc39f196720149257f7aacae3532cc19cc3
175,LCR000175,20,456,2,8,249.7500,249.7500,176.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3d44f4a0f4250c8a54a8634ff9c7b19f3d44f4a0f4250c8a54a8634ff9c7b19
176,LCR000176,23,47,2,11,251.1200,251.1200,177.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9adf58419355ef7b51d73fbf0948c47d9adf58419355ef7b51d73fbf0948c47
177,LCR000177,24,27,4,6,252.4900,252.4900,178.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4f7118a937a5771a36f46fb0b3b44a2e4f7118a937a5771a36f46fb0b3b44a2
178,LCR000178,18,481,1,7,253.8600,253.8600,179.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c50b05096f9055d2b1ea4286c28dbc31c50b05096f9055d2b1ea4286c28dbc31
179,LCR000179,30,19,4,5,255.2300,255.2300,180.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91f65decf5405a3f9c649c7a02ba0e3591f65decf5405a3f9c649c7a02ba0e35
180,LCR000180,17,252,5,5,256.6000,256.6000,181.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,693f3fdad38451849f8aee68134153a2693f3fdad38451849f8aee68134153a2
181,LCR000181,27,443,1,8,257.9700,257.9700,182.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8140113c750a53f084d033202da1093e8140113c750a53f084d033202da1093e
182,LCR000182,34,101,2,4,259.3400,259.3400,183.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1de67c9d73c5bff97475dd3138cbb0bb1de67c9d73c5bff97475dd3138cbb0b
183,LCR000183,15,426,4,8,260.7100,260.7100,184.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52ff72b410645c0591fc99a77dadbec952ff72b410645c0591fc99a77dadbec9
184,LCR000184,33,471,5,1,262.0800,262.0800,185.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66efbeccb6775372b2d01fadee22bfb866efbeccb6775372b2d01fadee22bfb8
185,LCR000185,9,498,5,9,263.4500,263.4500,186.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73bb777a85ed507d8ef740fd6173727a73bb777a85ed507d8ef740fd6173727a
186,LCR000186,9,90,3,11,264.8200,264.8200,187.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ba0ccf6fc0d5071831c9fe4a2faadc38ba0ccf6fc0d5071831c9fe4a2faadc3
187,LCR000187,32,72,2,9,266.1900,266.1900,188.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25edbb04ad62575ca8035d0f112ee42c25edbb04ad62575ca8035d0f112ee42c
188,LCR000188,14,7,3,10,267.5600,267.5600,189.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60ca07384ecc5f5db79e7021cc05dc5660ca07384ecc5f5db79e7021cc05dc56
189,LCR000189,22,484,1,10,268.9300,268.9300,190.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34d90a4caa48516cb181d73581cdbedd34d90a4caa48516cb181d73581cdbedd
190,LCR000190,31,91,1,1,270.3000,270.3000,191.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a280ff4fe005b54ab0e63f4f87798d02a280ff4fe005b54ab0e63f4f87798d0
191,LCR000191,9,456,1,4,271.6700,271.6700,192.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37379f978d3a5937b3bf655a62b7a32e37379f978d3a5937b3bf655a62b7a32e
192,LCR000192,3,426,1,1,273.0400,273.0400,193.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99b8209fb3a3560d8b2e32567a0767a699b8209fb3a3560d8b2e32567a0767a6
193,LCR000193,34,498,5,3,274.4100,274.4100,194.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b91e830b4c9a57ac9e15e753cf6b268fb91e830b4c9a57ac9e15e753cf6b268f
194,LCR000194,9,122,1,6,275.7800,275.7800,195.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7cd6ac3cc665597be6160d1cecbd401d7cd6ac3cc665597be6160d1cecbd401
195,LCR000195,15,315,4,9,277.1500,277.1500,196.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdfccd58691b50919740f8a2b7efc230fdfccd58691b50919740f8a2b7efc230
196,LCR000196,27,3,1,1,278.5200,278.5200,197.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2aaefff30a0569a8266003b2da25676e2aaefff30a0569a8266003b2da25676
197,LCR000197,23,431,5,11,279.8900,279.8900,198.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65db4bb973845ede8d552dc822b9c9a465db4bb973845ede8d552dc822b9c9a4
198,LCR000198,17,448,5,4,281.2600,281.2600,199.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af70b4bab1c256bfa85e54b9cc66628aaf70b4bab1c256bfa85e54b9cc66628a
199,LCR000199,13,10,5,11,282.6300,282.6300,200.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be56637dc4f554c58005c7a01d7d8925be56637dc4f554c58005c7a01d7d8925
200,LCR000200,27,32,2,1,284.0000,284.0000,201.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6384f3eed5555ad588470730396d1f2b6384f3eed5555ad588470730396d1f2b
201,LCR000201,17,58,2,12,285.3700,285.3700,202.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86717fc111bf59a085a645b9d2cd5fd986717fc111bf59a085a645b9d2cd5fd9
202,LCR000202,3,481,1,5,286.7400,286.7400,203.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c399b308aba75dcab95d91695112ad47c399b308aba75dcab95d91695112ad47
203,LCR000203,11,355,4,10,288.1100,288.1100,204.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d7a0da54cd25d04b13cda0e85b447fe5d7a0da54cd25d04b13cda0e85b447fe
204,LCR000204,2,351,3,4,289.4800,289.4800,205.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73d04294e5e95515888da7a2917a930873d04294e5e95515888da7a2917a9308
205,LCR000205,9,120,4,1,290.8500,290.8500,206.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7396cc2cddc852f791990efcb54ecc537396cc2cddc852f791990efcb54ecc53
206,LCR000206,22,116,2,12,292.2200,292.2200,207.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6737f15914251dbba4fa46f268c4d3ec6737f15914251dbba4fa46f268c4d3e
207,LCR000207,14,164,3,1,293.5900,293.5900,208.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8b0c9ca41d8504ca9ace467174ebf84c8b0c9ca41d8504ca9ace467174ebf84
208,LCR000208,20,481,3,10,294.9600,294.9600,209.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26eeb797f40b5d26b5c75292d5e2ed6226eeb797f40b5d26b5c75292d5e2ed62
209,LCR000209,19,443,5,7,296.3300,296.3300,210.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,662ed8ac914d544891f9540bbaa01738662ed8ac914d544891f9540bbaa01738
210,LCR000210,6,347,5,4,297.7000,297.7000,211.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c90af6e93c8c57acaa121e072936b190c90af6e93c8c57acaa121e072936b190
211,LCR000211,28,432,4,5,299.0700,299.0700,212.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bfbdf40c75557d789d8f174ce8d75a55bfbdf40c75557d789d8f174ce8d75a5
212,LCR000212,12,454,2,3,300.4400,300.4400,213.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e7888bb84265c4e9d8ef4a84f7ba5870e7888bb84265c4e9d8ef4a84f7ba587
213,LCR000213,12,164,3,9,301.8100,301.8100,214.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,914685234ef35615be6d29a6bdf53401914685234ef35615be6d29a6bdf53401
214,LCR000214,6,388,1,1,303.1800,303.1800,215.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dea21ed0d8155482b8ac46b9ee03a553dea21ed0d8155482b8ac46b9ee03a553
215,LCR000215,32,326,1,10,304.5500,304.5500,216.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a18c0896153f5055b59ea8985f78511ca18c0896153f5055b59ea8985f78511c
216,LCR000216,22,303,4,5,305.9200,305.9200,217.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,624bea9e22bf52a98f254cafbef67f8c624bea9e22bf52a98f254cafbef67f8c
217,LCR000217,16,205,5,4,307.2900,307.2900,218.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1595a6b9c40c5a109553e530c14415991595a6b9c40c5a109553e530c1441599
218,LCR000218,30,151,5,6,308.6600,308.6600,219.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c901c1961015396b1b0eda99331afbd7c901c1961015396b1b0eda99331afbd
219,LCR000219,25,258,3,5,310.0300,310.0300,220.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d88fdb2f9ce856848f78e6f02b3b66c2d88fdb2f9ce856848f78e6f02b3b66c2
220,LCR000220,31,277,2,6,311.4000,311.4000,221.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,919edf47f046567082ed42ebd45d1d99919edf47f046567082ed42ebd45d1d99
