QualityCertificateAnalysisKey,CertificateAnalysisNumber,ProductKey,SupplierKey,QualityMethodProcedureKey,ComplianceStandardKey,ApprovalStatusKey,QualityCertificateAnalysisName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
94,QCA000094,140,3,51,21,3,Willow QualityCertificateAnalysis 94,QCA000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65fd40f1055a561ca5b7d5e002de55b165fd40f1055a561ca5b7d5e002de55b1
95,QCA000095,272,9,118,11,4,Cedar QualityCertificateAnalysis 95,QCA000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95c8827ac0265b138ce246eb9921994795c8827ac0265b138ce246eb99219947
96,QCA000096,368,411,58,13,2,Pioneer QualityCertificateAnalysis 96,QCA000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f4b728811915417a228926f5c42831a8f4b728811915417a228926f5c42831a
97,QCA000097,9,46,27,13,3,Harbor QualityCertificateAnalysis 97,QCA000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,815095617e50576bb4b25d81f823e8a2815095617e50576bb4b25d81f823e8a2
98,QCA000098,261,291,139,23,1,Riverton QualityCertificateAnalysis 98,QCA000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c911aa926db05f8e8d8d46da25069f6bc911aa926db05f8e8d8d46da25069f6b
99,QCA000099,74,115,240,22,2,Zenith QualityCertificateAnalysis 99,QCA000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37fecd5394545d7e97415a76b1e91b1437fecd5394545d7e97415a76b1e91b14
100,QCA000100,453,331,167,23,5,Vertex QualityCertificateAnalysis 100,QCA000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc05dd4ab3c35fc293da0d97cfa097ffbc05dd4ab3c35fc293da0d97cfa097ff
101,QCA000101,347,411,153,17,3,Granite QualityCertificateAnalysis 101,QCA000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3613ef09109959928c823881aedea0773613ef09109959928c823881aedea077
102,QCA000102,140,-1,116,11,3,Keystone QualityCertificateAnalysis 102,QCA000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d4e73062abe51d18bd879fff56c7a495d4e73062abe51d18bd879fff56c7a49
103,QCA000103,344,77,136,1,3,Cedar QualityCertificateAnalysis 103,QCA000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d43c6952ee5b5213a84665bb16825ff2d43c6952ee5b5213a84665bb16825ff2
104,QCA000104,196,232,120,13,1,Delta QualityCertificateAnalysis 104,QCA000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44b8973815255f9a923e870d86699c1e44b8973815255f9a923e870d86699c1e
105,QCA000105,58,19,89,24,2,Liberty QualityCertificateAnalysis 105,QCA000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4998ed74485c5294bd6f21f0f951a6fc4998ed74485c5294bd6f21f0f951a6fc
106,QCA000106,348,136,59,17,5,Vertex QualityCertificateAnalysis 106,QCA000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f64ea43ca2e5c939e8d36cb3c396c361f64ea43ca2e5c939e8d36cb3c396c36
107,QCA000107,299,259,49,16,5,Unity QualityCertificateAnalysis 107,QCA000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,feb8ba53542d5adb97772d5877e0a648feb8ba53542d5adb97772d5877e0a648
108,QCA000108,133,470,201,13,4,Junction QualityCertificateAnalysis 108,QCA000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95004b77639750058c2b473b5fa41b5a95004b77639750058c2b473b5fa41b5a
109,QCA000109,231,242,104,19,3,Granite QualityCertificateAnalysis 109,QCA000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd92943d22265ef5a5fe7714035614d8cd92943d22265ef5a5fe7714035614d8
110,QCA000110,305,411,45,25,1,Harbor QualityCertificateAnalysis 110,QCA000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9634146183d953d9846654c88e209f6e9634146183d953d9846654c88e209f6e
111,QCA000111,230,224,77,4,4,Junction QualityCertificateAnalysis 111,QCA000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a73ac97d45b95a10953173dcaa87ccf2a73ac97d45b95a10953173dcaa87ccf2
112,QCA000112,267,473,46,2,3,Liberty QualityCertificateAnalysis 112,QCA000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e96a6a8571e456f5916a57fb5b997d33e96a6a8571e456f5916a57fb5b997d33
113,QCA000113,92,337,29,15,1,Cedar QualityCertificateAnalysis 113,QCA000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb1f43db93b4531ab04d2f7dc8316a27bb1f43db93b4531ab04d2f7dc8316a27
114,QCA000114,289,491,62,22,5,Summit QualityCertificateAnalysis 114,QCA000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d8d55cae9765d4999794aca34dd23876d8d55cae9765d4999794aca34dd2387
115,QCA000115,252,90,181,22,4,Liberty QualityCertificateAnalysis 115,QCA000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ed70660fa755c6e89a66815f5508bf04ed70660fa755c6e89a66815f5508bf0
116,QCA000116,398,146,234,5,5,Liberty QualityCertificateAnalysis 116,QCA000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,748738a0d41c5513a0f6b8a85d0223d8748738a0d41c5513a0f6b8a85d0223d8
117,QCA000117,245,88,36,23,2,Quartz QualityCertificateAnalysis 117,QCA000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a65002b4c1f05e7d887c53b7a7c21db4a65002b4c1f05e7d887c53b7a7c21db4
118,QCA000118,245,391,10,24,2,Keystone QualityCertificateAnalysis 118,QCA000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1559ff0c68ad5972a6aa7bdef3cad51c1559ff0c68ad5972a6aa7bdef3cad51c
119,QCA000119,141,-1,42,8,5,Granite QualityCertificateAnalysis 119,QCA000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0358c9253240523093551b0b67caf2760358c9253240523093551b0b67caf276
120,QCA000120,458,29,28,14,2,Ion QualityCertificateAnalysis 120,QCA000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46790a68baa25c0d9a5e4b4a100fea5346790a68baa25c0d9a5e4b4a100fea53
121,QCA000121,435,371,56,18,1,Atlas QualityCertificateAnalysis 121,QCA000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,995c4921bb5b5fa5b4b7265722cda244995c4921bb5b5fa5b4b7265722cda244
122,QCA000122,297,490,64,21,1,Pioneer QualityCertificateAnalysis 122,QCA000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e370a308e4350fd870197364bfe3f095e370a308e4350fd870197364bfe3f09
123,QCA000123,370,107,17,23,4,Cedar QualityCertificateAnalysis 123,QCA000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cff857255d795cb299efe876a5c349cacff857255d795cb299efe876a5c349ca
124,QCA000124,300,100,127,6,5,Liberty QualityCertificateAnalysis 124,QCA000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0fbaa2007ea5620afc49dbb4effba7fe0fbaa2007ea5620afc49dbb4effba7f
125,QCA000125,120,441,26,1,2,Willow QualityCertificateAnalysis 125,QCA000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc27c4909eaa523ebf546a426014f6ddbc27c4909eaa523ebf546a426014f6dd
126,QCA000126,261,104,53,17,1,Vertex QualityCertificateAnalysis 126,QCA000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96538ff670f8512ba6270730714c419f96538ff670f8512ba6270730714c419f
127,QCA000127,392,182,234,24,2,Harbor QualityCertificateAnalysis 127,QCA000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0326c2d35ba154b28325bee342be49540326c2d35ba154b28325bee342be4954
128,QCA000128,356,160,153,8,2,Ion QualityCertificateAnalysis 128,QCA000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbb59f704d0e5480a0896c29855b3eb9dbb59f704d0e5480a0896c29855b3eb9
129,QCA000129,313,352,48,17,1,Pioneer QualityCertificateAnalysis 129,QCA000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7dc05275cdc58a3a4bcc64c551e8bedb7dc05275cdc58a3a4bcc64c551e8bed
130,QCA000130,206,472,30,8,1,Quartz QualityCertificateAnalysis 130,QCA000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a408d6d6414a5b299571f634fc2717dea408d6d6414a5b299571f634fc2717de
131,QCA000131,452,248,9,8,1,Vertex QualityCertificateAnalysis 131,QCA000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a14b7697d9052c4bbb2113226fad1a83a14b7697d9052c4bbb2113226fad1a8
132,QCA000132,30,330,181,12,1,Orion QualityCertificateAnalysis 132,QCA000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69eda10146ac527f9a961cdea7d6fed869eda10146ac527f9a961cdea7d6fed8
133,QCA000133,29,337,178,6,4,Evergreen QualityCertificateAnalysis 133,QCA000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7308b8ab0c495498a42cd1ff5870cbd57308b8ab0c495498a42cd1ff5870cbd5
134,QCA000134,230,107,236,22,3,Atlas QualityCertificateAnalysis 134,QCA000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60bd2e92b1c456c886b5125d44e184a860bd2e92b1c456c886b5125d44e184a8
135,QCA000135,346,98,101,15,4,Granite QualityCertificateAnalysis 135,QCA000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d63d82e9fdea5205b68f0e71d13fde60d63d82e9fdea5205b68f0e71d13fde60
136,QCA000136,245,-1,19,11,1,Willow QualityCertificateAnalysis 136,QCA000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e041ae3ef8325db5b1cd0510123a91f3e041ae3ef8325db5b1cd0510123a91f3
137,QCA000137,1,142,140,12,5,Forge QualityCertificateAnalysis 137,QCA000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,866cb52a36365b969c40931e476badae866cb52a36365b969c40931e476badae
138,QCA000138,197,94,91,25,5,Delta QualityCertificateAnalysis 138,QCA000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37a56e39d0bb5b5784d7f0fea847b7a937a56e39d0bb5b5784d7f0fea847b7a9
139,QCA000139,404,334,183,13,2,Junction QualityCertificateAnalysis 139,QCA000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,efea51ca2c5752a6a7da229a0a6830a4efea51ca2c5752a6a7da229a0a6830a4
140,QCA000140,324,212,174,19,5,Evergreen QualityCertificateAnalysis 140,QCA000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2b69f3f20e65ae7a847de2869b51f45d2b69f3f20e65ae7a847de2869b51f45
141,QCA000141,268,80,47,6,3,Forge QualityCertificateAnalysis 141,QCA000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35f3eb063f5f5029bb3b0c91a82919b035f3eb063f5f5029bb3b0c91a82919b0
142,QCA000142,38,223,221,5,1,Ion QualityCertificateAnalysis 142,QCA000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,041919be244a529bb01a576e5be93a98041919be244a529bb01a576e5be93a98
143,QCA000143,33,209,179,25,4,Unity QualityCertificateAnalysis 143,QCA000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f995855963556b2b6b8a8f29d9b64923f995855963556b2b6b8a8f29d9b6492
144,QCA000144,68,319,153,17,1,Northstar QualityCertificateAnalysis 144,QCA000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35f67ab714695df4a4e23e3efb510fd035f67ab714695df4a4e23e3efb510fd0
145,QCA000145,2,304,135,24,5,Orion QualityCertificateAnalysis 145,QCA000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2702553faf935b2798b2b6f4d369700c2702553faf935b2798b2b6f4d369700c
146,QCA000146,379,399,9,18,5,Orion QualityCertificateAnalysis 146,QCA000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18a494b7bb9f5e63ac6c8c27fe21fdd718a494b7bb9f5e63ac6c8c27fe21fdd7
147,QCA000147,457,304,90,17,2,Quartz QualityCertificateAnalysis 147,QCA000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0095e53bf78958c1872ae9bdc15aebe40095e53bf78958c1872ae9bdc15aebe4
148,QCA000148,467,349,122,25,1,Pioneer QualityCertificateAnalysis 148,QCA000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cff867a2898650d2a332327337f77eaecff867a2898650d2a332327337f77eae
149,QCA000149,80,42,148,16,4,Ion QualityCertificateAnalysis 149,QCA000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbaf95d4aa635d41924f41e7684017dcbbaf95d4aa635d41924f41e7684017dc
150,QCA000150,453,11,11,12,4,Cedar QualityCertificateAnalysis 150,QCA000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ceb7cee947455e25af9dfef4aa47297eceb7cee947455e25af9dfef4aa47297e
151,QCA000151,170,409,38,15,1,Titan QualityCertificateAnalysis 151,QCA000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,455355dbb1a354a4a577d61e0400069b455355dbb1a354a4a577d61e0400069b
152,QCA000152,92,30,91,3,3,Harbor QualityCertificateAnalysis 152,QCA000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87697cb22cfb54fd9b98284e27d1fe4c87697cb22cfb54fd9b98284e27d1fe4c
153,QCA000153,131,-1,145,7,2,Evergreen QualityCertificateAnalysis 153,QCA000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52f3b6caa3a8595c971379cc4880797052f3b6caa3a8595c971379cc48807970
154,QCA000154,291,226,92,2,5,Titan QualityCertificateAnalysis 154,QCA000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7745a920382b5fe9ab4320567654be277745a920382b5fe9ab4320567654be27
155,QCA000155,129,111,158,1,4,Atlas QualityCertificateAnalysis 155,QCA000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3473cce7ab55a9abeaa9dacae618431a3473cce7ab55a9abeaa9dacae618431
156,QCA000156,79,287,176,17,4,Forge QualityCertificateAnalysis 156,QCA000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae790095ba9d532da74bd55eb3a65ceeae790095ba9d532da74bd55eb3a65cee
157,QCA000157,258,22,69,12,4,Quartz QualityCertificateAnalysis 157,QCA000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8526aecde88555fab86bcdaa70345d508526aecde88555fab86bcdaa70345d50
158,QCA000158,435,217,4,6,5,Cedar QualityCertificateAnalysis 158,QCA000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11d339b121eb52f59b1a038b4be849b611d339b121eb52f59b1a038b4be849b6
159,QCA000159,379,74,163,18,5,Willow QualityCertificateAnalysis 159,QCA000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08394e16ff7955bba2a77efe6c68edfc08394e16ff7955bba2a77efe6c68edfc
160,QCA000160,108,491,232,3,2,Northstar QualityCertificateAnalysis 160,QCA000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e94cfa32ed15e4f85988f6c3c219bfe0e94cfa32ed15e4f85988f6c3c219bfe
161,QCA000161,401,442,59,18,4,Willow QualityCertificateAnalysis 161,QCA000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3e0fa95250a5154811b12df10e1d7d1d3e0fa95250a5154811b12df10e1d7d1
162,QCA000162,478,418,150,8,5,Zenith QualityCertificateAnalysis 162,QCA000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17c0e0c3b1df516598d78fe3ae30653617c0e0c3b1df516598d78fe3ae306536
163,QCA000163,260,368,134,15,1,Summit QualityCertificateAnalysis 163,QCA000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,518714cfb09959139936b0eac4ca6b7e518714cfb09959139936b0eac4ca6b7e
164,QCA000164,59,102,33,11,4,Pioneer QualityCertificateAnalysis 164,QCA000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5c1fdeff7e35c38ae258072fa9616f4b5c1fdeff7e35c38ae258072fa9616f4
165,QCA000165,256,171,61,24,1,Titan QualityCertificateAnalysis 165,QCA000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f82d74e4d1905cb48ffabab062155aa9f82d74e4d1905cb48ffabab062155aa9
166,QCA000166,203,146,219,24,3,Pioneer QualityCertificateAnalysis 166,QCA000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcd71370105250249097ecc6367dc411fcd71370105250249097ecc6367dc411
167,QCA000167,342,245,169,3,3,Cedar QualityCertificateAnalysis 167,QCA000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f250ed8bb3750f984061d69af358a599f250ed8bb3750f984061d69af358a59
168,QCA000168,214,482,178,9,5,Summit QualityCertificateAnalysis 168,QCA000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b588e85188f56eebf51cf718adf404d1b588e85188f56eebf51cf718adf404d
169,QCA000169,254,75,210,21,2,Granite QualityCertificateAnalysis 169,QCA000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d00a632aca075e9d92ae6e13664a27e8d00a632aca075e9d92ae6e13664a27e8
170,QCA000170,12,-1,165,8,5,Harbor QualityCertificateAnalysis 170,QCA000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,911fa55569235af88b4069a608312180911fa55569235af88b4069a608312180
171,QCA000171,4,437,204,25,5,Riverton QualityCertificateAnalysis 171,QCA000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6869dae6a435774bde3ffe90f2c614fa6869dae6a435774bde3ffe90f2c614f
172,QCA000172,302,439,37,7,3,Forge QualityCertificateAnalysis 172,QCA000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b925f2180fd57eb85f133b8e01b13406b925f2180fd57eb85f133b8e01b1340
173,QCA000173,499,374,169,2,2,Junction QualityCertificateAnalysis 173,QCA000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ee4d7b5fd46579eb61e15d87c84166c6ee4d7b5fd46579eb61e15d87c84166c
174,QCA000174,161,296,39,24,5,Granite QualityCertificateAnalysis 174,QCA000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fca11610f0d5295b967c171ed1507a13fca11610f0d5295b967c171ed1507a1
175,QCA000175,154,228,23,12,4,Ion QualityCertificateAnalysis 175,QCA000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ba12fd176e257718e0093453f826fcf1ba12fd176e257718e0093453f826fcf
176,QCA000176,481,130,192,21,4,Vertex QualityCertificateAnalysis 176,QCA000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6a463b5e292533188405bd19de6a88ab6a463b5e292533188405bd19de6a88a
177,QCA000177,232,123,85,18,4,Riverton QualityCertificateAnalysis 177,QCA000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcb411fe412a5b5d8f156df4671d6b75dcb411fe412a5b5d8f156df4671d6b75
178,QCA000178,102,244,204,14,2,Unity QualityCertificateAnalysis 178,QCA000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e022ef3ece15850b153617a45d4e8978e022ef3ece15850b153617a45d4e897
179,QCA000179,159,217,48,11,3,Forge QualityCertificateAnalysis 179,QCA000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb2a9d2d522d5e5a9f5322010a1989aaeb2a9d2d522d5e5a9f5322010a1989aa
180,QCA000180,73,298,191,11,4,Quartz QualityCertificateAnalysis 180,QCA000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9028a664f4a45601b18b3838fad4658a9028a664f4a45601b18b3838fad4658a
181,QCA000181,38,49,79,18,3,Northstar QualityCertificateAnalysis 181,QCA000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b43fdff4a09656de93ff2f5f22f3c879b43fdff4a09656de93ff2f5f22f3c879
182,QCA000182,465,42,167,10,2,Granite QualityCertificateAnalysis 182,QCA000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27b30fddd9ae5e8497b8b5131fcd82f727b30fddd9ae5e8497b8b5131fcd82f7
183,QCA000183,80,168,218,3,1,Zenith QualityCertificateAnalysis 183,QCA000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1da34384956e58c1b60edafd5837b3151da34384956e58c1b60edafd5837b315
184,QCA000184,95,227,140,21,4,Zenith QualityCertificateAnalysis 184,QCA000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11718537c5f9587ba53d566a6f8dec2a11718537c5f9587ba53d566a6f8dec2a
185,QCA000185,21,371,232,22,1,Quartz QualityCertificateAnalysis 185,QCA000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53566bc9ba355c23978f923a061b63fa53566bc9ba355c23978f923a061b63fa
186,QCA000186,79,275,133,21,3,Atlas QualityCertificateAnalysis 186,QCA000186,1,264.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66034ee97d7e5b78ac10c116950a785266034ee97d7e5b78ac10c116950a7852
187,QCA000187,353,-1,67,13,5,Vertex QualityCertificateAnalysis 187,QCA000187,1,266.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,737cd4843a6a505cad27ffef4a9144f1737cd4843a6a505cad27ffef4a9144f1
188,QCA000188,197,14,239,12,2,Zenith QualityCertificateAnalysis 188,QCA000188,1,267.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62fc92da5ad75a18b3c8f96b2216e1f162fc92da5ad75a18b3c8f96b2216e1f1
189,QCA000189,195,63,181,1,5,Vertex QualityCertificateAnalysis 189,QCA000189,1,268.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,336f8f557dfe5feba43f551ea9281385336f8f557dfe5feba43f551ea9281385
190,QCA000190,96,19,236,17,5,Atlas QualityCertificateAnalysis 190,QCA000190,0,270.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68e2853a017153d780d59a0cce38fe0768e2853a017153d780d59a0cce38fe07
