SalesPriceListKey,PriceListCode,SalesChannelSegmentKey,ProductKey,CurrencyKey,UnitOfMeasureKey,PriceListName,EffectiveDate,ExpirationDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
100,SPL000100,379,250,2,1,Ion SalesPriceList 100,2020-04-10,2020-04-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5e2e4f9dda35ce99cd46b8f62bebf00f5e2e4f9dda35ce99cd46b8f62bebf00
101,SPL000101,436,419,5,6,Junction SalesPriceList 101,2020-04-11,2020-04-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e28c2d29c8b52b7a1c7b47f13d8f80b4e28c2d29c8b52b7a1c7b47f13d8f80b
102,SPL000102,240,134,3,1,Summit SalesPriceList 102,2020-04-12,2020-04-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63d3dcfa121956a79e120b59b4d7405063d3dcfa121956a79e120b59b4d74050
103,SPL000103,96,213,5,1,Pioneer SalesPriceList 103,2020-04-13,2020-04-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a677fa7f9ded56f681616223d4fde6b7a677fa7f9ded56f681616223d4fde6b7
104,SPL000104,296,209,2,7,Forge SalesPriceList 104,2020-04-14,2020-04-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01a4a2b209d655b28fda86b530f1f01901a4a2b209d655b28fda86b530f1f019
105,SPL000105,460,280,3,6,Delta SalesPriceList 105,2020-04-15,2020-04-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a437b74093a5e74a66608c71ec743e28a437b74093a5e74a66608c71ec743e2
106,SPL000106,245,390,4,6,Titan SalesPriceList 106,2020-04-16,2020-04-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37cd1360f6de5359b7e45595877411ec37cd1360f6de5359b7e45595877411ec
107,SPL000107,342,395,5,1,Zenith SalesPriceList 107,2020-04-17,2020-04-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86a6167cd7f75ba48bb7ac4c27b9447986a6167cd7f75ba48bb7ac4c27b94479
108,SPL000108,87,274,5,3,Meridian SalesPriceList 108,2020-04-18,2020-04-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b78af954925858b6b4ca194a2b37f481b78af954925858b6b4ca194a2b37f481
109,SPL000109,41,472,4,2,Meridian SalesPriceList 109,2020-04-19,2020-04-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf5590207ef85c7bad7b2ff5bc8447edbf5590207ef85c7bad7b2ff5bc8447ed
110,SPL000110,378,115,3,5,Vertex SalesPriceList 110,2020-04-20,2020-04-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2075f6ec2caa595baa20b84275e444f62075f6ec2caa595baa20b84275e444f6
111,SPL000111,152,283,4,7,Keystone SalesPriceList 111,2020-04-21,2020-04-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,befbde6530b5511795bffecba4e0f0b5befbde6530b5511795bffecba4e0f0b5
112,SPL000112,109,436,2,2,Keystone SalesPriceList 112,2020-04-22,2020-04-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b67a143b6dba55a78f3a8d8be462c1d6b67a143b6dba55a78f3a8d8be462c1d6
113,SPL000113,79,52,3,2,Keystone SalesPriceList 113,2020-04-23,2020-04-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff0e71a1572a5144801997350f8c83aeff0e71a1572a5144801997350f8c83ae
114,SPL000114,191,205,5,5,Unity SalesPriceList 114,2020-04-24,2020-04-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c75bd5be120555aacb8c9f7258d82ae0c75bd5be120555aacb8c9f7258d82ae
115,SPL000115,389,466,3,5,Granite SalesPriceList 115,2020-04-25,2020-04-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,116d8f79ad79551f99c26358a3918e46116d8f79ad79551f99c26358a3918e46
116,SPL000116,336,82,4,7,Summit SalesPriceList 116,2020-04-26,2020-04-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03c98c41afb559fc8f2baae542a6f13203c98c41afb559fc8f2baae542a6f132
117,SPL000117,156,280,1,4,Summit SalesPriceList 117,2020-04-27,2020-04-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a57124fdd2b5d8e9beeb809789d19110a57124fdd2b5d8e9beeb809789d1911
118,SPL000118,411,25,1,3,Northstar SalesPriceList 118,2020-04-28,2020-04-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a473ec1ab8a5a2abe7c513fa989233e0a473ec1ab8a5a2abe7c513fa989233e
119,SPL000119,403,240,5,3,Zenith SalesPriceList 119,2020-04-29,2020-04-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ab16649495d571db0e7cb3c8bfd4d854ab16649495d571db0e7cb3c8bfd4d85
120,SPL000120,426,376,1,5,Meridian SalesPriceList 120,2020-04-30,2020-04-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6f8a167621f5181af22cf9ceef15748e6f8a167621f5181af22cf9ceef15748
121,SPL000121,472,50,2,7,Riverton SalesPriceList 121,2020-05-01,2020-05-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df954d30aab8581e9638ab80a94ec62adf954d30aab8581e9638ab80a94ec62a
122,SPL000122,158,336,5,6,Keystone SalesPriceList 122,2020-05-02,2020-05-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd5fefb4a0515147a7d782a2f4863f5add5fefb4a0515147a7d782a2f4863f5a
123,SPL000123,167,264,3,3,Riverton SalesPriceList 123,2020-05-03,2020-05-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bd856ffd5f6562781bcbb7dc20f94c86bd856ffd5f6562781bcbb7dc20f94c8
124,SPL000124,374,58,5,4,Beacon SalesPriceList 124,2020-05-04,2020-05-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0954e7e93da35343bbb0d96d4b9abeeb0954e7e93da35343bbb0d96d4b9abeeb
125,SPL000125,94,357,5,4,Zenith SalesPriceList 125,2020-05-05,2020-05-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0eb5b88edc7c5bb58a14190ebe23e23d0eb5b88edc7c5bb58a14190ebe23e23d
126,SPL000126,6,330,5,6,Titan SalesPriceList 126,2020-05-06,2020-05-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91e0a8e8947852fbae634c395413e54991e0a8e8947852fbae634c395413e549
127,SPL000127,489,119,3,4,Orion SalesPriceList 127,2020-05-07,2020-05-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bcf93e1367e5c61ad57d021fb1a3d924bcf93e1367e5c61ad57d021fb1a3d92
128,SPL000128,131,376,4,5,Liberty SalesPriceList 128,2020-05-08,2020-05-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c554eb3656cc502a8c38bcea9c1c8903c554eb3656cc502a8c38bcea9c1c8903
129,SPL000129,386,312,3,4,Forge SalesPriceList 129,2020-05-09,2020-05-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e720002162475e53b7a1ec6871d4d09de720002162475e53b7a1ec6871d4d09d
130,SPL000130,423,418,5,7,Ion SalesPriceList 130,2020-05-10,2020-05-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c88e7b18a5e6567daece20090d744a1dc88e7b18a5e6567daece20090d744a1d
131,SPL000131,59,165,1,1,Junction SalesPriceList 131,2020-05-11,2020-05-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ae3cbabb8a851b6a11a69e5c91cfb751ae3cbabb8a851b6a11a69e5c91cfb75
132,SPL000132,191,173,1,4,Atlas SalesPriceList 132,2020-05-12,2020-05-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2ffecd2f5475d949efbf6a9bd1889beb2ffecd2f5475d949efbf6a9bd1889be
133,SPL000133,248,170,4,4,Granite SalesPriceList 133,2020-05-13,2020-05-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d1619da88d257af959b5cb02ff6f6ba5d1619da88d257af959b5cb02ff6f6ba
134,SPL000134,24,317,2,5,Orion SalesPriceList 134,2020-05-14,2020-05-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78ff5d6334ed56cb911228d825472ae178ff5d6334ed56cb911228d825472ae1
135,SPL000135,370,125,1,3,Liberty SalesPriceList 135,2020-05-15,2020-05-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b6afce27ea3504f96cc5c1369e371643b6afce27ea3504f96cc5c1369e37164
136,SPL000136,289,315,3,5,Delta SalesPriceList 136,2020-05-16,2020-05-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd426507bdb257f09fb633e160e55df5dd426507bdb257f09fb633e160e55df5
137,SPL000137,242,323,3,6,Zenith SalesPriceList 137,2020-05-17,2020-05-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21e115bb86db5991a9bff47b9d7209a621e115bb86db5991a9bff47b9d7209a6
138,SPL000138,276,294,4,6,Granite SalesPriceList 138,2020-05-18,2020-05-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a541ee87dd525dedae2a663a1feec1c5a541ee87dd525dedae2a663a1feec1c5
139,SPL000139,242,319,4,7,Ion SalesPriceList 139,2020-05-19,2020-05-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,727642a6a9ba5fa8bc6c051cf88b1fc8727642a6a9ba5fa8bc6c051cf88b1fc8
140,SPL000140,148,234,5,4,Northstar SalesPriceList 140,2020-05-20,2020-05-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,272789fd5f7550f88a0cf79204645b27272789fd5f7550f88a0cf79204645b27
141,SPL000141,157,221,5,3,Beacon SalesPriceList 141,2020-05-21,2020-05-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b26a10a85b9599c96899c97c4f5b1542b26a10a85b9599c96899c97c4f5b154
142,SPL000142,310,256,4,1,Forge SalesPriceList 142,2020-05-22,2020-05-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a79a81ca49857ceaa858a2f53bef1d00a79a81ca49857ceaa858a2f53bef1d0
143,SPL000143,192,435,5,4,Orion SalesPriceList 143,2020-05-23,2020-05-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5db79846ad8f5317a5b64979780ad2555db79846ad8f5317a5b64979780ad255
144,SPL000144,35,264,1,5,Atlas SalesPriceList 144,2020-05-24,2020-05-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,247bd7261f9f5036ad7433a802a6e6a4247bd7261f9f5036ad7433a802a6e6a4
145,SPL000145,112,159,5,7,Northstar SalesPriceList 145,2020-05-25,2020-05-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d99cd4215bb55fd8dc890e2e217192c2d99cd4215bb55fd8dc890e2e217192c
146,SPL000146,446,491,4,1,Harbor SalesPriceList 146,2020-05-26,2020-05-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e09c79c643425b31ac072a84ebaae056e09c79c643425b31ac072a84ebaae056
147,SPL000147,291,322,4,3,Harbor SalesPriceList 147,2020-05-27,2020-05-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a82dfb7c12f95fb3969a68b4bb7b5b4fa82dfb7c12f95fb3969a68b4bb7b5b4f
148,SPL000148,362,90,4,2,Liberty SalesPriceList 148,2020-05-28,2020-05-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,067ad832cfe452ce9151420edecdd1de067ad832cfe452ce9151420edecdd1de
149,SPL000149,53,33,2,1,Granite SalesPriceList 149,2020-05-29,2020-05-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54925210754754eb88723838663df64e54925210754754eb88723838663df64e
150,SPL000150,413,385,3,5,Atlas SalesPriceList 150,2020-05-30,2020-05-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a28c2ebafbfe5197906bf805074a30bda28c2ebafbfe5197906bf805074a30bd
151,SPL000151,226,395,1,3,Pioneer SalesPriceList 151,2020-05-31,2020-05-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2268cbb20ae55cf689b68dacd63fd4562268cbb20ae55cf689b68dacd63fd456
152,SPL000152,4,203,2,1,Delta SalesPriceList 152,2020-06-01,2020-06-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1934a61a25625190b5848932c0585cd01934a61a25625190b5848932c0585cd0
153,SPL000153,364,384,2,1,Pioneer SalesPriceList 153,2020-06-02,2020-06-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82a546ffeb125b9abcb3188b6b4dcf2782a546ffeb125b9abcb3188b6b4dcf27
154,SPL000154,185,165,5,4,Meridian SalesPriceList 154,2020-06-03,2020-06-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fbead9b3b8452de9040fef2e5b1bc2c2fbead9b3b8452de9040fef2e5b1bc2c
155,SPL000155,146,380,1,5,Harbor SalesPriceList 155,2020-06-04,2020-06-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70438051c43a57e68d5b7e24471549b670438051c43a57e68d5b7e24471549b6
156,SPL000156,412,169,3,3,Vertex SalesPriceList 156,2020-06-05,2020-06-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e897ac53ec8579fb5316acd6fc81e435e897ac53ec8579fb5316acd6fc81e43
157,SPL000157,217,269,5,4,Vertex SalesPriceList 157,2020-06-06,2020-06-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2e19a1ebf6555da8401d664291e31a6d2e19a1ebf6555da8401d664291e31a6
158,SPL000158,12,455,4,3,Quartz SalesPriceList 158,2020-06-07,2020-06-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9a83d3f4a5a59e1a20ada35b1304d32e9a83d3f4a5a59e1a20ada35b1304d32
159,SPL000159,360,446,2,3,Beacon SalesPriceList 159,2020-06-08,2020-06-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65f51b00f7ca5bd2aa5fbe84de06cc4665f51b00f7ca5bd2aa5fbe84de06cc46
160,SPL000160,137,350,2,4,Vertex SalesPriceList 160,2020-06-09,2020-06-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e14ca3d76bc85d38bcf32984e55b22f3e14ca3d76bc85d38bcf32984e55b22f3
161,SPL000161,237,429,4,4,Beacon SalesPriceList 161,2020-06-10,2020-06-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c67936136be5d818307f2e46218f6ea9c67936136be5d818307f2e46218f6ea
162,SPL000162,159,339,3,3,Titan SalesPriceList 162,2020-06-11,2020-06-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aed6786f64a35cec84b1e11310828be0aed6786f64a35cec84b1e11310828be0
163,SPL000163,69,11,5,6,Granite SalesPriceList 163,2020-06-12,2020-06-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70475ca149db52eebff00a9d298a8d7c70475ca149db52eebff00a9d298a8d7c
164,SPL000164,39,30,3,7,Keystone SalesPriceList 164,2020-06-13,2020-06-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,733cd14d4a835b48b3516d9bf05f09ed733cd14d4a835b48b3516d9bf05f09ed
165,SPL000165,55,125,3,1,Forge SalesPriceList 165,2020-06-14,2020-06-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c46e6897a114579d8a5e6c1b87b1acbec46e6897a114579d8a5e6c1b87b1acbe
166,SPL000166,390,128,3,7,Cedar SalesPriceList 166,2020-06-15,2020-06-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,494b1f6685725c5381ecb8b36f210a5f494b1f6685725c5381ecb8b36f210a5f
167,SPL000167,294,172,1,5,Ion SalesPriceList 167,2020-06-16,2020-06-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97a631217da0595ca57a724196e2660097a631217da0595ca57a724196e26600
168,SPL000168,261,62,2,1,Cedar SalesPriceList 168,2020-06-17,2020-06-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcd959f5dbd15677859d61e7f0c04eb3fcd959f5dbd15677859d61e7f0c04eb3
169,SPL000169,268,33,4,1,Junction SalesPriceList 169,2020-06-18,2020-06-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49e90a03b6fe549f907fbee7a40838dd49e90a03b6fe549f907fbee7a40838dd
170,SPL000170,446,192,3,4,Ion SalesPriceList 170,2020-06-19,2020-06-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f8b34eaad3a55cd994bebcfb13bd87a8f8b34eaad3a55cd994bebcfb13bd87a
171,SPL000171,480,311,1,4,Summit SalesPriceList 171,2020-06-20,2020-06-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8663ef60ccf45a53bfbd773cdd4ce7088663ef60ccf45a53bfbd773cdd4ce708
172,SPL000172,308,444,3,7,Keystone SalesPriceList 172,2020-06-21,2020-06-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4edc4430cc555628929f22f4fd4e832b4edc4430cc555628929f22f4fd4e832b
173,SPL000173,306,440,1,7,Willow SalesPriceList 173,2020-06-22,2020-06-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4afd325ae15651608779cf1019cf090f4afd325ae15651608779cf1019cf090f
174,SPL000174,253,37,4,4,Zenith SalesPriceList 174,2020-06-23,2020-06-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42dc688366f65230849d9ff1b3b2000742dc688366f65230849d9ff1b3b20007
175,SPL000175,462,113,2,3,Cedar SalesPriceList 175,2020-06-24,2020-06-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fa4896f50bb5decbbc3cea78499b3aa3fa4896f50bb5decbbc3cea78499b3aa
176,SPL000176,202,381,2,1,Summit SalesPriceList 176,2020-06-25,2020-06-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87f257a1a4795d5497a4df7c9a6b79b487f257a1a4795d5497a4df7c9a6b79b4
177,SPL000177,229,287,4,1,Zenith SalesPriceList 177,2020-06-26,2020-06-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78974b3bc3115981b32d628456aa439178974b3bc3115981b32d628456aa4391
178,SPL000178,263,154,3,1,Forge SalesPriceList 178,2020-06-27,2020-06-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98b4888eeda75d0b9d6a3be89cff628e98b4888eeda75d0b9d6a3be89cff628e
179,SPL000179,289,423,1,4,Pioneer SalesPriceList 179,2020-06-28,2020-06-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eeb3a69a02535c199e3dd482d0f9e084eeb3a69a02535c199e3dd482d0f9e084
180,SPL000180,276,209,3,4,Willow SalesPriceList 180,2020-06-29,2020-06-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eea5baf26e6d52819c518e0b507d649ceea5baf26e6d52819c518e0b507d649c
181,SPL000181,324,228,1,7,Evergreen SalesPriceList 181,2020-06-30,2020-06-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32b41b67e4a654dcb85cd6386fd0155232b41b67e4a654dcb85cd6386fd01552
182,SPL000182,200,389,4,5,Granite SalesPriceList 182,2020-07-01,2020-07-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dda183596dfe5567846eef2f5a71ca00dda183596dfe5567846eef2f5a71ca00
183,SPL000183,282,180,4,2,Orion SalesPriceList 183,2020-07-02,2020-07-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e554b3141dc459ceb8cd9f1f52cc0f35e554b3141dc459ceb8cd9f1f52cc0f35
184,SPL000184,451,192,2,7,Forge SalesPriceList 184,2020-07-03,2020-07-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe487ab7a3705fc0a62b628c7d682e86fe487ab7a3705fc0a62b628c7d682e86
185,SPL000185,167,422,5,1,Meridian SalesPriceList 185,2020-07-04,2020-07-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb3d51c30e0f54a482cdd40022d64f06eb3d51c30e0f54a482cdd40022d64f06
186,SPL000186,139,327,2,5,Unity SalesPriceList 186,2020-07-05,2020-07-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,074abe370e965ec190d3afd34edda9c9074abe370e965ec190d3afd34edda9c9
187,SPL000187,392,211,2,6,Ion SalesPriceList 187,2020-07-06,2020-07-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f8e6057a0525b928a7bd493e33ea3994f8e6057a0525b928a7bd493e33ea399
188,SPL000188,330,194,1,3,Summit SalesPriceList 188,2020-07-07,2020-07-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0acac3a6e02594293d3704707646575d0acac3a6e02594293d3704707646575
189,SPL000189,104,61,2,1,Meridian SalesPriceList 189,2020-07-08,2020-07-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b73b2c32e1eb5a61b4f72794597e8e7cb73b2c32e1eb5a61b4f72794597e8e7c
190,SPL000190,147,95,4,1,Beacon SalesPriceList 190,2020-07-09,2020-07-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc51612b043c58599ca9243ce3ad8a3abc51612b043c58599ca9243ce3ad8a3a
191,SPL000191,411,151,4,6,Granite SalesPriceList 191,2020-07-10,2020-07-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db2e2c7ce40454d0bbf94c8866cfc3aedb2e2c7ce40454d0bbf94c8866cfc3ae
192,SPL000192,322,23,3,1,Forge SalesPriceList 192,2020-07-11,2020-07-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6ae542a80c4516990d946b02bc37df3a6ae542a80c4516990d946b02bc37df3
193,SPL000193,133,178,4,1,Atlas SalesPriceList 193,2020-07-12,2020-07-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54fc3e594aba5439a247f6218aff84a554fc3e594aba5439a247f6218aff84a5
194,SPL000194,370,282,2,3,Riverton SalesPriceList 194,2020-07-13,2020-07-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d02d090a105558585fee5044339ef884d02d090a105558585fee5044339ef88
195,SPL000195,203,395,3,5,Meridian SalesPriceList 195,2020-07-14,2020-07-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd8c554c5936585aad9b286e0578dceefd8c554c5936585aad9b286e0578dcee
196,SPL000196,38,320,5,3,Forge SalesPriceList 196,2020-07-15,2020-07-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,726db0a0ee735d929a5e01c6e4f74ff3726db0a0ee735d929a5e01c6e4f74ff3
197,SPL000197,259,176,5,2,Riverton SalesPriceList 197,2020-07-16,2020-07-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e8a26f2b8365cb6ac1ecf51bf2beb047e8a26f2b8365cb6ac1ecf51bf2beb04
198,SPL000198,351,182,1,4,Cedar SalesPriceList 198,2020-07-17,2020-07-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30f6da024b01512283033730e8d5a8c230f6da024b01512283033730e8d5a8c2
199,SPL000199,243,395,5,2,Northstar SalesPriceList 199,2020-07-18,2020-07-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e886e2fc27c55f7bcc9c8df743ab67f0e886e2fc27c55f7bcc9c8df743ab67f
