MaintenanceTaskGroupKey,MaintenanceTaskGroupCode,MaintenancePlanClassKey,MaintenanceTaskGroupName,SourceSystemKey,BatchId,LoadedAtUtc
290,MTG000290,82,Vertex MaintenanceTaskGroup 290,1,1,2026-08-24T00:00:00.000
291,MTG000291,45,Northstar MaintenanceTaskGroup 291,1,1,2026-08-24T00:00:00.000
292,MTG000292,29,Atlas MaintenanceTaskGroup 292,1,1,2026-08-24T00:00:00.000
293,MTG000293,65,Forge MaintenanceTaskGroup 293,1,1,2026-08-24T00:00:00.000
294,MTG000294,89,Zenith MaintenanceTaskGroup 294,1,1,2026-08-24T00:00:00.000
295,MTG000295,17,Pioneer MaintenanceTaskGroup 295,1,1,2026-08-24T00:00:00.000
296,MTG000296,24,Atlas MaintenanceTaskGroup 296,1,1,2026-08-24T00:00:00.000
297,MTG000297,20,Vertex MaintenanceTaskGroup 297,1,1,2026-08-24T00:00:00.000
298,MTG000298,70,Zenith MaintenanceTaskGroup 298,1,1,2026-08-24T00:00:00.000
299,MTG000299,70,Cedar MaintenanceTaskGroup 299,1,1,2026-08-24T00:00:00.000
300,MTG000300,23,Atlas MaintenanceTaskGroup 300,1,1,2026-08-24T00:00:00.000
