LogisticsShipmentLineKey,ShipmentLineCode,LogisticsShipmentHeaderKey,ProductKey,OriginPlantKey,LogisticsShipmentStatusKey,UnitOfMeasureKey,ShipmentLineSequenceNumber,HandlingUnitNumber,DeliveryReferenceNumber,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
108,LSL000108,313,405,303,9,4,108,LSL000108,LSL000108,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36d472cb1be352eda7b06e4c575fa86836d472cb1be352eda7b06e4c575fa868
109,LSL000109,456,90,299,7,7,109,LSL000109,LSL000109,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9d77696549f5d5a9882051d3405891ed9d77696549f5d5a9882051d3405891e
110,LSL000110,359,165,59,13,5,110,LSL000110,LSL000110,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46590634950b5e54be63d76babc1cc4c46590634950b5e54be63d76babc1cc4c
111,LSL000111,64,202,288,9,1,111,LSL000111,LSL000111,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c39ada8a3f445e2aa104f1666b477cb2c39ada8a3f445e2aa104f1666b477cb2
112,LSL000112,249,159,159,5,2,112,LSL000112,LSL000112,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2270a72eca657e3b6594a3243fa4591b2270a72eca657e3b6594a3243fa4591
113,LSL000113,406,227,125,1,2,113,LSL000113,LSL000113,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,febc3174f5375672882cb463b6633fdffebc3174f5375672882cb463b6633fdf
114,LSL000114,388,169,218,5,1,114,LSL000114,LSL000114,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83ab493eacff5be2b2dc731f66d3ab7183ab493eacff5be2b2dc731f66d3ab71
115,LSL000115,73,21,310,6,4,115,LSL000115,LSL000115,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17411db2397e5f21afcb21f3799fd47f17411db2397e5f21afcb21f3799fd47f
116,LSL000116,101,415,161,5,7,116,LSL000116,LSL000116,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53ea841eecce513e807840956267fb9053ea841eecce513e807840956267fb90
117,LSL000117,103,31,177,10,2,117,LSL000117,LSL000117,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ca499c557205620b40e1cea5906ed045ca499c557205620b40e1cea5906ed04
118,LSL000118,271,20,39,9,6,118,LSL000118,LSL000118,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce9e2ed143d1553e961e3b7f098be4f7ce9e2ed143d1553e961e3b7f098be4f7
119,LSL000119,274,141,-1,7,4,119,LSL000119,LSL000119,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6f6a7af48c556b8860353830f45dbf8a6f6a7af48c556b8860353830f45dbf8
120,LSL000120,194,484,162,7,7,120,LSL000120,LSL000120,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94c86cc9578c5bd29dd9f67b67b922aa94c86cc9578c5bd29dd9f67b67b922aa
121,LSL000121,460,89,138,3,4,121,LSL000121,LSL000121,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb9da8c6e0ee50eaa848110d904c14b7bb9da8c6e0ee50eaa848110d904c14b7
122,LSL000122,328,333,326,10,4,122,LSL000122,LSL000122,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acb41c17b5db51f4a7fe3026b1ee49f7acb41c17b5db51f4a7fe3026b1ee49f7
123,LSL000123,182,266,282,1,7,123,LSL000123,LSL000123,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c547a60ca0d45b2db3a575ad611f9785c547a60ca0d45b2db3a575ad611f9785
124,LSL000124,339,282,191,12,1,124,LSL000124,LSL000124,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a0fb03bf3785251a193dfba49b1660b0a0fb03bf3785251a193dfba49b1660b
125,LSL000125,292,330,27,3,1,125,LSL000125,LSL000125,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2aba5e33312d57f8b44cdbc692313fe02aba5e33312d57f8b44cdbc692313fe0
126,LSL000126,90,371,212,7,7,126,LSL000126,LSL000126,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7df307cd2c795776937fca5bdb45bc017df307cd2c795776937fca5bdb45bc01
127,LSL000127,243,470,37,14,3,127,LSL000127,LSL000127,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2fd10f59a3e5df1b19256f49771a88fa2fd10f59a3e5df1b19256f49771a88f
128,LSL000128,133,478,186,12,4,128,LSL000128,LSL000128,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4337612132be5742b983f5b72a4d32b24337612132be5742b983f5b72a4d32b2
129,LSL000129,411,260,344,11,2,129,LSL000129,LSL000129,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01d67e5f19d551feaf899cdde35d03d101d67e5f19d551feaf899cdde35d03d1
130,LSL000130,492,417,213,4,4,130,LSL000130,LSL000130,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc7afa462aa850369722e950f085a6e3fc7afa462aa850369722e950f085a6e3
131,LSL000131,306,363,250,12,6,131,LSL000131,LSL000131,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26225c22cf1457408ee986ea0b29363826225c22cf1457408ee986ea0b293638
132,LSL000132,350,294,227,1,2,132,LSL000132,LSL000132,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5cc7b4f15455497ad3a6b361bcadc36d5cc7b4f15455497ad3a6b361bcadc36
133,LSL000133,455,353,333,11,3,133,LSL000133,LSL000133,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d40e68bd2283593eb2cab769aa8dcb41d40e68bd2283593eb2cab769aa8dcb41
134,LSL000134,5,174,280,12,1,134,LSL000134,LSL000134,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa3bb810737156f2812e337b6e9a07efaa3bb810737156f2812e337b6e9a07ef
135,LSL000135,354,192,100,1,3,135,LSL000135,LSL000135,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a875e8834ce35e92bc132e585c840a48a875e8834ce35e92bc132e585c840a48
136,LSL000136,215,289,-1,6,7,136,LSL000136,LSL000136,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,febf2cbf25425685b7d32b416c89878afebf2cbf25425685b7d32b416c89878a
137,LSL000137,1,8,293,10,2,137,LSL000137,LSL000137,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,800d73788a6f52dfb5ab39e36280b729800d73788a6f52dfb5ab39e36280b729
138,LSL000138,496,74,18,12,5,138,LSL000138,LSL000138,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49ed0b09ea1a58d6927b76a2f74b3f9849ed0b09ea1a58d6927b76a2f74b3f98
139,LSL000139,16,30,90,8,3,139,LSL000139,LSL000139,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4b0bab3ebcd5bebbcfe9a2bd81f2003f4b0bab3ebcd5bebbcfe9a2bd81f2003
140,LSL000140,145,309,127,9,5,140,LSL000140,LSL000140,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d66c6bec2725ae0a53e89268edcd8d97d66c6bec2725ae0a53e89268edcd8d9
141,LSL000141,251,334,306,8,7,141,LSL000141,LSL000141,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2c5208dd2875ed6b9aac75439fe9339d2c5208dd2875ed6b9aac75439fe9339
142,LSL000142,409,320,175,10,2,142,LSL000142,LSL000142,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba795525c475573c9def1c5d9e5bd654ba795525c475573c9def1c5d9e5bd654
143,LSL000143,17,485,308,12,7,143,LSL000143,LSL000143,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51aed0e800fc52ecb1dca52d197e7ae751aed0e800fc52ecb1dca52d197e7ae7
144,LSL000144,158,115,97,13,1,144,LSL000144,LSL000144,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bbceed65fc65e1ea8ba9bdc3f6d56c38bbceed65fc65e1ea8ba9bdc3f6d56c3
145,LSL000145,351,471,283,10,3,145,LSL000145,LSL000145,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5c7cae711905bcb8f4ee1a8031318b1b5c7cae711905bcb8f4ee1a8031318b1
146,LSL000146,24,273,87,13,7,146,LSL000146,LSL000146,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43f49ee5cf275c2faba52034eb3f2ed543f49ee5cf275c2faba52034eb3f2ed5
147,LSL000147,230,233,157,2,2,147,LSL000147,LSL000147,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fb728ee180e593eb54b0d4e2e99bc627fb728ee180e593eb54b0d4e2e99bc62
148,LSL000148,317,92,131,2,3,148,LSL000148,LSL000148,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ff3a16e95725d49912cc0db69dc35bf1ff3a16e95725d49912cc0db69dc35bf
149,LSL000149,406,430,22,1,2,149,LSL000149,LSL000149,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23a54aa06ee7533c836fa657becb7b1f23a54aa06ee7533c836fa657becb7b1f
150,LSL000150,51,110,229,12,3,150,LSL000150,LSL000150,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,860ce5c21480592c89e399da390abad5860ce5c21480592c89e399da390abad5
151,LSL000151,125,443,213,4,2,151,LSL000151,LSL000151,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e16e8fb715625206b4967dd5c187a7c2e16e8fb715625206b4967dd5c187a7c2
152,LSL000152,344,467,118,11,4,152,LSL000152,LSL000152,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2110e60c8c0e57138d7cacd8ad0c60652110e60c8c0e57138d7cacd8ad0c6065
153,LSL000153,332,84,-1,2,6,153,LSL000153,LSL000153,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a8b52c4e1aa582b99b54b322109d6b52a8b52c4e1aa582b99b54b322109d6b5
154,LSL000154,53,119,203,14,7,154,LSL000154,LSL000154,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b2c14182ca85bc0be457c5bc08ea5261b2c14182ca85bc0be457c5bc08ea526
155,LSL000155,163,459,110,13,5,155,LSL000155,LSL000155,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95b14273eb195ae39dee75a52558d32d95b14273eb195ae39dee75a52558d32d
156,LSL000156,189,20,50,12,6,156,LSL000156,LSL000156,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9163839b1e85f3ab412ead5a2c07039f9163839b1e85f3ab412ead5a2c07039
157,LSL000157,142,98,223,6,3,157,LSL000157,LSL000157,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06d16a6d6f0d5beca185e1cfb6d253e806d16a6d6f0d5beca185e1cfb6d253e8
158,LSL000158,321,216,97,14,4,158,LSL000158,LSL000158,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7ed22ea817658968ad1a71c4368e47dd7ed22ea817658968ad1a71c4368e47d
159,LSL000159,164,146,237,8,3,159,LSL000159,LSL000159,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb1f2f4df1035227afa86ce6340eea54bb1f2f4df1035227afa86ce6340eea54
160,LSL000160,83,127,10,3,5,160,LSL000160,LSL000160,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cef00b84874756fe966c46d91cf10340cef00b84874756fe966c46d91cf10340
161,LSL000161,217,182,329,2,1,161,LSL000161,LSL000161,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fc31c8e9c0e5e83bdc898ecc88dcf4d7fc31c8e9c0e5e83bdc898ecc88dcf4d
162,LSL000162,55,156,52,7,7,162,LSL000162,LSL000162,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ecfb118f40a5c92911f61227581a0718ecfb118f40a5c92911f61227581a071
163,LSL000163,495,349,268,3,1,163,LSL000163,LSL000163,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06c0ea6da77f54b5aa72922a64cbedf106c0ea6da77f54b5aa72922a64cbedf1
164,LSL000164,153,1,58,3,1,164,LSL000164,LSL000164,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfaf9b133e7d57f9af69cee359f4caf9bfaf9b133e7d57f9af69cee359f4caf9
165,LSL000165,187,352,61,11,2,165,LSL000165,LSL000165,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1109d6ac3cfc5e75930c60b47a523bfd1109d6ac3cfc5e75930c60b47a523bfd
166,LSL000166,8,437,340,11,5,166,LSL000166,LSL000166,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5eb8f7f9197258de8759085d16693cbf5eb8f7f9197258de8759085d16693cbf
167,LSL000167,148,44,90,6,6,167,LSL000167,LSL000167,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f459c8f69f845c7ab939e321e17ebfc8f459c8f69f845c7ab939e321e17ebfc8
168,LSL000168,261,109,286,7,7,168,LSL000168,LSL000168,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4928e72d8165193b0d561bdee28e14ad4928e72d8165193b0d561bdee28e14a
169,LSL000169,221,92,337,9,7,169,LSL000169,LSL000169,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef3ad924770d591db88c07fa8ddbdc7eef3ad924770d591db88c07fa8ddbdc7e
170,LSL000170,358,124,-1,13,1,170,LSL000170,LSL000170,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95dc421e085f59e586499587ee0bc17f95dc421e085f59e586499587ee0bc17f
171,LSL000171,3,55,261,4,6,171,LSL000171,LSL000171,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc83ed9698d65b28ba611dae9b09e09ebc83ed9698d65b28ba611dae9b09e09e
172,LSL000172,97,430,68,1,2,172,LSL000172,LSL000172,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93483613dfb759e4842d2a4ee8c2060a93483613dfb759e4842d2a4ee8c2060a
173,LSL000173,104,115,4,6,1,173,LSL000173,LSL000173,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34c09e46b61f5e9ca13f42ff00ed1ece34c09e46b61f5e9ca13f42ff00ed1ece
174,LSL000174,440,239,174,1,5,174,LSL000174,LSL000174,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e90ff57ff0a75622b42d4591d601aba1e90ff57ff0a75622b42d4591d601aba1
175,LSL000175,494,247,243,9,6,175,LSL000175,LSL000175,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4050faded4b7556db05b525b79c0da864050faded4b7556db05b525b79c0da86
176,LSL000176,106,19,61,1,1,176,LSL000176,LSL000176,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,236c9f88ed4a52b5a85a5d157a5f17d7236c9f88ed4a52b5a85a5d157a5f17d7
177,LSL000177,8,103,130,2,4,177,LSL000177,LSL000177,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e430237d3d95f268e462a7bc5fe6dc39e430237d3d95f268e462a7bc5fe6dc3
178,LSL000178,110,475,116,8,6,178,LSL000178,LSL000178,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e4b7a921f5752a6af3b12ef5d5b48fc1e4b7a921f5752a6af3b12ef5d5b48fc
179,LSL000179,196,198,193,14,6,179,LSL000179,LSL000179,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f021450a78645be9a5f5d3986a26f920f021450a78645be9a5f5d3986a26f920
180,LSL000180,245,146,249,11,7,180,LSL000180,LSL000180,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7be4e2743eb59049f2bbe7ba7ee4febd7be4e2743eb59049f2bbe7ba7ee4feb
181,LSL000181,332,440,14,7,6,181,LSL000181,LSL000181,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccd2d037cf6755bfaae001b4bd6d2912ccd2d037cf6755bfaae001b4bd6d2912
182,LSL000182,449,278,265,13,7,182,LSL000182,LSL000182,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5aef8f995620528ba4861cac183469c85aef8f995620528ba4861cac183469c8
183,LSL000183,189,455,120,6,5,183,LSL000183,LSL000183,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bd854d6b846548b9b62830bf3a87c0b5bd854d6b846548b9b62830bf3a87c0b
184,LSL000184,400,292,70,7,4,184,LSL000184,LSL000184,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db6bda0271185d26bc565999432b5ccfdb6bda0271185d26bc565999432b5ccf
185,LSL000185,472,486,56,9,7,185,LSL000185,LSL000185,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5b2aaaac623503a854d3eea03a4385ea5b2aaaac623503a854d3eea03a4385e
186,LSL000186,378,283,123,7,6,186,LSL000186,LSL000186,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e025fe6a19af5e479d3f3fb699bde5a3e025fe6a19af5e479d3f3fb699bde5a3
187,LSL000187,259,361,-1,13,3,187,LSL000187,LSL000187,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e41f5e5ee579506fb51d67bce6e18ca1e41f5e5ee579506fb51d67bce6e18ca1
188,LSL000188,278,471,163,1,1,188,LSL000188,LSL000188,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbdb36d4345d5fcd8e32b827684090e2bbdb36d4345d5fcd8e32b827684090e2
189,LSL000189,144,228,8,14,1,189,LSL000189,LSL000189,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,663a0f8e72135b87b0aecf8d426bfbc4663a0f8e72135b87b0aecf8d426bfbc4
190,LSL000190,22,375,126,6,7,190,LSL000190,LSL000190,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb6b2b03f7685df08a03961c1a3356b3bb6b2b03f7685df08a03961c1a3356b3
191,LSL000191,449,477,44,11,7,191,LSL000191,LSL000191,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c049410264135bc78d43bfb01f908671c049410264135bc78d43bfb01f908671
192,LSL000192,455,189,200,8,4,192,LSL000192,LSL000192,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9819859bd2459259f90c9490972ae22c9819859bd2459259f90c9490972ae22
193,LSL000193,23,455,87,13,1,193,LSL000193,LSL000193,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39e92d1e8201574db14e67cf8d7ed94739e92d1e8201574db14e67cf8d7ed947
194,LSL000194,400,173,298,6,4,194,LSL000194,LSL000194,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0ef6212875452c1a6a477c4d987dea8d0ef6212875452c1a6a477c4d987dea8
195,LSL000195,184,381,346,6,3,195,LSL000195,LSL000195,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,822e4d9d66dc5bd1967c597184f76e31822e4d9d66dc5bd1967c597184f76e31
196,LSL000196,232,463,327,13,1,196,LSL000196,LSL000196,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61a4c58f78d5531abd31c16e312f7e1b61a4c58f78d5531abd31c16e312f7e1b
197,LSL000197,113,58,75,12,2,197,LSL000197,LSL000197,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,751e9074c37c5a5daa77c18b3e9c1334751e9074c37c5a5daa77c18b3e9c1334
198,LSL000198,113,451,276,8,7,198,LSL000198,LSL000198,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a007c9372065e9b8f947512810cb0358a007c9372065e9b8f947512810cb035
199,LSL000199,369,144,94,14,7,199,LSL000199,LSL000199,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b22eaefac5651f1b098fbfa675bb48b5b22eaefac5651f1b098fbfa675bb48b
200,LSL000200,1,27,133,3,1,200,LSL000200,LSL000200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae3e3ea26fc952ecb615947e67dea267ae3e3ea26fc952ecb615947e67dea267
201,LSL000201,34,320,103,3,6,201,LSL000201,LSL000201,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b318dc255c8545f89f684c3c14eafe42b318dc255c8545f89f684c3c14eafe4
202,LSL000202,105,397,249,10,3,202,LSL000202,LSL000202,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d7980e1001d5f688b52d5e78c33b21d2d7980e1001d5f688b52d5e78c33b21d
203,LSL000203,222,356,130,14,7,203,LSL000203,LSL000203,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac10cc44c0025eb3ab56c247f3dc292eac10cc44c0025eb3ab56c247f3dc292e
204,LSL000204,140,246,-1,6,4,204,LSL000204,LSL000204,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cc93723110853afb0a3b66c923972cb7cc93723110853afb0a3b66c923972cb
205,LSL000205,276,92,262,9,7,205,LSL000205,LSL000205,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4095aa6e5205aa9851441ba0757b491f4095aa6e5205aa9851441ba0757b491
206,LSL000206,462,490,205,13,4,206,LSL000206,LSL000206,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e650a7a9e93e569ea4a6537e98ddfc64e650a7a9e93e569ea4a6537e98ddfc64
207,LSL000207,391,247,300,4,2,207,LSL000207,LSL000207,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3215500c58b5ddbaf1c7d3efa3241bcb3215500c58b5ddbaf1c7d3efa3241bc
208,LSL000208,65,298,43,6,2,208,LSL000208,LSL000208,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04567b8e4a065c368dd220603990c4d104567b8e4a065c368dd220603990c4d1
209,LSL000209,450,424,236,1,1,209,LSL000209,LSL000209,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,793a547967de5050bf511d71f49bd2ba793a547967de5050bf511d71f49bd2ba
210,LSL000210,135,128,170,13,2,210,LSL000210,LSL000210,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ac21110ac92579f94b5f79ebcdf08809ac21110ac92579f94b5f79ebcdf0880
211,LSL000211,466,430,334,11,4,211,LSL000211,LSL000211,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16020d23dd6c5a85882d8db9fb9de22f16020d23dd6c5a85882d8db9fb9de22f
212,LSL000212,497,218,233,5,4,212,LSL000212,LSL000212,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc7319f085c75265aded8d068c912d3dfc7319f085c75265aded8d068c912d3d
213,LSL000213,378,398,236,14,1,213,LSL000213,LSL000213,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,731477965a3c549ab445d29baa26c28e731477965a3c549ab445d29baa26c28e
214,LSL000214,360,495,57,2,7,214,LSL000214,LSL000214,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bc3096bd35e5fea9f011af6f8594d5b9bc3096bd35e5fea9f011af6f8594d5b
215,LSL000215,215,381,96,10,7,215,LSL000215,LSL000215,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,033779b5920f5150aec2f8613a84ac4f033779b5920f5150aec2f8613a84ac4f
216,LSL000216,203,195,153,10,4,216,LSL000216,LSL000216,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff63f676aa4153b5a9b1cbdafded605aff63f676aa4153b5a9b1cbdafded605a
