WorkCenterKey,WorkCenterCode,SiteKey,WorkCenterTypeKey,WorkCenterCapabilityKey,UnitOfMeasureKey,RecordStatusKey,ShiftCodeKey,WorkCenterName,WorkCenterDescription,CapacityPerHourValue,CrewSizeValue,SetupTimeMinutes,QueueTimeMinutes,FiniteCapacityFlag,BottleneckFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
85,WC000085,221,20,331,4,3,4,Meridian WorkCenter 85,WorkCenter starter record 85,126.4500,126.45,90.0000,90.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67772d55d97c5ef594a606837025c15e67772d55d97c5ef594a606837025c15e
86,WC000086,43,16,340,2,4,4,Summit WorkCenter 86,WorkCenter starter record 86,127.8200,127.82,91.0000,91.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7897e815d475361921c93a3903b7ed3c7897e815d475361921c93a3903b7ed3
87,WC000087,368,15,13,3,1,2,Pioneer WorkCenter 87,WorkCenter starter record 87,129.1900,129.19,92.0000,92.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ceed9306ae7457febd6fb58499856bc0ceed9306ae7457febd6fb58499856bc0
88,WC000088,74,16,435,2,4,2,Willow WorkCenter 88,WorkCenter starter record 88,130.5600,130.56,93.0000,93.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cdb901c678c583abe2d30978569666d1cdb901c678c583abe2d30978569666d
89,WC000089,249,2,476,4,1,3,Liberty WorkCenter 89,WorkCenter starter record 89,131.9300,131.93,94.0000,94.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f35beaff6357563798df493cf7fedcdbf35beaff6357563798df493cf7fedcdb
90,WC000090,279,13,335,6,2,4,Delta WorkCenter 90,WorkCenter starter record 90,133.3000,133.30,95.0000,95.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b330d8c159055f6ae817ae0ab83be982b330d8c159055f6ae817ae0ab83be98
91,WC000091,429,20,387,1,4,8,Ion WorkCenter 91,WorkCenter starter record 91,134.6700,134.67,96.0000,96.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44f1cb86e1b051529ba9ddbf8673149f44f1cb86e1b051529ba9ddbf8673149f
92,WC000092,389,21,296,1,4,8,Beacon WorkCenter 92,WorkCenter starter record 92,136.0400,136.04,97.0000,97.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13bf71df46e550dbb0f289ad4ef3df0713bf71df46e550dbb0f289ad4ef3df07
93,WC000093,359,15,442,5,3,7,Junction WorkCenter 93,WorkCenter starter record 93,137.4100,137.41,98.0000,98.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb361a6b93f655688c4b32a08de01dfacb361a6b93f655688c4b32a08de01dfa
94,WC000094,432,39,380,5,4,4,Forge WorkCenter 94,WorkCenter starter record 94,138.7800,138.78,99.0000,99.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae7f247d0e94579fb87d07dca62f829aae7f247d0e94579fb87d07dca62f829a
95,WC000095,38,19,15,4,1,4,Atlas WorkCenter 95,WorkCenter starter record 95,140.1500,140.15,100.0000,100.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83c8717b1bca58ac8029df0e8118655a83c8717b1bca58ac8029df0e8118655a
96,WC000096,42,3,255,3,1,12,Summit WorkCenter 96,WorkCenter starter record 96,141.5200,141.52,101.0000,101.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce3032ac0b8558db853d639422f93de1ce3032ac0b8558db853d639422f93de1
97,WC000097,269,34,58,6,2,7,Evergreen WorkCenter 97,WorkCenter starter record 97,142.8900,142.89,102.0000,102.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7749da720ec65e20a6e77102183c03f57749da720ec65e20a6e77102183c03f5
98,WC000098,222,11,472,7,4,9,Orion WorkCenter 98,WorkCenter starter record 98,144.2600,144.26,103.0000,103.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de5b4be2243e5ff0a65064e2d7db51ccde5b4be2243e5ff0a65064e2d7db51cc
99,WC000099,377,7,351,1,1,8,Zenith WorkCenter 99,WorkCenter starter record 99,145.6300,145.63,104.0000,104.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e002deef33e559ec82dd57b25bc20361e002deef33e559ec82dd57b25bc20361
100,WC000100,29,6,344,7,4,8,Atlas WorkCenter 100,WorkCenter starter record 100,147.0000,147.00,105.0000,105.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11808f0d390651019b5b1ed11c495af811808f0d390651019b5b1ed11c495af8
101,WC000101,124,18,479,6,4,10,Delta WorkCenter 101,WorkCenter starter record 101,148.3700,148.37,106.0000,106.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbdc885ccea05d4a8316ce812e93bf36dbdc885ccea05d4a8316ce812e93bf36
102,WC000102,453,11,322,6,2,9,Keystone WorkCenter 102,WorkCenter starter record 102,149.7400,149.74,107.0000,107.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,729e701b204951b88d685a46e13a4c85729e701b204951b88d685a46e13a4c85
103,WC000103,488,36,249,7,3,3,Unity WorkCenter 103,WorkCenter starter record 103,151.1100,151.11,108.0000,108.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20eb2eb389b25922a9a0d83cb414776a20eb2eb389b25922a9a0d83cb414776a
104,WC000104,191,39,356,1,4,5,Keystone WorkCenter 104,WorkCenter starter record 104,152.4800,152.48,109.0000,109.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ded37ab7d0f59ca91e5888d9bf3cff94ded37ab7d0f59ca91e5888d9bf3cff9
105,WC000105,470,14,347,4,2,12,Ion WorkCenter 105,WorkCenter starter record 105,153.8500,153.85,110.0000,110.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,656f57302d8c5277a9c47adc175ae12a656f57302d8c5277a9c47adc175ae12a
106,WC000106,243,40,233,6,2,12,Riverton WorkCenter 106,WorkCenter starter record 106,155.2200,155.22,111.0000,111.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85a85616dba2534e934f79dfd085edcf85a85616dba2534e934f79dfd085edcf
107,WC000107,136,20,441,3,3,3,Beacon WorkCenter 107,WorkCenter starter record 107,156.5900,156.59,112.0000,112.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,601ac1e93e4f5536ab9d0948b2cca27d601ac1e93e4f5536ab9d0948b2cca27d
108,WC000108,71,10,449,1,2,5,Beacon WorkCenter 108,WorkCenter starter record 108,157.9600,157.96,113.0000,113.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba0aa65880da59dda7df1c4acdc98b2bba0aa65880da59dda7df1c4acdc98b2b
109,WC000109,107,25,464,1,2,8,Harbor WorkCenter 109,WorkCenter starter record 109,159.3300,159.33,114.0000,114.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,362961360f7d57918dfdf25ed8dbb060362961360f7d57918dfdf25ed8dbb060
110,WC000110,51,15,243,7,1,10,Ion WorkCenter 110,WorkCenter starter record 110,160.7000,160.70,115.0000,115.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d459a18720385fcc849259d6d8db9e32d459a18720385fcc849259d6d8db9e32
111,WC000111,214,34,18,2,2,7,Quartz WorkCenter 111,WorkCenter starter record 111,162.0700,162.07,116.0000,116.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be0ca04ea92d5df79ae3ed9000396f05be0ca04ea92d5df79ae3ed9000396f05
112,WC000112,97,20,56,3,4,1,Cedar WorkCenter 112,WorkCenter starter record 112,163.4400,163.44,117.0000,117.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,450483943f6f56918fe03df5105f55b0450483943f6f56918fe03df5105f55b0
113,WC000113,456,18,374,2,3,1,Beacon WorkCenter 113,WorkCenter starter record 113,164.8100,164.81,118.0000,118.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b359e22aa0656aeaa5b11a2ef41d7790b359e22aa0656aeaa5b11a2ef41d779
114,WC000114,491,23,261,1,1,10,Meridian WorkCenter 114,WorkCenter starter record 114,166.1800,166.18,119.0000,119.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,670b13e635c551d2bb00d493691adc03670b13e635c551d2bb00d493691adc03
115,WC000115,28,37,173,5,1,11,Northstar WorkCenter 115,WorkCenter starter record 115,167.5500,167.55,120.0000,120.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29b688b6fd8f58eb993ac148dd23b34129b688b6fd8f58eb993ac148dd23b341
116,WC000116,248,3,78,5,3,8,Harbor WorkCenter 116,WorkCenter starter record 116,168.9200,168.92,121.0000,121.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e4db2041e565429af6451b6443ba8f24e4db2041e565429af6451b6443ba8f2
117,WC000117,243,9,380,6,2,9,Orion WorkCenter 117,WorkCenter starter record 117,170.2900,170.29,122.0000,122.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5597f3c07e9a5e2aaa18b3daea93b36a5597f3c07e9a5e2aaa18b3daea93b36a
118,WC000118,163,23,20,1,1,3,Willow WorkCenter 118,WorkCenter starter record 118,171.6600,171.66,123.0000,123.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,858e1c85e0605bc2a268de08cdc41ea0858e1c85e0605bc2a268de08cdc41ea0
119,WC000119,334,25,314,4,4,12,Keystone WorkCenter 119,WorkCenter starter record 119,173.0300,173.03,124.0000,124.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9110174abfb05f4a95422678f9856e9a9110174abfb05f4a95422678f9856e9a
120,WC000120,376,38,193,7,4,5,Riverton WorkCenter 120,WorkCenter starter record 120,174.4000,174.40,125.0000,125.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8bf8d0356ac55a0a7fcaa1d598b7fa6b8bf8d0356ac55a0a7fcaa1d598b7fa6
121,WC000121,111,40,242,1,1,2,Evergreen WorkCenter 121,WorkCenter starter record 121,175.7700,175.77,126.0000,126.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c67e937cb5bd525fb5c9ee6cfde057a3c67e937cb5bd525fb5c9ee6cfde057a3
122,WC000122,436,29,68,1,2,3,Atlas WorkCenter 122,WorkCenter starter record 122,177.1400,177.14,127.0000,127.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd14e4eec7bb5a799c523f3b2a3eb8efcd14e4eec7bb5a799c523f3b2a3eb8ef
123,WC000123,279,28,204,6,4,10,Cedar WorkCenter 123,WorkCenter starter record 123,178.5100,178.51,128.0000,128.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b1a3269c89a531880e8022ef98fc1e55b1a3269c89a531880e8022ef98fc1e5
124,WC000124,389,16,319,7,2,1,Atlas WorkCenter 124,WorkCenter starter record 124,179.8800,179.88,129.0000,129.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b89d27e5d73357b589e066cf671c9222b89d27e5d73357b589e066cf671c9222
125,WC000125,421,29,148,1,2,7,Quartz WorkCenter 125,WorkCenter starter record 125,181.2500,181.25,130.0000,130.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38208892939b53cf9a7598d8ab8de32238208892939b53cf9a7598d8ab8de322
126,WC000126,254,25,33,6,1,1,Ion WorkCenter 126,WorkCenter starter record 126,182.6200,182.62,131.0000,131.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83cdb4c259225f26a4c0ed257ef7623383cdb4c259225f26a4c0ed257ef76233
127,WC000127,141,12,389,5,4,11,Unity WorkCenter 127,WorkCenter starter record 127,183.9900,183.99,132.0000,132.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d4b974c8cf35dd38763a58b083a99829d4b974c8cf35dd38763a58b083a9982
128,WC000128,239,12,31,6,3,9,Atlas WorkCenter 128,WorkCenter starter record 128,185.3600,185.36,133.0000,133.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20eb405b3a965e15b7cd81df749b89ef20eb405b3a965e15b7cd81df749b89ef
129,WC000129,313,2,138,2,2,7,Granite WorkCenter 129,WorkCenter starter record 129,186.7300,186.73,134.0000,134.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9e8c90ac3845b1d82c53f9e430fedefe9e8c90ac3845b1d82c53f9e430fedef
130,WC000130,74,7,91,6,3,12,Harbor WorkCenter 130,WorkCenter starter record 130,188.1000,188.10,135.0000,135.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,285a98b408de5925b029b66119fc1564285a98b408de5925b029b66119fc1564
131,WC000131,316,2,461,6,4,10,Atlas WorkCenter 131,WorkCenter starter record 131,189.4700,189.47,136.0000,136.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02fb1ddf26e05facbd47ea94cd4cc0bd02fb1ddf26e05facbd47ea94cd4cc0bd
132,WC000132,101,10,54,1,3,5,Junction WorkCenter 132,WorkCenter starter record 132,190.8400,190.84,137.0000,137.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50ec64d861135b07b1ad14ab0e10f6f550ec64d861135b07b1ad14ab0e10f6f5
133,WC000133,314,15,264,7,1,12,Willow WorkCenter 133,WorkCenter starter record 133,192.2100,192.21,138.0000,138.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,226e347887275ed19a7d053a04cd5e32226e347887275ed19a7d053a04cd5e32
134,WC000134,366,6,47,7,2,8,Meridian WorkCenter 134,WorkCenter starter record 134,193.5800,193.58,139.0000,139.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dff12822d6a59868a75e463afdb79617dff12822d6a59868a75e463afdb7961
135,WC000135,78,33,25,1,1,6,Riverton WorkCenter 135,WorkCenter starter record 135,194.9500,194.95,140.0000,140.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a24fd55533a567f8d13d07c845175722a24fd55533a567f8d13d07c84517572
136,WC000136,93,19,144,6,4,3,Beacon WorkCenter 136,WorkCenter starter record 136,196.3200,196.32,141.0000,141.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff96a69c44a95fb8b05a5d8412a20e6bff96a69c44a95fb8b05a5d8412a20e6b
137,WC000137,310,21,414,3,2,11,Vertex WorkCenter 137,WorkCenter starter record 137,197.6900,197.69,142.0000,142.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9786398b54155057808cbfb0fb805cfe9786398b54155057808cbfb0fb805cfe
138,WC000138,80,31,451,4,4,5,Beacon WorkCenter 138,WorkCenter starter record 138,199.0600,199.06,143.0000,143.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b452c7994cfd56cf8eed8d9371c72320b452c7994cfd56cf8eed8d9371c72320
139,WC000139,242,4,79,4,2,2,Orion WorkCenter 139,WorkCenter starter record 139,200.4300,200.43,144.0000,144.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ee5c6d2881654558e2680ec5e05c6538ee5c6d2881654558e2680ec5e05c653
140,WC000140,492,40,109,2,4,6,Keystone WorkCenter 140,WorkCenter starter record 140,201.8000,201.80,145.0000,145.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc4bff6573e95be89becdad230232131cc4bff6573e95be89becdad230232131
141,WC000141,35,12,273,2,4,3,Unity WorkCenter 141,WorkCenter starter record 141,203.1700,203.17,146.0000,146.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f84b08507fb75854b5bd9cfb37a9b724f84b08507fb75854b5bd9cfb37a9b724
142,WC000142,250,2,415,3,3,11,Harbor WorkCenter 142,WorkCenter starter record 142,204.5400,204.54,147.0000,147.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bc24569dc995ddc97adb7c29a1c62cf0bc24569dc995ddc97adb7c29a1c62cf
143,WC000143,144,5,146,2,4,12,Vertex WorkCenter 143,WorkCenter starter record 143,205.9100,205.91,148.0000,148.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2241238fa4a05b5daacf63cf91e160ef2241238fa4a05b5daacf63cf91e160ef
144,WC000144,431,13,99,3,1,10,Cedar WorkCenter 144,WorkCenter starter record 144,207.2800,207.28,149.0000,149.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05a95953f9aa5f6a9b065785c8f5bed605a95953f9aa5f6a9b065785c8f5bed6
145,WC000145,246,10,47,3,3,12,Junction WorkCenter 145,WorkCenter starter record 145,208.6500,208.65,150.0000,150.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b8b71485b955bba9fae44d3c647273e2b8b71485b955bba9fae44d3c647273e
146,WC000146,160,22,15,6,1,2,Summit WorkCenter 146,WorkCenter starter record 146,210.0200,210.02,151.0000,151.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ad79d44e0d25c1a8c97bc50f599f39d8ad79d44e0d25c1a8c97bc50f599f39d
147,WC000147,165,23,243,1,4,11,Evergreen WorkCenter 147,WorkCenter starter record 147,211.3900,211.39,152.0000,152.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9263be4b6dd594295eedeb118e13ea0e9263be4b6dd594295eedeb118e13ea0
148,WC000148,337,12,486,5,2,11,Granite WorkCenter 148,WorkCenter starter record 148,212.7600,212.76,153.0000,153.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd3e627c4a47528e9fa4402e67bc37b0cd3e627c4a47528e9fa4402e67bc37b0
149,WC000149,439,2,409,1,2,12,Summit WorkCenter 149,WorkCenter starter record 149,214.1300,214.13,154.0000,154.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,408eb2c6452f54c7b8000345c9957a52408eb2c6452f54c7b8000345c9957a52
150,WC000150,101,14,194,6,2,8,Cedar WorkCenter 150,WorkCenter starter record 150,215.5000,215.50,155.0000,155.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f19d33bc9bd58bd8dd0319fe1f1217a0f19d33bc9bd58bd8dd0319fe1f1217a
151,WC000151,145,6,177,6,3,2,Evergreen WorkCenter 151,WorkCenter starter record 151,216.8700,216.87,156.0000,156.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acb59c0219045fefbdc87794be403780acb59c0219045fefbdc87794be403780
152,WC000152,327,36,125,5,1,1,Vertex WorkCenter 152,WorkCenter starter record 152,218.2400,218.24,157.0000,157.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba422496a87c5e0c8ed25a38f55098e0ba422496a87c5e0c8ed25a38f55098e0
153,WC000153,254,5,386,2,2,1,Granite WorkCenter 153,WorkCenter starter record 153,219.6100,219.61,158.0000,158.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85b181574dcc5a1fb505394a7296423785b181574dcc5a1fb505394a72964237
154,WC000154,124,10,114,1,2,7,Atlas WorkCenter 154,WorkCenter starter record 154,220.9800,220.98,159.0000,159.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bffc4996d875c9b9909960b8bd340ce8bffc4996d875c9b9909960b8bd340ce
155,WC000155,340,32,389,5,3,11,Titan WorkCenter 155,WorkCenter starter record 155,222.3500,222.35,160.0000,160.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76a88c23b069550b9d7d57ed92955e3e76a88c23b069550b9d7d57ed92955e3e
156,WC000156,307,28,225,5,4,10,Orion WorkCenter 156,WorkCenter starter record 156,223.7200,223.72,161.0000,161.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3f71e5e0830542c827b240ac0be4638c3f71e5e0830542c827b240ac0be4638
157,WC000157,360,37,188,6,1,3,Keystone WorkCenter 157,WorkCenter starter record 157,225.0900,225.09,162.0000,162.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2feb446005a507a843e090c05c7d1cbf2feb446005a507a843e090c05c7d1cb
158,WC000158,349,9,64,1,2,2,Junction WorkCenter 158,WorkCenter starter record 158,226.4600,226.46,163.0000,163.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f9b091302dc5dee8001a35a821281146f9b091302dc5dee8001a35a82128114
159,WC000159,324,5,495,7,3,3,Zenith WorkCenter 159,WorkCenter starter record 159,227.8300,227.83,164.0000,164.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d36e70639e185869b9969905094e800ed36e70639e185869b9969905094e800e
160,WC000160,353,15,73,7,1,1,Riverton WorkCenter 160,WorkCenter starter record 160,229.2000,229.20,165.0000,165.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30d20efd34405abeab0590909ba51fb730d20efd34405abeab0590909ba51fb7
161,WC000161,269,7,48,3,3,9,Summit WorkCenter 161,WorkCenter starter record 161,230.5700,230.57,166.0000,166.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,095e67eb6a44502dacafad2a15819a9a095e67eb6a44502dacafad2a15819a9a
162,WC000162,484,3,69,5,1,6,Delta WorkCenter 162,WorkCenter starter record 162,231.9400,231.94,167.0000,167.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e11c1fee77e35ad1824190bb40b4dfdfe11c1fee77e35ad1824190bb40b4dfdf
163,WC000163,409,39,238,3,3,7,Riverton WorkCenter 163,WorkCenter starter record 163,233.3100,233.31,168.0000,168.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cad2345c4af8561baccbeddd0917d3d7cad2345c4af8561baccbeddd0917d3d7
164,WC000164,2,30,114,5,4,10,Quartz WorkCenter 164,WorkCenter starter record 164,234.6800,234.68,169.0000,169.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7dd21a446375ded9b9befd3d918793cb7dd21a446375ded9b9befd3d918793c
165,WC000165,47,22,396,2,4,10,Zenith WorkCenter 165,WorkCenter starter record 165,236.0500,236.05,170.0000,170.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28474c9b76145fc5a27d83369f21388928474c9b76145fc5a27d83369f213889
166,WC000166,350,11,499,6,3,11,Willow WorkCenter 166,WorkCenter starter record 166,237.4200,237.42,171.0000,171.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84bd3a5ca9305aa982b9167980dc6e4a84bd3a5ca9305aa982b9167980dc6e4a
167,WC000167,249,9,109,7,2,1,Summit WorkCenter 167,WorkCenter starter record 167,238.7900,238.79,172.0000,172.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01178418f9bf521db790a028320588c401178418f9bf521db790a028320588c4
168,WC000168,205,32,408,6,3,9,Evergreen WorkCenter 168,WorkCenter starter record 168,240.1600,240.16,173.0000,173.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a49fdf8b7c2523eb1f1c7a9cd3417344a49fdf8b7c2523eb1f1c7a9cd341734
169,WC000169,78,9,54,6,4,2,Riverton WorkCenter 169,WorkCenter starter record 169,241.5300,241.53,174.0000,174.0000,1,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f7212d84279c5a15a61906133b7342ebf7212d84279c5a15a61906133b7342eb
170,WC000170,23,26,226,2,1,6,Liberty WorkCenter 170,WorkCenter starter record 170,242.9000,242.90,175.0000,175.0000,0,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,745e8a97cf9054bc9af831d3647e30e5745e8a97cf9054bc9af831d3647e30e5
