ProductionShiftKey,ProductionShiftCode,PlantKey,ProductionCrewTypeKey,TimeZoneKey,ProductionShiftName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc
243,PS000243,111,98,7,Forge ProductionShift 243,PS000243,1,342.9100,1,1,2026-08-24T00:00:00.000
244,PS000244,10,87,42,Unity ProductionShift 244,PS000244,1,344.2800,1,1,2026-08-24T00:00:00.000
245,PS000245,267,14,11,Liberty ProductionShift 245,PS000245,0,345.6500,1,1,2026-08-24T00:00:00.000
246,PS000246,163,76,40,Atlas ProductionShift 246,PS000246,1,347.0200,1,1,2026-08-24T00:00:00.000
247,PS000247,284,103,16,Delta ProductionShift 247,PS000247,1,348.3900,1,1,2026-08-24T00:00:00.000
248,PS000248,120,11,42,Atlas ProductionShift 248,PS000248,1,349.7600,1,1,2026-08-24T00:00:00.000
249,PS000249,181,35,29,Northstar ProductionShift 249,PS000249,1,351.1300,1,1,2026-08-24T00:00:00.000
250,PS000250,163,98,42,Cedar ProductionShift 250,PS000250,0,352.5000,1,1,2026-08-24T00:00:00.000
251,PS000251,186,112,41,Beacon ProductionShift 251,PS000251,1,353.8700,1,1,2026-08-24T00:00:00.000
252,PS000252,54,48,4,Vertex ProductionShift 252,PS000252,1,355.2400,1,1,2026-08-24T00:00:00.000
253,PS000253,50,7,39,Junction ProductionShift 253,PS000253,1,356.6100,1,1,2026-08-24T00:00:00.000
254,PS000254,117,136,15,Atlas ProductionShift 254,PS000254,1,357.9800,1,1,2026-08-24T00:00:00.000
255,PS000255,229,116,31,Pioneer ProductionShift 255,PS000255,0,359.3500,1,1,2026-08-24T00:00:00.000
256,PS000256,73,5,31,Liberty ProductionShift 256,PS000256,1,360.7200,1,1,2026-08-24T00:00:00.000
257,PS000257,108,133,18,Zenith ProductionShift 257,PS000257,1,362.0900,1,1,2026-08-24T00:00:00.000
258,PS000258,207,139,2,Cedar ProductionShift 258,PS000258,1,363.4600,1,1,2026-08-24T00:00:00.000
259,PS000259,86,46,15,Atlas ProductionShift 259,PS000259,1,364.8300,1,1,2026-08-24T00:00:00.000
260,PS000260,97,88,55,Meridian ProductionShift 260,PS000260,0,366.2000,1,1,2026-08-24T00:00:00.000
261,PS000261,92,97,18,Quartz ProductionShift 261,PS000261,1,367.5700,1,1,2026-08-24T00:00:00.000
262,PS000262,16,29,17,Quartz ProductionShift 262,PS000262,1,368.9400,1,1,2026-08-24T00:00:00.000
263,PS000263,26,67,2,Keystone ProductionShift 263,PS000263,1,370.3100,1,1,2026-08-24T00:00:00.000
264,PS000264,171,96,8,Summit ProductionShift 264,PS000264,1,371.6800,1,1,2026-08-24T00:00:00.000
265,PS000265,28,123,27,Quartz ProductionShift 265,PS000265,0,373.0500,1,1,2026-08-24T00:00:00.000
266,PS000266,53,91,26,Liberty ProductionShift 266,PS000266,1,374.4200,1,1,2026-08-24T00:00:00.000
267,PS000267,302,29,49,Vertex ProductionShift 267,PS000267,1,375.7900,1,1,2026-08-24T00:00:00.000
268,PS000268,251,96,41,Meridian ProductionShift 268,PS000268,1,377.1600,1,1,2026-08-24T00:00:00.000
269,PS000269,27,27,56,Delta ProductionShift 269,PS000269,1,378.5300,1,1,2026-08-24T00:00:00.000
270,PS000270,339,33,46,Willow ProductionShift 270,PS000270,0,379.9000,1,1,2026-08-24T00:00:00.000
271,PS000271,186,94,3,Meridian ProductionShift 271,PS000271,1,381.2700,1,1,2026-08-24T00:00:00.000
272,PS000272,194,11,19,Titan ProductionShift 272,PS000272,1,382.6400,1,1,2026-08-24T00:00:00.000
273,PS000273,28,135,55,Northstar ProductionShift 273,PS000273,1,384.0100,1,1,2026-08-24T00:00:00.000
274,PS000274,139,6,7,Unity ProductionShift 274,PS000274,1,385.3800,1,1,2026-08-24T00:00:00.000
275,PS000275,10,68,22,Junction ProductionShift 275,PS000275,0,386.7500,1,1,2026-08-24T00:00:00.000
276,PS000276,35,15,17,Ion ProductionShift 276,PS000276,1,388.1200,1,1,2026-08-24T00:00:00.000
277,PS000277,275,36,54,Harbor ProductionShift 277,PS000277,1,389.4900,1,1,2026-08-24T00:00:00.000
278,PS000278,239,6,57,Unity ProductionShift 278,PS000278,1,390.8600,1,1,2026-08-24T00:00:00.000
279,PS000279,150,29,13,Cedar ProductionShift 279,PS000279,1,392.2300,1,1,2026-08-24T00:00:00.000
280,PS000280,94,68,26,Orion ProductionShift 280,PS000280,0,393.6000,1,1,2026-08-24T00:00:00.000
281,PS000281,186,125,21,Harbor ProductionShift 281,PS000281,1,394.9700,1,1,2026-08-24T00:00:00.000
282,PS000282,108,113,50,Vertex ProductionShift 282,PS000282,1,396.3400,1,1,2026-08-24T00:00:00.000
283,PS000283,197,10,54,Forge ProductionShift 283,PS000283,1,397.7100,1,1,2026-08-24T00:00:00.000
284,PS000284,41,103,39,Keystone ProductionShift 284,PS000284,1,399.0800,1,1,2026-08-24T00:00:00.000
285,PS000285,138,125,6,Riverton ProductionShift 285,PS000285,0,400.4500,1,1,2026-08-24T00:00:00.000
286,PS000286,313,73,2,Keystone ProductionShift 286,PS000286,1,401.8200,1,1,2026-08-24T00:00:00.000
287,PS000287,77,120,19,Summit ProductionShift 287,PS000287,1,403.1900,1,1,2026-08-24T00:00:00.000
288,PS000288,230,18,35,Willow ProductionShift 288,PS000288,1,404.5600,1,1,2026-08-24T00:00:00.000
289,PS000289,77,111,35,Pioneer ProductionShift 289,PS000289,1,405.9300,1,1,2026-08-24T00:00:00.000
290,PS000290,188,70,23,Cedar ProductionShift 290,PS000290,0,407.3000,1,1,2026-08-24T00:00:00.000
291,PS000291,140,28,13,Forge ProductionShift 291,PS000291,1,408.6700,1,1,2026-08-24T00:00:00.000
292,PS000292,339,70,23,Delta ProductionShift 292,PS000292,1,410.0400,1,1,2026-08-24T00:00:00.000
293,PS000293,128,92,48,Unity ProductionShift 293,PS000293,1,411.4100,1,1,2026-08-24T00:00:00.000
294,PS000294,295,140,55,Delta ProductionShift 294,PS000294,1,412.7800,1,1,2026-08-24T00:00:00.000
295,PS000295,160,86,6,Harbor ProductionShift 295,PS000295,0,414.1500,1,1,2026-08-24T00:00:00.000
296,PS000296,123,92,32,Riverton ProductionShift 296,PS000296,1,415.5200,1,1,2026-08-24T00:00:00.000
297,PS000297,16,105,15,Granite ProductionShift 297,PS000297,1,416.8900,1,1,2026-08-24T00:00:00.000
298,PS000298,127,39,16,Delta ProductionShift 298,PS000298,1,418.2600,1,1,2026-08-24T00:00:00.000
299,PS000299,1,7,49,Northstar ProductionShift 299,PS000299,1,419.6300,1,1,2026-08-24T00:00:00.000
300,PS000300,59,9,48,Unity ProductionShift 300,PS000300,0,421.0000,1,1,2026-08-24T00:00:00.000
301,PS000301,235,61,25,Pioneer ProductionShift 301,PS000301,1,422.3700,1,1,2026-08-24T00:00:00.000
302,PS000302,317,40,39,Meridian ProductionShift 302,PS000302,1,423.7400,1,1,2026-08-24T00:00:00.000
303,PS000303,236,50,38,Titan ProductionShift 303,PS000303,1,425.1100,1,1,2026-08-24T00:00:00.000
304,PS000304,57,31,49,Delta ProductionShift 304,PS000304,1,426.4800,1,1,2026-08-24T00:00:00.000
305,PS000305,232,73,21,Riverton ProductionShift 305,PS000305,0,427.8500,1,1,2026-08-24T00:00:00.000
306,PS000306,161,111,26,Pioneer ProductionShift 306,PS000306,1,429.2200,1,1,2026-08-24T00:00:00.000
307,PS000307,94,16,20,Liberty ProductionShift 307,PS000307,1,430.5900,1,1,2026-08-24T00:00:00.000
308,PS000308,231,81,5,Quartz ProductionShift 308,PS000308,1,431.9600,1,1,2026-08-24T00:00:00.000
309,PS000309,13,113,35,Northstar ProductionShift 309,PS000309,1,433.3300,1,1,2026-08-24T00:00:00.000
310,PS000310,226,93,1,Harbor ProductionShift 310,PS000310,0,434.7000,1,1,2026-08-24T00:00:00.000
311,PS000311,314,90,22,Meridian ProductionShift 311,PS000311,1,436.0700,1,1,2026-08-24T00:00:00.000
312,PS000312,191,94,43,Unity ProductionShift 312,PS000312,1,437.4400,1,1,2026-08-24T00:00:00.000
313,PS000313,7,73,44,Titan ProductionShift 313,PS000313,1,438.8100,1,1,2026-08-24T00:00:00.000
314,PS000314,329,56,8,Keystone ProductionShift 314,PS000314,1,440.1800,1,1,2026-08-24T00:00:00.000
315,PS000315,136,61,44,Atlas ProductionShift 315,PS000315,0,441.5500,1,1,2026-08-24T00:00:00.000
316,PS000316,23,30,44,Orion ProductionShift 316,PS000316,1,442.9200,1,1,2026-08-24T00:00:00.000
317,PS000317,168,35,32,Delta ProductionShift 317,PS000317,1,444.2900,1,1,2026-08-24T00:00:00.000
318,PS000318,36,88,44,Junction ProductionShift 318,PS000318,1,445.6600,1,1,2026-08-24T00:00:00.000
319,PS000319,12,74,4,Beacon ProductionShift 319,PS000319,1,447.0300,1,1,2026-08-24T00:00:00.000
320,PS000320,164,10,13,Meridian ProductionShift 320,PS000320,0,448.4000,1,1,2026-08-24T00:00:00.000
321,PS000321,192,55,16,Zenith ProductionShift 321,PS000321,1,449.7700,1,1,2026-08-24T00:00:00.000
322,PS000322,234,82,39,Pioneer ProductionShift 322,PS000322,1,451.1400,1,1,2026-08-24T00:00:00.000
323,PS000323,93,137,41,Atlas ProductionShift 323,PS000323,1,452.5100,1,1,2026-08-24T00:00:00.000
324,PS000324,77,128,22,Junction ProductionShift 324,PS000324,1,453.8800,1,1,2026-08-24T00:00:00.000
325,PS000325,173,20,45,Riverton ProductionShift 325,PS000325,0,455.2500,1,1,2026-08-24T00:00:00.000
326,PS000326,141,117,20,Riverton ProductionShift 326,PS000326,1,456.6200,1,1,2026-08-24T00:00:00.000
327,PS000327,21,88,25,Vertex ProductionShift 327,PS000327,1,457.9900,1,1,2026-08-24T00:00:00.000
328,PS000328,18,73,8,Forge ProductionShift 328,PS000328,1,459.3600,1,1,2026-08-24T00:00:00.000
329,PS000329,317,32,24,Evergreen ProductionShift 329,PS000329,1,460.7300,1,1,2026-08-24T00:00:00.000
330,PS000330,220,114,8,Delta ProductionShift 330,PS000330,0,462.1000,1,1,2026-08-24T00:00:00.000
331,PS000331,12,111,13,Northstar ProductionShift 331,PS000331,1,463.4700,1,1,2026-08-24T00:00:00.000
332,PS000332,154,39,4,Granite ProductionShift 332,PS000332,1,464.8400,1,1,2026-08-24T00:00:00.000
333,PS000333,39,133,26,Liberty ProductionShift 333,PS000333,1,466.2100,1,1,2026-08-24T00:00:00.000
334,PS000334,152,22,6,Ion ProductionShift 334,PS000334,1,467.5800,1,1,2026-08-24T00:00:00.000
335,PS000335,292,18,26,Keystone ProductionShift 335,PS000335,0,468.9500,1,1,2026-08-24T00:00:00.000
336,PS000336,308,9,44,Junction ProductionShift 336,PS000336,1,470.3200,1,1,2026-08-24T00:00:00.000
337,PS000337,274,87,23,Junction ProductionShift 337,PS000337,1,471.6900,1,1,2026-08-24T00:00:00.000
338,PS000338,265,53,15,Zenith ProductionShift 338,PS000338,1,473.0600,1,1,2026-08-24T00:00:00.000
339,PS000339,71,60,15,Unity ProductionShift 339,PS000339,1,474.4300,1,1,2026-08-24T00:00:00.000
340,PS000340,242,104,5,Quartz ProductionShift 340,PS000340,0,475.8000,1,1,2026-08-24T00:00:00.000
341,PS000341,61,40,5,Summit ProductionShift 341,PS000341,1,477.1700,1,1,2026-08-24T00:00:00.000
342,PS000342,60,94,9,Harbor ProductionShift 342,PS000342,1,478.5400,1,1,2026-08-24T00:00:00.000
343,PS000343,208,75,40,Quartz ProductionShift 343,PS000343,1,479.9100,1,1,2026-08-24T00:00:00.000
344,PS000344,90,50,25,Riverton ProductionShift 344,PS000344,1,481.2800,1,1,2026-08-24T00:00:00.000
345,PS000345,280,16,44,Pioneer ProductionShift 345,PS000345,0,482.6500,1,1,2026-08-24T00:00:00.000
346,PS000346,48,93,6,Willow ProductionShift 346,PS000346,1,484.0200,1,1,2026-08-24T00:00:00.000
347,PS000347,223,19,36,Atlas ProductionShift 347,PS000347,1,485.3900,1,1,2026-08-24T00:00:00.000
348,PS000348,249,28,14,Harbor ProductionShift 348,PS000348,1,486.7600,1,1,2026-08-24T00:00:00.000
349,PS000349,47,126,9,Riverton ProductionShift 349,PS000349,1,488.1300,1,1,2026-08-24T00:00:00.000
350,PS000350,272,85,27,Meridian ProductionShift 350,PS000350,0,489.5000,1,1,2026-08-24T00:00:00.000
351,PS000351,235,35,7,Cedar ProductionShift 351,PS000351,1,490.8700,1,1,2026-08-24T00:00:00.000
352,PS000352,202,64,53,Keystone ProductionShift 352,PS000352,1,492.2400,1,1,2026-08-24T00:00:00.000
353,PS000353,18,128,20,Vertex ProductionShift 353,PS000353,1,493.6100,1,1,2026-08-24T00:00:00.000
354,PS000354,294,100,17,Titan ProductionShift 354,PS000354,1,494.9800,1,1,2026-08-24T00:00:00.000
355,PS000355,299,84,39,Forge ProductionShift 355,PS000355,0,496.3500,1,1,2026-08-24T00:00:00.000
356,PS000356,191,58,43,Atlas ProductionShift 356,PS000356,1,497.7200,1,1,2026-08-24T00:00:00.000
357,PS000357,336,120,32,Junction ProductionShift 357,PS000357,1,499.0900,1,1,2026-08-24T00:00:00.000
358,PS000358,346,9,38,Titan ProductionShift 358,PS000358,1,500.4600,1,1,2026-08-24T00:00:00.000
359,PS000359,181,78,56,Unity ProductionShift 359,PS000359,1,501.8300,1,1,2026-08-24T00:00:00.000
360,PS000360,134,42,13,Pioneer ProductionShift 360,PS000360,0,503.2000,1,1,2026-08-24T00:00:00.000
361,PS000361,99,40,55,Ion ProductionShift 361,PS000361,1,504.5700,1,1,2026-08-24T00:00:00.000
362,PS000362,4,59,30,Meridian ProductionShift 362,PS000362,1,505.9400,1,1,2026-08-24T00:00:00.000
363,PS000363,308,64,24,Titan ProductionShift 363,PS000363,1,507.3100,1,1,2026-08-24T00:00:00.000
364,PS000364,279,105,18,Willow ProductionShift 364,PS000364,1,508.6800,1,1,2026-08-24T00:00:00.000
365,PS000365,99,91,59,Summit ProductionShift 365,PS000365,0,510.0500,1,1,2026-08-24T00:00:00.000
366,PS000366,26,80,54,Keystone ProductionShift 366,PS000366,1,511.4200,1,1,2026-08-24T00:00:00.000
367,PS000367,188,125,5,Cedar ProductionShift 367,PS000367,1,512.7900,1,1,2026-08-24T00:00:00.000
368,PS000368,162,139,32,Northstar ProductionShift 368,PS000368,1,514.1600,1,1,2026-08-24T00:00:00.000
369,PS000369,264,39,6,Willow ProductionShift 369,PS000369,1,515.5300,1,1,2026-08-24T00:00:00.000
370,PS000370,91,128,10,Ion ProductionShift 370,PS000370,0,516.9000,1,1,2026-08-24T00:00:00.000
371,PS000371,184,51,51,Titan ProductionShift 371,PS000371,1,518.2700,1,1,2026-08-24T00:00:00.000
372,PS000372,163,34,23,Quartz ProductionShift 372,PS000372,1,519.6400,1,1,2026-08-24T00:00:00.000
373,PS000373,86,22,17,Willow ProductionShift 373,PS000373,1,521.0100,1,1,2026-08-24T00:00:00.000
374,PS000374,5,139,1,Liberty ProductionShift 374,PS000374,1,522.3800,1,1,2026-08-24T00:00:00.000
375,PS000375,105,42,58,Keystone ProductionShift 375,PS000375,0,523.7500,1,1,2026-08-24T00:00:00.000
376,PS000376,156,64,47,Cedar ProductionShift 376,PS000376,1,525.1200,1,1,2026-08-24T00:00:00.000
377,PS000377,107,70,18,Willow ProductionShift 377,PS000377,1,526.4900,1,1,2026-08-24T00:00:00.000
378,PS000378,318,20,49,Vertex ProductionShift 378,PS000378,1,527.8600,1,1,2026-08-24T00:00:00.000
379,PS000379,100,128,58,Liberty ProductionShift 379,PS000379,1,529.2300,1,1,2026-08-24T00:00:00.000
380,PS000380,151,103,18,Beacon ProductionShift 380,PS000380,0,530.6000,1,1,2026-08-24T00:00:00.000
381,PS000381,257,106,36,Keystone ProductionShift 381,PS000381,1,531.9700,1,1,2026-08-24T00:00:00.000
382,PS000382,271,118,3,Quartz ProductionShift 382,PS000382,1,533.3400,1,1,2026-08-24T00:00:00.000
383,PS000383,171,58,5,Granite ProductionShift 383,PS000383,1,534.7100,1,1,2026-08-24T00:00:00.000
384,PS000384,178,62,17,Unity ProductionShift 384,PS000384,1,536.0800,1,1,2026-08-24T00:00:00.000
385,PS000385,344,92,34,Meridian ProductionShift 385,PS000385,0,537.4500,1,1,2026-08-24T00:00:00.000
386,PS000386,293,38,49,Forge ProductionShift 386,PS000386,1,538.8200,1,1,2026-08-24T00:00:00.000
387,PS000387,257,126,42,Pioneer ProductionShift 387,PS000387,1,540.1900,1,1,2026-08-24T00:00:00.000
388,PS000388,238,32,13,Quartz ProductionShift 388,PS000388,1,541.5600,1,1,2026-08-24T00:00:00.000
389,PS000389,72,103,20,Titan ProductionShift 389,PS000389,1,542.9300,1,1,2026-08-24T00:00:00.000
390,PS000390,148,73,6,Quartz ProductionShift 390,PS000390,0,544.3000,1,1,2026-08-24T00:00:00.000
391,PS000391,230,25,19,Ion ProductionShift 391,PS000391,1,545.6700,1,1,2026-08-24T00:00:00.000
392,PS000392,88,97,56,Vertex ProductionShift 392,PS000392,1,547.0400,1,1,2026-08-24T00:00:00.000
393,PS000393,11,80,39,Willow ProductionShift 393,PS000393,1,548.4100,1,1,2026-08-24T00:00:00.000
394,PS000394,41,118,36,Unity ProductionShift 394,PS000394,1,549.7800,1,1,2026-08-24T00:00:00.000
395,PS000395,34,136,51,Forge ProductionShift 395,PS000395,0,551.1500,1,1,2026-08-24T00:00:00.000
396,PS000396,265,47,7,Pioneer ProductionShift 396,PS000396,1,552.5200,1,1,2026-08-24T00:00:00.000
397,PS000397,89,126,44,Granite ProductionShift 397,PS000397,1,553.8900,1,1,2026-08-24T00:00:00.000
398,PS000398,257,21,49,Orion ProductionShift 398,PS000398,1,555.2600,1,1,2026-08-24T00:00:00.000
399,PS000399,267,89,10,Evergreen ProductionShift 399,PS000399,1,556.6300,1,1,2026-08-24T00:00:00.000
400,PS000400,186,53,14,Forge ProductionShift 400,PS000400,0,558.0000,1,1,2026-08-24T00:00:00.000
401,PS000401,265,64,13,Cedar ProductionShift 401,PS000401,1,559.3700,1,1,2026-08-24T00:00:00.000
402,PS000402,315,86,21,Riverton ProductionShift 402,PS000402,1,560.7400,1,1,2026-08-24T00:00:00.000
403,PS000403,34,129,27,Forge ProductionShift 403,PS000403,1,562.1100,1,1,2026-08-24T00:00:00.000
404,PS000404,238,38,43,Junction ProductionShift 404,PS000404,1,563.4800,1,1,2026-08-24T00:00:00.000
405,PS000405,79,54,23,Atlas ProductionShift 405,PS000405,0,564.8500,1,1,2026-08-24T00:00:00.000
406,PS000406,208,77,20,Orion ProductionShift 406,PS000406,1,566.2200,1,1,2026-08-24T00:00:00.000
407,PS000407,319,131,21,Summit ProductionShift 407,PS000407,1,567.5900,1,1,2026-08-24T00:00:00.000
408,PS000408,349,74,46,Granite ProductionShift 408,PS000408,1,568.9600,1,1,2026-08-24T00:00:00.000
409,PS000409,23,55,25,Granite ProductionShift 409,PS000409,1,570.3300,1,1,2026-08-24T00:00:00.000
410,PS000410,314,5,13,Ion ProductionShift 410,PS000410,0,571.7000,1,1,2026-08-24T00:00:00.000
411,PS000411,258,76,41,Pioneer ProductionShift 411,PS000411,1,573.0700,1,1,2026-08-24T00:00:00.000
412,PS000412,133,5,26,Meridian ProductionShift 412,PS000412,1,574.4400,1,1,2026-08-24T00:00:00.000
413,PS000413,39,12,26,Keystone ProductionShift 413,PS000413,1,575.8100,1,1,2026-08-24T00:00:00.000
414,PS000414,91,45,16,Meridian ProductionShift 414,PS000414,1,577.1800,1,1,2026-08-24T00:00:00.000
415,PS000415,149,97,15,Unity ProductionShift 415,PS000415,0,578.5500,1,1,2026-08-24T00:00:00.000
416,PS000416,136,133,29,Beacon ProductionShift 416,PS000416,1,579.9200,1,1,2026-08-24T00:00:00.000
417,PS000417,150,24,7,Harbor ProductionShift 417,PS000417,1,581.2900,1,1,2026-08-24T00:00:00.000
418,PS000418,160,58,13,Willow ProductionShift 418,PS000418,1,582.6600,1,1,2026-08-24T00:00:00.000
419,PS000419,58,62,52,Quartz ProductionShift 419,PS000419,1,584.0300,1,1,2026-08-24T00:00:00.000
420,PS000420,125,121,8,Quartz ProductionShift 420,PS000420,0,585.4000,1,1,2026-08-24T00:00:00.000
421,PS000421,302,16,7,Willow ProductionShift 421,PS000421,1,586.7700,1,1,2026-08-24T00:00:00.000
422,PS000422,147,99,58,Atlas ProductionShift 422,PS000422,1,588.1400,1,1,2026-08-24T00:00:00.000
423,PS000423,24,59,36,Cedar ProductionShift 423,PS000423,1,589.5100,1,1,2026-08-24T00:00:00.000
424,PS000424,261,59,3,Beacon ProductionShift 424,PS000424,1,590.8800,1,1,2026-08-24T00:00:00.000
425,PS000425,68,76,8,Willow ProductionShift 425,PS000425,0,592.2500,1,1,2026-08-24T00:00:00.000
426,PS000426,208,50,50,Liberty ProductionShift 426,PS000426,1,593.6200,1,1,2026-08-24T00:00:00.000
427,PS000427,282,109,57,Ion ProductionShift 427,PS000427,1,594.9900,1,1,2026-08-24T00:00:00.000
428,PS000428,119,121,24,Forge ProductionShift 428,PS000428,1,596.3600,1,1,2026-08-24T00:00:00.000
429,PS000429,324,101,5,Forge ProductionShift 429,PS000429,1,597.7300,1,1,2026-08-24T00:00:00.000
430,PS000430,141,117,58,Quartz ProductionShift 430,PS000430,0,599.1000,1,1,2026-08-24T00:00:00.000
431,PS000431,106,10,15,Cedar ProductionShift 431,PS000431,1,600.4700,1,1,2026-08-24T00:00:00.000
432,PS000432,237,14,50,Liberty ProductionShift 432,PS000432,1,601.8400,1,1,2026-08-24T00:00:00.000
433,PS000433,239,44,27,Meridian ProductionShift 433,PS000433,1,603.2100,1,1,2026-08-24T00:00:00.000
434,PS000434,215,54,43,Willow ProductionShift 434,PS000434,1,604.5800,1,1,2026-08-24T00:00:00.000
435,PS000435,151,27,60,Keystone ProductionShift 435,PS000435,0,605.9500,1,1,2026-08-24T00:00:00.000
436,PS000436,282,47,43,Zenith ProductionShift 436,PS000436,1,607.3200,1,1,2026-08-24T00:00:00.000
437,PS000437,234,65,1,Willow ProductionShift 437,PS000437,1,608.6900,1,1,2026-08-24T00:00:00.000
438,PS000438,228,11,39,Atlas ProductionShift 438,PS000438,1,610.0600,1,1,2026-08-24T00:00:00.000
439,PS000439,350,58,28,Evergreen ProductionShift 439,PS000439,1,611.4300,1,1,2026-08-24T00:00:00.000
440,PS000440,252,85,34,Harbor ProductionShift 440,PS000440,0,612.8000,1,1,2026-08-24T00:00:00.000
441,PS000441,93,77,1,Pioneer ProductionShift 441,PS000441,1,614.1700,1,1,2026-08-24T00:00:00.000
442,PS000442,292,10,37,Harbor ProductionShift 442,PS000442,1,615.5400,1,1,2026-08-24T00:00:00.000
443,PS000443,169,82,29,Unity ProductionShift 443,PS000443,1,616.9100,1,1,2026-08-24T00:00:00.000
444,PS000444,25,1,54,Unity ProductionShift 444,PS000444,1,618.2800,1,1,2026-08-24T00:00:00.000
445,PS000445,132,112,60,Harbor ProductionShift 445,PS000445,0,619.6500,1,1,2026-08-24T00:00:00.000
446,PS000446,264,133,10,Vertex ProductionShift 446,PS000446,1,621.0200,1,1,2026-08-24T00:00:00.000
447,PS000447,24,97,6,Summit ProductionShift 447,PS000447,1,622.3900,1,1,2026-08-24T00:00:00.000
448,PS000448,13,92,52,Delta ProductionShift 448,PS000448,1,623.7600,1,1,2026-08-24T00:00:00.000
449,PS000449,171,82,50,Evergreen ProductionShift 449,PS000449,1,625.1300,1,1,2026-08-24T00:00:00.000
450,PS000450,125,80,6,Northstar ProductionShift 450,PS000450,0,626.5000,1,1,2026-08-24T00:00:00.000
451,PS000451,285,41,8,Titan ProductionShift 451,PS000451,1,627.8700,1,1,2026-08-24T00:00:00.000
452,PS000452,249,129,40,Cedar ProductionShift 452,PS000452,1,629.2400,1,1,2026-08-24T00:00:00.000
453,PS000453,34,23,9,Orion ProductionShift 453,PS000453,1,630.6100,1,1,2026-08-24T00:00:00.000
454,PS000454,16,83,19,Beacon ProductionShift 454,PS000454,1,631.9800,1,1,2026-08-24T00:00:00.000
455,PS000455,154,72,7,Beacon ProductionShift 455,PS000455,0,633.3500,1,1,2026-08-24T00:00:00.000
456,PS000456,108,85,24,Pioneer ProductionShift 456,PS000456,1,634.7200,1,1,2026-08-24T00:00:00.000
457,PS000457,100,11,8,Northstar ProductionShift 457,PS000457,1,636.0900,1,1,2026-08-24T00:00:00.000
458,PS000458,120,107,11,Pioneer ProductionShift 458,PS000458,1,637.4600,1,1,2026-08-24T00:00:00.000
459,PS000459,215,139,8,Liberty ProductionShift 459,PS000459,1,638.8300,1,1,2026-08-24T00:00:00.000
460,PS000460,338,45,47,Liberty ProductionShift 460,PS000460,0,640.2000,1,1,2026-08-24T00:00:00.000
461,PS000461,206,79,8,Granite ProductionShift 461,PS000461,1,641.5700,1,1,2026-08-24T00:00:00.000
462,PS000462,228,9,47,Keystone ProductionShift 462,PS000462,1,642.9400,1,1,2026-08-24T00:00:00.000
463,PS000463,325,118,55,Titan ProductionShift 463,PS000463,1,644.3100,1,1,2026-08-24T00:00:00.000
464,PS000464,141,65,13,Meridian ProductionShift 464,PS000464,1,645.6800,1,1,2026-08-24T00:00:00.000
465,PS000465,280,80,32,Beacon ProductionShift 465,PS000465,0,647.0500,1,1,2026-08-24T00:00:00.000
466,PS000466,288,35,41,Harbor ProductionShift 466,PS000466,1,648.4200,1,1,2026-08-24T00:00:00.000
467,PS000467,122,28,54,Atlas ProductionShift 467,PS000467,1,649.7900,1,1,2026-08-24T00:00:00.000
468,PS000468,113,114,8,Willow ProductionShift 468,PS000468,1,651.1600,1,1,2026-08-24T00:00:00.000
469,PS000469,111,8,55,Titan ProductionShift 469,PS000469,1,652.5300,1,1,2026-08-24T00:00:00.000
470,PS000470,80,132,2,Titan ProductionShift 470,PS000470,0,653.9000,1,1,2026-08-24T00:00:00.000
471,PS000471,323,94,38,Granite ProductionShift 471,PS000471,1,655.2700,1,1,2026-08-24T00:00:00.000
472,PS000472,222,79,4,Riverton ProductionShift 472,PS000472,1,656.6400,1,1,2026-08-24T00:00:00.000
473,PS000473,52,15,51,Vertex ProductionShift 473,PS000473,1,658.0100,1,1,2026-08-24T00:00:00.000
474,PS000474,295,7,53,Keystone ProductionShift 474,PS000474,1,659.3800,1,1,2026-08-24T00:00:00.000
475,PS000475,3,59,50,Northstar ProductionShift 475,PS000475,0,660.7500,1,1,2026-08-24T00:00:00.000
476,PS000476,157,52,53,Summit ProductionShift 476,PS000476,1,662.1200,1,1,2026-08-24T00:00:00.000
477,PS000477,100,31,21,Orion ProductionShift 477,PS000477,1,663.4900,1,1,2026-08-24T00:00:00.000
478,PS000478,2,130,8,Beacon ProductionShift 478,PS000478,1,664.8600,1,1,2026-08-24T00:00:00.000
479,PS000479,39,97,35,Harbor ProductionShift 479,PS000479,1,666.2300,1,1,2026-08-24T00:00:00.000
480,PS000480,305,139,35,Unity ProductionShift 480,PS000480,0,667.6000,1,1,2026-08-24T00:00:00.000
481,PS000481,293,84,34,Atlas ProductionShift 481,PS000481,1,668.9700,1,1,2026-08-24T00:00:00.000
482,PS000482,64,32,31,Evergreen ProductionShift 482,PS000482,1,670.3400,1,1,2026-08-24T00:00:00.000
483,PS000483,304,15,11,Beacon ProductionShift 483,PS000483,1,671.7100,1,1,2026-08-24T00:00:00.000
484,PS000484,194,98,55,Riverton ProductionShift 484,PS000484,1,673.0800,1,1,2026-08-24T00:00:00.000
485,PS000485,349,17,40,Junction ProductionShift 485,PS000485,0,674.4500,1,1,2026-08-24T00:00:00.000
486,PS000486,78,49,15,Liberty ProductionShift 486,PS000486,1,675.8200,1,1,2026-08-24T00:00:00.000
487,PS000487,12,13,13,Willow ProductionShift 487,PS000487,1,677.1900,1,1,2026-08-24T00:00:00.000
