LogisticsDeliveryKey,DeliveryNumber,CustomerKey,ShipFromPlantKey,OriginLogisticsDockDoorKey,LogisticsShipmentStatusKey,PriorityKey,DeliveryName,RequestedDeliveryDate,DeliveryPriorityScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
101,LD000101,147,158,66,5,4,Beacon LogisticsDelivery 101,2020-04-11,101,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c0ae60b37475431b913704e01451fed4c0ae60b37475431b913704e01451fed
102,LD000102,-1,-1,-1,12,2,Cedar LogisticsDelivery 102,2020-04-12,102,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,195188216e055dc7965809733c7c1a90195188216e055dc7965809733c7c1a90
103,LD000103,464,224,275,7,5,Cedar LogisticsDelivery 103,2020-04-13,103,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe7b90da3f3c5c1491f7f3bc7acab99efe7b90da3f3c5c1491f7f3bc7acab99e
104,LD000104,180,48,50,14,3,Orion LogisticsDelivery 104,2020-04-14,104,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bac8bc533af5553b838906a0d1478ca5bac8bc533af5553b838906a0d1478ca
105,LD000105,280,172,298,12,3,Granite LogisticsDelivery 105,2020-04-15,105,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,186d8e0f00ec5c158598f50cb5c1dfc8186d8e0f00ec5c158598f50cb5c1dfc8
106,LD000106,84,334,370,13,4,Orion LogisticsDelivery 106,2020-04-16,106,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e91bf5cb9f359939c00b14f2346cf8e9e91bf5cb9f359939c00b14f2346cf8e
107,LD000107,252,92,283,10,3,Evergreen LogisticsDelivery 107,2020-04-17,107,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67e4105d5a445eb3841097de1238407a67e4105d5a445eb3841097de1238407a
108,LD000108,24,271,121,2,5,Junction LogisticsDelivery 108,2020-04-18,108,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66410be70de85271bbf9bc1010e1116466410be70de85271bbf9bc1010e11164
109,LD000109,452,268,240,8,2,Junction LogisticsDelivery 109,2020-04-19,109,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f989a44d31d51bca8590c29564359cd8f989a44d31d51bca8590c29564359cd
110,LD000110,247,336,88,12,2,Zenith LogisticsDelivery 110,2020-04-20,110,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f5ded2c755c5644944c14b311dafffa3f5ded2c755c5644944c14b311dafffa
111,LD000111,16,337,223,8,1,Riverton LogisticsDelivery 111,2020-04-21,111,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c1767f14a495e91ad305279f36461452c1767f14a495e91ad305279f3646145
112,LD000112,431,309,468,10,2,Orion LogisticsDelivery 112,2020-04-22,112,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e00b80e492b57f28ab3c0ae18bc6c990e00b80e492b57f28ab3c0ae18bc6c99
113,LD000113,242,254,219,12,4,Riverton LogisticsDelivery 113,2020-04-23,113,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6cecf48e53e584d94e9d09b542c138ee6cecf48e53e584d94e9d09b542c138e
114,LD000114,308,338,248,13,1,Orion LogisticsDelivery 114,2020-04-24,114,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8b8cf0c25ce5b9ba5c9d61c04bc7a69b8b8cf0c25ce5b9ba5c9d61c04bc7a69
115,LD000115,295,230,219,9,3,Evergreen LogisticsDelivery 115,2020-04-25,115,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b949c138ebd5008840a33a8a2c13c441b949c138ebd5008840a33a8a2c13c44
116,LD000116,105,237,169,13,3,Keystone LogisticsDelivery 116,2020-04-26,116,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1050e0249cbf58a393d36ae6df99390c1050e0249cbf58a393d36ae6df99390c
117,LD000117,218,322,213,11,4,Keystone LogisticsDelivery 117,2020-04-27,117,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22ff2aa156e556ed8d9bbd2b17e4b7ea22ff2aa156e556ed8d9bbd2b17e4b7ea
118,LD000118,333,94,146,8,1,Evergreen LogisticsDelivery 118,2020-04-28,118,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34f66368e31b5feba990020d137c044334f66368e31b5feba990020d137c0443
119,LD000119,-1,-1,-1,2,2,Evergreen LogisticsDelivery 119,2020-04-29,119,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc5f44bb9753539ebefe9432d7c880cdcc5f44bb9753539ebefe9432d7c880cd
120,LD000120,72,23,25,6,3,Willow LogisticsDelivery 120,2020-04-30,120,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a09872bf44735320b80d2374bdc5084ea09872bf44735320b80d2374bdc5084e
121,LD000121,208,123,155,6,4,Beacon LogisticsDelivery 121,2020-05-01,121,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fb936e3448159f6a72384d18c83b3ae8fb936e3448159f6a72384d18c83b3ae
122,LD000122,385,208,148,9,4,Atlas LogisticsDelivery 122,2020-05-02,122,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd0fe8f0e97058f3bf752223c99dd28bdd0fe8f0e97058f3bf752223c99dd28b
123,LD000123,265,266,461,13,2,Atlas LogisticsDelivery 123,2020-05-03,123,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,314980798a1a5cbaadead4f6e8581fcd314980798a1a5cbaadead4f6e8581fcd
124,LD000124,471,321,439,2,5,Quartz LogisticsDelivery 124,2020-05-04,124,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8127aa0e2cc5c8484007f9b26c5c7cdd8127aa0e2cc5c8484007f9b26c5c7cd
125,LD000125,335,139,161,11,4,Meridian LogisticsDelivery 125,2020-05-05,125,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77b8830eb28b530892ded996bbfb756477b8830eb28b530892ded996bbfb7564
126,LD000126,263,6,345,6,1,Summit LogisticsDelivery 126,2020-05-06,126,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8c07e98d0cb5d82b68c41743493e032f8c07e98d0cb5d82b68c41743493e032
127,LD000127,302,240,408,8,1,Meridian LogisticsDelivery 127,2020-05-07,127,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6209d23b74254c18e1f0ac3957a704ea6209d23b74254c18e1f0ac3957a704e
128,LD000128,474,290,26,10,4,Quartz LogisticsDelivery 128,2020-05-08,128,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec6df301038c5859aa656e0e9d5d46f6ec6df301038c5859aa656e0e9d5d46f6
129,LD000129,273,177,499,4,3,Pioneer LogisticsDelivery 129,2020-05-09,129,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c749b36d0515a9fb2cf36c6cd1fd4fb8c749b36d0515a9fb2cf36c6cd1fd4fb
130,LD000130,203,60,456,9,1,Forge LogisticsDelivery 130,2020-05-10,130,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34b717311f05529091053eab4006ce5134b717311f05529091053eab4006ce51
131,LD000131,110,140,224,2,2,Forge LogisticsDelivery 131,2020-05-11,131,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86327520f4ea52888e1123dd194aa70186327520f4ea52888e1123dd194aa701
132,LD000132,306,349,56,2,3,Pioneer LogisticsDelivery 132,2020-05-12,132,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c770bcf256857bc9fd25934760a9e352c770bcf256857bc9fd25934760a9e35
133,LD000133,100,98,132,3,4,Pioneer LogisticsDelivery 133,2020-05-13,133,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca571d0b1ae9533297410a6c2b5db126ca571d0b1ae9533297410a6c2b5db126
134,LD000134,213,273,429,9,4,Northstar LogisticsDelivery 134,2020-05-14,134,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5eab602c7ed5a4bac8a61617532fd89b5eab602c7ed5a4bac8a61617532fd89
135,LD000135,198,221,234,4,4,Keystone LogisticsDelivery 135,2020-05-15,135,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9031bd9bfd45e2783dfc4071e8bf50fe9031bd9bfd45e2783dfc4071e8bf50f
136,LD000136,-1,-1,-1,9,1,Atlas LogisticsDelivery 136,2020-05-16,136,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12cfb2cb02ab55ceb70bccd64f37032012cfb2cb02ab55ceb70bccd64f370320
137,LD000137,232,10,243,7,1,Meridian LogisticsDelivery 137,2020-05-17,137,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa5ccdaab989500482ea7621f52a466afa5ccdaab989500482ea7621f52a466a
138,LD000138,374,118,345,4,5,Beacon LogisticsDelivery 138,2020-05-18,138,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2a738cdc896552b903f05a4f4bf95add2a738cdc896552b903f05a4f4bf95ad
139,LD000139,16,147,47,7,1,Quartz LogisticsDelivery 139,2020-05-19,139,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d38dfdc45892524da3c9ecb1022cc0bad38dfdc45892524da3c9ecb1022cc0ba
140,LD000140,88,172,368,9,5,Delta LogisticsDelivery 140,2020-05-20,140,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,883e64f3fcf95b03bfdb4d30378a5ceb883e64f3fcf95b03bfdb4d30378a5ceb
141,LD000141,88,161,244,14,1,Titan LogisticsDelivery 141,2020-05-21,141,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea67cb49528d5830b9421f1d080a65acea67cb49528d5830b9421f1d080a65ac
142,LD000142,334,186,67,13,5,Evergreen LogisticsDelivery 142,2020-05-22,142,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,964a0622bc195bdab02b073555b0b1b3964a0622bc195bdab02b073555b0b1b3
143,LD000143,336,7,299,2,3,Cedar LogisticsDelivery 143,2020-05-23,143,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74e57a8d34af500a804b1179151bb79c74e57a8d34af500a804b1179151bb79c
144,LD000144,500,110,320,4,1,Ion LogisticsDelivery 144,2020-05-24,144,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e35673c01b3f50e19579ec4fd67ffa84e35673c01b3f50e19579ec4fd67ffa84
145,LD000145,365,218,373,2,4,Atlas LogisticsDelivery 145,2020-05-25,145,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8702d2084b04518f92cfe85b770a59ae8702d2084b04518f92cfe85b770a59ae
146,LD000146,363,338,221,5,1,Keystone LogisticsDelivery 146,2020-05-26,146,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef2f1b267cb95bdaba84c0018b85a01fef2f1b267cb95bdaba84c0018b85a01f
147,LD000147,61,120,160,13,3,Riverton LogisticsDelivery 147,2020-05-27,147,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c06e883702de5174a8402ff293376648c06e883702de5174a8402ff293376648
148,LD000148,165,156,83,6,3,Delta LogisticsDelivery 148,2020-05-28,148,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,deeec8662a595c48925435544b898712deeec8662a595c48925435544b898712
149,LD000149,94,171,257,2,1,Evergreen LogisticsDelivery 149,2020-05-29,149,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68ef31dab0525645b3d894a5320a1ec068ef31dab0525645b3d894a5320a1ec0
150,LD000150,309,227,318,2,4,Titan LogisticsDelivery 150,2020-05-30,150,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ab9f5093b835379b19261aa1dc342560ab9f5093b835379b19261aa1dc34256
151,LD000151,487,47,189,4,3,Delta LogisticsDelivery 151,2020-05-31,151,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bebb3fb354f52ee9453511739229ad81bebb3fb354f52ee9453511739229ad8
152,LD000152,476,81,174,6,1,Orion LogisticsDelivery 152,2020-06-01,152,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d39a54dd9fe2518da9d5919fe881f922d39a54dd9fe2518da9d5919fe881f922
153,LD000153,-1,-1,-1,1,5,Atlas LogisticsDelivery 153,2020-06-02,153,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b69f808bb375ea085ddad84999f391b7b69f808bb375ea085ddad84999f391b
154,LD000154,307,48,469,10,4,Granite LogisticsDelivery 154,2020-06-03,154,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,321086f002eb5ce29db888df1910e71c321086f002eb5ce29db888df1910e71c
155,LD000155,38,124,169,2,1,Beacon LogisticsDelivery 155,2020-06-04,155,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6693cc41aba352758f1bbc484f8f97be6693cc41aba352758f1bbc484f8f97be
156,LD000156,151,162,107,9,2,Northstar LogisticsDelivery 156,2020-06-05,156,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc645d87b299562bade5e18b1d6077e8cc645d87b299562bade5e18b1d6077e8
157,LD000157,281,238,268,12,3,Delta LogisticsDelivery 157,2020-06-06,157,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,850597074801532ea256d05d15c924c8850597074801532ea256d05d15c924c8
158,LD000158,336,59,36,6,4,Titan LogisticsDelivery 158,2020-06-07,158,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b330653b4a6526e8013e89657a1c08f5b330653b4a6526e8013e89657a1c08f
159,LD000159,290,292,168,5,5,Forge LogisticsDelivery 159,2020-06-08,159,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41b0eaf851a55d018ce792eca84e73bc41b0eaf851a55d018ce792eca84e73bc
160,LD000160,303,227,295,3,2,Forge LogisticsDelivery 160,2020-06-09,160,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a69f5ab9c92050ca9cf76937e67cf6fca69f5ab9c92050ca9cf76937e67cf6fc
161,LD000161,262,341,435,9,5,Orion LogisticsDelivery 161,2020-06-10,161,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b39459ff638a52fd8b95e8394ad82e25b39459ff638a52fd8b95e8394ad82e25
162,LD000162,160,275,444,2,2,Beacon LogisticsDelivery 162,2020-06-11,162,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ba2dbd02c6157078198ce6d28ae8eee4ba2dbd02c6157078198ce6d28ae8eee
163,LD000163,63,176,315,12,4,Quartz LogisticsDelivery 163,2020-06-12,163,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d8bf72e9fd451bfaf6525a8dbd77dcf4d8bf72e9fd451bfaf6525a8dbd77dcf
164,LD000164,203,139,203,8,2,Granite LogisticsDelivery 164,2020-06-13,164,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a921301de8c5a82b5b7ce5e43f8e1399a921301de8c5a82b5b7ce5e43f8e139
165,LD000165,45,119,418,7,1,Willow LogisticsDelivery 165,2020-06-14,165,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64f398dc9c0c5200afbbad92d293e72e64f398dc9c0c5200afbbad92d293e72e
166,LD000166,53,179,379,4,4,Keystone LogisticsDelivery 166,2020-06-15,166,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8de25a8151c75abcb9928c2853f0eac68de25a8151c75abcb9928c2853f0eac6
167,LD000167,305,263,423,6,5,Riverton LogisticsDelivery 167,2020-06-16,167,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17b22474b89a56f29a3175cf7257232a17b22474b89a56f29a3175cf7257232a
168,LD000168,395,231,421,10,5,Granite LogisticsDelivery 168,2020-06-17,168,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,287b6606a8ef556abdd571af57c73997287b6606a8ef556abdd571af57c73997
169,LD000169,433,85,399,14,3,Evergreen LogisticsDelivery 169,2020-06-18,169,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed91769037c15e2aa8e89eabcec51607ed91769037c15e2aa8e89eabcec51607
170,LD000170,-1,-1,-1,3,1,Meridian LogisticsDelivery 170,2020-06-19,170,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b62406ccbf8958ea82c2dc420b44a5d4b62406ccbf8958ea82c2dc420b44a5d4
171,LD000171,321,283,325,13,4,Willow LogisticsDelivery 171,2020-06-20,171,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,175d470868ca5bd9a87ec3f0faed39c6175d470868ca5bd9a87ec3f0faed39c6
172,LD000172,359,80,77,1,5,Zenith LogisticsDelivery 172,2020-06-21,172,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e491dba272958599cc3ebb4e24acfb43e491dba272958599cc3ebb4e24acfb4
173,LD000173,116,217,304,2,5,Atlas LogisticsDelivery 173,2020-06-22,173,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6aaa1ac149f0598997bfa4f578ce1dc86aaa1ac149f0598997bfa4f578ce1dc8
174,LD000174,176,234,432,9,1,Ion LogisticsDelivery 174,2020-06-23,174,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,399e8f0eb5fb570c9087c304247600fb399e8f0eb5fb570c9087c304247600fb
175,LD000175,174,322,66,4,1,Zenith LogisticsDelivery 175,2020-06-24,175,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5a02e003c255adc8eb7d7114891851fb5a02e003c255adc8eb7d7114891851f
176,LD000176,411,272,86,11,4,Atlas LogisticsDelivery 176,2020-06-25,176,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48bfc5ad00fa5af3a04d7bbebac7db8a48bfc5ad00fa5af3a04d7bbebac7db8a
177,LD000177,36,212,495,11,2,Beacon LogisticsDelivery 177,2020-06-26,177,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05c300e9ce87571eacca83fa7590b17305c300e9ce87571eacca83fa7590b173
178,LD000178,302,261,32,13,4,Titan LogisticsDelivery 178,2020-06-27,178,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f413181c176d5ef4904d8d8ff702d6eef413181c176d5ef4904d8d8ff702d6ee
179,LD000179,338,257,104,3,5,Ion LogisticsDelivery 179,2020-06-28,179,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f725bb99b1265c5587188283b1ae7289f725bb99b1265c5587188283b1ae7289
180,LD000180,314,4,296,13,2,Harbor LogisticsDelivery 180,2020-06-29,180,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1137e1f9f4ba5067937e75adc9743f021137e1f9f4ba5067937e75adc9743f02
181,LD000181,229,270,25,2,2,Quartz LogisticsDelivery 181,2020-06-30,181,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,472053db9bb453fc89664a0a20b43c58472053db9bb453fc89664a0a20b43c58
182,LD000182,354,19,269,13,5,Riverton LogisticsDelivery 182,2020-07-01,182,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6edcd58b3e8358238e9ea86b22ebd96b6edcd58b3e8358238e9ea86b22ebd96b
183,LD000183,246,313,474,11,2,Keystone LogisticsDelivery 183,2020-07-02,183,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f628587b93f58e7a7330e481970a3f03f628587b93f58e7a7330e481970a3f0
184,LD000184,345,236,282,12,3,Liberty LogisticsDelivery 184,2020-07-03,184,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1def9b69e89856ef88cb9016a24f2b0c1def9b69e89856ef88cb9016a24f2b0c
185,LD000185,345,206,315,14,2,Riverton LogisticsDelivery 185,2020-07-04,185,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3797edffdd455985ab5460a4f6182daf3797edffdd455985ab5460a4f6182daf
186,LD000186,208,58,43,14,5,Harbor LogisticsDelivery 186,2020-07-05,186,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d89f973726458279f9c76ceac3d7ae68d89f973726458279f9c76ceac3d7ae6
187,LD000187,-1,-1,-1,5,3,Riverton LogisticsDelivery 187,2020-07-06,187,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f065c00750575ed789a7d0cd698065c9f065c00750575ed789a7d0cd698065c9
188,LD000188,212,259,95,10,5,Unity LogisticsDelivery 188,2020-07-07,188,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2cdbcef0ebf95636ade35ab77c9fc16f2cdbcef0ebf95636ade35ab77c9fc16f
189,LD000189,56,71,439,4,5,Titan LogisticsDelivery 189,2020-07-08,189,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dfdf03188ec5a629eb06d133c2084310dfdf03188ec5a629eb06d133c208431
190,LD000190,470,340,68,6,2,Zenith LogisticsDelivery 190,2020-07-09,190,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,106c2d7c51b15998b709f1f87950a7c6106c2d7c51b15998b709f1f87950a7c6
191,LD000191,7,3,438,9,1,Granite LogisticsDelivery 191,2020-07-10,191,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b80b2571546950e5ba83b5c97513a364b80b2571546950e5ba83b5c97513a364
192,LD000192,71,143,493,7,3,Liberty LogisticsDelivery 192,2020-07-11,192,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31461067d4ea591282df3fd5beac79c731461067d4ea591282df3fd5beac79c7
193,LD000193,47,254,300,14,2,Summit LogisticsDelivery 193,2020-07-12,193,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31769ebcd9dc57bea21de6ca5c3fce9831769ebcd9dc57bea21de6ca5c3fce98
194,LD000194,355,336,111,9,3,Northstar LogisticsDelivery 194,2020-07-13,194,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da7595208b3d5b38a768ee6a0ff4afe0da7595208b3d5b38a768ee6a0ff4afe0
195,LD000195,54,272,204,1,4,Summit LogisticsDelivery 195,2020-07-14,195,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edadf1ab8046518998fe32d06b47142fedadf1ab8046518998fe32d06b47142f
196,LD000196,404,17,495,1,4,Summit LogisticsDelivery 196,2020-07-15,196,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,354df686cd2f5b3d9ad104f3a7540584354df686cd2f5b3d9ad104f3a7540584
197,LD000197,436,314,205,13,4,Evergreen LogisticsDelivery 197,2020-07-16,197,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bb6695e6eff5894b25848d617ffff190bb6695e6eff5894b25848d617ffff19
198,LD000198,224,143,306,13,4,Summit LogisticsDelivery 198,2020-07-17,198,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c25d227156f5421af5623d1752c8e920c25d227156f5421af5623d1752c8e92
199,LD000199,39,226,39,14,2,Keystone LogisticsDelivery 199,2020-07-18,199,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4262baa5639b5534a12294f0a38f1b504262baa5639b5534a12294f0a38f1b50
200,LD000200,276,205,66,3,3,Vertex LogisticsDelivery 200,2020-07-19,200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c7d5054d6a151158101c26b06589fd60c7d5054d6a151158101c26b06589fd6
201,LD000201,135,264,12,13,5,Riverton LogisticsDelivery 201,2020-07-20,201,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29ee4f3746d05aec88002c98b337a13829ee4f3746d05aec88002c98b337a138
202,LD000202,240,315,99,13,4,Ion LogisticsDelivery 202,2020-07-21,202,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7802a52fdad95770bb4fac781a7bc8507802a52fdad95770bb4fac781a7bc850
