MaintenanceWorkOrderKey,MaintenanceWorkOrderNumber,MaintenanceWorkRequestKey,AssetKey,CostCenterKey,MaintenanceTaskTypeKey,MaintenanceWorkTypeKey,MaintenanceOrderStatusKey,PriorityKey,MaintenanceWorkOrderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
92,MWO000092,94,89,16,67,3,2,4,Liberty MaintenanceWorkOrder 92,MWO000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,779f8007571e5861b4e52f424cb97ffa779f8007571e5861b4e52f424cb97ffa
93,MWO000093,376,272,193,494,10,10,2,Willow MaintenanceWorkOrder 93,MWO000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,384c0344ba63513b86b224e0aa5a4aea384c0344ba63513b86b224e0aa5a4aea
94,MWO000094,257,168,195,458,4,3,1,Delta MaintenanceWorkOrder 94,MWO000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3e77e53f8da5829848ca7d12b4f297ff3e77e53f8da5829848ca7d12b4f297f
95,MWO000095,130,255,436,96,10,2,3,Orion MaintenanceWorkOrder 95,MWO000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b80141308f055e5189c13af06866592eb80141308f055e5189c13af06866592e
96,MWO000096,47,309,105,14,5,6,1,Beacon MaintenanceWorkOrder 96,MWO000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6800be151fba5fd994cecf0a423a934b6800be151fba5fd994cecf0a423a934b
97,MWO000097,139,265,403,140,11,6,4,Ion MaintenanceWorkOrder 97,MWO000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4fde474be175305a4b35d7200068174c4fde474be175305a4b35d7200068174
98,MWO000098,351,343,81,232,1,4,5,Northstar MaintenanceWorkOrder 98,MWO000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbd3adffe58d53228cbd778696e0a569bbd3adffe58d53228cbd778696e0a569
99,MWO000099,487,69,305,399,4,9,4,Evergreen MaintenanceWorkOrder 99,MWO000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d14ac4f051a556591158dcccf662f685d14ac4f051a556591158dcccf662f68
100,MWO000100,95,354,206,266,12,6,3,Liberty MaintenanceWorkOrder 100,MWO000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6e1f6b8731a52eda5bab024f0a5396da6e1f6b8731a52eda5bab024f0a5396d
101,MWO000101,305,311,254,183,1,10,1,Beacon MaintenanceWorkOrder 101,MWO000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69b7dae6599b548cb24dbb355ea64bd069b7dae6599b548cb24dbb355ea64bd0
102,MWO000102,-1,78,422,80,7,4,2,Riverton MaintenanceWorkOrder 102,MWO000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66836569371c52fead76465ccf79126366836569371c52fead76465ccf791263
103,MWO000103,451,369,183,417,8,10,2,Keystone MaintenanceWorkOrder 103,MWO000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,557f7e0a35e855fe9fb435a2c865b0d6557f7e0a35e855fe9fb435a2c865b0d6
104,MWO000104,373,29,335,324,3,2,4,Junction MaintenanceWorkOrder 104,MWO000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a381f002eef58d492772a63848f55240a381f002eef58d492772a63848f5524
105,MWO000105,452,466,269,56,10,5,5,Ion MaintenanceWorkOrder 105,MWO000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e1722e609805ef892bf6e17a8e2505d8e1722e609805ef892bf6e17a8e2505d
106,MWO000106,243,444,432,207,4,10,5,Riverton MaintenanceWorkOrder 106,MWO000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19fc60757ba55fa393c8f8674d6b8c2319fc60757ba55fa393c8f8674d6b8c23
107,MWO000107,270,241,496,163,8,11,3,Liberty MaintenanceWorkOrder 107,MWO000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c63405343c9545095b007a12e62d9321c63405343c9545095b007a12e62d932
108,MWO000108,6,289,103,499,8,8,2,Zenith MaintenanceWorkOrder 108,MWO000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,853b3cf2756e5a3699931361a6133288853b3cf2756e5a3699931361a6133288
109,MWO000109,185,50,59,66,1,4,1,Cedar MaintenanceWorkOrder 109,MWO000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81e7a82d1dc85f55b065f8c3894dd3eb81e7a82d1dc85f55b065f8c3894dd3eb
110,MWO000110,160,404,178,119,6,2,3,Quartz MaintenanceWorkOrder 110,MWO000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,581d321e26465841a95685e839c30d3d581d321e26465841a95685e839c30d3d
111,MWO000111,331,406,112,459,5,9,5,Northstar MaintenanceWorkOrder 111,MWO000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec675b784bb352f4a04747fab6198411ec675b784bb352f4a04747fab6198411
112,MWO000112,4,411,458,357,2,10,2,Cedar MaintenanceWorkOrder 112,MWO000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e8159736f605ba88cd41ee1fa545ac29e8159736f605ba88cd41ee1fa545ac2
113,MWO000113,360,485,142,330,2,8,3,Granite MaintenanceWorkOrder 113,MWO000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6b384e8765b5b1c948d7d7339aaab93f6b384e8765b5b1c948d7d7339aaab93
114,MWO000114,401,286,104,436,3,3,4,Summit MaintenanceWorkOrder 114,MWO000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9da126611dc650dab12cdf237a60d27c9da126611dc650dab12cdf237a60d27c
115,MWO000115,383,239,196,457,9,8,5,Junction MaintenanceWorkOrder 115,MWO000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dff4bb6476cb56eebc7176d4d4c19d85dff4bb6476cb56eebc7176d4d4c19d85
116,MWO000116,286,425,279,257,1,7,2,Forge MaintenanceWorkOrder 116,MWO000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8113a4af7fe576e87ae68d898e23a91f8113a4af7fe576e87ae68d898e23a91
117,MWO000117,116,64,369,361,8,12,3,Orion MaintenanceWorkOrder 117,MWO000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c479bb3e19615773b88e90c4cb89f954c479bb3e19615773b88e90c4cb89f954
118,MWO000118,176,105,499,166,11,11,1,Keystone MaintenanceWorkOrder 118,MWO000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72ac8813262255a498e01884756a3ad072ac8813262255a498e01884756a3ad0
119,MWO000119,-1,477,42,198,6,11,1,Liberty MaintenanceWorkOrder 119,MWO000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46dc44d4b02856b78384742cbe25ed0346dc44d4b02856b78384742cbe25ed03
120,MWO000120,220,280,52,120,12,3,3,Summit MaintenanceWorkOrder 120,MWO000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57394df23fb759c080212aa9d9abd57b57394df23fb759c080212aa9d9abd57b
121,MWO000121,486,193,250,293,11,6,3,Orion MaintenanceWorkOrder 121,MWO000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cd9a00bc2e855f2b2515e77daac847b7cd9a00bc2e855f2b2515e77daac847b
122,MWO000122,279,289,32,469,4,4,3,Forge MaintenanceWorkOrder 122,MWO000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,184e0e60dd7250908aa3e1e54e0452eb184e0e60dd7250908aa3e1e54e0452eb
123,MWO000123,11,419,459,240,8,10,3,Meridian MaintenanceWorkOrder 123,MWO000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4a1c699552c5a85acec643b90f8d2a1a4a1c699552c5a85acec643b90f8d2a1
124,MWO000124,257,340,95,432,8,7,1,Granite MaintenanceWorkOrder 124,MWO000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d42bd6a1a4765de48cfee22c8ca1534cd42bd6a1a4765de48cfee22c8ca1534c
125,MWO000125,50,15,125,312,10,8,5,Zenith MaintenanceWorkOrder 125,MWO000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c23ade8502f45e0f98f119bf896064d4c23ade8502f45e0f98f119bf896064d4
126,MWO000126,286,348,285,138,12,6,1,Liberty MaintenanceWorkOrder 126,MWO000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce3d6c6995db5feea04e59a4b58f77a6ce3d6c6995db5feea04e59a4b58f77a6
127,MWO000127,175,195,42,143,8,10,3,Pioneer MaintenanceWorkOrder 127,MWO000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9efb4faa56b5d7c9f83a4d620624bf0b9efb4faa56b5d7c9f83a4d620624bf0
128,MWO000128,184,433,493,72,9,2,4,Quartz MaintenanceWorkOrder 128,MWO000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddddd3ec0d4e5be78ac739fdcafc791addddd3ec0d4e5be78ac739fdcafc791a
129,MWO000129,377,267,286,42,10,12,2,Evergreen MaintenanceWorkOrder 129,MWO000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4f5289d6aae50d6bc67b82668195f8ab4f5289d6aae50d6bc67b82668195f8a
130,MWO000130,262,63,308,413,8,6,4,Quartz MaintenanceWorkOrder 130,MWO000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bd23a1c2bfc53008a496b53ddda9d5e2bd23a1c2bfc53008a496b53ddda9d5e
131,MWO000131,377,218,112,110,12,12,4,Atlas MaintenanceWorkOrder 131,MWO000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5608c10f9e8c59888b06673a83fd209d5608c10f9e8c59888b06673a83fd209d
132,MWO000132,319,430,69,379,2,1,5,Forge MaintenanceWorkOrder 132,MWO000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fbb27c7f7f2544fa69c19ffe80c09bb0fbb27c7f7f2544fa69c19ffe80c09bb
133,MWO000133,231,91,424,441,11,2,5,Riverton MaintenanceWorkOrder 133,MWO000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,296837efb44b5efe98ed3f33c5be9c42296837efb44b5efe98ed3f33c5be9c42
134,MWO000134,416,398,257,47,2,12,2,Cedar MaintenanceWorkOrder 134,MWO000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b17609040f19536ca6770433c14c7123b17609040f19536ca6770433c14c7123
135,MWO000135,141,175,360,269,10,3,5,Forge MaintenanceWorkOrder 135,MWO000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c49d2035b495106993ab1be799e84970c49d2035b495106993ab1be799e8497
136,MWO000136,-1,86,336,70,1,3,1,Unity MaintenanceWorkOrder 136,MWO000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ea311898640532da180c01f29aa6d6c9ea311898640532da180c01f29aa6d6c
137,MWO000137,276,230,225,489,6,7,1,Unity MaintenanceWorkOrder 137,MWO000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0a2f0ef0a315b94b29a76b0964c5cf2f0a2f0ef0a315b94b29a76b0964c5cf2
138,MWO000138,457,180,479,154,5,10,5,Willow MaintenanceWorkOrder 138,MWO000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83ea9d0713085d50a690a6ad480bb4bb83ea9d0713085d50a690a6ad480bb4bb
139,MWO000139,71,285,326,72,3,7,1,Meridian MaintenanceWorkOrder 139,MWO000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,187d7c1da38f5b8d9bf05eef7b4b23e6187d7c1da38f5b8d9bf05eef7b4b23e6
140,MWO000140,350,434,408,4,12,8,1,Granite MaintenanceWorkOrder 140,MWO000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8794b1cd6325550d81f5e3822bbc99228794b1cd6325550d81f5e3822bbc9922
141,MWO000141,398,405,500,299,9,8,2,Beacon MaintenanceWorkOrder 141,MWO000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89d152bdfb65546d86d75ba9a7960a9889d152bdfb65546d86d75ba9a7960a98
142,MWO000142,370,242,22,137,12,10,4,Keystone MaintenanceWorkOrder 142,MWO000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f9b9a63b7ab5ced92cf8d6f813001780f9b9a63b7ab5ced92cf8d6f81300178
143,MWO000143,314,459,456,294,7,10,2,Vertex MaintenanceWorkOrder 143,MWO000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1964d72eacf55628c23e255de295924f1964d72eacf55628c23e255de295924
144,MWO000144,228,443,499,395,12,6,2,Forge MaintenanceWorkOrder 144,MWO000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4817174181b51b59226ce9274d4b66de4817174181b51b59226ce9274d4b66d
145,MWO000145,113,322,128,499,10,2,4,Junction MaintenanceWorkOrder 145,MWO000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80283947fd0c520890d3dde617c1039e80283947fd0c520890d3dde617c1039e
146,MWO000146,342,127,308,392,3,3,4,Ion MaintenanceWorkOrder 146,MWO000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab22c140d36a52f69b1fed12dd68f277ab22c140d36a52f69b1fed12dd68f277
147,MWO000147,73,373,344,343,9,7,5,Liberty MaintenanceWorkOrder 147,MWO000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17a87525e9ea50c2ae9d98121469550917a87525e9ea50c2ae9d981214695509
148,MWO000148,253,282,388,166,6,4,3,Liberty MaintenanceWorkOrder 148,MWO000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a4415253c3a505d9d5ad483be8495645a4415253c3a505d9d5ad483be849564
149,MWO000149,337,98,105,40,6,9,1,Keystone MaintenanceWorkOrder 149,MWO000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,802077b4df2f5ce187092ddce125e9e4802077b4df2f5ce187092ddce125e9e4
150,MWO000150,298,226,65,340,5,10,4,Beacon MaintenanceWorkOrder 150,MWO000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b691195e836598d83d7d4369fff20bf1b691195e836598d83d7d4369fff20bf
151,MWO000151,216,106,383,441,12,1,2,Ion MaintenanceWorkOrder 151,MWO000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0a6dded62b55f8d86de235acf172378f0a6dded62b55f8d86de235acf172378
152,MWO000152,191,112,132,239,12,2,4,Atlas MaintenanceWorkOrder 152,MWO000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99287b51f7335c0194b02f47043440a699287b51f7335c0194b02f47043440a6
153,MWO000153,-1,205,135,101,6,11,1,Junction MaintenanceWorkOrder 153,MWO000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52ed18f2baed5cf399cd82347f15e64a52ed18f2baed5cf399cd82347f15e64a
154,MWO000154,198,339,23,301,7,8,4,Orion MaintenanceWorkOrder 154,MWO000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e209782f13805f72af147cbb624e4397e209782f13805f72af147cbb624e4397
155,MWO000155,351,376,392,164,5,1,1,Harbor MaintenanceWorkOrder 155,MWO000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a649c80f1d8954ac94abd4a976f0e912a649c80f1d8954ac94abd4a976f0e912
156,MWO000156,354,101,103,152,5,8,2,Zenith MaintenanceWorkOrder 156,MWO000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2db11577c354581facdb13e4bdde98f02db11577c354581facdb13e4bdde98f0
157,MWO000157,394,417,482,392,8,12,2,Summit MaintenanceWorkOrder 157,MWO000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cecf9b99e6a55ed993432b13e5f40f84cecf9b99e6a55ed993432b13e5f40f8
158,MWO000158,244,104,487,19,7,3,3,Quartz MaintenanceWorkOrder 158,MWO000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3adcfd051a365df495024755f968037e3adcfd051a365df495024755f968037e
159,MWO000159,449,331,256,122,4,10,3,Quartz MaintenanceWorkOrder 159,MWO000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fd0fc756d9e5e458a046558c46b060f1fd0fc756d9e5e458a046558c46b060f
160,MWO000160,352,175,64,403,7,11,3,Northstar MaintenanceWorkOrder 160,MWO000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9903563effe059b39805a1a0ae7181dd9903563effe059b39805a1a0ae7181dd
161,MWO000161,189,118,186,237,5,12,3,Orion MaintenanceWorkOrder 161,MWO000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a714e2a3bc65d3da5888dcefcc6029e3a714e2a3bc65d3da5888dcefcc6029e
162,MWO000162,463,118,209,171,2,5,4,Quartz MaintenanceWorkOrder 162,MWO000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f05bdd93e111544a8c23cefb53397c5cf05bdd93e111544a8c23cefb53397c5c
163,MWO000163,449,309,372,53,1,1,1,Beacon MaintenanceWorkOrder 163,MWO000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ce89ba53f465509aa764417e8f62ef93ce89ba53f465509aa764417e8f62ef9
164,MWO000164,498,222,312,335,4,4,5,Quartz MaintenanceWorkOrder 164,MWO000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,308e2e9d175c579d9e852c27e276a6e1308e2e9d175c579d9e852c27e276a6e1
165,MWO000165,57,14,240,472,3,1,1,Riverton MaintenanceWorkOrder 165,MWO000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,507c51a500ca5a00811838c802144b37507c51a500ca5a00811838c802144b37
166,MWO000166,118,352,438,212,11,3,3,Pioneer MaintenanceWorkOrder 166,MWO000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa050bdc8090597cb03c2c2bb3a727baaa050bdc8090597cb03c2c2bb3a727ba
167,MWO000167,127,466,112,240,7,10,2,Pioneer MaintenanceWorkOrder 167,MWO000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8682ef0e268557c8a25565835507ff618682ef0e268557c8a25565835507ff61
168,MWO000168,233,17,473,171,6,10,3,Zenith MaintenanceWorkOrder 168,MWO000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9536d367ebf5e36b26c95c70d47ecb8d9536d367ebf5e36b26c95c70d47ecb8
169,MWO000169,64,159,453,382,7,1,3,Delta MaintenanceWorkOrder 169,MWO000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6980f3d6c17b5165b758932e0629e4bc6980f3d6c17b5165b758932e0629e4bc
170,MWO000170,-1,307,199,310,2,4,4,Beacon MaintenanceWorkOrder 170,MWO000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bf41ea6ac1e5b19b5ddac802ed6f29e0bf41ea6ac1e5b19b5ddac802ed6f29e
171,MWO000171,347,311,384,87,1,2,1,Vertex MaintenanceWorkOrder 171,MWO000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8248845b80c536fb1f103f082875740d8248845b80c536fb1f103f082875740
172,MWO000172,280,223,5,189,5,7,3,Harbor MaintenanceWorkOrder 172,MWO000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccde627f6806546eadd5effd7054f052ccde627f6806546eadd5effd7054f052
173,MWO000173,420,9,220,447,6,2,2,Harbor MaintenanceWorkOrder 173,MWO000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a3d65c43c915d79b40e2ce9770be1c19a3d65c43c915d79b40e2ce9770be1c1
174,MWO000174,476,105,483,338,3,12,1,Meridian MaintenanceWorkOrder 174,MWO000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f865f6e4fc6b55e8ba61cdffe3338b5ef865f6e4fc6b55e8ba61cdffe3338b5e
175,MWO000175,257,314,461,207,3,5,5,Ion MaintenanceWorkOrder 175,MWO000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0edf7180b125b97bc010d90aac95b69d0edf7180b125b97bc010d90aac95b69
176,MWO000176,130,155,172,291,3,5,3,Pioneer MaintenanceWorkOrder 176,MWO000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5dbf9959878e597595b15fbe4a31292c5dbf9959878e597595b15fbe4a31292c
177,MWO000177,366,9,318,485,7,7,5,Orion MaintenanceWorkOrder 177,MWO000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2aabc5c78d105ca4945da2e56205ece82aabc5c78d105ca4945da2e56205ece8
178,MWO000178,337,420,313,440,7,7,4,Keystone MaintenanceWorkOrder 178,MWO000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2adad87aa747545697542b6316cbcf662adad87aa747545697542b6316cbcf66
179,MWO000179,499,325,463,42,3,8,5,Evergreen MaintenanceWorkOrder 179,MWO000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e728c678c3857c4839fe52e66e436728e728c678c3857c4839fe52e66e43672
180,MWO000180,27,237,154,141,1,3,5,Keystone MaintenanceWorkOrder 180,MWO000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2eada3a7a9a257fba23ddb8bbda9d8742eada3a7a9a257fba23ddb8bbda9d874
181,MWO000181,359,289,444,109,2,5,1,Liberty MaintenanceWorkOrder 181,MWO000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43f89f98ef7553d9a056e4a9186a938843f89f98ef7553d9a056e4a9186a9388
182,MWO000182,222,72,173,140,9,3,2,Ion MaintenanceWorkOrder 182,MWO000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc4ba2480e1150bb992f0c743611732dbc4ba2480e1150bb992f0c743611732d
183,MWO000183,153,210,177,196,2,7,3,Atlas MaintenanceWorkOrder 183,MWO000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c678b08d23e5df3aecd722fad2079909c678b08d23e5df3aecd722fad207990
184,MWO000184,500,207,413,367,3,6,1,Harbor MaintenanceWorkOrder 184,MWO000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93c529270994555d8119f0a19f80b38393c529270994555d8119f0a19f80b383
185,MWO000185,466,157,73,401,5,3,3,Orion MaintenanceWorkOrder 185,MWO000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e5170e02fb0540c844460c77fca69cb1e5170e02fb0540c844460c77fca69cb
