QualityDefectSubCategoryKey,QualityDefectSubCategoryCode,QualityDefectCategoryKey,QualityDefectSubCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
290,QDSC000290,62,Meridian QualityDefectSubCategory 290,1,1,2026-08-24T00:00:00.000
291,QDSC000291,29,Granite QualityDefectSubCategory 291,1,1,2026-08-24T00:00:00.000
292,QDSC000292,68,Willow QualityDefectSubCategory 292,1,1,2026-08-24T00:00:00.000
293,QDSC000293,18,Keystone QualityDefectSubCategory 293,1,1,2026-08-24T00:00:00.000
294,QDSC000294,25,Vertex QualityDefectSubCategory 294,1,1,2026-08-24T00:00:00.000
295,QDSC000295,68,Beacon QualityDefectSubCategory 295,1,1,2026-08-24T00:00:00.000
296,QDSC000296,16,Pioneer QualityDefectSubCategory 296,1,1,2026-08-24T00:00:00.000
297,QDSC000297,22,Quartz QualityDefectSubCategory 297,1,1,2026-08-24T00:00:00.000
298,QDSC000298,13,Ion QualityDefectSubCategory 298,1,1,2026-08-24T00:00:00.000
299,QDSC000299,27,Willow QualityDefectSubCategory 299,1,1,2026-08-24T00:00:00.000
300,QDSC000300,59,Summit QualityDefectSubCategory 300,1,1,2026-08-24T00:00:00.000
