MaintenancePmPlanKey,PmPlanNumber,AssetKey,MaintenancePlanClassKey,UnitOfMeasureKey,MaintenanceWorkTypeKey,RecordStatusKey,MaintenancePmPlanName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
96,MPP000096,224,10,1,8,4,Keystone MaintenancePmPlan 96,MPP000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a526141220405076b01829cacf234d3ca526141220405076b01829cacf234d3c
97,MPP000097,175,62,4,6,1,Unity MaintenancePmPlan 97,MPP000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12c06694cbfd5bcaa1d07b2d8a06c78212c06694cbfd5bcaa1d07b2d8a06c782
98,MPP000098,406,90,3,12,2,Riverton MaintenancePmPlan 98,MPP000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d492e015e0a5ef48fb3a7336f5a33bf9d492e015e0a5ef48fb3a7336f5a33bf
99,MPP000099,254,15,1,8,3,Liberty MaintenancePmPlan 99,MPP000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f612057fe380505ba4917c89f7c28c34f612057fe380505ba4917c89f7c28c34
100,MPP000100,314,57,6,2,2,Junction MaintenancePmPlan 100,MPP000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12786804f9205ba383981fd53164644112786804f9205ba383981fd531646441
101,MPP000101,90,48,6,4,2,Unity MaintenancePmPlan 101,MPP000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13a9dc85ee6252c3bbb7b2993a38bd0813a9dc85ee6252c3bbb7b2993a38bd08
102,MPP000102,-1,57,2,2,3,Quartz MaintenancePmPlan 102,MPP000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,013b391d022b5e1f950fbcc2474bb37b013b391d022b5e1f950fbcc2474bb37b
103,MPP000103,265,80,5,7,3,Cedar MaintenancePmPlan 103,MPP000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b78e7ca22b015765b9278a62b690b969b78e7ca22b015765b9278a62b690b969
104,MPP000104,163,45,4,5,1,Riverton MaintenancePmPlan 104,MPP000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5188932472365db7b80ff3e03816b92b5188932472365db7b80ff3e03816b92b
105,MPP000105,153,28,3,5,4,Orion MaintenancePmPlan 105,MPP000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6801d243d9705003bc6b7678feae47286801d243d9705003bc6b7678feae4728
106,MPP000106,361,17,6,3,4,Beacon MaintenancePmPlan 106,MPP000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3751816fe2558b09e1dadde5824c93ec3751816fe2558b09e1dadde5824c93e
107,MPP000107,30,37,2,12,4,Junction MaintenancePmPlan 107,MPP000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e384de37c5ea5c449f6e7adc39cd8249e384de37c5ea5c449f6e7adc39cd8249
108,MPP000108,404,55,3,12,1,Vertex MaintenancePmPlan 108,MPP000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64566d12ac5c5103897209682ca1fa1d64566d12ac5c5103897209682ca1fa1d
109,MPP000109,64,33,6,3,3,Junction MaintenancePmPlan 109,MPP000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bdeff55a43752239e5fa1284b9fd5da5bdeff55a43752239e5fa1284b9fd5da
110,MPP000110,184,21,5,2,4,Vertex MaintenancePmPlan 110,MPP000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74802ab611db5ea9b6eb02947a19df7774802ab611db5ea9b6eb02947a19df77
111,MPP000111,7,50,1,5,3,Titan MaintenancePmPlan 111,MPP000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00c97884a01a519eac4a1fc29653635300c97884a01a519eac4a1fc296536353
112,MPP000112,258,32,7,8,4,Atlas MaintenancePmPlan 112,MPP000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,820d1b3709ca57aaacdff7323b9ad18b820d1b3709ca57aaacdff7323b9ad18b
113,MPP000113,123,24,2,3,3,Summit MaintenancePmPlan 113,MPP000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3df29728978567eb06b7b136ec1a595e3df29728978567eb06b7b136ec1a595
114,MPP000114,434,79,1,4,3,Meridian MaintenancePmPlan 114,MPP000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c8fd0b69cb453e78eeb28cc73409bf67c8fd0b69cb453e78eeb28cc73409bf6
115,MPP000115,159,41,4,9,4,Meridian MaintenancePmPlan 115,MPP000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46ae3db117705cd2b29f5b5acc6ad2ff46ae3db117705cd2b29f5b5acc6ad2ff
116,MPP000116,292,18,5,8,4,Harbor MaintenancePmPlan 116,MPP000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c177b6ed442758e3889c3115bba4aacdc177b6ed442758e3889c3115bba4aacd
117,MPP000117,238,82,5,5,4,Evergreen MaintenancePmPlan 117,MPP000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6d7fc18f0325d5c92050cf9cfdbacfba6d7fc18f0325d5c92050cf9cfdbacfb
118,MPP000118,126,49,1,3,2,Northstar MaintenancePmPlan 118,MPP000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82000204b4345d9aa0e33d64de6c7b4c82000204b4345d9aa0e33d64de6c7b4c
119,MPP000119,-1,84,3,10,4,Beacon MaintenancePmPlan 119,MPP000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32d110d3683c510abf927303adfff70c32d110d3683c510abf927303adfff70c
120,MPP000120,450,38,3,9,2,Granite MaintenancePmPlan 120,MPP000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8393dc86c855ee0ae641d1958f28802a8393dc86c855ee0ae641d1958f28802
121,MPP000121,447,75,5,3,3,Pioneer MaintenancePmPlan 121,MPP000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ab86b2dc2525aeaae6111eeb8a5dedb0ab86b2dc2525aeaae6111eeb8a5dedb
122,MPP000122,184,79,1,1,3,Quartz MaintenancePmPlan 122,MPP000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c17c8f9ee122563babb42de1ebc1d34fc17c8f9ee122563babb42de1ebc1d34f
123,MPP000123,394,79,2,6,4,Atlas MaintenancePmPlan 123,MPP000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d576276affc5c4fbe68dd271548309e8d576276affc5c4fbe68dd271548309e
124,MPP000124,12,45,1,7,1,Quartz MaintenancePmPlan 124,MPP000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98c7995d102953c5aa6385313e313c6198c7995d102953c5aa6385313e313c61
125,MPP000125,397,70,1,9,4,Keystone MaintenancePmPlan 125,MPP000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e598a491e676513483a6ada273eca341e598a491e676513483a6ada273eca341
126,MPP000126,434,28,3,9,2,Beacon MaintenancePmPlan 126,MPP000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,255e75c865f75fe5b0dcf3a18fde5bb4255e75c865f75fe5b0dcf3a18fde5bb4
127,MPP000127,446,37,5,1,1,Meridian MaintenancePmPlan 127,MPP000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffcf4a5a2e70589999a7fb7c424809eeffcf4a5a2e70589999a7fb7c424809ee
128,MPP000128,391,52,5,10,4,Pioneer MaintenancePmPlan 128,MPP000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c7906bebd585c39975efdc283d779815c7906bebd585c39975efdc283d77981
129,MPP000129,284,17,2,9,2,Titan MaintenancePmPlan 129,MPP000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,064b96af5fd4505f9e84752b50b61e6c064b96af5fd4505f9e84752b50b61e6c
130,MPP000130,449,12,4,3,4,Beacon MaintenancePmPlan 130,MPP000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f24a8d671d65c73b602fc5dcb3067183f24a8d671d65c73b602fc5dcb306718
131,MPP000131,131,26,4,7,4,Ion MaintenancePmPlan 131,MPP000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2018d5255d00547292d854a18d38d9222018d5255d00547292d854a18d38d922
132,MPP000132,422,30,7,8,1,Atlas MaintenancePmPlan 132,MPP000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2282749a6cec58858cba9fe55acb7a5d2282749a6cec58858cba9fe55acb7a5d
133,MPP000133,315,38,2,10,3,Titan MaintenancePmPlan 133,MPP000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d64fbe761185da38bb4f1d7d46edfb95d64fbe761185da38bb4f1d7d46edfb9
134,MPP000134,320,58,1,12,1,Willow MaintenancePmPlan 134,MPP000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c94d1711e57515b81e046ee7da819b88c94d1711e57515b81e046ee7da819b8
135,MPP000135,400,60,4,10,1,Pioneer MaintenancePmPlan 135,MPP000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84de63edf224501d90ab8c33910ef3a884de63edf224501d90ab8c33910ef3a8
136,MPP000136,-1,76,3,10,1,Cedar MaintenancePmPlan 136,MPP000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61e9558337925c7d986a97c85b028f7c61e9558337925c7d986a97c85b028f7c
137,MPP000137,201,29,4,6,3,Delta MaintenancePmPlan 137,MPP000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9466bbbe62265613a71665f9551ee4bb9466bbbe62265613a71665f9551ee4bb
138,MPP000138,404,73,6,10,2,Keystone MaintenancePmPlan 138,MPP000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,816cfc52ba7858528e057c90e66518a8816cfc52ba7858528e057c90e66518a8
139,MPP000139,11,23,3,6,4,Meridian MaintenancePmPlan 139,MPP000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,046aa53b7cfa50968ee3ed1b458b2c57046aa53b7cfa50968ee3ed1b458b2c57
140,MPP000140,408,12,5,12,1,Junction MaintenancePmPlan 140,MPP000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a31f354704a5f19bf35f78f027708809a31f354704a5f19bf35f78f02770880
141,MPP000141,269,13,1,7,2,Northstar MaintenancePmPlan 141,MPP000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cadad716d5755ef091b17d772e879073cadad716d5755ef091b17d772e879073
142,MPP000142,265,11,6,2,1,Beacon MaintenancePmPlan 142,MPP000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b22faee0c615c9880af8ea1653dc7b06b22faee0c615c9880af8ea1653dc7b0
143,MPP000143,157,53,6,1,4,Meridian MaintenancePmPlan 143,MPP000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d51f213b33585bb0a8c1b67da991f2ddd51f213b33585bb0a8c1b67da991f2dd
144,MPP000144,201,27,6,2,1,Pioneer MaintenancePmPlan 144,MPP000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f8968231ab75f3e9d8c529fad705ad80f8968231ab75f3e9d8c529fad705ad8
145,MPP000145,174,10,6,11,1,Forge MaintenancePmPlan 145,MPP000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,faf2690e04a951aea51d9512f2f2fb3afaf2690e04a951aea51d9512f2f2fb3a
146,MPP000146,75,17,7,11,4,Zenith MaintenancePmPlan 146,MPP000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67fecde511be5377a04ae4c584c6805967fecde511be5377a04ae4c584c68059
147,MPP000147,392,38,1,9,4,Evergreen MaintenancePmPlan 147,MPP000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddb1e82eba1a5a4ea237de0968892dd6ddb1e82eba1a5a4ea237de0968892dd6
148,MPP000148,196,5,2,7,2,Ion MaintenancePmPlan 148,MPP000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0629f158f725194bca20bd9372cd48ad0629f158f725194bca20bd9372cd48a
149,MPP000149,147,13,2,1,1,Atlas MaintenancePmPlan 149,MPP000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b959535db10f582788f2bc75d1979957b959535db10f582788f2bc75d1979957
150,MPP000150,405,19,2,1,4,Cedar MaintenancePmPlan 150,MPP000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56072ea3dea35a4f9d832d6bf056fb9356072ea3dea35a4f9d832d6bf056fb93
151,MPP000151,498,38,6,2,4,Atlas MaintenancePmPlan 151,MPP000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3d6f12851845e79998f260b94c6424bb3d6f12851845e79998f260b94c6424b
152,MPP000152,244,52,5,8,3,Evergreen MaintenancePmPlan 152,MPP000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939e7d34ca205eb883b86987d59103da939e7d34ca205eb883b86987d59103da
153,MPP000153,-1,19,1,11,3,Pioneer MaintenancePmPlan 153,MPP000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5618c82496cf54c2af15919be0170cba5618c82496cf54c2af15919be0170cba
154,MPP000154,245,36,7,6,3,Unity MaintenancePmPlan 154,MPP000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71bb3292b47f585c9babf277b3f7a6f071bb3292b47f585c9babf277b3f7a6f0
155,MPP000155,84,82,3,1,1,Pioneer MaintenancePmPlan 155,MPP000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74da130938f759678c8d23f6098f39a974da130938f759678c8d23f6098f39a9
156,MPP000156,92,29,1,3,1,Harbor MaintenancePmPlan 156,MPP000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88cc01928d705a90bb4a8ef9d8b2e75a88cc01928d705a90bb4a8ef9d8b2e75a
157,MPP000157,396,28,4,1,2,Evergreen MaintenancePmPlan 157,MPP000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9464c60be3545aa7bfaefa827641308b9464c60be3545aa7bfaefa827641308b
158,MPP000158,139,44,5,7,2,Quartz MaintenancePmPlan 158,MPP000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64f38fcabba35be093e4a02b73d8869064f38fcabba35be093e4a02b73d88690
159,MPP000159,337,62,7,4,2,Forge MaintenancePmPlan 159,MPP000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,809ac18e3d1956ba9b5447a8a996729d809ac18e3d1956ba9b5447a8a996729d
160,MPP000160,56,89,5,2,1,Northstar MaintenancePmPlan 160,MPP000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de63b0e400205e00b9400c7470519366de63b0e400205e00b9400c7470519366
161,MPP000161,122,27,6,8,2,Pioneer MaintenancePmPlan 161,MPP000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85899488237159138bf79a27e13dd94b85899488237159138bf79a27e13dd94b
162,MPP000162,343,36,4,10,4,Atlas MaintenancePmPlan 162,MPP000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cabf3d44fd4a5db4b142dad44a8e965ecabf3d44fd4a5db4b142dad44a8e965e
163,MPP000163,165,54,4,4,3,Forge MaintenancePmPlan 163,MPP000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41a0734c2c145792a5e81d4aaa23934841a0734c2c145792a5e81d4aaa239348
164,MPP000164,213,65,7,6,3,Harbor MaintenancePmPlan 164,MPP000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57b4ad1fef775722be29552a8e66490257b4ad1fef775722be29552a8e664902
165,MPP000165,262,14,1,11,4,Unity MaintenancePmPlan 165,MPP000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b89b00869f795b3d8f5bd8da6a9aff0db89b00869f795b3d8f5bd8da6a9aff0d
166,MPP000166,385,19,3,6,3,Cedar MaintenancePmPlan 166,MPP000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e73c8df5f1f586ab66c4f10d83174918e73c8df5f1f586ab66c4f10d8317491
167,MPP000167,256,61,5,3,3,Junction MaintenancePmPlan 167,MPP000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,203c0c32207855cf863f26d57d10e5ac203c0c32207855cf863f26d57d10e5ac
168,MPP000168,30,80,5,12,2,Junction MaintenancePmPlan 168,MPP000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76cf9c140d5a554a93a469d14d63ce1576cf9c140d5a554a93a469d14d63ce15
169,MPP000169,31,63,7,9,3,Evergreen MaintenancePmPlan 169,MPP000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddb2f847bfb658988cae33add40acb1fddb2f847bfb658988cae33add40acb1f
170,MPP000170,-1,48,7,5,1,Titan MaintenancePmPlan 170,MPP000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da4bc6eb1969505185d5d10b11129c4dda4bc6eb1969505185d5d10b11129c4d
171,MPP000171,189,87,6,11,3,Keystone MaintenancePmPlan 171,MPP000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,957cfe855933515db90b7c92da10bdfb957cfe855933515db90b7c92da10bdfb
172,MPP000172,108,22,6,11,1,Atlas MaintenancePmPlan 172,MPP000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68f048c3643553288b6c4366c1c57d3868f048c3643553288b6c4366c1c57d38
173,MPP000173,143,36,3,1,3,Liberty MaintenancePmPlan 173,MPP000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25de9a915066591cbd8b2d733b2e872d25de9a915066591cbd8b2d733b2e872d
174,MPP000174,390,22,2,10,4,Orion MaintenancePmPlan 174,MPP000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97488254e1ea59fcb9772a3e68721aca97488254e1ea59fcb9772a3e68721aca
175,MPP000175,365,21,7,2,1,Harbor MaintenancePmPlan 175,MPP000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc7645557c615b9c944ffc6c067655e6fc7645557c615b9c944ffc6c067655e6
176,MPP000176,237,77,5,1,4,Meridian MaintenancePmPlan 176,MPP000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a18eeb5828059139d1a72264399559c7a18eeb5828059139d1a72264399559c
177,MPP000177,484,31,5,4,3,Willow MaintenancePmPlan 177,MPP000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec1e740863215a37918633dd2341fd0aec1e740863215a37918633dd2341fd0a
178,MPP000178,130,78,3,5,4,Orion MaintenancePmPlan 178,MPP000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90c58105d03d5d1089b8660176cb151a90c58105d03d5d1089b8660176cb151a
179,MPP000179,350,31,5,1,2,Ion MaintenancePmPlan 179,MPP000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b71d8baf5a345d52884fca5792ac2f71b71d8baf5a345d52884fca5792ac2f71
180,MPP000180,130,74,6,11,3,Pioneer MaintenancePmPlan 180,MPP000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bb6b161f69a526a8fd8cea82cfb96311bb6b161f69a526a8fd8cea82cfb9631
181,MPP000181,24,89,6,11,1,Junction MaintenancePmPlan 181,MPP000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d80eee44f04543c9dad46e829c0d8e56d80eee44f04543c9dad46e829c0d8e5
182,MPP000182,41,55,2,2,1,Ion MaintenancePmPlan 182,MPP000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b29af01fa465feba459962eb6e89dff5b29af01fa465feba459962eb6e89dff
183,MPP000183,41,41,2,8,3,Liberty MaintenancePmPlan 183,MPP000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9a8dd206d8e5b47b5e011e6f4f74eb4d9a8dd206d8e5b47b5e011e6f4f74eb4
184,MPP000184,121,3,3,3,4,Beacon MaintenancePmPlan 184,MPP000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,368c6ad829645dee907df7c044afc3d3368c6ad829645dee907df7c044afc3d3
185,MPP000185,155,31,4,10,4,Meridian MaintenancePmPlan 185,MPP000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e07aa415d53d5b219d66f2b99ae28bdae07aa415d53d5b219d66f2b99ae28bda
186,MPP000186,443,5,3,1,3,Willow MaintenancePmPlan 186,MPP000186,1,264.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba62917c1d9357c6baa92b7e844cf299ba62917c1d9357c6baa92b7e844cf299
187,MPP000187,-1,10,7,6,1,Forge MaintenancePmPlan 187,MPP000187,1,266.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d20e6ffdfb225c558ef3072261da6115d20e6ffdfb225c558ef3072261da6115
188,MPP000188,468,40,2,12,1,Unity MaintenancePmPlan 188,MPP000188,1,267.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d716fc9b39395e9a9bfe1d2632f8e3b8d716fc9b39395e9a9bfe1d2632f8e3b8
189,MPP000189,89,28,2,9,2,Granite MaintenancePmPlan 189,MPP000189,1,268.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07ff67f19c9c54148e0651f80a388c2307ff67f19c9c54148e0651f80a388c23
190,MPP000190,457,83,4,1,1,Northstar MaintenancePmPlan 190,MPP000190,0,270.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cae3961ea77f59429e4e1f89e5c99d1acae3961ea77f59429e4e1f89e5c99d1a
191,MPP000191,170,6,6,7,2,Junction MaintenancePmPlan 191,MPP000191,1,271.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81f488490e2150018fa8c4458c797fda81f488490e2150018fa8c4458c797fda
192,MPP000192,179,25,5,9,2,Orion MaintenancePmPlan 192,MPP000192,1,273.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbd9c521777a5392b8d1620edde73844fbd9c521777a5392b8d1620edde73844
193,MPP000193,272,46,7,1,3,Granite MaintenancePmPlan 193,MPP000193,1,274.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16d349c071ff59a09f6415da919499c216d349c071ff59a09f6415da919499c2
