EnergyEmissionFactorKey,EmissionFactorCode,EnergyCarrierKey,PlantKey,EnergySourceKey,EnergyEmissionScopeKey,UnitOfMeasureKey,FactorValue,FactorSourceName,CarbonDioxideEquivalentRatio,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
97,EEF000097,22,48,15,2,2,0.00970000,Quartz EnergyEmissionFactor 97,98.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c401e44a03f56c4bfe0100ed45f2ed91c401e44a03f56c4bfe0100ed45f2ed9
98,EEF000098,44,295,14,3,7,0.00980000,Pioneer EnergyEmissionFactor 98,99.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6fea9cfe2825b6fbc10a26b84931272e6fea9cfe2825b6fbc10a26b84931272
99,EEF000099,53,239,3,4,5,0.00990000,Summit EnergyEmissionFactor 99,100.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3f72638739f550fbd78a131177e33e2f3f72638739f550fbd78a131177e33e2
100,EEF000100,36,117,2,3,3,0.01000000,Junction EnergyEmissionFactor 100,101.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4aa791b3d75e5495bcd2daab4a1a11cd4aa791b3d75e5495bcd2daab4a1a11cd
101,EEF000101,3,32,2,4,4,0.01010000,Pioneer EnergyEmissionFactor 101,102.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f25ae537c33457398ab284da2883ea34f25ae537c33457398ab284da2883ea34
102,EEF000102,39,-1,3,3,1,0.01020000,Riverton EnergyEmissionFactor 102,103.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ed3adeb74495661922a4394f86aa3578ed3adeb74495661922a4394f86aa357
103,EEF000103,12,175,10,1,4,0.01030000,Ion EnergyEmissionFactor 103,104.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78fe54051c9252cbaedcb2e19120ff7178fe54051c9252cbaedcb2e19120ff71
104,EEF000104,40,27,10,1,5,0.01040000,Harbor EnergyEmissionFactor 104,105.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c71d865b70d5dd194435f6d801c43024c71d865b70d5dd194435f6d801c4302
105,EEF000105,18,205,15,1,6,0.01050000,Orion EnergyEmissionFactor 105,106.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d590e5f04045518aa5683311647c8947d590e5f04045518aa5683311647c8947
106,EEF000106,30,57,7,4,7,0.01060000,Summit EnergyEmissionFactor 106,107.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62884bcb5b6c5631858565bfbd3fc4eb62884bcb5b6c5631858565bfbd3fc4eb
107,EEF000107,28,76,16,5,1,0.01070000,Keystone EnergyEmissionFactor 107,108.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f773c9e9b09859fdba329377a2236995f773c9e9b09859fdba329377a2236995
108,EEF000108,47,201,10,1,5,0.01080000,Unity EnergyEmissionFactor 108,109.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00dd5c45bcfa546087f2289ea068720200dd5c45bcfa546087f2289ea0687202
109,EEF000109,23,141,14,5,5,0.01090000,Liberty EnergyEmissionFactor 109,110.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0652bfdb197d50398911cc29c2dbea650652bfdb197d50398911cc29c2dbea65
110,EEF000110,37,149,14,5,6,0.01100000,Cedar EnergyEmissionFactor 110,111.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a935ca17b79a5d30ab63717e0e1ccfe0a935ca17b79a5d30ab63717e0e1ccfe0
111,EEF000111,38,34,5,3,3,0.01110000,Delta EnergyEmissionFactor 111,112.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ecbbfadda79545b95a64732c928418a0ecbbfadda79545b95a64732c928418a
112,EEF000112,42,30,14,5,7,0.01120000,Summit EnergyEmissionFactor 112,113.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,073595db77b55acf97c3c4e0736221df073595db77b55acf97c3c4e0736221df
113,EEF000113,19,302,6,4,6,0.01130000,Vertex EnergyEmissionFactor 113,114.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e8fbfb93ab55b4c8a0aeba9296230633e8fbfb93ab55b4c8a0aeba929623063
114,EEF000114,50,322,13,1,4,0.01140000,Zenith EnergyEmissionFactor 114,115.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85c7a8a3ea875965a562cd304e8af1fc85c7a8a3ea875965a562cd304e8af1fc
115,EEF000115,55,215,13,5,1,0.01150000,Junction EnergyEmissionFactor 115,116.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d0e033d61c0580fbdcccda762a8b8a90d0e033d61c0580fbdcccda762a8b8a9
116,EEF000116,32,7,14,5,4,0.01160000,Zenith EnergyEmissionFactor 116,117.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7d1dd78cc345ef297e658dacf75d00ca7d1dd78cc345ef297e658dacf75d00c
117,EEF000117,53,252,4,5,2,0.01170000,Titan EnergyEmissionFactor 117,118.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06ecbbb1d1a651e2b48137ff3c2fe0ad06ecbbb1d1a651e2b48137ff3c2fe0ad
118,EEF000118,9,65,8,5,4,0.01180000,Riverton EnergyEmissionFactor 118,119.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11ffa475524b50709fe04b18c8756afc11ffa475524b50709fe04b18c8756afc
119,EEF000119,2,-1,3,1,2,0.01190000,Zenith EnergyEmissionFactor 119,120.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,544707a7ba93507fbde2ca5cc0c80f2c544707a7ba93507fbde2ca5cc0c80f2c
120,EEF000120,46,333,4,3,2,0.01200000,Keystone EnergyEmissionFactor 120,121.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a13603620ec9569498d1eb94f6ba8150a13603620ec9569498d1eb94f6ba8150
121,EEF000121,44,75,1,3,5,0.01210000,Forge EnergyEmissionFactor 121,122.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6b281040c6c59bba5f9e837d50df883c6b281040c6c59bba5f9e837d50df883
122,EEF000122,5,327,5,2,4,0.01220000,Riverton EnergyEmissionFactor 122,123.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d84f7d15a5955e49331cfffebe8cb367d84f7d15a5955e49331cfffebe8cb36
123,EEF000123,33,81,3,2,3,0.01230000,Riverton EnergyEmissionFactor 123,124.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0dc2caf5261576d82e27637d15a5c56a0dc2caf5261576d82e27637d15a5c56
124,EEF000124,5,86,8,5,2,0.01240000,Northstar EnergyEmissionFactor 124,125.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6ab6edae81b511298f8b1ef03e13193c6ab6edae81b511298f8b1ef03e13193
125,EEF000125,20,278,2,1,2,0.01250000,Vertex EnergyEmissionFactor 125,126.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,622aad22b7a150aa9a2094a266d0f6f8622aad22b7a150aa9a2094a266d0f6f8
126,EEF000126,25,268,15,5,1,0.01260000,Orion EnergyEmissionFactor 126,127.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,874db4aafd63559fb5eb7592fa53a6ca874db4aafd63559fb5eb7592fa53a6ca
127,EEF000127,27,197,14,3,2,0.01270000,Pioneer EnergyEmissionFactor 127,128.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1c6ed29b05458328f6a56d208c7275ae1c6ed29b05458328f6a56d208c7275a
128,EEF000128,6,183,9,4,4,0.01280000,Junction EnergyEmissionFactor 128,129.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2d7a1e24d9457caba7cbf4a5d58070af2d7a1e24d9457caba7cbf4a5d58070a
129,EEF000129,55,256,4,2,3,0.01290000,Titan EnergyEmissionFactor 129,130.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,015d01c4fb055e37b1f941a62e54e296015d01c4fb055e37b1f941a62e54e296
130,EEF000130,35,331,16,3,3,0.01300000,Ion EnergyEmissionFactor 130,131.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d3ec316eea3598b8bc84b0c9064d9603d3ec316eea3598b8bc84b0c9064d960
131,EEF000131,50,124,3,5,4,0.01310000,Summit EnergyEmissionFactor 131,132.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdaf2ba1bfcf5c6484fc3a4fa07b9502cdaf2ba1bfcf5c6484fc3a4fa07b9502
132,EEF000132,36,231,13,3,5,0.01320000,Orion EnergyEmissionFactor 132,133.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0e4828f835158768c8e8e95aa991851e0e4828f835158768c8e8e95aa991851
133,EEF000133,45,323,10,4,4,0.01330000,Ion EnergyEmissionFactor 133,134.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c45dd15572ae59c4b71dbb8988c9b25ec45dd15572ae59c4b71dbb8988c9b25e
134,EEF000134,19,111,3,4,4,0.01340000,Delta EnergyEmissionFactor 134,135.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,951b563a2f045d8d95e7688964249b1d951b563a2f045d8d95e7688964249b1d
135,EEF000135,48,239,5,5,2,0.01350000,Cedar EnergyEmissionFactor 135,136.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e336b96590ac523d81d884c276e7f5f7e336b96590ac523d81d884c276e7f5f7
136,EEF000136,55,-1,10,2,4,0.01360000,Liberty EnergyEmissionFactor 136,137.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77d8763975b8584fb81464d07076417177d8763975b8584fb81464d070764171
137,EEF000137,19,92,4,3,4,0.01370000,Ion EnergyEmissionFactor 137,138.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53b8e99efb955158ba4c9ab9c06caf9e53b8e99efb955158ba4c9ab9c06caf9e
138,EEF000138,3,60,3,5,3,0.01380000,Evergreen EnergyEmissionFactor 138,139.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6db944f509d855d59f923439551172776db944f509d855d59f92343955117277
139,EEF000139,35,152,1,1,7,0.01390000,Zenith EnergyEmissionFactor 139,140.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93b0d0757330531f9df57b88b871f25193b0d0757330531f9df57b88b871f251
140,EEF000140,15,168,6,4,6,0.01400000,Liberty EnergyEmissionFactor 140,141.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a1964d9e19c59bd8e63a33f95fbe7271a1964d9e19c59bd8e63a33f95fbe727
141,EEF000141,50,303,12,1,4,0.01410000,Vertex EnergyEmissionFactor 141,142.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7aa12c1ed6c52e2afb915a7d1fddd3dc7aa12c1ed6c52e2afb915a7d1fddd3d
142,EEF000142,18,230,14,2,1,0.01420000,Beacon EnergyEmissionFactor 142,143.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c1b48bbfd5a532c8b4939c2e45ea3e47c1b48bbfd5a532c8b4939c2e45ea3e4
143,EEF000143,20,48,7,3,5,0.01430000,Vertex EnergyEmissionFactor 143,144.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fabe81f6e1425204af15e4e3599ddb20fabe81f6e1425204af15e4e3599ddb20
144,EEF000144,21,334,4,3,3,0.01440000,Beacon EnergyEmissionFactor 144,145.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92018d52b93f5c1ab9224e131203d38a92018d52b93f5c1ab9224e131203d38a
145,EEF000145,40,140,5,1,5,0.01450000,Evergreen EnergyEmissionFactor 145,146.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37562232bd8d54d9a558f8748f82bf5b37562232bd8d54d9a558f8748f82bf5b
146,EEF000146,9,13,8,5,2,0.01460000,Pioneer EnergyEmissionFactor 146,147.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58ce4c8b3ad350498862fa0b2f5d256058ce4c8b3ad350498862fa0b2f5d2560
147,EEF000147,48,32,2,2,7,0.01470000,Delta EnergyEmissionFactor 147,148.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b1b47f7a1935cc18e33cfd09dc003eb1b1b47f7a1935cc18e33cfd09dc003eb
148,EEF000148,53,6,3,1,4,0.01480000,Orion EnergyEmissionFactor 148,149.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df1c4058e60950229f5924df148fabe8df1c4058e60950229f5924df148fabe8
149,EEF000149,36,169,16,1,1,0.01490000,Keystone EnergyEmissionFactor 149,150.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f689ce01ffd58fd8646f1748c5c74007f689ce01ffd58fd8646f1748c5c7400
150,EEF000150,46,345,3,1,6,0.01500000,Granite EnergyEmissionFactor 150,151.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af7379eb7d0d5bb0af74f588c45ce494af7379eb7d0d5bb0af74f588c45ce494
151,EEF000151,36,57,5,5,5,0.01510000,Orion EnergyEmissionFactor 151,152.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fbf4aa6baf25b05b5d2b9f1769e13f87fbf4aa6baf25b05b5d2b9f1769e13f8
152,EEF000152,43,198,14,4,4,0.01520000,Ion EnergyEmissionFactor 152,153.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42fe823e774d5fc4bc24523bc891aff342fe823e774d5fc4bc24523bc891aff3
153,EEF000153,54,-1,14,5,5,0.01530000,Evergreen EnergyEmissionFactor 153,154.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9655ac80294a5ec5aa8cf331b2f5e5c69655ac80294a5ec5aa8cf331b2f5e5c6
154,EEF000154,29,1,12,5,7,0.01540000,Quartz EnergyEmissionFactor 154,155.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,628c7f9a02da57a39db8f60de8ebbba1628c7f9a02da57a39db8f60de8ebbba1
155,EEF000155,19,188,14,4,2,0.01550000,Keystone EnergyEmissionFactor 155,156.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc350afaed2b57fa99289a77027c9df9dc350afaed2b57fa99289a77027c9df9
156,EEF000156,17,101,15,4,5,0.01560000,Beacon EnergyEmissionFactor 156,157.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7ee2ad812c35851883a8a4d2bbad28ee7ee2ad812c35851883a8a4d2bbad28e
157,EEF000157,6,81,13,4,5,0.01570000,Beacon EnergyEmissionFactor 157,158.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45b90207c4c550c2a7c1809376104ec945b90207c4c550c2a7c1809376104ec9
158,EEF000158,18,241,4,5,7,0.01580000,Junction EnergyEmissionFactor 158,159.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ef00edbfe2f5d95841a7c050220dd5f7ef00edbfe2f5d95841a7c050220dd5f
159,EEF000159,40,164,2,4,1,0.01590000,Unity EnergyEmissionFactor 159,160.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64caa95b8c375057be2fa18d84da8e7564caa95b8c375057be2fa18d84da8e75
160,EEF000160,29,33,9,3,1,0.01600000,Summit EnergyEmissionFactor 160,161.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c37e13a47e1a5f9cb639f157013b6137c37e13a47e1a5f9cb639f157013b6137
161,EEF000161,8,249,12,2,1,0.01610000,Zenith EnergyEmissionFactor 161,162.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18a7ac64385450c7b4e3122d6a666b3918a7ac64385450c7b4e3122d6a666b39
162,EEF000162,27,290,4,5,7,0.01620000,Cedar EnergyEmissionFactor 162,163.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,032fd19d26cc553ca7373d0772134116032fd19d26cc553ca7373d0772134116
163,EEF000163,46,238,13,3,7,0.01630000,Northstar EnergyEmissionFactor 163,164.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fbdebfebd295d20ad1b65af28ad32fa6fbdebfebd295d20ad1b65af28ad32fa
164,EEF000164,54,3,6,3,5,0.01640000,Atlas EnergyEmissionFactor 164,165.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5391398a6e56534b92d0648fb31f4ea25391398a6e56534b92d0648fb31f4ea2
165,EEF000165,48,102,10,1,3,0.01650000,Meridian EnergyEmissionFactor 165,166.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e0f16a681e2582795b7dd19566910419e0f16a681e2582795b7dd1956691041
166,EEF000166,22,152,15,2,4,0.01660000,Quartz EnergyEmissionFactor 166,167.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cc45f281777507d9645cc7d75f42cce7cc45f281777507d9645cc7d75f42cce
167,EEF000167,36,310,9,5,6,0.01670000,Granite EnergyEmissionFactor 167,168.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d610156a3e85d9594bfb09dba0f14ca8d610156a3e85d9594bfb09dba0f14ca
168,EEF000168,8,18,6,5,1,0.01680000,Evergreen EnergyEmissionFactor 168,169.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2495d7ee6e195befab344b4cc29df17b2495d7ee6e195befab344b4cc29df17b
169,EEF000169,55,128,4,5,3,0.01690000,Meridian EnergyEmissionFactor 169,170.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3001a3fb1915ce1b89c8d34e5a8cefac3001a3fb1915ce1b89c8d34e5a8cefa
170,EEF000170,41,-1,1,1,3,0.01700000,Beacon EnergyEmissionFactor 170,171.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bb171dfdc2c521289430fb3945b824f9bb171dfdc2c521289430fb3945b824f
171,EEF000171,42,130,11,5,6,0.01710000,Riverton EnergyEmissionFactor 171,172.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e88e3ef1feb566eb2f2522698a7a5077e88e3ef1feb566eb2f2522698a7a507
172,EEF000172,48,297,2,2,7,0.01720000,Zenith EnergyEmissionFactor 172,173.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f75f44b53e1e5bb3a80315b309254d9df75f44b53e1e5bb3a80315b309254d9d
173,EEF000173,52,282,4,1,2,0.01730000,Unity EnergyEmissionFactor 173,174.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db24474de6c8585d89dd775310fc3276db24474de6c8585d89dd775310fc3276
174,EEF000174,23,208,11,5,3,0.01740000,Beacon EnergyEmissionFactor 174,175.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3525a0668eed5eea85a01564849a87c03525a0668eed5eea85a01564849a87c0
175,EEF000175,54,251,5,5,5,0.01750000,Zenith EnergyEmissionFactor 175,176.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c45e48fd3415515bf560a453207f46a6c45e48fd3415515bf560a453207f46a
176,EEF000176,1,322,6,3,2,0.01760000,Willow EnergyEmissionFactor 176,177.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d281b7a69a775e4fa9794a78fbad9883d281b7a69a775e4fa9794a78fbad9883
177,EEF000177,32,260,15,5,1,0.01770000,Zenith EnergyEmissionFactor 177,178.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8f397a99cb154e1aa4daf351076b504e8f397a99cb154e1aa4daf351076b504
178,EEF000178,15,253,16,3,5,0.01780000,Northstar EnergyEmissionFactor 178,179.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b6e0440ab125c3eb7adfb54fbe66a736b6e0440ab125c3eb7adfb54fbe66a73
179,EEF000179,53,304,10,1,7,0.01790000,Junction EnergyEmissionFactor 179,180.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee5f39d45e25536cb255eb233ab7e222ee5f39d45e25536cb255eb233ab7e222
180,EEF000180,5,13,13,4,4,0.01800000,Willow EnergyEmissionFactor 180,181.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a547a65ac0e56a7bb9811259e9d33668a547a65ac0e56a7bb9811259e9d3366
181,EEF000181,55,154,12,4,1,0.01810000,Quartz EnergyEmissionFactor 181,182.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,847832383d1c5d0a9c20f82bcfe38f46847832383d1c5d0a9c20f82bcfe38f46
182,EEF000182,12,122,12,4,5,0.01820000,Zenith EnergyEmissionFactor 182,183.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d0395ae74685a30a52f246706194ab25d0395ae74685a30a52f246706194ab2
183,EEF000183,30,195,7,2,1,0.01830000,Willow EnergyEmissionFactor 183,184.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af550e2d657c5175a60c474cc8a07396af550e2d657c5175a60c474cc8a07396
184,EEF000184,13,226,2,5,1,0.01840000,Harbor EnergyEmissionFactor 184,185.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,695ace7c482b5bb390821f43c950f9ad695ace7c482b5bb390821f43c950f9ad
185,EEF000185,7,269,14,1,2,0.01850000,Evergreen EnergyEmissionFactor 185,186.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3c7c2efb16c57e5b494401743340db3c3c7c2efb16c57e5b494401743340db3
186,EEF000186,3,260,4,3,1,0.01860000,Atlas EnergyEmissionFactor 186,187.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d65aa4aeb4a506aa7220767a8db1cae9d65aa4aeb4a506aa7220767a8db1cae
187,EEF000187,1,-1,1,2,4,0.01870000,Keystone EnergyEmissionFactor 187,188.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,359bff704c70517d8fb91c8c037fad08359bff704c70517d8fb91c8c037fad08
188,EEF000188,24,168,9,4,6,0.01880000,Riverton EnergyEmissionFactor 188,189.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb02049d17655ebf9a06022a7c100f25eb02049d17655ebf9a06022a7c100f25
189,EEF000189,23,121,1,5,1,0.01890000,Keystone EnergyEmissionFactor 189,190.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cdba55d62465716b74453684cd72fec6cdba55d62465716b74453684cd72fec
190,EEF000190,51,256,9,2,6,0.01900000,Ion EnergyEmissionFactor 190,191.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,394befb782595469aebe1d3b35be60e3394befb782595469aebe1d3b35be60e3
191,EEF000191,53,256,6,5,4,0.01910000,Quartz EnergyEmissionFactor 191,192.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59c0bbd42ee2556da3f1bafcb8b8400459c0bbd42ee2556da3f1bafcb8b84004
192,EEF000192,8,153,5,3,3,0.01920000,Liberty EnergyEmissionFactor 192,193.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7b6560834185d7b844a5acbba799819c7b6560834185d7b844a5acbba799819
193,EEF000193,45,302,7,2,6,0.01930000,Granite EnergyEmissionFactor 193,194.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e841c46b14755b5a1d67b774c91ed470e841c46b14755b5a1d67b774c91ed47
