InventoryReplenishmentGroupKey,InventoryReplenishmentGroupCode,InventoryPlanningSegmentKey,InventoryReplenishmentGroupName,SourceSystemKey,BatchId,LoadedAtUtc
284,IRG000284,49,Summit InventoryReplenishmentGroup 284,1,1,2026-08-24T00:00:00.000
285,IRG000285,6,Junction InventoryReplenishmentGroup 285,1,1,2026-08-24T00:00:00.000
286,IRG000286,45,Forge InventoryReplenishmentGroup 286,1,1,2026-08-24T00:00:00.000
287,IRG000287,60,Evergreen InventoryReplenishmentGroup 287,1,1,2026-08-24T00:00:00.000
288,IRG000288,78,Riverton InventoryReplenishmentGroup 288,1,1,2026-08-24T00:00:00.000
289,IRG000289,43,Ion InventoryReplenishmentGroup 289,1,1,2026-08-24T00:00:00.000
290,IRG000290,34,Harbor InventoryReplenishmentGroup 290,1,1,2026-08-24T00:00:00.000
291,IRG000291,18,Meridian InventoryReplenishmentGroup 291,1,1,2026-08-24T00:00:00.000
292,IRG000292,70,Harbor InventoryReplenishmentGroup 292,1,1,2026-08-24T00:00:00.000
293,IRG000293,8,Granite InventoryReplenishmentGroup 293,1,1,2026-08-24T00:00:00.000
294,IRG000294,46,Keystone InventoryReplenishmentGroup 294,1,1,2026-08-24T00:00:00.000
295,IRG000295,5,Liberty InventoryReplenishmentGroup 295,1,1,2026-08-24T00:00:00.000
296,IRG000296,65,Quartz InventoryReplenishmentGroup 296,1,1,2026-08-24T00:00:00.000
297,IRG000297,7,Atlas InventoryReplenishmentGroup 297,1,1,2026-08-24T00:00:00.000
298,IRG000298,70,Ion InventoryReplenishmentGroup 298,1,1,2026-08-24T00:00:00.000
299,IRG000299,76,Forge InventoryReplenishmentGroup 299,1,1,2026-08-24T00:00:00.000
300,IRG000300,26,Harbor InventoryReplenishmentGroup 300,1,1,2026-08-24T00:00:00.000
301,IRG000301,10,Titan InventoryReplenishmentGroup 301,1,1,2026-08-24T00:00:00.000
302,IRG000302,65,Evergreen InventoryReplenishmentGroup 302,1,1,2026-08-24T00:00:00.000
303,IRG000303,58,Zenith InventoryReplenishmentGroup 303,1,1,2026-08-24T00:00:00.000
304,IRG000304,54,Meridian InventoryReplenishmentGroup 304,1,1,2026-08-24T00:00:00.000
305,IRG000305,39,Pioneer InventoryReplenishmentGroup 305,1,1,2026-08-24T00:00:00.000
306,IRG000306,74,Zenith InventoryReplenishmentGroup 306,1,1,2026-08-24T00:00:00.000
307,IRG000307,47,Harbor InventoryReplenishmentGroup 307,1,1,2026-08-24T00:00:00.000
308,IRG000308,16,Granite InventoryReplenishmentGroup 308,1,1,2026-08-24T00:00:00.000
309,IRG000309,39,Cedar InventoryReplenishmentGroup 309,1,1,2026-08-24T00:00:00.000
310,IRG000310,46,Unity InventoryReplenishmentGroup 310,1,1,2026-08-24T00:00:00.000
311,IRG000311,70,Harbor InventoryReplenishmentGroup 311,1,1,2026-08-24T00:00:00.000
312,IRG000312,59,Pioneer InventoryReplenishmentGroup 312,1,1,2026-08-24T00:00:00.000
313,IRG000313,33,Cedar InventoryReplenishmentGroup 313,1,1,2026-08-24T00:00:00.000
314,IRG000314,1,Willow InventoryReplenishmentGroup 314,1,1,2026-08-24T00:00:00.000
315,IRG000315,60,Pioneer InventoryReplenishmentGroup 315,1,1,2026-08-24T00:00:00.000
316,IRG000316,14,Keystone InventoryReplenishmentGroup 316,1,1,2026-08-24T00:00:00.000
317,IRG000317,41,Harbor InventoryReplenishmentGroup 317,1,1,2026-08-24T00:00:00.000
318,IRG000318,27,Titan InventoryReplenishmentGroup 318,1,1,2026-08-24T00:00:00.000
319,IRG000319,13,Orion InventoryReplenishmentGroup 319,1,1,2026-08-24T00:00:00.000
320,IRG000320,44,Cedar InventoryReplenishmentGroup 320,1,1,2026-08-24T00:00:00.000
321,IRG000321,69,Liberty InventoryReplenishmentGroup 321,1,1,2026-08-24T00:00:00.000
322,IRG000322,26,Zenith InventoryReplenishmentGroup 322,1,1,2026-08-24T00:00:00.000
323,IRG000323,55,Beacon InventoryReplenishmentGroup 323,1,1,2026-08-24T00:00:00.000
324,IRG000324,15,Zenith InventoryReplenishmentGroup 324,1,1,2026-08-24T00:00:00.000
325,IRG000325,53,Unity InventoryReplenishmentGroup 325,1,1,2026-08-24T00:00:00.000
326,IRG000326,18,Liberty InventoryReplenishmentGroup 326,1,1,2026-08-24T00:00:00.000
327,IRG000327,35,Liberty InventoryReplenishmentGroup 327,1,1,2026-08-24T00:00:00.000
328,IRG000328,46,Pioneer InventoryReplenishmentGroup 328,1,1,2026-08-24T00:00:00.000
329,IRG000329,66,Quartz InventoryReplenishmentGroup 329,1,1,2026-08-24T00:00:00.000
330,IRG000330,69,Riverton InventoryReplenishmentGroup 330,1,1,2026-08-24T00:00:00.000
331,IRG000331,37,Summit InventoryReplenishmentGroup 331,1,1,2026-08-24T00:00:00.000
332,IRG000332,53,Forge InventoryReplenishmentGroup 332,1,1,2026-08-24T00:00:00.000
333,IRG000333,36,Evergreen InventoryReplenishmentGroup 333,1,1,2026-08-24T00:00:00.000
334,IRG000334,59,Riverton InventoryReplenishmentGroup 334,1,1,2026-08-24T00:00:00.000
335,IRG000335,31,Orion InventoryReplenishmentGroup 335,1,1,2026-08-24T00:00:00.000
336,IRG000336,59,Northstar InventoryReplenishmentGroup 336,1,1,2026-08-24T00:00:00.000
337,IRG000337,33,Titan InventoryReplenishmentGroup 337,1,1,2026-08-24T00:00:00.000
338,IRG000338,48,Unity InventoryReplenishmentGroup 338,1,1,2026-08-24T00:00:00.000
339,IRG000339,49,Orion InventoryReplenishmentGroup 339,1,1,2026-08-24T00:00:00.000
340,IRG000340,69,Cedar InventoryReplenishmentGroup 340,1,1,2026-08-24T00:00:00.000
341,IRG000341,73,Unity InventoryReplenishmentGroup 341,1,1,2026-08-24T00:00:00.000
342,IRG000342,73,Forge InventoryReplenishmentGroup 342,1,1,2026-08-24T00:00:00.000
343,IRG000343,34,Zenith InventoryReplenishmentGroup 343,1,1,2026-08-24T00:00:00.000
344,IRG000344,47,Ion InventoryReplenishmentGroup 344,1,1,2026-08-24T00:00:00.000
345,IRG000345,3,Quartz InventoryReplenishmentGroup 345,1,1,2026-08-24T00:00:00.000
346,IRG000346,67,Beacon InventoryReplenishmentGroup 346,1,1,2026-08-24T00:00:00.000
347,IRG000347,25,Forge InventoryReplenishmentGroup 347,1,1,2026-08-24T00:00:00.000
348,IRG000348,26,Harbor InventoryReplenishmentGroup 348,1,1,2026-08-24T00:00:00.000
349,IRG000349,80,Titan InventoryReplenishmentGroup 349,1,1,2026-08-24T00:00:00.000
350,IRG000350,55,Delta InventoryReplenishmentGroup 350,1,1,2026-08-24T00:00:00.000
351,IRG000351,64,Vertex InventoryReplenishmentGroup 351,1,1,2026-08-24T00:00:00.000
352,IRG000352,27,Titan InventoryReplenishmentGroup 352,1,1,2026-08-24T00:00:00.000
353,IRG000353,69,Zenith InventoryReplenishmentGroup 353,1,1,2026-08-24T00:00:00.000
354,IRG000354,67,Summit InventoryReplenishmentGroup 354,1,1,2026-08-24T00:00:00.000
355,IRG000355,14,Meridian InventoryReplenishmentGroup 355,1,1,2026-08-24T00:00:00.000
356,IRG000356,39,Unity InventoryReplenishmentGroup 356,1,1,2026-08-24T00:00:00.000
357,IRG000357,75,Pioneer InventoryReplenishmentGroup 357,1,1,2026-08-24T00:00:00.000
358,IRG000358,19,Forge InventoryReplenishmentGroup 358,1,1,2026-08-24T00:00:00.000
359,IRG000359,43,Keystone InventoryReplenishmentGroup 359,1,1,2026-08-24T00:00:00.000
360,IRG000360,60,Quartz InventoryReplenishmentGroup 360,1,1,2026-08-24T00:00:00.000
