WarrantyComplaintTypeKey,ComplaintTypeCode,ServiceRepairCategoryKey,PriorityKey,ComplaintTypeName,RequiresFollowUp,SourceSystemKey,BatchId,LoadedAtUtc
278,WCT000278,35,1,Orion WarrantyComplaintType 278,0,1,1,2026-08-24T00:00:00.000
279,WCT000279,7,4,Keystone WarrantyComplaintType 279,1,1,1,2026-08-24T00:00:00.000
280,WCT000280,19,4,Meridian WarrantyComplaintType 280,0,1,1,2026-08-24T00:00:00.000
281,WCT000281,34,1,Unity WarrantyComplaintType 281,1,1,1,2026-08-24T00:00:00.000
282,WCT000282,2,5,Atlas WarrantyComplaintType 282,0,1,1,2026-08-24T00:00:00.000
283,WCT000283,23,2,Atlas WarrantyComplaintType 283,1,1,1,2026-08-24T00:00:00.000
284,WCT000284,18,4,Quartz WarrantyComplaintType 284,0,1,1,2026-08-24T00:00:00.000
285,WCT000285,19,1,Cedar WarrantyComplaintType 285,1,1,1,2026-08-24T00:00:00.000
286,WCT000286,11,1,Junction WarrantyComplaintType 286,0,1,1,2026-08-24T00:00:00.000
287,WCT000287,7,1,Meridian WarrantyComplaintType 287,1,1,1,2026-08-24T00:00:00.000
288,WCT000288,1,5,Harbor WarrantyComplaintType 288,0,1,1,2026-08-24T00:00:00.000
289,WCT000289,24,5,Forge WarrantyComplaintType 289,1,1,1,2026-08-24T00:00:00.000
290,WCT000290,6,1,Forge WarrantyComplaintType 290,0,1,1,2026-08-24T00:00:00.000
291,WCT000291,5,4,Unity WarrantyComplaintType 291,1,1,1,2026-08-24T00:00:00.000
292,WCT000292,34,5,Willow WarrantyComplaintType 292,0,1,1,2026-08-24T00:00:00.000
293,WCT000293,10,4,Atlas WarrantyComplaintType 293,1,1,1,2026-08-24T00:00:00.000
294,WCT000294,28,3,Liberty WarrantyComplaintType 294,0,1,1,2026-08-24T00:00:00.000
295,WCT000295,17,1,Delta WarrantyComplaintType 295,1,1,1,2026-08-24T00:00:00.000
296,WCT000296,10,2,Northstar WarrantyComplaintType 296,0,1,1,2026-08-24T00:00:00.000
297,WCT000297,24,1,Riverton WarrantyComplaintType 297,1,1,1,2026-08-24T00:00:00.000
298,WCT000298,8,1,Junction WarrantyComplaintType 298,0,1,1,2026-08-24T00:00:00.000
299,WCT000299,5,2,Junction WarrantyComplaintType 299,1,1,1,2026-08-24T00:00:00.000
300,WCT000300,14,5,Keystone WarrantyComplaintType 300,0,1,1,2026-08-24T00:00:00.000
301,WCT000301,35,4,Unity WarrantyComplaintType 301,1,1,1,2026-08-24T00:00:00.000
302,WCT000302,11,4,Cedar WarrantyComplaintType 302,0,1,1,2026-08-24T00:00:00.000
303,WCT000303,6,3,Granite WarrantyComplaintType 303,1,1,1,2026-08-24T00:00:00.000
304,WCT000304,9,2,Meridian WarrantyComplaintType 304,0,1,1,2026-08-24T00:00:00.000
305,WCT000305,11,4,Summit WarrantyComplaintType 305,1,1,1,2026-08-24T00:00:00.000
306,WCT000306,33,5,Forge WarrantyComplaintType 306,0,1,1,2026-08-24T00:00:00.000
307,WCT000307,4,4,Willow WarrantyComplaintType 307,1,1,1,2026-08-24T00:00:00.000
308,WCT000308,11,5,Forge WarrantyComplaintType 308,0,1,1,2026-08-24T00:00:00.000
309,WCT000309,25,3,Summit WarrantyComplaintType 309,1,1,1,2026-08-24T00:00:00.000
310,WCT000310,18,5,Ion WarrantyComplaintType 310,0,1,1,2026-08-24T00:00:00.000
311,WCT000311,27,1,Ion WarrantyComplaintType 311,1,1,1,2026-08-24T00:00:00.000
312,WCT000312,24,1,Vertex WarrantyComplaintType 312,0,1,1,2026-08-24T00:00:00.000
313,WCT000313,3,3,Ion WarrantyComplaintType 313,1,1,1,2026-08-24T00:00:00.000
314,WCT000314,27,1,Unity WarrantyComplaintType 314,0,1,1,2026-08-24T00:00:00.000
315,WCT000315,1,1,Quartz WarrantyComplaintType 315,1,1,1,2026-08-24T00:00:00.000
316,WCT000316,12,3,Northstar WarrantyComplaintType 316,0,1,1,2026-08-24T00:00:00.000
317,WCT000317,4,1,Northstar WarrantyComplaintType 317,1,1,1,2026-08-24T00:00:00.000
318,WCT000318,16,4,Harbor WarrantyComplaintType 318,0,1,1,2026-08-24T00:00:00.000
319,WCT000319,2,1,Cedar WarrantyComplaintType 319,1,1,1,2026-08-24T00:00:00.000
320,WCT000320,25,4,Ion WarrantyComplaintType 320,0,1,1,2026-08-24T00:00:00.000
321,WCT000321,3,3,Cedar WarrantyComplaintType 321,1,1,1,2026-08-24T00:00:00.000
322,WCT000322,29,2,Ion WarrantyComplaintType 322,0,1,1,2026-08-24T00:00:00.000
323,WCT000323,20,3,Summit WarrantyComplaintType 323,1,1,1,2026-08-24T00:00:00.000
324,WCT000324,8,3,Pioneer WarrantyComplaintType 324,0,1,1,2026-08-24T00:00:00.000
325,WCT000325,26,1,Cedar WarrantyComplaintType 325,1,1,1,2026-08-24T00:00:00.000
326,WCT000326,7,5,Harbor WarrantyComplaintType 326,0,1,1,2026-08-24T00:00:00.000
327,WCT000327,34,4,Summit WarrantyComplaintType 327,1,1,1,2026-08-24T00:00:00.000
328,WCT000328,14,5,Beacon WarrantyComplaintType 328,0,1,1,2026-08-24T00:00:00.000
329,WCT000329,25,3,Orion WarrantyComplaintType 329,1,1,1,2026-08-24T00:00:00.000
330,WCT000330,29,1,Cedar WarrantyComplaintType 330,0,1,1,2026-08-24T00:00:00.000
331,WCT000331,30,3,Titan WarrantyComplaintType 331,1,1,1,2026-08-24T00:00:00.000
332,WCT000332,17,4,Harbor WarrantyComplaintType 332,0,1,1,2026-08-24T00:00:00.000
333,WCT000333,8,3,Harbor WarrantyComplaintType 333,1,1,1,2026-08-24T00:00:00.000
334,WCT000334,34,5,Cedar WarrantyComplaintType 334,0,1,1,2026-08-24T00:00:00.000
335,WCT000335,13,1,Harbor WarrantyComplaintType 335,1,1,1,2026-08-24T00:00:00.000
336,WCT000336,5,2,Junction WarrantyComplaintType 336,0,1,1,2026-08-24T00:00:00.000
337,WCT000337,3,4,Northstar WarrantyComplaintType 337,1,1,1,2026-08-24T00:00:00.000
338,WCT000338,12,1,Delta WarrantyComplaintType 338,0,1,1,2026-08-24T00:00:00.000
339,WCT000339,6,5,Northstar WarrantyComplaintType 339,1,1,1,2026-08-24T00:00:00.000
340,WCT000340,16,2,Harbor WarrantyComplaintType 340,0,1,1,2026-08-24T00:00:00.000
341,WCT000341,24,2,Cedar WarrantyComplaintType 341,1,1,1,2026-08-24T00:00:00.000
342,WCT000342,20,2,Orion WarrantyComplaintType 342,0,1,1,2026-08-24T00:00:00.000
343,WCT000343,25,3,Beacon WarrantyComplaintType 343,1,1,1,2026-08-24T00:00:00.000
344,WCT000344,22,3,Orion WarrantyComplaintType 344,0,1,1,2026-08-24T00:00:00.000
345,WCT000345,29,4,Zenith WarrantyComplaintType 345,1,1,1,2026-08-24T00:00:00.000
346,WCT000346,24,2,Quartz WarrantyComplaintType 346,0,1,1,2026-08-24T00:00:00.000
347,WCT000347,22,5,Northstar WarrantyComplaintType 347,1,1,1,2026-08-24T00:00:00.000
348,WCT000348,23,4,Forge WarrantyComplaintType 348,0,1,1,2026-08-24T00:00:00.000
349,WCT000349,1,2,Northstar WarrantyComplaintType 349,1,1,1,2026-08-24T00:00:00.000
350,WCT000350,20,5,Unity WarrantyComplaintType 350,0,1,1,2026-08-24T00:00:00.000
351,WCT000351,13,1,Willow WarrantyComplaintType 351,1,1,1,2026-08-24T00:00:00.000
352,WCT000352,6,2,Zenith WarrantyComplaintType 352,0,1,1,2026-08-24T00:00:00.000
353,WCT000353,26,1,Junction WarrantyComplaintType 353,1,1,1,2026-08-24T00:00:00.000
354,WCT000354,33,2,Cedar WarrantyComplaintType 354,0,1,1,2026-08-24T00:00:00.000
355,WCT000355,21,4,Willow WarrantyComplaintType 355,1,1,1,2026-08-24T00:00:00.000
356,WCT000356,22,4,Granite WarrantyComplaintType 356,0,1,1,2026-08-24T00:00:00.000
357,WCT000357,23,4,Vertex WarrantyComplaintType 357,1,1,1,2026-08-24T00:00:00.000
358,WCT000358,18,5,Summit WarrantyComplaintType 358,0,1,1,2026-08-24T00:00:00.000
359,WCT000359,24,5,Summit WarrantyComplaintType 359,1,1,1,2026-08-24T00:00:00.000
360,WCT000360,1,4,Quartz WarrantyComplaintType 360,0,1,1,2026-08-24T00:00:00.000
361,WCT000361,20,5,Summit WarrantyComplaintType 361,1,1,1,2026-08-24T00:00:00.000
362,WCT000362,13,3,Willow WarrantyComplaintType 362,0,1,1,2026-08-24T00:00:00.000
363,WCT000363,15,2,Zenith WarrantyComplaintType 363,1,1,1,2026-08-24T00:00:00.000
364,WCT000364,22,4,Pioneer WarrantyComplaintType 364,0,1,1,2026-08-24T00:00:00.000
365,WCT000365,30,5,Willow WarrantyComplaintType 365,1,1,1,2026-08-24T00:00:00.000
366,WCT000366,8,3,Northstar WarrantyComplaintType 366,0,1,1,2026-08-24T00:00:00.000
367,WCT000367,12,4,Cedar WarrantyComplaintType 367,1,1,1,2026-08-24T00:00:00.000
368,WCT000368,25,2,Harbor WarrantyComplaintType 368,0,1,1,2026-08-24T00:00:00.000
369,WCT000369,5,5,Granite WarrantyComplaintType 369,1,1,1,2026-08-24T00:00:00.000
370,WCT000370,24,5,Pioneer WarrantyComplaintType 370,0,1,1,2026-08-24T00:00:00.000
371,WCT000371,17,1,Unity WarrantyComplaintType 371,1,1,1,2026-08-24T00:00:00.000
372,WCT000372,10,1,Willow WarrantyComplaintType 372,0,1,1,2026-08-24T00:00:00.000
373,WCT000373,26,1,Forge WarrantyComplaintType 373,1,1,1,2026-08-24T00:00:00.000
374,WCT000374,26,2,Liberty WarrantyComplaintType 374,0,1,1,2026-08-24T00:00:00.000
375,WCT000375,9,5,Quartz WarrantyComplaintType 375,1,1,1,2026-08-24T00:00:00.000
376,WCT000376,35,4,Ion WarrantyComplaintType 376,0,1,1,2026-08-24T00:00:00.000
377,WCT000377,17,4,Liberty WarrantyComplaintType 377,1,1,1,2026-08-24T00:00:00.000
378,WCT000378,14,5,Unity WarrantyComplaintType 378,0,1,1,2026-08-24T00:00:00.000
379,WCT000379,30,2,Meridian WarrantyComplaintType 379,1,1,1,2026-08-24T00:00:00.000
380,WCT000380,13,3,Cedar WarrantyComplaintType 380,0,1,1,2026-08-24T00:00:00.000
381,WCT000381,20,3,Titan WarrantyComplaintType 381,1,1,1,2026-08-24T00:00:00.000
382,WCT000382,18,3,Evergreen WarrantyComplaintType 382,0,1,1,2026-08-24T00:00:00.000
383,WCT000383,7,1,Meridian WarrantyComplaintType 383,1,1,1,2026-08-24T00:00:00.000
384,WCT000384,8,5,Summit WarrantyComplaintType 384,0,1,1,2026-08-24T00:00:00.000
385,WCT000385,3,2,Unity WarrantyComplaintType 385,1,1,1,2026-08-24T00:00:00.000
386,WCT000386,2,2,Riverton WarrantyComplaintType 386,0,1,1,2026-08-24T00:00:00.000
387,WCT000387,5,1,Atlas WarrantyComplaintType 387,1,1,1,2026-08-24T00:00:00.000
388,WCT000388,25,3,Ion WarrantyComplaintType 388,0,1,1,2026-08-24T00:00:00.000
389,WCT000389,34,3,Junction WarrantyComplaintType 389,1,1,1,2026-08-24T00:00:00.000
390,WCT000390,26,1,Vertex WarrantyComplaintType 390,0,1,1,2026-08-24T00:00:00.000
391,WCT000391,31,5,Northstar WarrantyComplaintType 391,1,1,1,2026-08-24T00:00:00.000
392,WCT000392,23,3,Evergreen WarrantyComplaintType 392,0,1,1,2026-08-24T00:00:00.000
393,WCT000393,1,4,Zenith WarrantyComplaintType 393,1,1,1,2026-08-24T00:00:00.000
394,WCT000394,20,2,Vertex WarrantyComplaintType 394,0,1,1,2026-08-24T00:00:00.000
395,WCT000395,11,3,Titan WarrantyComplaintType 395,1,1,1,2026-08-24T00:00:00.000
396,WCT000396,22,5,Riverton WarrantyComplaintType 396,0,1,1,2026-08-24T00:00:00.000
397,WCT000397,34,2,Liberty WarrantyComplaintType 397,1,1,1,2026-08-24T00:00:00.000
398,WCT000398,8,3,Keystone WarrantyComplaintType 398,0,1,1,2026-08-24T00:00:00.000
399,WCT000399,11,5,Beacon WarrantyComplaintType 399,1,1,1,2026-08-24T00:00:00.000
400,WCT000400,1,5,Titan WarrantyComplaintType 400,0,1,1,2026-08-24T00:00:00.000
401,WCT000401,12,2,Northstar WarrantyComplaintType 401,1,1,1,2026-08-24T00:00:00.000
402,WCT000402,26,5,Keystone WarrantyComplaintType 402,0,1,1,2026-08-24T00:00:00.000
403,WCT000403,7,5,Zenith WarrantyComplaintType 403,1,1,1,2026-08-24T00:00:00.000
404,WCT000404,8,2,Cedar WarrantyComplaintType 404,0,1,1,2026-08-24T00:00:00.000
405,WCT000405,9,2,Zenith WarrantyComplaintType 405,1,1,1,2026-08-24T00:00:00.000
406,WCT000406,29,1,Vertex WarrantyComplaintType 406,0,1,1,2026-08-24T00:00:00.000
407,WCT000407,24,3,Evergreen WarrantyComplaintType 407,1,1,1,2026-08-24T00:00:00.000
408,WCT000408,8,5,Summit WarrantyComplaintType 408,0,1,1,2026-08-24T00:00:00.000
409,WCT000409,33,5,Willow WarrantyComplaintType 409,1,1,1,2026-08-24T00:00:00.000
410,WCT000410,1,5,Harbor WarrantyComplaintType 410,0,1,1,2026-08-24T00:00:00.000
411,WCT000411,9,1,Northstar WarrantyComplaintType 411,1,1,1,2026-08-24T00:00:00.000
412,WCT000412,2,4,Orion WarrantyComplaintType 412,0,1,1,2026-08-24T00:00:00.000
413,WCT000413,33,3,Beacon WarrantyComplaintType 413,1,1,1,2026-08-24T00:00:00.000
414,WCT000414,35,5,Riverton WarrantyComplaintType 414,0,1,1,2026-08-24T00:00:00.000
415,WCT000415,14,4,Atlas WarrantyComplaintType 415,1,1,1,2026-08-24T00:00:00.000
416,WCT000416,4,4,Forge WarrantyComplaintType 416,0,1,1,2026-08-24T00:00:00.000
417,WCT000417,1,3,Orion WarrantyComplaintType 417,1,1,1,2026-08-24T00:00:00.000
418,WCT000418,12,4,Orion WarrantyComplaintType 418,0,1,1,2026-08-24T00:00:00.000
419,WCT000419,11,3,Zenith WarrantyComplaintType 419,1,1,1,2026-08-24T00:00:00.000
420,WCT000420,9,5,Beacon WarrantyComplaintType 420,0,1,1,2026-08-24T00:00:00.000
421,WCT000421,14,4,Zenith WarrantyComplaintType 421,1,1,1,2026-08-24T00:00:00.000
422,WCT000422,27,1,Delta WarrantyComplaintType 422,0,1,1,2026-08-24T00:00:00.000
423,WCT000423,31,1,Titan WarrantyComplaintType 423,1,1,1,2026-08-24T00:00:00.000
424,WCT000424,1,5,Pioneer WarrantyComplaintType 424,0,1,1,2026-08-24T00:00:00.000
425,WCT000425,2,4,Ion WarrantyComplaintType 425,1,1,1,2026-08-24T00:00:00.000
426,WCT000426,24,4,Atlas WarrantyComplaintType 426,0,1,1,2026-08-24T00:00:00.000
427,WCT000427,19,4,Willow WarrantyComplaintType 427,1,1,1,2026-08-24T00:00:00.000
428,WCT000428,20,3,Unity WarrantyComplaintType 428,0,1,1,2026-08-24T00:00:00.000
429,WCT000429,10,1,Northstar WarrantyComplaintType 429,1,1,1,2026-08-24T00:00:00.000
430,WCT000430,27,5,Meridian WarrantyComplaintType 430,0,1,1,2026-08-24T00:00:00.000
431,WCT000431,7,2,Junction WarrantyComplaintType 431,1,1,1,2026-08-24T00:00:00.000
432,WCT000432,10,5,Meridian WarrantyComplaintType 432,0,1,1,2026-08-24T00:00:00.000
433,WCT000433,6,4,Orion WarrantyComplaintType 433,1,1,1,2026-08-24T00:00:00.000
434,WCT000434,21,4,Pioneer WarrantyComplaintType 434,0,1,1,2026-08-24T00:00:00.000
435,WCT000435,4,1,Summit WarrantyComplaintType 435,1,1,1,2026-08-24T00:00:00.000
436,WCT000436,23,1,Orion WarrantyComplaintType 436,0,1,1,2026-08-24T00:00:00.000
437,WCT000437,21,4,Titan WarrantyComplaintType 437,1,1,1,2026-08-24T00:00:00.000
438,WCT000438,11,1,Summit WarrantyComplaintType 438,0,1,1,2026-08-24T00:00:00.000
439,WCT000439,12,4,Evergreen WarrantyComplaintType 439,1,1,1,2026-08-24T00:00:00.000
440,WCT000440,18,5,Ion WarrantyComplaintType 440,0,1,1,2026-08-24T00:00:00.000
441,WCT000441,18,2,Summit WarrantyComplaintType 441,1,1,1,2026-08-24T00:00:00.000
442,WCT000442,20,1,Unity WarrantyComplaintType 442,0,1,1,2026-08-24T00:00:00.000
443,WCT000443,19,1,Pioneer WarrantyComplaintType 443,1,1,1,2026-08-24T00:00:00.000
444,WCT000444,11,1,Orion WarrantyComplaintType 444,0,1,1,2026-08-24T00:00:00.000
445,WCT000445,34,5,Beacon WarrantyComplaintType 445,1,1,1,2026-08-24T00:00:00.000
446,WCT000446,10,5,Willow WarrantyComplaintType 446,0,1,1,2026-08-24T00:00:00.000
447,WCT000447,11,4,Zenith WarrantyComplaintType 447,1,1,1,2026-08-24T00:00:00.000
448,WCT000448,14,2,Forge WarrantyComplaintType 448,0,1,1,2026-08-24T00:00:00.000
449,WCT000449,30,2,Atlas WarrantyComplaintType 449,1,1,1,2026-08-24T00:00:00.000
450,WCT000450,16,1,Summit WarrantyComplaintType 450,0,1,1,2026-08-24T00:00:00.000
451,WCT000451,31,1,Keystone WarrantyComplaintType 451,1,1,1,2026-08-24T00:00:00.000
452,WCT000452,33,1,Northstar WarrantyComplaintType 452,0,1,1,2026-08-24T00:00:00.000
453,WCT000453,14,4,Liberty WarrantyComplaintType 453,1,1,1,2026-08-24T00:00:00.000
454,WCT000454,29,3,Northstar WarrantyComplaintType 454,0,1,1,2026-08-24T00:00:00.000
455,WCT000455,1,4,Harbor WarrantyComplaintType 455,1,1,1,2026-08-24T00:00:00.000
456,WCT000456,9,5,Meridian WarrantyComplaintType 456,0,1,1,2026-08-24T00:00:00.000
457,WCT000457,19,2,Northstar WarrantyComplaintType 457,1,1,1,2026-08-24T00:00:00.000
458,WCT000458,34,3,Atlas WarrantyComplaintType 458,0,1,1,2026-08-24T00:00:00.000
459,WCT000459,35,5,Evergreen WarrantyComplaintType 459,1,1,1,2026-08-24T00:00:00.000
460,WCT000460,16,1,Delta WarrantyComplaintType 460,0,1,1,2026-08-24T00:00:00.000
461,WCT000461,31,5,Pioneer WarrantyComplaintType 461,1,1,1,2026-08-24T00:00:00.000
462,WCT000462,19,2,Harbor WarrantyComplaintType 462,0,1,1,2026-08-24T00:00:00.000
463,WCT000463,7,3,Orion WarrantyComplaintType 463,1,1,1,2026-08-24T00:00:00.000
464,WCT000464,22,5,Atlas WarrantyComplaintType 464,0,1,1,2026-08-24T00:00:00.000
465,WCT000465,14,1,Keystone WarrantyComplaintType 465,1,1,1,2026-08-24T00:00:00.000
466,WCT000466,12,5,Vertex WarrantyComplaintType 466,0,1,1,2026-08-24T00:00:00.000
467,WCT000467,27,2,Cedar WarrantyComplaintType 467,1,1,1,2026-08-24T00:00:00.000
468,WCT000468,10,4,Cedar WarrantyComplaintType 468,0,1,1,2026-08-24T00:00:00.000
469,WCT000469,27,1,Vertex WarrantyComplaintType 469,1,1,1,2026-08-24T00:00:00.000
470,WCT000470,16,4,Willow WarrantyComplaintType 470,0,1,1,2026-08-24T00:00:00.000
471,WCT000471,20,1,Quartz WarrantyComplaintType 471,1,1,1,2026-08-24T00:00:00.000
472,WCT000472,6,3,Titan WarrantyComplaintType 472,0,1,1,2026-08-24T00:00:00.000
473,WCT000473,3,4,Pioneer WarrantyComplaintType 473,1,1,1,2026-08-24T00:00:00.000
474,WCT000474,17,3,Quartz WarrantyComplaintType 474,0,1,1,2026-08-24T00:00:00.000
475,WCT000475,15,4,Meridian WarrantyComplaintType 475,1,1,1,2026-08-24T00:00:00.000
476,WCT000476,27,1,Delta WarrantyComplaintType 476,0,1,1,2026-08-24T00:00:00.000
477,WCT000477,1,4,Pioneer WarrantyComplaintType 477,1,1,1,2026-08-24T00:00:00.000
478,WCT000478,8,5,Evergreen WarrantyComplaintType 478,0,1,1,2026-08-24T00:00:00.000
479,WCT000479,22,3,Quartz WarrantyComplaintType 479,1,1,1,2026-08-24T00:00:00.000
480,WCT000480,19,3,Riverton WarrantyComplaintType 480,0,1,1,2026-08-24T00:00:00.000
481,WCT000481,4,1,Beacon WarrantyComplaintType 481,1,1,1,2026-08-24T00:00:00.000
482,WCT000482,31,1,Keystone WarrantyComplaintType 482,0,1,1,2026-08-24T00:00:00.000
483,WCT000483,11,1,Cedar WarrantyComplaintType 483,1,1,1,2026-08-24T00:00:00.000
484,WCT000484,31,3,Evergreen WarrantyComplaintType 484,0,1,1,2026-08-24T00:00:00.000
485,WCT000485,5,1,Riverton WarrantyComplaintType 485,1,1,1,2026-08-24T00:00:00.000
486,WCT000486,15,4,Cedar WarrantyComplaintType 486,0,1,1,2026-08-24T00:00:00.000
487,WCT000487,34,2,Beacon WarrantyComplaintType 487,1,1,1,2026-08-24T00:00:00.000
488,WCT000488,27,1,Granite WarrantyComplaintType 488,0,1,1,2026-08-24T00:00:00.000
489,WCT000489,19,4,Orion WarrantyComplaintType 489,1,1,1,2026-08-24T00:00:00.000
490,WCT000490,35,4,Forge WarrantyComplaintType 490,0,1,1,2026-08-24T00:00:00.000
491,WCT000491,23,5,Northstar WarrantyComplaintType 491,1,1,1,2026-08-24T00:00:00.000
492,WCT000492,9,4,Riverton WarrantyComplaintType 492,0,1,1,2026-08-24T00:00:00.000
493,WCT000493,9,1,Orion WarrantyComplaintType 493,1,1,1,2026-08-24T00:00:00.000
494,WCT000494,8,5,Pioneer WarrantyComplaintType 494,0,1,1,2026-08-24T00:00:00.000
495,WCT000495,14,4,Titan WarrantyComplaintType 495,1,1,1,2026-08-24T00:00:00.000
496,WCT000496,16,4,Liberty WarrantyComplaintType 496,0,1,1,2026-08-24T00:00:00.000
497,WCT000497,2,1,Beacon WarrantyComplaintType 497,1,1,1,2026-08-24T00:00:00.000
498,WCT000498,31,1,Delta WarrantyComplaintType 498,0,1,1,2026-08-24T00:00:00.000
499,WCT000499,33,3,Keystone WarrantyComplaintType 499,1,1,1,2026-08-24T00:00:00.000
500,WCT000500,12,1,Atlas WarrantyComplaintType 500,0,1,1,2026-08-24T00:00:00.000
