PurchaseSupplierContractKey,SupplierContractNumber,SupplierKey,PurchaseContractLineFamilyKey,ContractOwnerEmployeeKey,CurrencyKey,PurchasePaymentTermKey,ApprovalStatusKey,SupplierContractName,EffectiveDate,ExpirationDate,MinimumCommitmentAmount,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
90,PSC000090,394,165,29,5,4,2,Atlas PurchaseSupplierContract 90,2020-03-31,2020-03-31,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57c4ce3ccad553478e523fdb62afdbc257c4ce3ccad553478e523fdb62afdbc2
91,PSC000091,126,158,112,3,35,5,Junction PurchaseSupplierContract 91,2020-04-01,2020-04-01,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e23e3f4077a952778872940670ba5bbae23e3f4077a952778872940670ba5bba
92,PSC000092,199,20,138,5,18,4,Atlas PurchaseSupplierContract 92,2020-04-02,2020-04-02,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f87ccf0e5175e4a945e846b2fb721e74f87ccf0e5175e4a945e846b2fb721e7
93,PSC000093,42,337,180,2,5,1,Pioneer PurchaseSupplierContract 93,2020-04-03,2020-04-03,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b694dce5229e59a496d86e71ebf93922b694dce5229e59a496d86e71ebf93922
94,PSC000094,405,34,270,3,38,2,Riverton PurchaseSupplierContract 94,2020-04-04,2020-04-04,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b063a92c33c5fbb9ac3dae7956d18b02b063a92c33c5fbb9ac3dae7956d18b0
95,PSC000095,209,286,424,4,34,2,Riverton PurchaseSupplierContract 95,2020-04-05,2020-04-05,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ac6d3d815ba557da318c5502172dc0d0ac6d3d815ba557da318c5502172dc0d
96,PSC000096,351,170,63,2,31,1,Titan PurchaseSupplierContract 96,2020-04-06,2020-04-06,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe2845f1044955f1a436675adaf9f3bafe2845f1044955f1a436675adaf9f3ba
97,PSC000097,378,248,133,5,11,2,Meridian PurchaseSupplierContract 97,2020-04-07,2020-04-07,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,195fee6a241959488410458f985ca196195fee6a241959488410458f985ca196
98,PSC000098,86,112,223,5,2,1,Summit PurchaseSupplierContract 98,2020-04-08,2020-04-08,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9e7f69553135500849326c11d87594ef9e7f69553135500849326c11d87594e
99,PSC000099,82,72,68,5,6,1,Summit PurchaseSupplierContract 99,2020-04-09,2020-04-09,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba8e4e58cf1856b0bc19585dfbd33020ba8e4e58cf1856b0bc19585dfbd33020
100,PSC000100,10,180,404,2,28,3,Atlas PurchaseSupplierContract 100,2020-04-10,2020-04-10,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96784eba403a588f914e2239b559fd8496784eba403a588f914e2239b559fd84
101,PSC000101,455,385,317,3,25,2,Riverton PurchaseSupplierContract 101,2020-04-11,2020-04-11,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f03d3f8b9505b529cc8ca7a2b9efe006f03d3f8b9505b529cc8ca7a2b9efe00
102,PSC000102,88,84,-1,3,25,5,Forge PurchaseSupplierContract 102,2020-04-12,2020-04-12,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b003b9c81e954518e0e33136ef594f26b003b9c81e954518e0e33136ef594f2
103,PSC000103,484,496,208,3,7,3,Titan PurchaseSupplierContract 103,2020-04-13,2020-04-13,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbd2715b15535d94b168b37f532079effbd2715b15535d94b168b37f532079ef
104,PSC000104,157,141,161,1,23,4,Atlas PurchaseSupplierContract 104,2020-04-14,2020-04-14,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0e9805c29ef5f1c843245321c82b0f4b0e9805c29ef5f1c843245321c82b0f4
105,PSC000105,442,171,209,2,34,2,Granite PurchaseSupplierContract 105,2020-04-15,2020-04-15,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9114bdc5fb87555bb633528bd9c0fa729114bdc5fb87555bb633528bd9c0fa72
106,PSC000106,116,236,240,3,37,5,Harbor PurchaseSupplierContract 106,2020-04-16,2020-04-16,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,783746c4747058b780f9605d50dbd597783746c4747058b780f9605d50dbd597
107,PSC000107,2,221,434,3,23,2,Riverton PurchaseSupplierContract 107,2020-04-17,2020-04-17,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7496f51a6b3f522d8ad9e56e53d247ad7496f51a6b3f522d8ad9e56e53d247ad
108,PSC000108,498,246,102,3,18,5,Orion PurchaseSupplierContract 108,2020-04-18,2020-04-18,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cbfbce72b405ac793fa8f8ab496bf395cbfbce72b405ac793fa8f8ab496bf39
109,PSC000109,402,318,321,1,27,4,Keystone PurchaseSupplierContract 109,2020-04-19,2020-04-19,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3edecc4f85a536093df343b47f3581be3edecc4f85a536093df343b47f3581b
110,PSC000110,293,168,191,4,28,5,Delta PurchaseSupplierContract 110,2020-04-20,2020-04-20,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0980ed2d1cde5bda8533ce819be250fa0980ed2d1cde5bda8533ce819be250fa
111,PSC000111,108,281,489,5,21,5,Vertex PurchaseSupplierContract 111,2020-04-21,2020-04-21,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cce1f5d1bf905a77b2bddec2c5afe300cce1f5d1bf905a77b2bddec2c5afe300
112,PSC000112,59,181,180,3,11,2,Granite PurchaseSupplierContract 112,2020-04-22,2020-04-22,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ada648fe463532c97bff7e53995fe4e5ada648fe463532c97bff7e53995fe4e
113,PSC000113,162,257,224,4,9,4,Granite PurchaseSupplierContract 113,2020-04-23,2020-04-23,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83fbc2e4f6265959a452956391e8fde683fbc2e4f6265959a452956391e8fde6
114,PSC000114,71,241,39,4,9,3,Titan PurchaseSupplierContract 114,2020-04-24,2020-04-24,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60522a5d68ea560195d88d126b1699e960522a5d68ea560195d88d126b1699e9
115,PSC000115,142,468,97,1,35,3,Delta PurchaseSupplierContract 115,2020-04-25,2020-04-25,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,182b1a09fc35581e8128d978319db79d182b1a09fc35581e8128d978319db79d
116,PSC000116,400,2,207,3,30,3,Quartz PurchaseSupplierContract 116,2020-04-26,2020-04-26,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85f854b5f2d1564f8860e587ca9b15ad85f854b5f2d1564f8860e587ca9b15ad
117,PSC000117,348,167,29,3,9,1,Summit PurchaseSupplierContract 117,2020-04-27,2020-04-27,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03d9e8cfca5e5ed8a72b53b025f07b6803d9e8cfca5e5ed8a72b53b025f07b68
118,PSC000118,245,205,413,5,34,1,Riverton PurchaseSupplierContract 118,2020-04-28,2020-04-28,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4004b162885a525bac3d7f8727433f8e4004b162885a525bac3d7f8727433f8e
119,PSC000119,472,333,-1,1,38,3,Keystone PurchaseSupplierContract 119,2020-04-29,2020-04-29,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,109615915b1857f1a7ac585f41f6cbae109615915b1857f1a7ac585f41f6cbae
120,PSC000120,87,35,226,1,21,5,Cedar PurchaseSupplierContract 120,2020-04-30,2020-04-30,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c95bf8e7148459e7b6228d9a496be780c95bf8e7148459e7b6228d9a496be780
121,PSC000121,191,94,126,5,31,3,Zenith PurchaseSupplierContract 121,2020-05-01,2020-05-01,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,899c0f26789454a38583c74d7fec3499899c0f26789454a38583c74d7fec3499
122,PSC000122,62,42,7,1,18,3,Unity PurchaseSupplierContract 122,2020-05-02,2020-05-02,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a4d95e9c88158ac8f9a5f97dada0acb0a4d95e9c88158ac8f9a5f97dada0acb
123,PSC000123,314,223,354,3,14,2,Summit PurchaseSupplierContract 123,2020-05-03,2020-05-03,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84ed5265f7185aff83f51453dc9c2e9f84ed5265f7185aff83f51453dc9c2e9f
124,PSC000124,278,281,416,3,32,2,Quartz PurchaseSupplierContract 124,2020-05-04,2020-05-04,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d84c3db35f7569686fd741b4c425a764d84c3db35f7569686fd741b4c425a76
125,PSC000125,218,453,175,4,2,1,Forge PurchaseSupplierContract 125,2020-05-05,2020-05-05,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1576c68e80a5244ab50fee25ac8ba33d1576c68e80a5244ab50fee25ac8ba33
126,PSC000126,372,178,282,5,2,5,Meridian PurchaseSupplierContract 126,2020-05-06,2020-05-06,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23593363620d5b3888cd5162c8bdf18323593363620d5b3888cd5162c8bdf183
127,PSC000127,182,32,8,1,40,3,Summit PurchaseSupplierContract 127,2020-05-07,2020-05-07,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0096fbb97905c38a710204fe4106c04f0096fbb97905c38a710204fe4106c04
128,PSC000128,225,418,98,3,24,5,Cedar PurchaseSupplierContract 128,2020-05-08,2020-05-08,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fb2dc38b52855f1b5650f9c9764bf4f2fb2dc38b52855f1b5650f9c9764bf4f
129,PSC000129,31,277,230,5,5,5,Quartz PurchaseSupplierContract 129,2020-05-09,2020-05-09,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,132552c9b2b15fe2b290a9b7e46fa4eb132552c9b2b15fe2b290a9b7e46fa4eb
130,PSC000130,394,229,379,4,27,3,Keystone PurchaseSupplierContract 130,2020-05-10,2020-05-10,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d32a6487d7eb5d37915aca9ac30d5913d32a6487d7eb5d37915aca9ac30d5913
131,PSC000131,116,97,227,3,27,1,Delta PurchaseSupplierContract 131,2020-05-11,2020-05-11,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b41cb53fe922524fbc5fbfed982cf431b41cb53fe922524fbc5fbfed982cf431
132,PSC000132,80,486,393,5,37,2,Zenith PurchaseSupplierContract 132,2020-05-12,2020-05-12,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9af5e58557a52f4a140cc0ebca98bdce9af5e58557a52f4a140cc0ebca98bdc
133,PSC000133,492,144,59,5,16,2,Unity PurchaseSupplierContract 133,2020-05-13,2020-05-13,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b19d3e6eb53b5ebba0e7974f74738aa6b19d3e6eb53b5ebba0e7974f74738aa6
134,PSC000134,425,155,314,3,33,3,Titan PurchaseSupplierContract 134,2020-05-14,2020-05-14,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11ebc455c775588489a2e6dfb04b667511ebc455c775588489a2e6dfb04b6675
135,PSC000135,117,232,185,5,10,1,Liberty PurchaseSupplierContract 135,2020-05-15,2020-05-15,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e996c4efdb7750bfbe3ed0d0eae07e3ce996c4efdb7750bfbe3ed0d0eae07e3c
136,PSC000136,325,227,-1,2,15,3,Zenith PurchaseSupplierContract 136,2020-05-16,2020-05-16,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6579ab107d8453bcb571e0ab46f971576579ab107d8453bcb571e0ab46f97157
137,PSC000137,182,492,465,2,30,2,Liberty PurchaseSupplierContract 137,2020-05-17,2020-05-17,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f02890e47bed585bb2f80470520382c2f02890e47bed585bb2f80470520382c2
138,PSC000138,475,97,181,3,39,4,Junction PurchaseSupplierContract 138,2020-05-18,2020-05-18,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcf4745866ea575da3374f4472d1f03dfcf4745866ea575da3374f4472d1f03d
139,PSC000139,6,344,187,2,39,4,Ion PurchaseSupplierContract 139,2020-05-19,2020-05-19,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8aee5bb1cfc51ba9cfdf7cf7b6b4f62c8aee5bb1cfc51ba9cfdf7cf7b6b4f62
140,PSC000140,230,145,78,2,8,5,Harbor PurchaseSupplierContract 140,2020-05-20,2020-05-20,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,943099c37c785a49af373b267b2e24de943099c37c785a49af373b267b2e24de
141,PSC000141,189,214,305,5,8,3,Atlas PurchaseSupplierContract 141,2020-05-21,2020-05-21,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78545ca4f836519abc36ff5d1e3cb0c578545ca4f836519abc36ff5d1e3cb0c5
142,PSC000142,267,278,486,4,16,1,Vertex PurchaseSupplierContract 142,2020-05-22,2020-05-22,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54c35f3714b9512fa360f4dc1858af8654c35f3714b9512fa360f4dc1858af86
143,PSC000143,463,68,355,1,7,1,Keystone PurchaseSupplierContract 143,2020-05-23,2020-05-23,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78dab3abc91d5726920ed19f5616ea7378dab3abc91d5726920ed19f5616ea73
144,PSC000144,257,269,248,3,1,2,Granite PurchaseSupplierContract 144,2020-05-24,2020-05-24,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08f774ca25c95cffa2d8e1e348fcd83208f774ca25c95cffa2d8e1e348fcd832
145,PSC000145,300,323,345,1,21,2,Atlas PurchaseSupplierContract 145,2020-05-25,2020-05-25,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee80defa494d5b8a95f875e805def400ee80defa494d5b8a95f875e805def400
146,PSC000146,423,341,471,4,30,1,Titan PurchaseSupplierContract 146,2020-05-26,2020-05-26,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d18a5ab41dbc56e2a5e954f3a3bdca75d18a5ab41dbc56e2a5e954f3a3bdca75
147,PSC000147,484,193,200,5,14,1,Cedar PurchaseSupplierContract 147,2020-05-27,2020-05-27,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cc2e62ade7f56ed9d6e451f94142aec1cc2e62ade7f56ed9d6e451f94142aec
148,PSC000148,183,204,40,2,28,3,Orion PurchaseSupplierContract 148,2020-05-28,2020-05-28,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e2425cb3f3259f0b72649425df041ce4e2425cb3f3259f0b72649425df041ce
149,PSC000149,208,303,165,2,1,2,Keystone PurchaseSupplierContract 149,2020-05-29,2020-05-29,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f24a1ecf7bd56a090cf6ce8fc9347856f24a1ecf7bd56a090cf6ce8fc934785
150,PSC000150,459,422,117,1,29,5,Meridian PurchaseSupplierContract 150,2020-05-30,2020-05-30,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca49b2d62f45530a95984be287327597ca49b2d62f45530a95984be287327597
151,PSC000151,289,174,442,3,22,3,Cedar PurchaseSupplierContract 151,2020-05-31,2020-05-31,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4003afb9b245f9d83c88804681a3052b4003afb9b245f9d83c88804681a3052
152,PSC000152,48,245,286,5,13,1,Quartz PurchaseSupplierContract 152,2020-06-01,2020-06-01,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cecad370fa805d47bb6e981e947d6271cecad370fa805d47bb6e981e947d6271
153,PSC000153,103,134,-1,1,6,1,Orion PurchaseSupplierContract 153,2020-06-02,2020-06-02,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d215d3ae61458ed919f7120457ba0dd8d215d3ae61458ed919f7120457ba0dd
154,PSC000154,30,82,104,3,21,4,Beacon PurchaseSupplierContract 154,2020-06-03,2020-06-03,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7279dc822f80519db18d13f941954ca27279dc822f80519db18d13f941954ca2
155,PSC000155,459,47,394,4,25,5,Vertex PurchaseSupplierContract 155,2020-06-04,2020-06-04,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c1cf62eec705c91b5cbeb12a4dd13ef1c1cf62eec705c91b5cbeb12a4dd13ef
156,PSC000156,243,277,44,1,22,4,Orion PurchaseSupplierContract 156,2020-06-05,2020-06-05,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,567f87190a915647916faa1d0785e95d567f87190a915647916faa1d0785e95d
157,PSC000157,38,48,360,5,32,3,Liberty PurchaseSupplierContract 157,2020-06-06,2020-06-06,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55346f035cc551bda02a2457af806b0955346f035cc551bda02a2457af806b09
158,PSC000158,357,471,427,5,16,3,Willow PurchaseSupplierContract 158,2020-06-07,2020-06-07,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b2d996307cf5ecb886b4440f41080d31b2d996307cf5ecb886b4440f41080d3
159,PSC000159,126,454,173,5,35,5,Pioneer PurchaseSupplierContract 159,2020-06-08,2020-06-08,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ffe1f1102095c05ac1b328a8a9185a22ffe1f1102095c05ac1b328a8a9185a2
160,PSC000160,116,112,361,4,22,1,Summit PurchaseSupplierContract 160,2020-06-09,2020-06-09,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71411dc3a98a5dc8abe94a57fe3f09c471411dc3a98a5dc8abe94a57fe3f09c4
161,PSC000161,476,327,456,5,20,5,Quartz PurchaseSupplierContract 161,2020-06-10,2020-06-10,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aee6a88ea25f5e60a3adee5d87d60cd4aee6a88ea25f5e60a3adee5d87d60cd4
162,PSC000162,421,281,269,3,28,5,Zenith PurchaseSupplierContract 162,2020-06-11,2020-06-11,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,067aeea081385489bacb40e28e3eb906067aeea081385489bacb40e28e3eb906
163,PSC000163,14,438,233,5,12,2,Pioneer PurchaseSupplierContract 163,2020-06-12,2020-06-12,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d49f29b2d645c489778c00e0039ab3e7d49f29b2d645c489778c00e0039ab3e
164,PSC000164,413,106,336,2,26,5,Harbor PurchaseSupplierContract 164,2020-06-13,2020-06-13,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c785a0f40a0b5b218b5d2c79280ec05cc785a0f40a0b5b218b5d2c79280ec05c
165,PSC000165,411,352,134,3,27,5,Summit PurchaseSupplierContract 165,2020-06-14,2020-06-14,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb5692b9bbc654c8b116d434e0469f98cb5692b9bbc654c8b116d434e0469f98
166,PSC000166,484,124,109,2,9,1,Orion PurchaseSupplierContract 166,2020-06-15,2020-06-15,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5421b976befd5b12848655af2940be185421b976befd5b12848655af2940be18
167,PSC000167,146,350,389,4,21,5,Summit PurchaseSupplierContract 167,2020-06-16,2020-06-16,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d83e203fe0c256b3b7978e7ff7d0b84ed83e203fe0c256b3b7978e7ff7d0b84e
168,PSC000168,419,246,268,2,15,2,Junction PurchaseSupplierContract 168,2020-06-17,2020-06-17,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a355822265ed5c73a47b895ecdbaff26a355822265ed5c73a47b895ecdbaff26
169,PSC000169,1,244,4,1,22,3,Junction PurchaseSupplierContract 169,2020-06-18,2020-06-18,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f633f0a7eab5da4b8498e180a4ba03b0f633f0a7eab5da4b8498e180a4ba03b
170,PSC000170,332,401,-1,4,8,1,Forge PurchaseSupplierContract 170,2020-06-19,2020-06-19,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86b762e3638e53e08827fefec8bd81e386b762e3638e53e08827fefec8bd81e3
171,PSC000171,357,360,162,2,8,5,Meridian PurchaseSupplierContract 171,2020-06-20,2020-06-20,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72f0dc75e92d53ab9a72b2d7b2e7ab5672f0dc75e92d53ab9a72b2d7b2e7ab56
172,PSC000172,168,417,478,2,33,4,Keystone PurchaseSupplierContract 172,2020-06-21,2020-06-21,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9845d7cd3e0d58afb07c9ea622d306f39845d7cd3e0d58afb07c9ea622d306f3
173,PSC000173,358,239,421,3,3,1,Quartz PurchaseSupplierContract 173,2020-06-22,2020-06-22,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a24a5a78434f5b9cbfef160733cb2cdca24a5a78434f5b9cbfef160733cb2cdc
174,PSC000174,231,37,212,5,6,1,Beacon PurchaseSupplierContract 174,2020-06-23,2020-06-23,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d987cbdc2a655ad58f83c7790323ec00d987cbdc2a655ad58f83c7790323ec00
175,PSC000175,278,166,1,3,37,2,Unity PurchaseSupplierContract 175,2020-06-24,2020-06-24,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02f19dcad7505d3b967e1cf9c1d6a05402f19dcad7505d3b967e1cf9c1d6a054
176,PSC000176,397,145,423,2,4,5,Meridian PurchaseSupplierContract 176,2020-06-25,2020-06-25,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1f36c8f07cd5ba8a315d21972f8638dd1f36c8f07cd5ba8a315d21972f8638d
177,PSC000177,64,228,187,4,24,3,Willow PurchaseSupplierContract 177,2020-06-26,2020-06-26,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c65b84386b945a5ba6efe4182b0e2178c65b84386b945a5ba6efe4182b0e2178
178,PSC000178,263,212,214,4,25,3,Granite PurchaseSupplierContract 178,2020-06-27,2020-06-27,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92b8e2c59f9a51ad892c2a4516ee286e92b8e2c59f9a51ad892c2a4516ee286e
179,PSC000179,44,283,256,4,14,2,Vertex PurchaseSupplierContract 179,2020-06-28,2020-06-28,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74ed9b3086ae575698da6dda8d9d949874ed9b3086ae575698da6dda8d9d9498
180,PSC000180,320,57,115,1,29,3,Northstar PurchaseSupplierContract 180,2020-06-29,2020-06-29,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,174b39a07bc251db808cbf5da1579fdf174b39a07bc251db808cbf5da1579fdf
