MaintenanceAssetSubClassKey,MaintenanceAssetSubClassCode,MaintenanceAssetClassKey,MaintenanceAssetSubClassName,SourceSystemKey,BatchId,LoadedAtUtc
284,MASC000284,64,Northstar MaintenanceAssetSubClass 284,1,1,2026-08-24T00:00:00.000
285,MASC000285,53,Evergreen MaintenanceAssetSubClass 285,1,1,2026-08-24T00:00:00.000
286,MASC000286,66,Junction MaintenanceAssetSubClass 286,1,1,2026-08-24T00:00:00.000
287,MASC000287,50,Evergreen MaintenanceAssetSubClass 287,1,1,2026-08-24T00:00:00.000
288,MASC000288,7,Keystone MaintenanceAssetSubClass 288,1,1,2026-08-24T00:00:00.000
289,MASC000289,90,Cedar MaintenanceAssetSubClass 289,1,1,2026-08-24T00:00:00.000
290,MASC000290,77,Junction MaintenanceAssetSubClass 290,1,1,2026-08-24T00:00:00.000
291,MASC000291,46,Unity MaintenanceAssetSubClass 291,1,1,2026-08-24T00:00:00.000
292,MASC000292,79,Northstar MaintenanceAssetSubClass 292,1,1,2026-08-24T00:00:00.000
293,MASC000293,72,Summit MaintenanceAssetSubClass 293,1,1,2026-08-24T00:00:00.000
294,MASC000294,32,Pioneer MaintenanceAssetSubClass 294,1,1,2026-08-24T00:00:00.000
295,MASC000295,62,Vertex MaintenanceAssetSubClass 295,1,1,2026-08-24T00:00:00.000
296,MASC000296,96,Meridian MaintenanceAssetSubClass 296,1,1,2026-08-24T00:00:00.000
297,MASC000297,44,Vertex MaintenanceAssetSubClass 297,1,1,2026-08-24T00:00:00.000
298,MASC000298,86,Ion MaintenanceAssetSubClass 298,1,1,2026-08-24T00:00:00.000
299,MASC000299,84,Northstar MaintenanceAssetSubClass 299,1,1,2026-08-24T00:00:00.000
300,MASC000300,82,Junction MaintenanceAssetSubClass 300,1,1,2026-08-24T00:00:00.000
301,MASC000301,87,Liberty MaintenanceAssetSubClass 301,1,1,2026-08-24T00:00:00.000
302,MASC000302,99,Ion MaintenanceAssetSubClass 302,1,1,2026-08-24T00:00:00.000
303,MASC000303,38,Junction MaintenanceAssetSubClass 303,1,1,2026-08-24T00:00:00.000
304,MASC000304,20,Harbor MaintenanceAssetSubClass 304,1,1,2026-08-24T00:00:00.000
305,MASC000305,90,Titan MaintenanceAssetSubClass 305,1,1,2026-08-24T00:00:00.000
306,MASC000306,98,Forge MaintenanceAssetSubClass 306,1,1,2026-08-24T00:00:00.000
307,MASC000307,48,Vertex MaintenanceAssetSubClass 307,1,1,2026-08-24T00:00:00.000
308,MASC000308,68,Delta MaintenanceAssetSubClass 308,1,1,2026-08-24T00:00:00.000
309,MASC000309,53,Northstar MaintenanceAssetSubClass 309,1,1,2026-08-24T00:00:00.000
310,MASC000310,64,Meridian MaintenanceAssetSubClass 310,1,1,2026-08-24T00:00:00.000
311,MASC000311,24,Harbor MaintenanceAssetSubClass 311,1,1,2026-08-24T00:00:00.000
312,MASC000312,62,Keystone MaintenanceAssetSubClass 312,1,1,2026-08-24T00:00:00.000
313,MASC000313,4,Keystone MaintenanceAssetSubClass 313,1,1,2026-08-24T00:00:00.000
314,MASC000314,50,Riverton MaintenanceAssetSubClass 314,1,1,2026-08-24T00:00:00.000
315,MASC000315,95,Summit MaintenanceAssetSubClass 315,1,1,2026-08-24T00:00:00.000
316,MASC000316,5,Liberty MaintenanceAssetSubClass 316,1,1,2026-08-24T00:00:00.000
317,MASC000317,90,Pioneer MaintenanceAssetSubClass 317,1,1,2026-08-24T00:00:00.000
318,MASC000318,18,Granite MaintenanceAssetSubClass 318,1,1,2026-08-24T00:00:00.000
319,MASC000319,5,Harbor MaintenanceAssetSubClass 319,1,1,2026-08-24T00:00:00.000
320,MASC000320,14,Ion MaintenanceAssetSubClass 320,1,1,2026-08-24T00:00:00.000
321,MASC000321,63,Titan MaintenanceAssetSubClass 321,1,1,2026-08-24T00:00:00.000
322,MASC000322,2,Atlas MaintenanceAssetSubClass 322,1,1,2026-08-24T00:00:00.000
323,MASC000323,85,Junction MaintenanceAssetSubClass 323,1,1,2026-08-24T00:00:00.000
324,MASC000324,19,Granite MaintenanceAssetSubClass 324,1,1,2026-08-24T00:00:00.000
325,MASC000325,12,Harbor MaintenanceAssetSubClass 325,1,1,2026-08-24T00:00:00.000
326,MASC000326,47,Liberty MaintenanceAssetSubClass 326,1,1,2026-08-24T00:00:00.000
327,MASC000327,78,Liberty MaintenanceAssetSubClass 327,1,1,2026-08-24T00:00:00.000
328,MASC000328,24,Junction MaintenanceAssetSubClass 328,1,1,2026-08-24T00:00:00.000
329,MASC000329,6,Junction MaintenanceAssetSubClass 329,1,1,2026-08-24T00:00:00.000
330,MASC000330,47,Orion MaintenanceAssetSubClass 330,1,1,2026-08-24T00:00:00.000
331,MASC000331,71,Orion MaintenanceAssetSubClass 331,1,1,2026-08-24T00:00:00.000
332,MASC000332,21,Atlas MaintenanceAssetSubClass 332,1,1,2026-08-24T00:00:00.000
333,MASC000333,5,Keystone MaintenanceAssetSubClass 333,1,1,2026-08-24T00:00:00.000
334,MASC000334,53,Summit MaintenanceAssetSubClass 334,1,1,2026-08-24T00:00:00.000
335,MASC000335,98,Willow MaintenanceAssetSubClass 335,1,1,2026-08-24T00:00:00.000
336,MASC000336,82,Granite MaintenanceAssetSubClass 336,1,1,2026-08-24T00:00:00.000
337,MASC000337,64,Evergreen MaintenanceAssetSubClass 337,1,1,2026-08-24T00:00:00.000
338,MASC000338,1,Ion MaintenanceAssetSubClass 338,1,1,2026-08-24T00:00:00.000
339,MASC000339,97,Keystone MaintenanceAssetSubClass 339,1,1,2026-08-24T00:00:00.000
340,MASC000340,60,Granite MaintenanceAssetSubClass 340,1,1,2026-08-24T00:00:00.000
341,MASC000341,42,Summit MaintenanceAssetSubClass 341,1,1,2026-08-24T00:00:00.000
342,MASC000342,26,Delta MaintenanceAssetSubClass 342,1,1,2026-08-24T00:00:00.000
343,MASC000343,26,Liberty MaintenanceAssetSubClass 343,1,1,2026-08-24T00:00:00.000
344,MASC000344,75,Titan MaintenanceAssetSubClass 344,1,1,2026-08-24T00:00:00.000
345,MASC000345,28,Meridian MaintenanceAssetSubClass 345,1,1,2026-08-24T00:00:00.000
346,MASC000346,84,Junction MaintenanceAssetSubClass 346,1,1,2026-08-24T00:00:00.000
347,MASC000347,25,Titan MaintenanceAssetSubClass 347,1,1,2026-08-24T00:00:00.000
348,MASC000348,16,Willow MaintenanceAssetSubClass 348,1,1,2026-08-24T00:00:00.000
349,MASC000349,50,Pioneer MaintenanceAssetSubClass 349,1,1,2026-08-24T00:00:00.000
350,MASC000350,5,Harbor MaintenanceAssetSubClass 350,1,1,2026-08-24T00:00:00.000
351,MASC000351,22,Forge MaintenanceAssetSubClass 351,1,1,2026-08-24T00:00:00.000
352,MASC000352,100,Delta MaintenanceAssetSubClass 352,1,1,2026-08-24T00:00:00.000
353,MASC000353,14,Orion MaintenanceAssetSubClass 353,1,1,2026-08-24T00:00:00.000
354,MASC000354,12,Summit MaintenanceAssetSubClass 354,1,1,2026-08-24T00:00:00.000
355,MASC000355,15,Summit MaintenanceAssetSubClass 355,1,1,2026-08-24T00:00:00.000
356,MASC000356,94,Delta MaintenanceAssetSubClass 356,1,1,2026-08-24T00:00:00.000
357,MASC000357,23,Summit MaintenanceAssetSubClass 357,1,1,2026-08-24T00:00:00.000
358,MASC000358,51,Summit MaintenanceAssetSubClass 358,1,1,2026-08-24T00:00:00.000
359,MASC000359,84,Harbor MaintenanceAssetSubClass 359,1,1,2026-08-24T00:00:00.000
360,MASC000360,41,Liberty MaintenanceAssetSubClass 360,1,1,2026-08-24T00:00:00.000
